Odiya,Hindi
ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି,वातानुकूलक
ଶ୍ରେଣୀବଦ୍ଧତା |,संरेखन
ଆଲଗୋରିଦମ |,आल्गोरिदम
ସମସ୍ତ ପାସ୍ ଫିଲ୍ଟର୍ |,समस्त पारक फिल्टर
ମିଶ୍ରିତ ଜଙ୍କସନ |,मिश्रधातु संधि
ଆଘାତ,क्षीणन
ବ current କଳ୍ପିକ କରେଣ୍ଟ୍ |,प्रत्यावर्ती धारा
ପରିବେଶର ତାପମାତ୍ରା |,परिवेश ताप
ଦ୍ୱିପାକ୍ଷିକ,उभयध्रुवीय
ବୃଦ୍ଧି,प्रवर्धन
ଏମ୍ପ୍ଲିଫାୟର୍,प्रवर्धक
ଏମ୍ପ୍ଲିଫାୟର୍ ଦକ୍ଷତା |,प्रवर्धक दक्षता
ପରିମାପ,आयाम
ପ୍ରଶସ୍ତତା ଆଘାତ,आयाम क्षीणन
ବିସ୍ତାର ମଡ୍ୟୁଲେଡ୍ ଏମ୍ ଓସିଲେଟର,आयाम मॉडुलित ए.एम. दोलित्र
ପ୍ରଶସ୍ତିକରଣ ମୋଡ୍ୟୁଲେସନ,आयाम मॉडुलन
ପ୍ରଶସ୍ତିକରଣ ମଡ୍ୟୁଲେଟର,आयाम मॉडुलक
ଆଙ୍ଗଷ୍ଟ୍ରମ୍ ୟୁନିଟ୍ |,एंगस्ट्रॉम इकाई
ଆନାଗଲ୍ ସର୍କିଟ୍ |,अनुरूप परिपथ
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,अनुरूप कंप्यूटर
ଆନାଲଗ୍ ଫିଲ୍ଟର୍ |,अनुरूप फिल्टर
ଆନାଗଲ୍ ମଲ୍ଟିମିଟର |,अनुरूप बहुमापी
ଆନାଗଲ୍ ସୁଇଚ୍ |,अनुरूप स्विच
ଏବଂ ଫାଟକ |,AND गेट
କୋଣ ଅନୁକୋଣ,कोणीय आवृत्ति
"ଆୟନ, ଆୟନ","ऋणायन, एनॉयन"
ଆନ୍ନାଲିଙ୍ଗ୍ ତାପମାତ୍ରା |,अनीलन तापमान
anode,ऐनोड
ଆନାଡ୍ ଏମ୍ପ୍ଲିଫାୟର୍ |,ऐनोड प्रवर्धक
anodyne,ऐनोडी करण
ଆଣ୍ଟେନା |,ऐन्टेना
ଆଣ୍ଟେନା ଉପାଦାନ |,ऐन्टेना घटक
ଆଣ୍ଟି-ପ୍ରତିଫଳିତ ଆବରଣ |,परावर्तन रोधी लेपन
ଆଣ୍ଟିଲୋଜିନ ଏମ୍ପ୍ଲିଫାୟର୍ |,प्रतिलघुगुणक प्रवर्धक
ଆଣ୍ଟିରେସୋନାଣ୍ଟ ସର୍କିଟ |,प्रतिअनुनादी परिपथ
ଦ୍ୱାରକ ଅବଧି |,द्वारक काल
ଭର୍ଚୁଆଲ୍ ଶକ୍ତି |,आभासीय शक्ति
ତାର ସଂଯୋଗ,तार संयोजन
ଆନୁମାନିକ ଭୋଲଟେଜ୍ ଲାଭ |,सन्निकट वोल्टता लब्धि
ବାହୁବଳୀ ମଡ୍ୟୁଲେଟର,आर्मस्ट्रांग माडुलक
ଆଣ୍ଟେନା ଆରେ |,ऐन्टेना-व्यूह
"ଆକାର ଅନୁପାତ, ଆସପେକ୍ଟ ଅନୁପାତ |","आकार अनुपात, अभिमुखता अनुपात"
ଭାସମାନ ସର୍କିଟ (ମାଗଣା ଅପରେଟିଂ ସର୍କିଟ),अस्थायी परिपथ (मुक्तचालित परिपथ)
ସ୍ୱୟଂଚାଳିତ ମଲ୍ଟିଭାଇବ୍ରେଟର |,स्वचालित बहुकंपित्र
ଭାସମାନ ମଲ୍ଟିଭାଇବ୍ରେଟର |,अस्थायी बहुकंपित्र
ଅସୀମିତ ଜଙ୍କସନ,असममित संधि
ଅସନ୍ତୁଳିତ କାଲକୁଲେଟର |,अतुल्यकाली गणक
ପରମାଣୁ,परमाणु
ପରମାଣୁ ସଂଖ୍ୟା,परमाणु संख्या
ପରମାଣୁ ଗଠନ,परमाणु संरचना
ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |,श्रव्य प्रवर्धक
ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |,श्रव्य प्रवर्धक
ଅଡିଓ କ୍ୟାସେଟ୍ |,श्रव्य कैसेट
ଅଡିଓ ସର୍କିଟ |,श्रव्य परिपथ
ଶ୍ରବଣ ଫ୍ରିକ୍ୱେନ୍ସି |,श्रव्य आवृत्ति
ସ୍ୱୟଂଚାଳିତ ଭୋଲଟେଜ୍ ନିୟନ୍ତ୍ରଣ |,स्वत: वोल्टता नियंत्रण
ବାଘ,एवलांश
ହାରାହାରି ଡିଟେକ୍ଟର |,औसत संसूचक
ଅକ୍ଷୀୟ ମୋଡ୍ |,अक्षीय विधा
ଅକ୍ଷୀୟ ଅନୁପାତ |,अक्षीय अनुपात
ଆଣ୍ଟେନା |,ऐन्टेना
ପଛକୁ ଇଲେକ୍ଟ୍ରୋମୋଟିଭ୍ ଫୋର୍ସ |,पश्च विद्युत वाहक बल
ପଛ କ୍ଷେତ୍ର,पश्च क्षेत्र
ପଛ ବିଛାଇବା |,पश्च प्रकीर्णन
ପୃଷ୍ଠଭୂମି ଚାର୍ଜ |,पृष्ठभूमि आवेश
ପାର୍ଶ୍ୱ ଶବ୍ଦ |,पार्श्व रव
ପ୍ରତ୍ୟାବର୍ତ୍ତନ,पश्चगमन
ପରବର୍ତ୍ତୀ ବିକିରଣ |,पश्चपालि विकिरण
ପଛୁଆ ଡାୟୋଡ୍ / ପଛୁଆ ଡାୟୋଡ୍ |,बैकवार्ड डायोड/पश्च डायोड
ପଛୁଆ ତରଙ୍ଗ ଓସିଲେଟର |,पश्चगामी तरंग दोलक
"ବାଧା, ବାଧା","बाधिका, व्यारोध"
ବାଧା,बाधिका
ସନ୍ତୁଳିତ ସେତୁ |,संतुलित सेतु
ସନ୍ତୁଳିତ ମଡ୍ୟୁଲେଟର,संतुलित विमॉडुलक
ସନ୍ତୁଳିତ ମଡ୍ୟୁଲେଟର,संतुलित मॉडुलक
ସନ୍ତୁଳିତ ସର୍କିଟ |,संतुलित परिपथ
ସନ୍ତୁଳିତ ଗ୍ରେଡିଏଣ୍ଟ ଡିଟେକ୍ଟର |,संतुलित ढाल संसूचक
ସାମ୍ପ୍ରତିକ ଷ୍ଟାବିଲାଇଜର୍ ପ୍ରତିରୋଧ |,धारा स्थिरक प्रतिरोध
ବୋଲୋମିଟର |,बोलोमीटर
ବୋଲୋମିଟର ବ୍ରିଜ୍ |,बोलोमीटर सेतु
ବେଲୁନ୍ |,बलून
ବାନା ଜ୍ୟାକ୍ |,बनाना जैक
ବାନା ପ୍ଲଗ୍ |,बनाना प्लग
"ବ୍ୟାଣ୍ଡ, ବ୍ୟାଣ୍ଡେଜ୍ |","बैंड, पट्टी"
ବ୍ୟାଣ୍ଡ ଡ୍ରାଇଭର |,बैंड चालक
ବ୍ୟାଣ୍ଡ ଶକ୍ତି,बैंड ऊर्जा
ବ୍ୟାଣ୍ଡ ଫାଙ୍କ |,बैंड अंतराल
ବ୍ୟାଡପାର୍କ ଏମ୍ପ୍ଲିଫାୟର୍ |,बैडपारक प्रवर्धक
ବ୍ୟାଣ୍ଡ ପାସ୍ ଫିଲ୍ଟର୍ |,बैंड पारक फिल्टर
ବାଉଡ୍ ରେଟ୍ ଜେନେରେଟର |,बॉड दर जनित्र
ବ୍ୟାଣ୍ଡଡିସପର୍ସନ |,बैंडफैलाव
ବ୍ୟାଣ୍ଡ ପ୍ରତିରୋଧକ |,बैंड रोधक
ବ୍ୟାଣ୍ଡ ବ୍ରେକର୍ ଫିଲ୍ଟର୍ |,बैंड विरामक फिल्टर
ବ୍ୟାଣ୍ଡ ବିସ୍ତାର,बैंड विस्तार
ବ୍ୟାଣ୍ଡ ରିମୁଭର୍ ଫିଲ୍ଟର୍ |,बैंड वर्जक फिल्टर
ବ୍ୟାଣ୍ଡ ବିସ୍ତାର ଡିଫ୍ଲେକ୍ସନ୍ ମଲ୍ଟିପ୍ଲାଏର୍ |,बैंड विस्तार विक्षेपण गुणक
ବ୍ୟାଣ୍ଡ ବିସ୍ତାର ଦୂରତା ଗୁଣକର୍ତ୍ତା |,बैंड विस्तार दूरी गुणक
"ବିମ୍ କ୍ୟାପେସିଟର, ବ୍ୟାଙ୍କ କ୍ୟାପେସିଟର |","पुंज संधारित्र, बैंक संधारित्र"
"ବାର୍କର୍ କୋଡ୍, ବାର୍କର୍ କୋଡ୍ |","बारकर कूट, बारकर कोड"
ବାରଭାଉଗେନ୍ ମାନଦଣ୍ଡ |,बार्रवाउजेन कसौटी
ବ୍ୟାରେଟର୍,बैरेटर
ପ୍ରତିବନ୍ଧକ |,रोध
ଇନସୁଲେଟିଂ କ୍ୟାପେସିଟର୍ |,रोध संधारित्र
ପ୍ରତିବନ୍ଧକ ଶକ୍ତି |,रोधिका उर्जा
ପ୍ରତିରୋଧକ ଭୋଲଟେଜ୍ |,रोधी वोल्टता
ବାର୍ଟଲେଟ୍ ୱିଣ୍ଡୋ |,बार्टलेट विंडो
"ଆଧାର, ଆଧାର","आधार, बेस"
ବେସ୍ ବ୍ୟାଣ୍ଡ |,आधार बैंड
ବେସ୍ ବ୍ୟାଣ୍ଡ ଟ୍ରାନ୍ସମିସନ୍ |,आधार बैंड संचरण
ଆଧାର ଚାର୍ଜ |,आधार आवेश
ମୂଳ କରେଣ୍ଟ୍ |,आधार धारा
ମୂଳ ସାମ୍ପ୍ରତିକ ଉତ୍ସ |,आधार धारा स्रोत
ମୂଳ କାଟିବା |,आधार कर्तन
ଆଧାର ମଦନ,आधार मादन
ବେସ୍ ଏମିଟର ଫିଡ୍ |,आधार उत्सर्जक संभरण
ବେସ୍ ଏମିଟର ଜଙ୍କସନ |,आधार उत्सर्जक संधि
ମୂଳ ଇଞ୍ଜେକ୍ସନ୍ |,आधार अंतःक्षेपण
ଭୂମି ରେଖା,आधार रेखा
ମୂଳ ପ୍ରତିରୋଧ |,आधार प्रतिरोध
ମୂଳ ଉତ୍ସ |,आधार स्रोत
ଆଧାର ବିସ୍ତାର ପ୍ରତିରୋଧ |,आधार विस्तारण प्रतिरोध
ଆଧାର ବିସ୍ତାର ପ୍ରତିରୋଧ |,आधार विस्तारण प्रतिरोध
ମୂଳ ଘନତା |,आधार मोटाई
ଆଧାର ପ୍ରବେଶ,आधार अभिगमन
"ବେସ୍ ଓସାର ମଡ୍ୟୁଲେସନ୍, ବେସ୍ ବିସ୍ତାର ମଡ୍ୟୁଲେସନ୍ |","आधार चौड़ाई मॉडुलन, आधार विस्तार मॉडुलन"
ଆଧାର ସଂଗ୍ରହକାରୀ ଚୁକ୍ତି |,आधार संग्राहक संधि
ଗନ୍ଧ,बास
ବାସ୍ ଫ୍ରିକ୍ୱେନ୍ସି |,बास आवृत्ति
ବ୍ୟାଟେରୀ,बैटरी
baud,बॉड
ବାଉଡ୍ ହାର,बॉड रेट
ବାଉଡ୍ ରେଟ୍ ଜେନେରେଟର |,बॉड दर जनित्र
ବୋଡୋ କୋଡ୍ |,बोदो कोड
"ସଙ୍କେତ, ବିକନ୍ |","संकेत देना, बीकन"
"ମାଣିକା, ବିଡ୍ |","मणिका, बीड"
ମାଣିକ କ୍ୟାପେସିଟର୍ |,मणिक संधारित्र
ମାଣିକାର୍ଟାପି ପ୍ରତିରୋଧକ |,मणिकातापी प्रतिरोधक
"ବିମ୍ ଆଣ୍ଟେନା, ବିମ୍ ଆଣ୍ଟେନା |","किरणपुंज ऐन्टेना, बीम ऐन्टेना"
ବିମ୍ ଡିଟେକ୍ଟର୍ |,किरणपुंज खोजी
ବିମ୍ ପାୱାର୍ ହୋସ୍ |,किरणपुंज शक्ति नली
ବିମ୍ ସୁଇଚ୍ ନୋଜଲ୍ |,किरणपुंज स्विचन नलिका
ବିମ୍ ବିସ୍ତାର,किरणपुंज विस्तार
ଫ୍ରିକ୍ୱେନ୍ସି,विस्पंद आवृत्ति
ବିଟ୍-ଫ୍ରିକ୍ୱେନ୍ସି ଓସିଲେଟର |,विस्पन्द-आवृत्ति दोलक
ନାଡ ଓସିଲେଟର |,विस्पंद दोलक
ବେଲ୍ |,बेल
ନମ୍ର କ୍ଷତି |,बंकन हानि
ବେସେଲ୍ ଫିଲ୍ଟର୍ |,बेसेल फिल्टर
ବିଟା |,बीटा
b-h ବକ୍ର,बी-एच वक्र
"ପକ୍ଷପାତ, ପକ୍ଷପାତ |","अभिनति, बायस"
ପକ୍ଷପାତ କରେଣ୍ଟ |,बायस धारा
ପକ୍ଷପାତ ପ୍ରତିରୋଧ |,बायस-प्रतिरोधक
ଡବଲ୍ ଆଣ୍ଟେନା |,द्विशंकु ऐन्टेना
ଦ୍ୱି-ଦିଗୀୟ ଲୋଡ୍ କରେଣ୍ଟ୍ |,द्विदिशी लोड धारा
ଦ୍ୱି-ଦିଗୀୟ ଆଣ୍ଟେନା |,द्विदैशिक ऐन्टेना
ଦ୍ୱି-ଦିଗୀୟ ଆଲୋକ ନିର୍ଗତ ଡାୟୋଡ୍ |,द्विदैशिक प्रकाश उत्सर्जक डायोड
ଦ୍ୱି-ଦିଗୀୟ ଥିରିଷ୍ଟର |,द्विदिक् थाइरिस्टर
bi FET ଟେକ୍ନୋଲୋଜି |,द्वि FET तकनीक
ବି ପଏଣ୍ଟ ଟ୍ରାନ୍ସଫର୍ମର |,द्विसूत्री ट्रांसफार्मर
ଡବଲ୍ ଫ୍ୟୁଜନ୍ |,द्विसूत्री आआवलन
ଦ୍ୱିପାକ୍ଷିକ ସର୍କିଟ |,द्विपार्श्विक परिपथ
ବାଇନାରୀ,द्विआधारी
ବାଇନାରୀ ରାଶି,द्विआधारी योग
ବାଇନାରୀ ସର୍କିଟ |,द्विआधारी परिपथ
ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |,द्वि-आधारी कोडित दशमलव
ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ ସିଷ୍ଟମ୍ |,द्वि-आधारी कोडित दशमलव प्रणाली
ବାଇନାରୀ ଡିପୋଲ୍ କ୍ୟାପେସିଟର୍ |,द्विआधारी द्विपरिवर्तक संधारित्र
ବାଇନାରୀ କାଲକୁଲେଟର,द्विआधारी गणक
ବାଇନାରୀ କାଲକୁଲେଟର,द्विआधारी गणित्र
ବାଇନାରୀ ଡିକୋଡର୍ |,द्विआधारी कूट वाचक
ବାଇନାରୀ ସିଡ଼ି |,द्विआधारी सीढ़ी
ବାଇନାରୀ ପାଥୋମିଟର |,द्विआधारी पथमापी
ବାଇନାରୀ ଅବସ୍ଥା |,द्विआधारी अवस्था
ବାଇନାରୀ-ଦଶମିକ ଡିକୋଡର୍ |,द्विआधारी-दशमिक विकोडक
ବାଇନାରୀ ଲୋଡ୍ |,द्विआधारी भार
ବାଇନାରୀ ଶବ୍ଦ |,द्विआधारी शब्द
ଦ୍ୱିପାକ୍ଷିକ,द्विध्रुवी
ଦ୍ୱିପାକ୍ଷିକ କ୍ୟାପେସିଟର୍ |,द्विध्रुवी संधारित्र
ଦ୍ୱିପାକ୍ଷିକ ଉପକରଣ |,द्विध्रुवी युक्ति
ଦ୍ୱିପାକ୍ଷିକ ଉତ୍ସ |,द्विध्रुवी स्रोत
ଦ୍ୱିପାକ୍ଷିକ ଟ୍ରାନଜିଷ୍ଟର |,द्विध्रुवी ट्राजिस्टर
ଦ୍ୱିପାକ୍ଷିକ ଜଙ୍କସନ୍ ଟ୍ରାନଜିଷ୍ଟର |,द्विध्रुवी संधि ट्रांजिस्टर
ଚତୁର୍ଭୁଜ ଫିଲ୍ଟର୍ |,द्विघाती फिल्टर
ଡବଲ୍ ପୋଜିସନ୍ |,द्विस्थितिक
ଦୁଇ ପର୍ଯ୍ୟାୟ ମଲ୍ଟିଭାଇବ୍ରେଟର |,द्विस्थितिक बहुकंपित्र
ଦ୍ୱି-ଦିଗୀୟ ରିଲେ |,द्विस्थितिक रिले
ଦୁଇ ପର୍ଯ୍ୟାୟ ଅବସ୍ଥା |,द्विस्थितिक अवस्था
ଦୁଇ-ଅବସ୍ଥାନ ଟ୍ରିଗର |,द्विस्थितिक ट्रिगर
ବିଟ୍ ତ୍ରୁଟି |,बिट त्रुटि
ବିଟ୍ ତ୍ରୁଟି ହାର,बिट त्रुटि दर
ବିଟ୍ ତ୍ରୁଟି |,बिट त्रुटि
ବିଟ୍କାଲ୍ ତ୍ରୁଟି |,बिटकाल त्रुटि
ଅନ୍ଧ ବାକ୍ସ,अंध पेटी
ଘନୀଭୂତ ନାଡ |,समाच्छादी स्पंद
ସଚିବ,स्रावक
ଗୁପ୍ତ ପ୍ରତିବନ୍ଧକ |,स्रावी प्रतिरोधक
ଅନ୍ଧତା,अंधगति
ବିଭାଗ ଚିତ୍ର,खंड आरेख
ପ୍ରତିବନ୍ଧକକୁ ଅବରୋଧ କରିବା |,अवरूद्ध प्रतिबाधा
ଖଣ୍ଡ ସ୍ଥାନାନ୍ତର |,खंडक स्थानांतरण
ବାଧା,अवरोधन
ପ୍ରତିରୋଧକ କ୍ୟାପେସିଟର |,अवरोधी संधारित्र
ପ୍ରତିରୋଧକ କ୍ୟାପେସିଟର |,अवरोधी संधारित्र
ଓସିଲେଟରକୁ ଅବରୋଧ କରିବା |,अवरोधी दोलक
ପ୍ରତିରୋଧକ ଓସିଲେଟର |,अवरोधी दोलक
ପ୍ରତିରୋଧକ ଭୋଲଟେଜ୍ |,अवरोधी वोल्टता
ବ୍ଲୋଅର୍ |,ब्लोवर
ବୋଡ ଚିତ୍ର,बोडे आरेख
voltzmann ସମ୍ପର୍କ,वोल्ट्जमान संबंध
voltzmann ସ୍ଥିର |,वोल्ट्जमान स्थिंराक
ବନ୍ଧନ,बंध
ବନ୍ଧା ହୋଇଥିବା ଷ୍ଟ୍ରେନ୍ ଗେଜ୍ |,आबद्ध विकृति प्रमापी
ସ୍ୱୟଂ ଚାଳିତ ଏମ୍ପ୍ଲିଫାୟର୍ |,स्वोत्थानी प्रवर्धक
ବୁଲିଅନ୍ ବୀଜ ବିବେଚନା |,बूलीय बीजगणित
ବୁଲିଅନ୍ ସମୀକରଣ |,बूलीय समीकरण
ବୁଟ୍ ଷ୍ଟ୍ରାପନ୍ |,"बूट स्ट्रैपन, स्वोत्थान"
ବୁଥ୍ ର ଆଲଗୋରିଦମ |,बूथ्स आल्गोरिदम
ବୁଟ୍ ଷ୍ଟ୍ରାପ୍ ପ୍ରିଜିମ୍ ସର୍କିଟ୍ |,बूटस्ट्रैप प्रसर्प परिपथ
ବସ୍କଟ୍ ନିୟମ |,बॉसकर्ट्स नियम
ବୋଷ-ଚ owd ଧୁରୀ ହକେନହମ୍ (BCH) କୋଡ୍ |,बोस-चौधरी होकिनहाम (बी.सी.एच) कोड
"ଡେଇଁବା, ଡେଇଁବା |","झंप, उछाल"
ବନ୍ଧା ଇଲେକ୍ଟ୍ରନ୍ |,परिबद्ध इलेक्ट्रॉन
ଗର୍ବ ପ୍ରତିଫଳକ |,ब्रैग परावर्तक
ଅନ୍ତର୍ନିହିତ ତାର,गुंफित तार
ଶାଖା,शाखा
ଶାଖା,शाखन
ପରୀକ୍ଷଣ ବୋର୍ଡ |,प्रयोग पट्ट
ବ୍ରେକ୍ ଜୋନ୍ |,भंजन क्षेत्र
ଭୋଲଟେଜ୍ ଭାଙ୍ଗିବା |,भंजन वोल्टता
ବ୍ରେକଡାଉନ୍ ଡାୟୋଡ୍ |,भंजन डायोड
ଭଙ୍ଗା ଫିକ୍ସିଂ |,भंजन संनिर्धारण
ଭୋଲଟେଜ୍ ଭାଙ୍ଗିବା |,भंजन वोल्टता
ସେତୁ,सेतु
ବ୍ରିଜ୍ ରେକ୍ଟିଫାୟର୍ |,सेतु दिष्टकारी
ପ୍ରଶସ୍ତ ବ୍ୟାଣ୍ଡ |,विस्तृत बैंड
ପ୍ରସାରଣ ବ୍ୟାଣ୍ଡ |,प्रसारण बैंड
ଜ୍ୟୋତିଷ ଆରେ |,निरक्षीय व्यूह
ପ୍ରସାରଣ,प्रसारण
ପ୍ରସାରଣ ଆଣ୍ଟେନା |,प्रसारण ऐन्टेना
ପ୍ରସାରଣ ରସିଦ |,प्रसारण ग्राही
ଫ୍ରିକ୍ୱେନ୍ସି ପ୍ରସାରଣ ରସିଭର୍ |,आवृत्ति प्रसारण अभिग्राही
ପ୍ରସାରଣ ଟ୍ରାନ୍ସମିଟର |,प्रसारण प्रेषित्र
ବୁଷ୍ଟର୍ ଆଣ୍ଟେନା |,बूस्टर ऐन्टेना
ବସ୍ ଆଣ୍ଟେନା |,बूस ऐन्टेना
ବ୍ରଶ୍ ବୁଡ ପକାଇବା |,ब्रश विसर्जन
ବବୁଲିଙ୍ଗ୍ ଏବଂ ଗେଟ୍ |,बुदबूदु AND गेट
ବୁଡବୁଡୁ କିମ୍ବା ଗେଟ୍ |,बुदबूदु OR गेट
ବବୁଲି ମେମୋରୀ |,बुदबूदु स्मृति
ଭୋଲଟେଜ୍ କ୍ଷତିପୂରଣ,प्रतिकारी वोल्टता
ବଫର୍,बफर
ବଫର୍ ଏମ୍ପ୍ଲିଫାୟର୍ |,बफर प्रवर्धक
ବଫର୍ ସର୍କିଟ୍ |,बफर परिपथ
ବଫର୍ ଅପରେଟର୍ |,बफर परिचालक
ବଫର୍ ରେଜିଷ୍ଟର |,बफर पंजी
ବଲ୍ବ,बल्व
ଜନସଂଖ୍ୟା ପ୍ରଭାବ,समष्टि प्रभाव
ମାକ୍ରୋ ସେମିକଣ୍ଡକ୍ଟର ଉପକରଣ |,समष्टि अर्धचालक युक्ति
ଗୁଣ୍ଡ |,गुच्छक
ଜଳମଗ୍ନ ବିନିମୟ |,निमज्जित विनिमय
ଜଳମଗ୍ନ ସ୍ତର |,निमज्जित परत
ଜଳମଗ୍ନ ସମ୍ପର୍କ |,निमज्जित संपर्क
ବ୍ଲାଷ୍ଟ ଏମ୍ପ୍ଲିଫାୟର୍ |,प्रस्फोट प्रवर्धक
ବିସ୍ଫୋରଣ କଭର |,प्रस्फोटी समाच्छादी
ବିସ୍ଫୋରଣ,प्रस्फोट फायरन
ବିସ୍ଫୋରଣ ଦ୍ୱାର ଆମ୍ପ୍ଲିଫାୟର୍ |,प्रस्फोटी द्वार प्रवर्धक
ବିସ୍ଫୋରଣ ମୋଡ୍ |,प्रस्फोटी विधा
ବିସ୍ଫୋରଣ ବିଚ୍ଛିନ୍ନକର୍ତ୍ତା |,प्रस्फोटी पृथक्कारक
ବିସ୍ଫୋରଣ ସଙ୍କେତ,प्रस्फोटी संकेत
ବିସ୍ଫୋରଣ ତ୍ରୁଟି ସଂଶୋଧନକାରୀ କୋଡ୍ |,प्रस्फोट त्रुटि संशोधक कोड
ଯଥେଷ୍ଟ,बस
ବସ୍ ବାର୍,बस बार
ବସ୍ ସଂଗଠନ,बस संगठन
ବସ୍ ମାନକ,बस मानक
କେବଳ କ୍ଷଣସ୍ଥାୟୀ |,बस क्षणिक
ବଟର ମୂଲ୍ୟର ଫିଲ୍ଟର୍ |,बटर वर्थ फिल्टर
bnc ତାର,बीएनसी तार
BNC ଯୋଗକର୍ତ୍ତା |,बीएनसी जोड़क
ବାଟରେ,"उपपथ, उपमार्ग"
ବାଇପାସ୍ କ୍ୟାପେସିଟର୍ |,उपमार्गी संधारित्र
ବାଇଟ୍ |,बाइट
ଭି ବ୍ୟାଣ୍ଡ |,V बैंड
ସି ବ୍ୟାଣ୍ଡ ଆଣ୍ଟେନା |,C बैंड ऐन्टेना
ତାର,तार
ତାର ମାର୍ଗ,तार मार्ग निर्धारण
ଟେଲିଗ୍ରାଫ୍ ଟେଲିଭିଜନ |,तार टेलिविजन
କ୍ୟାଶେ ମେମୋରୀ,कैश स्मृति
ସିସିମ୍ ଫ୍ରିକ୍ୱେନ୍ସି ଷ୍ଟାଣ୍ଡାର୍ଡ |,सिसिमय आवृत्ति मानक
କାଲକୁଲେଟର,परिकलित्र
କାଲିବ୍ରେସନ୍ |,अंशशोधन
କଲ୍ ଠିକଣା,कॉल ऐड्रेस
କଲ୍ପିଟ୍ ଓସିଲେଟର |,कॉलपिट दोलित्र
କ୍ୟାମ ସୀମା,कैम कोर्डर
କ୍ୟାମେରା,कैमरा
କ୍ୟାମେରା ହୋସ୍,कैमरा नली
କ୍ୟାଣ୍ଡେଲା |,केंडेला
ମହମବତୀ ଶକ୍ତି |,कैंडल शक्ति
କ୍ୟାଣ୍ଟିଲାଇଭର ଷ୍ଟ୍ରେନ୍ ଗେଜ୍ |,कैन्टीलिवर विकृति प्रमापी
ଧରିବା,धारिता
କ୍ଷମତା ରକ୍ତଚାପ ଟ୍ରାନ୍ସଡ୍ୟୁସର |,धारिता रक्तचाप ट्रान्सड्यूसर
ବିତରକ,धारिता वितरक
ଚୁକ୍ତିନାମା,संधि धारिता
କ୍ୟାପିଟାନ୍ସ ଗେଜ୍ |,धारिता मापी
ସଂଗ୍ରହକାରୀ,धारिता उद्ग्राही
କ୍ଷମତା ପ୍ରତିକ୍ରିୟା,धारिता प्रतिघात
"କ୍ଷମତା ସମ୍ପନ୍ନ ଶକ୍ତି ରୂପାନ୍ତରକାରୀ, ଟ୍ରାନ୍ସଡ୍ୟୁସର |","संधारी ऊर्जा परिवर्तित्र, ट्रासड्यूसर"
କ୍ୟାପେସିଟର,संधारित्र
