English,Odiya
Action potential,କାର୍ଯ୍ୟ ସମ୍ଭାବନା
Activated sludge,ସକ୍ରିୟ ସ୍ଲେଜ୍ |
Activated sludge floc,ସକ୍ରିୟ ସ୍ଲେଜ୍ ଫ୍ଲୋକ |
Activation energy,ସକ୍ରିୟ ଶକ୍ତି
Active absorption,ସକ୍ରିୟ ଶୋଷଣ
Active immunity,ସକ୍ରିୟ ପ୍ରତିରୋଧକତା |
Active radiation,ସକ୍ରିୟ ବିକିରଣ |
Active site,ସକ୍ରିୟ ସାଇଟ୍
Activin,କାର୍ଯ୍ୟକର୍ତ୍ତା
Acuminate,ଆକ୍ରମିନେଟ୍ |
Adamsia,ଆଡାମାସିଆ |
Adaptability,ଅନୁକେତ
Adaptation,ଆଡାପ୍ଟେସନ୍
Adaptation to light regime,ହାଲୁକା ଶାସନ ପାଇଁ ଆଡାପ୍ଟେସନ୍ |
Adaptation to water scarcity,ଜଳ ଅଭାବରୁ ଆଡାପ୍ଟେସନ୍ |
Adaptive characteristics,ଆଡାପ୍ଟିଭ୍ ବ characteristics ଶିଷ୍ଟ୍ୟଗୁଡିକ |
Adaptive immunity,ଆଡାପ୍ଟିଭ୍ ଇନମୁନିଟି |
Adaptive radiation,ଆଡାପ୍ଟିଭ୍ ବିକିରଣ |
Adaptive trait,ଆଡାପ୍ଟିଭ୍ ଗୁଣ |
Adaxial surface,ଆଡକ୍ସିଆଲ୍ ଭୂପୃଷ୍ଠ |
Addictive disorder,ନିଶା ବ୍ୟାଧି |
Adenine,ଆଡେନିନ୍
Adenocorticotropin,ଆଡେନୋକର୍ଟିକୋଟ୍ରୋପିନ୍ |
Adenohypophysis,Adenehiopophisisisis
Adenosin diphosphate,ଆଡେନୋଜିନ୍ ଡିଫୋସେଫେଟ୍ |
Adenosine deaminase,ଆଡେନୁସିନ୍ ତ୍ୟାଗ କର |
Adenosine monophosphate,ଆଡେନୁସିନ୍ ମୋନୋଫୋସଫେଟ୍ |
Adenosine triphosphate (ATP),ଆଡେନୁସିନ୍ ଟ୍ରିପ୍ଫେଟ୍ (ATP)
Adenylate cyclase,ଆଡେନିଲେଟ୍ ସାଇକ୍ଲାଜିନ୍ |
Adhesive force,ଆଡେସିଭ୍ ଫୋର୍ସ |
Adipate,ଆଡିପେଟ୍ କରନ୍ତୁ |
Adipocyte (fat cell),Adipocyte (ଫ୍ୟାଟ୍ ସେଲ୍)
Adipose tissue,ସିସ୍ୟୁଜ୍ ଟିସୁ |
Adnate,ଆଡନେଟ୍ |
Adjoining community,ସଂଲଗ୍ନ ସମ୍ପ୍ରଦାୟର |
Adrenal,ଆଡ୍ରେନାଲ୍
Adrenal gland,ଆଡ୍ରେନାଲ୍ ଗ୍ରନ୍ଥି |
Adrenocorticotropic hormone (ACTH),ଆଡ୍ରେନିକୋ ବୋଟ୍ରୋପିକ୍ ହରମୋନ୍ (ACTH)
Adrenocorticotropic releasing hormone (ACTRH),ଆଡ୍ରେନାକର୍ଟିକୋଟ୍ରପିକ୍ ରିଲିଜ୍ ହରମୋନ୍ (ACTRH)
Adsorbent,ଆଡସରବେଣ୍ଟ
Adsorption,ଆଡେର୍ସନ୍
Advanced chordate,ଉନ୍ନତ ମୂଲ୍ୟ |
Advantageous mutation,ଲାଭଦାୟକ ଗଣିତ |
Adventitial,ଦୁ vent ସାହସିକ କାର୍ଯ୍ୟ |
Adventitious root,ଖରାପ ମୂଳ
Adverse effect,ପ୍ରତିକୂଳ ପ୍ରଭାବ
Aedes,AED ଗୁଡିକ
Aeration of culture,ସଂସ୍କୃତିର ଆରେସନ୍
Aerenchyma,ଆତଙ୍କିତାମା |
Aerial,ବାୟୁ
Aerial root,ବାୟୁଏଟ୍ ମୂଳ |
Aerial shoot,ଏରିଲ୍ ସୁଟ୍ |
Aerobic respiration,ଏରୋବିକ୍ ଶ୍ iration ଗଡା |
Aerobic respiration,ଏରୋବିକ୍ ଶ୍ iration ଗଡା |
Aesthetics,ସ est ନ୍ଦର୍ଯ୍ୟ
Aestivation,ବାୟେ
Aestivation,ବାୟେ
Afferent,ବିଶଙ୍ଗ
Affinity chromatography,ଆଫିନିଟି କ୍ରୋମାଟୋଗ୍ରାଫି |
Afflicted organ,ଅଙ୍ଗପ୍ରତ୍ୟଙ୍ଗ ଅଙ୍ଗ |
Afforestation,ଆଗ ଶତ୍ରୁମାନଙ୍କର
Agamospermy,ଆଗାମୋପର୍ମୀ |
Agar,ଅଗର
Agarose,ଆଗ୍ରୋଜ୍
Agarose gel eletrophoresis,ଆଗାରୋସ୍ ଗେଲ୍ ଇଟ୍ରୋଫୋରସ୍ |
Agarose polymer gel,ଆର୍ଗ୍ରୋଜ ପଲିମର ଜେଲ୍ |
Agast,ଆଗିଷ୍ଟ
Agave,ଆଗେଭ୍
Age distribution,ବୟସ ବଣ୍ଟନ |
Age pyramid,ବୟସ ପିରାମିଡ୍ |
Agglutination,Agglutination
Aggregate,ସମୁଦାୟ
Aggregate of follicle,ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |
Aggregate of follicle,ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |
Aggregation,ମିଳନ
Aggressiveness,ଆକ୍ରମଣାତ୍ମକତା
Agitator system,Agiitor ତନ୍ତ୍ର
Agnatha,ଆଗନାଥା
Agouti,ଆଗାଉଟି
Agranal chloroplast,ଆଗ୍ରାନାଲ କ୍ଲୋରୋପ୍ଲାଷ୍ଟ |
Agranular,ଆଗ୍ରାନୁଲାର୍
Agranulocyte,ଆଗ୍ରାନୁଲୋସେଟେଟ୍ |
Agriculture,କୃଷି
Agroforestry,Agroftry
Agrobacterium mediated,Agrobacterium ମଧ୍ୟସ୍ଥି |
Agrobacterium tumefaciens,Agrobacterium tumfacienss |
Agrochemical,ଆଗ୍ରୋକେମିକାଲ୍ |
Agrochemical,ଆଗ୍ରୋକେମିକାଲ୍ |
Agroclimatic zone,Agrovillatatic ଜୋନ୍ |
Agronomic trait,କ agnownom ଣସି ଗୁଣଗତ ଗୁଣ |
Agronomy,କିରେନୋନୋମ୍ବନ
AIDS,ଏଡଡ୍ସ
Air bladder,ଏୟାର ବ୍ଲାଡର |
Air conditioner,ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି
Air passage,ବାୟୁ ପାସ୍ |
Air pollution,ବାୟୁ ପ୍ରଦୂଷଣ
Air sac,ଏୟାର ଥଳି
Air vacuole,ବାୟୁ ଶୂନ୍ୟ
Air-breathing,ବାୟୁ ନିଶ୍ୱାସ ନେବା |
Alain,ଅଲିନ୍ |
Alary muscle,ଆଲେରୀ ମାଂସପେଶୀ |
Alaskan brown bear,ଆଲାସ୍କାନ୍ ବ୍ରାଉନ୍ ଭାଲୁ |
Albino,ଆଲବିନୋ |
Albugo,ଆଲବୁଗୋ |
Albumin,ଆଲବମିନ |
Albuminous seed,ଆଲବମିନସ୍ ବିହନ |
Albuminuria,ଆଲବୁମିନିରିଆ |
Alburnum,ଆଲବର୍ନମ୍
Alcedae,ଆଲେଡା
Aldehyede,ଆଲଡେହେଡି
Aldosterone system,ଆଲଡୋଷ୍ଟେରନ୍ ସିଷ୍ଟମ୍ |
Aldosterone,ଆଲଡୋଷ୍ଟେରୋନ୍ |
Aleurone layer,ଆଲେରୋନ୍ ସ୍ତର |
Aleuroplast,ଆଲେରୋପ୍ଲେଷ୍ଟ |
Alfalfa,Alfalfa
Algal bloom,ଆଲଗାଲ୍ ଫୁଲ |
Algin,ଅପଗନ୍
Alien DNA,ଏଲିଏନ୍ ଡିଏନ୍
Alien species,ଏଲିଏନ୍ ପ୍ରଜାତି |
Alignment,ପରିଚାଳିତ
Alignment,ପରିଚାଳିତ
Alimentary canal,ଆଲିମେଣ୍ଟେରି କେନାଲ୍ |
Alimentary system,ଆଲିମେଣ୍ଟାରୀ ସିଷ୍ଟମ୍ |
Alismaceace,ଆଲି ବ୍ୟଞ୍ଜସେମେସେସ୍ |
Alkaloid,ଆଲକାଲାଇଡ୍ |
Alkaline,କ୍ଷାରିକ |
Alkaptonuria,ଅଲକାପଟୋନେର୍ଜିଆ
Allantois,ଆଲାନ୍ସିଟ୍
Allele frequency,ଆଲେଲେ ଫ୍ରିକ୍ୱେନ୍ସି |
Allele,ଆହେଲେ |
Allelomorphic pair,ଆଲୋଲେମୋମିକ୍ ଯୋଡି |
Allergen,ଆଲ୍ରେଜେନ |
Alligator,ଆଲିଗେଟର୍ |
Allium cepa,ଅସ୍ତ୍ରଶିୟ୍ ସେପୁ
Allogamy,ଆଲଗଲାମି |
Allograft,ଆଲିଗ୍ରାଫ୍ଟ |
Allopatric speciation,ଆଲପ୍ପାଟ୍ରିକ୍ ଯଥାର୍ଥ |
Allopolyploid,ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |
Allosteric effect,ଆଲିସ୍ମିକ ପ୍ରଭାବ
Allosteric enzyme,ଆଲିଶୋରଙ୍କ ଏନଜାଇମ୍ |
Allosteric inhibitor,ଆଲିସ୍ଟର ଇନହିବିଟର୍ |
Allosteric modulation,ଆଲିସ୍ମିକ ମୋଡୁଲେସନ୍ |
Allosteric site,ଆଲିସର୍ଏଣ୍ଟିକ୍ ସାଇଟ୍ |
Allosteric inhibition,ଆଲିସ୍ଟର ପ୍ରତିବନ୍ଧକ |
Allotetraploid,Allototreplid
Alnus,Alnus
Aloe,ଆଲୋ
Along the axon,ଆକ୍ସନ୍ ସହିତ |
Alpha-antitrypsin,ଆଲଫା-ଆଣ୍ଟିକ୍ରିପ୍ସିନ୍ |
Alpha-lactalbumin,ଆଲଫା-ଲାକ୍ଟାଲବ୍ୟୁମିନ୍ |
Alpine climate condition,ଆଲପାଇନ୍ ଜଳବାୟୁ ଅବସ୍ଥା |
Alpine meadow,ଆଲପାଇନ୍ ମଟର |
Alpine zone,ଆଲପାଇନ୍ ଜୋନ୍
Alstonia,ଆଲଷ୍ଟୋନିଆ
Alternaria,ସର୍ବୋଚ୍ଚame
Alternate,ବିକଳ୍ପ
Alternation of generation,ପି generation ଼ିର ବିକଳ୍ପ
Altitude sickness,ଉଚ୍ଚତା ରୋଗ
Altitude,ଉଚ୍ଚତା
Alveolar duct,ଆଲଭୋଲାର୍ ନଳୀ |
Alytes,Aytes
Alzheimer's disease,ଅଲଜାଇମର ରୋଗ |
Amacrine cell,ଆମାକରାଇନ୍ ସେଲ୍ |
Amaranthaceae,ଅମରନ୍ତାସିଦା |
Amaranthus,ଅମରାନ୍ତିନ |
Ambient osmotic concentration,ପରିବେଶ ଓସମାଟିକ୍ ଏକାଗ୍ରତା |
Ambystoma,ଅମ୍ବିଷ୍ଟୋମା |
Amide,ବନ୍ଧୁତ୍ୱ
Amino acid,ଆମିନୋ ଏସିଡ୍ |
Amino acid acceptor,ଆମିନୋ ଏସିଡ୍ ଗ୍ରହଣକାରୀ |
Aminoacyl t RNA synthetase,AminoicaL t rna syntHetase |
Aminoacylation,ଆମିନୋଫାଇସନ୍ |
Amitosis,ଅମିତୋସାଇସ୍ |
Ammonia,ଆମୋନିଆ
Ammonification,ଆମୋନିଫିକେଟ୍
Ammonotelism,ଆମାମୋଟେଲ୍ଜିମ୍ |
Amniocentesis,ଆମନିଓସେଣ୍ଟେସିସ୍ |
Amniocentesis technique,ଆମନିଓସେଣ୍ଟେଟିସ୍ କ techni ଶଳ |
Amniocyte,ଆମନିଓକେଟ୍ |
Amnion,ଆମନିଅନ୍
Amniotic fluid,ଆମନିଓଟିକ୍ ଫ୍ଲୁଇଡ୍ |
Amniotic membrane,ଆମନିଓଟିକ୍ ମେମ୍ବ୍ରେନ୍ |
Amniotic sac,ଆମନିଓଟିକ୍ ଥଳି |
Amoeba,ଆମୋବା
Amoebocyte,ଆମୋବାଇଟିଟ୍ |
Amoeboid,ଆମୋବିଏଡ୍
Amoeboid lymphocyte,ଆମୋବିଏଡ୍ ଲିମ୍ଫୋସିଟିଟ୍ |
Amoeboid movement,ଆମୋବିଏଡ୍ ଆନ୍ଦୋଳନ |
Amorphous,ଆମୋରଫସ୍ |
Amount,ପରିମାଣ
Amphetamine,ଆମ୍ଫେଟାମାଇନ୍ |
Amphibia,ଆମ୍ଫିବିଆ
Amphibian,ଆମ୍ଫିବିଆନ୍
Amphibian,ଆମ୍ଫିବିଆନ୍
Amphioxus,ଆମ୍ଫାଇଓକ୍ସସ୍ |
Amphioxus lanceolatus,ଆମ୍ଫାଇଓକ୍ସସ୍ ଲାନସୋପାଟସ୍ |
Amphipathic,ଆମ୍ଫିସିଚିକ୍ |
Amphipathic lipid,ଆମ୍ଫିପିଟିକ୍ ଲିପିଡ୍ |
Amphisarca,ଆମ୍ଫାଇସାର୍କା |
Ampicillin,Ampicilillin
Ampulla,ଅମପୁଲାଲା |
Ampullary gland,ଆମପୁଲାରୀ ଗ୍ରନ୍ଥି |
Amygdal,ଆମିଜିଡାଲ୍ |
Amygdale,ଆମିଗଡାଲେ |
Amygdalin,ଆମିଗାଡାଲିନ୍ |
Amylase,ଆମିଲେଜ୍
Amyloplast,ଆମିଏଲପ୍ଲାଷ୍ଟ |
Anabaena,ଅବାନା
Anabas,ଅରବା
Anabolic pathways,ଆନାବୋଲିକ୍ ପଥ |
Anabolism,ଆନାବୋଲିଜିମ୍ |
Anacardiaceae,ଆନାଚାର୍ଡସିଆନା |
Anaemia,ରକ୍ତଦାତା
Anaerobe,ଆନାରୋବେ |
Anaerobic fuel,ଆନାରୋବିକ୍ ଇନ୍ଧନ |
Anaerobic respiration,ଆନାରକୋବର ଶ୍ iration ାସକ୍ରିୟା |
Anaerobic sludge digester,ଆନାରୋବିକ୍ ରୋକ୍ଲିଜ୍ ଡିଜିଟର୍ |
Anaerobic,ଆନାରକୋବର |
Anaima,ଆନିମା
Anal,ଆନାଲ୍
Anal,ଆନାଲ୍
Anal aperture,ଆନାଲ୍ ଆପେଚର |
Anal cerci,ଆନାଲ୍ ccor
Anal loop,ଆନାଲ୍ ଲୁପ୍ |
Anal style,ଆନାଲ୍ ଶ style ଳୀ
Analogous,ଅନୁରୂପ
Analogous,ଅନୁରୂପ
Analogy,ଆନାଲୋଜି
Analogy,ଆନାଲୋଜି
Analysis,ବିଶ୍ଳେଷଣ |
Anaphase,ଅଯାସୀ
Anatomic barrier,ଆନାଟୋମିକ୍ ପ୍ରତିବନ୍ଧକ |
Anatomical aspect,ଆନାଟୋମିକାଲ୍ ଦିଗ |
Anatomist,Anatomist-
Anatomy,ଆନାଟୋମି |
Ancestor descendant sequence,ପିତୃପୁରୁଷ ବଂଶର କ୍ରମ |
Ancestral lineage,ପ ancest ତୃକ ରେଖା |
Ancestral sequence,ପ ancest ତୃକ କ୍ରମ |
Ancylostoma,ଏକସେଲୋସୋମା |
Androecium,ଆଣ୍ଡ୍ରୋକିୟମ୍ |
Androgen,ଆଣ୍ଡ୍ରୋଜେନ |
Anemia,ରକ୍ତଦାତା
Anemone,ଆନିମୋନ୍ |
Aneuploid,ଆନୁପ୍ଲଏଡ୍ |
Aneuploidy,ଆନୁପ୍ଲୋଡି
Angina,ଆଞ୍ଜିନା
Angiogram,ଆଞ୍ଜିୟରମ୍ |
Angiograph,ଆଙ୍ଗିଓଗ୍ରାଗ୍
Angiography,ଆଙ୍ଗିଓଗ୍ରାଫି |
Angioplasty,An anivoplasty
Angiosperm,ଅଙ୍ଗୁଳି ପାରସ୍ପରିକ
Angiotensin,Anigiotensin |
Angiotensinogen,ଆଙ୍ଗିଓଟେନିନୋଜେନ |
Angler fish,ଅଙ୍ଗର ମାଛ |
Anguina,ଆଞ୍ଜୁଆନା
Anguis,ଆଙ୍ଗୁଠି
Animal,ପଶୁ
Animal,ପଶୁ
Animal dung,ପଶୁ ଗୋବର
Animal husbandry,ପଶୁ କୁମ୍ଭାରୀ
Animal karyotyping,ପଶୁ କାରିଟାଇପିଂ |
Animal kingdom,ପଶୁ ରାଜ୍ୟ
Animal tissue,ପଶୁ ଟିସୁ |
Animalia,ପଶୁ
Anion,ଆନାୟଣ
Anisotropic band,ଆନିସୋଟ୍ରୋପିକ୍ ବ୍ୟାଣ୍ଡ |
Annealing,ଆନାଲିଟିଂ
Annelid,Annleled
Annelida,ଆଙ୍କିଲଦା |
Annual ring,ବାର୍ଷିକ ରିଙ୍ଗ |
Annulated,ପୁର୍ଣ୍ଣିକ
Annule,ନିନ୍ଦା
Anomalous type,ଆନୋମାଲିୟ ପ୍ରକାର |
Anopheles,ଅଧପତ୍ର
Ant eater,ପିମ୍ପୁଡ଼ି ଭୋଜନକାରୀ
Antagonistic,ବିରୋଧୀ |
Antarctic,ଅପବିତ୍ର
Antenna,ଆଣ୍ଟେନା |
Antenna complex,ଆଣ୍ଟେନା କମ୍ପ୍ଲେକ୍ସ |
Antennal gland,ଆଣ୍ଟେନାଲ୍ ଗ୍ରନ୍ଥି |
Anterior (ventral) gray horn,ଆଣ୍ଟରିଅର୍ (ଭେଣ୍ଟ୍ରାଲ୍) ଧୂସର ଶିଙ୍ଗ |
Anterior hypophysis,ଆଣ୍ଟ୍ଟରର ହାଇପୋଫାଇସିସ୍ |
Anterior interventricular sulcus,ପୂର୍ବର ସେଣ୍ଟ୍ରଭେଷ୍ଟ୍ରିକୁଲାର୍ ସଲ୍କସ୍ |
Anther,ଅଙ୍କନ
Anther culture,ଆନାଥନ୍ ସଂସ୍କୃତି
Antheridium,ଆନିଚାଇଡିୟମ୍ |
Antherozoid,ଆନ୍ଥ୍ରୋଜଏଡ୍ |
Anthoceros,ଆନ୍ଥୋକେସୋସ୍ |
Anthocerotopsida,ଆନ୍ଫୋସିଆରୋଟୋସିଡା |
Anthrax,ଆନ୍ଥ୍ରାକ୍ସ |
Anthropogenic extinction,ଆନ୍ଥ୍ରୋପେନିକ୍ ବିଲୁପ୍ତ |
Anthropology,ଆନ୍ଥ୍ରୋପୋଲୋଜି |
Antibacterial,ଆଣ୍ଟିବଜାର କଟୁ
Antibiotic penicillin,ଆଣ୍ଟିବାୟୋଟିକ୍ ପେନିସିଲିନ୍ |
Antibiotic resistant,ଆଣ୍ଟିବାୟୋଟିକ୍ ପ୍ରତିରୋଧକ |
Antibiotic(s),ଆଣ୍ଟିବାୟୋଟିକ୍ (ଗୁଡିକ)
Antibody,ଆଣ୍ଟିବଡି |
Antibody couple,ଆଣ୍ଟିବଡି ଦମ୍ପତି |
Antibody mediated immunity,ଆଣ୍ଟିବଡି ମଧ୍ୟସ୍ଥତା ଅବିସ୍ମରଣୀୟ |
Anticoagulant,ଆଣ୍ଟିକୋଗୁଏଲାଣ୍ଟ |
Anticodon loop,ଆଣ୍ଟିକୋଡନ୍ ଲୁପ୍ |
Antidepressant,ପୃଥିବୀ ନିରାଶ
Antidiuretic hormone (ADH),ଆଣ୍ଟିଭାସିଟିକ୍ ହରମୋନ୍ (ADH)
Antigen gene,ଆଣ୍ଟିଗେନ୍ ଜିନ୍
Antigen-antibody complex,ଆଣ୍ଟିଜେନ୍-ଆଣ୍ଟିବଡି ଜଟିଳ |
Antigenic determinant,ଆଣ୍ଟିଜେନିକ୍ ନିର୍ଣ୍ଣୟ |
Antinutritional factor,ଆଣ୍ଟିନ୍ୟୁଟେସନ୍ ଫ୍ୟାକ୍ଟର୍ |
Antioxidant,ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ୍ |
Antipodal nucleus,ଆଣ୍ଟିପୋଡାଲ୍ ନ୍ୟୁକ୍ଲିୟସ୍ |
Anti-sense RNA,ଆଣ୍ଟି-ସେନ୍ସ rna
Antiviral protein,ଆଣ୍ଟିଭାଇରାଲ୍ ପ୍ରୋଟିନ୍ |
Antrum,ଆଣ୍ଟରୁମ୍
Anucleate,ଅକ୍ୟୁଚେଟ୍ |
Anus,ମଳଦ୍ୱାର
Anxiety disorder,ଚିନ୍ତା ବ୍ୟାଧି
Aortic arch,ଆର୍ଟିକ୍ ଆର୍କ
Aortic ganglion,ଆର୍ଟିକ୍ ଗ୍ୟାଙ୍ଗଲିଅନ୍ |
Aortic semilunar valve,ଆର୍ଟିକ୍ ସେମିଲୁନାର୍ ଭଲଭ୍ |
Aortic valve,ଆର୍ଟିକ୍ ଭଲଭ୍ |
APC (anaphase promoting complex),APC (ଆନାଫାଜ୍ ପ୍ରୋତ୍ସାହିତ କରନ୍ତୁ)
Apelike ancestor,Apeleke etister
Aphid,ଆପିଡ୍ |
Aphrodite,ଆଫ୍ରୋଡାଇଟ୍ |
Apical dominance,ଆପିକାଲ୍ ପ୍ରାଧାନ୍ୟ |
Apical pad,ଆପିକାଲ୍ ପ୍ୟାଡ୍ |
Apiculture,ଆପିକଲ୍ଟର |
Apis indica,APIS Inica
Aplanospore,ଆପ୍ଲାନୋସ୍ପୋର |
Aplysia,Aplisiia |
Apocarpae,ଆପୋନାପରୁ |
Apocarpous,ଆପେରପୋସ୍ |
Apocarpous ovary,ଆପିସିଆପସ୍ ଡିମରୀ |
Apocrine gland,ଆପୋକ୍ରାଇନ୍ ଗ୍ରନ୍ଥି |
Apoenzyme,ଆଜୋରଜାଇମ୍
Apomict,ଆପୋମାକ୍ଟ |
Apomixis,ଆପୋମିକ୍ସସ୍ |
Apoplasm,ଆପପୋସମ୍
Apoplastic pathway,ଆପୋପ୍ଲୋପ୍ସିଆମ୍ ପଥ
Apoptosis,ଆପୋଟୋଏସ୍
Apparatus,ଉପକରଣ
Appendicular skeleton,ଆପେଣ୍ଡିକୁଲାର୍ କଙ୍କାଳ
Appendix of the caecum,କେନାଓମାର ପରିଶିଷ୍ଠ |
Apple snail,ଆପଲ୍ ଶାବକ |
Aquaculture,ଜଳସେଚନ
Aquaporin,ଆକ୍ୱାପୋରିନ୍ |
Aquatic amphibian,ଆକ୍ୱାଟିକ୍ ଆମ୍ଫିବିଆନ୍ |
Aquatic form,ଜଳୀୟ ଫର୍ମ |
Aquatic habitat,ଜଳୀୟ ବାସସ୍ଥାନ |
Aquatic organism,ଜଳୀୟ ଜୀବ |
Aquatic plant,ଜଳୀୟ ଉଦ୍ଭିଦ |
Aquatic respiration,ଆକ୍ୱାଟିକ୍ ଶ୍ iration ାସକ୍ରିୟା |
Aqueous fluid,ଜଳୀୟ ତରଳ |
Aqueous humur,ପ୍ରତିବନ୍ଧକ ହଲେର |
Aqueous intra-cellular fluid,ପ୍ରତିବନ୍ଧକ ଉଦ୍ଭାବନ-ସେଲ୍ୟୁଲାର ତରଳ |
Aqueous sample,ଜଳୀୟ ନମୁନା |
Aqueous solution,ଜଳୀୟ ସମାଧାନ |
Aquila,ଆକ୍ୱିଲା |
Arabidopsis,ଆରଆଡିଡୋସିସ୍
Arachnida,ଆରାଚ୍ନିଡା |
Arachnoid,ଆରାଚନୋଏଡ୍ |
Araneus,ଆରୋନିସସ୍ |
Arborescent,ଅର୍ବରସେଣ୍ଟ |
Arborescent lycopod,ଆର୍ବୋରେସେଣ୍ଟ୍ ଲାଇକୋପୋଡ୍ |
Archaebacteria,ବହୁମାରକ
Archegonium,ଆର୍କେଗୋନିୟମ୍ |
Archipelago,ଦ୍ୱୀପପୁଞ୍ଜ
Arctic,ଆର୍କଟିକ୍ |
Arctic tern,ଆର୍କଟିକ୍ ଟର୍ନ |
Arctic tundra,ଆର୍କଟିକ୍ ଟୁଣ୍ଡ୍ରା |
Ardea,ଅମାରୀ |
Areolar tissue,ଆରେନଲର ଟିସୁ |
Argemone (prickly poppy),ଆର୍ଜେନ (ପ୍ରିକ୍ଲି ପପି)
Argemone mexicana,ଆର୍ଜେନ ମେକ୍ସିକାନା |
Arginine,Arginine
Arid region,ଶୁଷ୍କ ଅଞ୍ଚଳ |
Aristolochiaceae,ଆରିଷ୍ଟୋଚିଆସିଆନା |
Arm feeding,ବାହୁ ଖାଇବାକୁ
Armyworm,ସେନା କୀଟ |
