Malayalam,English
ആഡ് ഹോക്ക്,Ad hoc
AD HOC ക്ലെയിം,Ad hoc claim
താൽക്കാലിക സമിതി,Ad hoc committee
താൽക്കാലിക വർദ്ധനവ്,Ad hoc increase
പരസ്യ ഹോക് പേയ്മെന്റ്,Ad hoc payment
തൊട്ടുകിടക്കുന്ന,Adjacent
തൊട്ടടുത്ത് (= തുടർച്ചയായ),Adjoining (=contiguous)
വചലിക്കുക,Adjournment
നീരസം ചലനം,Adjournment motion
Cakudgge,Adjudge
ശിക്ഷിക്കപ്യം,Adjudicate
വിധിന്യായ,Adjudication
Adjudication,Adjudicator
കമപ്പെടുത്തല്,Adjustment
രാജംഭരിക്കുക,Administer
സത്യപ്രതിഷേധിക്കുന്നു,Administer oath
ഭരണകൂടം,Administration
നീതിയുടെ ഭരണം,Administration of justice
ഭരണപരമായത്,Administrative
അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം,Administrative action
അഡ്മിനിസ്ട്രേറ്റീവ് മൂല്യനിർണ്ണയം,Administrative appraisal
അഡ്മിനിസ്ട്രേറ്റീവ് അംഗീകാരം,Administrative approval
അഡ്മിനിസ്ട്രേറ്റീവ് അതോറിറ്റി,Administrative authority
അഡ്മിനിസ്ട്രേറ്റീവ് നിയന്ത്രണം,Administrative control
അഡ്മിനിസ്ട്രേറ്റീവ് തീരുമാനം,Administrative decision
അഡ്മിനിസ്ട്രേറ്റീവ് വകുപ്പ്,Administrative department
അഡ്മിനിസ്ട്രേറ്റീവ് ഹെഡ്,Administrative head
അഡ്മിനിസ്ട്രേറ്റീവ് ആസ്ഥാനം,Administrative headquarters
ഭരണപരമായ നടപടികൾ,Administrative measures
ഭരണപരമായ ശക്തി,Administrative power
ഭരണപരമായ അനുമതി,Administrative sanction
അഡ്മിനിസ്ട്രേറ്റീവ് രീതി,Administrative technique
അഡ്മിനിസ്ട്രേറ്റീവ് ട്രൈബ്യൂണൽ,Administrative tribunal
അനഭാക്ഷ്യം,Admissibility
അനുവദനീയമായ ചെലവ്,Admissible expenditure
സമ്മതിക്കുക,Admit
അഡ്മിറ്റ് കാർഡ്,Admit card
പ്രവേശിപ്പിച്ചു,Admitted
ഉപദേഷ്ടാപ്പ്,Admonish
ദന്തം,Adoptee
ച്ചക്കല്,Adoptor
ദത്ത്,Adoption
പായപൂര്ത്തിയായി,Adult
മായം,Adulteration
വഭിചാരം,Adultery
മുതിർന്നവർക്കുള്ള ഫ്രാഞ്ചൈസി,Adult franchise
പരസ്യ മൂല്യനിർണ്ണയം,Ad valorem duty
മുന്നേറുക,Advance
അഡ്വാൻസ് ബുക്കിംഗ്,Advance booking
അഡ്വാൻസ് കോപ്പി,Advance copy
അഡ്വാൻസ് ഇൻക്രിമെന്റ്,Advance increment
അഡ്വാൻസ് പേയ്മെന്റ്,Advance payment
പ്രതികൂല പ്രവേശനം,Adverse entry
പ്രതികൂല പരാമർശങ്ങൾ,Adverse remarks
പ്രതികൂല റിപ്പോർട്ട്,Adverse report
വിജ്ഞാപനം,Advertisement
ഉപദേശം,Advice
പേയ്മെന്റിന്റെ ഉപദേശം,Advice of payment
ഉപദേശക സമിതി,Advisory committee
ഉപദേശക സമിതി,Advisory council
വാദിക്കുക,Advocate
കാര്യങ്ങൾ,Affairs
സതവാങ്മൂലം,Affidavit
ബന്ധം,Affiliation
സ്ഥിരീകരണം,Affirmation
ഉറപ്പിക്കുന്ന,Affirmative
ഉളവാക്കുക,Afford
മേൽപ്പറഞ്ഞ,Aforesaid
ശെറെഷ്,Afresh
എതിരായി,Against
വയസ്സ്,Age
പ്രായപരിധി,Age certificate
വോട്ടവകാശത്തിനുള്ള പ്രായം,Age for suffrage
പ്രായപരിധി,Age limit
നിര്വ്വഹണം,Agency
കാരപരിപാടി,Agenda
വിരമിക്കലിന്റെ പ്രായം,Age of retirement
അപാദന പ്രായം,Age of superannuation
അഗ്രഗേഷൻ,Aggregation
ദു ved ഖിച്ചു,Aggrieved
പ്രക്ഷോഭക്തി,Agitation
AGM,AGM
കരാര്,Agreement
കരാർ ഫോം,Agreement form
കൃഷിപ്പണി,Agriculture
കാർഷിക വ്യവസായം,Agro-industry
സഹായം,Aid
ആപല്സൂചന,Alarm
ജാല്തചിഹ്നം,Alertness
അപരാഭിധാനം,Alias
കുറ്റാരോപണം,Allegation
മേല്ക്കോയ്മയോട് ഭക്തി,Allegiance
സഖം,Alliance
അനുബന്ധ സേവനങ്ങൾ,Allied services
എല്ലാം ഉൾക്കൊള്ളുന്ന ചെലവ്,All inclusive cost
അഖിലേന്ത്യാ സേവനങ്ങൾ,All India Services
പങ്കുവയ്ക്കല്,Allocation
അനുവദിച്ചതുക,Allotment
അലോട്ട്മെന്റ് കത്ത്,Allotment letter
അല്ലോട്ടി,Allottee
അനുവദനീയം,Allowable
അനുവദനീയമായ ചെലവുകൾ,Allowable expenses
ഒരു അപ്പീൽ അനുവദിക്കുക,Allow an appeal
അനുമതി നല്കുക,Allowance
എല്ലാ അവകാശങ്ങളും നിക്ഷിപ്തം,All rights reserved
അക്ഷരമാല ഓർഡർ,Alphabetic order
വാസസ്ഥലമായ,Altercation
ഏകാന്തരക്രമത്തിൽ,Alternate
ബദൽ,Alternative
സംയോജനം,Amalgamation
ഭേദഗതി ചെയ്ത ഡ്രാഫ്റ്റ്,Amended draft
ഭേദഗതി,Amendment
സഖ്യം,Amenity
മിതഭാവമുള്ള,Amicable
വെടിക്കോപ്പ്,Ammunition
കടത്തിന്റെ പവിത്രത,Amortization of debt
സംഖ,Amount
പെൻഷന്റെ തുക,Amount of pension
അനലോഗസ് പോസ്റ്റ്,Analogous post
വിശകലനം,Analysis
അനലിറ്റിക്കൽ പഠനം,Analytical study
പൂര്വ്വികന്,Ancestor
അനുബന്ധ വ്യവസായം,Ancillary industry
ബദ്ധവൈരം,Animosity
അനുബന്ധം,Annexure
വാര്ഷികദിനം,Anniversary
അറിയിപ്പ്,Announcement
ഉപദവം,Annoyance
വാർഷിക സാമ്പത്തിക പ്രസ്താവന,Annual financial statement
വാർഷിക റിപ്പോർട്ട്,Annual report
ആന്വിറ്റി,Annuity
പേരറിയാത്ത,Anonymous
അജ്ഞാത പരാതി,Anonymous complaint
ഉത്തരവിദ്ധി,Answerability
ഉത്തരക്കടലാസ്,Answer sheet
ശതാപകന്,Antagonist
മുൻഗാമികൾ,Antecedents
പ്രതീക്ഷിച്ച ചെലവ്,Anticipated expenditure
പ്രതീക്ഷിച്ച വരുമാനം,Anticipated income
മുന്തോന്നല്,Anticipation
മുൻകൂട്ടി ജാമ്യം,Anticipatory bail
അഴിമതി വിരുദ്ധ നടപടി,Anti-corruption measure
വിരുദ്ധ ഡമ്പിംഗ്,Anti-dumping
പഴക്കം ചെന്ന,Antique
വർത്തിഡ്,Apartheid
അപരാഭിചികം,Apathy
അപെക്സ് ബോഡി,Apex body
ക്ഷമാപണം,Apology
പുനര്വിചാരണയ്ക്ക് അപേക്ഷിക്കുക,Appeal
കാഴ്ച,Appearance
വിശേഷണം,Appeasement
അപ്പീലേറ്റ് ട്രൈബ്യൂണൽ,Appellate tribunal
അനുബന്ധം,Appendix
ഉപകരണം,Appliance
പയോഗക്ഷമമായ,Applicable
അപേക്ഷക,Applicant
അപേക്ഷ,Application
അപേക്ഷാ ഫോറം,Application form
പ്രയോഗിച്ചു,Applied
അപേക്ഷിക്കുക,Apply
നിയമിത,Appointee
അധികാരം നിയമിക്കുന്നു,Appointing authority
നിയമനം,Appointment
നിയമന പത്രിക,Appointment letter
മന്ത്രിസഭയുടെ നിയമന സമിതി,Appointments Committee of the Cabinet
വേതനത്തെ വിഭവങ്ങൾ,Apportionment of wages
വിലനിശ്ചയിക്കല്,Appraisal
വിലഹരവാദി,Appraiser
അഭിനന്ദനം,Appreciation
അവബോധം,Apprehension
തൊഴില്പരിശീലക,Apprentice
സമീപിക്കുക,Approach
അനുഗുണമായ,Appropriate
ഉചിതമായ പ്രവർത്തനം,Appropriate action
ഉചിതമായ തല,Appropriate head
വിനിയോഗം,Appropriation
അംഗീകരിക്കല്,Approval
ഏകദേശമായ,Approximate
ആപ്റ്റിറ്റ്യൂഡ് ടെസ്റ്റ്,Aptitude test
സേച്ഛാചാരിയായ,Arbitrary
മാദ്ധസ്ഥം വഹിക്കുക,Arbitrate
മാദ്ധസ്ഥം,Arbitration
മാദ്ധ്യസ്ഥതാ ട്രിബ്യൂണൽ,Arbitration tribunal
മദ്ധസ്ഥന്,Arbitrator
വാസ്തുവിദ,Architecture
ഗന്ഥരക്ഷാലയം,Archives
പദേശം,Area
ഏരിയസ്ഥാനം,Area headquarter
വാദം,Argument
എഴുന്നേല്ക്കുക,Arise
സായുധ സേന,Armed forces
കമീകരണം,Arrangement
ഊരി,Arrear
അരീയർ പ്രസ്താവന,Arrear statement
വരവ് റിപ്പോർട്ട്,Arrival report
ധിക്കാരം,Arrogance
ആയുധശാല,Arsenal
പദാര്ത്ഥം,Article
അസോസിയേഷന്റെ ലേഖനങ്ങൾ,Articles of association
ലേഖനങ്ങൾ,Articles
ആരോഹണ ക്രമം,Ascending order
നിർണ്ണയിക്കുന്ന,Ascertain
എവിടെയാണ്,As is where is
വശം,Aspect
കയറിയ,Aspersion
രാഷ്ടീയക്കൊല,Assassination
കയ്യേറ്റം നടത്തുക,Assault
സംയോജിപ്പിക്കുക,Assemble
നിയമനിര്മ്മാണസഭ,Assembly
അനുമതി,Assent
ഉറപ്പുപറയുക,Assert
വിലയിരുത്തുന്ന,Assessee
നികുതിചുമത്തല്,Assessment
വിലയിരുത്തൽ വർഷം,Assessment year
അസര്യാകം,Assessor
ആസ്തി,Assets
നിയമനിക,Assignee
ചുമതല,Assignment
യാസ,Assignor
സഹായം,Assistance
തോഴന്,Associate
ചങ്ങാത്തം,Association
ചാർജ് അനുമാനം,Assumption of charge
ഉറപ്പുനല്കല്,Assurance
അഷ്വറൻസ് കമ്പനി,Assurance company
ഉറപ്പുതരുന്നു,Assure
കിഴിവിൽ,At discount
ആറ്റോമിക് പവർ,Atomic power
തുല്യത്തിൽ,At par
പ്രീമിയത്തിൽ,At premium
ഘടിപ്പിക്കുക,Attach
അറ്റാച്ചുചെയ്ത ഓഫീസ്,Attached office
ബന്ധം,Attachment
അറ്റാച്ചുമെന്റ് ഓർഡർ,Attachment order
നേട്ടം,Attainment
പരിശമം,Attempt
ഹാജർ,Attendance
ഹാജർ രജിസ്റ്റർ,Attendance register
പങ്കെടുക്കുന്ന സ്ലിപ്പ്,Attendance slip
ശ്രദ്ധ,Attention
സാക്ഷ്യപ്പെടുത്തൽ,Attestation
സാക്ഷ്യപ്പെടുത്തിയ പകർപ്പ്,Attested copy
ഭാവം,Attitude
ആകർഷകമായ ശമ്പളം,Attractive salary
ലേലം,Auction
ലേറ്റീയർ,Auctioneer
ലേല വിൽപ്പന,Auction sale
സദസര്,Audience
ഓഡിയോ-വിഷ്വൽ ഡിസ്പ്ലേ,Audio-visual display
ഓഡിയോ-വിഷ്വൽ പബ്ലിസിറ്റി,Audio-visual publicity
കണക്കുപരിശോധിക്കുക,Audit
ഓഡിറ്റുചെയ്ത അക്കൗണ്ടുകൾ,Audited accounts
ഓഡിറ്റുചെയ്ത ബാലൻസ് ഷീറ്റ്,Audited balance sheet
ഓഡിറ്റിംഗ്,Auditing
ഓഡിറ്റ് എതിർപ്പ്,Audit objection
ഓഡിറ്ററുടെ റിപ്പോർട്ട്,Auditor's report
ആഡിറ്റോറിയം,Auditorium
ഓഡിറ്റ് ഖണ്ഡിക,Audit paragraph
കണക്കിറ്റ് റിപ്പോർട്ട്,Audit report
ഉത്സവമായ,Austerity
ചെലവുചുരുക്കൽ നടപടികൾ,Austerity measures
ആധികാരികം,Authentic
അംഗീകൃത പ്രതിനിധി,Authorised representative
അംഗീകാരപരമായ,Authoritative
അധികാരം,Authority
അതോറിറ്റി കത്ത്,Authority letter
അധികാരപ്പെടുത്തി,Authorized
അംഗീകൃത മൂലധനം,Authorized capital
ഓട്ടോമാറ്റിക്,Automatic
സയംശാസിതമായ,Autonomous
സ്വയംഭരണ സംഘടന,Autonomous body
സയംഭരണാവകാശം,Autonomy
ഉക്സിലറി,Auxiliary
സുലഭം,Available
ശരാശരി,Average
ശരാശരി അവധി,Average leave
അപീതി,Aversion
അകറ്റുക,Avert
ഒഴിവാക്കുക,Avoid
നികുതി ഒഴിവാക്കുക,Avoidance of tax
കാത്തിരിക്കുന്നു,Awaited
കൊടുക്കുക,Award
അതോറിറ്റി അവാർഡ്,Awarding authority
ബോധപ്പെടുത്തല്,Awareness
കസ്റ്റേറ്റഡ്,Backdated
പശ്ചാത്തലം,Background
ബാക്ക് ലോഗ്,Back log
പുറപ്പെട്ടു,Back out
തിരികെ റഫറൻസ്,Back reference
ബാക്കപ്പ് ചെയ്യുക,Back up
പിന്നോക്ക ക്ലാസുകൾ,Backward classes
പിന്നോക്ക ഗോത്രം,Backward tribe
മോശം വിലപേശൽ,Bad bargain
ചീത്ത സ്വഭാവം,Bad behaviour
മോശം പ്രതീകം,Bad character
മോശം കാലാവസ്ഥാ അലവൻസ്,Bad climate allowance
മോശം പെരുമാറ്റം,Bad conduct
കിട്ടാ കടം,Bad debt
ബാഗ്,Baggage
ജാമം,Bail
ബാക്കി,Balance
ബാലൻസ് കൊണ്ടുവന്നു,Balance brought down
ബാലൻസ് മുന്നോട്ട് കൊണ്ടുവന്നു,Balance brought forward
സമതുലിതമായ ബജറ്റ്,Balanced budget
ബാലൻസ് ഷീറ്റ്,Balance sheet
വോട്ടിന്റെ നറുക്ക്,Ballot
ബാലറ്റ് ബോക്സ്,Ballot box
ബാലറ്റ് പേപ്പർ,Ballot paper
നിരോധനം,Ban
ബാങ്ക്,Bank
ബാങ്ക് അക്കൗണ്ട്,Bank account
ബാങ്ക് ബാലൻസ്,Bank balance
ബാങ്ക് ചാർജുകൾ,Bank charges
ബാങ്ക് ഗ്യാരന്റി,Bank guarantee
ബാങ്ക് അവധി,Bank holiday
ബാങ്കിംഗ് സൗകര്യം,Banking facility
ബാങ്കിംഗ് സമയം,Banking hours
ബാങ്കിംഗ് ഇടപാട്,Banking transaction
ബാങ്ക് നിരക്ക്,Bank rate
ബാങ്ക് അനുരഞ്ജനം,Bank reconciliation
നിര്ദ്ധനന്,Bankrupt
ബാങ്ക് സുരക്ഷ,Bank security
ബാങ്ക് സ്റ്റേറ്റ്മെന്റ്,Bank statement
വിരോതം,Banquet
ബാർ കൗൺസിൽ,Bar council
വില്പ്പനക്കരാര്,Bargain
വില പേശൽ,Bargaining
തരിശുഭൂമി,Barren land
ചരക്കുകൈമാറ്റക്കച്ചവടം,Barter
അടിത്തറ,Base
അടിസ്ഥാനപരമായ,Baseless
കെട്ടിടത്തിന്റെ അടിത്തറ,Basement
അടിസ്ഥാന വർഷം,Base year
അടിസ്ഥാനപരമായ,Basic
അടിസ്ഥാനപരമായി,Basically
അടിസ്ഥാന ഇന്റലിജൻസ്,Basic intelligence
അടിസ്ഥാന ശമ്പളം,Basic pay
ശമ്പളത്തിന്റെ അടിസ്ഥാന തോത്,Basic scale of pay
അടിസ്ഥാന പരിശീലനം,Basic training
അടിസ്ഥാനം,Basis
ഓടിക്കല്ല്,Batch
ബാച്ച് നമ്പര്,Batch number
ചുമക്കുന്ന ചെക്ക്,Bearer cheque
ഉദ്ധരിച്ചതിന് മുമ്പ്,Before cited
പെരുമാറ്റം,Behaviour
വിശാസം,Belief
പാരത്തില് താഴെ,Below par
ബഞ്ച്,Bench
ബെഞ്ച്മാർക്ക്,Benchmark
പ്രയോജനകരമായ,Beneficial
പയോജകന്,Beneficiary
ആനുകൂലം,Benefit
സംശയത്തിന്റെ പ്രയോജനം,Benefit of doubt
നന്മ,Benevolence
ബെൻ വോളന്റ് ഫണ്ട്,Benevolent fund
Arequeliathe,Bequeath
അയവിസ്താരം,Bequest
ദുര്ത്തന്ത,Bereaved
മികച്ച ശ്രമങ്ങൾ,Best endeavours
കാഴ്ചപ്പാട്,Betterment
പക്ഷപാതം,Bias
പക്ഷപാതപരമായ അഭിപ്രായം,Biased opinion
ബിബ്ലിയോഗ്രാഫി,Bibliography
ബിനാത്തില്,Biennial
വിഭജനം,Bifurcate
ദിഭാരതം,Bigamy
ഉഭയകക്ഷി,Bilateral
രണ്ടുഭാഷകളിലുള്ള,Bilingual
ബൈകാമെറൽ,Bicameral
ബില്,Bill
വ്യവഹാര പത്രം,Bill of exchange
ബിമോണി റിപ്പോർട്ട്,Bimonthly report
ബന്ധിക്കുക,Binding
ബയോഡറ്റ,Biodata
ബിപർട്ടിനെറ്റ്,Bipartite
Biparteait കരാർ,Bipartite agreement
ജന്മവാർഷികം,Birth anniversary
ജനന സർട്ടിഫിക്കറ്റ്,Birth certificate
ജനന നിയന്ത്രണം,Birth control
ജനിച്ച ദിവസം,Birth date
ജന്മസ്ഥലം,Birth place
ജനന നിരക്ക്,Birth rate
ബിക്കുളികം,Biweekly
കറുത്ത സമ്പദ്വ്യവസ്ഥ,Black economy
കറുത്ത പട്ടിക,Black list
കൊള്ളയടിക്കുക,Blackmail
കരിഞ്ചന്ത,Black market
കുറ്റപ്പെടുത്തുക,Blame
ശൂന്യമായ പരിശോധന,Blank cheque
പുതപ്പ് ഇടപാട്,Blanket deal
പുതപ്പ് ഓർഡർ,Blanket order
സ്ഫോടനം,Blast
മിശ്രിതമാക്കുക,Blending
ഉപരോധിക്കുക,Block
ഉപരോധിക്കല്,Blockade
തടഞ്ഞ മൂലധനം,Blocked capital
വലിയ അക്ഷരം,Block letter
രക്ത ദാനം,Blood donation
രക്തബന്ധങ്ങൾ,Blood relations
ബ്ലൂ കോളർ ജോലി,Blue collar job
ബ്ലൂപ്രിന്റ്,Blueprint
മല്പ്പാതം,Bluff
പലക,Board
"ബോർഡിംഗ്, താമസം",Boarding and lodging
ഡയറക്ടർ ബോർഡ്,Board of directors
റവന്യൂ ബോർഡ്,Board of revenue
ശരീരം,Body
അംഗരക്ഷകന്,Bodyguard
ബോട്ടർ വൗച്ചർ,Bogus voucher
ബോണഫൈഡുകൾ,Bonafides
ബോണ്ട്,Bond
ബോണ്ടഡ് തൊഴിലാളി,Bonded labour
ലാഭവിഹിതം,Bonus
ബുക്കിംഗ് ഓഫീസ്,Booking office
പുസ്തക കീപ്പർ,Book-keeper
ബുക്ക്-സൂക്ഷിക്കുക,Book-keeping
ലഘുഗന്ഥം,Booklet
റഫറൻസ് പുസ്തകം,Book of reference
പുസ്തക മൂല്യം,Book value
ബൂത്ത്,Booth
ബൂത്ത് പിടിച്ചെടുക്കുക,Booth capturing
അതിർത്തി അലവൻസ്,Border allowance
അതിർത്തി രേഖ,Border line
കടം വാങ്ങുന്നയാൾ,Borrower
കടം വാങ്ങുന്ന ശക്തി,Borrowing power
യജമാനന്,Boss
തടസ്സപ്പെടുത്തുക,Bottleneck
ആവരണചിഹ്നം,Bracket
അതിര്ത്തി,Boundary
ബഹിഷ്കരിക്കുക,Boycott
മസ്തിഷ്ക വളരം,Brain drain
ബ്രാഞ്ച് ഓഫീസ്,Branch office
ലംഘനം,Breach
കരാറിന്റെ ലംഘനം,Breach of agreement
ആത്മവിശ്വാസത്തിന്റെ ലംഘനം,Breach of confidence
കരാർ ലംഘനം,Breach of contract
അച്ചടക്ക ലംഘനം,Breach of discipline
നിയമലംഘനം,Breach of law
സമാധാന ലംഘനം,Breach of peace
പദവി ലംഘനം,Breach of privilege
വാഗ്ദാന ലംഘനം,Breach of promise
നിയമലംഘനം,Breach of rule
വിശ്വാസ ലംഘനം,Breach of trust
പൊട്ടമം,Breakage
ബ്രേക്ക് ഡൗൺ,Break down
സേവനത്തിൽ തകർക്കുക,Break in service
പിരിഞ്ഞുപോകുക,Break-up
ഇനം,Breed
കൈക്കൂലി,Bribe
ചുരുക്കത്തിലുള്ള,Brief
വിവരം നല്കല്,Briefing
ഹ്രസ്വ പുനരാരംഭിക്കുക,Brief resume
ബുദ്ധിമാനായ രേഖ,Brilliant record
ശ്രദ്ധിക്കുക,Bring into notice
പക്ഷേപണം ചെയ്യല്,Broadcast
ബ്രോഡ്ഷീറ്റ്,Broadsheet
ലഘുലേഖ,Brochure
ബ്രോക്കറേജ്,Brokerage
മുന്നോട്ട് കൊണ്ടുവന്നു (ബി / എഫ്),Brought forward (b/f)
ബജറ്റ് വിഹിതം,Budget allocation
ഉപതള നിയന്ത്രണം,Bugetary control
ബജറ്റ് എസ്റ്റിമേറ്റ്,Budget estimate
ബജറ്റ് വ്യവസ്ഥ,Budget provision
കെട്ടിടം,Building
വലിപ്പം,Bulk
ബൾക്ക് വാങ്ങൽ,Bulk purchase
വാര്ത്താവിതരണം,Bulletin
ബമ്പർ വിള,Bumper crop
ഒഴിവുകളുടെ കുലകൾ,Bunching of vacancies
മുറുകെട്ടുറഞ്ഞ,Bungling
ഉദോഗസ്ഥമേധാവിത്തം,Bureaucracy
ബ്യൂറോക്രാറ്റ്,Bureaucrat
ബിസിനസ്സ് ക്ലാസ്,Business class
ബിസിനസ്സ് സമയം (= മണിക്കൂർ ബിസിനസ്സ്),Business hours (= hours of business)
കച്ചവടക്കാരന്,Businessman
തിരികെ വാങ്ങി,Buy-back
വാങ്ങുന്നയാള്,Buyer
ബൈ തിരഞ്ഞെടുപ്പ് (തിരഞ്ഞെടുപ്പിലൂടെ),Bye election (=by election)
കൈകൊണ്ട്,By hand
തപാൽ മുഖേന,By post
കാബിൻ ബാഗേജ്,Cabin baggage
മന്തിസഭ,Cabinet
കേഡിര്,Cadre
വിപത്ത്,Calamity
കണക്കുകൂട്ടല്,Calculation
കലണ്ടർ വർഷം,Calendar year
സംഘടിതപവര്ത്തനം,Campaign
കോളേജ് വളപ്പ്,Campus
കാമ്പസ് അഭിമുഖം,Campus interview
റദ്ദാക്കുക,Cancel
റദ്ദാക്കല്,Cancellation
സ്ഥാനാര്ഥി,Candidate
സ്ഥാനാർത്ഥി,Candidature
കാൻവാസ്സിംഗ്,Canvassing
കഴിവ്,Capability
കെല്പുള്ള,Capable
താണി,Capacity
തലസ്ഥാനം,Capital
മൂലധന ചെലവ്,Capital expenditure
വധശിക്ഷ,Capital punishment
ചുമറ്റ ഫീസ്,Capitation fee
കീഴടക്കല്,Capture
കെയർ,Care
തൊഴില്,Career
കരിയർ വികസനം,Career development
കെയർ ടേക്കർ സർക്കാർ,Caretaker government
മുന്നോട്ട് കൊണ്ടുപോയി (സി / എഫ്),Carried forward (c/f)
മുന്നോട്ട് കൊണ്ടുപോകും,Carry forward
ചെലവ് വഹിക്കുന്നു,Carrying cost
മാറ്റിവയ്ക്കുക,Carry over
കടപ്പാട്,Cartage
കേസ്,Case
കേസ് പഠനം,Case study
പണം,Cash
ബാക്കി പണം,Cash balance
ക്യാഷ് പുസ്തകം,Cash book
ക്യാഷ് കാർഡ്,Cash card
ക്യാഷ് സർട്ടിഫിക്കറ്റ്,Cash certificate
ക്യാഷ് ക .ണ്ടർ,Cash counter
നാണ്യ വിള,Cash crop
പണം കിഴിവ്,Cash discount
പണം താഴെ,Cash down
കൈയിലുള്ള പണം,Cash in hand
ക്യാഷ് മെമ്മോ,Cash memo
പണമടയ്ക്കൽ,Cash payment
ജാതി,Caste
ജാതി സർട്ടിഫിക്കറ്റ്,Caste certificate
വോട്ട് കാസ്റ്റുചെയ്യുന്നു,Casting vote
ആകസ്മികമായ,Casual
കാഷ്വൽ അധ്വാനം,Casual labour
കാഷ്വൽ അവധി,Casual leave
അതാഹിതം,Casualty
കാഷ്വൽ ഒഴിവ്,Casual vacancy
നാമാവലി,Catalogue
ഉപചാരമുള്ള,Categorical
ഇനം,Category
കാറ്ററിംഗ് സർവ്വീസ്,Catering service
ജാഗ്രത,Caution
മുന്നറിയിപ്പ് പണം,Caution money
തീ പിടിക്കുക,Cease fire
"സീലിംഗ് (""വില"" പോലെ)","Ceiling (as of ""price"")"
ആഘോഷം,Celebration
