Hindi,Odiya
संधान,ପୁନ iliation ନିର୍ମାଣ
"वायुवाहित रेडार,हवाई रेडार","ବାୟୁବାହୀ ରାଡାର, ଏରିଆଲ୍ ରାଡାର୍ |"
"वायुवर्ती लक्ष्य,हवाई लक्ष्य","ଏରିଲ୍ ଟାର୍ଗେଟ୍, ଏରିଲ୍ ଟାର୍ଗେଟ୍ |"
"वायुश्वासी,वायुश्वसित्र",ବାୟୁ ଶ୍ ir ାସକ୍ରିୟା
वातानुकूलन,ଶୀତତାପ ନିୟନ୍ତ୍ରଣ
वायुक्रोडी ट्रांसफार्मर,ଏୟାରକ୍ରାଫ୍ ଟ୍ରାନ୍ସଫର୍ମର |
वायुयान,ବିମାନ
संरेखण,ଶ୍ରେଣୀବଦ୍ଧତା |
सरेखण त्रुटि,ଶ୍ରେଣୀବଦ୍ଧ ତ୍ରୁଟି |
सजीव परिपथ,ଲାଇଭ୍ ସର୍କିଟ୍ |
संपूर्ण कांच नलिका,ପୂର୍ଣ୍ଣ ଗ୍ଲାସ୍ ଟ୍ୟୁବ୍ |
संपूर्ण धातुनलिका,ପୁରା ଧାତୁ ଟ୍ୟୁବ୍ |
नियत करना,ଠିକ କରିବା ପାଇଁ
"मिश्रातु (सं.),मिश्रात्वन (क्रि.)","ମିସ୍ରାଟୁ (ଏଡି।), ମିଶ୍ରଭାନ୍ (କ୍ର।)"
मिश्रात्वन,ମିଶ୍ର
सर्वव्यापी माध्यम,ସର୍ବବ୍ୟାପୀ ମାଧ୍ୟମ |
सर्वतरंग ऐन्टेना,omni ଆଣ୍ଟେନା |
पंचांग,ଆଲମାନାକ |
ऐल्फा,ଆଲଫା
ऐल्फा-सक्रियता,ଆଲଫା-କାର୍ଯ୍ୟକଳାପ |
अक्षरांकीय,ବର୍ଣ୍ଣମାଳା
ऐल्फा किरण,ଆଲଫା ରଶ୍ମି |
परिवर्तन,ପରିବର୍ତ୍ତନ କରନ୍ତୁ |
"एकांतर ,प्रत्यावर्ती","ବିକଳ୍ପ, ବିକଳ୍ପ"
प्रत्यावर्तित्र,ବିକଳ୍ପ
तुंगतालेखी,ଉଚ୍ଚତା
तुंगतामापी,ଉଚ୍ଚତା
तुंगतामापिकी,ଉଚ୍ଚତା
"तुंगता,उंचाई,उन्नतांश,शीर्षलम्ब","ଉଚ୍ଚତା, ଉଚ୍ଚତା, ଉଚ୍ଚତା, ଉଚ୍ଚତା |"
अंकगणित तर्क एकक (ए एल यू),ଗାଣିତିକ ଯୁକ୍ତିଯୁକ୍ତ ୟୁନିଟ୍ (ALU)
एमागेट नियम,amaget ନିୟମ |
परिवेश,ପରିବେଶ
एमाइक्रोन,ଆମିକ୍ରନ୍ |
ऐमीटर,ଆମ୍ମିଟର
ऐम्पियर,ଆମ୍ପେର୍
ऐम्पियर-नियम,ampere-law
उभयावेशी आयन,ଆମ୍ଫିବିଆନ୍ ଆୟନ |
प्रवर्धन,ବୃଦ୍ଧି
प्रवर्धक,ଏମ୍ପ୍ଲିଫାୟର୍
"कोणांक,आयाम","କୋଣ, ପରିମାପ"
ए. एम. यू. (परमाणु संहति मात्रक),a। M. U. (ପରମାଣୁ ମାସ ଏକକ)
अनुरूप,ସୁସଙ୍ଗତ
सादृश्य,ଅନୁରୂପ
विश्लेषक,ବିଶ୍ଳେଷକ |
विश्लेषण,ବିଶ୍ଳେଷଣ |
विश्लेषीय,ବିଶ୍ଳେଷଣାତ୍ମକ |
अन-अबिन्दुक,ଅଣ-ବିନ୍ଦୁ |
अन-अबिंदुकता,ଅସନ୍ତୁଷ୍ଟ |
तथा द्वार,ଏବଂ ଦ୍ୱାର
अप्रतिध्वनिक,ଅଣ-ଆକାଶବାଣୀ |
विषम प्रत्यास्थता,ଅନୋମାଲ୍ ଇଲାସ୍ଟିସିଟି |
निर्द्रव,ଆନ୍ହାଇଡ୍ରସ୍
कोण,କୋଣ
ऐंग्स्ट्रम मात्रक,ଆଙ୍ଗଷ୍ଟ୍ରମ୍ ୟୁନିଟ୍ |
कोणीय,କୋଣାର୍କ |
कोणमापी वर्नियर,ପ୍ରୋଟ୍ରାକ୍ଟର ଭର୍ନିଅର୍ |
अप्रसंवादी,ବିବାଦୀୟ |
अप्रसवादिता,ସମ୍ମାନଜନକ |
अशैथिल्य चुंबकन,ଆକ୍ରୋମାଟିକ୍ ଚୁମ୍ବକୀୟକରଣ |
अशिथिलित,ଅଳସୁଆ |
ऋणायन,ଆୟନ
असमविम,ଅସୀମିତ |
विषमदैशिक,ଆଇସୋଟ୍ରୋପିକ୍ |
विषमदैशिकता,ଆଇସୋଟ୍ରୋପିଜିମ୍ |
विलोपन,ବିଲୋପ
आख्यापित्र,ଷଡଯନ୍ତ୍ରକାରୀ
ऐनोड,anode
ऐनोडीकरण,ଆନାଡାଇଜେସନ୍ |
अंसगत,ଅସଙ୍ଗତ
प्रकाशयंत्रहीन तंत्र,ଅପ୍ଟିକାଲ୍ ସିଷ୍ଟମ୍ |
ऐन्टेना,ଆଣ୍ଟେନା |
ऐन्टिबेरियॉन,ଆଣ୍ଟିବାୟର୍
बंधन विरोधी गुणधर्म,ଆଣ୍ଟି-ବଣ୍ଡିଂ ଗୁଣ |
प्रति-आबंधन,କାଉଣ୍ଟର ବଣ୍ଡ |
प्रतिलोह विद्युत,ଓଲଟା ଶକ୍ତି |
प्रतिलोहचुंबकीय,ଡାଇମାଗ୍ନେଟିକ୍ |
प्रतिलोहचुबकीय पदार्थ,ହୀରା ଚୁମ୍ବକୀୟ ପଦାର୍ଥ |
प्रतिकूहाकारक,ଆଣ୍ଟି-ଇନଫ୍ଲାମେଟୋରୀ |
प्रतिगुरुत्व,ଆଣ୍ଟିଗ୍ରାଭିଟି
प्रतिलेम्डा कण,ଆଣ୍ଟିଲାମଡା କଣିକା |
ऐल्टीलेप्टॉन,ଆଲେଲେପଟନ୍ |
प्रतिचुंबकीय,ଡାଇମାଗ୍ନେଟିକ୍ |
ऐन्टिद्रव्य,ଆଣ୍ଟିମାଟର୍ |
मिसाइल विरोधी,ଆଣ୍ଟି ମିସାଇଲ୍
ऐन्टिन्यूट्रॉन,ଆଣ୍ଟିନାଟ୍ରନ୍ |
प्रस्पंद,ପଲସିଂ
प्रतिन्यूक्लिऑन,ଆଣ୍ଟିନ୍ୟୁକ୍ଲିଅନ୍ |
प्रतिकण,ଆଣ୍ଟିପାର୍ଟିକଲ୍ |
प्रतिप्रोटॉन,ଆଣ୍ଟିପ୍ରୋଟନ୍ |
परावर्तनरोधी,ଆଣ୍ଟିରେଫ୍ଲେକ୍ଟିଭ୍ |
प्रतिसममित,ଆଣ୍ଟିସାଇମେଟ୍ରିକ୍ |
अनावर्ती,ପୁନରାବୃତ୍ତି ନୁହେଁ |
अनावर्तिता,ଆନାକ୍ରୋନିଜିମ୍ |
छिद्रित क्रमवीक्षण डिस्क,ଛିଦ୍ର ହୋଇଥିବା ସ୍କାନିଂ ଡିସ୍କ |
द्वारक,ଦ୍ୱାରକ
"शीर्ष,शिखर,अग्रक","ଉପର, ଉପର, ଆଗ"
"सूर्योच्च,रवि उच्च,अपसौर","ସୂର୍ଯ୍ୟ ଉଚ୍ଚ, ସୂର୍ଯ୍ୟ ଉଚ୍ଚ, ଆପସୋର୍ |"
अविपथी लेस,ଉଦାସୀନ ଲେସ୍ |
अविपथी,ଅଣ-ଦୁ hetic ଖଦାୟକ |
अविपथिता,ଅକ୍ଷମତା |
अति अवर्णी,ବହୁତ ଆକ୍ରୋମାଟିକ୍ |
"भूमि-उच्च,अपभू","ଭୂମି ଉଚ୍ଚ, ଆପୋଜି |"
"अध्रुवी,परिध्रुवी","ଅଣପୋଲାର୍, ସର୍କମ୍ପୋଲାର୍ |"
परिध्रुविता,ପାରାପୋଲାରିଟି |
उपकरण,ଉପକରଣ
"आभासी,दृष्ट","ଭର୍ଚୁଆଲ୍, ଭିଜୁଆଲ୍ |"
दृष्ट सूर्य,ଦୃଶ୍ୟମାନ ସୂର୍ଯ୍ୟ |
दृष्ट समय,ଭିଜୁଆଲ୍ ସମୟ |
"उदभावी,प्रकटन",ଉଦୀୟମାନ ରୂପ
अनुप्रयुक्ति,ଆବେଦନ
अनुप्रयोज्यता,ପ୍ରଯୁଜ୍ୟତା |
अनुप्रयुक्त,ପ୍ରୟୋଗ ହୋଇଛି |
सुप्रेक्ष्य,ପର୍ଯ୍ୟବେକ୍ଷଣଯୋଗ୍ୟ |
उपगमन,ଉପାୟ
"सन्निकट,लगभग","ପାଖାପାଖି, ପାଖାପାଖି"
सन्निकटन,ଆନୁମାନିକତା
वाष्प दाब,ବାଷ୍ପ ଚାପ
स्वेच्छ,ସ୍ବେଚ୍ଛାକୃତ
"आर्क भट्टी,चाप भट्टी","ଆର୍କ ଫର୍ଣ୍ଣେସ୍, ଆର୍କ ଫର୍ଣ୍ଣେସ୍ |"
आर्किमीडीज़ का नियम,ଆର୍କିମିଡିସ୍ ନିୟମ |
स्थापत्य ध्वानिकी,ସ୍ଥାପତ୍ୟ ଆକାଶବାଣୀ |
आर्क लैंप,ଆର୍କ ଦୀପ
आर्क-स्पेक्ट्रम,ଆର୍କ-ସ୍ପେକ୍ଟ୍ରମ୍ |
"क्षेत्र,क्षेत्रफल","କ୍ଷେତ୍ର, କ୍ଷେତ୍ର"
"क्षेत्रफलीय,क्षेत्रीय","ଆଞ୍ଚଳିକ, ଆଞ୍ଚଳିକ"
"बाहु,भुजा,शाखिका","ବାହୁ, ବାହୁ, ଶାଖା |"
आमेचर,ଶ୍ରଦ୍ଧାଳୁ
"व्यूह ,सरणी","ଆରେ, ଆରେ"
प्रग्राही,ରସିଦ
उच्चारण स्पष्टता,ଉଚ୍ଚାରଣ ସ୍ୱଚ୍ଛତା |
कृत्रिम,ସିନ୍ଥେଟିକ୍ |
कृत्रिम तत्वांतरण,କୃତ୍ରିମ ସଂକ୍ରମଣ
आरोही,ଆରୋହଣ
तारारोहण,ଆରୋହଣ
आरोहांक,ଆରୋହଣ
अगोली,ଆଗୋଲି
अगोलीकरण,ଏକୀକରଣ
समुच्चय,ର ସେଟ୍
"समुच्चय करना,समुच्चयन","ଏକତ୍ର କରିବା, ଏକତ୍ର କରିବା |"
"समुच्चय ,समुच्चयन ,कोडांतरण","ଏକତ୍ର କରିବା, ଏକତ୍ର କରିବା, ଏକତ୍ର କରିବା |"
परिशुद्धता आकलन,ସଠିକତା ଆକଳନ
निर्दिष्ट (क्वांटम संख्याओं का) निर्दिष्टीकरण,ନିର୍ଦ୍ଦିଷ୍ଟ (କ୍ୱାଣ୍ଟମ୍ ସଂଖ୍ୟା) ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |
"संबंद्ध ,सहचारी,संगुणित","ସମ୍ବନ୍ଧୀୟ, ଆସୋସିଏଟିଭ୍, କଞ୍ଜୁଗେଟ୍ |"
स्वरावृत्ति,ସ୍ ow ର ଶବ୍ଦ
स्वचलित बहुकंपित्र,ସ୍ୱୟଂଚାଳିତ ମଲ୍ଟିଭାଇବ୍ରେଟର |
अस्थैतिक,asthenic
"अबिन्दुकता,एस्टिग्मेटिज्म","ନିବୃତ୍ତତା, astigmatism |"
अंतरिक्ष यात्रा इलेक्ट्रॉनिकी,ସ୍ପେସ୍ ଭ୍ରମଣ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |
खगोलमिति,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ |
अंतरिक्षयात्री,ମହାକାଶଚାରୀ
खगोलज्ञ,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନୀ
खगोलीय,ସ୍ୱର୍ଗୀୟ
खगोलिकी,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ
खगोल भौतिकी,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ |
असममित,ଅସୀମିତ |
अनंतस्पर्शी,ଅସ୍ମିପଟୋଟିକ୍ |
उपगामी,ବୃଦ୍ଧି
अतुल्यकालिक,ଅସନ୍ତୁଳିତ |
"वायुमंडल,परिमंडल","ପରିବେଶ, ପରିବେଶ"
वायुमंडलीय,ବାୟୁମଣ୍ଡଳ
वायु-विद्युत क्षोभ,ପବନ ଅଶାନ୍ତି |
परमाणु,ପରମାଣୁ
परमाण्वीय,ପରମାଣୁ
परमाणुकता,ପରମାଣୁ
परमाणु संहति,ଆଣବିକ ମାସ
परमाणु क्रमांक,ପରମାଣୁ ସଂଖ୍ୟା
"परमाणु-रिऐक्टर,परमाणु पाइल","ଆଣବିକ ରିଆକ୍ଟର, ଆଣବିକ ଗଦା |"
परमाण्विक,ପରମାଣୁ
कणन,କଣିକା
कणित्र,କଣିକା
"क्षीणन ,क्षीणता",ଆଘାତ
"क्षीणकारी,क्षीणक","ଆଘାତ, ଆଘାତ"
आकर्षण,ଚମତ୍କାର |
आकर्षण बल,ଆକର୍ଷଣର ଶକ୍ତି |
श्रव्यता,ଶ୍ରବଣତା |
श्रव्य आवृत्ति-प्रवर्धक,ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଏମ୍ପ୍ଲିଫାୟର୍ |
श्रव्य,ଶ୍ରବଣଯୋଗ୍ୟ |
श्रव्यजनित्र,ଅଡିଓ ଜେନେରେଟର
श्रव्यता आलेख,ଶ୍ରବଣତା ଗ୍ରାଫ୍ |
श्रवण विज्ञान,ବିଜ୍ଞାନ ଶୁଣିବା |
श्रव्यतामापी,ଅଡିଓମିଟର |
श्रव्य आवृत्ति-दोलक,ଶ୍ରବଣ ଫ୍ରିକ୍ୱେନ୍ସି ଓସିଲେଟର |
ध्वनि सिग्नल,ଶବ୍ଦ ସଙ୍କେତ
दृश्य-श्रव्य,ଅଡିଓ-ଭିଜୁଆଲ୍ |
"ऑडिटोरियम,सभाभवन","ଅଡିଟୋରିୟମ୍, ଅଡିଟୋରିୟମ୍ |"
ओज़ए प्रभाव,OZ ପ୍ରଭାବ
संवर्धन,ପଦୋନ୍ନତି
संवर्धक,ଉନ୍ନତିକାରୀ
ध्रुवीय ज्योति,ପୋଲାର ଅଗ୍ନି
दक्षिण ध्रुवीय ज्योति,ଦକ୍ଷିଣ ପୋଲାର ଅଗ୍ନି
उत्तर ध्रुवीय ज्योति,ଉତ୍ତର ପୋଲାର ଅଗ୍ନି
स्वचालित सचेतक,ସ୍ୱୟଂଚାଳିତ ଆଲର୍ଟ |
स्वतः समांतरित्र,ଅଟୋ ସମାନ୍ତରାଳ
"आत्मचालित,स्वचालित,स्वतः","ସ୍ୱୟଂଚାଳିତ, ସ୍ୱୟଂଚାଳିତ, ସ୍ୱୟଂଚାଳିତ |"
"स्वचालन,स्वचालित यंत्र","ସ୍ୱୟଂଚାଳିତ, ସ୍ୱୟଂଚାଳିତ"
"सहायक,सहकारी,अतिरिक्त","ସହାୟକ, ସହଯୋଗୀ, ଅତିରିକ୍ତ |"
"अवधाव,ऐवेलांश","ଅଭଡାଭା, ଆଭାଲଚେନ୍"
"औसत,माध्य","ଅର୍ଥ, ଅର୍ଥ"
परिवर्जन,parivaran
अक्षीय,ଅକ୍ଷୀୟ |
अक्ष,ଅକ୍ଷ
दिगंश,ଆଜିମ୍ୟୁଥ୍
दिगंशीय,ଆଜିମ୍ୟୁଥ୍
पश्च,ପଛକୁ
"पृष्ठभूमि,पृष्ठभूमिक","ପୃଷ୍ଠଭୂମି, ପୃଷ୍ଠଭୂମି"
"पिच्छद,पश्चगमन","ପଛକୁ, ପଛକୁ"
प्रतिवर्तन,ବୁଲି ପଡ
पश्चडोल वोल्टता स्पंदक,ବ୍ୟାକ୍ ଭୋଲଟେଜ୍ ପଲ୍ସର୍ |
पश्च-पश्च-संबंधन,ସମ୍ପର୍କ ପରବର୍ତ୍ତୀ
पूर्तिकर,ପରିଶୋଧ
विरोधी वोल्टता,ଆଣ୍ଟି ଭୋଲଟେଜ୍ |
पश्चवर्ती प्रकीर्णन,ପରବର୍ତ୍ତୀ ବିଛାଇବା |
अंतराली तरंग,ଆନ୍ତର୍ଜାତୀୟ ତରଙ୍ଗ |
कुचालक,ଇନସୁଲେଟର
पैराशूट सहित कूद पड़ना,ପାରାଚ୍ୟୁଟ୍ ଜମ୍ପ୍ |
तपन,ଗରମ
"तुला,तराजू ,बाकी ,संतुलित करना,संतुलित होना,संतुलन ,शेष","ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ |"
संतोलक,ବାଲାନ୍ସର୍
संतुलन,ସନ୍ତୁଳନ
गोलात चुबक,ଗ୍ଲୋବୁଲ୍
"प्राक्षेपिक,प्राक्षेपिकीय","ବାଲିଷ୍ଟିକ୍, ବାଲିଷ୍ଟିକ୍ |"
"प्रक्षेप धारामापी,प्रक्षेप गैल्वनोमीटर","ପ୍ରୋଜେକସନ ଗାଲଭାନୋମିଟର, ପ୍ରୋଜେକସନ ଗାଲଭାନୋମିଟର |"
प्रक्षेपास्त्र,କ୍ଷେପଣାସ୍ତ୍ର
"प्राक्षेपिकी,अस्त्र विज्ञान","ବାଲିଷ୍ଟିକ୍, ଅସ୍ତ୍ରଶସ୍ତ୍ର |"
प्रक्षेप,ପ୍ରୋଜେକସନ
मुक्त प्रक्षेप पथ,ମାଗଣା ପଥ
"बैलून,गुब्बारा","ବେଲୁନ୍, ବେଲୁନ୍ |"
बामर-असातत्य,ବାଲ୍ମର୍ ବିଚ୍ଛିନ୍ନତା |
"पट्ट,पट्टी,बैंड .दल","ବ୍ୟାଣ୍ଡ, ବ୍ୟାଣ୍ଡ, ବ୍ୟାଣ୍ଡ |"
धमाका,ବିସ୍ଫୋରଣ
"व्यूह,पुंज ,किनारा,बैंक,तट","ଆରେ, ବିମ୍, କୂଳ, ବ୍ୟାଙ୍କ, ଉପକୂଳ |"
"स्तंभ,शलाका,सिल,सिल्ली,दंड,छड़,पट्टी ,8.भित्ति,9.रेखिका ,10.धार, 1रोधिका,1,बार ,1,रेखा,	1,परीक्षण रेखा","ସ୍ତମ୍ଭ, ବାର୍, କୋବ୍, ବ୍ଲକ୍, ବାର୍, ବାଡ଼ି, ବାର୍, 8. କାନ୍ଥ, 9. ରେଖା, 10. ଧାର, 1 ବ୍ଲକ, 1, ବାର୍, 1, ରେଖା, 1, ପରୀକ୍ଷା ରେଖା |"
बारडीन सिद्धांत,ବାର୍ଡେନ୍ ନୀତି |
बार्कहाउज़एन प्रभाव,ବାର୍କହାଉନ୍ ପ୍ରଭାବ |
बार्लो चक्र,ବାର୍ଲୋ ଚକ୍ର |
दंड चुबंक,ବାର୍ ଚୁମ୍ବକ
बार्न,ଭଣ୍ଡାର
वायुदाब-आलेख,ବାୟୁ ଚାପ ଗ୍ରାଫ୍ |
"वायुदाबलेखी,बैरोग्राफ","ବାରୋଗ୍ରାଫ୍, ବାରୋଗ୍ରାଫ୍ |"
वायुदाबमापी,ବାରୋମିଟର |
वायुदाबमिति,ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |
"कर्षमंडल,बैरोमंडल","ବ୍ରହ୍ମାଣ୍ଡ, ବାରୋମୋସଫର |"
दंड लोलक,ପେଣ୍ଡୁଲମ୍ |
"रोध,रोधिका ,नाभिकीय रोधिका","ପ୍ରତିବନ୍ଧକ, ପରମାଣୁ ପ୍ରତିବନ୍ଧକ, ପରମାଣୁ ପ୍ରତିବନ୍ଧକ |"
रोधिका स्तर,ପ୍ରତିବନ୍ଧକ ସ୍ତର |
बरिऑन,ବାରିଅନ୍ |
गुरुमंडल,ଗୁରୁମାଣ୍ଡଲ |
आधार बैंड,ବେସ୍ ବ୍ୟାଣ୍ଡ |
"आधारीय,मूल ,क्षारीय","ମ basic ଳିକ, ମ basic ଳିକ, କ୍ଷାରୀୟ |"
आधारक,ଆଧାର
"गणन,दल रचना","ଗଣନା, ଦଳ ଗଠନ |"
"कुंड,कुंडिका,ऊष्मक,तापन-पात्र,बाथ","କୂଅ, କୂଅ, ହିଟର, ଗରମ ପାତ୍ର, ସ୍ନାନ |"
बैटरी,ବ୍ୟାଟେରୀ
"व्यूह खंड,कक्ष,खाड़ई","ଆରେ ସେଗମେଣ୍ଟ, ଚାମ୍ବର, ବେ |"
प्रदर्श,ପ୍ରଦର୍ଶନ
कीबन,କିବାନ୍
"मणिका,बीड","ମାଣିକା, ବିଡ୍ |"
"दंड,बीम, किरण पुंज, तुर","ବିମ୍, ବିମ୍, ବିମ୍, ଟ୍ରମ୍ପ |"
"दिक्मान,दिक्कोण","ଡିକମ୍ୟାନ୍, ଡିକ୍କନ୍ |"
"डोल ,विस्पंद","ଡୋଲ୍, ଭିସପ୍ୟାଣ୍ଡ୍ |"
बैकेरल प्रभाव,becquerel ପ୍ରଭାବ |
