Assamese,Punjabi
অভিগম ধৰণ,ਪਹੁੰਚ ਮੋਡ
অভিগম বিশেষাধিকাৰসমূহ,ਪਹੁੰਚ ਅਧਿਕਾਰ
অভিগম সুৰক্ষা,ਪਹੁੰਚ ਸੁਰੱਖਿਆ
"1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ","1. ਐਕਸੈਸ ਸਰਵਰ, 2. ਸਰਵਰ ਤੱਕ ਪਹੁੰਚ"
প্ৰৱেশ সময়,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
স্বীকৃতি,ਮਾਨਤਾ
শব্দবিজ্ঞান,ਧੁਨੀ ਵਿਗਿਆਨ
"১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি","1. ਸੰਖੇਪ ਰੂਪ, 2. ਸੰਖੇਪ, 3. ਤੋਂ ਛੋਟਾ"
কাৰ্য্য বাৰ্তা,ਕਾਰਵਾਈ ਸੁਨੇਹਾ
সক্ৰিয়কৰণ,ਸਰਗਰਮੀ
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা,ਸਰਗਰਮ ਸਰਵਰ ਪੰਨਾ
সক্ৰিয় সংস্কৰণ,ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ
অচক্ৰীয়,acyclic
"১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ","1. ਏਸਾਈਕਲਿਕ ਗ੍ਰਾਫ਼, 2. acyclic ਗ੍ਰਾਫ਼"
আদা কম্পিউটাৰ ভাষা,ਅਦਾ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ
"১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ","1. ਆਪਟੀਮਾਈਜ਼ਰ, 2. ਆਪਟੀਮਾਈਜ਼ਰ"
to sum),ਜੋੜ)
যোগফল নথিপত্ৰ,sum ਫਾਈਲ
"1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য","1. ਐਡੀਸ਼ਨ ਓਪਰੇਸ਼ਨ, 2. ਸੰਯੁਕਤ ਕਾਰਵਾਈ"
adder,ਜੋੜਨ ਵਾਲਾ
ঠিকনা,ਜਾਣੋ
ঠিকনা বাছ,ਪਤਾ ਬੱਸ
ঠিকনা নথিপত্ৰ,ਐਡਰੈੱਸ ਫਾਈਲ
ঠিকনা বিন্যাস,ਪਤਾ ਫਾਰਮੈਟ
ঠিকনা উৎপাদক,ਪਤਾ ਜਨਰੇਟਰ
ঠিকনা ৰেখা,ਐਡਰੈੱਸ ਲਾਈਨ
ঠিকনা মেপিং,ਪਤਾ ਮੈਪਿੰਗ
ঠিকনা সূচক,ਪਤਾ ਸੂਚਕ
ঠিকনা পঞ্জীয়ন,ਪਤਾ ਰਜਿਸਟਰ
ঠিকনা ভাঙি যোৱা,ਪਤਾ ਟੁੱਟਣ
ঠিকনা অনুবাদ,ਪਤਾ ਅਨੁਵਾਦ
"1. ঠিকনাযোগ্য স্মৃতিশক্তি, 2. ঠিকনাযোগ্য মেমৰি","1. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ, 2. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ"
সম্বোধন কৰা,ਸੰਬੋਧਨ ਕਰਦੇ ਹੋਏ
"১.পৰ্যাপ্ততাৰ মাপকাঠী, ২. পৰ্যাপ্ততাৰ মাপকাঠী","1. ਪੂਰਤੀ ਮਾਪਦੰਡ, 2. ਅਨੁਕੂਲਤਾ ਮਾਪਦੰਡ"
সংলগ্ন কৰা হৈছে,ਲਗਾਵ
"1. ব্যৱস্থাপনা , 2. নিয়ন্ত্ৰণ","1. ਪ੍ਰਬੰਧਨ, 2. ਕੰਟਰੋਲ"
"১.পৰিচালক, ২. নিয়ন্ত্ৰক","1. ਮੈਨੇਜਰ, 2. ਕੰਟਰੋਲਰ"
এডোব এক্ৰ&#39;বেট,ਅਡੋਬ ਐਕਰੋਬੈਟ
এডোব ফটোশ্বপ,ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ
ABAP (উন্নত ব্যৱসায়িক প্ৰগ্ৰেমিং),ABAP (ਐਡਵਾਂਸਡ ਬਿਜ਼ਨਸ ਪ੍ਰੋਗਰਾਮਿੰਗ)
"1. উন্নত তথ্য, 2. উন্নত তথ্য","1. ਐਡਵਾਂਸਡ ਡੇਟਾ, 2. ਤਕਨੀਕੀ ਡਾਟਾ"
উন্নত তথ্য ব্যৱস্থা,ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ
উন্নত প্ৰযুক্তি (AT),ਐਡਵਾਂਸਡ ਟੈਕਨਾਲੋਜੀ (ਏ.ਟੀ.)
কাৰ্য কৰা,ਕਾਰਵਾਈ
একত্ৰীকৰণ,ਏਕੀਕਰਨ
বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা,ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ
aldus পৃষ্ঠা-নিৰ্মাণ,aldus page-make
সতৰ্কবাণী বাকচ,ਚੇਤਾਵਨੀ ਬਾਕਸ
algol (কম্পিউটাৰ ভাষা),ਐਲਗੋਲ (ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)
"1. এলগৰিদম , 2. এলগৰিদম","1. ਐਲਗੋਰਿਦਮ, 2. ਐਲਗੋਰਿਦਮ"
"১.এলগৰিদম বিশ্লেষণ, ২. এলগৰিদম বিশ্লেষণ","1. ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ, 2. ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ"
এলগৰিদম দক্ষতা,ਐਲਗੋਰਿਦਮ ਕੁਸ਼ਲਤਾ
"১.ইলিয়াছ, ২. ডাকনাম, ৩. aka","1. ਏਲੀਯਾਸ, 2. ਉਪਨਾਮ, 3. ਉਰਫ"
প্ৰান্তিককৰণ,ਅਲਾਈਨਮੈਂਟ
"১.আবণ্টন, ২. আবণ্টন","1. ਵੰਡ, 2. ਵੰਡ"
"১.বৰ্ণানুক্ৰমিক, ২. বৰ্ণানুক্ৰমিক ক্ৰম","1. ਵਰਣਮਾਲਾ, 2. ਵਰਣਮਾਲਾ ਕ੍ਰਮ"
আলফানিউমেৰিক,ਅੱਖਰ ਅੰਕੀ
"1. আলফানিউমেৰিক কিবৰ্ড ,2. আলফানিউমেৰিক কিবৰ্ড","1. ਅਲਫਾਨਿਊਮੇਰਿਕ ਕੀਬੋਰਡ, 2. ਅੱਖਰ ਅੰਕੀ ਕੀਬੋਰਡ"
আলফা-পৰীক্ষণ (১ম স্তৰৰ পৰীক্ষা),ਅਲਫ਼ਾ-ਟੈਸਟਿੰਗ (ਪਹਿਲਾ ਪੱਧਰ ਦਾ ਟੈਸਟ)
"1. আলফা সংস্কৰণ, 2. আলফা ৰূপ","1. ਅਲਫ਼ਾ ਸੰਸਕਰਣ, 2. ਅਲਫ਼ਾ ਫਾਰਮ"
alt কি&#39;,alt ਕੁੰਜੀ
আলতাভিস্তা,altavista
বহুগুণতা,ਬਹੁਲਤਾ
অস্পষ্ট ব্যাকৰণ,ਅਸਪਸ਼ਟ ਵਿਆਕਰਣ
আমেৰিকান নেচনেল ষ্টেণ্ডিজ ইনষ্টিটিউট (ANSI),ਅਮਰੀਕਨ ਨੈਸ਼ਨਲ ਸਟੈਂਡੀਜ਼ ਇੰਸਟੀਚਿਊਟ (ANSI)
আমেৰিকান ষ্টেণ্ডাৰ্ড কাট (ascii),ਅਮਰੀਕਨ ਸਟੈਂਡਰਡ ਕੱਟ (ascii)
"1. অনুৰূপ, ২. এনালগ","1. ਸਮਾਨ, 2. ਐਨਾਲਾਗ"
"১.এনালগ কম্পিউটাৰ, ২.এনালগ কম্পিউটাৰ","1. ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ, 2. ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ"
"1. এনালগ ডিভাইচ, 2. এনালগ ডিভাইচ","1. ਐਨਾਲਾਗ ਯੰਤਰ, 2. ਐਨਾਲਾਗ ਜੰਤਰ"
"1. এনালগ মডেম, 2. এনালগ মডেম","1. ਐਨਾਲਾਗ ਮਾਡਮ, 2. ਐਨਾਲਾਗ ਮਾਡਮ"
এনালগ টু ডিজিটেল কনভাৰ্টাৰ,ਐਨਾਲਾਗ ਤੋਂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ
শেষ (ডিজিটেল/প্লেন লজিক &#39;আৰু&#39; ব্যৱহৃত),ਅੰਤ (ਡਿਜੀਟਲ/ਪਲੇਨ ਤਰਕ &#39;ਅਤੇ&#39; ਵਰਤਿਆ ਗਿਆ)
শেষ বৰ্তনী,ਅੰਤ ਸਰਕਟ
শেষৰ গেট আৰু গেট,ਅੰਤ ਗੇਟ ਅਤੇ ਗੇਟ
অপাৰেচন শেষ নহয় (বৰ্জন),ਅੰਤ ਨਹੀਂ ਓਪਰੇਸ਼ਨ (ਬੇਹੱਦ)
"১.এনিমেচন, ২.কম্পন","1. ਐਨੀਮੇਸ਼ਨ, 2. ਵਾਈਬ੍ਰੇਸ਼ਨ"
দ্ৰষ্টব্য,ਨੋਟ
অসামঞ্জস্যতা,ਅਸੰਗਤਤਾ
পূৰ্ৱবৰ্তী,ਪਿਛਲਾ
প্ৰত্যাশিত পেজিং,ਅਗਾਊਂ ਪੇਜਿੰਗ
প্ৰতি-সমমিতিক,ਵਿਰੋਧੀ-ਸਮਮਿਤੀ
এন্টিভাইৰেল প্ৰগ্ৰেম,ਐਂਟੀਵਾਇਰਲ ਪ੍ਰੋਗਰਾਮ
"১.এপলেট, ২. দৰ্খাস্ত","1. ਐਪਲਿਟ, 2. ਐਪਲੀਕੇਸ਼ਨ"
এপ্লিকেচন ডেভেলপাৰ,ਐਪਲੀਕੇਸ਼ਨ ਡਿਵੈਲਪਰ
এপ্লিকেচন প্ৰগ্ৰেমিং,ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
"1. এপ্লিকেচন প্ৰগ্ৰামিং আন্তঃপৃষ্ঠ, 2. এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)","1. ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ, 2. ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ (API)"
এপ্লিকেচন চফ্টৱেৰ,ਐਪਲੀਕੇਸ਼ਨ ਸਾਫਟਵੇਅਰ
আবেদন ভাষা,ਐਪਲੀਕੇਸ਼ਨ ਭਾਸ਼ਾ
আনুমানিক নীতি,ਲਗਭਗ ਸਿਧਾਂਤ
গাঁঠনি,ਬਣਤਰ
ক্ষেত্ৰ স্থানান্তৰ,ਖੇਤਰ ਦਾ ਤਬਾਦਲਾ
"1. প্ৰাচল, স্বাধীন চলক, 2. কোণ","1. ਪੈਰਾਮੀਟਰ, ਸੁਤੰਤਰ ਵੇਰੀਏਬਲ, 2. ਕੋਣ"
"1. গাণিতিক আৰু যুক্তি একক, 2. গাণিতিক আৰু যুক্তি একক","1. ਅੰਕਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ, 2. ਅੰਕਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ"
গাণিতিক পৰীক্ষা,ਗਣਿਤ ਦੀ ਜਾਂਚ
গাণিতিক ধ্ৰুৱক,ਅੰਕਗਣਿਤ ਸਥਿਰ
গাণিতিক তথ্য,ਗਣਿਤ ਡਾਟਾ
গাণিতিক নিৰ্দেশনা,ਗਣਿਤ ਦੀ ਹਿਦਾਇਤ
গাণিতিক আৰু যুক্তিসংগত একক (ALU),ਗਣਿਤ ਅਤੇ ਲਾਜ਼ੀਕਲ ਯੂਨਿਟ (ALU)
ARPA নেট (RPNet),ARPA ਨੈੱਟ (RPNet)
এৰে,ਐਰੇ
"1. এৰে কেচ, 2. এৰেৰ গতি, ৩. এৰে মেমৰি","1. ਐਰੇ ਕੈਸ਼, 2. ਐਰੇ ਸਪੀਡ, 3. ਐਰੇ ਮੈਮੋਰੀ"
এৰে কম্পিউটাৰ,ਐਰੇ ਕੰਪਿਊਟਰ
এৰে উপাদান,ਐਰੇ ਤੱਤ
এৰেৰ নাম,ਐਰੇ ਨਾਮ
এৰে প্ৰচেছৰ,ਐਰੇ ਪ੍ਰੋਸੈਸਰ
কাঁড় চিহ্ন,ਤੀਰ ਕੁੰਜੀ
সন্ধি,ਸੰਧੀ
জংচন পইণ্ট,ਜੰਕਸ਼ਨ ਬਿੰਦੂ
কৃত্ৰিম সংকোচন,ਨਕਲੀ ਸੰਕੁਚਿਤ
কৃত্ৰিম নিয়ন্ত্ৰণ,ਨਕਲੀ ਕੰਟਰੋਲ
কৃত্ৰিম ইন্দ্ৰিয়,ਨਕਲੀ ਭਾਵਨਾ
মাউন্ট,ਮਾਊਂਟ
আৰোহী সজাই পৰাই তোলা,ਵਧਦੀ ਲੜੀ
ascii বৰ্ণমালা,ascii ਵਰਣਮਾਲਾ
ascii নিয়ন্ত্ৰণ চিহ্ন,ascii ਕੰਟਰੋਲ ਚਿੰਨ੍ਹ
ascii ফাইল,ascii ਫਾਈਲ
ascii ফন্ট,ascii ਫੌਂਟ
ASCII স্থানান্তৰ,ASCII ਟ੍ਰਾਂਸਫਰ
এস্পেক্ট ৰেচিঅ&#39;,ਆਕਾਰ ਅਨੁਪਾਤ
"১.এছপি, ২. এ এছ পি আই","1. ਐਸਪੀ, 2. ਏ.ਐਸ.ਪੀ.ਆਈ"
এ এছ আৰ কালাদ,ਏ ਐਸ ਆਰ ਕਲਾਡ
"১/ স্মৰণ, ২। একত্ৰিত কৰা, ৩. একত্ৰিত কৰা","1. ਯਾਦ, 2. ਅਸੈਂਬਲਿੰਗ, 3. ਇਕੱਠੇ ਕਰਨ ਲਈ"
"১.সমাবেশকাৰী, ২. স্মাৰক","1. ਅਸੈਂਬਲਰ, 2. ਯਾਦਗਾਰੀ"
"1. একত্ৰিত কৰা, ২. স্মৃতি","1. ਅਸੈਂਬਲਿੰਗ, 2. ਯਾਦ"
"১/ মুখস্থ কৰা ভাষা, ২. ভাষা একত্ৰিত কৰা","1. ਯਾਦਾਸ਼ਤ ਭਾਸ਼ਾ, 2. ਅਸੈਂਬਲਿੰਗ ਭਾਸ਼ਾ"
সংকল্প,ਦ੍ਰਿੜ੍ਹਤਾ
"1. নিৰ্দিষ্ট কাম, 2. আবণ্টন","1. ਨਿਰਧਾਰਤ ਕੰਮ, 2. ਵੰਡ"
সংগীত্ব,ਸਾਥੀ
সহযোগী ঠিকনা,ਸਹਿਯੋਗੀ ਪਤਾ
"১.সংগত স্মৃতি, ২. সহযোগী স্মৃতিশক্তি","1. ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ, 2. ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ"
তাৰকা চিহ্ন (* চিহ্ন),ਤਾਰਾ (* ਚਿੰਨ੍ਹ)
অসমতাপূৰ্ণ,ਅਸਮਿਤ
"1. এচিনক্ৰ&#39;নাছ , 2. এচিনক্ৰ&#39;নাছ","1. ਅਸਿੰਕ੍ਰੋਨਸ, 2. ਅਸਿੰਕ੍ਰੋਨਸ"
এচিনক্ৰ&#39;নাছ ডিজিটেল গ্ৰাহক লাইন (ADSL),ਅਸਿੰਕ੍ਰੋਨਸ ਡਿਜੀਟਲ ਸਬਸਕ੍ਰਾਈਬਰ ਲਾਈਨ (ADSL)
এচিংক্ৰ&#39;নাছ সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM),ਅਸਿੰਕ੍ਰੋਨਸ ਟਾਈਮ ਡਿਵੀਜ਼ਨ ਮਲਟੀਪਲੈਕਸਿੰਗ (ATDM)
এচিনক্ৰ&#39;নাছ স্থানান্তৰ,ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ
এচিংক্ৰ&#39;নাছ ট্ৰেন্সফাৰ মোড (ATM),ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ ਮੋਡ (ATM)
"১.পৰমাণু, ২. পৰমণ","1. ਐਟਮ, 2. ਪਰਮਾਨ"
সংলগ্ন নথিপত্ৰ,ਨੱਥੀ ਦਸਤਾਵੇਜ਼
"1. সংলগ্ন ফাইল/মিছিল, 2. সংলগ্ন ফাইল","1. ਨੱਥੀ ਫਾਈਲ/ਮਿਸਲ, 2. ਨੱਥੀ ਫਾਈਲ"
"১.আৱৰণ, ২. সংযুক্ত","1. ਦੀਵਾਰ, 2. ਸੰਬੰਧਿਤ"
"১.গুণ, ২. বৈশিষ্ট্য","1. ਗੁਣ, 2. ਵਿਸ਼ੇਸ਼ਤਾ"
শ্ৰৱণযোগ্য,ਸੁਣਨਯੋਗ
"1. অডিট প্ৰগ্ৰেমিং, 2. অডিট প্ৰগ্ৰেমিং","1. ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ"
একাউণ্ট পৰীক্ষণ,ਖਾਤਾ ਪੁਸ਼ਟੀਕਰਨ
প্ৰচাৰ,ਤਰੱਕੀ
প্ৰমাণীকৰণ প্ৰট&#39;কল,ਸਰਟੀਫਿਕੇਸ਼ਨ ਪ੍ਰੋਟੋਕੋਲ
লেখক পদ্ধতি,ਲੇਖਕ ਵਿਧੀ
"১.কৰ্তৃত্ব, ২. কৰ্তৃত্ব, ৩. ন্যায়াধিকৰণ","1. ਅਥਾਰਟੀ, 2. ਅਥਾਰਟੀ, 3. ਟ੍ਰਿਬਿਊਨਲ"
অটো বিমূৰ্ত,ਆਟੋ ਐਬਸਟਰੈਕਟ
"1. স্বয়ংক্ৰিয় বুটিং, 2. self বুট","1. ਆਟੋ ਬੂਟਿੰਗ, 2. ਸਵੈ ਬੂਟ"
AutoCAD (এটা কম্পিউটাৰ ভাষা),ਆਟੋਕੈਡ (ਇੱਕ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)
স্বয়ংক্ৰিয় লগ-অন,ਆਟੋ ਲੌਗ-ਆਨ
automata,ਆਟੋਮੇਟਾ
automata তত্ত্ব,ਆਟੋਮੈਟਾ ਥਿਊਰੀ
স্বয়ংক্ৰিয় গণনা,ਆਟੋਮੈਟਿਕ ਗਣਨਾ
স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ,ਆਟੋਮੈਟਿਕ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ
স্বয়ংক্ৰিয় ভুল সংশোধন,ਆਟੋਮੈਟਿਕ ਗਲਤੀ ਸੁਧਾਰ
অটো ফাংচন,ਆਟੋ ਫੰਕਸ਼ਨ
"1. স্বয়ংক্ৰিয় সূচীভুক্তকৰণ, 2. স্বয়ংক্ৰিয় তালিকাভুক্তকৰণ","1. ਆਟੋਮੈਟਿਕ ਇੰਡੈਕਸਿੰਗ, 2. ਆਟੋਮੈਟਿਕ ਸੂਚੀਕਰਨ"
অটো-সংগ্ৰহ কল,ਸਵੈ-ਸੰਗ੍ਰਹਿ ਕਾਲ
"1. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং, 2. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং","1. ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ"
"1. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম, 2. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম","1. ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ, 2. ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ"
অটো ৰুটিন,ਆਟੋਮੈਟਿਕ ਰੁਟੀਨ
স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ,ਆਟੋਮੈਟਿਕ ਸਿਸਟਮ ਰਿਕਵਰੀ
"১/ স্বয়ংক্ৰিয় টেলাৰ মেচিন (এটিএম), ২. স্বয়ং উলিওৱাৰ বাবে বেংকৰ ATM","1. ਆਟੋਮੈਟਿਕ ਟੈਲਰ ਮਸ਼ੀਨਾਂ (ATM), 2. ਸਵੈ ਨਿਕਾਸੀ ਲਈ ਬੈਂਕ ਏ.ਟੀ.ਐਮ"
অটোমেচন,ਆਟੋਮੇਸ਼ਨ
"1. অটোপ্লে , 2. অটো ৱাক","1. ਆਟੋਪਲੇ, 2. ਆਟੋ ਵਾਕ"
কণ্ঠদান,ਵੋਕਲਾਈਜ਼ੇਸ਼ਨ
সহায়ক,ਸਹਾਇਕ
সহায়ক স্মৃতিশক্তি,ਸਹਾਇਕ ਮੈਮੋਰੀ
সহায়ক সংৰক্ষণ,ਸਹਾਇਕ ਸਟੋਰੇਜ਼
উপলব্ধ তালিকা,ਉਪਲਬਧ ਸੂਚੀ
উপলব্ধ সময়,ਉਪਲਬਧ ਸਮਾਂ
গড়,ਔਸਤ
AWK (এটা কম্পিউটাৰ কমাণ্ড),AWK (ਇੱਕ ਕੰਪਿਊਟਰ ਕਮਾਂਡ)
পাছত,ਬਾਅਦ
পোষ্ট প্ৰচেছৰ,ਪੋਸਟ ਪ੍ਰੋਸੈਸਰ
পশ্চাৎ কাৰ্য্য বিলোপন,ਪਿਛਲਾ ਫੰਕਸ਼ਨ ਮਿਟਾਉਣਾ
পটভূমি প্ৰক্ৰিয়াকৰণ,ਪਿਛੋਕੜ ਦੀ ਕਾਰਵਾਈ
আনুষংগিক দোকানসমূহ,ਸਹਾਇਕ ਸਟੋਰ
বেক পেচিং,ਵਾਪਸ ਪੈਚਿੰਗ
"১.পশ্চিম, ২. বেকস্পেচ","1. ਪੱਛਮ, 2. ਬੈਕਸਪੇਸ"
পিছুৱাই যোৱা,ਬੈਕਟਰੈਕਿੰਗ
"1. বেক-আপ , 2. ৰিইম্বৰ্চেমেণ্ট","1. ਬੈਕ-ਅੱਪ, 2. ਅਦਾਇਗੀ"
"১/ পৰিপূৰক স্মৃতিশক্তি, ২. বেক-আপ মেমৰি","1. ਪੂਰਕ ਮੈਮੋਰੀ, 2. ਬੈਕਅੱਪ ਮੈਮੋਰੀ"
পিছলৈ ভুল সংশোধন,ਵਾਪਸ ਗਲਤੀ ਸੁਧਾਰ
(আয়-ব্যয়) বেলেন্স শ্বীট,(ਆਮਦਨ-ਖਰਚਾ) ਬੈਲੇਂਸ ਸ਼ੀਟ
পট্টি,ਪੱਟੀ
"১.বেণ্ড প্ৰস্থ, ২. বেণ্ডউইডথ/ক্ষমতা","1. ਬੈਂਡ ਚੌੜਾਈ, 2. ਬੈਂਡਵਿਡਥ/ਸਮਰੱਥਾ"
বেংকাৰৰ এলগৰিদম,ਬੈਂਕਰ ਦਾ ਐਲਗੋਰਿਦਮ
"1. বাৰ ক&#39;ড, 2. বাৰ ক&#39;ড","1. ਬਾਰ ਕੋਡ, 2. ਬਾਰ ਕੋਡ"
বাৰক&#39;ড স্ক্যানাৰ,ਬਾਰਕੋਡ ਸਕੈਨਰ
বাৰ গ্ৰাফ,ਪੱਟੀ ਗ੍ਰਾਫ
ভিত্তি ঠিকনা,ਅਧਾਰ ਪਤਾ
বেচ বেণ্ড,ਅਧਾਰ ਬੈਂਡ
আধাৰ নম্বৰ,ਆਧਾਰ ਨੰਬਰ
ভিত্তি টেবুল,ਅਧਾਰ ਸਾਰਣੀ
মূল (এটা কম্পিউটাৰ ভাষা),ਬੇਸਿਕ (ਇੱਕ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)
