English,Tamil
Add operation,செயல்பாட்டைச் சேர்க்கவும்
Address,முகவரி
Addressability measure,முகவரி அளவீடு
Addressable horizontal position,முகவரியிடக்கூடிய கிடைமட்ட நிலை
Addressable point,முகவரிக்குரிய புள்ளி
Addressable position,முகவரி செய்யக்கூடிய நிலை
Addressable register,முகவரிக்குரிய பதிவு
Addressable storage,முகவரியிடக்கூடிய சேமிப்பு
Addressable vertical position,முகவரியிடக்கூடிய செங்குத்து நிலை
Address bus,முகவரி பஸ்
Address code,முகவரி குறியீடு
Address comparator,முகவரி ஒப்பீட்டாளர்
Address computation,முகவரி கணக்கீடு
Address constant,முகவரி மாறிலி
Address conversion,முகவரி மாற்றம்
Address data,முகவரி தரவு
Addressed memory,உரையாற்றப்பட்ட நினைவகம்
Address effective,முகவரி பயனுள்ளதாக இருக்கும்
Address field,முகவரி புலம்
Address format,முகவரி வடிவம்
Address free program,முகவரி இலவச நிரல்
Addressing,முகவரி
Addressing  Character,முகவரி  எழுத்து
Addressing interrupt,குறுக்கீடு
Addressing loop,முகவரி லூப்
Addressing virtual memory,மெய்நிகர் நினைவகத்தை உரையாற்றுதல்
Address interlacing,முகவரி ஒன்றோடொன்று
Addressless instruction format,முகவரி இல்லாத அறிவுறுத்தல் வடிவம்
Address line,முகவரி வரி
Address mapping,முகவரி மேப்பிங்
Address mark,முகவரி குறி
Address modification,முகவரி மாற்றம்
Address part,முகவரி பகுதி
Address pointer,முகவரி சுட்டிக்காட்டி
Address register,முகவரி பதிவு
Address signal,முகவரி சமிக்ஞை
Address size,முகவரி அளவு
Address space,முகவரி இடம்
Address space identifier,முகவரி விண்வெளி அடையாளங்காட்டி
Address stop,முகவரி நிறுத்தம்
Address trace,முகவரி சுவடு
Address track,முகவரி பாடல்
Address translation,முகவரி மொழிபெயர்ப்பு
Address translator,முகவரி மொழிபெயர்ப்பாளர்
Add-subtract time,கூடுதல் துணை நேரம்
Add time,நேரம் சேர்க்கவும்
Adjacency,அடுத்துள்ள
Adjacency structure,அருகிலுள்ள அமைப்பு
Adjacent channel,அருகிலுள்ள சேனல்
Adjacent domain,அருகிலுள்ள டொமைன்
Adjacent matrix,அருகிலுள்ள மேட்ரிக்ஸ்
Adjacent node,அருகிலுள்ள முனை
Adjacent subarea,அருகிலுள்ள சப்ரியா
Adjoint (system),தொடை (அமைப்பு)
Adjust,சரிசெய்யவும்
Adjustable extent,சரிசெய்யக்கூடிய அளவு
Adjust text mode,உரை பயன்முறையை சரிசெய்யவும்
Administrative data processing,நிர்வாக தரவு செயலாக்கம்
Administrative operation,நிர்வாக செயல்பாடு
Administrative operator,நிர்வாக ஆபரேட்டர்
Administrative operator station,நிர்வாக ஆபரேட்டர் நிலையம்
Administrative support system,நிர்வாக ஆதரவு அமைப்பு
Advanced communication service,மேம்பட்ட தொடர்பு சேவை
Advanced information system,மேம்பட்ட தகவல் அமைப்பு
Advanced optical character reader,மேம்பட்ட ஆப்டிகல் கேரக்டர் ரீடர்
Advanced scientific computer,மேம்பட்ட அறிவியல் கணினி
Aerial,வான்வழி
Aggregate,மதிப்பீட்டு
Aggregate expression,மொத்த வெளிப்பாடு
Aiming circle,இலக்கு வட்டம்
Aiming field (= aiming symbol),இலக்கு புலம் (= இலக்கு சின்னம்)
Aiming symbol,நோக்கம் சின்னம்
Airborne computer system,வான்வழி கணினி அமைப்பு
Algebraic eigenvalue problem,இயற்கணித ஈஜென்வெல்யூ சிக்கல்
Algebraic  Integration,இயற்கணித  ஒருங்கிணைப்பு
Algebraic language,இயற்கணித மொழி
Algebraic manipulation,இயற்கணித கையாளுதல்
Algebraic manipulation language,இயற்கணித கையாளுதல் மொழி
Algebraic oriented language,இயற்கணித சார்ந்த மொழி
Algebraic shift,இயற்கணித மாற்றம்
Algebraic sign convention,இயற்கணித அடையாளம் மாநாடு
Algol,அல்கோல்
Algol feature,அல்கோல் அம்சம்
Algol Programming,அல்கோல் நிரலாக்க
Algorithm,வழிமுறை
Algorithm associative language,அல்காரிதம் துணை மொழி
Algorithm classification,வழிமுறை வகைப்பாடு
Algorithm complexity,வழிமுறை சிக்கலானது
Algorithm computability,அல்காரிதம் கணக்கீடு
Algorithmic analysis,வழிமுறை பகுப்பாய்வு
Algorithmic approach,வழிமுறை அணுகுமுறை
Algorithmic language,வழிமுறை மொழி
Algorithmic routine,வழிமுறை வழக்கம்
Algorithmic theory,வழிமுறை கோட்பாடு
Alias,மாற்றுப்பெயர்
Aliasing,மாற்றுப்பெயர்ச்சி
Alias name (= alternative name),மாற்றுப்பெயர் பெயர் (= மாற்று பெயர்)
Alignment,சீரமைப்பு
Allocate,ஒதுக்கவும்
Allocation structure,ஒதுக்கீடு அமைப்பு
All-purpose computer,அனைத்து நோக்கம் கொண்ட கணினி
Alphabetic character,அகரவரிசை எழுத்து
Alphabetic character set,அகரவரிசை எழுத்து தொகுப்பு
Alphabetic character subset,அகரவரிசை எழுத்து துணைக்குழு
Alphabetic code,அகரவரிசை குறியீடு
Alphabetic shift,அகரவரிசை மாற்றம்
Alphabetic string,அகரவரிசை சரம்
Alphabetic word,அகரவரிசை சொல்
Alphabetization,அகரவரிசை
Alphageometrics,ஆல்பாஜோமெட்ரிக்ஸ்
Alphameric,ஆல்பமெரிக்
Alphamosaic,ஆல்பமோசைக்
Alphanumeric,எண்ணெழுத்து
Alphanumerical keyboard device,எண்ணெழுத்து விசைப்பலகை சாதனம்
Alphanumeric character set,எண்ணெழுத்து எழுத்து தொகுப்பு
Alphanumeric code,எண்ணெழுத்து குறியீடு
Alphanumeric coded character set,எண்ணெழுத்து குறியீட்டு எழுத்து தொகுப்பு
Alphanumeric data,எண்ணெழுத்து தரவு
Alphanumeric display device,எண்ணெழுத்து காட்சி சாதனம்
Alphanumeric edited character,எண்ணெழுத்து திருத்தப்பட்ட எழுத்து
Alphanumeric field,எண்ணெழுத்து புலம்
Alphanumeric instruction,எண்ணெழுத்து அறிவுறுத்தல்
Alphanumeric keyboard,எண்ணெழுத்து விசைப்பலகை
Alphanumeric sort,எண்ணெழுத்து வகை
Alphanumeric storage,எண்ணெழுத்து சேமிப்பு
Alterable memory,மாற்றக்கூடிய நினைவகம்
Alteration switch,மாற்ற சுவிட்ச்
Altering,மாற்றுதல்
Alter mode,மாற்று பயன்முறை
Alternate recovery,மாற்று மீட்பு
Alternate route,மாற்று பாதை
Alternate routing,மாற்று ரூட்டிங்
Alternate track,மாற்று பாதை
Alternation (= OR operation),மாற்று (= அல்லது செயல்பாடு)
Alternative attribute,மாற்று பண்புக்கூறு
Alternative denial (= NOT-AND operation),மாற்று மறுப்பு (= இல்லை-மற்றும் செயல்பாடு)
Ambiguity error,தெளிவற்ற பிழை
Ambiguous reference,தெளிவற்ற குறிப்பு
Analog,அனலாக்ஸ்
Analog adder,அனலாக் சேர்க்கை
Analog channel,அனலாக் சேனல்
Analog computer,அனலாக் கணினி
Analog converter,அனலாக் மாற்றி
Analog data,அனலாக் தரவு
Analog divider,அனலாக் டிவைடர்
Analog facility terminal,அனலாக் வசதி முனையம்
Analog function  Generator,அனலாக் செயல்பாடு  ஜெனரேட்டர்
Analog integration,அனலாக் ஒருங்கிணைப்பு
Analog multiplier,அனலாக் பெருக்கி
Analog programming,அனலாக் நிரலாக்க
Analog scaling,அனலாக் அளவிடுதல்
Analog signal,அனலாக் சிக்னல்
Analog simulation,அனலாக் உருவகப்படுத்துதல்
Analog switch,அனலாக் சுவிட்ச்
Analog system,அனலாக் அமைப்பு
Analog to digital  Converter,டிஜிட்டலுக்கு அனலாக்  மாற்றி
Analog to digital  Encoder,டிஜிட்டலுக்கு அனலாக்  குறியாக்கி
Analog transmission,அனலாக் பரிமாற்றம்
Analog type,அனலாக் வகை
Analysis block,பகுப்பாய்வு தொகுதி
Analysis mode,பகுப்பாய்வு முறை
Analytical engine,பகுப்பாய்வு இயந்திரம்
Ancestral task,மூதாதையர் பணி
Ancillary equipment,துணை உபகரணங்கள்
AND,மற்றும்
AND circuit,மற்றும் சுற்று
AND element,மற்றும் உறுப்பு
AND gate,மற்றும் வாயில்
AND masking,மற்றும் மறைத்தல்
AND NOT operation (=exclusion,மற்றும் செயல்பாடு அல்ல (= விலக்கு
AND operation,மற்றும் செயல்பாடு
Annex memory,இணைப்பு நினைவகம்
Annotation,சிறுகுறி
Annunciator,அறிவிப்பாளர்
Answer back,பதில்
Answer delay,பதில் தாமதம்
Answering time,பதிலளிக்கும் நேரம்
Answer lamp,பதில் விளக்கு
Answer list,பதில் பட்டியல்
Answer only,பதில்
Anticipation mode,எதிர்பார்ப்பு பயன்முறை
Anticipatory buffering,எதிர்பார்ப்பு இடையக
Anticipatory carry,எதிர்பார்ப்பு கேரி
Anticipatory paging,எதிர்பார்ப்பு பேஜிங்
Anticoincidence operation,எதிர்விளைவு செயல்பாடு
Anticoincident element,எதிர்விளைவு உறுப்பு
Aperiodic antenna,அபீரியோடிக் ஆண்டெனா
Aperture card,துளை அட்டை
Aperture code,துளை குறியீடு
Aperture time,துளை நேரம்
Appendage,இணைப்பு
Appendage task,இணைப்பு பணி
Application developer,பயன்பாட்டு உருவாக்குநர்
Application layer,பயன்பாட்டு அடுக்கு
Application oriented language,பயன்பாட்டு சார்ந்த மொழி
Application package,பயன்பாட்டு தொகுப்பு
Application program,பயன்பாட்டு நிரல்
Application programming,பயன்பாட்டு நிரலாக்க
Application required language,பயன்பாடு தேவையான மொழி
Application software,பயன்பாட்டு மென்பொருள்
Applique,Applique
Approximation theory,தோராயக் கோட்பாடு
Arbitrary access,தன்னிச்சையான அணுகல்
Arbitrary sequence computer,தன்னிச்சையான வரிசை கணினி
Arbitration,நடுவர்
Architecture,கட்டிடக்கலை
Archiving,காப்பகப்படுத்துதல்
Area code,பகுதி குறியீடு
Area search,பகுதி தேடல்
Area transfer,பகுதி பரிமாற்றம்
Area variable,பகுதி மாறி
Argument,வாதம்
Argument address,வாத முகவரி
Argument list,வாத பட்டியல்
Arithmetical instruction,எண்கணித அறிவுறுத்தல்
Arithmetic and logic unit,எண்கணித மற்றும் தர்க்க அலகு
Arithmetic assignment statement,எண்கணித ஒதுக்கீட்டு அறிக்கை
Arithmetic check,எண்கணித சோதனை
Arithmetic constant,எண்கணித மாறிலி
Arithmetic conversion,எண்கணித மாற்றம்
Arithmetic data,எண்கணித தரவு
Arithmetic exception,எண்கணித விதிவிலக்கு
Arithmetic expression,எண்கணித வெளிப்பாடு
Arithmetic fixed point,எண்கணித நிலையான புள்ளி
Arithmetic hierarchy,எண்கணித வரிசைமுறை
Arithmetic IF statement,அறிக்கை என்றால் எண்கணிதம்
Arithmetic logic,எண்கணித தர்க்கம்
Arithmetic logic unit,எண்கணித தர்க்க அலகு
Arithmetic operation,எண்கணித செயல்பாடு
Arithmetic operator,எண்கணித ஆபரேட்டர்
Arithmetic overflow,எண்கணித வழிதல்
Arithmetic picture data,எண்கணித படத் தரவு
Arithmetic precedence,எண்கணித முன்னுரிமை
Arithmetic primary,எண்கணித முதன்மை
Arithmetic register,எண்கணித பதிவு
Arithmetic relation,எண்கணித உறவு
Arithmetic scan,எண்கணித ஸ்கேன்
Arithmetic section,எண்கணித பிரிவு
Arithmetic shift,எண்கணித மாற்றம்
Arithmetic shifting,எண்கணித மாற்றம்
Arithmetic statement,எண்கணித அறிக்கை
Arithmetic term,எண்கணித கால
Arithmetic underflow,எண்கணித கீழ்ப்படிதல்
Arithmetic unit,எண்கணித அலகு
Array,வரிசை
Array bound,வரிசை
Array computer,வரிசை கணினி
Array dimension,வரிசை பரிமாணம்
Array element,வரிசை உறுப்பு
Array expression,வரிசை வெளிப்பாடு
Array name,வரிசை பெயர்
Array of structures,கட்டமைப்புகளின் வரிசை
Array printing,வரிசை அச்சிடுதல்
Array processing,வரிசை செயலாக்கம்
Array processor,வரிசை செயலி
Articulation point,வெளிப்பாடு புள்ளி
Artificial cognition,செயற்கை அறிவாற்றல்
Artificial intelligence,செயற்கை நுண்ணறிவு
Artificial language,செயற்கை மொழி
Artificial variable,செயற்கை மாறி
Arts application data bank,கலை பயன்பாட்டு தரவு வங்கி
Arts application music,கலை பயன்பாட்டு இசை
Arts application pattern generation,கலை பயன்பாட்டு முறை உருவாக்கம்
Ascender,அசெண்டர்
Ascending sort,ஏறும் வரிசை
ASCIL,ASCIL
ASCII control character,ASCII கட்டுப்பாட்டு தன்மை
ASCII key board,ASCII விசை வாரியம்
Aspect,அம்சம்
Aspect and,அம்சம் மற்றும்
Assemble,ஒன்றுகூடு
Assembled origin,கூடியிருந்த தோற்றம்
Assemble duration,காலத்தை ஒன்றிணைக்கவும்
Assembler,அசெம்பிளர்
Assembler directive,அசெம்பிளர் டைரெக்டிவ்
Assembler facility,அசெம்பிளர் வசதி
Assembler language,அசெம்பிளர் மொழி
Assembling,அசெம்பிளிங்
Assembling phase,அசெம்பிளிங் கட்டம்
Assembling time,நேரம் திரட்டுதல்
Assembly,சட்டசபை
Assembly language,சட்டசபை மொழி
Assembly language programming,சட்டசபை மொழி நிரலாக்க
Assembly language software flexibility,சட்டசபை மொழி மென்பொருள் நெகிழ்வுத்தன்மை
Assembly listing,சட்டசபை பட்டியல்
Assembly phase,சட்டசபை கட்டம்
Assembly routine,சட்டசபை வழக்கம்
Assembly time,சட்டசபை நேரம்
Assembly unit,சட்டசபை பிரிவு
Assignment indexing,ஒதுக்கீட்டு அட்டவணைப்படுத்தல்
Assignment operation,ஒதுக்கீட்டு செயல்பாடு
Assignment statement,ஒதுக்கீட்டு அறிக்கை
Associative address,துணை முகவரி
Associative array register,துணை வரிசை பதிவு
Associative key,துணை விசை
Associative language,துணை மொழி
Associative memory,துணை நினைவகம்
Associative storage,துணை சேமிப்பு
Assumed decimal point,தசம புள்ளி என்று கருதப்படுகிறது
Asymmetric device,சமச்சீரற்ற சாதனம்
Asymmetric i/o,சமச்சீரற்ற i/o
Asynchronous,ஒத்திசைவற்ற
Asynchronous computer,ஒத்திசைவற்ற கணினி
Asynchronous data transfer,ஒத்திசைவற்ற தரவு பரிமாற்றம்
Asynchronous data transmission,ஒத்திசைவற்ற தரவு பரிமாற்றம்
Asynchronous devices,ஒத்திசைவற்ற சாதனங்கள்
Asynchronous operation,ஒத்திசைவற்ற செயல்பாடு
Asynchronous signalling,ஒத்திசைவற்ற சமிக்ஞை
Asynchronous time division multiplexing,ஒத்திசைவற்ற நேர பிரிவு மல்டிபிளெக்சிங்
Asynchronous transmission,ஒத்திசைவற்ற பரிமாற்றம்
Asynchronous working,ஒத்திசைவற்ற வேலை
Attached processing,இணைக்கப்பட்ட செயலாக்கம்
Attached processor,இணைக்கப்பட்ட செயலி
Attached support processor,இணைக்கப்பட்ட ஆதரவு செயலி
Attended operation,செயல்பாட்டில் கலந்து கொண்டார்
Attended trail printer,பாதை அச்சுப்பொறியில் கலந்து கொண்டார்
Attention interruption,கவனம் குறுக்கீடு
Attention key,கவனம் விசை
Attenuation,விழிப்புணர்வு
Attenuation constant,விழிப்புணர்வு மாறிலி
Attenuation distortion,விழிப்புணர்வு விலகல்
Attenuation equalizer,விழிப்புணர்வு சமநிலை
Attenuator,அட்டென்யூட்டர்
Attribute,பண்புக்கூறு
Audible alarm,கேட்கக்கூடிய அலாரம்
Audio cassette,ஆடியோ கேசட்
Audio enquiry,ஆடியோ விசாரணை
Audio line,ஆடியோ வரி
Audio response,ஆடியோ பதில்
Audio response message,ஆடியோ மறுமொழி செய்தி
Audio response unit,ஆடியோ மறுமொழி அலகு
Audiotape storage unit,ஆடியோடேப் ஸ்டோரேஜ் யூனிட்
Audio telecommunication line,ஆடியோ தொலைத்தொடர்பு வரி
Audio terminal,ஆடியோ முனையம்
Audit command language,தணிக்கை கட்டளை மொழி
Audit programming,தணிக்கை நிரலாக்க
Audit trail,தணிக்கை சோதனை
Augend,ஆகஸ்ட்
Augment,அதிகரிப்பு
Augmenter,ஆக்மென்டர்
Author,நூலாசிரியர்
Authoring,படைப்பாற்றல்
Authoring system,படைப்பாற்றல் அமைப்பு
Authority,அதிகாரம்
Authorization code,அங்கீகார குறியீடு
Authorized library,அங்கீகரிக்கப்பட்ட நூலகம்
Authorized program,அங்கீகரிக்கப்பட்ட திட்டம்
Authorized program facility,அங்கீகரிக்கப்பட்ட நிரல் வசதி
Auto abstract,வாகன சுருக்கம்
Autoanswer,ஆட்டோஆன்ஸ்வெர்
Auto booting,ஆட்டோ துவக்க
Auto bypass,ஆட்டோ பைபாஸ்
Auto call (=automatic calling),ஆட்டோ அழைப்பு (= தானியங்கி அழைப்பு)
Auto coder,ஆட்டோ கோடர்
Auto dial,ஆட்டோ டயல்
Autoflow,ஆட்டோஃப்ளோ
Auto index,ஆட்டோ அட்டவணை
Auto indexed addressing,ஆட்டோ குறியீட்டு முகவரி
Automata,தன்னியக்க
Automata theory,ஆட்டோமேட்டா கோட்பாடு
Automata type,தன்னியக்க வகை
Automated bibliography,தானியங்கு நூலியல்
Automated data medium,தானியங்கு தரவு ஊடகம்
Automated dictionary,தானியங்கு அகராதி
Automated glossary,தானியங்கு சொற்களஞ்சியம்
Automated logic diagram,தானியங்கு தர்க்க வரைபடம்
Automated management,தானியங்கு மேலாண்மை
Automated production management,தானியங்கு உற்பத்தி மேலாண்மை
Automated stock control,தானியங்கு பங்கு கட்டுப்பாடு
Automatic abstract,தானியங்கி சுருக்கம்
Automatic abstracting,தானியங்கி சுருக்கம்
Automatically programmed tools,தானாக திட்டமிடப்பட்ட கருவிகள்
Automatic answering,தானியங்கி பதில்
Automatic call distributor,தானியங்கி அழைப்பு விநியோகஸ்தர்
Automatic calling,தானியங்கி அழைப்பு
Automatic check,தானியங்கி சோதனை
Automatic coding,தானியங்கி குறியீட்டு முறை
Automatic computing,தானியங்கி கணினி
Automatic computing engine,தானியங்கி கணினி இயந்திரம்
Automatic constant,தானியங்கி மாறிலி
Automatic control engineering,தானியங்கி கட்டுப்பாட்டு பொறியியல்
Automatic data processing,தானியங்கி தரவு செயலாக்கம்
Automatic data processing system,தானியங்கி தரவு செயலாக்க அமைப்பு
Automatic decimal alignment,தானியங்கி தசம சீரமைப்பு
Automatic dialing unit,தானியங்கி டயலிங் அலகு
Automatic dictionary,தானியங்கி அகராதி
Automatic equalization,தானியங்கி சமன்பாடு
Automatic error correction,தானியங்கி பிழை திருத்தம்
Automatic feed punch,தானியங்கி தீவன பஞ்ச்
Automatic function,தானியங்கி செயல்பாடு
Automatic indexing,தானியங்கி அட்டவணைப்படுத்தல்
Automatic library call,தானியங்கி நூலக அழைப்பு
Automatic message accounting,தானியங்கி செய்தி கணக்கியல்
Automatic number identification,தானியங்கி எண் அடையாளம்
Automatic pagination,தானியங்கி மோகம்
Automatic programming,தானியங்கி நிரலாக்க
Automatic punch,தானியங்கி பஞ்ச்
Automatic recovery program,தானியங்கி மீட்பு திட்டம்
Automatic repeat request,தானியங்கி மீண்டும் கோரிக்கை
Automatic restart,தானியங்கி மறுதொடக்கம்
Automatic routine,தானியங்கி வழக்கமான
Automatic sequencing,தானியங்கி வரிசைமுறை
Automatic sequential operation,தானியங்கி தொடர்ச்சியான செயல்பாடு
Automatic stop,தானியங்கி நிறுத்தம்
Automatic variable,தானியங்கி மாறி
Automatic volume recognition,தானியங்கி தொகுதி அங்கீகாரம்
Automatic volume switching,தானியங்கி தொகுதி மாறுதல்
Automation,தானியங்கு
Automation concept,ஆட்டோமேஷன் கருத்து
Automatisation,தானியங்கு
Automaton,தானியங்கி
Automatic message routing,தானியங்கி செய்தி ரூட்டிங்
Automoniter,தன்னியக்க
Automoniter routine,ஆட்டோமோனிட்டர் வழக்கமான
Autonomous channel operation,தன்னாட்சி சேனல் செயல்பாடு
Autonomous working,தன்னாட்சி வேலை
Autoplotter,ஆட்டோபிளாட்டர்
Auxiliary console,துணை கன்சோல்
Auxiliary equipment,துணை உபகரணங்கள்
Auxiliary memory,துணை நினைவகம்
Auxiliary operation,துணை செயல்பாடு
Auxiliary routine,துணை வழக்கமான
Auxiliary storage,துணை சேமிப்பு
Auxiliary store,துணை கடை
Availability,கிடைக்கும் தன்மை
Available machine time,கிடைக்கும் இயந்திர நேரம்
Available point,கிடைக்கும் இடம்
Available space list,கிடைக்கும் விண்வெளி பட்டியல்
Available time,கிடைக்கும் நேரம்
Available access time,கிடைக்கும் அணுகல் நேரம்
Average conditional information,சராசரி நிபந்தனை தகவல்
Average edge time,சராசரி விளிம்பு நேரம்
Average information content,சராசரி தகவல் உள்ளடக்கம்
Average information rate,சராசரி தகவல் வீதம்
Average transinformation content,சராசரி டிரான்ஸ் இன்ஃபர்மேஷன் உள்ளடக்கம்
Average transinformation rate,சராசரி டிரான்ஸ் இன்ஃபர்மேஷன் வீதம்
Background display image (= static display  Image),பின்னணி காட்சி படம் (= நிலையான காட்சி  படம்)
Backgrounding (= background processing),பின்னணி (= பின்னணி செயலாக்கம்)
Background job,பின்னணி வேலை
Background noise,பின்னணி இரைச்சல்
Background printing,பின்னணி அச்சிடுதல்
Background processing,பின்னணி செயலாக்கம்
Background program,பின்னணி திட்டம்
Background reader,பின்னணி வாசகர்
Background region,பின்னணி பகுதி
Backing storage (= auxiliary  Storage),பின்னணி சேமிப்பு (= துணை  சேமிப்பு)
Backing store,பின்னணி கடை
Back plane,பின் விமானம்
Backspace,பேக்ஸ்பேஸ்
Backspace character,பேக்ஸ்பேஸ் எழுத்து
Backspacing,பின்னணி
Backtracking,பின்னடைவு
Backtracking structured programming,பின்னடைவு கட்டமைக்கப்பட்ட நிரலாக்க
Backup,காப்புப்பிரதி
Backup copy,காப்பு நகல்
Backup file,காப்புப்பிரதி கோப்பு
Backup memory,காப்பு நினைவகம்
Backup programmer,காப்பு புரோகிராமர்
Backup store,காப்பு கடை
Backward channel,பின்தங்கிய சேனல்
Backward error analysis,பின்தங்கிய பிழை பகுப்பாய்வு
Backward file recovery,பின்தங்கிய கோப்பு மீட்பு
Backward recovery,பின்தங்கிய மீட்பு
Backward supervision,பின்தங்கிய மேற்பார்வை
Backward trace,பின்தங்கிய சுவடு
Balance,இருப்பு
Balanced circuit,சீரான சுற்று
Balanced digit system,சீரான இலக்க அமைப்பு
Balanced error,சீரான பிழை
Balanced merge,சீரான ஒன்றிணைப்பு
Balanced merge sort,சீரான ஒன்றிணைப்பு வரிசை
Balanced sorting,சீரான வரிசையாக்கம்
Balanced station,சமநிலையான நிலையம்
Balanced ternary system,சீரான மும்மை அமைப்பு
Balanced forward statement,சமநிலையான முன்னோக்கி அறிக்கை
Balanced network,சமச்சீர் நெட்வொர்க்
Band,பேண்ட்
Bandpass,பேண்ட்பாஸ்
Bandpass filter,பேண்ட்பாஸ் வடிகட்டி
Band printer,பேண்ட் அச்சுப்பொறி
Band stop filter,பேண்ட் ஸ்டாப் வடிகட்டி
Bandwidth,அலைவரிசை
Banner word,பேனர் சொல்
Bar code,பார் குறியீடு
Bar code reader,பார் குறியீடு ரீடர்
Bar code scanner,பட்டை குறி படிப்பான் வருடி
Bar printer,பார் அச்சுப்பொறி
Barrel printing (= drum printing),பீப்பாய் அச்சிடுதல் (= டிரம் அச்சிடுதல்)
Base,அடித்தளம்
