Marathi,Assamese
परिपूर्ण स्केलर,নিৰপেক্ষ স্কেলাৰ
तापमानाचे अंतिम प्रमाण*,উষ্ণতাৰ চূড়ান্ত স্কেল*
"परिपूर्ण समक्रमण, परिपूर्ण समक्रमण","নিৰপেক্ষ সমকালীনতা, নিৰপেক্ষ সমকালীনতা"
पूर्ण ताण,নিৰপেক্ষ চাপ
परिपूर्ण सममिती,নিৰপেক্ষ প্ৰতিসমতা
परिपूर्ण गती शरीर,নিৰপেক্ষ গতি শৰীৰ
परिपूर्ण एकक प्रणाली,নিৰপেক্ষ একক ব্যৱস্থা
परिपूर्ण तापमान,নিৰপেক্ষ উষ্ণতা
परिपूर्ण वेळ,নিৰপেক্ষ সময়
निरपेक्ष एकके,নিৰপেক্ষ এককসমূহ
परिपूर्ण मूल्य,নিৰপেক্ষ মূল্য
पूर्णांक कॅल्क्युलेटर,পূৰ্ণসংখ্যা কেলকুলেটৰ
परिपूर्ण वेग,নিৰপেক্ষ বেগ
परिपूर्ण चिकटपणा,নিৰপেক্ষ আঠালতীয়াতা
परिपूर्ण वजन,নিৰপেক্ষ ওজন
पूर्ण शून्य*,নিৰপেক্ষ শূন্য*
शून्याचा पूर्ण विभाजक,শূন্যৰ নিৰপেক্ষ হজক
शोषून घेणे,শুহি লোৱা
शोषक निर्देशांक*,শোষণ সূচকাংক*
शोषलेली ऊर्जा,শোষিত শক্তি
"शोषक, शोषक","শোষক, শোষক"
शोषक माध्यम*,শোষক মাধ্যম*
शोषण क्षमता,শোষণ ক্ষমতা
शोषण,শোষণ ক্ষমতা
शोषणमापक*,শোষণমাপক*
शोषणमापन*,শোষণমিতি*
शोषण,শোষণ
शोषण - बँड*,শোষণ - বেণ্ড*
शोषण सर्किट,শোষণ বৰ্তনী
शोषण गुणांक,শোষণ সহগ
शोषण स्तंभ,শোষণ স্তম্ভ
अवशोषण स्थिर,শোষণ ধ্ৰুৱক
शोषण सातत्य,শোষণ ধাৰাবাহিকতা
शोषण क्षेत्र,শোষণ অঞ্চল
शोषण प्रवाह,শোষণ কাৰেণ্ট
शोषण वक्र*,শোষণ বক্ৰ*
शोषण फ्रॅक्चर,শোষণ ভাঙন
शोषण कोर,শোষণ কোৰ
शोषण घटक,শোষণ কাৰক
शोषण फिल्टर,শোষণ ফিল্টাৰ
शोषण फ्लेम फोटोमेट्री*,শোষণ শিখা ফটোমেট্ৰি*
शोषण हायग्रोमीटर,শোষণ হাইগ্ৰ’মিটাৰ
शोषण घातांक,শোষণ ঘাত
शोषण सीमांत,শোষণ প্ৰান্তীয়
शोषण रेखा,শোষণ ৰেখা
शोषण नुकसान,শোষণ ক্ষতি
शोषण मॉड्यूलेशन,শোষণ মডুলেচন
प्रकाश शोषण,পোহৰ শোষণ
रेडिएशन उर्जेचे शोषण,বিকিৰণ শক্তি শোষণ কৰা
शोषण शिखर,শোষণ শিখৰ
शोषण फोटोमेट्री,শোষণ আলোকমিতি
शोषण प्रमाण,শোষণ অনুপাত
शोषण श्रेणी*,শোষণ পৰিসৰ*
शोषण स्पेक्ट्रम फोटोमेट्री*,শোষণ বৰ্ণালী আলোকমিতি*
शोषण स्पेक्ट्रम*,শোষণ বৰ্ণালী*
"शोषक नळी, शोषक नळी","শোষণ নলী, শোষণ নলী"
शोषण हायग्रोमीटर,শোষণ হাইগ্ৰ’মিটাৰ
शोषक*,শোষক*
शोषक बाष्पीभवक,শোষক বাষ্পীভৱনকাৰী
शोषण कायदा*,শোষণ নিয়ম*
शोषण माध्यम,শোষণ মাধ্যম
"शोषक क्षमता, शोषकता*","শোষণ ক্ষমতা, শোষণ ক্ষমতা*"
शोषण*,শোষণ ক্ষমতা*
स्टुडिओ सजावट,ষ্টুডিঅ&#39; সজ্জা
गुणोत्तर गुणोत्तर,বহুগুণতা অনুপাত
उद्धटपणा,abvolt
बद्दल,বিষয়ে
गती वाढवणे,ত্বৰান্বিত কৰক
प्रवेग-थांबा अंतर,ত্বৰণ-বন্ধ দূৰত্ব
घाई केली,খৰধৰকৈ উঠিল
द्रुत वेळ प्रभाव चाचणी,দ্ৰুত সময় প্ৰভাৱ পৰীক্ষা
जलद प्रवाह,দ্ৰুত প্ৰবাহ
जलद गती,দ্ৰুত গতি
द्रुत शरीर,দ্ৰুত শৰীৰ
प्रवेगक तोलणारा,ত্বৰণকাৰী ওজনকাৰী
प्रवेगक इलेक्ट्रोड*,ত্বৰণকাৰী ইলেক্ট্ৰ&#39;ড*
प्रवेगक वेळ*,ত্বৰক সময়*
प्रवेगक टप्पा,ত্বৰণকাৰী পৰ্যায়
प्रवेगक दर,ত্বৰণকাৰীৰ হাৰ
प्रवेगक व्होल्टेज*,এক্সিলেটৰ ভোল্টেজ*
प्रवेग,বেগ বৃদ্ধি
प्रवेगक ज्वलन,ত্বৰান্বিত দহন
प्रवेग गुणांक,ত্বৰণ সহগ
प्रवेग घटक,ত্বৰণ উপাদান
गुरुत्वाकर्षणामुळे प्रवेग,মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ
प्रवेग घटक,ত্বৰণ কাৰক
प्रवेगक शुल्क,ত্বৰিত চাৰ্জ
गुरुत्वाकर्षणाचा प्रवेग,মাধ্যাকৰ্ষণৰ ত্বৰণ
प्रवेग क्षमता,ত্বৰণ বিভৱ
प्रवेग कायदा,ত্বৰণ আইন
प्रवेग प्रक्रिया,ত্বৰণ প্ৰক্ৰিয়া
प्रवेग क्षेत्र,ত্বৰণ অঞ্চল
प्रवेग पद्धत,ত্বৰণ পদ্ধতি
"प्रवेग सहिष्णुता, प्रवेग सहिष्णुता","ত্বৰণ সহনশীলতা, ত্বৰণ সহনশীলতা"
प्रवेग वेक्टर,ত্বৰণ ভেক্টৰ
प्रवेग-व्होल्टेज,ত্বৰণ-ভোল্টেজ
प्रवेग लहर,ত্বৰণ তৰংগ
प्रवेगक,ত্বৰণকাৰী
"प्रवेग, प्रवेगक*","accelerate, ত্বৰণকাৰী*"
प्रवेगक समीकरण,ত্বৰক সমীকৰণ
प्रवेगक*,ত্বৰণকাৰী*
प्रवेगमापक,এক্সিলেৰমিটাৰ
एक्सीलरोमीटर जुळणी,এক্সিলেৰমিটাৰ মিলন
prestresser,প্ৰিষ্ট্ৰেছাৰ
वैध वर्ण,বৈধ আখৰ
स्वीकृती कोन,গ্ৰহণযোগ্যতা কোণ
स्वीकृती तपशील,গ্ৰহণযোগ্যতা নিৰ্দিষ্টকৰণ
स्वीकार्य चाचणी,গ্ৰহণযোগ্য পৰীক্ষা
"स्वीकारणारा*, स्वीकारणारा","গ্ৰহণকাৰী*, গ্ৰহণকাৰী"
रिसेप्टर अणू,ৰিচেপ্টৰ পৰমাণু
रिसेप्टर बाँड,ৰিচেপ্টৰ বণ্ড
रिसीव्हर सर्किट,ৰিচিভাৰ চাৰ্কিট
रिसेप्टर पातळी,ৰিচেপ্টৰ স্তৰ
दाता रेणू,দাতা অণু
रिसेप्टर गुणधर्म,ৰিচেপ্টৰ বৈশিষ্ট্য
रिसेप्टर गुणधर्म पातळी,ৰিচেপ্টৰ বৈশিষ্ট্যৰ স্তৰ
प्रवेगक नळी,এক্সিলেটৰৰ নলী
"प्रवेश, प्रतीक्षा, प्रवेश","প্ৰৱেশ, অপেক্ষা, প্ৰৱেশ"
भुज प्रवेश,প্ৰৱেশ ভূজ
प्रवेश प्रणाली,অভিগম ব্যৱস্থাপ্ৰণালী
प्रवेश वेळ,প্ৰৱেশ সময়
प्रवेशयोग्यता,অভিগম্যতা
"अतिरिक्त, सहाय्यक, सहायक (v, ), उपकरणे","অতিৰিক্ত, সহায়ক, আনুষংগিক (v, ), আনুষংগিক"
अतिरिक्त निर्बंध,অতিৰিক্ত নিষেধাজ্ঞা
संधी योगायोग,কাকতালীয়
अपघाती सुधारणा,আকস্মিক সংশোধন
अपघाती बायोजेनेसिस,আকস্মিক জৈৱজন্ম
अपघाती वळवणे,আকস্মিক ডাইভাৰচন
अभ्यागत त्रुटी,দৰ্শকৰ ভুল
"अचानक थांबणे, अचानक पकडणे","হঠাৎ বন্ধ, হঠাৎ বন্ধ"
अपघाती प्रेषण,আকস্মিক সংক্ৰমণ
यादृच्छिक भिन्नता,ৰেণ্ডম ভ্যাৰিয়েন্স
समायोजन,সমন্বয়
स्थानबद्ध,অৱস্থিত
संचित त्रुटी,সঞ্চিত ভুল
"जमा करणे, जमा करणे","সঞ্চয়, সঞ্চয়"
ऊर्जा साठवण,শক্তি সংৰক্ষণ
संचयक*,এক্যুলেটৰ*
अचूकता,শুদ্ধতা
वास्तव,বাস্তৱতা
वास्तविक साधन निरीक्षण,বাস্তৱ যন্ত্ৰ পৰ্যবেক্ষণ
अचूक श्रेणी मार्कर,সঠিক ৰেঞ্জ মাৰ্কাৰ
अचूक स्कॅनिंग,নিখুঁত স্কেনিং
सराव,অভ্যাস
प्रवेगक सेल*,ত্বৰক কোষ*
अक्रोमॅटिक लेन्स*,ৰঙীন লেন্স*
अक्रोमॅटिक*,অৰঙীন*
अॅक्रोमॅटिक विश्लेषक,ৰঙীন বিশ্লেষক
वारंवारता तटस्थ अँटेना,ফ্ৰিকুৱেন্সি নিউট্ৰেল এন্টেনা
अक्रोमॅटिक आकार,ৰঙীন আকৃতি
अक्रोमॅटिक फ्रिंज,achromatic ফ্ৰিঞ্জ
अक्रोमॅटिक लेन्स*,ৰঙীন লেন্স*
अक्रोमॅटिक पॉइंट पथ,ৰঙীন বিন্দু পথ
अॅक्रोमॅटिक लेन्स,ৰঙীন লেন্স
अॅक्रोमॅटिक प्रिझम,ৰঙীন প্ৰিজম
अॅक्रोमॅटिक टेलिस्कोप,achromatic টেলিস্কোপ
रंगद्रव्य*,achromaticity*
अॅक्रोमॅटायझेशन*,achromatization*
अक्रोमॅटिकता*,achromaticity*
"लवचिक, अपवर्तक, अपवर्तक","ইলাষ্টিক, অপ্ৰতিৰোধক, অবাধ্য"
"एकोर्न नळी, बंजू नळी","একৰ্ণ নলী, বঞ্জু নলী"
सूक्ष्म झडप,ক্ষুদ্ৰ ভালভ
इकोफोनी,প্ৰতিধ্বনি
ध्वनिक,একাউষ্টিক
ध्वनिक शोषकता,ধ্বনি শোষণ ক্ষমতা
ध्वनिक क्षीणन गुणांक,শব্দৰ ক্ষীণকৰণ সহগ
ध्वनिक क्षीणन,শব্দৰ ক্ষীণকৰণ
ध्वनिक चोर अलार्म,একাউষ্টিক চোৰ এলাৰ্ম
ध्वनिक क्षमता,ধ্বনিযুক্ত ধাৰণক্ষমতা
श्रवण केंद्र,শ্ৰৱণ কেন্দ্ৰ
ध्वनिक स्पष्टीकरण,ধ্বনিগত ব্যাখ্যা
ध्वनिक आवरण,একাউষ্টিক কভাৰ
ध्वनिक प्रतिसाद,ধ্বনিগত প্ৰতিক্ৰিয়া
ध्वनिक घटक,ধ্বনি উপাদান
ध्वनिक चालकता,ধ্বনি পৰিবাহীতা
ध्वनिक ओलसर,একাউষ্টিক ডেম্পিং
ध्वनिक फैलाव,ধ্বনিগত বিক্ষিপ্ততা
ध्वनी हॅकर,শব্দ হেকাৰ
ध्वनिक ऊर्जा*,ধ্বনি শক্তি*
ध्वनिक ऊर्जा समीकरण,ধ্বনি শক্তি সমীকৰণ
ध्वनिक समीकरण,ধ্বনি সমীকৰণ
ध्वनिक पुनर्स्थापना,শব্দ পুনৰুদ্ধাৰ
क्लॅडनी आकार,ক্লেডনি আকৃতি
ध्वनिक फिल्टर,একাউষ্টিক ফিল্টাৰ
ध्वनी जनरेटर,শব্দ উৎপাদক
ध्वनिक जाळी,একাউষ্টিক গ্ৰেটিং
ध्वनिक प्रतिबाधा*,একাউষ্টিক ইম্পিডেন্স*
ध्वनिक जडत्व,শব্দৰ জড়তা
ध्वनिक तीव्रता,শব্দৰ তীব্ৰতা
ध्वनिक हस्तक्षेप मीटर,শব্দৰ হস্তক্ষেপ মিটাৰ
ध्वनिक हस्तक्षेप डिटेक्टर,একাউষ্টিক ইন্টাৰফেৰেন্স ডিটেক্টৰ
ध्वनिक लेन्स,একাউষ্টিক লেন্স
ध्वनी ओळ,শব্দ ৰেখা
ध्वनिक वस्तुमान,ধ্বনিযুক্ত ভৰ
ध्वनिक साहित्य,ধ্বনিগত পদাৰ্থ
ध्वनिक अर्थ मुक्त मार्ग,শব্দৰ অৰ্থ মুক্ত পথ
ध्वनिक मोड,একাউষ্টিক মোড
ध्वनिक आवाज,শব্দৰ শব্দ
ध्वनिक ओम*,ধ্বনিযুক্ত ওম*
"ध्वनिक पॅनेल, ध्वनिक मंडळ","একাউষ্টিক পেনেল, একাউষ্টিক বৰ্ড"
ध्वनिक टप्पा स्थिर,ধ্বনি পৰ্যায় ধ্ৰুৱক
ध्वनिक प्राप्तकर्ता,একাউষ্টিক ৰিচিভাৰ
ध्वनिक दाब,শব্দৰ চাপ
ध्वनीचा सममिती नियम,শব্দৰ প্ৰতিসমতা নিয়ম
ध्वनिक प्रसारण,শব্দ সংক্ৰমণ
ध्वनिक गुणधर्म,ধ্বনিগত ধৰ্ম
अकौस्टिक क्वाड्रपोल,ধ্বনিযুক্ত চতুৰ্ভুজ
ध्वनिक विकिरण घटक,ধ্বনি বিকিৰণ মৌল
ध्वनिक विकिरण,ধ্বনি বিকিৰণ
ध्वनीरोधक,শব্দ নিবাৰণ
ध्वनिक रेडिओमीटर,একাউষ্টিক ৰেডিঅ&#39;মিটাৰ
ध्वनिक प्रतिसाद,ধ্বনিগত প্ৰতিক্ৰিয়া
ध्वनिक परस्पर प्रमेय,ধ্বনিগত পাৰস্পৰিকতা উপপাদ্য
ध्वनिक घट घटक,শব্দ হ্ৰাস কাৰক
ध्वनिक परावर्तन गुणांक,ধ্বনি প্ৰতিফলন সহগ
ध्वनिक अपवर्तन,ধ্বনি বিবৰ্তন
ध्वनिक प्रतिकार,শব্দ প্ৰতিৰোধ ক্ষমতা
ध्वनिक प्रतिसाद,ধ্বনিগত প্ৰতিক্ৰিয়া
ध्वनिक विखुरणे,ধ্বনিগত বিক্ষিপ্ততা
श्रवण बिंदू,শুনা বিন্দু
ध्वनिक कडकपणा,শব্দৰ কঠিনতা
ध्वनिक प्रणाली,শব্দ ব্যৱস্থা
ध्वनिक थर्मामीटर,একাউষ্টিক থাৰ্মোমিটাৰ
ध्वनिक वेग,শব্দৰ বেগ
ध्वनी लहर,শব্দ তৰংগ
ध्वनिक,একাউষ্টিক
ध्वनी शोषण गुणांक,শব্দ শোষণ সহগ
ध्वनी शोषण घटक,শব্দ শোষণ উপাদান
ध्वनिक सर्किट,একাউষ্টিক বৰ্তনী
ध्वनिक प्रतिसाद,ধ্বনিগত প্ৰতিক্ৰিয়া
ध्वनिक विलंब रेखा,শব্দ বিলম্ব ৰেখা
ध्वनिक विकृती,ধ্বনিগত বিকৃতি
ध्वनिक ध्वनीशास्त्र,একাউষ্টিক একাউষ্টিক
ध्वनिक फिल्टर,একাউষ্টিক ফিল্টাৰ
ध्वनिक प्रतिबाधा*,একাউষ্টিক ইম্পিডেন্স*
फोनोग्राफ,ফ&#39;ন&#39;গ্ৰাফ
ध्वनिक ओम*,ধ্বনিযুক্ত ওম*
ध्वनिक स्थिरांक,ধ্বনি ধ্ৰুৱক
ध्वनिक फोनन,একাউষ্টিক ফ&#39;নন
ध्वनिक प्रसारण स्थिर,ধ্বনি সংবহন ধ্ৰুৱক
ध्वनी रूपांतरण गुणांक,শব্দ পৰিৱৰ্তন সহগ
ध्वनिक प्रतिकार,শব্দ প্ৰতিৰোধ ক্ষমতা
ध्वनिक कडकपणा,শব্দৰ কঠিনতা
ध्वनी युनिट,শব্দ একক
ध्वनीरोधक,শব্দ নিবাৰণ
अकौस्टिक साइड लाइन,একাউষ্টিক চাইড লাইন
"ध्वनीशास्त्र, ध्वनीशास्त्र","শব্দবিজ্ঞান, ধ্বনিবিজ্ঞান"
ध्वनी मीटर,শব্দ মিটাৰ
ध्वनी दाब,শব্দৰ চাপ
संपादन रडार,অধিগ্ৰহণ ৰাডাৰ
प्रकाशसंश्लेषक विकिरण,সালোক সংশ্লেষণ বিকিৰণ
ऍक्टिनियम उत्सर्जन,এক্টিনিয়াম নিৰ্গমন
ऍक्टिनो-युरेनियम,এক্টিনো-ইউৰেনিয়াম
ऍक्टिनो-युरेनियम मालिका,এক্টিনো-ইউৰেনিয়াম শৃংখলা
रेडिओइलेक्ट्रिक,ৰেডিঅ&#39;ইলেক্ট্ৰিক
"ऍक्टिनोमीटर, फोटोमायक्रोमीटर","এক্টিনোমিটাৰ, ফটোমাইক্ৰ&#39;মিটাৰ"
"कृती, कृती","কাৰ্য্য, কাৰ্য্য"
क्रिया आणि प्रतिक्रिया,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
क्रिया स्थिर,ক্ৰিয়া ধ্ৰুৱক
प्रभाव क्षेत्र,প্ৰভাৱৰ ক্ষেত্ৰ
"सक्रिय, सक्रिय","সক্ৰিয় কৰা হৈছে, সক্ৰিয় কৰা হৈছে"
सक्रिय प्रसार,সক্ৰিয় প্ৰসাৰণ
"सक्रिय फायबर, सक्रिय फायबर","সক্ৰিয় কৰা ফাইবাৰ, সক্ৰিয় কৰা ফাইবাৰ"
सक्रियकरण प्रभाव,সক্ৰিয়কৰণ প্ৰভাৱ
सक्रियकरण प्रभाव,সক্ৰিয়কৰণ প্ৰভাৱ
सक्रियकरण विश्लेषण,সক্ৰিয়কৰণ বিশ্লেষণ
क्रियाकलाप केंद्र,কাৰ্য্যকলাপ কেন্দ্ৰ
सक्रियकरण परीक्षक,সক্ৰিয়কৰণ পৰীক্ষক
सक्रियता ऊर्जा,সক্ৰিয়কৰণ শক্তি
सक्रियकरण एन्ट्रॉपी,সক্ৰিয়কৰণ এণ্ট্ৰপি
सक्रियकरण ओव्हरव्होल्टेज,সক্ৰিয়কৰণ অতিভোল্টেজ
सक्रियता दर,সক্ৰিয়কৰণৰ হাৰ
"सक्रिय करणारा, सक्रिय करणारा","সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা"
सक्रिय करणारा अणू,সক্ৰিয়কৰ্তা পৰমাণু
प्रवेगक,ত্বৰণকাৰী
सक्रिय शोषण,সক্ৰিয় শোষণ
सक्रिय हवाई,সক্ৰিয় আকাশী
रेडिएशन धोक्याचे क्षेत्र,বিকিৰণৰ বিপদজনক অঞ্চল
सक्रिय डिव्हाइस,সক্ৰিয় ডিভাইচ
सक्रिय लक्ष्यीकरण,সক্ৰিয় লক্ষ্য নিৰ্ধাৰণ
सक्रिय हायड्रोजन*,সক্ৰিয় হাইড্ৰজেন*
सक्रिय जाळी,সক্ৰিয় জাল
सक्रिय ओळ सक्रिय ओळ,সক্ৰিয় ৰেখা সক্ৰিয় ৰেখা
सक्रिय लूप,সক্ৰিয় লুপ
सक्रिय कोड*,সক্ৰিয় ক&#39;ড*
सक्रिय घटक,সক্ৰিয় উপাদান
सक्रिय रेणू,সক্ৰিয় অণু
सक्रिय जाळी,সক্ৰিয় জাল
सक्रिय पुनर्शोषण,সক্ৰিয় পুনৰ শোষণ
सक्रिय क्षेत्र,সক্ৰিয় অঞ্চল
सक्रिय नियमन,সক্ৰিয় নিয়ন্ত্ৰণ
सक्रिय उपग्रह,সক্ৰিয় উপগ্ৰহ
सक्रिय विखंडन सौर ज्योत,সক্ৰিয় বিভাজনশীল সৌৰ শিখা
सक्रिय सूक्ष्म पोषक,সক্ৰিয় অণুপুষ্টিকৰ উপাদান
सक्रिय ट्रॅकिंग सिस्टम,সক্ৰিয় অনুসৰণ ব্যৱস্থা
सक्रिय ट्रान्सड्यूसर,সক্ৰিয় ট্ৰেন্সডুচাৰ
सक्रिय सेवन,সক্ৰিয় গ্ৰহণ
क्रियाकलाप गुणांक*,কাৰ্য্যকলাপ সহগ*
क्रियाकलाप निर्देशांक,কাৰ্য্যকলাপ সূচকাংক
क्रियाकलाप प्रमाण,কাৰ্য্যকলাপৰ অনুপাত
क्रियाकलाप वेक्टर,কাৰ্য্যকলাপ ভেক্টৰ
वास्तविक मॉनिटर,প্ৰকৃত মনিটৰ
वास्तविक ताण,প্ৰকৃত মানসিক চাপ
ट्रिगर करण्यासाठी,ট্ৰিগাৰ কৰা
प्रवर्तक,উৎপত্তিকাৰী
प्रवर्तक,উৎপত্তিকাৰী
acuityometer,acuityometer
ऐकण्याची तीक्ष्णता,শ্ৰৱণ ক্ষমতা
फोटो तीक्ष्णता मूल्य,ফটো তীক্ষ্ণতা মূল্য
तीव्र कोन,তীব্ৰ কোণ
कुजबुजणे,ফুচফুচাই কোৱা
तीव्र त्रिकोण,তীব্ৰ ত্ৰিভুজ
अॅसायक्लिक,অচক্ৰীয়
ऑप्टिमायझेशन अनुप्रयोग,অনুকূলন প্ৰয়োগ
अनुकूल स्थिती,অনুকূলিত অৱস্থা
अनुकूली नियंत्रण प्रणाली,অভিযোজিত নিয়ন্ত্ৰণ ব্যৱস্থা
अडॅपटोमीटर,এডাপ্টোমিটাৰ
अॅडकॉक अँटेना,এডকক এন্টেনা
बेरीज करणे,সামৰণিত
संकलन वेळ,সংকলনৰ সময়
संकलन-वजाबाकी वेळ,সংকলন-বিয়োগ সময়
जोडणारा,adder
