Kannada,Tamil
ಪ್ರವೇಶ,அணுகல்
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್‌ಗಳು,அணுகல் கட்டுப்பாட்டு பைட்டுகள்
ಪ್ರವೇಶ ಸೂಚಕ,அணுகல் காட்டி
ಪ್ರವೇಶ ಕೀ,அணுகல் விசை
"1. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್, 2. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್","1. அணுகல் அணி, 2. அணுகல் அணி"
ಪ್ರವೇಶ ಮೋಡ್,அணுகல் முறை
ಪ್ರವೇಶ ಸವಲತ್ತುಗಳು,அணுகல் சலுகைகள்
ಪ್ರವೇಶ ಭದ್ರತೆ,அணுகல் பாதுகாப்பு
"1. ಪ್ರವೇಶ ಸರ್ವರ್, 2. ಪ್ರವೇಶ ಸರ್ವರ್","1. அணுகல் சேவையகம், 2. அணுகல் சர்வர்"
ಪ್ರವೇಶ ಸಮಯ,அணுகல் நேரம்
ಸ್ವೀಕೃತಿ,ஒப்புகை
ಅಕೌಸ್ಟಿಕ್ಸ್,ஒலியியல்
"1. ಸಂಕ್ಷಿಪ್ತ ರೂಪ, 2. ಸಂಕ್ಷೇಪಣ, 3. ನಿಂದ ಚಿಕ್ಕದಾಗಿದೆ","1. சுருக்கம், 2. சுருக்கம், 3. இருந்து குறுகிய"
ಕ್ರಿಯೆಯ ಸಂದೇಶ,செயல் செய்தி
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,செயல்படுத்துதல்
ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ,செயலில் உள்ள சர்வர் பக்கம்
ಸಕ್ರಿಯ ಆವೃತ್ತಿ,செயலில் உள்ள பதிப்பு
ಅಸೈಕ್ಲಿಕ್,அசைக்ளிக்
"1. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್, 2. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್","1. அசைக்ளிக் வரைபடம், 2. அசைக்ளிக் வரைபடம்"
ಅದಾ ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ,அட கணினி மொழி
"1. ಆಪ್ಟಿಮೈಜರ್, 2. ಆಪ್ಟಿಮೈಜರ್","1. ஆப்டிமைசர், 2. உகப்பாக்கி"
ಒಟ್ಟು),மொத்தத்தில்)
ಮೊತ್ತದ ಕಡತ,தொகை கோப்பு
"1. ಸೇರ್ಪಡೆ ಕಾರ್ಯಾಚರಣೆ, 2. ಮೊತ್ತದ ಕಾರ್ಯಾಚರಣೆ","1. கூட்டல் செயல்பாடு, 2. மொத்த செயல்பாடு"
ಸೇರಿಸುವವನು,சேர்ப்பான்
ಗೊತ್ತು,தெரியும்
ವಿಳಾಸ ಬಸ್,முகவரி பேருந்து
ವಿಳಾಸ ಫೈಲ್,முகவரி கோப்பு
ವಿಳಾಸ ಸ್ವರೂಪ,முகவரி வடிவம்
ವಿಳಾಸ ಜನರೇಟರ್,முகவரி ஜெனரேட்டர்
ವಿಳಾಸ ಸಾಲು,முகவரி வரி
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,முகவரி மேப்பிங்
ವಿಳಾಸ ಸೂಚಕ,முகவரி காட்டி
ವಿಳಾಸ ರಿಜಿಸ್ಟರ್,முகவரி பதிவு
ವಿಳಾಸ ಸ್ಥಗಿತ,முகவரி முறிவு
ವಿಳಾಸ ಅನುವಾದ,முகவரி மொழிபெயர்ப்பு
"1. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ, 2. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ","1. முகவரி நினைவகம், 2. முகவரியிடக்கூடிய நினைவகம்"
ಉದ್ದೇಶಿಸಿ,உரையாற்றுதல்
"1. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ, 2. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ","1. போதுமான அளவுகோல்கள், 2. போதுமான அளவுகோல்"
ಬಾಂಧವ್ಯ,இணைப்பு
"1. ನಿರ್ವಹಣೆ, 2. ನಿಯಂತ್ರಣ","1. மேலாண்மை, 2. கட்டுப்பாடு"
"1. ಮ್ಯಾನೇಜರ್, 2. ನಿಯಂತ್ರಕ","1. மேலாளர், 2. கட்டுப்படுத்தி"
ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್,அடோப் அக்ரோபேட்
ಅಡೋಬ್ ಫೋಟೋಶಾಪ್,அடோ போட்டோஷாப்
ABAP (ಸುಧಾರಿತ ವ್ಯಾಪಾರ ಪ್ರೋಗ್ರಾಮಿಂಗ್),ABAP (மேம்பட்ட வணிக நிரலாக்கம்)
"1. ಸುಧಾರಿತ ಡೇಟಾ, 2. ಸುಧಾರಿತ ಡೇಟಾ","1. மேம்பட்ட தரவு, 2. மேம்பட்ட தரவு"
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,மேம்பட்ட தகவல் அமைப்பு
ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT),மேம்பட்ட தொழில்நுட்பம் (AT)
ಕ್ರಮ,நடவடிக்கை
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,திரட்டுதல்
ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ,வான்வழி கணினி அமைப்பு
ಅಲ್ಡಸ್ ಪೇಜ್-ಮೇಕ್,அல்டஸ் பக்கம்-தயாரிப்பு
ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ,எச்சரிக்கை பெட்டி
ಅಲ್ಗೋಲ್ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ),அல்கோல் (கணினி மொழி)
"1. ಅಲ್ಗಾರಿದಮ್, 2. ಅಲ್ಗಾರಿದಮ್","1. அல்காரிதம், 2. அல்காரிதம்"
"1. ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ, 2. ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ","1. அல்காரிதம் பகுப்பாய்வு, 2. அல்காரிதம் பகுப்பாய்வு"
ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ,அல்காரிதம் திறன்
"1. ಎಲಿಯಾಸ್, 2. ಅಡ್ಡಹೆಸರು, 3. ಅಕಾ","1. எலியாஸ், 2. புனைப்பெயர், 3. aka"
ಜೋಡಣೆ,சீரமைப்பு
"1. ಹಂಚಿಕೆ, 2. ಹಂಚಿಕೆ","1. ஒதுக்கீடு, 2. ஒதுக்கீடு"
"1. ವರ್ಣಮಾಲೆಯ, 2. ವರ್ಣಮಾಲೆಯ ಪ್ರಕಾರ","1. அகரவரிசை, 2. அகரவரிசையில்"
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್,எண்ணெழுத்து
"1. ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್ ,2. ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್","1. எண்ணெழுத்து விசைப்பலகை, 2. எண்ணெழுத்து விசைப்பலகை"
ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ (1 ನೇ ಹಂತದ ಪರೀಕ್ಷೆ),ஆல்பா-சோதனை (1 வது நிலை சோதனை)
"1. ಆಲ್ಫಾ ಆವೃತ್ತಿ, 2. ಆಲ್ಫಾ ರೂಪ","1. ஆல்பா பதிப்பு, 2. ஆல்பா வடிவம்"
ಆಲ್ಟ್ ಕೀ,alt விசை
ಅಲ್ಟಾವಿಸ್ತಾ,அல்டாவிஸ்டா
ಬಹುತ್ವ,பன்முகத்தன்மை
ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ,தெளிவற்ற இலக்கணம்
ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟಾಂಡೀಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI),அமெரிக்க தேசிய ஸ்டேண்டீஸ் நிறுவனம் (ANSI)
ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕಟ್ (ascii),அமெரிக்கன் ஸ்டாண்டர்ட் கட் (ascii)
"1. ಸಾದೃಶ್ಯ, 2. ಅನಲಾಗ್","1. ஒத்த, 2. அனலாக்"
"1. ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್, 2. ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್","1. அனலாக் கணினி, 2. அனலாக் கணினி"
"1. ಅನಲಾಗ್ ಸಾಧನ, 2. ಅನಲಾಗ್ ಸಾಧನ","1. அனலாக் சாதனம், 2. அனலாக் சாதனம்"
"1. ಅನಲಾಗ್ ಮೋಡೆಮ್, 2. ಅನಲಾಗ್ ಮೋಡೆಮ್","1. அனலாக் மோடம், 2. அனலாக் மோடம்"
ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್,டிஜிட்டல் மாற்றிக்கு அனலாக்
ಅಂತ್ಯ (ಡಿಜಿಟಲ್/ಪ್ಲೇನ್ ಲಾಜಿಕ್ &#39;ಮತ್ತು&#39; ಬಳಸಲಾಗಿದೆ),முடிவு (டிஜிட்டல்/பிளேன் லாஜிக் &#39;மற்றும்&#39; பயன்படுத்தப்பட்டது)
ಅಂತಿಮ ಸರ್ಕ್ಯೂಟ್,இறுதி சுற்று
ಕೊನೆಯ ಗೇಟ್ ಮತ್ತು ಗೇಟ್,இறுதி வாயில் மற்றும் வாயில்
ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ),செயல்பாடு அல்ல (விலக்கு)
"1. ಅನಿಮೇಷನ್, 2. ಕಂಪನ","1. அனிமேஷன், 2. அதிர்வு"
ಸೂಚನೆ,குறிப்பு
ಅಸಂಗತತೆ,முரண்பாடு
ಹಿಂದಿನ,முந்தைய
ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್,முன்கூட்டிய பேஜிங்
ಪ್ರತಿ-ಸಮ್ಮಿತೀಯ,எதிர்-சமச்சீர்
ಆಂಟಿವೈರಲ್ ಪ್ರೋಗ್ರಾಂ,வைரஸ் தடுப்பு திட்டம்
"1. ಆಪ್ಲೆಟ್, 2. ಅಪ್ಲಿಕೇಶನ್","1. ஆப்லெட், 2. விண்ணப்பம்"
ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್,பயன்பாட்டு டெவலப்பர்
ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,பயன்பாட்டு நிரலாக்கம்
"1. ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್, 2. ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್ (API)","1. பயன்பாட்டு நிரலாக்க இடைமுகம், 2. பயன்பாட்டு நிரலாக்க இடைமுகம் (API)"
ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್ವೇರ್,பயன்பாட்டு மென்பொருள்
ಅಪ್ಲಿಕೇಶನ್ ಭಾಷೆ,பயன்பாட்டு மொழி
ಅಂದಾಜು ತತ್ವ,தோராயக் கொள்கை
ರಚನೆ,கட்டமைப்பு
ಕ್ಷೇತ್ರ ವರ್ಗಾವಣೆ,புல பரிமாற்றம்
"1. ನಿಯತಾಂಕ, ಸ್ವತಂತ್ರ ವೇರಿಯಬಲ್, 2. ಕೋನ","1. அளவுரு, சுயாதீன மாறி, 2. கோணம்"
"1. ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ, 2. ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ","1. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு, 2. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு"
ಅಂಕಗಣಿತದ ಪರಿಶೀಲನೆ,எண்கணித சரிபார்ப்பு
ಅಂಕಗಣಿತದ ಸ್ಥಿರ,எண்கணித மாறிலி
ಅಂಕಗಣಿತದ ಡೇಟಾ,எண்கணித தரவு
ಅಂಕಗಣಿತದ ಸೂಚನೆ,எண்கணித அறிவுரை
ಗಣಿತ ಮತ್ತು ತಾರ್ಕಿಕ ಘಟಕ (ALU),கணிதம் மற்றும் தருக்க அலகு (ALU)
ARPA ನೆಟ್ (RPNet),ARPA Net (RPNet)
ಶ್ರೇಣಿ,வரிசை
"1. ರಚನೆಯ ಸಂಗ್ರಹ, 2. ರಚನೆಯ ವೇಗ, 3. ರಚನೆಯ ಮೆಮೊರಿ","1. வரிசை கேச், 2. வரிசை வேகம், 3. வரிசை நினைவகம்"
ಅರೇ ಕಂಪ್ಯೂಟರ್,வரிசை கணினி
ರಚನೆಯ ಅಂಶ,வரிசை உறுப்பு
ರಚನೆಯ ಹೆಸರು,வரிசை பெயர்
ರಚನೆಯ ಪ್ರೊಸೆಸರ್,வரிசை செயலி
ಬಾಣದ ಕೀಲಿ,அம்புக்குறி விசை
ಒಪ್ಪಂದ,ஒப்பந்தம்
ಜಂಕ್ಷನ್ ಪಾಯಿಂಟ್,சந்திப்பு முனை
ಕೃತಕ ಸಂಕೋಚನ,செயற்கை சுருக்கம்
ಕೃತಕ ನಿಯಂತ್ರಣ,செயற்கை கட்டுப்பாடு
ಕೃತಕ ಅರ್ಥದಲ್ಲಿ,செயற்கை உணர்வு
ಆರೋಹಣ,ஏற்ற
ಆರೋಹಣ ರೀತಿಯ,ஏறும் வகை
ascii ವರ್ಣಮಾಲೆ,ascii எழுத்துக்கள்
ascii ನಿಯಂತ್ರಣ ಚಿಹ್ನೆ,ascii கட்டுப்பாட்டு சின்னம்
ascii ಫೈಲ್,ascii கோப்பு
ascii ಫಾಂಟ್,ascii எழுத்துரு
ASCII ವರ್ಗಾವಣೆ,ASCII பரிமாற்றம்
ಆಕಾರ ಅನುಪಾತ,விகிதம்
"1. ಆಸ್ಪಿ, 2. ASPI","1. ஆஸ்பி, 2. ASPI"
ಎ ಎಸ್ ಆರ್ ಕಲಾದ್,ஏ எஸ் ஆர் கலாட்
"1. ಸ್ಮರಣೆ, 2. ಜೋಡಣೆ, 3. ಜೋಡಿಸಲು","1. நினைவாற்றல், 2. அசெம்பிளிங், 3. ஒன்று சேர்க்க"
"1. ಅಸೆಂಬ್ಲರ್, 2. ಜ್ಞಾಪನೆ","1. அசெம்பிளர், 2. நினைவூட்டல்"
"1. ಜೋಡಿಸುವುದು, 2. ಸ್ಮರಣೆ","1. அசெம்பிளிங், 2. நினைவு"
"1. ಕಂಠಪಾಠ ಭಾಷೆ, 2. ಭಾಷೆ ಜೋಡಣೆ","1. மனப்பாடம் மொழி, 2. ஒருங்கிணைக்கும் மொழி"
ನಿರ್ಣಯ,உறுதியை
"1. ನಿಗದಿತ ಕೆಲಸ, 2. ಹಂಚಿಕೆ","1. குறிப்பிட்ட வேலை, 2. ஒதுக்கீடு"
ಒಡನಾಟ,தோழமை
ಸಹಾಯಕ ವಿಳಾಸ,துணை முகவரி
"1. ಸಹಾಯಕ ಸ್ಮರಣೆ, 2. ಸಹಾಯಕ ಸ್ಮರಣೆ","1. துணை நினைவகம், 2. துணை நினைவகம்"
ನಕ್ಷತ್ರ ಚಿಹ್ನೆ (* ಚಿಹ್ನೆ),நட்சத்திரம் (* அடையாளம்)
ಅಸಮ್ಮಿತ,சமச்சீரற்ற
"1. ಅಸಮಕಾಲಿಕ, 2. ಅಸಮಕಾಲಿಕ","1. ஒத்திசைவற்ற, 2. ஒத்திசைவற்ற"
ಅಸಮಕಾಲಿಕ ಡಿಜಿಟಲ್ ಚಂದಾದಾರರ ಸಾಲು (ADSL),ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL)
ಅಸಿಂಕ್ರೊನಸ್ ಟೈಮ್ ಡಿವಿಷನ್ ಮಲ್ಟಿಪ್ಲೆಕ್ಸಿಂಗ್ (ATDM),ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM)
ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ,ஒத்திசைவற்ற பரிமாற்றம்
ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ ಮೋಡ್ (ATM),ஒத்திசைவற்ற பரிமாற்ற முறை (ATM)
"1. ಪರಮಾಣು, 2. ಪರಮನ್","1. அணு, 2. பரமன்"
ಲಗತ್ತಿಸಲಾದ ಡಾಕ್ಯುಮೆಂಟ್,இணைக்கப்பட்ட ஆவணம்
"1. ಲಗತ್ತಿಸಲಾದ ಫೈಲ್/ಮಿಸಿಲ್, 2. ಲಗತ್ತಿಸಲಾದ ಕಡತ","1. இணைக்கப்பட்ட கோப்பு/ஏவுகணை, 2. இணைக்கப்பட்டுள்ள கோப்பு"
"1. ಆವರಣ, 2. ಸಂಯೋಜಿತ","1. அடைப்பு, 2. இணைந்த"
"1. ಗುಣಲಕ್ಷಣಗಳು, 2. ವಿಶೇಷತೆ","1. பண்புகள், 2. சிறப்பு"
ಶ್ರವ್ಯ,கேட்கக்கூடிய
"1. ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1. தணிக்கை நிரலாக்கம், 2. தணிக்கை நிரலாக்கம்"
ಖಾತೆ ಪರಿಶೀಲನೆ,கணக்கு சரிபார்ப்பு
ಪ್ರಚಾರ,பதவி உயர்வு
ಪ್ರಮಾಣೀಕರಣ ಪ್ರೋಟೋಕಾಲ್,சான்றிதழ் நெறிமுறை
ಲೇಖಕರ ವಿಧಾನ,எழுதும் முறை
"1. ಪ್ರಾಧಿಕಾರ, 2. ಅಧಿಕಾರ, 3. ನ್ಯಾಯಮಂಡಳಿ","1. அதிகாரம், 2. அதிகாரம், 3. தீர்ப்பாயம்"
ಸ್ವಯಂ ಅಮೂರ್ತ,தானியங்கு சுருக்கம்
"1. ಸ್ವಯಂ ಬೂಟಿಂಗ್, 2. ಸ್ವಯಂ ಬೂಟ್","1. ஆட்டோ பூட்டிங், 2. சுய துவக்கம்"
ಆಟೋಕ್ಯಾಡ್ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ),ஆட்டோகேட் (ஒரு கணினி மொழி)
ಸ್ವಯಂ ಲಾಗ್-ಆನ್,தானாக உள்நுழைவு
ಸ್ವಯಂಚಾಲಿತ,தானியங்கி
ಸ್ವಯಂಚಾಲಿತ ಸಿದ್ಧಾಂತ,தானியங்கு கோட்பாடு
ಸ್ವಯಂಚಾಲಿತ ಲೆಕ್ಕಾಚಾರ,தானியங்கி கணக்கீடு
ಸ್ವಯಂಚಾಲಿತ ಡೇಟಾ ಸಂಸ್ಕರಣೆ,தானியங்கி தரவு செயலாக்கம்
ಸ್ವಯಂಚಾಲಿತ ದೋಷ ತಿದ್ದುಪಡಿ,தானியங்கி பிழை திருத்தம்
ಸ್ವಯಂ ಕಾರ್ಯ,தானியங்கு செயல்பாடு
"1. ಸ್ವಯಂಚಾಲಿತ ಇಂಡೆಕ್ಸಿಂಗ್, 2. ಸ್ವಯಂಚಾಲಿತ ಪಟ್ಟಿ","1. தானியங்கி அட்டவணைப்படுத்தல், 2. தானியங்கி பட்டியல்"
ಸ್ವಯಂ ಸಂಗ್ರಹ ಕರೆ,தானியங்கு சேகரிப்பு அழைப்பு
"1. ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1. தானியங்கி நிரலாக்கம், 2. தானியங்கி நிரலாக்க"
"1. ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ, 2. ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ","1. தானியங்கி மீட்பு திட்டம், 2. தானியங்கி மீட்பு திட்டம்"
ಸ್ವಯಂ ದಿನಚರಿ,தானியங்கி வழக்கம்
ಸ್ವಯಂಚಾಲಿತ ಸಿಸ್ಟಮ್ ಚೇತರಿಕೆ,தானியங்கி கணினி மீட்பு
"1. ಸ್ವಯಂಚಾಲಿತ ಟೆಲ್ಲರ್ ಯಂತ್ರಗಳು (ATM), 2. ಸ್ವಯಂ ಹಿಂಪಡೆಯಲು ಬ್ಯಾಂಕ್ ಎಟಿಎಂ","1. தானியங்கி பணம் செலுத்தும் இயந்திரங்கள் (ATM), 2. வங்கி ஏ.டி.எம்"
ಯಾಂತ್ರೀಕೃತಗೊಂಡ,தானியங்கி
"1. ಸ್ವಯಂಪ್ಲೇ , 2. ಆಟೋ ನಡಿಗೆ","1. ஆட்டோபிளே, 2. ஆட்டோ நடை"
ಗಾಯನ,குரல் கொடுத்தல்
ಸಹಾಯಕ,உதவியாளர்
ಸಹಾಯಕ ಸ್ಮರಣೆ,துணை நினைவகம்
ಸಹಾಯಕ ಸಂಗ್ರಹಣೆ,துணை சேமிப்பு
ಲಭ್ಯವಿರುವ ಪಟ್ಟಿ,கிடைக்கும் பட்டியல்
ಲಭ್ಯವಿರುವ ಸಮಯ,கிடைக்கும் நேரம்
ಸರಾಸರಿ,சராசரி
AWK (ಕಂಪ್ಯೂಟರ್ ಆಜ್ಞೆ),AWK (ஒரு கணினி கட்டளை)
ನಂತರ,பிறகு
ಪೋಸ್ಟ್ ಪ್ರೊಸೆಸರ್,பின் செயலி
ಹಿಂಭಾಗದ ಕಾರ್ಯ ಅಳಿಸುವಿಕೆ,பின்புற செயல்பாடு நீக்கம்
ಹಿನ್ನೆಲೆ ಸಂಸ್ಕರಣೆ,பின்னணி செயலாக்கம்
ಪೂರಕ ಅಂಗಡಿಗಳು,துணை கடைகள்
ಮತ್ತೆ ಪ್ಯಾಚಿಂಗ್,மீண்டும் ஒட்டுதல்
"1. ಪಶ್ಚಿಮ, 2. ಬ್ಯಾಕ್‌ಸ್ಪೇಸ್","1. மேற்கு, 2. பின்வெளி"
ಬ್ಯಾಕ್‌ಟ್ರ್ಯಾಕಿಂಗ್,பின்வாங்குதல்
"1. ಬ್ಯಾಕ್ ಅಪ್, 2. ಮರುಪಾವತಿ","1. காப்புப்பிரதி, 2. கொடுக்கப்படுவதுடன்"
"1. ಪೂರಕ ಸ್ಮರಣೆ, 2. ಬ್ಯಾಕ್-ಅಪ್ ಮೆಮೊರಿ","1. நிரப்பு நினைவகம், 2. காப்பு நினைவகம்"
ಹಿಂದಿನ ದೋಷ ತಿದ್ದುಪಡಿ,மீண்டும் பிழை திருத்தம்
(ಆದಾಯ-ವೆಚ್ಚ) ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್,(வருமானம்-செலவு) இருப்புநிலை
ಬ್ಯಾಂಡೇಜ್,கட்டு
"1. ಬ್ಯಾಂಡ್ ಅಗಲ, 2. ಬ್ಯಾಂಡ್‌ವಿಡ್ತ್/ಸಾಮರ್ಥ್ಯ","1. பேண்ட் அகலம், 2. அலைவரிசை/திறன்"
ಬ್ಯಾಂಕರ್ ಅಲ್ಗಾರಿದಮ್,வங்கியாளர் வழிமுறை
"1. ಬಾರ್ ಕೋಡ್, 2. ಬಾರ್ ಕೋಡ್","1. பார் குறியீடு, 2. பார் குறியீடு"
ಬಾರ್ಕೋಡ್ ಸ್ಕ್ಯಾನರ್,பட்டை குறி படிப்பான் வருடி
ಬಾರ್ ಗ್ರಾಫ್,சட்ட வரைபடம்
ಮೂಲ ವಿಳಾಸ,அடிப்படை முகவரி
ಬೇಸ್ ಬ್ಯಾಂಡ್,அடிப்படை இசைக்குழு
ಆಧಾರ್ ಸಂಖ್ಯೆ,ஆதார் எண்
ಬೇಸ್ ಟೇಬಲ್,அடிப்படை அட்டவணை
ಮೂಲಭೂತ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ),அடிப்படை (ஒரு கணினி மொழி)
"1. ಮೂಲ ನಿಯಂತ್ರಣ , 2. ಮೂಲ ನಿಯಂತ್ರಣ","1. அடிப்படை கட்டுப்பாடு, 2. அடிப்படை கட்டுப்பாடு"
"1. ಮೂಲ ಹೂಡಿಕೆ, 2. ಮೂಲ ಹೂಡಿಕೆ","1. அசல் முதலீடு, 2. அடிப்படை முதலீடு"
ಮೂಲ ಸೂಚನೆ,அடிப்படை அறிவுறுத்தல்
