Bengali,Malayalam
"যোগ উপপাদ্য, বেরি তত্ত্ব,","സം സിദ്ധാന്തം, സരസഫല സിദ്ധാന്തം"
সংযোজনকারী গ্রুপ,സങ്കലന ഗ്രൂപ്പ്
সংযোজন বিপরীত,വിപരീത വിപരീതം
যোগযোগ্যতা,കൂട്ടിച്ചേർക്കൽ
যোগযোগ্যতা,കൂട്ടിച്ചേർക്കൽ
অন্তিক ম্যাট্রিক্স,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
"সংলগ্ন, সংলগ্ন, সংলগ্ন","തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള"
সংলগ্ন কোণ,അടുത്തുള്ള കോൺ
সংলগ্ন শীর্ষবিন্দু,തൊട്ടടുത്തുള്ള ശീർഷകം
যুক্ত করা,സഹകരിക്കാൻ
"সংযুক্ত ঘের,",ഘടിപ്പിച്ച വലയം
সাধারণ নির্ধারক,പൊതുവായ ഡിറ്റർമിനന്റ്
সংযুক্ত ডিফারেনশিয়াল সমীকরণ,ഡിഫറൻഷ്യൽ സമവാക്യം ചേർത്തു
সংযুক্ত সমীকরণ,ഘടിപ്പിച്ച സമവാക്യം
সমগোত্রীয় ম্যাট্রিক্স,ഏകീകൃത മാട്രിക്സ്
ম্যাট্রিক্স সমন্বয়,മാട്രിക്സ് കോവേരിയൻസ്
সমগোত্রীয় ম্যাট্রিক্স,ഏകീകൃത മാട്രിക്സ്
গ্রহণযোগ্য সিদ্ধান্ত ফাংশন,സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം
গ্রহণযোগ্য অনুমান,സ്വീകാര്യമായ സിദ്ധാന്തം
এরোডাইনামিক বল,എയറോഡൈനാമിക് ശക്തി
বায়ুগতিবিদ্যা,എയറോഡൈനാമിക്സ്
সমজাতীয় জ্যামিতি,ഏകതാനമായ ജ്യാമിതി
সমজাতীয় ম্যাপিং,ഏകതാനമായ മാപ്പിംഗ്
একজাতীয় রূপান্তর,ഏകതാനമായ പരിവർത്തനം
সামগ্রিক পরিবর্তনশীল,മൊത്തം വേരിയബിൾ
"বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত","ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം"
"seedy বন্ধ, বীজাণু","സീഡി അടഞ്ഞ, വിത്ത്"
বীজগণিত সমীকরণ,ബീജഗണിത സമവാക്യം
বীজগাণিতিক এক্সপ্রেশন,ബീജഗണിത പദപ്രയോഗം
বীজগণিতের একজাতীয়তা,ബീജഗണിത ഏകത
বীজগণিতের ফাংশন,ബീജഗണിത പ്രവർത്തനം
বীজগণিত জ্যামিতি,ബീജഗണിത ജ്യാമിതി
বীজগণিত বহুত্ব,ബീജഗണിത ബഹുത്വം
বীজগণিত ব্যবস্থা,ബീജഗണിത വ്യവസ്ഥ
সমস্ত পূর্ণসংখ্যা সমস্যা,എല്ലാ-പൂർണ്ണസംഖ്യാ പ്രശ്നം
"অ্যাসাইনমেন্ট সমস্যা ওয়াট প্রশ্ন,",അസൈൻമെന്റ് പ്രശ്നം വാട്ട് ചോദ്യം
বর্ণানুক্রমিক স্বরলিপি,അക്ഷരമാലാ ക്രമം
বর্ণানুক্রমিক অক্ষর,അക്ഷരമാലാക്രമം
বিকল্প কোণ,ഇതര കോണുകൾ
"বিকল্প সমজাতীয় বিকল্প ফর্ম,",ഇതര ഏകതാനമായ ഇതര രൂപം
বিকল্প গোষ্ঠী,ഇതര ഗ്രൂപ്പ്
বিকল্প ম্যাট্রিক্স,ഇതര മാട്രിക്സ്
বিকল্প সিরিজ,ഇതര പരമ്പര
বিকল্প অনুমান,ഇതര സിദ്ധാന്തം
বিকল্প সর্বোত্তম,ബദൽ ഒപ്റ്റിമം
বিকল্প ফলাফল,ഇതര ഫലം
এনালগ-ডিজিট কনভার্টার,അനലോഗ് അക്ക കൺവെർട്ടർ
"এনালগ কম্পিউটার,",അനലോഗ് കമ്പ്യൂട്ടർ
বিশ্লেষণ,വിശകലനം
সহভক্তি বিশ্লেষণ,സഹവർത്തിത്വ വിശകലനം
গণনা-ডেটা বিশ্লেষণ,എണ്ണൽ-വിവര വിശകലനം
বৈচিত্র্য বিশ্লেষণ,വ്യതിയാന വിശകലനം
বিশ্লেষণাত্মক জ্যামিতি,അനലിറ്റിക്കൽ ജ്യാമിതി
বিশ্লেষণাত্মক ফাংশন,വിശകലന പ്രവർത്തനം
কোণ,കോൺ
স্পর্শক কোণ,ടാൻജന്റ് കോൺ
বিচ্যুতি কোণ,വ്യതിചലന കോൺ
বিষণ্নতা কোণ,വിഷാദം ആംഗിൾ
বিচ্যুতি কোণ,വ്യതിയാനം കോൺ
বিবর্তন কোণ,ഡിഫ്രാക്ഷൻ ആംഗിൾ
উচ্চতা কোণ,എലവേഷൻ കോൺ
ঘটনার কোণ,സംഭവത്തിന്റെ കോൺ
অভিক্ষেপ কোণ,പ്രൊജക്ഷൻ കോൺ
প্রতিফলন কোণ,പ്രതിഫലനത്തിന്റെ കോൺ
প্রতিসরণ কোণ,അപവർത്തന കോൺ
ঘূর্ণন কোণ,റൊട്ടേഷൻ കോൺ
প্রতিফলনের পরম কোণ,പ്രതിഫലനത്തിന്റെ സമ്പൂർണ്ണ കോൺ
কৌণিক ত্বরণ,കോണീയ ത്വരണം
কৌণিক বেগ,കോണീയ പ്രവേഗം
কৌণিক গতি,കോണീയ വേഗത
কৌণিক বেগ,കോണീയ പ്രവേഗം
অনামিকা আঙুল,മോതിര വിരൽ
উত্তর,ഉത്തരം
কাউন্টার ডেরিভেটিভ,കൌണ്ടർ ഡെറിവേറ്റീവ്
আইসোমেট্রিক ফাংশন,ഐസോമെട്രിക് ഫംഗ്ഷൻ
"আচ্ছাদনযোগ্য, প্রযোজ্য, প্রযোজ্য","കവർ ചെയ്യാവുന്ന, ബാധകമായ, ബാധകമായ"
"আবেদনের আবেদন,",അപേക്ഷ അപേക്ഷ
প্রয়োগকৃত গতিশীল প্রোগ্রামিং,പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്
প্রয়োগ করা জ্যামিতি,പ്രയോഗിച്ച ജ്യാമിതി
ফলিত গণিত,പ്രയോഗിച്ച ഗണിതശാസ്ത്രം
ফলিত পরিসংখ্যান,പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ
"প্রায়, প্রায়","ഏകദേശം, ഏകദേശം"
প্রায় একটানা ফাংশন,ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം
"ম্যাক্রো পদ্ধতি, আনুমানিক পদ্ধতি","മാക്രോ രീതി, ഏകദേശ രീതി"
আনুমানিক সমাধান,ഏകദേശ പരിഹാരം
আনুমানিক সমস্যা,ഏകദേശ പ്രശ്നം
আনুমানিক সম্পত্তি,ഏകദേശ സ്വത്ത്
বুদ্ধিমত্তার পরীক্ষা,അഭിരുചി പരീക്ഷ
আর্গন ডায়াগ্রাম,ആർഗോൺ ഡയഗ്രം
স্বেচ্ছায়,സ്വമേധയാ
"এলোমেলো, এলোমেলো","ക്രമരഹിതമായ, ക്രമരഹിതമായ"
নির্বিচারে ধ্রুবক,ഏകപക്ഷീയമായ സ്ഥിരാങ്കം
বিনামূল্যে উপাদান,സ്വതന്ത്ര ഘടകം
নির্বিচারে পয়েন্ট,ഏകപക്ഷീയമായ പോയിന്റ്
আর্কিমিডের আইন,ആർക്കിമിഡീസിന്റെ നിയമം
আর্কিমিডিসের আইন,ആർക്കിമിഡീസിന്റെ നിയമം
"চাপ-দৈর্ঘ্য, চাপ-দৈর্ঘ্য","കമാനം നീളം, കമാനം നീളം"
বৃত্ত চাপ,സർക്കിൾ ആർക്ക്
ইনভার্স সাইন ডিস্ট্রিবিউশন,വിപരീത സൈൻ വിതരണം
বিপরীত সাইন রূপান্তর,വിപരീത സൈൻ പരിവർത്തനം
"এলাকা, এলাকা","പ്രദേശം, പ്രദേശം"
আঞ্চলিক কনফিগারেশন,പ്രാദേശിക കോൺഫിഗറേഷൻ
একটি জটিল সংখ্যার কোণ,ഒരു സങ്കീർണ്ണ സംഖ്യയുടെ കോൺ
গাণিতিক গড়,ഗണിത അർത്ഥം
ডিজিটাল অপারেশন,ഡിജിറ്റൽ പ്രവർത്തനം
ডিজিটাল ইউনিট,ഡിജിറ്റൽ യൂണിറ്റ്
"কনফিগারেশন, বিন্যাস","കോൺഫിഗറേഷൻ, ക്രമീകരണം"
"অ্যারে, অ্যারে","അറേ, അറേ"
কৃত্রিম উপগ্রহ,കൃത്രിമ ഉപഗ്രഹം
কৃত্রিম পরিবর্তনশীল,കൃത്രിമ വേരിയബിൾ
আরোহন করা,കയറാൻ
আরোহী,ആരോഹണം
মাত্রার আরোহী ক্রম,മാഗ്നിറ്റ്യൂഡിന്റെ ആരോഹണ ക്രമം
আরোহী গ্রেড,ആരോഹണ ഗ്രേഡ്
সংযোজনকারী ভাষা,അസംബ്ലർ ഭാഷ
"অ্যাসাইনমেন্ট সমস্যা অ্যাসাইনমেন্ট প্রশ্ন,",അസൈൻമെന്റ് പ്രശ്നം അസൈൻമെന്റ് ചോദ്യം
সহযোগী নিয়ম,സഹകാരി നിയമം
অপারেটরদের সহযোগী নিয়ম,ഓപ്പറേറ്റർമാരുടെ അനുബന്ധ നിയമം
সহযোগী অপারেশন,അനുബന്ധ പ്രവർത്തനം
সাহচর্য,കൂട്ടുകെട്ട്
ধরে নেওয়া গড়,അർത്ഥമാക്കുന്നത്
অনুমান সম্ভাব্যতা বন্টন,പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ അനുമാനിച്ചു
"কল্পনা করা, স্বীকার করা,","സങ്കല്പിച്ചു, സമ്മതിച്ചു"
জ্যোতিষশাস্ত্র,ജ്യോതിഷം
"মহাকাশচারী প্রকৌশলী মহাকাশ প্রকৌশলী,",ബഹിരാകാശ എഞ്ചിനീയർ ബഹിരാകാശ എഞ്ചിനീയർ
জ্যোতির্বিদ*,ജ്യോതിശാസ്ത്രജ്ഞൻ*
জ্যোতির্বিদ্যা ঘড়ি,ജ്യോതിശാസ്ത്ര ഘടികാരം
জ্যোতির্বিদ্যা,ജ്യോതിശാസ്ത്രം
অপ্রতিসম বক্ররেখা,അസമമായ വക്രം
অসমতা,അസമമിതി
অ্যাসিম্পোটিক,അസിംപ്റ്റോട്ടിക്
উত্তেজক,വഷളാക്കുന്നു
প্রগতিশীল অনুমানকারী,പുരോഗമന എസ്റ്റിമേറ്റർ
বিপরীতমুখী পক্ষপাতমূলক অনুমানকারী,റിട്രോഗ്രേഡ് ബയസ്ഡ് എസ്റ്റിമേറ്റർ
বিপরীতমুখী আচরণ,പിന്തിരിപ്പൻ പെരുമാറ്റം
আক্রমনাত্মক বিতরণ ফাংশন,ആക്രമണാത്മക വിതരണ പ്രവർത്തനം
ঊর্ধ্বগামী বিস্তার,മുകളിലേക്ക് വ്യാപിച്ചു
বায়ুমণ্ডলীয় চাপ,അന്തരീക്ഷമർദ്ദം
"এলোমেলোভাবে,",ക്രമരഹിതമായി
সম্পত্তি*,സ്വത്ത്*
অ্যাট্রিবিউট-স্যাম্পলিং-মেকানিজম,ആട്രിബ്യൂട്ട്-സാമ്പിൾ-മെക്കാനിസം
অগমেন্টেড ম্যাট্রিক্স,വർദ്ധിപ്പിച്ച മാട്രിക്സ്
স্বয়ংক্রিয় সম্পর্ক সহগ,ഓട്ടോകോറിലേഷൻ കോഫിഫിഷ്യന്റ്
স্বয়ংক্রিয় সম্পর্ক ফাংশন,ഓട്ടോകോറിലേഷൻ ഫംഗ്ഷൻ
সহবাস,സഹവർത്തിത്വം
স্বয়ংক্রিয় কম্পিউটার,ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടർ
অটোরিগ্রেশন,സ്വയം റിഗ്രഷൻ
সহায়ক সমীকরণ,സഹായ സമവാക്യം
গড় নমুনা সংখ্যা বক্ররেখা (MPC বক্ররেখা),ശരാശരി സാമ്പിൾ നമ്പർ വക്രം (MPC കർവ്)
"axiom, axiom","സിദ്ധാന്തം, സിദ്ധാന്തം"
স্বতঃসিদ্ধ পদ্ধতি,axiom സമീപനം
সম্ভাব্যতা স্বতঃসিদ্ধ,സംഭാവ്യത സിദ്ധാന്തം
অক্ষ,അച്ചുതണ്ട്
ভুজক্ষ,ഭുജാക്ഷ
পৃথিবী অক্ষ,ഭൂമിയുടെ അച്ചുതണ്ട്
ঘূর্ণন অক্ষ,ഭ്രമണ അക്ഷം
ঘূর্ণন অক্ষ,ഭ്രമണ അക്ഷം
স্পিন অক্ষ,സ്പിൻ അക്ഷം
পোস্ট প্রতিস্থাপন,പോസ്റ്റ് മാറ്റിസ്ഥാപിക്കൽ
পরে,പിന്നീട്
ফিরে সন্নিবেশ সূত্র,തിരികെ ചേർക്കൽ സൂത്രവാക്യം
"ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য","ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്"
সুষম নকশা,സമതുലിതമായ ഡിസൈൻ
ব্যালেন্স শীট,ബാലൻസ് ഷീറ്റ്
মিসাইল,മിസൈൽ
"ব্যালিস্টিক, অস্ত্র","ബാലിസ്റ്റിക്സ്, ആയുധം"
"কলাম, রড, কোব, বার, বার, বার, বার, বার, বার, লাইন, লাইন, টেস্ট লাইন, প্রান্ত","നിര, വടി, കോബ്, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ലൈൻ, ലൈൻ, ടെസ്റ്റ് ലൈൻ, എഡ്ജ്"
"ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি","അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം"
ভিত্তি কোণ,അടിസ്ഥാന കോൺ
"লগারিদমের ভিত্তি, লগারিদমের ভিত্তি","ലോഗരിതം അടിസ്ഥാനം, ലോഗരിതം അടിസ്ഥാനം"
"মৌলিক, মৌলিক,","അടിസ്ഥാന, അടിസ്ഥാന"
ভিত্তি সুসংগত সমাধান,അടിസ്ഥാന യോജിച്ച പരിഹാരം
ভিত্তি সমাধান,അടിസ്ഥാന പരിഹാരം
ভিত্তি পরিবর্তনশীল,അടിസ്ഥാന വേരിയബിൾ
ভিত্তি,അടിസ്ഥാനം
ভিত্তি উপাদান,അടിസ്ഥാന ഘടകം
বেস ম্যাট্রিক্স,അടിസ്ഥാന മാട്രിക്സ്
ভেক্টর স্থানের ভিত্তি,വെക്റ്റർ സ്ഥലത്തിന്റെ അടിസ്ഥാനം
উপ-জনসংখ্যা ভিত্তিতে,ഉപജനസംഖ്യാ അടിസ്ഥാനം
নীতিহীন,സത്യസന്ധമല്ലാത്ത
বেজ-রুল,ബെസ്-റൂൾ
bez-তত্ত্ব,bez-theorem
bernoulli-বন্টন,ബെർണൂലി-വിതരണം
বার্নোলি সংখ্যা,ബെർണൂലി നമ്പറുകൾ
Bernoulli সম্ভাব্যতা ফাংশন,ബെർണൂലി പ്രോബബിലിറ്റി ഫംഗ്‌ഷൻ
বার্নোলি-সমীকরণ,ബെർണൂലി-സമവാക്യം
বেরি ফাংশন,ബെറി ഫംഗ്ഷൻ
সেরা আনুগত্য,മികച്ച അഡീഷൻ
সেরা আনুগত্য লাইন,മികച്ച അഡീഷൻ ലൈൻ
সেরা সমাধান,മികച്ച പരിഹാരം
সেরা টিপস,മികച്ച നുറുങ്ങുകൾ
বিটা বিতরণ,ബീറ്റ വിതരണം
"পক্ষপাত, পক্ষপাত","പക്ഷപാതം, പക്ഷപാതം"
পক্ষপাতমূলক মূল্যায়ন,പക്ഷപാതപരമായ വിലയിരുത്തൽ
দ্বিপদ সমীকরণ,ദ്വിപദ സമവാക്യം
একক আবরণ,ഒറ്റ കവർ
একক কভার মানচিত্র,ഒറ്റ കവർ മാപ്പ്
একক কভার ম্যাপিং,ഒറ്റ കവർ മാപ്പിംഗ്
দ্বিঘাত দ্বিঘাত,ക്വാഡ്രാറ്റിക് ക്വാഡ്രാറ്റിക്
বাইলিনিয়ার ফাংশন,ബിലീനിയർ ഫംഗ്ഷൻ
বাইলিনিয়ার হারমিটিয়ান একজাতীয়তা,ബൈലീനിയർ ഹെർമിഷ്യൻ ഹോമോജെനിറ്റി
"দ্বি-পরিবর্তনশীল, বাইনারি, দ্বৈত","ദ്വി-വേരിയബിൾ, ബൈനറി, ഡ്യുവൽ"
"বাইনারি কোড, বাইনারি কোড","ബൈനറി കോഡ്, ബൈനറി കോഡ്"
"বাইনারি কোডেড দশমিক, বাইনারি কোডেড দশমিক","ബൈനറി കോഡ് ചെയ്ത ദശാംശം, ബൈനറി കോഡഡ് ദശാംശം"
বাইনারি এনকোডিং,ബൈനറി എൻകോഡിംഗ്
বাইনারি কম্পিউটার,ബൈനറി കമ്പ്യൂട്ടർ
বাইনারি সংখ্যা,ബൈനറി അക്കങ്ങൾ
বাইনারি অপারেশন,ബൈനറി പ്രവർത്തനം
বাইনারি পদ্ধতি,ബൈനറി രീതി
বাইনারি পরিবর্তনশীল,ബൈനറി വേരിയബിൾ
দ্বিপদ সহগ,ദ്വിപദ ഗുണകം
দ্বিপদ ডিস্ট্রিবিউশন,ദ്വിപദ വിതരണം
দ্বিপদ সমীকরণ,ദ്വിപദ സമവാക്യം
দ্বিপদ প্রকরণ,ദ്വിപദ വ്യത്യാസം
দ্বিপদ অভিব্যক্তি,ദ്വിപദ പദപ്രയോഗം
দ্বিপদী র্যান্ডম পরিবর্তনশীল,ബൈനോമിയൽ റാൻഡം വേരിയബിൾ
দ্বিপদ উপপাদ্য,ദ്വിപദ സിദ്ധാന്തം
"অর্ধেক, বিভাজন","പകുതി, വിഭജനം"
"দ্বিখণ্ডিত পদ্ধতি, অর্ধবিভাগ পদ্ধতি","വിഭജന രീതി, സെമിഡിവിഷൻ രീതി"
অর্ধেক দ্বিখণ্ডক,പകുതി ദ്വിമുഖം
দ্বিপদ,"ദ്വിപദം, ദ്വിമുഖം"
"Dwayank (বাইনারী সংখ্যা), আনি, বার্মিজ, টুক","ഡ്വയങ്ക് (ബൈനറി സംഖ്യ), ആനി, ബർമീസ്, തുക്"
দ্বিপদ দ্বিপদী বন্টন দ্বিপদ,ദ്വിപദ ദ്വിപദ വിതരണം ദ്വിപദം
দ্বিভারী পারস্পরিক সম্পর্ক সহগ,ദ്വിവസ്ത്ര പരസ്പര ബന്ധ ഗുണകം
দ্বিমুখী বন্টন,ദ്വിവിധ വിതരണം
bivariate স্বাভাবিক-বন্টন,bivariate സാധാരണ-വിതരണം
bivector,ബിവെക്ടർ
বোল্টম্যান সমীকরণ,ബോൾട്ട്മാൻ സമവാക്യം
বুলিয়ান বীজগণিত*,ബൂളിയൻ ബീജഗണിതം*
বোস-আইনস্টাইন পরিসংখ্যান,ബോസ്-ഐൻസ്റ്റീൻ സ്ഥിതിവിവരക്കണക്കുകൾ
সীমাবদ্ধতা সীমাবদ্ধতা,പരിമിതി നിയന്ത്രണങ്ങൾ
সীমানা স্তর,അതിർത്തി നില
সীমান,അതിർത്തി രേഖ
সীমা মান,പരിധി മൂല്യം
সীমানা মান সমস্যা,അതിർത്തി മൂല്യ പ്രശ്നം
"আবদ্ধ ফাংশন আবদ্ধ ফল,",പരിമിതമായ പ്രവർത്തനം പരിമിതമായ ഫലം
"আবদ্ধ ম্যাট্রিক্স, আবদ্ধ ম্যাট্রিক্স, আবদ্ধ টেবিল,","ബൗണ്ടഡ് മാട്രിക്സ്, ബൗണ്ടഡ് മാട്രിക്സ്, ബൗണ്ടഡ് ടേബിൾ"
"সীমাবদ্ধ অঞ্চল সীমাবদ্ধ অঞ্চল,",അതിർത്തി പ്രദേശം അതിർത്തി പ്രദേശം
"আবদ্ধ সেট আবদ্ধ সেট,",ബൗണ്ടഡ് സെറ്റ് ബൗണ്ടഡ് സെറ്റ്
ব্রাউনি গতি,ബ്രൗണി ചലനം
হিসাব করতে,കണക്കാക്കാൻ
গণনা,കണക്കുകൂട്ടല്
"ক্যালকুলেটর, ক্যালকুলেটর","കാൽക്കുലേറ്റർ, കാൽക്കുലേറ്റർ"
হিসাব*,കണക്കുകൂട്ടല്*
গণনামূলক কর্ম পদ্ধতি,കമ്പ്യൂട്ടേഷണൽ പ്രവർത്തന രീതി
"ক্যালকুলেটর, ক্যালকুলেটর","കാൽക്കുലേറ്റർ, കാൽക്കുലേറ്റർ"
"ক্যালকুলাস, ক্যালকুলাস","കാൽക്കുലസ്, കാൽക്കുലസ്"
প্রকরণ ক্যালকুলাস,വേരിയൻസ് കാൽക്കുലസ്
ক্যালোরি,കലോറികൾ
বিধি বাতিল করা,ഭരണം റദ്ദാക്കുക
ক্যানোনিকাল সমীকরণ,കാനോനിക്കൽ സമവാക്യം
ক্যানোনিকাল ফর্ম,കാനോനിക്കൽ രൂപം
"ক্যানোনিকাল ম্যাট্রিক্স, কে ক্যানোনিকাল ম্যাট্রিক্স","കാനോനിക്കൽ മാട്രിക്സ്, കെ കാനോനിക്കൽ മാട്രിക്സ്"
ক্যান্টর সেট,കാന്റർ സെറ്റ്
ক্যান্টর ত্রিভুজাকার সেট,കാന്റർ ത്രികോണ സെറ്റ്
সীমাবদ্ধ পরিবহন সমস্যা,പരിമിതമായ ഗതാഗത പ്രശ്നം
ক্ষমতা,കഴിവ്
কৈশিক বল,കാപ്പിലറി ബലം
"গণনা সংখ্যা, কার্ডিনাল সংখ্যা","എണ്ണം നമ്പർ, കാർഡിനൽ നമ്പർ"
কার্টেসিয়ান অক্ষ,കാർട്ടിസിയൻ അക്ഷം
কার্টেসিয়ান স্থানাঙ্ক,കാർട്ടീഷ്യൻ കോർഡിനേറ്റുകൾ
কার্টিজিয়ান পণ্য,കാർട്ടീഷ്യൻ ഉൽപ്പന്നം
সেটের কার্টেসিয়ান গুন,സെറ്റുകളുടെ കാർട്ടീഷ്യൻ ഗുണനം
"কেস স্টাডি, কেস স্টাডি","കേസ് പഠനം, കേസ് പഠനം"
বিপর্যয়মূলক বক্তৃতা,ആപത്കരമായ പ്രസംഗം
ক্যাটিনারি,കാറ്ററി
কচি বন্টন,കോച്ചി വിതരണം
কৌশির সূত্র,കൗശിയുടെ സൂത്രം
কচি-গুর্সা-তত্ত্ব,കൗശി-ഗുർസാ സിദ്ധാന്തം
কৌশি-রিম্যান-বান,കൗശി-റീമാൻ-ബാൻ
কচি সিকোয়েন্স,Cauchy ക്രമം
কৌশি অবিচ্ছেদ্য,കൗശി അവിഭാജ്യ
কৌশি প্রধান-মূল্য,കൗശി പ്രധാന മൂല്യം
কচি অবশিষ্ট উপপাদ্য,കൗച്ചി ശേഷിക്കുന്ന സിദ്ധാന്തം
ক্যালে-হ্যামিল্টন-উপাত্ত,കാൾ-ഹാമിൽട്ടൺ-സിദ്ധാന്തം
স্বর্গীয় শরীরের,ആകാശ ശരീരം
জ্যোতির্বিদ্যা পরিমাপ,ജ്യോതിശാസ്ത്രപരമായ അളവ്
স্বর্গীয় বলবিদ্যা,ആകാശ മെക്കാനിക്സ്
স্বর্গীয় শরীরের,ആകാശ ശരീരം
সেল ফ্রিকোয়েন্সি,സെൽ ആവൃത്തി
"আদমশুমারি, আদমশুমারি","സെൻസസ്, സെൻസസ്"
শতাংশ,ശതമാനം
সেন্টিমিটার,സെന്റീമീറ്റർ
সেন্টিমিটার-গ্রাম-সেকেন্ড পদ্ধতি,സെന്റീമീറ്റർ-ഗ്രാം-രണ്ടാം രീതി
"কেন্দ্রীয়, কেন্দ্রীভূত","കേന്ദ്ര, കേന്ദ്രീകൃത"
কেন্দ্রীয় অক্ষ,കേന്ദ്ര അക്ഷം
কেন্দ্রীয় ফাঁক,കേന്ദ്ര വിടവ്
কেন্দ্রীয় পার্থক্য সূত্র,കേന്ദ്ര വ്യത്യാസ ഫോർമുല
কেন্দ্রীয় ডিফারেনশিয়াল টেবিল,കേന്ദ്ര ഡിഫറൻഷ്യൽ പട്ടിക
কেন্দ্রীয় সীমা উপপাদ্য,കേന്ദ്ര പരിധി സിദ്ധാന്തം
কেন্দ্রীয় মুহূর্ত,കേന്ദ്ര നിമിഷം
কেন্দ্রীয় সম্পদ ইউনিট,കേന്ദ്ര റിസോഴ്സ് യൂണിറ്റ്
কেন্দ্রীয় প্রবৃত্তি,കേന്ദ്ര സഹജാവബോധം
কেন্দ্র*,കേന്ദ്രം*
অভিকর্ষের কেন্দ্র,ഗുരുത്വാകർഷണ കേന്ദ്രം
গ্রুপ কেন্দ্র,ഗ്രൂപ്പ് കേന്ദ്രം
ভর কেন্দ্র,ബഹുജന കേന്ദ്രം
প্রতিসাম্য কেন্দ্র,സമമിതിയുടെ കേന്ദ്രം
অপকেন্দ্র বল,അപകേന്ദ്ര ബലം
কেন্দ্রমুখী বল,അപകേന്ദ്രബലം
"কেন্দ্রমুখী মেরিডিয়ান,",സെൻട്രിപെറ്റൽ മെറിഡിയൻ
নিশ্চিততা,ഉറപ്പ്
