Bengali,Malayalam
অভিযোজিত সংহতকরণ,അഡാപ്റ്റീവ് ഇന്റഗ്രേഷൻ
অভিযোজিত ট্রান্সভার্সাল ইকুয়ালাইজার,അഡാപ്റ്റീവ് ട്രാൻസ്വേഴ്സ് ഇക്വൈസർ
যুক্ত এন্ট্রি,എൻട്രി ചേർത്തു
সংযোজন,കൂട്ടിച്ചേര്ക്കുക
সংযোজন,ആംഗം
অ্যাডার সাবট্র্যাক্টর,എ ഷട്രക്റ്റർ
ফাইল যুক্ত কর,ഫയൽ ചേർക്കുക
অতিরিক্ত চরিত্র (= বিশেষ চরিত্র),അധിക പ്രതീകം (= പ്രത്യേക പ്രതീകം)
সংযোজন রেকর্ডার,ബഹുമതി
সংযোজন টেবিল,കൂട്ടിച്ചേർക്കലാ പട്ടിക
সংযোজন বৈশিষ্ট্য,അഡിറ്റീവ് ആട്രിബ്യൂട്ട്
মোড যুক্ত করুন,മോഡ് ചേർക്കുക
অপারেশন যুক্ত করুন,പ്രവർത്തനം ചേർക്കുക
ঠিকানা,അഭിസംബോധന ചെയ്യുക
ঠিকানা পরিমাপ,വിലാസ നടപടി
ঠিকানাযোগ্য অনুভূমিক অবস্থান,അഭിസംബോധന ചെയ്യാവുന്ന തിരശ്ചീന സ്ഥാനം
ঠিকানাযোগ্য পয়েন্ট,വിലാസ പോയിന്റ്
ঠিকানাযোগ্য অবস্থান,അഭിസംബോധന ചെയ്യാവുന്ന സ്ഥാനം
ঠিকানাযোগ্য নিবন্ধ,വിലാസ രജിസ്റ്റർ
ঠিকানাযোগ্য স্টোরেজ,വിലാസ സംഭരണം
ঠিকানাযোগ্য উল্লম্ব অবস্থান,അഭിസംബോധന ചെയ്യാവുന്ന ലംബ സ്ഥാനം
ঠিকানা বাস,വിലാസ ബസ്
ঠিকানা কোড,വിലാസ കോഡ്
ঠিকানা তুলনামূলক,വിലാസ താരതമ്യക്കാരൻ
ঠিকানা গণনা,വിലാസ കണക്കുകൂട്ടൽ
ধ্রুবক ঠিকানা,വിലാസ സ്ഥിരത
ঠিকানা রূপান্তর,വിലാസ പരിവർത്തനം
ঠিকানা ডেটা,വിലാസ ഡാറ്റ
সম্বোধন স্মৃতি,മെമ്മറി അഭിസംബോധന ചെയ്തു
ঠিকানা কার্যকর,വിലാസ ഫലപ്രദമാണ്
ঠিকানা ক্ষেত্র,വിലാസ ഫീൽഡ്
ঠিকানা ফর্ম্যাট,വിലാസ ഫോർമാറ്റ്
ঠিকানা বিনামূল্যে প্রোগ্রাম,വിലാസ സ contry ജന്യ പ്രോഗ്രാം
সম্বোধন,അഭിസംബോധന
সম্বোধন  চরিত্র,അഭിസംബോധന  കഥാപാതം
বাধা সম্বোধন,അഭിസംബോധന ഇന്ററപ്റ്റ്
লুপ সম্বোধন,വിലാസം ലൂപ്പ്
ভার্চুয়াল মেমরি সম্বোধন,വെർച്വൽ മെമ്മറി അഭിസംബോധന ചെയ്യുന്നു
ঠিকানা ইন্টারল্যাকিং,വിലാസം ഇന്റർലേസിംഗ്
ঠিকানাহীন নির্দেশাবলী ফর্ম্যাট,വിലാസരഹിതമായ നിർദ്ദേശങ്ങൾ ഫോർമാറ്റ്
ঠিকানা লাইন,വിലാസ ലൈൻ
ঠিকানা ম্যাপিং,വിലാസ മാപ്പിംഗ്
ঠিকানা চিহ্ন,വിലാസ അടയാളം
ঠিকানা পরিবর্তন,വിലാസ പരിഷ്ക്കരണം
ঠিকানা অংশ,വിലാസ ഭാഗം
ঠিকানা পয়েন্টার,വിലാസം പോയിന്റർ
ঠিকানা রেজিস্টার,വിലാസ രജിസ്റ്റർ
ঠিকানা সংকেত,വിലാസ സിഗ്നൽ
ঠিকানা আকার,വിലാസ വലുപ്പം
ঠিকানা স্থান,വിലാസ ഇടം
ঠিকানা স্পেস আইডেন্টিফায়ার,വിലാസ ബഹിരാകാശ ഐഡന്റിഫയർ
ঠিকানা স্টপ,വിലാസ സ്റ്റോപ്പ്
ঠিকানা ট্রেস,വിലാസ ട്രെയ്സ്
ঠিকানা ট্র্যাক,വിലാസ ട്രാക്ക്
ঠিকানা অনুবাদ,വിവർത്തനം വിവർത്തനം ചെയ്യുക
ঠিকানা অনুবাদক,വിലാസ പരിഭാഷകന്
বিয়োগের সময় যোগ করুন,ചേർക്കുക-കുറയ്ക്കുക സമയം
সময় যোগ করুন,സമയം ചേർക്കുക
সংলগ্নতা,വാര്ത്താവകം
সংলগ্ন কাঠামো,അഡ്ജഞ്ചൻസിൻസ് ഘടന
সংলগ্ন চ্যানেল,തൊട്ടടുത്തുള്ള ചാനൽ
সংলগ্ন ডোমেন,അടുത്തുള്ള ഡൊമെയ്ൻ
সংলগ্ন ম্যাট্রিক্স,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
সংলগ্ন নোড,തൊട്ടടുത്തുള്ള നോഡ്
সংলগ্ন সুবেরিয়া,തൊട്ടടുത്തുള്ള സുബരിയ
স্থগিত (সিস্টেম),കസ്റ്റേഴ്സ് (സിസ്റ്റം)
সামঞ্জস্য করুন,കമപ്പെടുത്തുക
সামঞ্জস্যযোগ্য মাত্রা,ക്രമീകരിക്കാവുന്ന പരിധി
পাঠ্য মোড সামঞ্জস্য করুন,ടെക്സ്റ്റ് മോഡ് ക്രമീകരിക്കുക
প্রশাসনিক ডেটা প্রসেসিং,അഡ്മിനിസ്ട്രേറ്റീവ് ഡാറ്റ പ്രോസസ്സിംഗ്
প্রশাসনিক অপারেশন,അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം
প্রশাসনিক অপারেটর,അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ
প্রশাসনিক অপারেটর স্টেশন,അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ സ്റ്റേഷൻ
প্রশাসনিক সহায়তা সিস্টেম,അഡ്മിനിസ്ട്രേറ്റീവ് സപ്പോർട്ട് സിസ്റ്റം
উন্নত যোগাযোগ পরিষেবা,നൂതന ആശയവിനിമയ സേവനം
উন্নত তথ্য সিস্টেম,വിപുലമായ വിവര സിസ്റ്റം
উন্নত অপটিক্যাল চরিত্র পাঠক,വിപുലമായ ഒപ്റ്റിക്കൽ പ്രതീക റീഡർ
উন্নত বৈজ্ঞানিক কম্পিউটার,വിപുലമായ ശാസ്ത്ര കമ്പ്യൂട്ടർ
এরিয়াল,ഏരിയൽ
সমষ্টি,ആകെത്തുകയായുള്ള
সামগ্রিক অভিব্যক্তি,മൊത്തം എക്സ്പ്രഷൻ
লক্ষ্য বৃত্ত,ലക്ഷ്യമിടുന്നു
লক্ষ্য ক্ষেত্র (= লক্ষ্য প্রতীক),ലക്ഷ്യമിടുന്ന ഫീൽഡ് (= ലക്ഷ്യമിടുന്നത്)
লক্ষ্য প্রতীক,എഡിയൽ ചിഹ്നം
বায়ুবাহিত কম্পিউটার সিস্টেম,എയർബോൺ കമ്പ്യൂട്ടർ സിസ്റ്റം
বীজগণিত ইগেনভ্যালু সমস্যা,ബീജഗണിത ഐജൻവാലു പ്രശ്നം
বীজগণিত  মিশ্রণ,ബീജഗണിത  സംയോജനം
বীজগণিত ভাষা,ബീജഗണിത ഭാഷ
বীজগণিত হেরফের,ബീജഗണിത കൃത്രിമത്വം
বীজগণিত ম্যানিপুলেশন ভাষা,ബീജഗണിത കൃത്രിമ ഭാഷ
বীজগণিতমুখী ভাষা,ബീജഗണിത ഓറിയന്റഡ് ഭാഷ
বীজগণিত শিফট,ബീജഗണിത മാറ്റം
বীজগণিত সাইন কনভেনশন,ബീജഗണിത ചിഹ്ന കൺവെൻഷൻ
অ্যালগল,അൽഗോൾ
অ্যালগল বৈশিষ্ট্য,അൽഗോൾ സവിശേഷത
অ্যালগল প্রোগ্রামিং,അൽഗോൾ പ്രോഗ്രാമിംഗ്
অ্যালগরিদম,അൽഗോരിതം
অ্যালগরিদম সহযোগী ভাষা,അൽഗോരിതം അസോസിയേറ്റീവ് ഭാഷ
অ্যালগরিদম শ্রেণিবিন্যাস,അൽഗോരിതം വർഗ്ഗീകരണം
অ্যালগরিদম জটিলতা,അൽഗോരിതം സങ്കീർണ്ണത
অ্যালগরিদম গণনাযোগ্যতা,അൽഗോരിതം കേസബിലിറ്റി
অ্যালগরিদমিক বিশ্লেষণ,അൽഗോരിത്ത്മിക് വിശകലനം
অ্যালগরিদমিক পদ্ধতির,അൽഗോരിത്തിസ് സമീപനം
অ্যালগরিদমিক ভাষা,അൽഗോറിത്ത്മിക് ഭാഷ
অ্যালগরিদমিক রুটিন,അൽഗോരിഥമ്മിക് പതിവ്
অ্যালগরিদমিক তত্ত্ব,അൽഗോരിതംസിക് സിദ്ധാന്തം
ওরফে,അപരാഭിധാനം
এলিয়াসিং,അപരനാത്മകം
ওরফে নাম (= বিকল্প নাম),അപരനാമം (= ഇതര പേര്)
প্রান্তিককরণ,വിന്യാപകമായ
বরাদ্দ,നീക്കിവയ്ക്കുക
বরাদ্দ কাঠামো,അലോക്കേഷൻ ഘടന
সমস্ত উদ্দেশ্যমূলক কম্পিউটার,എല്ലാ ഉദ്ദേശ്യ കമ്പ്യൂട്ടറും
বর্ণমালা চরিত্র,അക്ഷരമാല പ്രതീകം
বর্ণমালা চরিত্র সেট,അക്ഷരമാല പ്രതീക സെറ്റ്
বর্ণমালা চরিত্রের সাবসেট,അക്ഷരമാല പ്രതീക സബ്സെറ്റ്
বর্ণমালা কোড,അക്ഷരമാല കോഡ്
বর্ণমালা শিফট,അക്ഷരമാല മാറ്റം
বর্ণমালা স্ট্রিং,അക്ഷരമാല സ്ട്രിംഗ്
বর্ণমালা শব্দ,അക്ഷരമാല വാക്ക്
বর্ণমালা,അക്ഷരമാലാളം
আলফেজোমেট্রিক্স,ആഫറാമോമെട്രിക്സ്
বর্ণমালা,ആഫളാചിക്
আলফামোসাইক,ആൽഫമോസയ്ക്ക്
বর্ণমালা,ആൽഫാന്യൂമെറിക്
আলফানুমারিকাল কীবোর্ড ডিভাইস,ആൽഫാന്യൂമെറിക്കൽ കീബോർഡ് ഉപകരണം
আলফানিউমেরিক চরিত্র সেট,ആൽഫാന്യൂമെറിക് പ്രതീക സെറ്റ്
আলফানিউমেরিক কোড,ആൽഫാന്യൂമെറിക് കോഡ്
আলফানিউমেরিক কোডেড চরিত্র সেট,ആൽഫാന്യൂമെറിക് കോഡ്ഡ് പ്രതീക സെറ്റ്
আলফানিউমেরিক ডেটা,ആൽഫാന്യൂമെറിക് ഡാറ്റ
আলফানিউমেরিক ডিসপ্লে ডিভাইস,ആൽഫാന്യൂമെറിക് ഡിസ്പ്ലേ ഉപകരണം
আলফানিউমেরিক সম্পাদিত চরিত্র,ആൽഫാന്യൂമെറിക് എഡിറ്റുചെയ്ത പ്രതീകം
আলফানিউমেরিক ফিল্ড,ആൽഫാന്യൂമെറിക് ഫീൽഡ്
বর্ণমালা নির্দেশ,ആൽഫാന്യൂമെറിക് നിർദ്ദേശം
আলফানিউমেরিক কীবোর্ড,ആൽഫാന്യൂമെറിക് കീബോർഡ്
আলফানিউমেরিক বাছাই,ആൽഫാന്യൂമെറിക് തരം
আলফানিউমেরিক স্টোরেজ,ആൽഫാന്യൂമെറിക് സംഭരണം
পরিবর্তনযোগ্য মেমরি,മാറ്റം വരുത്തുന്നതിന് മെമ്മറി
পরিবর্তন সুইচ,മാറ്റങ്ങൾ സ്വിച്ച്
পরিবর্তন,മാറ്റം
পরিবর্তন মোড,മാറ്റ മോഡ്
বিকল্প পুনরুদ্ধার,ഇതര വീണ്ടെടുക്കൽ
বিকল্প রুট,ഇതര റൂട്ട്
বিকল্প রাউটিং,ഇതര റൂട്ടിംഗ്
বিকল্প ট্র্যাক,ഇതര ട്രാക്ക്
বিকল্প (= বা অপারেশন),ഇതര (= അല്ലെങ്കിൽ പ്രവർത്തനം)
বিকল্প বৈশিষ্ট্য,ഇതര ആട്രിബ്യൂട്ട്
বিকল্প অস্বীকার (= না-অপারেশন),"ഇതര നിഷേധം (= അല്ല, പ്രവർത്തനം)"
অস্পষ্টতা ত্রুটি,അവ്യക്തത പിശക്
অস্পষ্ট রেফারেন্স,അവ്യക്തമായ റഫറൻസ്
অ্যানালগ,അനാലോഗ്
অ্যানালগ অ্যাডার,അനലോഗ് അഡെർ
অ্যানালগ চ্যানেল,അനലോഗ് ചാനൽ
অ্যানালগ কম্পিউটার,അനലോഗ് കമ്പ്യൂട്ടർ
অ্যানালগ রূপান্তরকারী,അനലോഗ് കൺവെർട്ടർ
অ্যানালগ ডেটা,അനലോഗ് ഡാറ്റ
অ্যানালগ বিভাজক,അനലോഗ് ഡിവൈഡർ
অ্যানালগ সুবিধা টার্মিনাল,അനലോഗ് ഫെസിലിറ്റി ടെർമിനൽ
অ্যানালগ ফাংশন  জেনারেটর,അനലോഗ് ഫംഗ്ഷൻ  വൈദുതോല്പാദനയന്തം
অ্যানালগ ইন্টিগ্রেশন,അനലോഗ് സംയോജനം
অ্যানালগ গুণক,അനലോഗ് ഗുണിതം
অ্যানালগ প্রোগ্রামিং,അനലോഗ് പ്രോഗ്രാമിംഗ്
অ্যানালগ স্কেলিং,അനലോഗ് സ്കെയിലിംഗ്
এনালগ সংকেত,അനലോഗ് സിഗ്നൽ
অ্যানালগ সিমুলেশন,അനലോഗ് സിമുലേഷൻ
অ্যানালগ সুইচ,അനലോഗ് സ്വിച്ച്
অ্যানালগ সিস্টেম,അനലോഗ് സിസ്റ്റം
ডিজিটাল অ্যানালগ  রূপান্তরকারী,ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്  കൺവെർട്ടർ
ডিজিটাল অ্যানালগ  এনকোডার,ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്  എൻകോഡർ
অ্যানালগ সংক্রমণ,അനലോഗ് ട്രാൻസ്മിഷൻ
অ্যানালগ প্রকার,അനലോഗ് തരം
বিশ্লেষণ ব্লক,വിശകലന ബ്ലോക്ക്
বিশ্লেষণ মোড,വിശകലന മോഡ്
বিশ্লেষণাত্মক ইঞ্জিন,അനലിറ്റിക്കൽ എഞ്ചിൻ
পৈতৃক কাজ,പൂർവ്വിക ചുമതല
আনুষঙ্গিক সরঞ্জাম,അനുബന്ധ ഉപകരണങ്ങൾ
এবং,ഒപ്പം
এবং সার্কিট,സർക്യൂട്ട്
এবং উপাদান,ഘടകവും
এবং গেট,ഗേറ്റിലും
এবং মাস্কিং,മാസ്കിംഗ്
এবং অপারেশন নয় (= বর্জন,പ്രവർത്തനമല്ല (= ഒഴിവാക്കൽ
এবং অপারেশন,പ്രവർത്തനവും
সংযুক্তি স্মৃতি,അനെക്സ് മെമ്മറി
টীকা,വ്യാഖ്യാനിലും
ঘোষণা,Annnuniator
উত্তর পাঠাও,ഉത്തരം തിരികെ
উত্তর দেরি,ഉത്തരം കാലതാമസം
উত্তর সময়,ഉത്തരം നൽകുന്നു
উত্তর প্রদীপ,ഉത്തര വിളക്ക്
উত্তর তালিকা,ഉത്തരം പട്ടിക
শুধুমাত্র উত্তর,ഉത്തരം മാത്രം
প্রত্যাশা মোড,പ്രതീക്ഷ മോഡ്
প্রত্যাশিত বাফারিং,മുൻകൂട്ടി ബഫറിംഗ്
প্রত্যাশিত বহন,മുൻകൂട്ടി കാരി
প্রত্যাশিত পেজিং,മുൻകൂട്ടി പങ്കിടൽ
অ্যান্টিকোয়েনসেন্স অপারেশন,ആന്റിക്കോസിൻസ് പ്രവർത്തനം
অ্যান্টিকোইনসেন্টেন্ট উপাদান,Anticoicient ഘടകം
অ্যাপেরিওডিক অ্যান্টেনা,അപ്രൈയോഡിക് ആന്റിന
অ্যাপারচার কার্ড,അപ്പർച്ചർ കാർഡ്
অ্যাপারচার কোড,അപ്പർച്ചർ കോഡ്
অ্যাপারচার সময়,അപ്പർച്ചർ സമയം
সংযোজন,അനുബന്ധം
অ্যাপেন্ডেজ টাস্ক,അനുബന്ധ ചുമതല
অ্যাপ্লিকেশন ডেভেলপার,അപ്ലിക്കേഷൻ ഡെവലപ്പർ
আবেদন স্তর,ആപ്ലിക്കേഷൻ ലെയർ
অ্যাপ্লিকেশন ভিত্তিক ভাষা,ആപ്ലിക്കേഷൻ ഓറിയന്റഡ് ഭാഷ
অ্যাপ্লিকেশন প্যাকেজ,ആപ്ലിക്കേഷൻ പാക്കേജ്
এপ্লিকেশন প্রোগ্রাম,അപ്ലിക്കേഷൻ പ്രോഗ്രാം
অ্যাপ্লিকেশন প্রোগ্রামিং,അപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്
অ্যাপ্লিকেশন প্রয়োজনীয় ভাষা,അപേക്ഷ ആവശ്യമായ ഭാഷ
অ্যাপ্লিকেশন সফ্টওয়্যার,അപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ
অ্যাপ্লিক,പേഷൻ
আনুমানিক তত্ত্ব,ഏകദേശ സിദ്ധാന്തം
স্বেচ্ছাসেবী অ্যাক্সেস,അനിയന്ത്രിതമായ പ്രവേശനം
স্বেচ্ছাসেবী সিকোয়েন্স কম্পিউটার,അനിയന്ത്രിതമായ ശ്രേണി കമ്പ്യൂട്ടർ
সালিশ,മാദ്ധസ്ഥം
আর্কিটেকচার,വാസ്തുവിദ
সংরক্ষণাগার,ശേഖരം
এরিয়া কোড,ഏരിയ കോഡ്
অঞ্চল অনুসন্ধান,ഏരിയ തിരയൽ
অঞ্চল স্থানান্তর,ഏരിയ കൈമാറ്റം
অঞ্চল পরিবর্তনশীল,ഏരിയ വേരിയബിൾ
যুক্তি,വാദം
যুক্তি ঠিকানা,വാദം വിലാസം
যুক্তি তালিকা,ആർദ്ര ലിസ്റ്റ്
গাণিতিক নির্দেশ,അരിറ്റെറ്റിക്കൽ നിർദ്ദേശം
গাণিতিক এবং যুক্তি ইউনিট,"അരിത്മെറ്റിക്, ലോജിക് യൂണിറ്റ്"
গাণিতিক অ্যাসাইনমেন্ট বিবৃতি,അരിത്മെറ്റിക് അസൈൻമെന്റ് സ്റ്റേറ്റ്മെന്റ്
গাণিতিক চেক,ഗണിത പരിശോധന
পাটিগণিত ধ্রুবক,അരിത്മെറ്റിക് സ്ഥിരാങ്കം
গাণিতিক রূপান্তর,അരിത്മെറ്റിക് പരിവർത്തനം
গাণিতিক ডেটা,അരിത്മെറ്റിക് ഡാറ്റ
পাটিগণিত ব্যতিক্রম,ഗണിത അപവാദം
গাণিতিক অভিব্যক্তি,അരിത്മെറ്റിക് എക്സ്പ്രഷൻ
গাণিতিক স্থির পয়েন্ট,അരിത്മെറ്റിക് നിശ്ചിത പോയിന്റ്
পাটিগণিত শ্রেণিবিন্যাস,അരിത്മെറ്റിക് ശ്രേണി
বিবৃতি যদি গাণিতিক,പ്രസ്താവനയാണെങ്കിൽ അരിത്മെറ്റിക്
গাণিতিক যুক্তি,അരിത്മെറ്റിക് ലോജിക്
গাণিতিক যুক্তি ইউনিট,അരിത്മെറ്റിക് ലോജിക് യൂണിറ്റ്
পাটিগণিত অপারেশন,അരിത്മെറ്റിക് പ്രവർത്തനം
পাটিগণিত অপারেটর,അരിത്മെറ്റിക് ഓപ്പറേറ്റർ
পাটিগণিত ওভারফ্লো,അരിത്മെറ്റിക് ഓവർഫ്ലോ
গাণিতিক ছবির ডেটা,അരിത്മെറ്റിക് പിക്ചർ ഡാറ്റ
গাণিতিক অগ্রাধিকার,ഗണിത മുൻഗണന
গাণিতিক প্রাথমিক,അരിത്മെറ്റിക് പ്രൈമറി
গাণিতিক নিবন্ধ,അരിത്മെറ്റിക് രജിസ്റ്റർ
গাণিতিক সম্পর্ক,അരിത്മെറ്റിക് ബന്ധം
গাণিতিক স্ক্যান,അരിത്മെറ്റിക് സ്കാൻ
গাণিতিক বিভাগ,അരിത്മെറ്റിക് വിഭാഗം
গাণিতিক শিফট,അരിത്മെറ്റിക് ഷിഫ്റ്റ്
গাণিতিক স্থানান্তর,അരിത്മെറ്റിക് ഷിഫ്റ്റിംഗ്
পাটিগণিত বিবৃতি,ഗണിത പ്രസ്താവന
গাণিতিক শব্দ,അരിത്മെറ്റിക് ടേം
পাটিগণিত আন্ডারফ্লো,അരിത്മെറ്റിക് അണ്ടർഫ്ലോ
গাণিতিক ইউনিট,അരിത്മെറ്റിക് യൂണിറ്റ്
অ্যারে,ശേണി
অ্যারে বাউন্ড,അറേ ബന്ധിത
অ্যারে কম্পিউটার,അറേ കമ്പ്യൂട്ടർ
অ্যারে মাত্রা,അറേ അളവ്
অ্যারে উপাদান,അറേ ഘടകം
অ্যারে এক্সপ্রেশন,ശ്രമരീതി
অ্যারের নাম,അറേ പേര്
কাঠামোর অ্যারে,ഘടനകളുടെ നിര
অ্যারে প্রিন্টিং,അറേ പ്രിന്റിംഗ്
অ্যারে প্রসেসিং,അറേ പ്രോസസ്സിംഗ്
অ্যারে প্রসেসর,അറേ പ്രോസസർ
বক্তৃতা পয়েন্ট,ആർട്ടിക്കേഷൻ പോയിന്റ്
কৃত্রিম জ্ঞান,കൃത്രിമ കോഗ്നിഷൻ
কৃত্রিম বুদ্ধিমত্তা,നിർമ്മിത ബുദ്ധി
কৃত্রিম ভাষা,കൃത്രിമ ഭാഷ
