Assamese,English
সম্পূৰ্ণ কাঁচৰ নলী,all glass tube
গোটেই ধাতুৰ নলী,all metal tube
ঠিক কৰা,allocate
"মিশ্ৰতু (সম্পা.), মিশ্ৰত্বন (ক্ৰ.)",alloy
মিশ্ৰত্ৱন,alloying
সৰ্বব্যাপী মাধ্যম,all-pervading medium
omni এন্টেনা,all-wave antenna
আলমানাক,almanac
আলফা,alpha
আলফা-কাৰ্য্যকলাপ,alpha-activity
আলফানিউমেৰিক,alphabetical
আলফা ৰশ্মি,alpha ray
সলা,alteration
"বিকল্প, বিকল্প",alternating
অলটাৰেটৰ,alternator
উচ্চতামাপক,altigraph
উচ্চতামাপক,altimeter
উচ্চতা মাপকাঠী,altimetry
"উচ্চতা, উচ্চতা, উচ্চতা, উচ্চতা",altitude
গাণিতিক যুক্তি একক (ALU),ALU (Arithmatic Logic Unit)
amaget নিয়ম,Amagat law
পৰিৱেশ,ambient
amicron,amicron
এমিটাৰ,amméter
এম্পিয়াৰ,ampere
এম্পিয়াৰ-আইন,Ampere's rule
উভচৰ আয়ন,amphoteric ion
এম্প্লিফিকেশন,amplification
এম্প্লিফায়াৰ,amplifier
"কোণ, মাত্ৰা",amplitude
ক. এম ইউ. (পাৰমাণৱিক ভৰ একক),a. m. u. (atomic mass unit)
উপযুক্ত,analog (=analogue)
উপমা,analogy
বিশ্লেষক,analyser
বিশ্লেষণ,analysis
বিশ্লেষণাত্মক,analytical
নন-পইন্ট,anastigmatic
অস্বাভাৱিক,anastigmatism
আৰু দুৱাৰ,AND gate
অ-ধ্বনিযুক্ত,anechoic
বিষম স্থিতিস্থাপকতা,anelasticity
জলহীন,aneroid
কোণ,angle
angstrom একক,Angstrom unit
কৌণিক,angular
প্ৰট্ৰেক্টৰ vernier,angular vernier
বিতৰ্কহীন,anharmonic
অসন্মানজনক,anharmonicity
ৰঙীন চুম্বকীয়কৰণ,anhysteresis
শিথিলতা,anhysteretic
এনিয়ন,anion
অসমতাপূৰ্ণ,anisodimensional
সমতলীয়,anisotropic
সমচক্ৰীয়তা,anisotropy
মচি পেলোৱা,annihilation
ষড়যন্ত্ৰকাৰী,annunciator
এনোড,anode
এনোডাইজেচন,anodize
অসামঞ্জস্যপূৰ্ণ,anomalous
অপটিকেল চিষ্টেম,anoptic system
এন্টেনা,antenna
এন্টিবেৰিয়ান,antibaryon
এন্টি-বণ্ডিং বৈশিষ্ট্য,antibinding property
কাউণ্টাৰ বণ্ড,anitibonding
ৰিভাৰ্ছ পাৱাৰ,antiferroelectricity
ডাইমেগনেটিক,antiferromagnetic
ডাইমেগনেটিক পদাৰ্থ,antiferromagnetics
এন্টি-ইনফ্লেমেটৰী,antifoggant
এন্টিগ্ৰেভিটি,antigravity
এন্টিলামডা কণা,anti-lambda particle
এলিলেপ্টন,anti-lepton
ডাইমেগনেটিক,antimagnetic
এন্টিমেটাৰ,antimatter
এন্টি মিছাইল,antimissile
এন্টিনিউট্ৰন,antineutron
স্পন্দনশীল,antinode
এন্টিনিউক্লিয়ন,antinucleon
এন্টিপাৰটিকেল,antiparticle
এন্টিপ্ৰ&#39;টন,antiproton
এন্টিৰিফ্লেক্টিভ,antireflection
এন্টিসিমেট্ৰিক,antisymmetric
non recurring,aperiodical
এনাক্ৰ&#39;নিজম,aperiodicity
ছিদ্ৰযুক্ত স্কেনিং ডিস্ক,apertural disc
দ্বাৰক,aperture
"ওপৰ, ওপৰ, সন্মুখ",apex
"সূৰ্য্য উচ্চ, উচ্চ সূৰ্য্য",aphelion
উদাসীন জৰী,aplanat
অকৰুণ,aplanatic
অ-অক্ষমতা,aplanatism
অতি ৰংহীন,apochromatic
"ভূমি-উচ্চ, apogee",apogee
"অমেৰু, বৃত্তাকাৰ",apolar
পেৰাপোলাৰিটি,apolarity
সঁজুলি,apparatus
"ভাৰ্চুৱেল, দৃশ্যমান",apparent
দৃশ্যমান সূৰ্য্য,apparent sun
দৃশ্যমান সময়,apparent time
উদীয়মান ৰূপ,appearance
দৰ্খাস্ত,appliance
প্ৰযোজ্যতা,applicability
প্ৰয়োগ কৰা হৈছে,applied
পৰ্যবেক্ষণযোগ্য,appreciable
পদ্ধতি,approach
"ওচৰত, প্ৰায়",approximate
আনুমানিককৰণ,approximation
বাষ্পৰ চাপ,aqueous tension
স্বেচ্ছামূলক,arbitrary
"চাপ চুলা, চাপ চুলা",arc furnace
আৰ্কিমিডিছৰ নিয়ম,Archimedes principle
স্থাপত্যৰ ধ্বনিবিজ্ঞান,architectural acoustics
চাপ লেম্প,arc lamp
চাপ-বৰ্ণালী,arc spectrum
"এলেকা, এলেকা",area
"আঞ্চলিক, আঞ্চলিক",areal
"বাহু, বাহু, শাখা",arm
অপেশাদার,armature
"এৰে, এৰে",array
ৰিচিভাৰ,arrester
উচ্চাৰণৰ স্পষ্টতা,articulation
কৃত্ৰিম,artificial
কৃত্ৰিম ৰূপান্তৰ,artificial transmutation
আৰোহী,ascending
আৰোহণ,ascension of the star
বগাই যোৱা,ascent
আগোলি,aspheric
একত্ৰীকৰণ,aspherizing
set of,assemblage
"একত্ৰিত কৰা, একত্ৰিত কৰা",assemble
"একত্ৰিত কৰা, একত্ৰিত কৰা, একত্ৰিত কৰা",assembly (=assemblage)
নিখুঁত অনুমান,assessment of accuracy
নিৰ্দিষ্ট (কোৱাণ্টাম সংখ্যাৰ) ধাৰ্য্যকৰণসমূহ,assigned assignment (of quantum numbers)
"সম্পৰ্কীয়, সংযুক্ত, সংযুক্ত",associated
স্বৰধ্বনি,assonance
স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ,astable multivibrator (=free running multivibrator)
এষ্টেনিক,astatic
"বিৰতি, দৃষ্টিশক্তি",astigmatism
মহাকাশ ভ্ৰমণ ইলেক্ট্ৰনিকছ,astrionics
জ্যোতিৰ্পদাৰ্থ বিজ্ঞান,astrometry
মহাকাশচাৰী,astronaut
জ্যোতিৰ্বিজ্ঞানী,astronomer
আকাশী,astronomical
জ্যোতিৰ্বিজ্ঞান,astronomy
জ্যোতিৰ্পদাৰ্থ বিজ্ঞান,astrophysics
অসমতাপূৰ্ণ,asymmetrical
এছিম্পটটিক,asymptote
গুৰুতৰ কৰি তোলা,asymptotic
এচিনক্ৰ&#39;নাছ,asynchronous
"বায়ুমণ্ডল, বায়ুমণ্ডল",atmosphere
বায়ুমণ্ডলীয়,atmospheric
বতাহৰ অস্থিৰতা,atmospherics
পাৰমাণৱিক,atom
পাৰমাণৱিক,atomic
পাৰমাণৱিকতা,atomicity
পাৰমাণৱিক ভৰ,atomic mass
পাৰমাণৱিক সংখ্যা,atomic number
"নিউক্লিয়াৰ ৰিয়েক্টৰ, নিউক্লিয়াৰ পাইল",atomic reactor (=atomic pile)
পাৰমাণৱিক,atomistic
কণা,atomization
কণা,atomizer
"attenuation, ক্ষীণকৰণ",attenuation
"attenuating, ক্ষীণ কৰা",attenuator
আকৰ্ষণ,attraction
আকৰ্ষণৰ বল,attractive forces
শ্ৰৱণ ক্ষমতা,audibility
অডিঅ&#39; ফ্ৰিকুৱেন্সি এম্প্লিফায়াৰ,audio-amplifier
শ্ৰৱণযোগ্য,audio
অডিঅ&#39; জেনেৰেটৰ,audio generator
শ্ৰৱণ ক্ষমতা গ্ৰাফ,audiogram
শ্ৰৱণ বিজ্ঞান,audiology
অডিঅ&#39;মিটাৰ,audiometer
শ্ৰৱণযোগ্য কম্পাঙ্ক দোলক,audio oscillator
শব্দ সংকেত,audio signal
দৃশ্য-শ্ৰাব্য,audiovisual
"অডিটৰিয়াম, অডিটৰিয়াম",auditorium
OZ প্ৰভাৱ,Auger effect
প্ৰচাৰ,augmentation
এনহান্সাৰ,augmentor
মেৰু শিখা,aurora
দক্ষিণ মেৰু শিখা,aurora australis
উত্তৰ মেৰু শিখা,aurora borealis
স্বয়ংক্ৰিয় সতৰ্কবাণী,autoalarm
অটো সমান্তৰালকাৰী,autocollimator
"স্বয়ংক্ৰিয়, স্বয়ংক্ৰিয়, স্বয়ংক্ৰিয়",automatic
"স্বয়ংক্ৰিয়কৰণ, স্বয়ংক্ৰিয়কৰণ",automation
"সহায়ক, সমবায়, অতিৰিক্ত",auxiliary
"অৱদাভা, হিমস্খলন",avalanche
"mean, mean",average
পৰিৱৰণ,avoidance
অক্ষীয়,axial
অক্ষ,axis
এজিমুথ,azimuth
এজিমুথ,azimuthal
পিছলৈ,back
"পটভূমি,পটভূমি",background
"পিছপৰা, পিছপৰা",backlash
ঘুৰা,backout
বেক ভল্টেজ পালছাৰ,back swing voltage pulser
সম্পৰ্কৰ পিছৰ,back to back connection
ৰিইম্বৰ্চেমেণ্ট,back up
এন্টি ভল্টেজ,back voltage (Freverse voltage)
পশ্চাৎ বিক্ষিপ্ততা,backward scattering
অন্তৰ্স্থলীৰ তৰংগ,back wave (=spacing wave)
ইনচুলেটৰ,bad conductor
পেৰাচুট জাম্প,bail out
উত্তাপন কৰা,bakeout
"ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য",balance
বেলেন্সাৰ,balancer
ভাৰসাম্যতা বজাই ৰখা,balancing
গ্ল&#39;বুল,ball ended magnet
"বেলিষ্টিক, বেলিষ্টিক",ballistic
"প্ৰজেকচন গেলভেন’মিটাৰ, প্ৰজেকচন গেলভেন’মিটাৰ",ballistic galvanometer
মিছাইল,ballistic missile
"বেলিষ্টিক, অস্ত্ৰ-শস্ত্ৰ",ballistics
প্ৰক্ষেপণ,ballistic throw
মুক্ত ট্ৰেজেক্টৰী,ballistic trajectory
"বেলুন, বেলুন",balloon
বালমাৰ বিচ্ছিন্নতা,Balmer discontinuity
"বেণ্ড, বেণ্ড, বেণ্ড",band
ফুটা,bang
"array, beam, তীৰ, পাৰ, উপকূল",bank
"স্তম্ভ, বাৰ, কব, ব্লক, বাৰ, ৰড, বাৰ, ৮.বেৰ, ৯. ৰেখা, ১০. প্ৰান্ত, ১ ব্লক, ১, বাৰ, ১, ৰেখা, ১, পৰীক্ষা ৰেখা",bar
bardeen নীতি,Bardeen theory
barkhausen প্ৰভাৱ,Barkhausen effect
barlow চক্ৰ,Barlow's wheel
বাৰ চুম্বক,bar magnet
ভঁৰাল,barn
বায়ুৰ চাপৰ গ্ৰাফ,barogram
"বেৰ&#39;গ্ৰাফ, বেৰ&#39;গ্ৰাফ",barograph
বেৰ&#39;মিটাৰ,barometer
বায়ুমণ্ডলীয় চাপ,barometry
"ব্ৰহ্মাণ্ড, বেৰ&#39;স্ফিয়াৰ",barosphere
পেণ্ডুলাম,bar pendulum
"বাধা, পাৰমাণৱিক বাধা, পাৰমাণৱিক বাধা",barrier
বাধাৰ স্তৰ,barrier layer (rectifier)=blocking layer -depletion layer =space charge layer
barion,baryon
গুৰুমণ্ডল,barysphere
বেচ বেণ্ড,base band
"মৌলিক, মৌলিক, ক্ষাৰকীয়",basic
ভেঁটি,basis
"গণনা, দল গঠন",batching
"cistern, cistern, হিটাৰ, গৰম কৰা পাত্ৰ, গা ধোৱা",bath
বেটাৰি,battery
"এৰে খণ্ড, কক্ষ, উপসাগৰ",bay
প্ৰদৰ্শন,B-display
কিবান,beacon
"মণিকা, বিড",bead
"ৰশ্মি, ৰশ্মি, ৰশ্মি, ট্রাম্প",beam
"ডিকমন, ডিকন",bearing
"ডোলে, ভিস্পেণ্ড",beat
becquerel প্ৰভাৱ,Becqueral effect
ঘণ্টা জাৰ,bell jar
bellows,bellow
ঘণ্টা ঘড়ী,bell shaped
"বেদিকা, বেঞ্চ",bench
"মোড, বাংক (সম্পা.), বেণ্ড (v.)",bend
বাংকন,bending
"bent, বেঁকা",bent
বাৰ্নৌলি-সমীকৰণ,Bernoulli's equation
ভিত্তি-ফলন,Bessel function
শ্ৰেষ্ঠ আঠাযুক্ততা,best fit
বিটা (খ),beta (भ्)
betatron,betatron
bethe মডেল,Bethe's model
বিভাট্ৰন,bevatron
BH বক্ৰ,B-H curve
দ্বিকোণীয়া,biangular
"bias, পক্ষপাতিত্ব",bias
দ্বি-অক্ষীয়,biaxial
বাইক্ৰ&#39;মেট কোষ,bichromate cell
অভ্যাৱতল,biconcave
ডাবল এন্টেনা,biconical aerial
দ্বি উত্তল,biconvex
"দ্বি-স্ফটিক, দ্বৈত-স্ফটিক",bicrystal
দ্বিমুখী মাইক্ৰ&#39;ফোন,bidirectional microphone
দ্বিপদ আৰ্হি,bifactor model
ডাইঅ&#39;ইচিয়াছ,bifilar
দ্বিপাক্ষিক,bilateral
দ্বিৰেখা,bilinear
দ্বি আণৱিক,bimolecular
"দ্বি-চলক, দ্বি-ভিত্তিক, দ্বৈত",binary
"বাইনাৰী ক&#39;ড, বাইনাৰী ক&#39;ড",binary code
গেম ষ্টাৰ,binary star
বাইনাৰী পদ্ধতি,binary system
biparietal,binaural
বান্ধোন,binding
"বাইনোকুলাৰ, বাইনোকুলাৰ",binocular
বাইনাৰী,binode
দ্বিপদ বিতৰণ,binomial distribution
"দ্বিকেন্দ্ৰীয়, দ্বিকেন্দ্ৰীয়, দ্বি-নিউক্লিয়েট",binuclear
জৈৱগতিবিদ্যা,biodynamics
বায়&#39; ইলেক্ট্ৰনিক্স,bioelectronics
জৈৱপদাৰ্থবিজ্ঞানী,biophysicist
জৈৱপদাৰ্থ বিজ্ঞান,biophysics
জৈৱিক উপগ্ৰহ,biosatellite
"চিনেমাটোগ্ৰাফাৰ, বায়স্কোপ",bioscope
বায়&#39;-ছাভাৰ্ট নিয়ম,Biot-Savart'law
দ্বিফেজিক কাৰেণ্ট,biphase current
ডাইপোল,bipolar
"বাইপ্ৰিজম, বাইপ্ৰিজম",biprism
"বাইকোৱাৰ্টছ, বাইকোৱাৰ্ট",biquartz
দ্বিপৰ্যায়ৰ আখৰ,bistable characteristics
দুটা পৰ্যায়ৰ মাল্টিভাইব্ৰেটৰ,bistable multivibrator
"ড্ৱায়াংক* (বাইনাৰী সংখ্যা), বাৰ্মিজ, অনি, টুক",bit
"ক&#39;লা, কৃষ্ণ",black
ক&#39;লা শৰীৰ,black body
অদৃশ্য পোহৰ,black light
timirayan ৰেডিঅ&#39; timirayan,black out
ইজেকচন পালছ,black out pulse (=blanking pulse)
end bias,black out voltage (=cut of bias)
ক&#39;লা বিকিৰণ,black radiation
"অসম্পূৰ্ণ, খালী",blank
আৱৰণ,blanketing
বাতিল কৰা,blanking
"বিস্ফোৰণ, বিস্ফোৰণ, ধুমুহা",blast
"সবিকা, ব্লিডাৰ, সবি",bleeder
"ছদ্মবেশত, অন্ধ",blind
ব্লকৰ উপপাদ্য,Bloch theorem
"ব্লক, ব্লক, ব্লক",blocking
"blow, blow, আঘাত কৰা",blow
নীলা প্ৰিন্ট,blue print
অস্পষ্টতা বৃত্ত,blur circle
তৰংগ,blurred
"বল, গোলক, লকেট",bob
"শৰীৰ, বস্তু",body
শাৰীৰিক ক্ষমতা,body capacitance
কেন্দ্ৰীভূত,body centred
"শৰীৰ-তিৰ্যক, শেষ-তিৰ্যক",body diagonal
"bogie, অজ্ঞাত ধৰা পেলোৱা (ৰাডাৰ)",bogie
ব&#39;ৰ ইফেক্ট,Bohr effect
ব&#39;ৰ মেগনেটন,Bohr magneton
"বয়লাৰ, বয়লাৰ",boiler
"উতলা, উতলা",boiling
বোল্টছমেন সমীকৰণ,Boltzmann equation
বোমাৰু ইলেক্ট্ৰন,bombarding electron
"আঘাতজনিত শক্তি, বোমা বিস্ফোৰণ শক্তি",bombarding energy
বন্ধক,bond
"বণ্ডেড, বণ্ডেড, বণ্ডেড",bonding
এনহান্সাৰ,booster
বোৰন,boron
বস-কণা,Bose particle
ব&#39;চন,boson
"জোকাৰণি, জাম্প",bounce
বাধ্যতা,bound
"সীমা, সীমা (সম্পা.), প্ৰান্তীয় (v.)",boundary
বাধ্যতা,bound
ধনু ৰাশিৰ চোতাল,bow
পালতোলা ঢৌ,bow wave
বয়লাৰ গৰম কৰা,Boyle point
ল&#39;ৰাৰ আইন,Boyle's law
বয়লাৰ গৰম কৰা,Boyle' temperature
বন্ধনী-শ্ৰেণী,Bracket series
বেগ নিয়ম,Bragg law
আন্তঃসংলগ্ন তাঁৰ,braided wire
ব্ৰেক ক্লাছ,braking orbit
ব্ৰামা কম্প্ৰেছাৰ,Bramah press
শাখা-প্ৰশাখা,branching
"ব্ৰেভ লেটিছ, ব্ৰেভ লেটিছ",Bravais lattice
ব্ৰাছ ব্ৰেজিং,braze
ছেভাৰেন্স,break
সংযোগকাৰী ভাঙি পেলাওক,break contact
"ফ্ৰেক্টৰ ডাইঅ’ড, জেনাৰ ডাইঅ’ড",breakdown diode
হাড়ভঙা,breaking
"ব্ৰীডাৰ ৰিয়েক্টৰ, ব্ৰীডাৰ নিউক্লিয়াৰ ফাৰ্নেচ, ব্ৰীডাৰ ফাৰ্নেচ",breeder reactor
প্ৰজনন,breeding
"ৰিটাৰ্ডেণ্ট ৰেডিয়চন, brastralung",bremsstrahlung
ব্ৰুষ্টাৰ-কোণ,Brewster angle
ব্ৰুষ্টাৰ ফ্ৰীজ,Brewster fringe
সেঁতু,bridge
দলং বন্ধন,bridging
"উজ্জ্বল, উজ্জ্বল, চকু কপালত তুলিব পৰা",bright
ইলুমিনেটৰ,brightening
ৰেডিয়েন্স,bright
"দ্যুতি, প্ৰভা",brightness
ব্ৰীলুৱান অঞ্চল,Brillouin zone
ব্ৰিটিছ ষ্টেণ্ডাৰ্ড মমবাতি,British Standard Candle
ভংগুৰ,brittle
ভংগুৰতা,brittleness
সম্প্ৰচাৰ,broadcasting
বিস্তৃত,broad
ৰেট্ৰ&#39;গ্ৰেড,broadside
ব্ৰগলি সূত্ৰ,Broglie formula
খণ্ডিত,broken
ব্ৰাউনি গতি,Brownian motion
"কুচি, বুৰুষ, কুৰ্চ, গুলম",brush
"বুদবুদ, বুদবুদ (ed.), mumble (v.)",bubble
effervescence,bubbling
প্ৰতিকাৰৰ ব্যৱস্থা,bucking
সংকোচন,buckling
"amp-প্ৰতিৰোধ, বাফাৰ",buffer
শব্দবিজ্ঞান,building acoustics
বৰধন,build up
বাল্ব,bulb
আবির্ভূত,bulging
"আয়তন, বাল্ক, ভৰ, ভৰ, আয়তন",bulk
আয়তন স্থিতিস্থাপকতা সহগ,bulk modulus
জনসংখ্যাৰ সম্পত্তি,bulk property
সৰ্বোচ্চ উষ্ণতা,bulk temperature
উখহি উঠা,bump (in a curve)
"bunch, bunch (n.), থুপ খাই থকা (ver.)",bunch
মুঠি,buncher
বুনচেন কোষ,Bunsen cell
প্লাৱন ক্ষমতা,buoy
"buoyancy, প্লাৱন ক্ষমতা",buoyancy
বাৰ্গাৰ চাৰ্কিট,Burger's circuit
চোৰৰ ঘণ্টা,burglar alarm
"বাৰ্নাৰ, ইগনিটাৰ",burner
সম্পূৰ্ণ ইগনিচন,burn out
"বিস্ফোৰণ, বিস্ফোৰণ, ফাট",burst
লাইন ব্যস্ত,busy line
ব্যস্ত সুৰ,busy tone
buzzer,buzzer
পাৰ হোৱা,bypass
বৰ্তনী,bypassing
"সাগৰৰ তাঁৰ, কেবল",cable
কেডমিয়াম,cadmium
চিজিয়াম-কোষ,caesium cell
পাঞ্জাৰ ডাইপোল,cage dipole
পাঞ্জাৰ ইফেক্ট,cage effect
গণনা কৰা,calculate
কেলকুলেটৰ,calculator
কেলেণ্ডাৰ,calendar
"মানাংকন, মানাংকন, পুনৰীক্ষণ",calibrate
"মানাংকন বহুগুণক, মানাংকন বহুগুণক",calibration factor
কেলিপাৰ,callipers
"কল কেলকুলেটৰ, টক কেলকুলেটৰ",call-meter
"তাপ (v.), কেলৰি (ed.)",caloric
"কেলৰিমিটাৰ, কেলৰিমিটাৰ",calorimeter
"কেলৰিমেট্ৰি, কেলৰিমেট্ৰি",calorimetry
কেমেৰা,camera
"কুল্যা কিৰণ, খাল কিৰণ",canal rays
কেণ্ডেলা,candela
"মমবাতি, মমবাতি",candle
canonical,canonical
কেন্টিলিভাৰ,cantilever
"টুপি, পোছাক (সম্পা.), ইন্টাৰলেচিং (v.)",cap
ধৰি ৰখা,capacitance
কেপাচিটৰ,capacitor
"কেপিলাৰিটি, কেপিলাৰিটি",capillarity
"কেপিলাৰী, কেপিলাৰী",capillary
কেপিলাৰী বল,capillary force
"কেপচুল, কেপচুল, কেপচুল",capsule
বন্দী কৰা,capture
কাৰ্বন ১৪ সময়সূচী,carbon 14 dating
"মৌলিক বিন্দু, কাৰ্ডিনেল সংখ্যা, গণনা সংখ্যা",cardinals
carno ৰ উপপাদ্য,Carnot's theorem
বাহক,carrier
কাৰ্টেচিয়ান অক্ষ,Cartesian axes
কাৰ্টিজ,cartridge
"সোপানী (ভ.), সোপানীপাট (সম্পা.)",cascade
অনুপ্ৰাণিত,catalysed
"বিপৰ্যয়, দুৰ্যোগ",catastrophe
লিমিটাৰ ডাইঅ&#39;ড,catching diode
"অৰ্থমিটাৰ,কেথেট&#39;মিটাৰ",cathetometer
কেথেট্ৰন,cathetron
কেথ&#39;ড,cathode
কেটিয়ন,cation
পোহৰ পৃষ্ঠা,caustic surface
কোটৰ,cavity
"প্ৰান্তীয়, আৱৰণ, ছেক্সন, সৰ্বোচ্চ সংখ্যা, আৱৰণ",ceiling
আকাশী,celestial
কোষ-ধ্ৰুৱক,cell constant
চিমেণ্টযুক্ত লেন্স,cemented lens
ধ্যান কেন্দ্ৰিত,centering
চেন্টিগ্ৰেড,centigrade
চেন্টিমিটাৰ,centimeter
চেণ্টিমিটাৰ-গ্ৰাম-ছেকেণ্ড পদ্ধতি,centimeter gram second system
"কেন্দ্ৰীয়, কেন্দ্ৰীয়",central
কেন্দ্ৰীয় সম্পদ একক,central processing unit (C.P.U)
কেন্দ্ৰ,centre
প্ৰান্তিককৰণ কেন্দ্ৰ,centre of collineation
মধ্যম ৰশ্মি,centric ray
centripetal,centripetal
নিউক্লিয়াছ,centroid
চিৰামিক,ceramic
গ. গ্ৰাম। পৰা. প্রণালী,c.g.s. system
ক্ৰমিক ক্ষয়,chain decay
"কোষ, কোঠা, কোঠা",chamber
"chance, chance, সুযোগ",chance
লৰৃ - চৰ হৈ থকা,changing
"চেনেল, চেনেল, চেনেল, জলপথ",channel
"চেনেলাইজেচন, চেনেলাইজেচন",channelling
"বিশৃংখলতা, বিশৃংখলতা",chaos
"চৰিত্ৰ, চৰিত্ৰ, চৰিত্ৰ",character
"বৈশিষ্ট্যপূৰ্ণ, বৈশিষ্ট্যপূৰ্ণ, বৈশিষ্ট্যপূৰ্ণ, সমগ্ৰ, বৈশিষ্ট্যপূৰ্ণ",characteristic
"চাৰ্জ, চাৰ্জ, চাৰ্জ, চাৰ্জ",charge
চাৰ্জাৰ,charger
পূৰ্ণ,charging
চাৰ্লছ আইন,Charles' law
"চাৰ্ট, চাৰ্ট",chart
খতিয়ান লোৱা,chasing
"আউটপোষ্ট, চেছিছ",chasis
"পৰীক্ষা, পৰীক্ষা",check
ৰাসায়নিক,chemical
কেমিলুমিনেচেন্স,chemi-luminescence
