Malayalam,Odiya
പിൻഭാഗത്തെ വികിരണം,ପରବର୍ତ୍ତୀ ବିକିରଣ |
ബാക്ക്വേർഡ് ഡയോഡ് / ബാക്ക്വേർഡ് ഡയോഡ്,ପଛୁଆ ଡାୟୋଡ୍ / ପଛୁଆ ଡାୟୋଡ୍ |
ബാക്ക്വേർഡ് വേവ് ഓസിലേറ്റർ,ପଛୁଆ ତରଙ୍ଗ ଓସିଲେଟର |
"തടസ്സം, തടസ്സം","ବାଧା, ବାଧା"
തടസ്സം,ବାଧା
സമതുലിതമായ പാലം,ସନ୍ତୁଳିତ ସେତୁ |
സമതുലിതമായ മോഡുലേറ്റർ,ସନ୍ତୁଳିତ ମଡ୍ୟୁଲେଟର
സമതുലിതമായ മോഡുലേറ്റർ,ସନ୍ତୁଳିତ ମଡ୍ୟୁଲେଟର
സമതുലിതമായ സർക്യൂട്ട്,ସନ୍ତୁଳିତ ସର୍କିଟ |
സമതുലിതമായ ഗ്രേഡിയന്റ് ഡിറ്റക്ടർ,ସନ୍ତୁଳିତ ଗ୍ରେଡିଏଣ୍ଟ ଡିଟେକ୍ଟର |
നിലവിലെ സ്റ്റെബിലൈസർ പ്രതിരോധം,ସାମ୍ପ୍ରତିକ ଷ୍ଟାବିଲାଇଜର୍ ପ୍ରତିରୋଧ |
ബൊലോമീറ്റർ,ବୋଲୋମିଟର |
ബോലോമീറ്റർ പാലം,ବୋଲୋମିଟର ବ୍ରିଜ୍ |
ബലൂണ്,ବେଲୁନ୍ |
ബനാന ജാക്ക്,ବାନା ଜ୍ୟାକ୍ |
ബനാന പ്ലഗ്,ବାନା ପ୍ଲଗ୍ |
"ബാൻഡ്, ബാൻഡേജ്","ବ୍ୟାଣ୍ଡ, ବ୍ୟାଣ୍ଡେଜ୍ |"
ബാൻഡ് ഡ്രൈവർ,ବ୍ୟାଣ୍ଡ ଡ୍ରାଇଭର |
ബാൻഡ് ഊർജ്ജം,ବ୍ୟାଣ୍ଡ ଶକ୍ତି
ബാൻഡ് വിടവ്,ବ୍ୟାଣ୍ଡ ଫାଙ୍କ |
ബാഡ്പാർക്ക് ആംപ്ലിഫയർ,ବ୍ୟାଡପାର୍କ ଏମ୍ପ୍ଲିଫାୟର୍ |
ബാൻഡ് പാസ് ഫിൽട്ടർ,ବ୍ୟାଣ୍ଡ ପାସ୍ ଫିଲ୍ଟର୍ |
ബോഡ് റേറ്റ് ജനറേറ്റർ,ବାଉଡ୍ ରେଟ୍ ଜେନେରେଟର |
ബാൻഡ് ഡിസ്പെർഷൻ,ବ୍ୟାଣ୍ଡଡିସପର୍ସନ |
ബാൻഡ് റെസിസ്റ്റർ,ବ୍ୟାଣ୍ଡ ପ୍ରତିରୋଧକ |
ബാൻഡ് ബ്രേക്കർ ഫിൽട്ടർ,ବ୍ୟାଣ୍ଡ ବ୍ରେକର୍ ଫିଲ୍ଟର୍ |
ബാൻഡ് വിപുലീകരണം,ବ୍ୟାଣ୍ଡ ବିସ୍ତାର
ബാൻഡ് റിമൂവർ ഫിൽട്ടർ,ବ୍ୟାଣ୍ଡ ରିମୁଭର୍ ଫିଲ୍ଟର୍ |
ബാൻഡ് എക്സ്പാൻഷൻ ഡിഫ്ലെക്ഷൻ മൾട്ടിപ്ലയർ,ବ୍ୟାଣ୍ଡ ବିସ୍ତାର ଡିଫ୍ଲେକ୍ସନ୍ ମଲ୍ଟିପ୍ଲାଏର୍ |
ബാൻഡ് എക്സ്റ്റൻഷൻ ഡിസ്റ്റൻസ് മൾട്ടിപ്ലയർ,ବ୍ୟାଣ୍ଡ ବିସ୍ତାର ଦୂରତା ଗୁଣକର୍ତ୍ତା |
"ബീം കപ്പാസിറ്റർ, ബാങ്ക് കപ്പാസിറ്റർ","ବିମ୍ କ୍ୟାପେସିଟର, ବ୍ୟାଙ୍କ କ୍ୟାପେସିଟର |"
"ബാർക്കർ കോഡ്, ബാർക്കർ കോഡ്","ବାର୍କର୍ କୋଡ୍, ବାର୍କର୍ କୋଡ୍ |"
barravaugen മാനദണ്ഡം,ବାରଭାଉଗେନ୍ ମାନଦଣ୍ଡ |
ബാരേറ്റർ,ବ୍ୟାରେଟର୍
തടസ്സം,ପ୍ରତିବନ୍ଧକ |
ഇൻസുലേറ്റിംഗ് കപ്പാസിറ്റർ,ଇନସୁଲେଟିଂ କ୍ୟାପେସିଟର୍ |
തടസ്സം ഊർജ്ജം,ପ୍ରତିବନ୍ଧକ ଶକ୍ତି |
റെസിസ്റ്റർ വോൾട്ടേജ്,ପ୍ରତିରୋଧକ ଭୋଲଟେଜ୍ |
ബാർട്ട്ലെറ്റ് വിൻഡോ,ବାର୍ଟଲେଟ୍ ୱିଣ୍ଡୋ |
"അടിസ്ഥാനം, അടിസ്ഥാനം","ଆଧାର, ଆଧାର"
അടിസ്ഥാന ബാൻഡ്,ବେସ୍ ବ୍ୟାଣ୍ଡ |
അടിസ്ഥാന ബാൻഡ് ട്രാൻസ്മിഷൻ,ବେସ୍ ବ୍ୟାଣ୍ଡ ଟ୍ରାନ୍ସମିସନ୍ |
അടിസ്ഥാന ചാർജ്,ଆଧାର ଚାର୍ଜ |
അടിസ്ഥാന കറന്റ്,ମୂଳ କରେଣ୍ଟ୍ |
അടിസ്ഥാന നിലവിലെ ഉറവിടം,ମୂଳ ସାମ୍ପ୍ରତିକ ଉତ୍ସ |
അടിസ്ഥാന കത്രിക,ମୂଳ କାଟିବା |
ആധാർ മദൻ,ଆଧାର ମଦନ
അടിസ്ഥാന എമിറ്റർ ഫീഡ്,ବେସ୍ ଏମିଟର ଫିଡ୍ |
അടിസ്ഥാന എമിറ്റർ ജംഗ്ഷൻ,ବେସ୍ ଏମିଟର ଜଙ୍କସନ |
അടിസ്ഥാന കുത്തിവയ്പ്പ്,ମୂଳ ଇଞ୍ଜେକ୍ସନ୍ |
ഗ്രൗണ്ട് ലൈൻ,ଭୂମି ରେଖା
അടിസ്ഥാന പ്രതിരോധം,ମୂଳ ପ୍ରତିରୋଧ |
അടിസ്ഥാന ഉറവിടം,ମୂଳ ଉତ୍ସ |
അടിസ്ഥാന വിപുലീകരണ പ്രതിരോധം,ଆଧାର ବିସ୍ତାର ପ୍ରତିରୋଧ |
അടിസ്ഥാന വിപുലീകരണ പ്രതിരോധം,ଆଧାର ବିସ୍ତାର ପ୍ରତିରୋଧ |
അടിസ്ഥാന കനം,ମୂଳ ଘନତା |
അടിസ്ഥാന പ്രവേശനം,ଆଧାର ପ୍ରବେଶ
"ബേസ് വിഡ്ത്ത് മോഡുലേഷൻ, ബേസ് എക്സ്പാൻഷൻ മോഡുലേഷൻ","ବେସ୍ ଓସାର ମଡ୍ୟୁଲେସନ୍, ବେସ୍ ବିସ୍ତାର ମଡ୍ୟୁଲେସନ୍ |"
അടിസ്ഥാന കളക്ടർ ഉടമ്പടി,ଆଧାର ସଂଗ୍ରହକାରୀ ଚୁକ୍ତି |
മണം,ଗନ୍ଧ
ബാസ് ആവൃത്തി,ବାସ୍ ଫ୍ରିକ୍ୱେନ୍ସି |
ബാറ്ററി,ବ୍ୟାଟେରୀ
ബൗഡ്,baud
ബാഡ് നിരക്ക്,ବାଉଡ୍ ହାର
ബോഡ് റേറ്റ് ജനറേറ്റർ,ବାଉଡ୍ ରେଟ୍ ଜେନେରେଟର |
ബോഡോ കോഡ്,ବୋଡୋ କୋଡ୍ |
"സിഗ്നൽ, ബീക്കൺ","ସଙ୍କେତ, ବିକନ୍ |"
"മാണിക, ബീഡ്","ମାଣିକା, ବିଡ୍ |"
മാനിക് കപ്പാസിറ്റർ,ମାଣିକ କ୍ୟାପେସିଟର୍ |
മണികർത്താപി റെസിസ്റ്ററുകൾ,ମାଣିକାର୍ଟାପି ପ୍ରତିରୋଧକ |
"ബീം ആന്റിന, ബീം ആന്റിന","ବିମ୍ ଆଣ୍ଟେନା, ବିମ୍ ଆଣ୍ଟେନା |"
ബീം ഡിറ്റക്ടർ,ବିମ୍ ଡିଟେକ୍ଟର୍ |
ബീം പവർ ഹോസ്,ବିମ୍ ପାୱାର୍ ହୋସ୍ |
ബീം സ്വിച്ചിംഗ് നോസിലുകൾ,ବିମ୍ ସୁଇଚ୍ ନୋଜଲ୍ |
ബീം വികാസം,ବିମ୍ ବିସ୍ତାର
അടി ആവൃത്തി,ଫ୍ରିକ୍ୱେନ୍ସି
ബീറ്റ്-ഫ്രീക്വൻസി ഓസിലേറ്റർ,ବିଟ୍-ଫ୍ରିକ୍ୱେନ୍ସି ଓସିଲେଟର |
പൾസ് ഓസിലേറ്റർ,ନାଡ ଓସିଲେଟର |
മണി,ବେଲ୍ |
വളയുന്ന നഷ്ടം,ନମ୍ର କ୍ଷତି |
ബെസൽ ഫിൽട്ടർ,ବେସେଲ୍ ଫିଲ୍ଟର୍ |
ബീറ്റ,ବିଟା |
b-h വക്രം,b-h ବକ୍ର
"പക്ഷപാതം, പക്ഷപാതം","ପକ୍ଷପାତ, ପକ୍ଷପାତ |"
ബയസ് കറന്റ്,ପକ୍ଷପାତ କରେଣ୍ଟ |
പക്ഷപാത പ്രതിരോധം,ପକ୍ଷପାତ ପ୍ରତିରୋଧ |
ഇരട്ട ആന്റിന,ଡବଲ୍ ଆଣ୍ଟେନା |
ദ്വിദിശ ലോഡ് കറന്റ്,ଦ୍ୱି-ଦିଗୀୟ ଲୋଡ୍ କରେଣ୍ଟ୍ |
ദ്വിദിശ ആന്റിന,ଦ୍ୱି-ଦିଗୀୟ ଆଣ୍ଟେନା |
ദ്വിദിശ പ്രകാശം പുറപ്പെടുവിക്കുന്ന ഡയോഡ്,ଦ୍ୱି-ଦିଗୀୟ ଆଲୋକ ନିର୍ଗତ ଡାୟୋଡ୍ |
ദ്വിദിശയിലുള്ള തൈറിസ്റ്റർ,ଦ୍ୱି-ଦିଗୀୟ ଥିରିଷ୍ଟର |
bi FET സാങ്കേതികവിദ്യ,bi FET ଟେକ୍ନୋଲୋଜି |
ബൈ പോയിന്റ് ട്രാൻസ്ഫോർമർ,ବି ପଏଣ୍ଟ ଟ୍ରାନ୍ସଫର୍ମର |
ഇരട്ട സംയോജനം,ଡବଲ୍ ଫ୍ୟୁଜନ୍ |
ഉഭയകക്ഷി സർക്യൂട്ട്,ଦ୍ୱିପାକ୍ଷିକ ସର୍କିଟ |
ബൈനറി,ବାଇନାରୀ
ബൈനറി തുക,ବାଇନାରୀ ରାଶି
ബൈനറി സർക്യൂട്ട്,ବାଇନାରୀ ସର୍କିଟ |
ബൈനറി കോഡ് ചെയ്ത ദശാംശം,ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |
ബൈനറി കോഡഡ് ഡെസിമൽ സിസ്റ്റം,ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ ସିଷ୍ଟମ୍ |
ബൈനറി ദ്വിധ്രുവ കപ്പാസിറ്റർ,ବାଇନାରୀ ଡିପୋଲ୍ କ୍ୟାପେସିଟର୍ |
ബൈനറി കാൽക്കുലേറ്റർ,ବାଇନାରୀ କାଲକୁଲେଟର
ബൈനറി കാൽക്കുലേറ്റർ,ବାଇନାରୀ କାଲକୁଲେଟର
ബൈനറി ഡീകോഡർ,ବାଇନାରୀ ଡିକୋଡର୍ |
ബൈനറി ഗോവണി,ବାଇନାରୀ ସିଡ଼ି |
ബൈനറി പാത്തോമീറ്റർ,ବାଇନାରୀ ପାଥୋମିଟର |
ബൈനറി അവസ്ഥ,ବାଇନାରୀ ଅବସ୍ଥା |
ബൈനറി-ഡെസിമൽ ഡീകോഡർ,ବାଇନାରୀ-ଦଶମିକ ଡିକୋଡର୍ |
ബൈനറി ലോഡ്,ବାଇନାରୀ ଲୋଡ୍ |
ബൈനറി വാക്കുകൾ,ବାଇନାରୀ ଶବ୍ଦ |
ബൈപോളാർ,ଦ୍ୱିପାକ୍ଷିକ
ബൈപോളാർ കപ്പാസിറ്റർ,ଦ୍ୱିପାକ୍ଷିକ କ୍ୟାପେସିଟର୍ |
ബൈപോളാർ ഉപകരണം,ଦ୍ୱିପାକ୍ଷିକ ଉପକରଣ |
ബൈപോളാർ ഉറവിടം,ଦ୍ୱିପାକ୍ଷିକ ଉତ୍ସ |
ബൈപോളാർ ട്രാൻസിസ്റ്റർ,ଦ୍ୱିପାକ୍ଷିକ ଟ୍ରାନଜିଷ୍ଟର |
ബൈപോളാർ ജംഗ്ഷൻ ട്രാൻസിസ്റ്റർ,ଦ୍ୱିପାକ୍ଷିକ ଜଙ୍କସନ୍ ଟ୍ରାନଜିଷ୍ଟର |
ക്വാഡ്രാറ്റിക് ഫിൽട്ടർ,ଚତୁର୍ଭୁଜ ଫିଲ୍ଟର୍ |
ഇരട്ട സ്ഥാനം,ଡବଲ୍ ପୋଜିସନ୍ |
രണ്ട്-ഘട്ട മൾട്ടിവൈബ്രേറ്റർ,ଦୁଇ ପର୍ଯ୍ୟାୟ ମଲ୍ଟିଭାଇବ୍ରେଟର |
ദ്വിദിശ റിലേ,ଦ୍ୱି-ଦିଗୀୟ ରିଲେ |
രണ്ട്-ഘട്ട സംസ്ഥാനം,ଦୁଇ ପର୍ଯ୍ୟାୟ ଅବସ୍ଥା |
രണ്ട്-സ്ഥാന ട്രിഗർ,ଦୁଇ-ଅବସ୍ଥାନ ଟ୍ରିଗର |
ബിറ്റ് പിശക്,ବିଟ୍ ତ୍ରୁଟି |
ബിറ്റ് പിശക് നിരക്ക്,ବିଟ୍ ତ୍ରୁଟି ହାର
ബിറ്റ് പിശക്,ବିଟ୍ ତ୍ରୁଟି |
ബിറ്റ്കാൽ പിശക്,ବିଟ୍କାଲ୍ ତ୍ରୁଟି |
അന്ധമായ പെട്ടി,ଅନ୍ଧ ବାକ୍ସ
ഘനീഭവിച്ച പൾസ്,ଘନୀଭୂତ ନାଡ |
സ്രഷ്ടാവ്,ସଚିବ
സ്രവിക്കുന്ന ഇൻഹിബിറ്റർ,ଗୁପ୍ତ ପ୍ରତିବନ୍ଧକ |
അന്ധത,ଅନ୍ଧତା
സെഗ്മെന്റ് ഡയഗ്രം,ବିଭାଗ ଚିତ୍ର
തടസ്സം തടയൽ,ପ୍ରତିବନ୍ଧକକୁ ଅବରୋଧ କରିବା |
ശകലം കൈമാറ്റം,ଖଣ୍ଡ ସ୍ଥାନାନ୍ତର |
തടസ്സപ്പെടുത്തുക,ବାଧା
തടയൽ കപ്പാസിറ്റർ,ପ୍ରତିରୋଧକ କ୍ୟାପେସିଟର |
റെസിസ്റ്റർ കപ്പാസിറ്റർ,ପ୍ରତିରୋଧକ କ୍ୟାପେସିଟର |
തടയുന്ന ഓസിലേറ്റർ,ଓସିଲେଟରକୁ ଅବରୋଧ କରିବା |
തടയുന്ന ഓസിലേറ്റർ,ପ୍ରତିରୋଧକ ଓସିଲେଟର |
റെസിസ്റ്റർ വോൾട്ടേജ്,ପ୍ରତିରୋଧକ ଭୋଲଟେଜ୍ |
ഊതുന്നയാൾ,ବ୍ଲୋଅର୍ |
ബോഡ് ഡയഗ്രം,ବୋଡ ଚିତ୍ର
വോൾട്ട്സ്മാൻ ബന്ധം,voltzmann ସମ୍ପର୍କ
വോൾട്ട്സ്മാൻ സ്ഥിരാങ്കം,voltzmann ସ୍ଥିର |
ബോണ്ട്,ବନ୍ଧନ
ബന്ധിത സ്ട്രെയിൻ ഗേജ്,ବନ୍ଧା ହୋଇଥିବା ଷ୍ଟ୍ରେନ୍ ଗେଜ୍ |
സ്വയം പിന്തുണയ്ക്കുന്ന ആംപ്ലിഫയർ,ସ୍ୱୟଂ ଚାଳିତ ଏମ୍ପ୍ଲିଫାୟର୍ |
ബൂളിയൻ ബീജഗണിതം,ବୁଲିଅନ୍ ବୀଜ ବିବେଚନା |
ബൂളിയൻ സമവാക്യം,ବୁଲିଅନ୍ ସମୀକରଣ |
ബൂട്ട് സ്ട്രാപ്പൺ,ବୁଟ୍ ଷ୍ଟ୍ରାପନ୍ |
ബൂത്തിന്റെ അൽഗോരിതം,ବୁଥ୍ ର ଆଲଗୋରିଦମ |
ബൂട്ട്സ്ട്രാപ്പ് പ്രിസം സർക്യൂട്ട്,ବୁଟ୍ ଷ୍ଟ୍ରାପ୍ ପ୍ରିଜିମ୍ ସର୍କିଟ୍ |
bosscutts ഭരണം,ବସ୍କଟ୍ ନିୟମ |
ബോസ്-ചൗധരി ഹോക്കൻഹാം (BCH) കോഡ്,ବୋଷ-ଚ owd ଧୁରୀ ହକେନହମ୍ (BCH) କୋଡ୍ |
"ചാടുക, ചാടുക","ଡେଇଁବା, ଡେଇଁବା |"
ബന്ധിത ഇലക്ട്രോൺ,ବନ୍ଧା ଇଲେକ୍ଟ୍ରନ୍ |
ബ്രാഗ് റിഫ്ലക്ടർ,ଗର୍ବ ପ୍ରତିଫଳକ |
ഇഴചേർന്ന വയർ,ଅନ୍ତର୍ନିହିତ ତାର
ശാഖ,ଶାଖା
ശാഖകൾ,ଶାଖା
പരീക്ഷണ ബോർഡ്,ପରୀକ୍ଷଣ ବୋର୍ଡ |
ബ്രേക്ക് സോൺ,ବ୍ରେକ୍ ଜୋନ୍ |
ബ്രേക്കിംഗ് വോൾട്ടേജ്,ଭୋଲଟେଜ୍ ଭାଙ୍ଗିବା |
ബ്രേക്ക്ഡൗൺ ഡയോഡ്,ବ୍ରେକଡାଉନ୍ ଡାୟୋଡ୍ |
ഒടിവ് പരിഹരിക്കൽ,ଭଙ୍ଗା ଫିକ୍ସିଂ |
ബ്രേക്കിംഗ് വോൾട്ടേജ്,ଭୋଲଟେଜ୍ ଭାଙ୍ଗିବା |
പാലം,ସେତୁ
പാലം റക്റ്റിഫയർ,ବ୍ରିଜ୍ ରେକ୍ଟିଫାୟର୍ |
വിശാലമായ ബാൻഡ്,ପ୍ରଶସ୍ତ ବ୍ୟାଣ୍ଡ |
ബ്രോഡ്കാസ്റ്റ് ബാൻഡ്,ପ୍ରସାରଣ ବ୍ୟାଣ୍ଡ |
ആസ്ട്രൽ അറേ,ଜ୍ୟୋତିଷ ଆରେ |
പ്രക്ഷേപണം,ପ୍ରସାରଣ
ബ്രോഡ്കാസ്റ്റ് ആന്റിന,ପ୍ରସାରଣ ଆଣ୍ଟେନା |
ബ്രോഡ്കാസ്റ്റ് റിസീവർ,ପ୍ରସାରଣ ରସିଦ |
