Marathi,Assamese
गृहीत संभाव्यता वितरण,ধাৰণা কৰা সম্ভাৱনা বিতৰণ
"कल्पना केली, स्वीकारली,","কল্পনা কৰা, স্বীকাৰ কৰা"
ज्योतिष,জ্যোতিষ বিজ্ঞান
"अंतराळ अभियंता अंतराळ अभियंता,",মহাকাশ অভিযন্তা মহাকাশ অভিযন্তা
खगोलशास्त्रज्ञ*,জ্যোতিৰ্বিজ্ঞানী*
खगोलशास्त्रीय घड्याळ,জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী
खगोलशास्त्र,জ্যোতিৰ্বিজ্ঞান
असममित वक्र,অসমতাপূৰ্ণ বক্ৰ
विषमता,বিষমতা
लक्षणे नसलेला,এছিম্পটটিক
त्रासदायक,গুৰুতৰ কৰি তোলা
प्रगतीशील अंदाजक,প্ৰগতিশীল অনুমানক
प्रतिगामी पक्षपाती अनुमानक,ৰেট্ৰ&#39;গ্ৰেড পক্ষপাতমূলক অনুমানক
प्रतिगामी आचरण,ৰেট্ৰ&#39;গ্ৰেড আচৰণ
आक्रमक वितरण कार्य,আক্ৰমণাত্মক বিতৰণ ফলন
वर पसरलेला,ওপৰলৈ বিয়পি পৰা
वातावरणाचा दाब,বায়ুমণ্ডলীয় চাপ
"यादृच्छिकपणे,",যাদৃচ্ছিকভাৱে
मालमत्ता*,গুণ*
विशेषता-नमुना-यंत्रणा,বৈশিষ্ট্য-নমুনা-ব্যৱস্থা
संवर्धित मॅट्रिक्स,বৰ্ধিত মেট্ৰিক্স
स्वयंसंबंध गुणांक,স্ব-সম্বন্ধ সহগ
स्वयंसंबंध कार्य,স্বয়ংসম্বন্ধ কাৰ্য্য
सहप्रसरण,সহাৱস্থান
स्वयंचलित संगणक,স্বয়ংক্ৰিয় কম্পিউটাৰ
ऑटोरिग्रेशन,অটোৰিগ্ৰেছন
सहाय्यक समीकरण,সহায়ক সমীকৰণ
सरासरी नमुना क्रमांक वक्र (MPC वक्र),গড় নমুনা সংখ্যা বক্ৰ (MPC বক্ৰ)
"स्वयंसिद्ध, स्वयंसिद्ध","স্বতন্ত্ৰ, স্বতন্ত্ৰ"
स्वयंसिद्ध दृष्टीकोन,স্বতন্ত্ৰ পদ্ধতি
संभाव्यता स्वयंसिद्ध,সম্ভাৱনা স্বতন্ত্ৰতা
अक्ष,অক্ষ
भुजक्षा,ভূজাক্ষ
पृथ्वीचा अक्ष,পৃথিৱীৰ অক্ষ
रोटेशन अक्ष,ঘূৰ্ণন অক্ষ
रोटेशन अक्ष,ঘূৰ্ণন অক্ষ
फिरकी अक्ष,স্পিন অক্ষ
पोस्ट बदली,পোষ্ট সলনি কৰা
नंतर,পাছত
बॅक इन्सर्टेशन फॉर्म्युला,পিছলৈ সন্নিৱিষ্ট কৰা সূত্ৰ
"शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक","ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য"
संतुलित डिझाइन,সুষম ডিজাইন
ताळेबंद,বেলেন্স শ্বীট
क्षेपणास्त्र,মিছাইল
"बॅलिस्टिक्स, शस्त्रे","বেলিষ্টিক, অস্ত্ৰ-শস্ত্ৰ"
"स्तंभ, बार, कोब, बार, बार, बार, बार, बार, बार, रेषा, रेषा, चाचणी रेषा, किनार","স্তম্ভ, ৰড, কব, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, ৰেখা, ৰেখা, পৰীক্ষা ৰেখা, প্ৰান্ত"
"बेस, बेस, बेस, बेस, बेस","ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি"
बेस कोन,ভিত্তি কোণ
"लॉगरिथमचा आधार, लॉगरिथमचा आधार","লগাৰিদমৰ ভিত্তি, লগাৰিদমৰ ভিত্তি"
"मूलभूत, मूलभूत,","মূল, মৌলিক"
बेस सुसंगत उपाय,ভিত্তি সুসংহত সমাধান
बेस सोल्यूशन,ভিত্তি দ্ৰৱণ
बेस व्हेरिएबल,ভিত্তি চলক
पाया,ভেঁটি
मूळ घटक,ভিত্তি উপাদান
बेस मॅट्रिक्स,ভিত্তি মেট্ৰিক্স
वेक्टर स्पेसचा पाया,ভেক্টৰ স্থানৰ ভিত্তি
उपलोकसंख्या आधार,উপজনসংখ্যাৰ ভিত্তিত
बेईमान,অসাধু
bez-नियम,bez-নিয়ম
bez-प्रमेय,bez- উপপাদ্য
bernoulli-वितरण,bernoulli-বিতৰণ
बर्नौली क्रमांक,বাৰ্নৌলিৰ সংখ্যা
बर्नौली संभाव्यता कार्य,বাৰ্নৌলি সম্ভাৱনা ফলন
बर्नौली-समीकरण,বাৰ্নৌলি-সমীকৰণ
बोरासारखे बी असलेले लहान फळ कार्य,জামুৰ কাৰ্য্য
सर्वोत्तम आसंजन,শ্ৰেষ্ঠ আঠাযুক্ততা
सर्वोत्तम आसंजन ओळ,শ্ৰেষ্ঠ আঠাযুক্ত ৰেখা
सर्वोत्तम उपाय,উত্তম সমাধান
सर्वोत्तम टिपा,শ্ৰেষ্ঠ টিপছ
बीटा वितरण,বিটা বিতৰণ
"पक्षपात, पक्षपात","bias, পক্ষপাতিত্ব"
पक्षपाती मूल्यांकन,পক্ষপাতমূলক মূল্যায়ন
द्विपद समीकरण,দ্বিপদ সমীকৰণ
एकल कव्हर,একক কভাৰ
सिंगल कव्हर नकाशा,একক কভাৰ মেপ
सिंगल कव्हर मॅपिंग,একক কভাৰ মেপিং
चतुर्भुज चौकोन,দ্বিঘাত দ্বিঘাত
द्विरेखीय कार्य,দ্বিৰৈখিক ফলন
द्विरेखीय हर्मिटियन एकजिनसीपणा,দ্বিৰৈখিক হাৰ্মিটিয়ান সমতা
"द्वि-चर, बायनरी, दुहेरी","দ্বি-চলক, বাইনাৰী, দ্বৈত"
"बायनरी कोड, बायनरी कोड","বাইনাৰী ক&#39;ড, বাইনাৰী ক&#39;ড"
"बायनरी कोडेड दशांश, बायनरी कोडेड दशांश","বাইনাৰী ক&#39;ড কৰা দশমিক, বাইনাৰী ক&#39;ড কৰা দশমিক"
बायनरी एन्कोडिंग,বাইনাৰী এনকোডিং
बायनरी संगणक,বাইনাৰী কম্পিউটাৰ
बायनरी अंक,বাইনাৰী সংখ্যা
बायनरी ऑपरेशन,বাইনাৰী অপাৰেচন
बायनरी पद्धत,বাইনাৰী পদ্ধতি
बायनरी व्हेरिएबल,বাইনাৰী চলক
द्विपदी गुणांक,দ্বিপদ সহগ
द्विपदी वितरण,দ্বিপদ বিতৰণ
द्विपद समीकरण,দ্বিপদ সমীকৰণ
द्विपद भिन्नता,দ্বিপদ ভ্যাৰিয়েন্স
द्विपदी अभिव्यक्ती,দ্বিপদ অভিব্যক্তি
द्विपदी यादृच्छिक चल,দ্বিপদ ৰেণ্ডম চলক
द्विपद प्रमेय,দ্বিপদ উপপাদ্য
"अर्धा, दुभाजक","আধা, bifurcation"
"दुभाजक पद्धत, अर्धविभाग पद्धत","bisect পদ্ধতি, অৰ্ধবিভাজন পদ্ধতি"
अर्धा दुभाजक,হাফ বাইছেক্টৰ
"द्विपदी, द्विपदी","দ্বিপদ, দ্বৈত"
"द्वयंक (बायनरी अंक), अनी, बर्मीज, तुक","ড্ৱায়াংক (বাইনাৰী সংখ্যা), অনি, বাৰ্মিজ, টুক"
द्विपदी द्विपद वितरण द्विपदी,দ্বিপদ দ্বিপদ বিতৰণ দ্বিপদ
द्विवैरिएट सहसंबंध गुणांक,দ্বিচলকীয় সম্পৰ্ক সহগ
द्विवैरिएट वितरण,দ্বিচলকীয় বিতৰণ
द्विवैरिएट सामान्य-वितरण,দ্বিচলকীয় স্বাভাৱিক-বিতৰণ
bivector,বাইভেক্টৰ
बोल्टमन समीकरण,বোল্টমেন সমীকৰণ
बुलियन बीजगणित*,বুলিয়ান বীজগণিত*
बोस-आईन्स्टाईन सांख्यिकी,বস-আইনষ্টাইন পৰিসংখ্যা
मर्यादा निर्बंध,সীমাবদ্ধতা নিষেধাজ্ঞা
सीमा पातळी,সীমা স্তৰ
सीमारेषा,সীমাৰেখা
मर्यादा मूल्य,সীমা মূল্য
सीमा मूल्य समस्या,সীমা মূল্যৰ সমস্যা
"बाउंड फंक्शन बाउंडेड फळ,",সীমাবদ্ধ ফলন সীমাবদ্ধ ফল
"बाउंडेड मॅट्रिक्स, बाउंडेड मॅट्रिक्स, बाउंडेड टेबल,","সীমাবদ্ধ মেট্ৰিক্স, সীমাবদ্ধ মেট্ৰিক্স, সীমাবদ্ধ টেবুল"
"सीमाबद्ध प्रदेश सीमाबद्ध प्रदेश,",সীমাবদ্ধ ভূখণ্ড সীমাবদ্ধ ভূখণ্ড
"बाऊंड सेट बाउंडेड सेट,",সীমাবদ্ধ ছেট সীমাবদ্ধ গোট
ब्राउनी मोशन,ব্ৰাউনি গতি
मोजणे,গণনা কৰা
गणना,গণনা কৰা
"कॅल्क्युलेटर, कॅल्क्युलेटर","কেলকুলেটৰ, কেলকুলেটৰ"
गणना*,গণনা*
संगणकीय क्रिया पद्धत,গণনামূলক ক্ৰিয়া পদ্ধতি
"कॅल्क्युलेटर, कॅल्क्युलेटर","কেলকুলেটৰ, কেলকুলেটৰ"
"कॅल्क्युलस, कॅल्क्युलस","কেলকুলাছ, কেলকুলাছ"
भिन्नता कॅल्क्युलस,ভ্যাৰিয়েন্স কেলকুলাছ
कॅलरीज,কেলৰি
नियम रद्द करा,বাতিল নিয়ম
प्रामाणिक समीकरण,কেননিক সমীকৰণ
प्रामाणिक फॉर्म,কেননিক ৰূপ
"कॅनॉनिकल मॅट्रिक्स, के कॅनॉनिकल मॅट्रिक्स","কেননিক মেট্ৰিক্স, কে কেননিক মেট্ৰিক্স"
cantor सेट,কেন্টৰ ছেট
cantor त्रिकोणी संच,cantor ত্ৰিকোণীয় ছেট
वाहतुकीची अडचण,বাধ্যতামূলক পৰিবহণ সমস্যা
क्षमता,সক্ষমতা
केशिका शक्ती,কেপিলাৰী বল
"संख्या संख्या, मुख्य संख्या","গণনা সংখ্যা, কাৰ্ডিনেল সংখ্যা"
कार्टेशियन अक्ष,কাৰ্টেচিয়ান অক্ষ
कार्टेशियन समन्वय,কাৰ্টেছিয়ান স্থানাংক
कार्टेशियन उत्पादन,কাৰ্টেছিয়ান উৎপাদন
संचांचे कार्टेशियन गुणाकार,সমষ্টিৰ কাৰ্টেছিয়ান গুণন
"केस स्टडी, केस स्टडी","কেছ ষ্টডি, কেছ ষ্টডি"
आपत्तीजनक भाषण,দুৰ্যোগপূৰ্ণ ভাষণ
कॅटिनरी,catinary
कॉची वितरण,কাউচি বিতৰণ
कौशीचें सूत्र,কৌশীৰ সূত্ৰ
कौशी-गुरसा-प्रमेय,কৌশী-গুৰ্ষ-উপাপাদ্য
कौशी-रिमन-बॅन,কৌছি-ৰাইমান-বান
कॉची क्रम,ক&#39;চি ক্ৰম
कौशी अभिन्न,কৌশি অবিচ্ছেদ্য
कौशी मुख्य-मूल्य,কৌশী মূল-মূল্য
कॉची शेष प्रमेय,ক’চি ৰেমেইণ্ডাৰ উপপাদ্য
कॅले-हॅमिल्टन-प्रमेय,কেলে-হেমিল্টন-উপাপাদ্য
आकाशीय शरीर,আকাশী দেহ
खगोलशास्त्रीय मोजमाप,জ্যোতিৰ্বিজ্ঞানৰ জোখ-মাখ
खगोलीय यांत्रिकी,আকাশী যান্ত্ৰিকতা
आकाशीय शरीर,আকাশী দেহ
सेल वारंवारता,কোষ কম্পাঙ্ক
"जनगणना, जनगणना","লোকপিয়ল, লোকপিয়ল"
टक्केवारी,শতাংশ
सेंटीमीटर,চেন্টিমিটাৰ
सेंटीमीटर-ग्राम-सेकंद पद्धत,চেণ্টিমিটাৰ-গ্ৰাম-ছেকেণ্ড পদ্ধতি
"मध्यवर्ती, केंद्रीत","কেন্দ্ৰীয়, সমকেন্দ্ৰিক"
मध्य अक्ष,কেন্দ্ৰীয় অক্ষ
मध्यवर्ती अंतर,কেন্দ্ৰীয় ব্যৱধান
केंद्रीय फरक सूत्र,কেন্দ্ৰীয় পাৰ্থক্য সূত্ৰ
केंद्रीय भिन्नता सारणी,কেন্দ্ৰীয় অৱভেদ্য টেবুল
केंद्रीय मर्यादा प्रमेय,কেন্দ্ৰীয় সীমা উপপাদ্য
मध्यवर्ती क्षण,কেন্দ্ৰীয় মুহূৰ্ত
केंद्रीय संसाधन युनिट,কেন্দ্ৰীয় সম্পদ একক
केंद्रीय अंतःप्रेरणा,কেন্দ্ৰীয় প্ৰবৃত্তি
केंद्र*,কেন্দ্ৰ*
गुरुत्व मध्यभागी,মাধ্যাকৰ্ষণ কেন্দ্ৰ
गट केंद्र,গ্ৰুপ চেণ্টাৰ
वस्तुमान केंद्र,ভৰ কেন্দ্ৰ
सममितीचे केंद्र,প্ৰতিসমতাৰ কেন্দ্ৰ
केंद्रापसारक शक्ती,কেন্দ্ৰপৃথক বল
केंद्राभिमुख शक्ती,কেন্দ্ৰিক বল
"मध्यवर्ती मेरिडियन,",কেন্দ্ৰিক মেৰিডিয়ান
निश्चितता,নিশ্চয়তা
cgs पद्धत,cgs পদ্ধতি
cgs युनिट,cgs ইউনিট
भिन्नतेचा साखळी नियम,পাৰ্থক্যৰ শৃংখল নিয়ম
दैवयोगाने,কেনেবাকৈ
यादृच्छिक हालचाल,random move
अक्ष शिफ्ट,অক্ষৰ স্থানান্তৰ
"आधार बदल Payadhar-बदल,",ভিত্তি পৰিৱৰ্তন পায়ধৰ-পৰিৱৰ্তন
क्रमपरिवर्तन,ক্ৰমবিন্যাস
वैशिष्ट्यपूर्ण गुणांक,বৈশিষ্ট্য সহগ
वैशिष्ट्यपूर्ण निर्धारक,বৈশিষ্ট্য নিৰ্ণায়ক
वैशिष्ट्यपूर्ण समीकरण,বৈশিষ্ট্যপূৰ্ণ সমীকৰণ
"वैशिष्ट्यपूर्ण कार्य, वैशिष्ट्यपूर्ण कार्य","বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য, বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য"
लॉगरिदमची पूर्णांक,লগাৰিদমৰ পূৰ্ণসংখ্যা
"वैशिष्ट्यपूर्ण बहुपदी,",বৈশিষ্ট্যপূৰ্ণ বহুপদ
वैशिष्ट्यपूर्ण मूल्य,বৈশিষ্ট্যপূৰ্ণ মূল্য
वैशिष्ट्यपूर्ण वेक्टर,বৈশিষ্ট্যপূৰ্ণ ভেক্টৰ
वर्ण समुदाय,চৰিত্ৰ সম্প্ৰদায়
"तक्ते, तक्ते,","লেখচিত্ৰ, লেখচিত্ৰ"
ची-स्क्वेअर वितरण,কাই-স্কেয়াৰ বিতৰণ
ची-स्क्वेअर सूत्र,কাই-বৰ্গ সূত্ৰ
ची-स्क्वेअर चाचणी,কাই-স্কেয়াৰ পৰীক্ষা
जीवा*,কৰ্ড*
जीवा विभाजित करण्याची पद्धत,কৰ্ড বিভাজন পদ্ধতি
लिखित संदेश,লিখিত বাৰ্তা
"शून्य, सायफर","শূন্য, চাইফাৰ"
मंडळ*,বৃত্ত*
अभिसरण मंडळ,অভিসৰণ বৃত্ত
सर्किट मॅट्रिक्स,বৰ্তনী মেট্ৰিক্স
"गोलाकार, गोलाकार,","বৃত্তাকাৰ, বৃত্তাকাৰ"
वर्तुळाकार लक्षणे,বৃত্তৰ asymptoes
गोलाकार कंड्युलिन,বৃত্তাকাৰ কণ্ডুলাইন
गोलाकार हालचाल,বৃত্তাকাৰ গতি
परिघ,circumcentre
सेवानिवृत्त*,অৱসৰপ্ৰাপ্ত*
प्रदक्षिणा करणे,"প্ৰদক্ষিণ কৰা, চাৰিওফালে আঁকিব পৰা"
भूतकाळ,অতীত
घेरलेले,পৰিসীমাবদ্ধ
प्रख्यात कॉर्पोरेट,বিশিষ্ট কৰ্পৰেট
क्लासिक डायनॅमिक्स,ক্লাসিক গতিশীলতা
क्लासिक ऑप्टिमायझेशन,ক্লাসিক অপ্টিমাইজেচন
दीर्घकालीन आर्थिक समस्या,দীৰ্ঘদিনীয়া বিত্তীয় সমস্যা
शास्त्रीय सांख्यिकीय यांत्रिकी,ধ্ৰুপদী পৰিসংখ্যা বলবিজ্ঞান
त्रुटींचे वर्गीकरण,ভুলৰ শ্ৰেণীবিভাজন
वर्ग मध्यांतर,শ্ৰেণীৰ ব্যৱধান
वर्ग मध्यांतर युनिट,শ্ৰেণী ব্যৱধান একক
वर्ग मर्यादा,শ্ৰেণী সীমা
घड्याळाच्या दिशेने,ঘড়ীৰ কাঁটাৰ দিশত
बंद,বন্ধ কৰা হৈছে
"बंद, बंद","বন্ধ, বন্ধ"
बंद थर कव्हर,বন্ধ স্তৰৰ আৱৰণ
बंद घन,বন্ধ ঘনক
"बंद वक्र, बंद वक्र","বন্ধ বক্ৰ, বন্ধ বক্ৰ"
बंद प्रांत,বন্ধ প্ৰদেশ
बंद आकार,বন্ধ আকৃতি
बंद अंतराल,বন্ধ ব্যৱধান
"बंद प्रदेश, बंद प्रदेश","বন্ধ অঞ্চল, বন্ধ অঞ্চল"
बंद संच,বন্ধ চেট
"बंद पान, बंद पान","বন্ধ পৃষ্ঠা, বন্ধ পৃষ্ঠা"
नीलमन,নিলমান
pronator,pronator
बहिर्वक्र बिंदू,উত্তল বিন্দু
बंदिस्त-स्वीकृत,বন্দী-গ্ৰহণ কৰা
बंदिस्त संच,বন্দী ছেট
क्लस्टर पॉइंट,ক্লাষ্টাৰ পইণ্ট
