Malayalam,Hindi
അക്കൌണ്ടിംഗ്,लेखा कार्य
അക്ക ing ണ്ടിംഗ് ധനകാര്യ സംവിധാനം,लेखाकार्य वित्त तंत्र
അക്ക ing ണ്ടിംഗ് മെഷീൻ,लेखा यंत्र
അക്കൗണ്ട് നമ്പർ,खाता संख्या
അടിഞ്ഞുകൂടുന്നത് പുനരുൽപാദനം,संचयी पुनरुत्पादक
സഞ്ചിതം,संचायक
സഞ്ചിത രജിസ്റ്റർ,संचायक पंजी
സഞ്ചിത ഷിഫ്റ്റ് നിർദ്ദേശം,संचायक विस्थापन अनुदेश
കൃതത,परिशुद्धता
കൃത്യത നിയന്ത്രണ പ്രതീകം,परिशुद्धता नियंत्रण संप्रतीक
കൃത്യത നിയന്ത്രണ സംവിധാനം,परिशुद्धता नियंत्रण तंत्र
എയ്സ് പൈലറ്റ്,उत्कृष्ठ मार्गदर्शी
പ്രതീകം അംഗീകരിക്കുക,पावती संप्रतीक
അക്കോസ്റ്റിക് കപ്ലർ,ध्वनिक युग्मक
അക്കോസ്റ്റിക് കപ്ലിംഗ്,ध्वनिक युग्मन
അക്ക ou സ്റ്റിക് കാലതാമസം,ध्वनिक विलंब लाइन
അക്കോസ്റ്റിക് മെമ്മറി,ध्वनिक स्मृति
അക്കോസ്റ്റിക് മോഡം,ध्वनिक मोडेम
അക്കോസ്റ്റിക് സിഗ്നൽ,ध्वनिक संकेत
അക്ക ou സ്റ്റിക് സ്റ്റോറേജ്,ध्वनिक भंडारण
സംക്ഷേപം,परिवर्णी शब्द
പവര്ത്തി,क्रिया
പ്രവർത്തന ചക്രം,क्रिया चक्र
ആക്ഷൻ ലൈൻ,क्रिया लाइन
ആക്ഷൻ സന്ദേശം,क्रिया संदेश
പ്രവർത്തന സവിശേഷത,क्रिया विनिर्देश
സജീവമാക്കല്,सक्रियण
സജീവമായ,सक्रिय
സജീവ ഫയൽ,सक्रिय संचिका
സജീവ ലൈൻ,सक्रिय लाइन
സജീവ ലിങ്ക്,सक्रिय कड़ी
സജീവ മാസ്റ്റർ ഫയൽ,सक्रिय प्रधान संचिका
സജീവ മാസ്റ്റർ ഇനം,सक्रिय प्रधान मद
സജീവ ഉപഗ്രഹം,सक्रिय उपग्रह
സജീവ സ്റ്റേഷൻ,सक्रिय केन्द्र
സജീവ സംഭരണം,सक्रिय भंडारण
പ്രവർത്തനം,सक्रियता
പ്രവർത്തന നില,सक्रियता स्तर
പ്രവർത്തന ലോഡിംഗ്,सक्रियता भारण
പ്രവർത്തന അനുപാതം,सक्रियता अनुपात
യഥാർത്ഥ വിലാസം (= കേവല വിലാസം),निरपेक्ष पता
യഥാർത്ഥ കോഡ് (= കേവല കോഡ്),निरपेक्ष कूट
യഥാർത്ഥ ഡാറ്റ കൈമാറ്റ നിരക്ക്,वास्तविक आँकडा स्थानांतरण दर
യഥാർത്ഥ ദശാംശസ്ഥാനം,वास्तविक दशमलव बिन्दु
യഥാർത്ഥ നിർദ്ദേശം (= ഫലപ്രദമായ നിർദ്ദേശം),प्रभावी अनुदेश
യഥാർത്ഥ കീ,वास्तविक कुंजी
യഥാർത്ഥ സമയം,वास्तविक काल
യഥാർത്ഥ ജോലി സമയം,वास्तविक कार्य काल
ആരംഭിക്കുന്ന സിഗ്നൽ,प्रवर्तक संकेत
പൊരുത്തപ്പെടലി,अनुकूलनीयता
അഡാപ്റ്റർ,अनुकूलित्र
അഡാപ്റ്റീവ് ചാനൽ അനുവദിക്കൽ,अनुकूली प्रणाल नियतन
അഡാപ്റ്റീവ് ഇന്റഗ്രേഷൻ,अनुकूली समाकलन
അഡാപ്റ്റീവ് ട്രാൻസ്വേഴ്സ് ഇക്വൈസർ,अनुकूली अनुप्रस्थ तुल्यकारक
എൻട്രി ചേർത്തു,योजित प्रविष्ट
കൂട്ടിച്ചേര്ക്കുക,योज्य
ആംഗം,योजक
എ ഷട്രക്റ്റർ,योजक व्यवकलक
ഫയൽ ചേർക്കുക,योजी संचिका
അധിക പ്രതീകം (= പ്രത്യേക പ്രതീകം),विशिष्ट संप्रतीक
ബഹുമതി,योग अभिलेख
കൂട്ടിച്ചേർക്കലാ പട്ടിക,योग सारणी
അഡിറ്റീവ് ആട്രിബ്യൂട്ട്,योज्य गुण
മോഡ് ചേർക്കുക,योग विधा
പ്രവർത്തനം ചേർക്കുക,योग संक्रिया
അഭിസംബോധന ചെയ്യുക,पता
വിലാസ നടപടി,पतायोग्यता माप
അഭിസംബോധന ചെയ്യാവുന്ന തിരശ്ചീന സ്ഥാനം,पतायोग्य क्षौतिज स्थिति
വിലാസ പോയിന്റ്,पतायोग्य बिन्दु
അഭിസംബോധന ചെയ്യാവുന്ന സ്ഥാനം,पतायोग्य स्थिति
വിലാസ രജിസ്റ്റർ,पतायोग्य पंजी
വിലാസ സംഭരണം,पतायोग्य भंडारण
അഭിസംബോധന ചെയ്യാവുന്ന ലംബ സ്ഥാനം,पतायोग्य ऊर्ध्वाधर स्थिति
വിലാസ ബസ്,पता बस
വിലാസ കോഡ്,पता कूट
വിലാസ താരതമ്യക്കാരൻ,पता तुलनित्र
വിലാസ കണക്കുകൂട്ടൽ,पता अभिकलन
വിലാസ സ്ഥിരത,पता अचर
വിലാസ പരിവർത്തനം,पता रूपांतरण
വിലാസ ഡാറ്റ,पता आँकड़े
മെമ്മറി അഭിസംബോധന ചെയ്തു,पतायुक्त स्मृति
വിലാസ ഫലപ്രദമാണ്,प्रभावी पता
വിലാസ ഫീൽഡ്,पता क्षेत्र
വിലാസ ഫോർമാറ്റ്,पता संरूप
വിലാസ സ contry ജന്യ പ്രോഗ്രാം,पता निरपेक्ष क्रमादेश
അഭിസംബോധന,पताभिगमन
അഭിസംബോധന  കഥാപാതം,पताभिगमन संप्रतीक
അഭിസംബോധന ഇന്ററപ്റ്റ്,पताभिगमन अंतरायन
വിലാസം ലൂപ്പ്,पताभिगमन पाश
വെർച്വൽ മെമ്മറി അഭിസംബോധന ചെയ്യുന്നു,पताभिगमन आभासी स्मृति
വിലാസം ഇന്റർലേസിംഗ്,पता अंतर्ग्रथन
വിലാസരഹിതമായ നിർദ്ദേശങ്ങൾ ഫോർമാറ്റ്,पतारहित अनुदेश संरुप
വിലാസ ലൈൻ,पता लाइन
വിലാസ മാപ്പിംഗ്,पता प्रतिचित्रण
വിലാസ അടയാളം,पता चिह्न
വിലാസ പരിഷ്ക്കരണം,पता आपरिवर्तन
വിലാസ ഭാഗം,पता भाग
വിലാസം പോയിന്റർ,पता संकेतक
വിലാസ രജിസ്റ്റർ,पता पंजी
വിലാസ സിഗ്നൽ,पता संकेत
വിലാസ വലുപ്പം,पता आमाप
വിലാസ ഇടം,पता स्थान
വിലാസ ബഹിരാകാശ ഐഡന്റിഫയർ,पता स्थान अभिज्ञापक
വിലാസ സ്റ്റോപ്പ്,पता विराम
വിലാസ ട്രെയ്സ്,पता अनुरेख
വിലാസ ട്രാക്ക്,पता मार्ग
വിവർത്തനം വിവർത്തനം ചെയ്യുക,पता अनुवाद
വിലാസ പരിഭാഷകന്,पता अनुवादक
ചേർക്കുക-കുറയ്ക്കുക സമയം,संकलन व्यवकलन काल
സമയം ചേർക്കുക,संकलन काल
വാര്ത്താവകം,संलग्नता
അഡ്ജഞ്ചൻസിൻസ് ഘടന,संलग्नता संरचना
തൊട്ടടുത്തുള്ള ചാനൽ,संलग्न प्रणाल
അടുത്തുള്ള ഡൊമെയ്ൻ,संलग्न प्रांत
തൊട്ടടുത്തുള്ള മാട്രിക്സ്,सहखंडज मैट्रिक्स
തൊട്ടടുത്തുള്ള നോഡ്,संलग्न आसंधि
തൊട്ടടുത്തുള്ള സുബരിയ,संलग्न उपक्षेत्र
കസ്റ്റേഴ്സ് (സിസ്റ്റം),संलग्न (तंत्र)
കമപ്പെടുത്തുക,समायोजन
ക്രമീകരിക്കാവുന്ന പരിധി,समायोज्य विस्तार
ടെക്സ്റ്റ് മോഡ് ക്രമീകരിക്കുക,समायोज्य पाठ्यांश विधा
അഡ്മിനിസ്ട്രേറ്റീവ് ഡാറ്റ പ്രോസസ്സിംഗ്,प्रशासनिक आँकड़ा संसाधन
അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം,प्रशासनिक प्रचालन
അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ,प्रशासनिक प्रचालक
അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ സ്റ്റേഷൻ,प्रशासनिक प्रचालन केन्द्र
അഡ്മിനിസ്ട്രേറ്റീവ് സപ്പോർട്ട് സിസ്റ്റം,प्रशासन सहाय तंत्र
നൂതന ആശയവിനിമയ സേവനം,उन्नत संचार सेवा
വിപുലമായ വിവര സിസ്റ്റം,उन्नत सूचना तंत्र
വിപുലമായ ഒപ്റ്റിക്കൽ പ്രതീക റീഡർ,उन्नत प्रकाशिक संप्रतीक पठित्र
വിപുലമായ ശാസ്ത്ര കമ്പ്യൂട്ടർ,उन्नत वैज्ञानिक अभिकलित्र
ഏരിയൽ,एरियल
ആകെത്തുകയായുള്ള,पुंज
മൊത്തം എക്സ്പ്രഷൻ,पुंज व्यंजक
ലക്ഷ്യമിടുന്നു,संधानित्र
ലക്ഷ്യമിടുന്ന ഫീൽഡ് (= ലക്ഷ്യമിടുന്നത്),संधान प्रतीक
എഡിയൽ ചിഹ്നം,संधान प्रतीक
എയർബോൺ കമ്പ്യൂട്ടർ സിസ്റ്റം,वायुवाहित अभिकलित्र तंत्र
ബീജഗണിത ഐജൻവാലു പ്രശ്നം,बीजीय आइगनमान समस्या
ബീജഗണിത  സംയോജനം,बीजीय समाकलन
ബീജഗണിത ഭാഷ,"बीजीय भाषा, बीज भाषा"
ബീജഗണിത കൃത്രിമത്വം,बीजीय प्रकलन
ബീജഗണിത കൃത്രിമ ഭാഷ,बीजीय प्रकलन भाषा
ബീജഗണിത ഓറിയന്റഡ് ഭാഷ,बीजोन्मुखी भाषा
ബീജഗണിത മാറ്റം,बीजीय विस्थापन
ബീജഗണിത ചിഹ്ന കൺവെൻഷൻ,बीजीय चिह्न परिपाटी
അൽഗോൾ,ऐल्गॉल
അൽഗോൾ സവിശേഷത,ऐल्गॉल लक्षण
അൽഗോൾ പ്രോഗ്രാമിംഗ്,ऐल्गॉल क्रमादेशन
അൽഗോരിതം,"कलन विधि, एल्गोरिथ्म"
അൽഗോരിതം അസോസിയേറ്റീവ് ഭാഷ,कलन विधि साहचर्य भाषा
അൽഗോരിതം വർഗ്ഗീകരണം,कलन विधि वर्गीकरण
അൽഗോരിതം സങ്കീർണ്ണത,कलन विधि जटिलता
അൽഗോരിതം കേസബിലിറ്റി,कलन विधि अभिकलनीयता
അൽഗോരിത്ത്മിക് വിശകലനം,कलन विधि विश्लेषण
അൽഗോരിത്തിസ് സമീപനം,कलनविधीय उपगमन
അൽഗോറിത്ത്മിക് ഭാഷ,कलनविधीय भाषा
അൽഗോരിഥമ്മിക് പതിവ്,कलनविधीय नेमका
അൽഗോരിതംസിക് സിദ്ധാന്തം,कलनविधीय सिद्धांत
അപരാഭിധാനം,अपर
അപരനാത്മകം,उपघटन
അപരനാമം (= ഇതര പേര്),"अपर नाम, उर्फ नाम"
വിന്യാപകമായ,सरेखण
നീക്കിവയ്ക്കുക,नियतन
അലോക്കേഷൻ ഘടന,नियतन संरचना
എല്ലാ ഉദ്ദേശ്യ കമ്പ്യൂട്ടറും,सर्वोद्देशीय अभिकलित्र
അക്ഷരമാല പ്രതീകം,अक्षरात्मक संप्रतीक
അക്ഷരമാല പ്രതീക സെറ്റ്,अक्षरात्मक संप्रतीक समुच्चय
അക്ഷരമാല പ്രതീക സബ്സെറ്റ്,अक्षरात्मक संप्रतीक उपसमुच्चय
അക്ഷരമാല കോഡ്,अक्षरात्मक कूट
അക്ഷരമാല മാറ്റം,अक्षरात्मक विस्थापन
അക്ഷരമാല സ്ട്രിംഗ്,अक्षरात्मक रज्जु
അക്ഷരമാല വാക്ക്,अक्षरात्मक शब्द
അക്ഷരമാലാളം,वर्णानुक्रमण
ആഫറാമോമെട്രിക്സ്,अक्षरात्मक ज्यामितिकी
ആഫളാചിക്,अक्षरांकीय
ആൽഫമോസയ്ക്ക്,अल्फामोजेक
ആൽഫാന്യൂമെറിക്,अक्षरांकीय
ആൽഫാന്യൂമെറിക്കൽ കീബോർഡ് ഉപകരണം,अक्षरांकीय कुंजीपटल युक्ति
ആൽഫാന്യൂമെറിക് പ്രതീക സെറ്റ്,अक्षरांकीय संप्रतीक समुच्चय
ആൽഫാന്യൂമെറിക് കോഡ്,अक्षरांकीय कूट
ആൽഫാന്യൂമെറിക് കോഡ്ഡ് പ്രതീക സെറ്റ്,अक्षरांकीय कूटलिखित संप्रतीक समुच्चय
ആൽഫാന്യൂമെറിക് ഡാറ്റ,अक्षरांकीय आँकड़े
ആൽഫാന്യൂമെറിക് ഡിസ്പ്ലേ ഉപകരണം,अक्षरांकीय प्रदर्श युक्ति
ആൽഫാന്യൂമെറിക് എഡിറ്റുചെയ്ത പ്രതീകം,अक्षरांकीय संपादित संप्रतीक
ആൽഫാന്യൂമെറിക് ഫീൽഡ്,अक्षरांकीय क्षेत्र
ആൽഫാന്യൂമെറിക് നിർദ്ദേശം,अक्षरांकीय अनुदेश
ആൽഫാന്യൂമെറിക് കീബോർഡ്,अक्षरांकीय कुंजी पटल
ആൽഫാന്യൂമെറിക് തരം,अक्षरांकीय शाटन
ആൽഫാന്യൂമെറിക് സംഭരണം,अक्षरांकीय भंडारण
മാറ്റം വരുത്തുന്നതിന് മെമ്മറി,परिवर्तनीय स्मृति
മാറ്റങ്ങൾ സ്വിച്ച്,परिवर्तन स्विच
മാറ്റം,परिवर्तन
മാറ്റ മോഡ്,परिवर्तन विधा
ഇതര വീണ്ടെടുക്കൽ,वैकल्पिक पुनःप्राप्ति
ഇതര റൂട്ട്,वैकल्पिक मार्ग
ഇതര റൂട്ടിംഗ്,वैकल्पिक मार्गचयन
ഇതര ട്രാക്ക്,वैकल्पिक मार्ग
ഇതര (= അല്ലെങ്കിൽ പ്രവർത്തനം),अथवा' संक्रिया
ഇതര ആട്രിബ്യൂട്ട്,वैकल्पिक गुण
"ഇതര നിഷേധം (= അല്ല, പ്രവർത്തനം)",तथा पूरक' संक्रिया
അവ്യക്തത പിശക്,संदिग्धता त्रुटि
അവ്യക്തമായ റഫറൻസ്,संदिग्धता संर्दभ
അനാലോഗ്,अनुरूप
അനലോഗ് അഡെർ,अनुरूप योजक
അനലോഗ് ചാനൽ,अनुरूप प्रणाल
അനലോഗ് കമ്പ്യൂട്ടർ,अनुरूप अभिकलित्र
അനലോഗ് കൺവെർട്ടർ,अनुरूप परिवर्तक
അനലോഗ് ഡാറ്റ,अनुरूप आँकड़े
അനലോഗ് ഡിവൈഡർ,अनुरूप विभाजनी
അനലോഗ് ഫെസിലിറ്റി ടെർമിനൽ,अनुरूप सुविधा टर्मिनल
അനലോഗ് ഫംഗ്ഷൻ  വൈദുതോല്പാദനയന്തം,अनुरूप फलन जनक
അനലോഗ് സംയോജനം,अनुरूप समाकलन
അനലോഗ് ഗുണിതം,अनुरूप गुणक
അനലോഗ് പ്രോഗ്രാമിംഗ്,अनुरूप क्रमादेशन
അനലോഗ് സ്കെയിലിംഗ്,अनुरूप मापन
അനലോഗ് സിഗ്നൽ,अनुरूप संकेत
അനലോഗ് സിമുലേഷൻ,अनुरूप अनुकार
അനലോഗ് സ്വിച്ച്,अनुरूप स्विच
അനലോഗ് സിസ്റ്റം,अनुरूप तंत्र
ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്  കൺവെർട്ടർ,अनुरूप अंकीय परिवर्तक
ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്  എൻകോഡർ,अनुरूप अंकीयकूटलेखक
അനലോഗ് ട്രാൻസ്മിഷൻ,अनुरूप संचरण
അനലോഗ് തരം,अनुरूप प्रकार
വിശകലന ബ്ലോക്ക്,विश्लेषण खंड़क
വിശകലന മോഡ്,विश्लेषण विधा
അനലിറ്റിക്കൽ എഞ്ചിൻ,वैश्लेषिक इंजन
പൂർവ്വിക ചുമതല,पूर्वज कार्य
അനുബന്ധ ഉപകരണങ്ങൾ,सहायक उपकरण
ഒപ്പം,तथा'
സർക്യൂട്ട്,तथा' परिपथ
ഘടകവും,तथा' अवयव
ഗേറ്റിലും,तथा' द्वार
മാസ്കിംഗ്,तथा' प्रच्छादन
പ്രവർത്തനമല്ല (= ഒഴിവാക്കൽ,अपवर्जन
പ്രവർത്തനവും,तथा' संक्रिया
അനെക്സ് മെമ്മറി,चयक स्मृति
വ്യാഖ്യാനിലും,टिप्पण
Annnuniator,आख्यापित्र
ഉത്തരം തിരികെ,तुरत उत्तर
ഉത്തരം കാലതാമസം,उत्तर विलंब
ഉത്തരം നൽകുന്നു,उत्तर काल
ഉത്തര വിളക്ക്,उत्तर बत्ती
ഉത്തരം പട്ടിക,उत्तर सूची
ഉത്തരം മാത്രം,केवल उत्तर
പ്രതീക്ഷ മോഡ്,प्रत्याशा विधा
മുൻകൂട്ടി ബഫറിംഗ്,प्रत्याशामूलक चयकन
മുൻകൂട്ടി കാരി,प्रत्याशामूलक हासिल
മുൻകൂട്ടി പങ്കിടൽ,प्रत्याशामूलक पृष्ठन
ആന്റിക്കോസിൻസ് പ്രവർത്തനം,प्रतिसंपाती संक्रिया
Anticoicient ഘടകം,प्रतिसंपाती अवयव
അപ്രൈയോഡിക് ആന്റിന,अनावर्ती ऐन्टेना
അപ്പർച്ചർ കാർഡ്,द्वारक पत्रक
അപ്പർച്ചർ കോഡ്,द्वारक कूट
അപ്പർച്ചർ സമയം,द्वारक काल
അനുബന്ധം,अनुबंध
അനുബന്ധ ചുമതല,अनुबंध कार्य
അപ്ലിക്കേഷൻ ഡെവലപ്പർ,अनुप्रयोग विकासक
ആപ്ലിക്കേഷൻ ലെയർ,अनुप्रयोग स्तर
ആപ്ലിക്കേഷൻ ഓറിയന്റഡ് ഭാഷ,अनुप्रयोग मूलक भाषा
ആപ്ലിക്കേഷൻ പാക്കേജ്,अनुप्रयोग (क्रमादेश) संकुल
അപ്ലിക്കേഷൻ പ്രോഗ്രാം,अनुप्रयोग क्रमादेश
അപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്,अनुप्रयोग क्रमादेशन
അപേക്ഷ ആവശ്യമായ ഭാഷ,अनुप्रयोग अपेक्षित भाषा
അപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ,अनुप्रयोग प्रक्रिया सामग्री
പേഷൻ,अधिरोपण
ഏകദേശ സിദ്ധാന്തം,सन्निकटन सिद्धांत
അനിയന്ത്രിതമായ പ്രവേശനം,स्वेच्छ अभिगम
അനിയന്ത്രിതമായ ശ്രേണി കമ്പ്യൂട്ടർ,स्वेच्छ अनुक्रम अभिकलित्र
മാദ്ധസ്ഥം,मध्यस्थ
വാസ്തുവിദ,"वास्तुकला, स्थापत्यकला"
ശേഖരം,पुराभंडारण
ഏരിയ കോഡ്,क्षेत्र कूट
ഏരിയ തിരയൽ,क्षेत्र खोज
ഏരിയ കൈമാറ്റം,क्षेत्र स्थानांतरण
ഏരിയ വേരിയബിൾ,क्षेत्र चर
വാദം,स्वतंत्र चर
വാദം വിലാസം,स्वतंत्र चर पता
ആർദ്ര ലിസ്റ്റ്,स्वतंत्र चर सूची
അരിറ്റെറ്റിക്കൽ നിർദ്ദേശം,अंकगणितीय अनुदेश
"അരിത്മെറ്റിക്, ലോജിക് യൂണിറ്റ്",अंक गणितीय एंव तर्क एकक
അരിത്മെറ്റിക് അസൈൻമെന്റ് സ്റ്റേറ്റ്മെന്റ്,अंकगणितीय नियतन कथन
ഗണിത പരിശോധന,अंकगणितीय जाँच
അരിത്മെറ്റിക് സ്ഥിരാങ്കം,अंकगणितीय अचर
അരിത്മെറ്റിക് പരിവർത്തനം,अंकगणितीय रूपांतर
അരിത്മെറ്റിക് ഡാറ്റ,अंकगणितीय आँकड़े
ഗണിത അപവാദം,अंकगणितीय अपवाद
അരിത്മെറ്റിക് എക്സ്പ്രഷൻ,अंकगणितीय व्यंजक
അരിത്മെറ്റിക് നിശ്ചിത പോയിന്റ്,अंकगणितीय नियत बिन्दु
അരിത്മെറ്റിക് ശ്രേണി,अंकगणितीय पदानुक्रम
പ്രസ്താവനയാണെങ്കിൽ അരിത്മെറ്റിക്,अंकगणितीय 'यदि' कथन
അരിത്മെറ്റിക് ലോജിക്,अंकगणितीय तर्क
അരിത്മെറ്റിക് ലോജിക് യൂണിറ്റ്,अंकगणितीय तर्क एकक
അരിത്മെറ്റിക് പ്രവർത്തനം,अंकगणितीय संक्रिया
അരിത്മെറ്റിക് ഓപ്പറേറ്റർ,अंकगणितीय संकारक
അരിത്മെറ്റിക് ഓവർഫ്ലോ,अंकगणितीय अधिप्रवाह
അരിത്മെറ്റിക് പിക്ചർ ഡാറ്റ,अंकगणितीय चित्र आँकड़े
ഗണിത മുൻഗണന,अंकगणितीय पूर्वता
അരിത്മെറ്റിക് പ്രൈമറി,अंकगणितीय प्राथमिक अवयव
അരിത്മെറ്റിക് രജിസ്റ്റർ,अंकगणितीय पंजी
അരിത്മെറ്റിക് ബന്ധം,अंकगणितीय संबंध
അരിത്മെറ്റിക് സ്കാൻ,अंकगणितीय क्रमवीक्षण
അരിത്മെറ്റിക് വിഭാഗം,अंकीय अनुभाग
അരിത്മെറ്റിക് ഷിഫ്റ്റ്,अंकगणितीय विस्थापन
അരിത്മെറ്റിക് ഷിഫ്റ്റിംഗ്,अंकगणितीय विस्थापन
ഗണിത പ്രസ്താവന,अंकगणितीय कथन
അരിത്മെറ്റിക് ടേം,अंकगणितीय पद
അരിത്മെറ്റിക് അണ്ടർഫ്ലോ,अंकगणितीय अधोप्रवाह
അരിത്മെറ്റിക് യൂണിറ്റ്,अंकीय एकक
ശേണി,सरणी
അറേ ബന്ധിത,सरणी परिबंध
അറേ കമ്പ്യൂട്ടർ,सरणी अभिकलित्र
അറേ അളവ്,सरणी विमा
അറേ ഘടകം,सरणी अवयव
ശ്രമരീതി,सरणी व्यंजक
അറേ പേര്,सरणी नाम
ഘടനകളുടെ നിര,संरचना सरणी
അറേ പ്രിന്റിംഗ്,सरणी मुद्रण
അറേ പ്രോസസ്സിംഗ്,सरणी संसाधन
അറേ പ്രോസസർ,सरणी संसाधित्र
ആർട്ടിക്കേഷൻ പോയിന്റ്,संधि बिन्दु
കൃത്രിമ കോഗ്നിഷൻ,कृत्रिम बोध
നിർമ്മിത ബുദ്ധി,कृत्रिम बुद्धि
കൃത്രിമ ഭാഷ,कृत्रिम भाषा
കൃത്രിമ വേരിയബിൾ,कृत्रिम चर
ആർട്സ് ആപ്ലിക്കേഷൻ ഡാറ്റ ബാങ്ക്,कला अनुप्रयोग आकड़ा बैंक
ആർട്സ് ആപ്ലിക്കേഷൻ സംഗീതം,कला अनुप्रयोग संगीत
ആർട്സ് ആപ്ലിക്കേഷൻ പാറ്റേൺ തലമുറ,कला अनुप्रयोग प्रतिरूप जनन
ആസര്ണം,आरोहक
ആരോഹണം അടുക്കുക,आरोही छँटाई
Alcyly,आस्की
ASCII നിയന്ത്രണ പ്രതീകം,आस्की नियंत्रण संप्रतीक
ASCII കീ ബോർഡ്,आस्की कुंजी पटल
വശം,अभिमुखता
വശം,अभिमुखता पत्रक
സംയോജിപ്പിക്കുക,कोड़ांतरण
ഒരുമിച്ചുകൂട്ടിയ ഉത്ഭവം,कोड़ांतरित उद्गम
ദൈർഘ്യം കൂടിച്ചേർന്നു,कोडांतरण अवधि
അസംബ്ലി,कोडांतरक
അസംബ്ലിലർ നിർദ്ദേശം,कोडांतरक निर्देश
അസംബ്ലർ സൗകര്യം,कोडांतरक सुविधा
അസംബ്ലിലർ ഭാഷ,कोडांतरण भाषा
കൂട്ടിച്ചേർക്കുന്നു,कोडांतरण
ഒത്തുചേരൽ ഘട്ടം,कोडांतरण प्रावस्था
സമയം ഒത്തുചേരുന്നു,कोडांतरण काल
നിയമനിര്മ്മാണസഭ,कोडांतरण
നിയമസഭാ ഭാഷ,कोडांतरण भाषा
നിയമസഭാ ഭാഷ പ്രോഗ്രാമിംഗ്,कोडांतरण भाषा क्रमादेशन
അസംബ്ലി ഭാഷാ സോഫ്റ്റ്വെയർ വഴക്കം,कोडांतरण भाषा प्रक्रियासामग्री नम्यता
നിയമസഭാ പട്ടിക,कोडांतरण सूचीकरण
നിയമസഭാ ഘട്ടം,कोडांतरण प्रावस्था
നിയമസഭ,कोडांतरण नेमका
നിയമസഭാലം,कोडांतरण काल
നിയമസഭാസം,कोडांतरण एकक
അസൈൻമെന്റ് ഇൻഡെക്സിംഗ്,नियतन सूचीकरण
അസൈൻമെന്റ് പ്രവർത്തനം,नियतन संक्रिया
അസൈൻമെന്റ് സ്റ്റേറ്റ്മെന്റ്,नियतन कथन
അസോസിയേറ്റീവ് വിലാസം,साहचर्य पता
അസോസിയേറ്റീവ് അറേ രജിസ്റ്റർ,साहचर्य सरणी पंजी
അസോസിയേറ്റീവ് കീ,साहचर्य कुंजी
അസോസിയേറ്റീവ് ഭാഷ,साहचर्य भाषा
അസോസിയേറ്റീവ് മെമ്മറി,साहचर्य स्मृति
