Gujarati,Tamil
અગ્રિમ બુકિંગ,முன்கூட்டியே முன்பதிவு
અગ્રિમ પ્રત,முன்கூட்டியே நகல்
અગ્રિમ ઈજા,அட்வான்ஸ் அதிகரிப்பு
અગાઉથી ચુકવણી,முன் பணம்
પ્રતિકૂળ નોંધ,பாதகமான நுழைவு
પ્રતિકૂળ નોંધ,பாதகமான கருத்துக்கள்
પ્રતિકૂળ અહેવાલ,பாதகமான அறிக்கை
જાહેરખબર,விளம்பரம்
સલાહ,ஆலோசனை
ચુકવણી,கட்டண ஆலோசனை
સલાહકાર સમિતિ,ஆலோசனை குழு
સલાહકાર પરિષદ,ஆலோசனை கவுன்சில்
હિમાયતી,வக்கீல்
બાબતો,விவகாரங்கள்
સોગંદનામું,பிரமாணப் பத்திரம்
જોડાણ,இணைப்பு
સમર્થન,உறுதிப்படுத்தல்
ખાતરીપૂર્વક,உறுதியான
પરવડી,வாங்க
ઉપરોક્ત,மேற்கூறிய
ફરી,புதிதாக
વિરુદ્ધ,எதிராக
ઉંમર,வயது
વય પ્રમાણપત્ર,வயது சான்றிதழ்
મતાધિકાર માટે વય,வாக்குரிமைக்கான வயது
વય -મર્યાદા,வயது எல்லை
સંસ્થા,ஏஜென்சி
કાર્યસૂચિ,நிகழ்ச்சி நிரல்
નિવૃત્તિની ઉંમર,ஓய்வூதிய வயது
નિવૃત્તિની ઉંમર,மேலதிக வயது
એકંદર,திரட்டுதல்
નારાજ,வேதனைக்குள்ளானது
આંદોલન,கிளர்ச்சி
અકસ્માત,ஏஜிஎம்
સહમત,ஒப்பந்தம்
સહમત ફોર્મ,ஒப்பந்த படிவம்
કૃષિ,வேளாண்மை
કૃષિ ઉદ્યોગ,வேளாண் தொழில்
સહાય,உதவி
ભય,அலாரம்
જાગરૂકતા,விழிப்புணர்வு
ઉર્ફે,மாற்றுப்பெயர்
આરોપ,குற்றச்சாட்டு
વાન,விசுவாசம்
સુમેળ,கூட்டணி
સંલગ્ન સેવાઓ,தொடர்புடைய சேவைகள்
તમામ સમાવિષ્ટ ખર્ચ,அனைத்து உள்ளடக்கிய செலவு
અખરાબ સેવા,அகில இந்திய சேவைகள்
ફાળવણી,ஒதுக்கீடு
ફાળવણી,ஒதுக்கீடு
ફાળવણીનો પત્ર,ஒதுக்கீட்டு கடிதம்
ફાળવણી કરનાર,ஒதுக்கீடு
માન્ય,அனுமதிக்கக்கூடியது
માન્ય -ખર્ચ,அனுமதிக்கக்கூடிய செலவுகள்
અપીલ કરવાની મંજૂરી આપવી,மேல்முறையீட்டை அனுமதிக்கவும்
છૂટ,கொடுப்பனவு
બધા હકો અમારી પાસે રાખેલા છે,அனைத்து உரிமைகளும் பாதுகாக்கப்பட்டவை
વર્ણાનુક્રમ,அகரவரிசை வரிசை
બોલો,வாக்குவாதம்
વૈભવી,மாற்று
વૈકલ્પિક,மாற்று
સંવાદ,ஒருங்கிணைப்பு
સુધારેલો મુસદ્દો,திருத்தப்பட்ட வரைவு
સુધારો,திருத்தம்
સુંદરતા,வசதி
સુખદ,இணக்கமான
દારૂગોળો,வெடிமருந்து
દેવું,கடனின் கடன்தொகை
રકમ,தொகை
પેન્શનની રકમ,ஓய்வூதியத்தின் அளவு
એકસમાન સ્થાન,ஒப்பீட்டு இடுகை
વિશ્લેષણ,பகுப்பாய்வு
વિશ્લેષણાત્મક,பகுப்பாய்வு ஆய்வு
વડપણ,மூதாதையர்
આનુષંગિક ઉદ્યોગ,துணை தொழில்
શિષ્ટાચાર,பகை
જોડાણ,இணைப்பு
વર્ષગાંઠ,ஆண்டு
જાહેરાત,அறிவிப்பு
ત્રાસ,எரிச்சல்
વાર્ષિક નિવેદન,ஆண்டு நிதி அறிக்கை
વાર્ષિક હિસાબ,ஆண்டு அறிக்கை
વાર્ષિકી,ஆண்டு
અનામી,அநாமதேய
નામંજૂર ફરિયાદ,அநாமதேய புகார்
જવાબદારપણું,பதில்
ઉત્તરવહી,விடைத்தாள்
વિરોધી,எதிரி
પૂર્વવર્તીઓ,முன்னோடிகள்
અપેક્ષિત ખર્ચ,எதிர்பார்க்கப்பட்ட செலவு
અપેક્ષિત આવક,எதிர்பார்க்கப்பட்ட வருமானம்
અપેક્ષા,எதிர்பார்ப்பு
અપેક્ષિત જામીન,எதிர்பார்ப்பு ஜாமீன்
ભ્રષ્ટાચાર માપદંડ,ஊழல் எதிர்ப்பு நடவடிக்கை
પ્રતિષ્ઠાવાન,டம்பிங் எதிர்ப்பு
પ્રાચીન,பழங்கால
રંગભુળ,நிறவெறி
દુ: ખ,அக்கறையின்மை
ટોચ,உச்ச உடல்
માફી,மன்னிப்பு
અપીલ,மேல்முறையீடு
દેખાવ,தோற்றம்
સંતાપવું,திருப்தி
અપીલ પંચ,மேல்முறையீட்டு தீர்ப்பாயம்
પરિશિષ્ટ,பின் இணைப்பு
ઉપકરણ,சாதனம்
લાગુ પડે એવું,பொருந்தும்
અરજદાર,விண்ணப்பதாரர்
નિયમ,விண்ணப்பம்
અરજી પત્ર,விண்ணப்ப படிவம்
લાગુ કરવું,பயன்படுத்தப்பட்டது
અરજી કરવી,விண்ணப்பிக்கவும்
નિમણૂક કરનાર,நியமிக்கப்பட்டவர்
નિયુક્ત સત્તા,அதிகாரத்தை நியமித்தல்
નિમણૂક,நியமனம்
નિમણૂક -પત્ર,நியமனம் கடிதம்
નિમણૂક સમિતિ,அமைச்சரவையின் நியமனங்கள் குழு
વેતનનું વિભાજન,ஊதியப் பகிர்வு
મૂલ્યાંકન,மதிப்பீடு
મુલવણી કરનાર,மதிப்பீட்டாளர்
કદર,பாராட்டு
આશંકા,அச்சம்
ઉમેદવાર,பயிற்சி
અભિગમ,அணுகுமுறை
યોગ્ય,பொருத்தமானது
યોગ્ય કાર્યવાહી,பொருத்தமான நடவடிக்கை
યોગ્ય,பொருத்தமான தலை
વિનિયોગ,ஒதுக்கீடு
મંજૂરી,ஒப்புதல்
આશરે,தோராயமான
અભિરુચિ કસોટી,ஆப்டிட்யூட் சோதனை
મનસ્વી,தன்னிச்சையானது
મધ્યસ્થી,நடுவர்
લવાદી,நடுவர்
લવાદી પંચ,நடுவர் தீர்ப்பாயம்
લવાદી,நடுவர்
સ્થાપત્ય,கட்டிடக்கலை
દફ્તર,காப்பகங்கள்
વિસ્તાર,பகுதி
વિસ્તારનું મુખ્ય મથક,பகுதி தலைமையகம்
દલીલ,வாதம்
ઊગવું,எழும்
સશસ્ત્ર દળો,ஆயுத படைகள்
વ્યવસ્થા,ஏற்பாடு
બાકી,நிலுவைத் தொகை
બાકી રાખનાર પત્રક,நிலுவைத் அறிக்கை
આગોતડી અહેવાલ,வருகை அறிக்கை
ઘમંડ,ஆணவம்
શસ્ત્રસાર,அர்செனல்
વસ્તુ,கட்டுரை
મંડળ,சங்கத்தின் கட்டுரைகள்
લેખ,கட்டுரைகள்
ચડતો હુકમ,ஏறுவரிசை ஒழுங்கு
ખાતરી કરવી,தெரிந்து கொள்ளுங்கள்
જ્યાં છે ત્યાં છે,எங்கே இருக்கிறது
દૃષ્ટિ,அம்சம்
આછા,ஆவேசம்
હત્યા,படுகொலை
હુમલો,தாக்குதல்
ભેગા,ஒன்றுகூடு
વિધાનસભા,சட்டசபை
અનુમાન,ஒப்புதல்
ભારપૂર્વક કહેવું,உறுதிப்படுத்தவும்
આકારણી કરનાર,மதிப்பீட்டாளர்
આકારણી,மதிப்பீடு
આકારણી વર્ષ,மதிப்பீட்டு ஆண்டு
આકારણીકાર,மதிப்பீட்டாளர்
અસ્ક્યામત,சொத்துக்கள்
મુખત્ર,ஒதுக்கப்பட்டவர்
સોંપણી,ஒதுக்கீடு
મુલકવનાર,ஒதுக்குபவர்
સહાય,உதவி
સાથી,இணை
મંડળ,தொடர்பு
હવાલો,கட்டணம் அனுமானம்
ખાતરી,உத்தரவாதம்
ખાતરી કંપની,உத்தரவாத நிறுவனம்
ખાતરી આપવી,உறுதி
અપટ,தள்ளுபடியில்
અણુની શક્તિ,அணு சக்தி
સમકક્ષ,சமமாக
ઈમારત,பிரீமியத்தில்
સંલગ્ન કરવું,இணைக்கவும்
જોડાયેલ કચેરી,இணைக்கப்பட்ட அலுவலகம்
જોડાણ,இணைப்பு
જોડાણનો હુકમ,இணைப்பு வரிசை
પ્રાપ્તિ,அடைதல்
પ્રયત્ન,முயற்சி
ઉપસ્થિત,வருகை
ઉપસ્થિત રજિસ્ટર,வருகை பதிவு
ઉપસ્થિત કાપલી,வருகை சீட்டு
ધ્યાન,கவனம்
પ્રમાણન,சான்றளித்தல்
પ્રમાણિત પ્રત,சான்றளிக்கப்பட்ட நகல்
વલણ,அணுகுமுறை
આકર્ષક પગાર,கவர்ச்சிகரமான சம்பளம்
હરાજી,ஏலம்
હરાજી કરવી,ஏலதாரர்
હરાજીનું વેચાણ,ஏல விற்பனை
શ્રોતા,பார்வையாளர்கள்
દૃષ્ટિકોણ,ஆடியோ-காட்சி காட்சி
વિઝ્યુઅલી પ્રચાર,ஆடியோ காட்சி விளம்பரம்
હિસાબ -તપાસણી,தணிக்கை
ઓડિટ કરેલ હિસાબ,தணிக்கை செய்யப்பட்ட கணக்குகள்
Ited ડિટ કરેલી સર્ટિલશીટ,தணிக்கை செய்யப்பட்ட இருப்புநிலை
Itingણ,தணிக்கை
હિસાબ -તપાસણીનો વાંધો,தணிக்கை ஆட்சேபனை
Itor ડિટર અહેવાલ,தணிக்கையாளரின் அறிக்கை
સભાગૃહ,ஆடிட்டோரியம்
ઓડિટ ફકરા,தணிக்கை பத்தி
હિસાબ -તપાસણી અહેવાલ,தணிக்கை அறிக்கை
કઠોરતા,சிக்கன நடவடிக்கை
કઠોર પગલાં,சிக்கன நடவடிக்கை
અધિકૃત,உண்மையான
અધિકૃત પ્રતિનિધિ,அங்கீகரிக்கப்பட்ட பிரதிநிதி
પ્રમાણભૂત,அதிகாரப்பூர்வ
અધિકાર,அதிகாரம்
સત્તાધિકારનો પત્ર,அதிகார கடிதம்
અધિકૃત,அங்கீகாரம் பெற்றவர்
અધિકૃત મૂડી,அங்கீகரிக்கப்பட்ட மூலதனம்
સ્વચાલિત,தானியங்கி
સ્વાયત્ત,தன்னாட்சி
સ્વાયત્ત સંસ્થા,தன்னாட்சி உடல்
સ્વાયત્તતા,தன்னாட்சி
સહાયક,துணை
ઉપલબ્ધ,கிடைக்கிறது
સરેરાશ,சராசரி
સરેરાશ રજા,சராசரி விடுப்பு
અણગમો,வெறுப்பு
અટકાવવું,தவிர்க்கவும்
ટાળવું,தவிர்க்கவும்
કર બંધ,வரியைத் தவிர்ப்பது
રાહ જોવાયેલું,காத்திருந்தது
પુરસ્કાર,விருது
પુરસ્કાર સત્તાધિકારી,அதிகாரம் வழங்குதல்
જાગરૂકતા,விழிப்புணர்வு
પીછેહઠ,பின்வாங்கியது
પૃષ્ઠભૂમિ,பின்னணி
પાછલી લોગ,பின் பதிவு
પાછા બહાર,பின்னால்
પાછલી વાત,பின் குறிப்பு
પીછેહઠ કરવી,காப்புப்பிரதி
પછાત વર્ગ,பின்தங்கிய வகுப்புகள்
પછાત આદિજાતિ,பின்தங்கிய பழங்குடி
ખરાબ સોદો,மோசமான பேரம்
ખરાબ વર્તન,மோசமான நடத்தை
ખરાબ પાત્ર,மோசமான தன்மை
ખરાબ આબોહવા ભથ્થું,மோசமான காலநிலை கொடுப்பனவு
ખરાબ વર્તન,மோசமான நடத்தை
ખરાબ દેવું,மோசமான கடன்
સામાન,சாமான்கள்
જામીન,ஜாமீன்
સમતોલ,இருப்பு
સરખામણી નીચે લાવવામાં,சமநிலை வீழ்த்தப்பட்டது
સંતુલન આગળ લાવવામાં,இருப்பு முன்வைக்கப்பட்டது
સમતોલ અંદાજપત્ર,சீரான பட்ஜெட்
સરવૈયા,இருப்புநிலை
મતદાન,வாக்குப்பதிவு
મતપેટી,வாக்குப் பெட்டி
મતદાનનો કાગળ,வாக்குப்பதிவு காகிதம்
પ્રતિબંધ,தடை
બેંક,வங்கி
બેંક એકાઉન્ટ,வங்கி கணக்கு
બેંક સિલક,வங்கி இருப்பு
બેંક ખર્ચ,வங்கி கட்டணங்கள்
બેંક ની ખાતરી,வங்கி உத்தரவாதம்
બેંક રજા,வங்கி விடுமுறை
બેંકિંગ સુવિધા,வங்கி வசதி
બેંકિંગ કલાકો,வங்கி நேரம்
બેંકિંગ લેવડદેવડ,வங்கி பரிவர்த்தனை
બેંક દર,வங்கி வீதம்
બેંક સમાધાન,வங்கி சமரசம்
નાદાર,திவாலானது
બેંક સુરક્ષા,வங்கி பாதுகாப்பு
બેંક સ્ટેટમેન્ટ,வங்கி அறிக்கை
ભોજન સમારંભ,விருந்து
પટ્ટી પરિષદ,பார் கவுன்சில்
સોદો,பேரம்
સોદાબાજી,பேரம் பேசுதல்
ઉજ્જડ જમીન,தரிசு நிலம்
સાપ્તાહિક,பண்டமாற்று
પાયો,அடித்தளம்
તબાને,ஆதாரமற்றது
આધાર,அடித்தளம்
મુખ્ય વર્ષ,அடிப்படை ஆண்டு
પાયાની,அடிப்படை
મૂળભૂત રીતે,அடிப்படையில்
મૂળ બાતમી,அடிப்படை நுண்ணறிவு
મૂળ પગાર,அடிப்படை ஊதியம்
મૂળ પગાર ધોરણ,ஊதியத்தின் அடிப்படை அளவு
મૂળભૂત તાલીમ,அடிப்படை பயிற்சி
આધાર,அடிப்படை
ચોપડી,தொகுதி
બેચ નંબર,தொகுதி எண்
વાહક ચેક,தாங்கி காசோலை
ટાંકવામાં આવે તે પહેલાં,மேற்கோள் காட்டப்படுவதற்கு முன்
વર્તન,நடத்தை
વિશ્વાસ,நம்பிக்கை
નીચે,Par க்கு கீழே
હોદ્દો,பெஞ்ச்
બેહદ નિશાની,பெஞ்ச்மார்க்
લાભદાયી,நன்மை பயக்கும்
લાભ મેળવનાર,பயனாளி
લાભ,நன்மை
શંકાનો લાભ,சந்தேகத்தின் நன்மை
પરોપકારી,கருணை
હિતકારી નિધિ,நல்ல நிதி
વારસામાં આપવું,விருப்பம்
વસિયતનામા,விருப்பப்படி
પડદાથી છીનવી લેવું,துயரமடைந்தது
શ્રેષ્ઠ પ્રયત્નો,சிறந்த முயற்சிகள்
સુધારણા,மேம்பாடு
પક્ષપાત,சார்பு
પક્ષપાતી અભિપ્રાય,பக்கச்சார்பான கருத்து
ગ્રંથસૂચિ,நூலியல்
દ્વિવાર્ષિક,இருபது ஆண்டு
દ્વિભાજિત કરવું,பிளவுபட்டு
દ્વિપૂજ,பெரிய
દ્વિપક્ષીય,இருதரப்பு
દ્વિભાષી,இருமொழி
દ્વિકય,இரு
બિલ,ர சி து
વિનિમય,மாற்றச்சீட்டு
દ્વિમાસિક અહેવાલ,இருதரப்பு அறிக்கை
બાંધણી,பிணைப்பு
જૈવનું,பயோடேட்டா
દ્વિપક્ષી,இருதரப்பு
દ્વિપક્ષીય કરાર,இரு கட்சி ஒப்பந்தம்
જન્મજાસતિ,பிறப்பு ஆண்டுவிழா
જન્મ પ્રમાણપત્ર,பிறப்பு சான்றிதழ்
જન્મ -નિયંત્રણ,பிறப்பு கட்டுப்பாடு
જન્મતારીખ,பிறந்த தேதி
જન્મસ્થળ,பிறந்த இடம்
જન્મ દર,பிறப்பு வீதம்
દ્વિપક્ષીય,இரு வாராந்திர
કાળા અર્થતંત્ર,கருப்பு பொருளாதாரம்
કાળી યાદી,கருப்பு பட்டியல்
શરત,பிளாக்மெயில்
કાળા બજાર,கருப்பு சந்தை
દોષારોપણ,பழி
ખાલી તપાસ,வெற்று சோதனை
ઘોષણા,போர்வை ஒப்பந்தம்
અણીદાર હુકમ,போர்வை ஒழுங்கு
વિનોદ,குண்டு வெடிப்பு
સંમિશ્રણ,கலத்தல்
અવરોધ,தொகுதி
નાકાબંધી,முற்றுகை
અવરોધિત મૂડી,தடுக்கப்பட்ட மூலதனம்
અવરોધ,தொகுதி கடிதம்
રક્તદાન,இரத்த தானம்
રક્ત સંબંધ,இரத்த உறவுகள்
વાદળી રંગની નોકરી,நீல காலர் வேலை
બ્લ્યુપ્રિન્ટ,புளூபிரிண்ட்
ખસી,பிளஃப்
પાટીયું,பலகை
નિવારણ,போர்டிங் மற்றும் உறைவிடம்
નિયામક મંડળ,இயக்குநர்கள் குழு
મહેસૂલ બોર્ડ,வருவாய் வாரியம்
મંડળ,உடல்
અંગરક્ષક,மெய்க்காப்பாளர்
બોગસ વાઉચર,போலி வவுச்சர்
ખચ્ચર,உண்மையான
ખત,பத்திரம்
મજૂર,பிணைக்கப்பட்ட உழைப்பு
બોનસ,போனஸ்
નોંધણી ની ઓફીસ,பதிவு அலுவலகம்
ચોપડી,புத்தகக் காப்பாளர்
ચોપડે,புத்தகத்தை வைத்தல்
પુસ્તક,கையேடு
સંદર્ભ,குறிப்பு புத்தகம்
પુસ્તકની કિંમત,புத்தகம் மதிப்பு
પહાડી,பூத்
બૂથ,பூத் கைப்பற்றுதல்
સરહદ ભથ્થું,எல்லை கொடுப்பனவு
સરહદ -રેખા,பார்டர் லைன்
Bણ લેનાર,கடன் வாங்குபவர்
ઉધાર લેવાની શક્તિ,கடன் வாங்கும் சக்தி
બસ,பாஸ்
સંકલ્પશક્તિ,சிக்கல்
કૌંસ,அடைப்புக்குறி
હદ,எல்லை
બહિષ્કાર,புறக்கணிப்பு
મગજની ગટર,மூளை வடிகால்
શાખા કચેરી,கிளை அலுவலகம்
ભંગ,மீறல்
કરારભંગ,ஒப்பந்தத்தை மீறுதல்
આત્મવિશ્વાસ,நம்பிக்கையை மீறுதல்
કરારભંગ,ஒப்பந்த மீறல்
શિસ્તનો ભંગ,ஒழுக்கத்தை மீறுதல்
કાયદાનું ઉલ્લંઘન,சட்ட மீறல்
શાંતિનો ભંગ,சமாதான மீறல்
વિશેષાધિકારનો ભંગ,சலுகை மீறல்
વચનભંગ,வாக்குறுதியை மீறுதல்
નિયમનો ભંગ,விதியை மீறுதல்
વિશ્વાસભંગ,நம்பிக்கை துரோகம்
તૂટફૂટ,உடைப்பு
ભાંગી નાખવું,உடைக்கவும்
કામમાં વિરામ,சேவையில் இடைவெளி
છુટુ થવું,முறிவு
ઉછેર,இனம்
લાંચ,கையூட்டு
ટૂંકું,சுருக்கமான
બ્રીફિંગ,மாநாடு
ટૂંકું ફરી શરૂ,சுருக்கமான விண்ணப்பம்
તેજસ્વી વિક્રમ,புத்திசாலித்தனமான பதிவு
ધ્યાનમાં લેવું,கவனத்திற்கு கொண்டு வாருங்கள்
પ્રસારણ,ஒளிபரப்பு
બ્રોડશીટ,பிராட்ஷீட்
બ્રોશર,சிற்றேடு
દલાલ,தரகு
આગળ લાવ્યું (બી/એફ),முன்னோக்கி கொண்டு வரப்பட்டது (பி/எஃப்)
બજેટ ફાળવણી,பட்ஜெட் ஒதுக்கீடு
ભયંકર નિયંત્રણ,பிழையான கட்டுப்பாடு
બજેટ અંદાજ,பட்ஜெட் மதிப்பீடு
બજેટ જોગવાઈ,பட்ஜெட் வழங்கல்
મકાન,கட்டிடம்
જથ્થો,மொத்த
હિંસક ખરીદી,மொத்த கொள்முதல்
બુલેટિન,புல்லட்டின்
બમ્પર પાક,பம்பர் பயிர்
ખાલી જગ્યાઓ,காலியிடங்களின் கொத்து
બડબડાટ,பஞ்ச்லிங்
અમલદારશાહી,அதிகாரத்துவம்
અમલદાર,அதிகாரத்துவம்
વ્યાપારી વર્ગ,வணிக வகுப்பு
વ્યવસાય કલાકો (= વ્યવસાયના કલાકો),வணிக நேரம் (= வணிக நேரம்)
વેપારી,தொழிலதிபர்
બેવકૂફ,திரும்ப வாங்கு
ખરીદનાર,வாங்குபவர்
બાય ચૂંટણી (= ચૂંટણી દ્વારા),மூலம் தேர்தல் (= தேர்தல் மூலம்)
હાથ,கையால்
પદ દ્વારા,தபால் மூலம்
કેબીનનો સામાન,கேபின் சாமான்கள்
મંત્રીમંડળ,மந்திரி சபை
કાડર,பணியாளர்
આક્રમણ,பேரழிவு
ગણતરી,கணக்கீடு
ક calલેન્ડર વર્ષ,காலண்டர் ஆண்டு
અભિયાન,பிரச்சாரம்
વિસ્તાર,வளாகம்
કેમ્પસમાં મુલાકાત,வளாக நேர்காணல்
રદ કરવું,ரத்துசெய்
રદ કરવું તે,ரத்து செய்தல்
ઉમેદવાર,வேட்பாளர்
ઉમેદવારી,வேட்புமனு
-નો -પ્રચાર,கேன்வாசிங்
ક્ષમતા,திறன்
સક્ષમ,திறன்
શક્તિ,திறன்
પાટનગર,மூலதனம்
મૂડી ખર્ચ,மூலதன செலவு
ફાંસીની સજા,மரண தண்டனை
કરવટે ફી,தலைநகரம் கட்டணம்
પકડવું,பிடிப்பு
કાળજી,பராமரிப்பு
કારકિર્દી,தொழில்
કારકિર્દી વિકાસ,தொழில் வளர்ச்சி
કેરટેકર સરકાર,கவனிப்பு அரசு
આગળ વહન (સી/એફ),முன்னோக்கி கொண்டு செல்லப்பட்டது (சி/எஃப்)
આગળ વધવું,முன்னோக்கி எடுத்துச்செல்
વહન ખર્ચ,எடுத்துச் செல்லும் செலவு
હરાવીને લઈ જવું,எடுத்து செல்லும்
કારાકાર,கார்ட்டேஜ்
કેસ,வழக்கு
