Kannada,Telugu
ದಾಸ್ಯ,అల్బుగో
ಉಣ್ಣೆಯಂಥ,అల్బుమిన్
ಉಬ್ಬು ಬೀಜದ ಬೀಜ,అల్బుమినస్ సీడ్
ಬಿಲ್ಲಿನ,అల్బుమినూరియా
ಪಾರಾಗಲಿ,అల్బర్నమ్
ಹದಮುದಾಯಿ,ఆల్కే
ಆಲ್ಡಿಹ್ಯೀಡ್,ఆల్డెహీడ్
ಆಲ್ಡೋಸ್ಟಾನ್ ವ್ಯವಸ್ಥ,ఆల్డోస్టెరాన్ వ్యవస్థ
ಆಲ್ಡೋಸ್ಟಲಿಗೆ,ఆల్డోస్టెరాన్
ಅಲ್ಯೂರೋನ್ ಪದರ,అల్యూరోన్ పొర
ಕಣ್ಣುಹಾಯ,అల్యూరోప్లాస్ట్
ಉಚ್ಚಾರಣಾ,అల్ఫాల్ఫా
ಪಾಚಿಯ ಹೂವು,ఆల్గల్ బ్లూమ్
ಪಾರಿಗೊಣ,అల్జీన్
ಅನ್ಯಲೋಕದ ಡಿಎನ್‌ಎ,గ్రహాంతర DNA
ಅನ್ಯ,గ్రహాంతర జాతులు
ಜೋಡಣೆ,అమరిక
ಜೋಡಣೆ,అమరిక
ಅಲಿಮೆಂಟಿನ ಕಾಲುವೆ,అలిమెంటరీ కెనాల్
ಅಲಿಮೆಂಟರಿ ವ್ಯವಸ್ಥೆಯ,అలిమెంటరీ సిస్టమ్
ಮಿತ್ರತತ್ವ,అలిస్మాసిస్
ಕ್ಷಾರೀಯ,ఆల్కలాయిడ్
ಕ್ಷಾರೀಯ,ఆల్కలీన్
ಕ್ಷಾರೀಯ,అల్కాప్టోటోరియా
ನಾರು,అల్లాంటోయిస్
ಆಲೀಲ್ ಆವರ್ತನ,యుగ్మ వికల్ప ఫ్రీక్వెన్సీ
ಇಳಿಜಾರು,యుగ్మ వికల్పం
ಅಲಿಮಾರ್ಫಿಕ್ ಜೋಡಿ,అల్లెలోమోర్ఫిక్ జత
ಅಲರ್ಜಾಟ,అలెర్జీ
ಅಲಿಗ್ನ,ఎలిగేటర్
ಆಲಿಯಂ ಸೆಪಾ,అల్లియం సెపా
ಅಲೋಗಮಿ,అయోగాగమి
ಅರಿಯುವವಳು,అల్లోగ్రాఫ్ట్
ಅಲೋಪ್ಯಾಟ್ರಿಕ್ ಸ್ಪೆಸಿಪೇಶನ್,అల్లోపాట్రిక్ స్పెసియేషన్
ಸೂತ್ರ,అల్లోపాలిప్లోయిడ్
ಅಲೀರಿಕ್ ಪರಿಣಾಮ,అలోస్టెరిక్ ప్రభావం
ಅಲೋಸ್ಟರಿಕ್ ಕಿಣ್ವ,అలోస్టెరిక్ ఎంజైమ్
ಅಲಿಸ್ಟರಿಕ್ ಪ್ರತಿರೋಧಕ,అలోస్టెరిక్ ఇన్హిబిటర్
ಅಲೋಸ್ಟೆರಿಕ್ ಮಾಡ್ಯುಲೇಷನ್,అలోస్టెరిక్ మాడ్యులేషన్
ಅಲೋಸ್ಟರಿಕ್ ಸೈಟ್,అలోస్టెరిక్ సైట్
ಅಲಿಸ್ಟರಿಕ್ ಪ್ರತಿಬಂಧಕ,అలోస్టెరిక్ నిరోధం
ತಟೆಾತ್ರಾ,అలోటెట్రాప్లాయిడ్
ದಾಸ್ಯ,ఆల్నస్
ಅಡೆ,కలబంద
ಆಕ್ಸಾನ್ ಉದ್ದಕ್ಕೂ,ఆక్సాన్ వెంట
ಆಲ್ಫಾ-ಆಂಟಿಟ್ರಿಪ್ಸಿನ್,ఆల్ఫా-యాంటిట్రిప్సిన్
ಆಲ್ಫಾ-ಲಾಕ್ಟಾಲ್ ಬ್ಯೂನ್,ఆల్ఫా-లాక్టల్బ్యూమిన్
ಆಲ್ಪೈನ್ ಹವಾಮಾನ ಸ್ಥಿತಿ,ఆల్పైన్ వాతావరణ పరిస్థితి
ಆಲ್ಪೈನ್ ಹುಲ್ಲುಗಾವಲು,ఆల్పైన్ మేడో
ಆಲ್ಪೈನ್ ವಲಯ,ఆల్పైన్ జోన్
ಆಲ್ಸ್ಟೋನಿಯಾ,ఆల్స్టోనియా
ಪರ್ಯೇಡು,ఆల్టర్నేరియా
ಪರ್ಯಾಯ,ప్రత్యామ్నాయ
ಪೀಳಿಗೆಯ ಪರ್ಯಾಯ,తరం యొక్క ప్రత్యామ్నాయం
ಎತ್ತರ ಕಾಯಿಲೆ,ఎత్తు రుగ్మత
ಎತ್ತರ,ఎత్తు
ಅಲ್ವಿಯೋಲಾರ್ ನಾಳ,అల్వియోలార్ డక్ట్
ಮಣ್ಣು,అలిట్స్
ಆಲ್ z ೈಮರ್ ಕಾಯಿಲೆ,అల్జీమర్స్ వ్యాధి
ಅಮಾಮಿನ ಕೋಶ,అమాక్రిన్ సెల్
ಹುಳ,అమరాంతేసి
ಹುಳಿ,అమరాంథస్
ಸುತ್ತುವರಿದ ಆಸ್ಮೋಟಿಕ್ ಸಾಂದ್ರತೆ,పరిసర ఓస్మోటిక్ గా ration త
ಅಂಬಿಸ್ಟೋಮ,అంబిస్టోమా
ಅಸ್ಫುಲ್,అమైడ్
ಅಮೈನೊ ಆಸಿಡ್,అమైనో ఆమ్లం
ಅಮೈನೊ ಆಸಿಡ್ ಸ್ವೀಕಾರಕ,అమైనో యాసిడ్ అంగీకారం
ಅಮೈನಾಕ್ಲ್ ಟಿ ಆರ್ಎನ್ಎ ಸಿಂಥೆಟೇಸ್,అమైన్‌లాకారి
ಅಮೈನೊಅಸಿಲೇಷನ್,అమైనోఅసిలేషన్
ಅಮೀಟಾಸಿ,అమిటోసిస్
ಅಮೋನಿಯ,అమ్మోనియా
ಅಮೋನೀಕರಣ,అమ్మోనిఫికేషన్
ಅಮ್ಮನೋಟೆಲಿಸಂ,అమ్మోనోటెలిజం
ಜ್ಯೂನಿಯೊಸೆಂಟಿಸ್,అమ్నియోసెంటెసిస్
ಆಮದೋಸೆಂಟೆಸಿಸ್ ತಂತ್ರ,అమ్నియోసెంటెసిస్ టెక్నిక్
ಅಮ್ನಿಯೈಟ್,అమ్నియోసైట్
ಮಂಕಾದ,అమ్నియోన్
ಆಮ್ನಿಯೋಟಿಕ್ ದ್ರವ,అమ్నియోటిక్ ద్రవం
ಜಾಮ್ನಿಯೆಟಿಕ್ ಮೆಂಬರೇನ್,అమ్నియోటిక్ పొర
ಜಾಮಿಕಾಟದ ಚೀಲ,అమ్నియోటిక్ శాక్
ಅಮೀಬ,అమీబా
ಅಮೀಬೋಸೈಟ್,అమీబోసైట్
ಅಮೀಬಯುಡಿ,అమీబాయిడ్
ಅಮೀಬಯಿಡ್ ಲಿಂಫೋಸೈಟ್,అమీబోయిడ్ లింఫోసైట్
ಅಮೀಬಯಿಡ್ ಚಲನೆ,అమీబోయిడ్ కదలిక
ಅರೂಪದ,నిరాకార
ಮೊತ್ತ,మొత్తం
ಆಭರಣ,యాంఫేటమిన్
ಉಭಯಚರ,ఉభయచర
ಉಭಯಚರ,ఉభయచర
ಉಭಯಚರ,ఉభయచర
ಉಲ್ಬಣ,యాంఫియోక్సస్
ಆಂಫಿಯೋಕ್ಸಸ್ ಲ್ಯಾನ್ಸೊಲಾಟಸ್,యాంఫియోక్సస్ లాన్సోలాటస్
ಉಭಯಪಕ್ಷೀಯ,యాంఫిపతిక్
ಉಭಯಚರ ಲಿಪಿಡ್,యాంఫిపతిక్ లిపిడ్
ಉಚ್ಚಾರೆ,యాంఫిసార్కా
ಲೋಕದ,ఆంపిసిలిన్
ಹಲ್ಲು,అంపుల్లా
ಶಿರೋಕ್ತಿ ಗ್ರಂಥಿ,అంపల్లరీ గ్రంథి
ಅಮಿಗ್ಡಾಲ್,అమిగ్డాల్
ಬಾಚು,అమిగ్డేల్
ಅಮಿಗ್ಲಿನ್,అమిగ్డాలిన్
ಮಂಕಾದ,అమిలేస్
ಅಮಿಲೋಪ್ಲಾಸ್ಟ್,అమిలోప్లాస్ట్
ಅ ೦ ಗಡಿ,అనాబెనా
ಹಳ್ಳ,అనాబాస్
ಅನಾಬಲಿನ ​​ಮಾರ್ಗಗಳು,అనాబాలిక్ మార్గాలు
ಅನಾಬಾಲಿಸಂ,అనాబాలిజం
ಅನಾಕಾರ್ಡಿಯಾಸಿ,అనాకార్డియాసి
ರಕ್ತಹೀನತೆ,రక్తహీనత
ಬಯೆರೋಲೆ,Anaerobe
ಆಮ್ಲಜನವ್ಯಕ್ತಿ,వాయురహిత ఇంధనం
ಆಮ್ಲಜನವ್ಯಕ್ತಿ,వాయురహిత శ్వాసక్రియ
ಆಮ್ಲಜನಕರಹಿತ ಕೆಸರು ಡೈಜೆಸ್ಟರ್,వాయురహిత బురద డైజెస్టర్
ಆಮ್ಲಜನವ್ಯಕ್ತಿ,Anaerobic
ಅನೈಮ,అనైమా
ಗುದ,ఆసన
ಗುದ,ఆసన
ಗುದ ದ್ಯುತಿರಂಧ್ರ,ఆసన ఎపర్చరు
ಗುದ,అనల్ సెర్సీ
ಗುದ ಲೂಪು,అనల్ లూప్
ಗುದ ಶೈಲಿ,ఆసన శైలి
ಹೋಲುವ,సారూప్యత
ಹೋಲುವ,సారూప్యత
ಸಾದೃಶ್ಯ,సారూప్యత
ಸಾದೃಶ್ಯ,సారూప్యత
ವಿಶ್ಲೇಷಣೆ,విశ్లేషణ
ಅನಾಫೇಸ್,అనాఫేస్
ಅಂಗರಚನಾ ತಡೆಗೋಡೆ,శరీర నిర్మాణ అవరోధం
ಅಂಗರಚನಾ ಅಂಶ,శరీర నిర్మాణ అంశం
ಅಂಗರಚನಾ ತಜ್ಞ,శరీర నిర్మాణ శాస్త్రవేత్త
ಅಂಗರಚನಾಶಾಸ್ತ್ರ,శరీర నిర్మాణ శాస్త్రం
ಪೂರ್ವಜರ ವಂಶಸ್ಥ ಅನುಕ್ರಮ,పూర్వీకుల వారసుడు క్రమం
ಪೂರ್ವಜರ ವಂಶ,పూర్వీకుల వంశం
ಪೂರ್ವಜರ ಅನುಕ್ರಮ,పూర్వీకుల క్రమం
ಚಾಚು,అన్సైలోస్టోమా
ಆಂಡ್ರೊಸಿಯಮ್,ఆండ్రోసియం
Andrಷಧ,ఆండ్రోజెన్
ರಕ್ತಹೀನತೆ,రక్తహీనత
ವೇಶ್ಯೆ,ఎనిమోన్
ಅನೆಲಾಯ್ಡ್,అనూప్లోయిడ్
ಅನೆಪ್ಲು,అనూప్లోయిడి
ಗಂಜಿ,ఆంజినా
ಆಂಗಿಯ ವರ್ಗ,యాంజియోగ్రామ్
ಆತಿ,యాంజియోగ్రాఫ్
ಆಂಜಿಯಾರಿ ಶಾಸ್ತ್ರ,యాంజియోగ్రఫీ
ಆಂಜಿಯೋಪ್ಲಾಸ್ಟಿ,యాంజియోప్లాస్టీ
ಆಂಗಿಯೋಸ್ಪೆರ್ಮು,యాంజియోస్పెర్మ్
ಆಂಜಿಯೋಟೆನ್ಸಿನ್,యాంజియోటెన్సిన్
ಆಂಜಿಯೋಟೆನ್ಸಿನ್ ವಂಶದ,యాంజియోటెన్సినోజెన్
ಗಾಳಹಾಕಿ ಮೀನು,జాలరి చేప
ಗದ್ದೆ,అంగునా
ಕುಡಿನೂದಿ,అంగుయిస్
ಪ್ರಾಣಿ,జంతువు
ಪ್ರಾಣಿ,జంతువు
ಪ್ರಾಣಿ ಸಗಣಿ,జంతువుల పేడ
ಪಶುಸಂಗೋಪನೆ,పశుసంరక్షణ
ಪ್ರಾಣಿ ಕ್ಯಾರಿಯೋಟೈಪಿಂಗ್,జంతువుల కార్యోటైపింగ్
ಪ್ರಾಣಿ ಸಾಮ್ರಾಜ್ಯ,జంతు సామ్రాజ్యం
ಪ್ರಾಣಿಗಳ ಅಂಗಾಂಶ,జంతువుల కణజాలం
ಪ್ರಾಣಿ,యానిమాలియా
ಅಯಾನು,అయాన్
ಅನಿಸೊಟ್ರಾಪಿಕ್ ಬ್ಯಾಂಡ್,అనిసోట్రోపిక్ బ్యాండ్
ಮುಟ್ಟಿದ,ఎనియలింగ్
ಗಡಿಯಾರ,అన్నెలిడ్
ಅನುಗ್ರಹದ,అన్నెలిడా
ವಾರ್ಷಿಕ ಉಂಗುರ,వార్షిక రింగ్
ಉರಿಯೂತ,యాన్యులేటెడ్
ಅನ್ನ್ಯೂಲ್,యాన్యుల్
ಅಸಂಗತ ಪ್ರಕಾರ,క్రమరహిత రకం
ಅನಾಫಿಲಿಸ್,అనోఫిల్స్
ಇರುವೆ ಭಕ್ಷಕ,చీమ తినేవాడు
ವಿರೋಧದ,విరోధి
ಪೃಷ್ಠದ,అంటార్కిటిక్
ಆನಂತಾ,యాంటెన్నా
ಆಂಟೆನಾ ಸಂಕೀರ್ಣ,యాంటెన్నా కాంప్లెక్స్
ಆಂಟೆನಾಲ್ ಗ್ರಂಥಿ,యాంటెనల్ గ్రంథి
ಮುಂಭಾಗದ (ಕುಹರದ) ಬೂದು ಕೊಂಬು,ముందరి (వెంట్రల్) బూడిద కొమ్ము
ಮುಂಭಾಗದ ಹೈಪೋಫಿಸಿಸ್,పూర్వ హైపోఫిసిస్
ಮುಂಭಾಗದ ಮಧ್ಯಸ್ಥಿಕೆಯ ಸಲ್ಕಸ್,పూర్వ జోక్య సల్కస్
ಪರಾಗ,Anther
ಪರಂಪರೆ ಸಂಸ್ಕೃತಿ,పూర్వ సంస్కృతి
ಸ ೦ ಗಂಥಿಯ,ఆంథెరిడియం
ಪರಾಗಿದರದ,అంటెరోజాయిడ్
ಆಂಥೆಸೆರೋಸ್,ఆంథోసెరోస్
ಆಂಥೋಸೆರೋಟಾಪ್ಸಿಡಾ,ఆంథోసెరోటోప్సిడా
ಆಂಥ್ರಾಕ್ಸ್,ఆంత్రాక్స్
ಮಾನವಜನ್ಯದ ಅಳಿವಿನಂಚಿನಲ್ಲಿರುವ,మానవ అంతరించిపోవడం
ಮಾನವಶಾಸ್ತ್ರ,మానవ శాస్త్రం
