Odiya,Malayalam
ସକ୍ରିୟ ମୂଳ କ୍ଷେତ୍ର,സജീവ റൂട്ട് സോൺ
ତୀବ୍ର,തുളച്ചുകയറുന്ന
ଅନୁକେତ,പൊരുത്തപ്പെടലി
ଆଡାପ୍ଟେସନ୍,പൊരുത്തപ്പെടുത്തൽ
ଆଡେସନ୍,അഷൈൻ
ଆଦିବ,അദിപ്പോസ്
ଆଡଜଷ୍ଟମେଣ୍ଟ ସମୀକରଣ |,ക്രമീകരണ സമവാക്യം
ଆଡୋବ ମାଟି |,അഡോബ് മണ്ണ്
ବ୍ୟଭିଚାର,പ്രത്യേകത
ବିଶ୍ୱସ୍ତତା,സാഹസികത
Aechidispor,Aecidiossoror
ଏଓଲ୍ସିଆସ୍ ପ୍ରକ୍ରିୟା |,ഓലിയൻ പ്രക്രിയ
ଆଦାମୀ,Aiolian
ଆରେଟ୍,ഓറേറ്റ്
ବାୟୁ,ഏരിയൽ
ଏରୋମିଟର |,ഏയ്റോമീറ്റർ
ଏରୋସୋଲ୍ |,എയറോസോൾ
ବାୟେ,പകർച്ചവ്വാധം
ଆୟନୋଜି (ଇଟିଓଲୋଜି),Aetiiology (etiology)
ଆଗ ଶତ୍ରୁମାନଙ୍କର,വനനം
ଆଗ୍ରିଲେସନ୍,പ്രക്ഷോഭക്തി
Awarmark,ന്വര്
କୃଷି,കാർഷികം
କୃଷି କ୍ଲିନିକ୍ |,കാർഷിക ക്ലിനിക്
କୃଷି ଶ୍ରମ,കാർഷിക തൊഴിലാളി
କୃଷି ମାର୍କେଟିଂ |,കാർഷിക മാർക്കറ്റിംഗ്
କୃଷି ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |,കാർഷിക സാങ്കേതികവിദ്യ
କୃଷି,കൃഷിപ്പണി
ଯୁକ୍ତିଯୁକ୍ତ,അഗ്രിസിൾവികൾച്ചർ
Agrobizioditicity |,കാർഷികൈവൻവിറ്റി
Agrobiofogic ତ୍ରୁଟିଗୁଡିକ |,അഗ്രോബയോളജിക്കൽ വൈകല്യങ്ങൾ
Agrobiogioly |,അഗ്രോബയോളജി
ଭୟଙ୍କର ବିବିଧତା |,അഗ്രോകീല വൈവിധ്യമാർന്ന വൈവിധ്യമാർന്ന
ଭୟଙ୍କର ଜୋନିଂ |,അഗ്രോക്ലിമാറ്റിക് സോണിംഗ്
Agroftry,അഗ്രോഫോറസ്ട്രി
ସହଯୋଗୀ,ങ്ങളോട്
କିରେନୋନୋମ୍ବନ,അഗ്രോണമി
Agronastoal,അഗ്രോപസ്റ്റോറൽ
ସହପ୍ରଗୋକ୍ତ,കാർഷികസംരക്ഷണം
ଦୁର୍ଗସ୍,അഗ്രോസ്റ്റോസ്റ്റിയോളജി
Agrotype,അഗ്രോട്ടിപ്പ്
ବାୟୁ ପ୍ଲାଣ୍ଟ |,എയർ പ്ലാന്റ്
ଆକିଓଚି ମାଟି |,അക്കിയോച്ചി മണ്ണ്
ଆଲବିନିମ୍,ആൽബിനിസം
Altfisolles,ആൽഫിസോളുകൾ
ଆଲିଜି |,ആല്ഗകൾ
Alegal ରୋଗ,ആൽഗൽ രോഗം
ଆଲକାଲି ପାଣି |,ക്ഷാളി വെള്ളം
କ୍ଷାରିକ |,ആൽക്കലൈൻ
ଆହେଲେ |,അല്ലലേ
ଆଲଲେଇଚିକ୍,അല്ലോകെമിക്കലുകൾ
ଆଲୋଲେମୋର୍ଫେଫେଫେଫ |,AllloMorph
ଆଲୋଲୋପାଥି |,നിയോവദാതി
ଆଲି କ୍ରପ୍ କରିବା |,ഓൺലൈൻ ക്രോപ്പിംഗ്
Alloarcy,അലോക്കർപി
ଆଲଗଲାମି |,അലോഗാമി
Allomitry,അലറിരം
ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |,Allopolyplogid
Allosynapp ଗୁଡିକ (ଆଲିଷ୍ଟିଣ୍ଡେସ୍),Allosynapsis (Allowsyndesis)
ବିକଳ୍ପ ନୋଟିଂ |,ഇതര ബെയറിംഗ്
ବିକଳ୍ପ ଭୂମି ବ୍ୟବହାର |,ഇതര ഭൂമി ഉപയോഗം
ପରିବେଶ,ആംബിയന്റ്സ്
ଅମୃତାରା,സൗഹാർഭോഗം
ଅମିତୋସାଇସ୍ |,അമിറ്റോസിസ്
ଅମୃତନ,അമിനിവൽക്കരണം
ଆମୋନିଫିକେଟ୍,അമ്മോണിഫിക്കേഷൻ
ଆମୋନିଫାୟର୍,അമോമോണിഫയർ
ଅମୋରଫ,അമോഫ്
ଆମ୍ଫିମିକ୍ସିସ୍ |,ആംഫിമിക്സിസ്
ଆମ୍ଫୋଷ୍ଟିକ୍ |,ആംഫോടെക്
ଆନାବୋଲିଜିମ୍ |,അനാബോളിസം
ଆନାରୋବେ |,അയ്റോബ്
ଆନୁପ୍ଲଏଡ୍ |,Aneuplogode
କୋଣ ବୃକ୍ଷ,ആംഗിൾ നടുക്കം
ପଶୁ କୁମ୍ଭାରୀ,മൃഗസംരക്ഷണം
ପଶୁ ମନା କରେ |,മൃഗങ്ങളെ പ്രതിഫലിപ്പിക്കൽ
ଆନିମେଟ୍ ଶକ୍ତିମାନ |,ആത്യന്തിക .ർജ്ജം
Aningoploid,Anisoplode
ବାର୍ଷିକ ଉଦ୍ଭିଦ |,വാർഷിക സസ്യം
ବାର୍ଷିକ,ആണ്ടുതോറുമുള്ള
ଆନେସିଟି,ആന്തീസിസ്
ଆନ୍ଥ୍ରାକ୍ସ |,ആന്ത്രാക്സ്
ଆନ୍ଥ୍ରୋପେନିକ୍ କାରକ |,ആന്ത്രോപെനിക് ഘടകം
ଆଣ୍ଟିବାସିସ୍,ആന്റിബിയോസിസ്
ଆଣ୍ଟିବାୟୋଟିକ୍ |,രോഗനാശിനി
ପ୍ରତିକାର,മറുമരുന്ന്
ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ |,ആന്റിഓക്സിഡന്റുകൾ
ଆଣ୍ଟିଟୋକ୍ସିନ୍ |,ആന്റിടോക്സിൻ
ବ୍ରହ୍ମାଣ୍ଡ,അപര്യാഘാതം
ଆପିଡ୍ |,ആഫിഡ്
ଆପିକାଲ୍ ଗୁଣ୍ଡ |,അഗ്രമുദിനം
ଆପିକାଲ୍ ପ୍ରାଧାନ୍ୟ |,അഗ്ര ആധിപത്യം
ଆପିକାଲ୍ଟର୍ (ମହୁମାଛି ରଖିବା),അപ്പോർച്ചർ (ബീ സൂപ്പർഡിംഗ്)
ଆପୋମିକ୍ସସ୍ |,അപ്പോമിക്സിസ്
ଆପୋଟୋଏସ୍,അപ്പോപ്ടോസിസ്
ଅନୁକ୍ରମଣିକା,അനുബന്ധം
ଭୋକକାରୀ,വിശപ്പ്
ପ୍ରୟୋଗ କରାଯାଏ |,പ്രയോഗിച്ചു
ଜଳୀୟ ତୃଣ,അക്വാട്ടിക് കള
ଅର୍ବ୍ରାଲ୍ |,അർബോറിയൽ
ସ୍ଥାପନ |,അർബോറൈസേഷൻ
ପ୍ରତ୍ନତାତ୍ତ-ବଟାନିକାଲ୍ ରେକର୍ଡଗୁଡିକ |,ആർഎംജിയോ-ബൊട്ടാണിക്കൽ റെക്കോർഡുകൾ
କ୍ଷେତ୍ର ପରିସଂଖ୍ୟାନ,ഏരിയ സ്ഥിതിവിവരക്കണക്കുകൾ
କ୍ଷେତ୍ର,പദേശം
ARID ECOSYSem |,വരണ്ട ആവാസവ്യവസ്ഥ
ଅରିଲ୍,വര്ഷ്ടിക്കുക
ସୁଗନ୍ଧ,സൗരഭം
ସୁଗନ୍ଧିତ ଉଦ୍ଭିଦ |,ആരോമാറ്റിക് പ്ലാന്റ്
ସୁଗନ୍ଧିତ ଚାଉଳ |,ആരോമാറ്റിക് അരി
ତୀର,അഴുക്കുചാല്
ଆସେସିସ୍,അശെപ്സിസ്
ଅଭିଯୁକ୍ତ,അസെപ്ലെവ്
ଶ୍ୱେକାର ପ୍ରଚାର,അസുഖകരമായ പ്രചരണം
ଆମ୍ପେ,അസേ
ସମ୍ପତ୍ତି,ആസ്തി
ଆସିମେଇର |,ഉറപ്പ്
ସଙ୍ଗଠନ,ചങ്ങാത്തം
Astringent,രേണിംഗന്റ്
ଆସନାପାସୀ |,അസിനാപ്സിസ്
ସଂଲଗ୍ନବାଦ,Atawavism
ପରମାଣିଜର,ആലേറ്ററിജർ
ଆଟ୍ରୋଫି |,അട്രോഫി
ଅଟୋଗାମି |,ഓട്ടോഗാമി
ଅଟଲିସିସ୍ |,ഓട്ടോലിസിസ്
AroutDation,യന്തവഹനം
ଅଟୋପୋଲାପ୍ଲୋଡ୍ |,ഓട്ടോപോളിപ്ലോയിഡ്
Auxins,ഓക്സിൻസ്
Awn (ବ୍ରଷ୍ଟଲ୍),Awn (ബ്രിട്ട്)
ବାଦାମ |,ബദാം കായ്
ଆଲୋ,കറ്റാർ
ଅମରାନ୍ତିନ |,അമരന്തസ്
ଆମି,ആംമി
ଅଜାନର ଘାସ |,അഞ്ജൻ പുല്ല്
ଆଠର୍ିୟମ୍ |,ആന്തറിയം
"ଆଲୋଲା, ଭାରତୀୟ ଗୋଲାକାର |","ആരോള, ഇന്ത്യൻ നെല്ലിക്ക"
ଆପଲ୍,ആപ്പിൾ
ଆପ୍ରିକେଟ୍ |,ആപ്രിക്കോട്ട്
ଆର୍ବିଆନ୍ ଜସ୍ମିନ୍ |,Arbian ജാസ്മിൻ
Areca but,Arcaunt
ଅର୍ଜନୁନ୍,അർജുൻ
ଆସଫୋଏଡା,അസ്ഫോറ്റിഡ
ପାଉଁଶ ଗୁଣ୍ଡ |,ആഷ് പൊറോട്ട
ଅଶୋକା ଗଛ |,അശോക ട്രീ
ଅଶମ୍ମା ତୃଣକ (ଇଫୋରିୟା),അഷെതർ കള (യൂഫോർബിയ)
ଅସରପା,ശതാവരിച്ചെടി
ଆଭୋକାଡୋ |,അവോക്കാഡോ
ଆଲଫାଲଫା (ଲୁସେର୍ନ),പയറുവർഗ്ഗങ്ങൾ (ലൂസെർൻ)
ପିମ୍ପୁଡ଼ି,ഉറുമ്പുകൾ
ଆପିଡସ୍ |,മുഞ്ഞ
ସେନା ପୋକ,സൈനിക വേം
କୃଷି ଅର୍ଥନୀତିଜ୍ଞ,കാർഷിക സാമ്പത്തിക ശാസ്ത്രജ്ഞൻ
କୃଷି ବିସ୍ତାରବାଦୀ |,കാർഷിക വിപുലീകരണവാദി
କୃଷି ବ scientist ଜ୍ଞାନିକ |,കാർഷിക ശാസ്ത്രജ്ഞൻ
କୃଷି ଅଞ୍ଜିନକାରୀ |,കാർഷിക എഞ്ചിനീയർ
Agrobiooglist,അഗ്രോബയോളജിസ്റ്റിക്
ସହଯୋଗୀ,അഗ്രോണമിസ്റ്റ്
Agropsicsicst,Agrofysicst
ପଶୁ ପ୍ରଜନକ |,മൃഗങ്ങളുടെ ബ്രീഡർ
ବାକିଲସ୍ ଭାଇରସ୍ |,ബാസിലസ് വൈറസ്
ବାଣ୍ଡିଲସ୍ |,ബാസിലസ്
ଜୀବାଣୁ,ബാക്ടീരിയ
ବିରାଇଓଟୋକ୍ସିନ୍ |,ബാക്ടറോമോക്സിൻ
ବାଗାସେସ୍ |,ബാഗസ്
ତୂଳନା ପତ୍ର,ബാലൻസ് ഷീറ്റ്
ସନ୍ତୁଳିତ ଫର୍ଟିଲାଇଜେସନ୍ |,സമതുലിതമായ ബീജസങ്കലനം
ବାର୍ ଚିତ୍ର |,ബാർ ഡയഗ്രം
ଭୁକିବା |,കുര
ବାରୋମିଟର |,ബാരോമീമീറ്റർ
ବନ୍ଧ୍ୟା,തരിശായ
ଆଧାର,അടിത്തറ
ବାସନ,പരന്നപാതം
ପରଫିପାଲ୍ |,അടിസ്ഥാനപരമായ
ଆଧାର ତୁଲମ୍ |,ബസിസ്റ്റർനം
ବାଇ ମ so ସୁମୀ |,ബേ മൺസൂൺ
ଉଦ୍ଭିଦ ବହନ,വഹിക്കുന്ന പ്ലാന്റ്
ଶଯ୍ୟା,കിടക്ക
ଶଯ୍ୟା,അടിദേഡർ
ଶଯ୍ୟା,ശയ്യോപകരണങ്ങള്
ବିଟ୍ ଗୁଣ୍ଡ |,ബീറ്റ്റൂട്ട് മോളസ്
ଘଣ୍ଟି,മണിനാദം
ବେଲ୍ଟ,അരപ്പട്ട
ଲାଭ-ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |,ആനുകൂല്യ-വില വിശകലനം
ପକ୍ଷପାତ (ନମୁନା),പക്ഷപാതപരമായ (സാമ്പിൾ)
ବିଏନୋନିଆଲ୍,ബിനാത്തില്
Binomial,ബിനോമിയൽ
ବାୟୋଲାଇଜେଣ୍ଟ |,ബയോജന്റ്
ବାୟୋସେଡିକ୍ |,ബയോക്രിമേറ്റ്
ବାୟୋହୀ,ബയോ എനെർജി
ବାୟୋନୋମିକ୍ସ |,ബയോണോമിക്സ്
ବାୟୋରାକ୍ଟର,BIOREACTOR
ବାୟୋସଫିର୍,ബയോസ്ഫിയർ
ବାୟୋଟିକ୍ |,ഉപകാരന്
ବାୟୋଟାଇପ୍ |,ബയോട്ടിവൈപ്പ്
ବିସେକ୍ସୁଆଲ୍,ബൈസെക്ഷ്വൽ
ଖାଲି,ബ്ലാഞ്ചിംഗ്
ବିସ୍ଫୋରଣ,സ്ഫോടനം
ମିଶ୍ରଣ,സങ്കലനം
ଶୁକ୍ର,വരണ്ടതാണ
ଫୁଲା,പൊള്ളല്
ବ୍ଲୁ ବିପ୍ଳବ,നീല വിപ്ലവം
ତଳ ଉତ୍ତାପ ଚାମ୍ବର |,ചുവടെ ചൂട് ചേമ്പർ
ତଳ ଉତ୍ତାପ ଟେକ୍ନିକ୍ |,ചുവടെയുള്ള താപ രീതി
ଶାଖା,തണ്ണീര്
ଶାଖା,ശാചിനമായ
ଶାଖା,ലഘുലേഖ
ପ୍ରଜାତି,ഇനം
ପ୍ରଜନନ,പ്രജനനം
ଉଜ୍ଜ୍ୱଳ,തിളങ്ങുന്ന
Etod,കുഞ്ഞുങ്ങള്
ବଡିଙ୍ଗ,വളർന്നുകാരി
ବଜେଟ୍,വരവ്ചെലവ് മതിപ്പ്
ବଫର୍,ബഫർ
ବଲ୍ବ,ബൾബ്
ବଣ୍ଟନ,മുണ്ടു
ଉତ୍ପାଦ ଦ୍ୱାରା,ഉപോൽപ്പന്നം
ବାବୁଲ ଆକାସିଆ |,ബാബുൾ അക്കേഷ്യ
ଶିଶୁ ମକା |,കുഞ്ഞ് ധാന്യം
ବାଥ୍,ബാലിനെ
ବିଲ୍,ബില്ലാൻ
ବାଲସାମ,ബൽസം
ବାଉଁଶ,മുള
କଦଳୀ,വാഴപ്പഴം
ବାନିଆନ୍ ଗଛ |,ബനിയൻ ട്രീ
ବାର୍ଲି,യവം
ବରଗାର୍ଡ ମିଲେଟ୍ |,ബാർയ്യാർഡ് മില്ലറ്റ്
ବେସନ,തുളക്ടി
ବଷ୍ଟାର୍ଡ ​​ଏରସ,ബാസ്റ്റാർഡ് ദേവദാരു
ବଷ୍ଟାର୍ଡ ​​ମିରୋବଲାନ୍ |,ബാസ്റ്റാർഡ് മൈറോബലൻ
ବାହୁଏସିଆ,ബവായീനിയ
ଦୁ very ଖଦ,ബേ ബെറി
ବିନ୍,അമര
ବିଲାତି,മധുരക്കിഴങ്ങുചെടി
ବେଲାଣ୍ଡୋନା,ബെല്ലഡോണ
ହେ,മുളകു
Berseim,പതുക്കമുള്ള
Beelt,മുയേറ്റ
ବିଲିମ୍ବି,ബിലിമ്പി
ତିକ୍ତ ଗୁଣ୍ଡ |,പാവയ്ക്ക
କଳା ଗ୍ରାମ,കറുത്ത ഗ്രാം
କଳା ନାଇଟ୍ଶେଡ୍ |,കറുത്ത നൈറ്റ്ഷെയ്ഡ്
ବଗିନିଭିଆ |,ബ g ഗൻവില്ല
ବୋତଲ ବ୍ରଶ |,കുപ്പി ബ്രഷ്
ବୋତଲ ଗୋବଲଙ୍କ |,ബോട്ടിൽ പൊറോട്ട
ବାକ୍ସ ଗଛ,ബോക്സ് മരം
ରୁଟି ଫଳ,ബ്രെഡ് ഫലം
Bridal creper,വധുവിന്റെ ക്രീപ്പർ
ବ୍ରିନଜାଲ୍ |,വശ്ശീല
ବ୍ରଡ୍ ବିନ୍ |,വിശാലമായ ബീൻ
ବ୍ରୋକୋଲି,ബ്രോക്കോളി
ବ୍ରସେଲର ସ୍ପ୍ରୁଟ୍ |,ബ്രസ്സൽസ് മുള
ବାଲକ୍ୟୁଟ,താനിന്നു
ବଟି,ബദ്ധ
ବ୍ୟାଣ୍ଡିକୋଟ୍ |,ബാൻഡികാൂട്ട്
ଭାଲୁ,കരടി
ପୋକ,വണ്ട്
ବ୍ଲିଷ୍ଟର ବିଟଲ୍ |,ബ്ലിസ്റ്റർ വണ്ട്
ନୀଳ ଷଣ୍। |,നീല കാള
ବୋଲ୍ ପୋକ,ബോൾ വേം
ପ୍ରଜାପତି,ചിതശലഭം
ଜୀବାଣୁ ବିଶେଷଜ୍ଞ |,ബാക്ടീരിയോളജിസ്റ്റ്
ବାୟୋକେମିଷ୍ଟ |,ബയോകെമിസ്റ്റ്
ଜୀବବିଜ୍ଞାନୀ |,ജീവശാസ്തജ്ഞന്
ବାୟୋଟଚନୋଲୋଜିଷ୍ଟ,ബയോടെക്നോളജിക്
ଉଦ୍ଭିଦଦାତା,സസ്യശാസ്ത്രജ്ഞൻ
C ଆର୍ଦ୍ରତା ଚରିତ୍ରିକ ବକ୍ର |,സി ഈർപ്പം സ്വഭാവ വക്ര
ପିଠା,കേയ്ക്ക്
ସହଭାଗୀ,കണക്കാക്കാന്വേമികമായ
କାଲସିଫିକେସନ୍ |,കണക്കുകഷ്ടം
ଫସଫେଟର କାଲକେଣ୍ଟ |,ഫോസ്ഫേറ്റിന്റെ കാൽനികം
ଚତୁରତା,കൗണം
କୁଲସ୍,ഞങ്ങളെ വിളിക്കൂ
କାଲିକ୍ସ,കാലിക്സ്
କାଲିକ୍ସ-ଏଣ୍ଡ |,കാലിക്സ്-അവസാനം
କାମ୍ବିୟମ୍,കാമ്പി
କାକର,കാൻകെറർ
କ୍ୟାନିଂ,കാനിംഗ്
ଛାତ,മേലാപ്പ്
ପୁଞ୍ଜି,തലസ്ഥാനം
କାଗଶ,പിസേരിഫിക്കേഷൻ
Capsule,കാപ്സ്യൂൾ
କାର୍ବନ୍ରେଟେଡ୍ |,കാർബണേറ്റഡ്
କାର୍ବୋନିଅନାଇଜେସନ୍ |,കാർബണലൈസേഷൻ
କାର୍ପେଲ,പരല്പം
କାର୍ପସ୍ |,കാർപസ്
କାଷ୍ଟିଂ,കാസ്റ്റിംഗ്
କାଟାବୋଲିଜିମ୍ |,കാറ്റബോളിസം
କାଟାଲିସିସ୍ |,കവചലിസ്
କୀଟପତଙ୍ଗ,ചിതശലഭപ്പുഴു
C- DNA ଲାଇବ୍ରେରୀ |,സി-ഡിഎൻഎ ലൈബ്രറി
ଛାତ,മച്ച്
କକ୍ଷ,കോശം
କେନ୍ଦ୍ରୀୟ ନେତା ବ୍ୟବସ୍ଥା |,കേന്ദ്ര നേതാവ് സംവിധാനം
ସେଣ୍ଟ୍ରିକ୍ |,ഒരിനംവീപ്പ്
ଶତକଡ଼ା,സെൻറ്ഫ്യൂഗേഷൻ
ସେଣ୍ଟ୍ରିଫେଜ୍ |,കേന്ദ്രീകൃത
ସେଣ୍ଟ୍ରିଓନ୍ |,സെൻട്രിയോൾ
ସେଣ୍ଟ୍ରୋଜେନିକ୍ |,നൂന്കോജാനിക്
ସେଣ୍ଟ୍ରୋଜେନସ୍ |,നൂനിശ്ചയമുള്ള
କୀପତି,കടല്ചലട്
ଶସ୍ୟ,ധാനം
ପ୍ରମାଣପତ୍ର,സാക്ഷപ്പെടുത്തല്
ସାର୍ଟିଫାଏଡ୍ ବିହନ |,സാക്ഷ്യപ്പെടുത്തിയ വിത്ത്
ଚାଉଳ,ചാട്ട
ଚେଲାଜା |,ചാലസ
କେମୋଟ୍ରୋପିମ୍ |,പരോപപാതം
ଚିୟମା,ചിയാസ്മ
ଥଣ୍ଡା ଘଣ୍ଟା |,ചില്ലിംഗ് സമയം
ଚିଲିଂ ଆଘାତ |,ചില്ലിംഗ് പരിക്ക്
ଚିମେରା |,ചിമേര
ଚୋରାନେଣ୍ଟି |,ക്ലോറോറാന്തി
କ୍ଲୋରୋଫିଲେଲ୍ |,ക്ലോറോഫിൽ
ଚୋରୋରୋସାଇସ୍,ക്ലോറോസിസ്
ଚୋରୋରୋଲୋଜି |,ക്ലോറോളജി
କ୍ରୋମାମାସିଡ୍ |,ക്രോമാറ്റിഡ്
ଚ୍ରୋମାଟିନ୍ |,ക്രോമാറ്റിൻ
ଚ୍ରୋମାଟୋଗ୍ରାଫି,ക്രോമാറ്റോഗ്രാഫി
ଚୋରମାଟୋଲିଆସିସ୍,ക്രോമാറ്റോളിസിസ്
କ୍ରୋମେଣ୍ଟ୍ରେ |,ക്രോമസെന്റ്റന്റ്
ଚେରମୋଲେନ୍ସେସ୍,ക്രോമോജെനിസിസ്
କ୍ରୋମ୍ରୋପ୍ରୋଇଟେନ୍ |,ക്രോമോപ്രോട്ടൻ
କ୍ରୋମୋଜୋମ୍,ക്രോമസോം
କ୍ରନିକ୍,വിട്ടുമാറാത്ത
କୃଷି,സിട്രഞ്ച്
କ୍ଲାନ୍ତ,പചാരു
ବର୍ଗୀକରଣ,വര്ഗീകരണം
ମାଟି,കളിമണ്ണ്
ସଫା କରିବା,ശുചിയാക്കല്
କ୍ଲିସିଷ୍ଟଗାମି |,Clistogay
ଜଳମୟ ଫଳ |,ക്ലൈമാക്രിക് ഫ്രൂട്ട്
ଜଳବାୟୁ,കാലാവസ്ഥ
କମ୍ପନୋଲୋଜି,കാലാവസ്ഥയുള്ള
କ୍ଲିପର୍,ക്ലിപ്പര്
କ୍ଲାନ୍ତ,വലം
କ୍ଲୋନ,ക്ലോൺ
ମେଘ,മേഘം
Ump ୁଲା |,തോപ്പ്
କ୍ଲଷ୍ଟର,ക്ലസ്റ്റർ
କଠିନ,പരുക്കനായ
କୋଟ୍ (ବିହନ),കോട്ട് (വിത്ത്)
ନଡିଆ,കീടകോശം
ସହଯୋଗୀ,Coenzyme
ଘନିଷ୍ଠ,ഏകീകരണം
କୋର,കയർ
କୁଲେରରିଜା,കൊളോറൈസ
କଲର,കുപ്പായക്കഴുത്ത്
କୋଲଏଡ୍ (ମାଟି),കൊളോയിഡ് (മണ്ണ്)
କୋନିଲେଲା,കൊളംറ്റെല്ല
ସ୍ତମ୍ଭ,കോളം
ପ୍ରଶଂସା,ആമേനസം
ବାଣିଜ୍ୟିକ ବ୍ୟାଙ୍କ,വാണിജ്യ ബാങ്ക്
ଦ୍ରବ୍ୟ,ചരക്ക്
ସମ୍ପ୍ରଦାୟ,സമൂഹം
ସଙ୍କୋଚନ (ମାଟିର),കോംപാക്ഷൻ (മണ്ണിന്റെ)
ସୁସଙ୍ଗତତା,അനുയോജ്യത
ସୁସଙ୍ଗତତା,അനുയോജ്യത
କ୍ଷତିପୂରଣ,നഷ്ടപരിഹാരം
ପ୍ରତିଯୋଗିତାମୂଳକ ପାରସ୍ପରିକ କ୍ରିୟା |,മത്സര ഇടപെടൽ
ସମ୍ପୃକ୍ତ ଫସଲ,പൂരക വിള
ଜଟିଳ,കോംപ്ലമായ
ଉପାଦାନ,ഘടകം
ରଚନା,രചന
କମ୍ପୋଷ୍ଟ,കമ്പോസ്റ്റ്
ଯ ound ଗିକ ଆଗ୍ରହ |,കൂട്ടുപലിശ
ଗଣନା,കണക്കുകൂട്ടൽ
କମ୍ପ୍ୟୁଟର,കന്വൂട്ടര്
ଏକାଗ୍ରତା,ഏകാഗത
କଣ୍ଡିସନର,കണ്ടന്റർ
ଆଚରଣ,മാര്ഗ്ഗം
ବିନ୍ୟାସ,കോൺഫിഗറേഷൻ
ଅନୁକୂଳ,അനുരൂപത
ଦ୍ୱନ୍ଦ୍ୱ,ആശയക്കുഴപ്പത്തില്
ମିଳିତତା,സംയോജനം
ସଂଯୋଗ,കണക്റ്റീവ്
ସଂରକ୍ଷଣ,സംരക്ഷണം
ସଂସ୍ଥାଗୁଡ଼ିକ,ഏകീകരണം
ନିରନ୍ତର,ഘടകങ്ങൾ
ଗ୍ରାହକ,ഉപഭോക്താവ്
ବ୍ୟବହାର,ഉപഭോഗം
ପ୍ରଦୂଷଣ,മലിനമാക്കല്
ବିଷୟବସ୍ତୁ ବୃକ୍ଷ,കോണ്ടൂർ നടീൽ
ବିଷୟବସ୍ତୁ,ബാഹരേഖ
ଚୁକ୍ତିନାମା ଚାଷ,കരാർ കൃഷി
ନିୟନ୍ତ୍ରିତ ଷ୍ଟୋରେଜ୍ |,നിയന്ത്രിത സംഭരണം
ସହ-ଅପରେଟିଭ୍ ବ୍ୟାଙ୍କ |,കോ-ഓപ്പറേറ്റീവ് ബാങ്ക്
ସହଯୋଗ,സഹകരണക്കാരൻ
ସହଯୋଗୀ,ചെവിസിസ്
କରମ୍,വലം
କରୋଲଲା,കൊറോള്ള
କର୍ଟେକ୍ସ,Cuortex
ମୂଲ୍ୟ,ചെലവ്
କୋଟିଲିଡନ୍ (ବିହନ),കോട്ടിലെഡൺ (വിത്ത്)
କ୍ରେଡିଟ୍ ସମାଜ |,ക്രെഡിറ്റ് സമൂഹം
କ୍ରେଡିଟ୍,കീര്ത്തി
କ୍ରେସର୍ମର,കടക്കാരന്
କ୍ରେଷ୍ଟଷ୍ଟ,ചിഹ്നം
ଚୂର୍ଣ୍ଣ କରନ୍ତୁ |,കാശി
ସଙ୍କଟ,പതിസന്ധി
