Punjabi,English
ਲਗਭਗ ਸੰਪਤੀ,approximation property
ਯੋਗਤਾ ਟੈਸਟ,aptitude test battery
ਆਰਗਨ ਚਿੱਤਰ,Argand diagram
ਸਵੈ-ਇੱਛਤ,arbitrarily chosen
"ਬੇਤਰਤੀਬ, ਬੇਤਰਤੀਬ",arbitrary
ਆਪਹੁਦਰੇ ਸਥਿਰ,arbitrary constant
ਮੁਫ਼ਤ ਤੱਤ,arbitrary element
ਮਨਮਾਨੀ ਬਿੰਦੂ,arbitrary point
ਆਰਕੀਮੀਡ ਦਾ ਕਾਨੂੰਨ,Archemedean law
ਆਰਕੀਮੀਡੀਜ਼ ਦਾ ਕਾਨੂੰਨ,Archimedes principle
"ਚਾਪ-ਲੰਬਾਈ, ਚਾਪ-ਲੰਬਾਈ",arc length
ਚੱਕਰ ਚਾਪ,arc of circle
ਉਲਟ ਸਾਈਨ ਵੰਡ,arc sine distribution
ਉਲਟ ਸਾਈਨ ਪਰਿਵਰਤਨ,arc sine transformation
"ਖੇਤਰ, ਖੇਤਰ",area
ਖੇਤਰੀ ਸੰਰਚਨਾ,areal texture
ਇੱਕ ਮਿਸ਼ਰਿਤ ਸੰਖਿਆ ਦਾ ਕੋਣ,argument of complex number
ਗਣਿਤ ਦਾ ਮਤਲਬ,arithmetic mean
ਡਿਜ਼ੀਟਲ ਕਾਰਵਾਈ,arithmetic operation
ਡਿਜ਼ੀਟਲ ਯੂਨਿਟ,arithmetic unit
"ਸੰਰਚਨਾ, ਵਿਵਸਥਾ",arrangement
"ਐਰੇ, ਐਰੇ",array
ਨਕਲੀ ਉਪਗ੍ਰਹਿ,artificial satellite
ਨਕਲੀ ਵੇਰੀਏਬਲ,artificial variable
ਚੜ੍ਹਨ ਲਈ,ascend
ਚੜ੍ਹਦਾ,ascending
ਤੀਬਰਤਾ ਦਾ ਵੱਧਦਾ ਕ੍ਰਮ,ascending order of magnitude
ਚੜ੍ਹਦਾ ਗ੍ਰੇਡ,ascending series
ਅਸੈਂਬਲਰ ਭਾਸ਼ਾ,assembler language
"ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ ਅਸਾਈਨਮੈਂਟ ਸਵਾਲ,",assignment problem
ਸਹਿਯੋਗੀ ਨਿਯਮ,associative law
ਆਪਰੇਟਰਾਂ ਦਾ ਸਹਿਯੋਗੀ ਨਿਯਮ,associative law of operators
ਸਹਿਯੋਗੀ ਕਾਰਵਾਈ,associative operation
ਸਾਥੀ,associativity
ਮਤਲਬ ਮੰਨਿਆ,assumed mean
ਅਨੁਮਾਨਿਤ ਸੰਭਾਵਨਾ ਵੰਡ,assumed probability distribution
"ਕਲਪਨਾ, ਮੰਨਿਆ,",assumption
ਜੋਤਿਸ਼,astrology
"ਪੁਲਾੜ ਵਿਗਿਆਨੀ ਇੰਜੀਨੀਅਰ ਸਪੇਸ ਇੰਜੀਨੀਅਰ,",astronautical engineer
ਖਗੋਲ ਵਿਗਿਆਨੀ*,astronomer
ਖਗੋਲੀ ਘੜੀ,astronomical clock
ਖਗੋਲ ਵਿਗਿਆਨ,astronomy
ਅਸਮਿਤ ਵਕਰ,asymmetrical curve
ਅਸਮਿਤੀ,asymmetry
asymptotic,asymptote
ਪਰੇਸ਼ਾਨ ਕਰਨ ਵਾਲਾ,asymptotic
ਪ੍ਰਗਤੀਸ਼ੀਲ ਅਨੁਮਾਨਕ,asymptotically efficient estimator
ਪਿਛਾਖੜੀ ਪੱਖਪਾਤੀ ਅਨੁਮਾਨਕ,asymptotically unbiased estimator
ਪਿਛਾਖੜੀ ਵਿਹਾਰ,asymptotic behavior
ਹਮਲਾਵਰ ਵੰਡ ਫੰਕਸ਼ਨ,asymptotic distribution function
ਉੱਪਰ ਵੱਲ ਫੈਲਣਾ,asymptotic expansion
ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ,atmospheric pressure
"ਬੇਤਰਤੀਬੇ,",at random
ਸੰਪਤੀ*,attribute
ਗੁਣ-ਨਮੂਨਾ-ਪ੍ਰਣਾਲੀ,attributes sampling procedure
ਵਧਿਆ ਹੋਇਆ ਮੈਟਰਿਕਸ,augmented matrix
ਸਵੈ-ਸੰਬੰਧ ਗੁਣਾਂਕ,autocorrelation coefficient
ਸਵੈ-ਸੰਬੰਧ ਫੰਕਸ਼ਨ,autocorrelation function
ਸਹਿਵਿਹਾਰ,autocovariance
ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਰ,automatic computer
ਆਟੋਰਿਗਰੇਸ਼ਨ,autoregression
ਸਹਾਇਕ ਸਮੀਕਰਨ,auxiliary equation
ਮੀਨ ਸੈਂਪਲ ਨੰਬਰ ਕਰਵ (MPC ਕਰਵ),average sample number curve (A.S.N. Curve)
"axiom, axiom",axiom
axiom ਪਹੁੰਚ,axiomatic approach
ਸੰਭਾਵਨਾ axiom,axiom of probability
ਧੁਰਾ,axis
ਭੁਜਕਸ਼ਾ,axis of abscissa
ਧਰਤੀ ਦਾ ਧੁਰਾ,axis of earth
ਰੋਟੇਸ਼ਨ ਧੁਰਾ,axis of revolution
ਰੋਟੇਸ਼ਨ ਧੁਰਾ,axis of rotation
ਸਪਿਨ ਧੁਰਾ,axis of spin
ਪੋਸਟ ਬਦਲੀ,back-substitution
ਬਾਅਦ ਵਿੱਚ,backward difference
ਵਾਪਸ ਸੰਮਿਲਨ ਫਾਰਮੂਲਾ,backward-interpolation formula
"ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ",balance
ਸੰਤੁਲਿਤ ਡਿਜ਼ਾਈਨ,balanced design
ਸੰਤੁਲਨ ਸ਼ੀਟ,balance sheet
ਮਿਜ਼ਾਈਲ,ballistic missile
"ਬੈਲਿਸਟਿਕਸ, ਹਥਿਆਰ",ballistics
"ਕਾਲਮ, ਰਾਡ, ਕੋਬ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਲਾਈਨ, ਲਾਈਨ, ਟੈਸਟ ਲਾਈਨ, ਕਿਨਾਰਾ",bar
"ਅਧਾਰ, ਅਧਾਰ, ਅਧਾਰ, ਅਧਾਰ, ਅਧਾਰ",base
ਅਧਾਰ ਕੋਣ,base angle
"ਲਘੂਗਣਕ ਦਾ ਆਧਾਰ, ਲਘੂਗਣਕ ਦਾ ਆਧਾਰ",base of logarithm
"ਬੁਨਿਆਦੀ, ਬੁਨਿਆਦੀ,",basic
ਅਧਾਰ ਇਕਸਾਰ ਹੱਲ,basic feasible solution
ਅਧਾਰ ਹੱਲ,basic solution
ਅਧਾਰ ਵੇਰੀਏਬਲ,basic variable
ਅਧਾਰ,basis
ਅਧਾਰ ਤੱਤ,basis element
ਬੇਸ ਮੈਟ੍ਰਿਕਸ,basis matrix
ਵੈਕਟਰ ਸਪੇਸ ਦਾ ਅਧਾਰ,basis of a vector space
ਉਪ-ਜਨਸੰਖਿਆ ਦੇ ਆਧਾਰ &#39;ਤੇ,basis of subspace
ਬੇਈਮਾਨ,Bayesian estimate
bez-ਨਿਯਮ,Bayes' law
ਬੇਜ਼-ਪ੍ਰਮੇਯ,Bayes' theorem
bernoulli-ਵੰਡ,Bernoulli distribution
ਬਰਨੌਲੀ ਨੰਬਰ,Bernoulli number
ਬਰਨੌਲੀ ਪ੍ਰੋਬੇਬਿਲਟੀ ਫੰਕਸ਼ਨ,Bernoulli probability function
ਬਰਨੌਲੀ-ਸਮੀਕਰਨ,Bernoulli's equation
ਬੇਰੀ ਫੰਕਸ਼ਨ,Berry function
ਵਧੀਆ ਚਿਪਕਣ,best fit
ਵਧੀਆ ਅਸੰਭਵ ਲਾਈਨ,best - fit line
ਵਧੀਆ ਹੱਲ,best solution
ਵਧੀਆ ਸੁਝਾਅ,best strategies
ਬੀਟਾ ਵੰਡ,beta distribution
"ਪੱਖਪਾਤ, ਪੱਖਪਾਤ",bias
ਪੱਖਪਾਤੀ ਮੁਲਾਂਕਣ,biased estimate
ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ,biharmonic equation
ਸਿੰਗਲ ਕਵਰ,bijection
ਸਿੰਗਲ ਕਵਰ ਨਕਸ਼ਾ,bijective map
ਸਿੰਗਲ ਕਵਰ ਮੈਪਿੰਗ,bijective mapping
ਚਤੁਰਭੁਜ ਚਤੁਰਭੁਜ,bilinear form
ਦੋ-ਲੀਨੀਅਰ ਫੰਕਸ਼ਨ,bilinear function
ਦੋ-ਲੀਨੀਅਰ ਹਰਮੀਟੀਅਨ ਸਮਰੂਪਤਾ,bilinear Hermitian form
"ਦੋ-ਵੇਰੀਏਬਲ, ਬਾਈਨਰੀ, ਦੋਹਰਾ",binary
"ਬਾਈਨਰੀ ਕੋਡ, ਬਾਈਨਰੀ ਕੋਡ",binary code
"ਬਾਈਨਰੀ ਕੋਡਡ ਦਸ਼ਮਲਵ, ਬਾਈਨਰੀ ਕੋਡਿਡ ਦਸ਼ਮਲਵ",binary coded decimal
ਬਾਈਨਰੀ ਇੰਕੋਡਿੰਗ,binary coding
ਬਾਈਨਰੀ ਕੰਪਿਊਟਰ,binary computer
ਬਾਈਨਰੀ ਨੰਬਰ,binary digit
ਬਾਈਨਰੀ ਕਾਰਵਾਈ,binary operation
ਬਾਈਨਰੀ ਢੰਗ,binary system
ਬਾਈਨਰੀ ਵੇਰੀਏਬਲ,binary variable
ਬਾਇਨੋਮੀਅਲ ਗੁਣਾਂਕ,binomial coefficient
ਬਾਇਨੋਮੀਅਲ ਵੰਡ,binomial distribution
ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ,binomial equation
ਬਾਇਨੋਮੀਅਲ ਵਿਭਿੰਨਤਾ,binomial expansion
ਦੋਨੋਮੀ ਸਮੀਕਰਨ,binomial expression
ਬਾਇਨੋਮੀਅਲ ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ,binomial random variable
ਬਾਇਨੋਮੀਅਲ ਥਿਊਰਮ,binomial theorem
"ਅੱਧਾ, ਵਿਭਾਜਨ",bisection
"ਦੋ-ਭਾਗ ਵਿਧੀ, ਅਰਧ-ਵਿਭਾਜਨ ਵਿਧੀ",bisection method
ਅੱਧਾ ਬਾਈਸੈਕਟਰ,bisector
"ਬਾਇਨੋਮੀਅਲ, ਦੁਵੱਲਾ",biserial
"ਦ੍ਵਯੰਕ (ਬਾਈਨਰੀ ਸੰਖਿਆ), ਅਨੀ, ਬਰਮੀ, ਟੁਕ",bit
binomial binomial distribution binomial,bivariate binomial distribution
ਬਾਇਵਾਰੀਏਟ ਸਹਿ-ਸਬੰਧ ਗੁਣਾਂਕ,bivariate correlation coefficient
ਦੋ-ਪੱਖੀ ਵੰਡ,bivariate distribution
bivariate ਸਧਾਰਨ-ਵੰਡ,bivariate normal distribution
bivector,bivector
ਬੋਲਟਮੈਨ ਸਮੀਕਰਨ,Boltzmann equation
ਬੁਲੀਅਨ ਅਲਜਬਰਾ*,Boolean algebra
ਬੋਸ-ਆਈਨਸਟਾਈਨ ਦੇ ਅੰਕੜੇ,Bose - Einstein statistics
ਸੀਮਾ ਪਾਬੰਦੀਆਂ,boundary condition
ਸੀਮਾ ਪੱਧਰ,boundary layer
ਸੀਮਾ ਰੇਖਾ,boundary line
ਸੀਮਾ ਮੁੱਲ,boundary value
ਸੀਮਾ ਮੁੱਲ ਸਮੱਸਿਆ,boundary value problem
"ਸੀਮਿਤ ਫੰਕਸ਼ਨ ਸੀਮਿਤ ਫਲ,",bounded function
"ਬਾਊਂਡਡ ਮੈਟ੍ਰਿਕਸ, ਬਾਊਂਡਡ ਮੈਟ੍ਰਿਕਸ, ਬਾਊਂਡਡ ਟੇਬਲ,",bounded matrix
"ਸੀਮਾਬੱਧ ਖੇਤਰ ਸੀਮਾਬੱਧ ਖੇਤਰ,",bounded region
"ਬਾਊਂਡਡ ਸੈੱਟ ਬਾਊਂਡਡ ਸੈੱਟ,",bounded set
ਭੂਰੀ ਮੋਸ਼ਨ,Brownian motion
ਗਣਨਾ ਕਰਨ ਲਈ,calculate
ਗਣਨਾ,calculating
"ਕੈਲਕੁਲੇਟਰ, ਕੈਲਕੁਲੇਟਰ",calculating machine
ਗਣਨਾ*,calculation
ਕੰਪਿਊਟੇਸ਼ਨਲ ਐਕਸ਼ਨ ਵਿਧੀ,calculational procedure
"ਕੈਲਕੁਲੇਟਰ, ਕੈਲਕੁਲੇਟਰ",calculator
"ਕੈਲਕੂਲਸ, ਕੈਲਕੂਲਸ",calculus
ਪਰਿਵਰਤਨ ਕੈਲਕੂਲਸ,calculus of variation
ਕੈਲੋਰੀ,calorie
ਨਿਯਮ ਨੂੰ ਰੱਦ ਕਰੋ,cancellation law
ਕੈਨੋਨੀਕਲ ਸਮੀਕਰਨ,canonical equation
ਕੈਨੋਨੀਕਲ ਰੂਪ,canonical form
"ਕੈਨੋਨੀਕਲ ਮੈਟ੍ਰਿਕਸ, ਕੇ ਕੈਨੋਨੀਕਲ ਮੈਟ੍ਰਿਕਸ",canonical matrix
cantor ਸੈੱਟ,Cantor set
cantor ਤਿਕੋਣਾ ਸੈੱਟ,Cantor's ternary set
ਸੀਮਤ ਆਵਾਜਾਈ ਸਮੱਸਿਆ,capacitated transportation problem
ਯੋਗਤਾ,capacity
ਕੇਸ਼ੀਲ ਸ਼ਕਤੀ,capillary force
"ਗਿਣਤੀ ਸੰਖਿਆ, ਮੁੱਖ ਸੰਖਿਆ",cardinal number
ਕਾਰਟੇਸੀਅਨ ਧੁਰਾ,Cartesian axes
ਕਾਰਟੇਸੀਅਨ ਕੋਆਰਡੀਨੇਟਸ,Cartesian coordinates
ਕਾਰਟੇਸੀਅਨ ਉਤਪਾਦ,Cartesian product
ਸੈੱਟਾਂ ਦਾ ਕਾਰਟੇਸੀਅਨ ਗੁਣਾ,Cartesian product of sets
"ਕੇਸ ਸਟੱਡੀ, ਕੇਸ ਸਟੱਡੀ",case study
ਵਿਨਾਸ਼ਕਾਰੀ ਭਾਸ਼ਣ,catastrophic fluctuation
ਕੈਟਿਨਰੀ,Catenary
ਕੌਚੀ ਵੰਡ,Cauchy distribution
ਕੌਸ਼ੀ ਦਾ ਸੂਤਰ,Cauchy formula
ਕੌਸ਼ੀ-ਗੁਰਸਾ-ਪ੍ਰਮੇਯ,Cauchy Goursat theorem
ਕੌਸ਼ੀ-ਰਿਮਨ-ਬਾਨ,Cauchy Riemann conditions
ਕਾਚੀ ਕ੍ਰਮ,Cauchy sequence
ਕੌਸ਼ੀ ਅਟੁੱਟ,Cauchy integral
ਕੌਸ਼ਿ ਮੁਖ—ਮੁੱਲ,Cauchy principal value
ਕਾਚੀ ਬਾਕੀ ਪ੍ਰਮੇਯ,Cauchy residue theorem
ਕੈਲੇ-ਹੈਮਿਲਟਨ-ਪ੍ਰਮੇਯ,Cayley Hamilton theorem
ਆਕਾਸ਼ੀ ਸਰੀਰ,celestial body
ਖਗੋਲ-ਵਿਗਿਆਨਕ ਮਾਪ,celestial measurement
ਆਕਾਸ਼ੀ ਮਕੈਨਿਕਸ,celestial mechanics
ਆਕਾਸ਼ੀ ਸਰੀਰ,celestial object
ਸੈੱਲ ਬਾਰੰਬਾਰਤਾ,cell frequency
"ਮਰਦਮਸ਼ੁਮਾਰੀ, ਮਰਦਮਸ਼ੁਮਾਰੀ",census
ਪ੍ਰਤੀਸ਼ਤ,centile
ਸੈਂਟੀਮੀਟਰ,centimeter
ਸੈਂਟੀਮੀਟਰ-ਗ੍ਰਾਮ-ਦੂਜੀ ਵਿਧੀ,centimeter gram second system
"ਕੇਂਦਰੀ, ਕੇਂਦਰਿਤ",central
ਕੇਂਦਰੀ ਧੁਰਾ,central axis
ਕੇਂਦਰੀ ਪਾੜਾ,central difference
ਕੇਂਦਰੀ ਅੰਤਰ ਫਾਰਮੂਲਾ,central difference formula
ਕੇਂਦਰੀ ਅੰਤਰ ਸਾਰਣੀ,central difference table
ਕੇਂਦਰੀ ਸੀਮਾ ਪ੍ਰਮੇਯ,central limit theorem
ਕੇਂਦਰੀ ਪਲ,central moment
ਕੇਂਦਰੀ ਸਰੋਤ ਇਕਾਈ,central processing unit (C.P.U)
ਕੇਂਦਰੀ ਪ੍ਰਵਿਰਤੀ,central tendency
ਕੇਂਦਰ*,centre
ਗੰਭੀਰਤਾ ਦਾ ਕੇਂਦਰ,centre of gravity
ਸਮੂਹ ਕੇਂਦਰ,centre of group
ਪੁੰਜ ਕੇਂਦਰ,centre of mass
ਸਮਰੂਪਤਾ ਦਾ ਕੇਂਦਰ,centre of symmetry
ਸੈਂਟਰਿਫਿਊਗਲ ਫੋਰਸ,centrifugal force
centripetal ਫੋਰਸ,centripetal force
"ਸੈਂਟਰੀਪੇਟਲ ਮੈਰੀਡੀਅਨ,",centroid
ਨਿਸ਼ਚਤਤਾ,certainty
cgs ਵਿਧੀ,c.g.s. system
cgs ਯੂਨਿਟ,c.g.s. unit
ਵਿਭਿੰਨਤਾ ਦਾ ਚੇਨ ਨਿਯਮ,chain rule of differentiation
ਮੌਕਾ ਦੇ ਕੇ,chance causes
ਬੇਤਰਤੀਬ ਚਾਲ,chance moves
ਧੁਰੀ ਸ਼ਿਫਟ,change of axes
"ਅਧਾਰ ਪਰਿਵਰਤਨ ਪਯਾਧਰ-ਤਬਦੀਲੀ,",change of basis
ਪਰਮਿਊਟੇਸ਼ਨ,change of order
ਗੁਣ ਗੁਣ,characteristic coefficient
ਵਿਸ਼ੇਸ਼ਤਾ ਨਿਰਧਾਰਕ,determinant
ਗੁਣ ਸਮੀਕਰਨ,characteristic equation
"ਚਰਿੱਤਰ-ਕਾਰਜ, ਗੁਣ-ਕਾਰ",characteristic function
ਲਘੂਗਣਕ ਦਾ ਪੂਰਨ ਅੰਕ,characteristic of logarithm
"ਗੁਣ ਬਹੁਪਦ,",characteristic polynomial
ਗੁਣ ਮੁੱਲ,characteristic value
ਗੁਣ ਵੈਕਟਰ,characteristic vector
ਅੱਖਰ ਭਾਈਚਾਰੇ,character set
"ਚਾਰਟ, ਚਾਰਟ,",chart
ਚੀ-ਵਰਗ ਵੰਡ,chi-square distribution
ਚੀ-ਵਰਗ ਫਾਰਮੂਲਾ,chi-square formula
ਚੀ-ਵਰਗ ਟੈਸਟ,chi-square test
ਤਾਰ*,chord
ਤਾਰ ਵੰਡਣ ਦੀ ਵਿਧੀ,chord-bisection method
ਲਿਖਤੀ ਸੁਨੇਹਾ,cipher message (=coded message)
"ਜ਼ੀਰੋ, ਸਿਫਰ",cipher (zero)
ਚੱਕਰ*,circle
