Assamese,English
প্ৰতিফলনৰ নিৰপেক্ষ কোণ,angle of total reflection
কৌণিক ত্বৰণ,angular acceleration
কৌণিক বেগ,angular motion
কৌণিক গতি,angular speed
কৌণিক বেগ,angular velocity
ৰিং ফিংগাৰ,annulus
উত্তৰদিশ,answer
কাউণ্টাৰ ডেৰাইভেটিভ,anti – derivative
সমমিতি ফলন,antisymmetric function
"আবৃত, প্ৰযোজ্য, প্ৰযোজ্য",applicable
"আবেদন আবেদন,",application
ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে,applied dynamic programming
প্ৰয়োগ কৰা জ্যামিতি,applied geometry
প্ৰয়োগ কৰা গণিত,applied mathematics
প্ৰয়োগ কৰা পৰিসংখ্যা,applied statistics
"আনুমানিক, আনুমানিক",approximately
প্ৰায় অবিৰত ফলন,approximately continuous function
"মেক্ৰ&#39; পদ্ধতি, আনুমানিক পদ্ধতি",approximate method
আনুমানিক সমাধান,approximate solution
আনুমানিক সমস্যা,approximation problem
আনুমানিক বৈশিষ্ট্য,approximation property
যোগ্যতা পৰীক্ষা,aptitude test battery
আৰ্গন ডায়েগ্ৰাম,Argand diagram
স্বেচ্ছামূলক,arbitrarily chosen
"random, যাদৃচ্ছিক",arbitrary
ইচ্ছাকৃত ধ্ৰুৱক,arbitrary constant
মুক্ত মৌল,arbitrary element
ইচ্ছাকৃত বিন্দু,arbitrary point
আৰ্কিমিডিছৰ নিয়ম,Archemedean law
আৰ্কিমিডিছৰ নিয়ম,Archimedes principle
"চাপ-দৈৰ্ঘ্য, চাপ-দৈৰ্ঘ্য",arc length
বৃত্ত চাপ,arc of circle
বিপৰীত চাইন বিতৰণ,arc sine distribution
বিপৰীত চাইন ৰূপান্তৰ,arc sine transformation
"এলেকা, এলেকা",area
আঞ্চলিক সংৰূপ,areal texture
এটা জটিল সংখ্যাৰ কোণ,argument of complex number
গাণিতিক গড়,arithmetic mean
ডিজিটেল অপাৰেচন,arithmetic operation
ডিজিটেল ইউনিট,arithmetic unit
"কনফিগাৰেচন, ব্যৱস্থা",arrangement
"এৰে, এৰে",array
কৃত্ৰিম উপগ্ৰহ,artificial satellite
কৃত্ৰিম চলক,artificial variable
বগাবলৈ,ascend
আৰোহী,ascending
মাত্ৰাৰ আৰোহী ক্ৰম,ascending order of magnitude
আৰোহী গ্ৰেড,ascending series
এছেম্বলাৰ ভাষা,assembler language
"নিযুক্তি সমস্যা নিযুক্তি প্ৰশ্ন,",assignment problem
সহযোগী নিয়ম,associative law
অপাৰেটৰৰ এছ&#39;চিয়েটিভ নিয়ম,associative law of operators
এছ&#39;চিয়েটিভ অপাৰেচন,associative operation
সংগীত্ব,associativity
ধৰি লোৱা গড়,assumed mean
ধাৰণা কৰা সম্ভাৱনা বিতৰণ,assumed probability distribution
"কল্পনা কৰা, স্বীকাৰ কৰা,",assumption
জ্যোতিষ বিজ্ঞান,astrology
"মহাকাশ অভিযন্তা মহাকাশ অভিযন্তা,",astronautical engineer
জ্যোতিৰ্বিজ্ঞানী*,astronomer
জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী,astronomical clock
জ্যোতিৰ্বিজ্ঞান,astronomy
অসমতাপূৰ্ণ বক্ৰ,asymmetrical curve
বিষমতা,asymmetry
এছিম্পটটিক,asymptote
গুৰুতৰ কৰি তোলা,asymptotic
প্ৰগতিশীল অনুমানক,asymptotically efficient estimator
ৰেট্ৰ&#39;গ্ৰেড পক্ষপাতমূলক অনুমানক,asymptotically unbiased estimator
ৰেট্ৰ&#39;গ্ৰেড আচৰণ,asymptotic behavior
আক্ৰমণাত্মক বিতৰণ ফলন,asymptotic distribution function
ওপৰলৈ বিয়পি পৰা,asymptotic expansion
বায়ুমণ্ডলীয় চাপ,atmospheric pressure
"যাদৃচ্ছিকভাৱে,",at random
গুণ*,attribute
বৈশিষ্ট্য-নমুনা-ব্যৱস্থা,attributes sampling procedure
বৰ্ধিত মেট্ৰিক্স,augmented matrix
স্ব-সম্বন্ধ সহগ,autocorrelation coefficient
স্বয়ংসম্বন্ধ কাৰ্য্য,autocorrelation function
সহাৱস্থান,autocovariance
স্বয়ংক্ৰিয় কম্পিউটাৰ,automatic computer
অটোৰিগ্ৰেছন,autoregression
সহায়ক সমীকৰণ,auxiliary equation
গড় নমুনা সংখ্যা বক্ৰ (MPC বক্ৰ),average sample number curve (A.S.N. Curve)
"স্বতন্ত্ৰ, স্বতন্ত্ৰ",axiom
স্বতন্ত্ৰ পদ্ধতি,axiomatic approach
সম্ভাৱনা স্বতন্ত্ৰতা,axiom of probability
অক্ষ,axis
ভূজাক্ষ,axis of abscissa
পৃথিৱীৰ অক্ষ,axis of earth
ঘূৰ্ণন অক্ষ,axis of revolution
ঘূৰ্ণন অক্ষ,axis of rotation
স্পিন অক্ষ,axis of spin
পোষ্ট সলনি কৰা,back-substitution
পাছত,backward difference
পিছলৈ সন্নিৱিষ্ট কৰা সূত্ৰ,backward-interpolation formula
"ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য",balance
সুষম ডিজাইন,balanced design
বেলেন্স শ্বীট,balance sheet
মিছাইল,ballistic missile
"বেলিষ্টিক, অস্ত্ৰ-শস্ত্ৰ",ballistics
"স্তম্ভ, ৰড, কব, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, ৰেখা, ৰেখা, পৰীক্ষা ৰেখা, প্ৰান্ত",bar
"ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি",base
ভিত্তি কোণ,base angle
"লগাৰিদমৰ ভিত্তি, লগাৰিদমৰ ভিত্তি",base of logarithm
"মূল, মৌলিক,",basic
ভিত্তি সুসংহত সমাধান,basic feasible solution
ভিত্তি দ্ৰৱণ,basic solution
ভিত্তি চলক,basic variable
ভেঁটি,basis
ভিত্তি উপাদান,basis element
ভিত্তি মেট্ৰিক্স,basis matrix
ভেক্টৰ স্থানৰ ভিত্তি,basis of a vector space
উপজনসংখ্যাৰ ভিত্তিত,basis of subspace
অসাধু,Bayesian estimate
bez-নিয়ম,Bayes' law
bez- উপপাদ্য,Bayes' theorem
bernoulli-বিতৰণ,Bernoulli distribution
বাৰ্নৌলিৰ সংখ্যা,Bernoulli number
বাৰ্নৌলি সম্ভাৱনা ফলন,Bernoulli probability function
বাৰ্নৌলি-সমীকৰণ,Bernoulli's equation
জামুৰ কাৰ্য্য,Berry function
শ্ৰেষ্ঠ আঠাযুক্ততা,best fit
শ্ৰেষ্ঠ আঠাযুক্ত ৰেখা,best - fit line
উত্তম সমাধান,best solution
শ্ৰেষ্ঠ টিপছ,best strategies
বিটা বিতৰণ,beta distribution
"bias, পক্ষপাতিত্ব",bias
পক্ষপাতমূলক মূল্যায়ন,biased estimate
দ্বিপদ সমীকৰণ,biharmonic equation
একক কভাৰ,bijection
একক কভাৰ মেপ,bijective map
একক কভাৰ মেপিং,bijective mapping
দ্বিঘাত দ্বিঘাত,bilinear form
দ্বিৰৈখিক ফলন,bilinear function
দ্বিৰৈখিক হাৰ্মিটিয়ান সমতা,bilinear Hermitian form
"দ্বি-চলক, বাইনাৰী, দ্বৈত",binary
"বাইনাৰী ক&#39;ড, বাইনাৰী ক&#39;ড",binary code
"বাইনাৰী ক&#39;ড কৰা দশমিক, বাইনাৰী ক&#39;ড কৰা দশমিক",binary coded decimal
বাইনাৰী এনকোডিং,binary coding
বাইনাৰী কম্পিউটাৰ,binary computer
বাইনাৰী সংখ্যা,binary digit
বাইনাৰী অপাৰেচন,binary operation
বাইনাৰী পদ্ধতি,binary system
বাইনাৰী চলক,binary variable
দ্বিপদ সহগ,binomial coefficient
দ্বিপদ বিতৰণ,binomial distribution
দ্বিপদ সমীকৰণ,binomial equation
দ্বিপদ ভ্যাৰিয়েন্স,binomial expansion
দ্বিপদ অভিব্যক্তি,binomial expression
দ্বিপদ ৰেণ্ডম চলক,binomial random variable
দ্বিপদ উপপাদ্য,binomial theorem
"আধা, bifurcation",bisection
"bisect পদ্ধতি, অৰ্ধবিভাজন পদ্ধতি",bisection method
হাফ বাইছেক্টৰ,bisector
"দ্বিপদ, দ্বৈত",biserial
"ড্ৱায়াংক (বাইনাৰী সংখ্যা), অনি, বাৰ্মিজ, টুক",bit
দ্বিপদ দ্বিপদ বিতৰণ দ্বিপদ,bivariate binomial distribution
দ্বিচলকীয় সম্পৰ্ক সহগ,bivariate correlation coefficient
দ্বিচলকীয় বিতৰণ,bivariate distribution
দ্বিচলকীয় স্বাভাৱিক-বিতৰণ,bivariate normal distribution
বাইভেক্টৰ,bivector
বোল্টমেন সমীকৰণ,Boltzmann equation
বুলিয়ান বীজগণিত*,Boolean algebra
বস-আইনষ্টাইন পৰিসংখ্যা,Bose - Einstein statistics
সীমাবদ্ধতা নিষেধাজ্ঞা,boundary condition
সীমা স্তৰ,boundary layer
সীমাৰেখা,boundary line
সীমা মূল্য,boundary value
সীমা মূল্যৰ সমস্যা,boundary value problem
"সীমাবদ্ধ ফলন সীমাবদ্ধ ফল,",bounded function
"সীমাবদ্ধ মেট্ৰিক্স, সীমাবদ্ধ মেট্ৰিক্স, সীমাবদ্ধ টেবুল,",bounded matrix
"সীমাবদ্ধ ভূখণ্ড সীমাবদ্ধ ভূখণ্ড,",bounded region
"সীমাবদ্ধ ছেট সীমাবদ্ধ গোট,",bounded set
ব্ৰাউনি গতি,Brownian motion
গণনা কৰা,calculate
গণনা কৰা,calculating
"কেলকুলেটৰ, কেলকুলেটৰ",calculating machine
গণনা*,calculation
গণনামূলক ক্ৰিয়া পদ্ধতি,calculational procedure
"কেলকুলেটৰ, কেলকুলেটৰ",calculator
"কেলকুলাছ, কেলকুলাছ",calculus
ভ্যাৰিয়েন্স কেলকুলাছ,calculus of variation
কেলৰি,calorie
বাতিল নিয়ম,cancellation law
কেননিক সমীকৰণ,canonical equation
কেননিক ৰূপ,canonical form
"কেননিক মেট্ৰিক্স, কে কেননিক মেট্ৰিক্স",canonical matrix
কেন্টৰ ছেট,Cantor set
cantor ত্ৰিকোণীয় ছেট,Cantor's ternary set
বাধ্যতামূলক পৰিবহণ সমস্যা,capacitated transportation problem
সক্ষমতা,capacity
কেপিলাৰী বল,capillary force
"গণনা সংখ্যা, কাৰ্ডিনেল সংখ্যা",cardinal number
কাৰ্টেচিয়ান অক্ষ,Cartesian axes
কাৰ্টেছিয়ান স্থানাংক,Cartesian coordinates
কাৰ্টেছিয়ান উৎপাদন,Cartesian product
সমষ্টিৰ কাৰ্টেছিয়ান গুণন,Cartesian product of sets
"কেছ ষ্টডি, কেছ ষ্টডি",case study
দুৰ্যোগপূৰ্ণ ভাষণ,catastrophic fluctuation
catinary,Catenary
কাউচি বিতৰণ,Cauchy distribution
কৌশীৰ সূত্ৰ,Cauchy formula
কৌশী-গুৰ্ষ-উপাপাদ্য,Cauchy Goursat theorem
কৌছি-ৰাইমান-বান,Cauchy Riemann conditions
ক&#39;চি ক্ৰম,Cauchy sequence
কৌশি অবিচ্ছেদ্য,Cauchy integral
কৌশী মূল-মূল্য,Cauchy principal value
ক’চি ৰেমেইণ্ডাৰ উপপাদ্য,Cauchy residue theorem
কেলে-হেমিল্টন-উপাপাদ্য,Cayley Hamilton theorem
আকাশী দেহ,celestial body
জ্যোতিৰ্বিজ্ঞানৰ জোখ-মাখ,celestial measurement
আকাশী যান্ত্ৰিকতা,celestial mechanics
আকাশী দেহ,celestial object
কোষ কম্পাঙ্ক,cell frequency
"লোকপিয়ল, লোকপিয়ল",census
শতাংশ,centile
চেন্টিমিটাৰ,centimeter
চেণ্টিমিটাৰ-গ্ৰাম-ছেকেণ্ড পদ্ধতি,centimeter gram second system
"কেন্দ্ৰীয়, সমকেন্দ্ৰিক",central
কেন্দ্ৰীয় অক্ষ,central axis
কেন্দ্ৰীয় ব্যৱধান,central difference
কেন্দ্ৰীয় পাৰ্থক্য সূত্ৰ,central difference formula
কেন্দ্ৰীয় অৱভেদ্য টেবুল,central difference table
কেন্দ্ৰীয় সীমা উপপাদ্য,central limit theorem
কেন্দ্ৰীয় মুহূৰ্ত,central moment
কেন্দ্ৰীয় সম্পদ একক,central processing unit (C.P.U)
কেন্দ্ৰীয় প্ৰবৃত্তি,central tendency
কেন্দ্ৰ*,centre
মাধ্যাকৰ্ষণ কেন্দ্ৰ,centre of gravity
গ্ৰুপ চেণ্টাৰ,centre of group
ভৰ কেন্দ্ৰ,centre of mass
প্ৰতিসমতাৰ কেন্দ্ৰ,centre of symmetry
কেন্দ্ৰপৃথক বল,centrifugal force
কেন্দ্ৰিক বল,centripetal force
"কেন্দ্ৰিক মেৰিডিয়ান,",centroid
নিশ্চয়তা,certainty
cgs পদ্ধতি,c.g.s. system
cgs ইউনিট,c.g.s. unit
পাৰ্থক্যৰ শৃংখল নিয়ম,chain rule of differentiation
কেনেবাকৈ,chance causes
random move,chance moves
অক্ষৰ স্থানান্তৰ,change of axes
"ভিত্তি পৰিৱৰ্তন পায়ধৰ-পৰিৱৰ্তন,",change of basis
ক্ৰমবিন্যাস,change of order
বৈশিষ্ট্য সহগ,characteristic coefficient
বৈশিষ্ট্য নিৰ্ণায়ক,determinant
বৈশিষ্ট্যপূৰ্ণ সমীকৰণ,characteristic equation
"বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য, বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য",characteristic function
লগাৰিদমৰ পূৰ্ণসংখ্যা,characteristic of logarithm
"বৈশিষ্ট্যপূৰ্ণ বহুপদ,",characteristic polynomial
বৈশিষ্ট্যপূৰ্ণ মূল্য,characteristic value
বৈশিষ্ট্যপূৰ্ণ ভেক্টৰ,characteristic vector
চৰিত্ৰ সম্প্ৰদায়,character set
"লেখচিত্ৰ, লেখচিত্ৰ,",chart
কাই-স্কেয়াৰ বিতৰণ,chi-square distribution
কাই-বৰ্গ সূত্ৰ,chi-square formula
কাই-স্কেয়াৰ পৰীক্ষা,chi-square test
কৰ্ড*,chord
কৰ্ড বিভাজন পদ্ধতি,chord-bisection method
লিখিত বাৰ্তা,cipher message (=coded message)
"শূন্য, চাইফাৰ",cipher (zero)
বৃত্ত*,circle
অভিসৰণ বৃত্ত,circle of convergence
বৰ্তনী মেট্ৰিক্স,circuit matrix
"বৃত্তাকাৰ, বৃত্তাকাৰ,",circular
বৃত্তৰ asymptoes,circular asymptote
বৃত্তাকাৰ কণ্ডুলাইন,circular helix
বৃত্তাকাৰ গতি,circular motion
circumcentre,circumcentre
অৱসৰপ্ৰাপ্ত*,circumcircle
"প্ৰদক্ষিণ কৰা, চাৰিওফালে আঁকিব পৰা",circumscribe
অতীত,circumscribed
পৰিসীমাবদ্ধ,circumscribed circle
বিশিষ্ট কৰ্পৰেট,classical deductive technique
ক্লাসিক গতিশীলতা,classical dynamics
ক্লাসিক অপ্টিমাইজেচন,classical optimization
দীৰ্ঘদিনীয়া বিত্তীয় সমস্যা,classical ruin problem
ধ্ৰুপদী পৰিসংখ্যা বলবিজ্ঞান,classical statistical mechanics
ভুলৰ শ্ৰেণীবিভাজন,classification of errors
শ্ৰেণীৰ ব্যৱধান,class interval
শ্ৰেণী ব্যৱধান একক,class-interval unit
শ্ৰেণী সীমা,class limit
ঘড়ীৰ কাঁটাৰ দিশত,clockwise
বন্ধ কৰা হৈছে,clopen (= closed and open)
"বন্ধ, বন্ধ",closed
বন্ধ স্তৰৰ আৱৰণ,closed convex hull
বন্ধ ঘনক,closed cube
"বন্ধ বক্ৰ, বন্ধ বক্ৰ",closed curve
বন্ধ প্ৰদেশ,closed domain
বন্ধ আকৃতি,closed figure
বন্ধ ব্যৱধান,closed interval
"বন্ধ অঞ্চল, বন্ধ অঞ্চল",closed region
বন্ধ চেট,closed set
"বন্ধ পৃষ্ঠা, বন্ধ পৃষ্ঠা",closed surface
নিলমান,closure
pronator,closure operator
উত্তল বিন্দু,closure point (= contact point)
বন্দী-গ্ৰহণ কৰা,closure postulate
বন্দী ছেট,closure set
ক্লাষ্টাৰ পইণ্ট,cluster point
ক্লাষ্টাৰ নমুনা সংগ্ৰহ কৰা,cluster sampling
ক্লাষ্টাৰ এগ্ৰিগেট,cluster set
সমাক্ষীয় বৃত্ত,coaxial circles
সমাক্ষীয় প্যাৰাবোলা,coaxial parabolas
সমাক্ষীয় সমতল,coaxial planes
সমাক্ষীয় ত্ৰিভুজ,coaxial triangles
কব-ডাগলাছ ফাংচন,Cobb - Douglas function
"এনকোডিং, ক&#39;ডিং, সংকেত",coding
উপাদান সংকেত,coding of data
সহ-প্ৰদেশ,co-domain
সহগ মেট্ৰিক্স,coefficient matrix
সম্পৰ্ক সহগ,coefficient of correlation
নিৰ্ণয় সহগ,coefficient of determination
ইলাষ্টিক সহগ,coefficient of elasticity
প্ৰসাৰণ সহগ,coefficient of expansion
ঘৰ্ষণ সহগ,coefficient of friction
দীৰ্ঘায়িত প্ৰসাৰণৰ সহগ,coefficient of linear expansion
ৰিগ্ৰেছন সহগ,coefficient of regression
পৃষ্ঠীয় টানৰ সহগ,coefficient of surface tension
ভ্যাৰিয়েন্স সহগ,coefficient of variation
"সহ-কাৰক, সহ-কাৰক, সহ-কাৰক",cofactor
মুদ্ৰা টছ,coin throw (coin toss)
নমুনা সংগ্ৰহ কৰা,collection of sample
collinear,collinear
প্ৰান্তিককৰণ,collinearity
"স্তম্ভ, স্তম্ভ",column
স্তম্ভৰ ৰূপ,column equivalence
স্তম্ভৰ দৰে,column equivalent
স্তম্ভৰ মেট্ৰিক্স,column equivalent matrix
স্তম্ভ মেট্ৰিক্স,column matrix
স্তম্ভৰ ক্ৰম,column rank
স্তম্ভৰ স্তৰভিত্তিক মেট্ৰিক্স,column reduced echolon matrix
স্তম্ভ ভেক্টৰ,column vector
স্তম্ভ অনুসৰি,columnwise
যৌথ সমীকৰণ,combined equation
"সাধাৰণ কোণ, সাধাৰণ কোণ",common angle
সাধাৰণ অক্ষ,common axis
"সাধাৰণ ভিত্তি, সাধাৰণ ভিত্তি",common base
সাৰ্বজনীন,common denominator
সাধাৰণ পাৰ্থক্য,common difference
"সাধাৰণ কাৰক, সাধাৰণ কাৰক, সাধাৰণ কাৰক",common factor
"সহজ লগাৰিদম, সৰল লগাৰিদম",common logarithm
"সাধাৰণ বহুগুণ, সাধাৰণ",common multiple
সাধাৰণ অনুপাত,common ratio
ছেদক দফা,common section
সাধাৰণ বাহু,common side
"সাধাৰণ স্পৰ্শক, সাধাৰণ স্পৰ্শক",common tangent
সাধাৰণ অৱস্থান,common term
কমিউটেটিভ নিয়ম,commutative law
পৰিৱৰ্তনশীল বৈশিষ্ট্য,commutative property
কমিউটেটিভ নিয়ম,commutative rule
যোগফলৰ বিনিময়মূলক নিয়ম,commutative law of addition
গুণনৰ বিনিময়মূলক নিয়ম,commutative law of multiplication
কমিউটেটিভ অপাৰেচন,commutative operation
কমিউটেটিভ গ্ৰুপ,commutator group
মেট্ৰিক্সৰ কমিউটেটিভ,commuting of matrices
কম্পেক্ট চেট,compact set
"তুলনামূলকতা, তুলনাযোগ্যতা",comparability
মাধ্যমৰ তুলনা,comparision of means
শতাংশ তুলনা কৰা,comparision of percentage
তুলনামূলক পৰীক্ষা,comparision test
সুসংহত সমীকৰণ,compatibility equation
প্ৰতিযোগিতামূলক খেল,competitive game
প্ৰতিযোগিতামূলক অৱস্থান,competitive situation
প্ৰতিযোগিতামূলক কৌশল,competitive strategy
"দোভাষী, কম্পাইলাৰ",compiler
পৰিপূৰক,complementary
পৰিপূৰক কোণ,complementary angle
পৰিপূৰক পৰিঘটনা,complementary event पूरक घटना
পৰিপূৰক কাৰক,complementary factor
পৰিপূৰক ফলন,complementary function
পৰিপূৰক আধা জনসংখ্যা,complementary half space
পৰিপূৰক ব্যৱধান,complementary interval
পৰিপূৰক গোট,complementary set
"পৰিপূৰকতা, পৰিপূৰকতা",complementation
পৰিপূৰক গোট,complement of a set
নিখুঁত স্ক&#39;ৰ,complete census
সম্পূৰ্ণ সম্পৰ্কীয় মেট্ৰিক্স,complete correlation matrix
সম্পূৰ্ণ পৰিসৰৰ জনসংখ্যা,complete metric space
নিখুঁত স্বাভাৱিক অৰ্থগ&#39;নেল ছেট,complete orthonormal set
নিখুঁত চতুৰ্ভুজ,complete quadrangle
নিখুঁত ভাগফল,complete quotient
সম্পূৰ্ণ ছেট,complete set
সম্পূৰ্ণ সমাধান,complete solution
সম্পূৰ্ণৰূপে ৰেণ্ডম ডিজাইন,completely randomised design
জটিল স্বাধীন চলক,complex argument
জটিল সংযুক্ত,complex conjugate
জটিল ডিফাৰেন্সিয়েল,complex differentiation
জটিল ফলন,complex function
জটিল সংহতি,complex integration
জটিল মেট্ৰিক্স,complex matrices
জটিল সংখ্যা,complex number
জটিল সংখ্যাৰ ক্ষেত্ৰ,complex number field
জটিল উলম্ব মেট্ৰিক্স,complex orthogonal matrix
কম্পোজিট প্লেন,complex plane
জটিল যোগফল,complex quantity
জটিল বিপৰীতমুখী,complex reciprocal
সংমিশ্ৰিত ফলাফল,complex resultant
জটিল জনসংখ্যা,complex space
কম্পোজিট ফাংচন,complex valued function
জটিল চলক,complex variable
যোগফল অনুপাত,componendo and divindendo
"উপাদান, সম্পৰ্কীয় উপাদান",component
উপাদান বিশ্লেষণ,component analysis
ভ্যাৰিয়েন্স ফ্যাক্টৰ,component of variance
ভেক্টৰ উপাদান,component of vector
কম্পোজিট ফাংচন,composite function
যৌথ দৃষ্টিশক্তি,composite hypothesis
সংমিশ্ৰিত সংখ্যা,composite number
সংযুক্ত শ্ৰেণী,composite series
ভেক্টৰ সংমিশ্ৰণ,composition of vectors
মিশ্ৰিত কোণ,compound angle
মিশ্ৰণ অংশ,compound division
মিশ্ৰিত ভগ্নাংশ,compound fraction
যৌগিক আগ্ৰহ,compound interest
মিশ্ৰিত সম্ভাৱনা,compound probability
সংকোচনশীল প্ৰবাহ,compressible flow
সংকোচন,compression
গণনা,computation
গণনামূলক সূত্ৰ,computational formula
গণনা কৰা মান,computed value
"কম্পিউটাৰ, কম্পিউটাৰ (মেচিন), কম্পিউটাৰ (ব্যক্তি)",computer
গণনা কৰা এলগৰিদম,computer algorithm
কম্পিউটাৰ প্ৰগ্ৰেম,computer programme
কম্পিউটাৰ প্ৰগ্ৰেমিং,computer programming
কম্পিউটাৰ চিমুলেচন,computer simulation
গণনা,computing
অভিমুখী কাৰ্য্য,concave function
অৱতল বহুভুজ,concave polygon
অভিমুখী প্ৰগ্ৰেমিং,concave programming
