Kannada,Assamese
ಸಂಪೂರ್ಣ ಗುರುತ್ವಾಕರ್ಷಣೆ,নিৰপেক্ষ মাধ্যাকৰ্ষণ
ಸಂಪೂರ್ಣ ಒತ್ತಡ,নিৰপেক্ষ চাপ
ಸಂಪೂರ್ಣ ಆಸ್ತಿ,নিৰপেক্ষ সম্পত্তি
ಸಂಪೂರ್ಣ ಸ್ಕೇಲಾರ್,নিৰপেক্ষ স্কেলাৰ
ತಾಪಮಾನದ ಸಂಪೂರ್ಣ ಪ್ರಮಾಣ*,উষ্ণতাৰ চূড়ান্ত স্কেল*
"ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ, ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ","নিৰপেক্ষ সমকালীনতা, নিৰপেক্ষ সমকালীনতা"
ಸಂಪೂರ್ಣ ಒತ್ತಡ,নিৰপেক্ষ চাপ
ಸಂಪೂರ್ಣ ಸಮ್ಮಿತಿ,নিৰপেক্ষ প্ৰতিসমতা
ಸಂಪೂರ್ಣ ಚಲನೆಯ ದೇಹ,নিৰপেক্ষ গতি শৰীৰ
ಸಂಪೂರ್ಣ ಘಟಕ ವ್ಯವಸ್ಥೆ,নিৰপেক্ষ একক ব্যৱস্থা
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,নিৰপেক্ষ উষ্ণতা
ಸಂಪೂರ್ಣ ಸಮಯ,নিৰপেক্ষ সময়
ಸಂಪೂರ್ಣ ಘಟಕಗಳು,নিৰপেক্ষ এককসমূহ
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,নিৰপেক্ষ মূল্য
ಪೂರ್ಣಾಂಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್,পূৰ্ণসংখ্যা কেলকুলেটৰ
ಸಂಪೂರ್ಣ ವೇಗ,নিৰপেক্ষ বেগ
ಸಂಪೂರ್ಣ ಸ್ನಿಗ್ಧತೆ,নিৰপেক্ষ আঠালতীয়াতা
ಸಂಪೂರ್ಣ ತೂಕ,নিৰপেক্ষ ওজন
ಸಂಪೂರ್ಣ ಶೂನ್ಯ*,নিৰপেক্ষ শূন্য*
ಶೂನ್ಯದ ಸಂಪೂರ್ಣ ಭಾಜಕ,শূন্যৰ নিৰপেক্ষ হজক
ಹೀರಿಕೊಳ್ಳುತ್ತವೆ,শুহি লোৱা
ಹೀರಿಕೊಳ್ಳುವ ಸೂಚ್ಯಂಕ*,শোষণ সূচকাংক*
ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಶಕ್ತಿ,শোষিত শক্তি
"ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ","শোষক, শোষক"
ಹೀರಿಕೊಳ್ಳುವ ಮಾಧ್ಯಮ*,শোষক মাধ্যম*
ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ,শোষণ ক্ষমতা
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,শোষণ ক্ষমতা
ಹೀರಿಕೊಳ್ಳುವ ಮಾಪಕ*,শোষণমাপক*
ಅಬ್ಸಾರ್ಪ್ಟಿಯೋಮೆಟ್ರಿ*,শোষণমিতি*
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,শোষণ
ಹೀರಿಕೊಳ್ಳುವಿಕೆ - ಬ್ಯಾಂಡ್*,শোষণ - বেণ্ড*
ಹೀರಿಕೊಳ್ಳುವ ಸರ್ಕ್ಯೂಟ್,শোষণ বৰ্তনী
ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ,শোষণ সহগ
ಹೀರಿಕೊಳ್ಳುವ ಕಾಲಮ್,শোষণ স্তম্ভ
ಹೀರುವಿಕೆ ಸ್ಥಿರ,শোষণ ধ্ৰুৱক
ಹೀರಿಕೊಳ್ಳುವ ನಿರಂತರತೆ,শোষণ ধাৰাবাহিকতা
ಹೀರಿಕೊಳ್ಳುವ ವಲಯ,শোষণ অঞ্চল
ಹೀರಿಕೊಳ್ಳುವ ಪ್ರಸ್ತುತ,শোষণ কাৰেণ্ট
ಹೀರಿಕೊಳ್ಳುವ ವಕ್ರರೇಖೆ*,শোষণ বক্ৰ*
ಹೀರಿಕೊಳ್ಳುವ ಮುರಿತ,শোষণ ভাঙন
ಹೀರಿಕೊಳ್ಳುವ ಕೋರ್,শোষণ কোৰ
ಹೀರಿಕೊಳ್ಳುವ ಅಂಶ,শোষণ কাৰক
ಹೀರಿಕೊಳ್ಳುವ ಫಿಲ್ಟರ್,শোষণ ফিল্টাৰ
ಹೀರಿಕೊಳ್ಳುವ ಜ್ವಾಲೆಯ ಫೋಟೊಮೆಟ್ರಿ*,শোষণ শিখা ফটোমেট্ৰি*
ಹೀರಿಕೊಳ್ಳುವ ಹೈಗ್ರೋಮೀಟರ್,শোষণ হাইগ্ৰ’মিটাৰ
ಹೀರಿಕೊಳ್ಳುವ ಘಾತ,শোষণ ঘাত
ಹೀರಿಕೊಳ್ಳುವಿಕೆ ಕನಿಷ್ಠ,শোষণ প্ৰান্তীয়
ಹೀರಿಕೊಳ್ಳುವ ರೇಖೆ,শোষণ ৰেখা
ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ,শোষণ ক্ষতি
ಹೀರಿಕೊಳ್ಳುವ ಮಾಡ್ಯುಲೇಶನ್,শোষণ মডুলেচন
ಬೆಳಕಿನ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,পোহৰ শোষণ
ವಿಕಿರಣ ಶಕ್ತಿಯ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,বিকিৰণ শক্তি শোষণ কৰা
ಹೀರಿಕೊಳ್ಳುವ ಗರಿಷ್ಠ,শোষণ শিখৰ
ಹೀರಿಕೊಳ್ಳುವ ದ್ಯುತಿಮಾಪನ,শোষণ আলোকমিতি
ಹೀರಿಕೊಳ್ಳುವ ಅನುಪಾತ,শোষণ অনুপাত
ಹೀರಿಕೊಳ್ಳುವ ಶ್ರೇಣಿ*,শোষণ পৰিসৰ*
ಹೀರಿಕೊಳ್ಳುವ ಸ್ಪೆಕ್ಟ್ರಮ್ ಫೋಟೋಮೆಟ್ರಿ*,শোষণ বৰ্ণালী আলোকমিতি*
ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ*,শোষণ বৰ্ণালী*
"ಹೀರಿಕೊಳ್ಳುವ ಕೊಳವೆ, ಹೀರಿಕೊಳ್ಳುವ ಕೊಳವೆ","শোষণ নলী, শোষণ নলী"
ಹೀರಿಕೊಳ್ಳುವ ಹೈಗ್ರೋಮೀಟರ್,শোষণ হাইগ্ৰ’মিটাৰ
ಹೀರಿಕೊಳ್ಳುವ*,শোষক*
ಹೀರಿಕೊಳ್ಳುವ ಬಾಷ್ಪೀಕರಣ,শোষক বাষ্পীভৱনকাৰী
ಹೀರಿಕೊಳ್ಳುವ ಕಾನೂನು*,শোষণ নিয়ম*
ಹೀರಿಕೊಳ್ಳುವ ಮಾಧ್ಯಮ,শোষণ মাধ্যম
"ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ, ಹೀರಿಕೊಳ್ಳುವಿಕೆ*","শোষণ ক্ষমতা, শোষণ ক্ষমতা*"
ಹೀರಿಕೊಳ್ಳುವಿಕೆ*,শোষণ ক্ষমতা*
ಸ್ಟುಡಿಯೋ ಅಲಂಕಾರ,ষ্টুডিঅ&#39; সজ্জা
ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ,বহুগুণতা অনুপাত
abvolt,abvolt
ಸುಮಾರು,বিষয়ে
ವೇಗವನ್ನು,ত্বৰান্বিত কৰক
ವೇಗವರ್ಧನೆ-ನಿಲುಗಡೆ ಅಂತರ,ত্বৰণ-বন্ধ দূৰত্ব
ಆತುರಪಟ್ಟರು,খৰধৰকৈ উঠিল
ತ್ವರಿತ ಸಮಯದ ಪರಿಣಾಮ ಪರೀಕ್ಷೆ,দ্ৰুত সময় প্ৰভাৱ পৰীক্ষা
ತ್ವರಿತ ಹರಿವು,দ্ৰুত প্ৰবাহ
ತ್ವರಿತ ಗತಿ,দ্ৰুত গতি
ತ್ವರಿತ ದೇಹ,দ্ৰুত শৰীৰ
ವೇಗವರ್ಧಕ ತೂಕ,ত্বৰণকাৰী ওজনকাৰী
ವೇಗವರ್ಧಕ ವಿದ್ಯುದ್ವಾರ*,ত্বৰণকাৰী ইলেক্ট্ৰ&#39;ড*
ವೇಗವರ್ಧಕ ಸಮಯ*,ত্বৰক সময়*
ವೇಗವರ್ಧಕ ಹಂತ,ত্বৰণকাৰী পৰ্যায়
ವೇಗವರ್ಧಕ ದರ,ত্বৰণকাৰীৰ হাৰ
ವೇಗವರ್ಧಕ ವೋಲ್ಟೇಜ್*,এক্সিলেটৰ ভোল্টেজ*
ವೇಗವರ್ಧನೆ,বেগ বৃদ্ধি
ವೇಗವರ್ಧಿತ ದಹನ,ত্বৰান্বিত দহন
ವೇಗವರ್ಧಕ ಗುಣಾಂಕ,ত্বৰণ সহগ
ವೇಗವರ್ಧಕ ಘಟಕ,ত্বৰণ উপাদান
ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ,মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ
ವೇಗವರ್ಧಕ ಅಂಶ,ত্বৰণ কাৰক
ವೇಗವರ್ಧಿತ ಚಾರ್ಜ್,ত্বৰিত চাৰ্জ
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,মাধ্যাকৰ্ষণৰ ত্বৰণ
ವೇಗವರ್ಧಕ ಸಾಮರ್ಥ್ಯ,ত্বৰণ বিভৱ
ವೇಗವರ್ಧಕ ಕಾನೂನು,ত্বৰণ আইন
ವೇಗವರ್ಧಕ ಪ್ರಕ್ರಿಯೆ,ত্বৰণ প্ৰক্ৰিয়া
ವೇಗವರ್ಧಕ ವಲಯ,ত্বৰণ অঞ্চল
ವೇಗವರ್ಧಕ ವಿಧಾನ,ত্বৰণ পদ্ধতি
"ವೇಗವರ್ಧಕ ಸಹಿಷ್ಣುತೆ, ವೇಗವರ್ಧನೆ ಸಹಿಷ್ಣುತೆ","ত্বৰণ সহনশীলতা, ত্বৰণ সহনশীলতা"
ವೇಗವರ್ಧಕ ವೆಕ್ಟರ್,ত্বৰণ ভেক্টৰ
ವೇಗವರ್ಧನೆ-ವೋಲ್ಟೇಜ್,ত্বৰণ-ভোল্টেজ
ವೇಗವರ್ಧಕ ತರಂಗ,ত্বৰণ তৰংগ
ವೇಗವರ್ಧಕ,ত্বৰণকাৰী
"ವೇಗಗೊಳಿಸು, ವೇಗವರ್ಧಕ*","accelerate, ত্বৰণকাৰী*"
ವೇಗವರ್ಧಕ ಸಮೀಕರಣ,ত্বৰক সমীকৰণ
ವೇಗವರ್ಧಕ*,ত্বৰণকাৰী*
ವೇಗವರ್ಧಕ,এক্সিলেৰমিটাৰ
ವೇಗವರ್ಧಕ ಹೊಂದಾಣಿಕೆ,এক্সিলেৰমিটাৰ মিলন
ಪ್ರಿಸ್ಟ್ರೆಸರ್,প্ৰিষ্ট্ৰেছাৰ
ಮಾನ್ಯ ಅಕ್ಷರಗಳು,বৈধ আখৰ
ಸ್ವೀಕಾರ ಕೋನ,গ্ৰহণযোগ্যতা কোণ
ಸ್ವೀಕಾರ ವಿವರಣೆ,গ্ৰহণযোগ্যতা নিৰ্দিষ্টকৰণ
ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ,গ্ৰহণযোগ্য পৰীক্ষা
"ಸ್ವೀಕರಿಸುವವರು*, ಸ್ವೀಕರಿಸುವವರು","গ্ৰহণকাৰী*, গ্ৰহণকাৰী"
ಗ್ರಾಹಕ ಪರಮಾಣು,ৰিচেপ্টৰ পৰমাণু
ಗ್ರಾಹಕ ಬಂಧ,ৰিচেপ্টৰ বণ্ড
ರಿಸೀವರ್ ಸರ್ಕ್ಯೂಟ್,ৰিচিভাৰ চাৰ্কিট
ಗ್ರಾಹಕ ಮಟ್ಟ,ৰিচেপ্টৰ স্তৰ
ದಾನಿ ಅಣು,দাতা অণু
ಗ್ರಾಹಕ ಆಸ್ತಿ,ৰিচেপ্টৰ বৈশিষ্ট্য
ಗ್ರಾಹಕ ಆಸ್ತಿ ಮಟ್ಟ,ৰিচেপ্টৰ বৈশিষ্ট্যৰ স্তৰ
ವೇಗವರ್ಧಕ ಮೆದುಗೊಳವೆ,এক্সিলেটৰৰ নলী
"ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶ","প্ৰৱেশ, অপেক্ষা, প্ৰৱেশ"
ಭುಜ್ ಅನ್ನು ಪ್ರವೇಶಿಸಿ,প্ৰৱেশ ভূজ
ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ,অভিগম ব্যৱস্থাপ্ৰণালী
ಪ್ರವೇಶ ಸಮಯ,প্ৰৱেশ সময়
ಪ್ರವೇಶಿಸುವಿಕೆ,অভিগম্যতা
"ಹೆಚ್ಚುವರಿ, ಸಹಾಯಕ, ಪರಿಕರಗಳು (v, ), ಬಿಡಿಭಾಗಗಳು","অতিৰিক্ত, সহায়ক, আনুষংগিক (v, ), আনুষংগিক"
ಹೆಚ್ಚುವರಿ ನಿರ್ಬಂಧಗಳು,অতিৰিক্ত নিষেধাজ্ঞা
ಕಾಕತಾಳೀಯ,কাকতালীয়
ಆಕಸ್ಮಿಕ ತಿದ್ದುಪಡಿ,আকস্মিক সংশোধন
ಆಕಸ್ಮಿಕ ಜೈವಿಕ ಉತ್ಪತ್ತಿ,আকস্মিক জৈৱজন্ম
ಆಕಸ್ಮಿಕ ತಿರುವು,আকস্মিক ডাইভাৰচন
ಸಂದರ್ಶಕರ ದೋಷ,দৰ্শকৰ ভুল
"ಹಠಾತ್ ನಿಲುಗಡೆ, ಹಠಾತ್ ಕ್ಲ್ಯಾಂಪ್","হঠাৎ বন্ধ, হঠাৎ বন্ধ"
ಆಕಸ್ಮಿಕ ಪ್ರಸರಣ,আকস্মিক সংক্ৰমণ
ಯಾದೃಚ್ಛಿಕ ವ್ಯತ್ಯಾಸ,ৰেণ্ডম ভ্যাৰিয়েন্স
ಹೊಂದಾಣಿಕೆ,সমন্বয়
ನೆಲೆಗೊಂಡಿದೆ,অৱস্থিত
ಸಂಚಿತ ದೋಷ,সঞ্চিত ভুল
"ಶೇಖರಣೆ, ಶೇಖರಣೆ","সঞ্চয়, সঞ্চয়"
ಶಕ್ತಿ ಸಂಗ್ರಹಣೆ,শক্তি সংৰক্ষণ
ಸಂಚಯಕ*,এক্যুলেটৰ*
ನಿಖರತೆ,শুদ্ধতা
ರಿಯಾಲಿಟಿ,বাস্তৱতা
ನಿಜವಾದ ಉಪಕರಣ ವೀಕ್ಷಣೆ,বাস্তৱ যন্ত্ৰ পৰ্যবেক্ষণ
ನಿಖರ ಶ್ರೇಣಿಯ ಮಾರ್ಕರ್,সঠিক ৰেঞ্জ মাৰ্কাৰ
ನಿಖರವಾದ ಸ್ಕ್ಯಾನಿಂಗ್,নিখুঁত স্কেনিং
ಅಭ್ಯಾಸ,অভ্যাস
ವೇಗವರ್ಧಕ ಕೋಶ*,ত্বৰক কোষ*
ವರ್ಣರಹಿತ ಮಸೂರ*,ৰঙীন লেন্স*
ವರ್ಣರಹಿತ*,অৰঙীন*
ವರ್ಣರಹಿತ ವಿಶ್ಲೇಷಕ,ৰঙীন বিশ্লেষক
ಆವರ್ತನ ತಟಸ್ಥ ಆಂಟೆನಾ,ফ্ৰিকুৱেন্সি নিউট্ৰেল এন্টেনা
ವರ್ಣರಹಿತ ಆಕಾರ,ৰঙীন আকৃতি
ವರ್ಣರಹಿತ ಫ್ರಿಂಜ್,achromatic ফ্ৰিঞ্জ
ವರ್ಣರಹಿತ ಮಸೂರ*,ৰঙীন লেন্স*
ವರ್ಣರಹಿತ ಬಿಂದು ಮಾರ್ಗ,ৰঙীন বিন্দু পথ
ವರ್ಣರಹಿತ ಮಸೂರ,ৰঙীন লেন্স
ವರ್ಣರಹಿತ ಪ್ರಿಸ್ಮ್,ৰঙীন প্ৰিজম
ವರ್ಣರಹಿತ ದೂರದರ್ಶಕ,achromatic টেলিস্কোপ
ವರ್ಣರಹಿತತೆ*,achromaticity*
ವರ್ಣಮಯಗೊಳಿಸುವಿಕೆ*,achromatization*
ವರ್ಣರಹಿತತೆ*,achromaticity*
"ಸ್ಥಿತಿಸ್ಥಾಪಕ, ವಕ್ರೀಕಾರಕ, ಸ್ಥಿತಿಸ್ಥಾಪಕ","ইলাষ্টিক, অপ্ৰতিৰোধক, অবাধ্য"
"ಆಕ್ರಾನ್ ಹೋಸ್, ಬಂಜು ಹೋಸ್","একৰ্ণ নলী, বঞ্জু নলী"
ಚಿಕಣಿ ಕವಾಟ,ক্ষুদ্ৰ ভালভ
ಅಕೋಫೋನಿ,প্ৰতিধ্বনি
ಅಕೌಸ್ಟಿಕ್,একাউষ্টিক
ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ধ্বনি শোষণ ক্ষমতা
ಅಕೌಸ್ಟಿಕ್ ಅಟೆನ್ಯೂಯೇಶನ್ ಗುಣಾಂಕ,শব্দৰ ক্ষীণকৰণ সহগ
ಅಕೌಸ್ಟಿಕ್ ಕ್ಷೀಣತೆ,শব্দৰ ক্ষীণকৰণ
ಅಕೌಸ್ಟಿಕ್ ಕಳ್ಳ ಎಚ್ಚರಿಕೆ,একাউষ্টিক চোৰ এলাৰ্ম
ಅಕೌಸ್ಟಿಕ್ ಕೆಪಾಸಿಟನ್ಸ್,ধ্বনিযুক্ত ধাৰণক্ষমতা
ಶ್ರವಣ ಕೇಂದ್ರ,শ্ৰৱণ কেন্দ্ৰ
ಅಕೌಸ್ಟಿಕ್ ವಿವರಣೆ,ধ্বনিগত ব্যাখ্যা
ಅಕೌಸ್ಟಿಕ್ ಕವರ್,একাউষ্টিক কভাৰ
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,ধ্বনিগত প্ৰতিক্ৰিয়া
