English,Telugu
Alphameric,ఆల్ఫామెరిక్
Alphamosaic,ఆల్ఫామోసాయిక్
Alphanumeric,ఆల్ఫాన్యూమరిక్
Alphanumerical keyboard device,ఆల్ఫాన్యూమరికల్ కీబోర్డ్ పరికరం
Alphanumeric character set,ఆల్ఫాన్యూమరిక్ క్యారెక్టర్ సెట్
Alphanumeric code,ఆల్ఫాన్యూమరిక్ కోడ్
Alphanumeric coded character set,ఆల్ఫాన్యూమరిక్ కోడెడ్ క్యారెక్టర్ సెట్
Alphanumeric data,ఆల్ఫాన్యూమరిక్ డేటా
Alphanumeric display device,ఆల్ఫాన్యూమరిక్ డిస్ప్లే పరికరం
Alphanumeric edited character,ఆల్ఫాన్యూమరిక్ సవరించిన పాత్ర
Alphanumeric field,ఆల్ఫాన్యూమరిక్ ఫీల్డ్
Alphanumeric instruction,ఆల్ఫాన్యూమరిక్ ఇన్స్ట్రక్షన్
Alphanumeric keyboard,ఆల్ఫాన్యూమరిక్ కీబోర్డ్
Alphanumeric sort,ఆల్ఫాన్యూమరిక్ విధమైన
Alphanumeric storage,ఆల్ఫాన్యూమరిక్ స్టోరేజ్
Alterable memory,మార్చగల మెమరీ
Alteration switch,మార్పు స్విచ్
Altering,మార్చడం
Alter mode,ఆల్టర్ మోడ్
Alternate recovery,ప్రత్యామ్నాయ రికవరీ
Alternate route,ప్రత్యామ్నాయ మార్గం
Alternate routing,ప్రత్యామ్నాయ రౌటింగ్
Alternate track,ప్రత్యామ్నాయ ట్రాక్
Alternation (= OR operation),ప్రత్యామ్నాయం (= లేదా ఆపరేషన్)
Alternative attribute,ప్రత్యామ్నాయ లక్షణం
Alternative denial (= NOT-AND operation),ప్రత్యామ్నాయ తిరస్కరణ (= మరియు ఆపరేషన్ కాదు)
Ambiguity error,అస్పష్టత లోపం
Ambiguous reference,అస్పష్టమైన సూచన
Analog,అనలాగ్
Analog adder,అనలాగ్ యాడర్
Analog channel,అనలాగ్ ఛానల్
Analog computer,అనలాగ్ కంప్యూటర్
Analog converter,అనలాగ్ కన్వర్టర్
Analog data,అనలాగ్ డేటా
Analog divider,అనలాగ్ డివైడర్
Analog facility terminal,అనలాగ్ ఫెసిలిటీ టెర్మినల్
Analog function  Generator,అనలాగ్ ఫంక్షన్  జనరేటర్
Analog integration,అనలాగ్ ఇంటిగ్రేషన్
Analog multiplier,అనలాగ్ గుణకం
Analog programming,అనలాగ్ ప్రోగ్రామింగ్
Analog scaling,అనలాగ్ స్కేలింగ్
Analog signal,అనలాగ్ సిగ్నల్
Analog simulation,అనలాగ్ అనుకరణ
Analog switch,అనలాగ్ స్విచ్
Analog system,అనలాగ్ వ్యవస్థ
Analog to digital  Converter,డిజిటల్‌కు అనలాగ్  కన్వర్టర్
Analog to digital  Encoder,డిజిటల్‌కు అనలాగ్  ఎన్కోడర్
Analog transmission,అనలాగ్ ట్రాన్స్మిషన్
Analog type,అనలాగ్ రకం
Analysis block,విశ్లేషణ బ్లాక్
Analysis mode,విశ్లేషణ మోడ్
Analytical engine,విశ్లేషణాత్మక ఇంజిన్
Ancestral task,పూర్వీకుల పని
Ancillary equipment,సహాయక పరికరాలు
AND,మరియు
AND circuit,మరియు సర్క్యూట్
AND element,మరియు మూలకం
AND gate,మరియు గేట్
AND masking,మరియు మాస్కింగ్
AND NOT operation (=exclusion,మరియు ఆపరేషన్ కాదు (= మినహాయింపు
AND operation,మరియు ఆపరేషన్
Annex memory,అనెక్స్ మెమరీ
Annotation,ఉల్లేఖనం
Annunciator,అనన్సియేటర్
Answer back,తిరిగి సమాధానం ఇవ్వండి
Answer delay,సమాధానం ఆలస్యం
Answering time,సమయం సమాధానం
Answer lamp,సమాధానం దీపం
Answer list,జవాబు జాబితా
Answer only,సమాధానం మాత్రమే
Anticipation mode,Ntic హించే మోడ్
Anticipatory buffering,ముందస్తు బఫరింగ్
Anticipatory carry,ముందస్తు క్యారీ
Anticipatory paging,ముందస్తు పేజింగ్
Anticoincidence operation,ప్రతిస్కందకం ఆపరేషన్
Anticoincident element,ప్రతిస్కందకం మూలకం
Aperiodic antenna,అపెరియోడిక్ యాంటెన్నా
Aperture card,ఎపర్చరు కార్డు
Aperture code,ఎపర్చరు కోడ్
Aperture time,ఎపర్చరు సమయం
Appendage,అనుబంధం
Appendage task,అనుబంధ పని
Application developer,అప్లికేషన్ డెవలపర్
Application layer,అప్లికేషన్ లేయర్
Application oriented language,అప్లికేషన్ ఓరియెంటెడ్ లాంగ్వేజ్
Application package,అప్లికేషన్ ప్యాకేజీ
Application program,అప్లికేషన్ ప్రోగ్రామ్
Application programming,అప్లికేషన్ ప్రోగ్రామింగ్
Application required language,అప్లికేషన్ అవసరం భాష
Application software,అప్లికేషన్ సాఫ్ట్‌వేర్
Applique,అప్లిక్
Approximation theory,ఉజ్జాయింపు సిద్ధాంతం
Arbitrary access,ఏకపక్ష ప్రాప్యత
Arbitrary sequence computer,ఏకపక్ష సీక్వెన్స్ కంప్యూటర్
Arbitration,మధ్యవర్తిత్వ
Architecture,వాస్తుశిల్పం
Archiving,ఆర్కైవింగ్
Area code,స్థల సంకేతం
Area search,ప్రాంత శోధన
Area transfer,ప్రాంత బదిలీ
Area variable,ఏరియా వేరియబుల్
Argument,వాదన
Argument address,ఆర్గ్యుమెంట్ చిరునామా
Argument list,ఆర్గ్యుమెంట్ జాబితా
Arithmetical instruction,అంకగణిత బోధన
Arithmetic and logic unit,అంకగణిత మరియు అంకగణిత విభాగం
Arithmetic assignment statement,అంకగణిత అసైన్‌మెంట్ స్టేట్మెంట్
Arithmetic check,అంకగణిత చెక్
Arithmetic constant,అంకగణిత స్థిరాంకం
Arithmetic conversion,అంకగణిత మార్పిడి
Arithmetic data,అంకగణిత డేటా
Arithmetic exception,అంకగణిత మినహాయింపు
Arithmetic expression,అంకగణిత వ్యక్తీకరణ
Arithmetic fixed point,అంకగణిత స్థిర బిందువు
Arithmetic hierarchy,అంకగణిత సోపానక్రమం
Arithmetic IF statement,అంకగణితం ఉంటే స్టేట్మెంట్
Arithmetic logic,అంకగణిత తర్కం
Arithmetic logic unit,అంకగణిత లాజిక్ యూనిట్
Arithmetic operation,అంకగణిత ఆపరేషన్
Arithmetic operator,అంకగణిత ఆపరేటర్
Arithmetic overflow,అంకగణిత ఓవర్ఫ్లో
Arithmetic picture data,అంకగణిత చిత్ర డేటా
Arithmetic precedence,అంకగణిత ప్రాధాన్యత
Arithmetic primary,అంకగణిత ప్రాధమిక
Arithmetic register,అంకగణిత రిజిస్టర్
Arithmetic relation,అంకగణిత సంబంధం
Arithmetic scan,అంకగణిత స్కాన్
Arithmetic section,అంకగణిత విభాగం
Arithmetic shift,అంకగణిత మార్పు
Arithmetic shifting,అంకగణిత బదిలీ
Arithmetic statement,అంకగణిత ప్రకటన
Arithmetic term,అంకగణిత పదం
Arithmetic underflow,అంకగణిత అండర్ఫ్లో
Arithmetic unit,అంకగణిత యూనిట్
Array,అమరిక
Array bound,శ్రేణి బౌండ్
Array computer,అర్రే కంప్యూటర్
Array dimension,శ్రేణి పరిమాణం
Array element,శ్రేణి మూలకం
Array expression,శ్రేణి వ్యక్తీకరణ
Array name,శ్రేణి పేరు
Array of structures,నిర్మాణాల శ్రేణి
Array printing,అర్రే ప్రింటింగ్
Array processing,శ్రేణి ప్రాసెసింగ్
Array processor,అర్రే ప్రాసెసర్
Articulation point,ఉచ్చారణ పాయింట్
Artificial cognition,కృత్రిమ జ్ఞానం
Artificial intelligence,కృత్రిమ మేధస్సు
Artificial language,కృత్రిమ భాష
Artificial variable,కృత్రిమ వేరియబుల్
Arts application data bank,ఆర్ట్స్ అప్లికేషన్ డేటా బ్యాంక్
Arts application music,ఆర్ట్స్ అప్లికేషన్ మ్యూజిక్
Arts application pattern generation,ఆర్ట్స్ అప్లికేషన్ సరళి తరం
Ascender,ఆరోహణ
Ascending sort,ఆరోహణ క్రమబద్ధీకరణ
ASCIL,అస్సిల్
ASCII control character,ASCII నియంత్రణ అక్షరం
ASCII key board,ASCII కీ బోర్డు
Aspect,కారక
Aspect and,కారకం మరియు
Assemble,సమీకరించటం
Assembled origin,సమావేశమైన మూలం
Assemble duration,వ్యవధిని సమీకరించండి
Assembler,సమీకరించేవాడు
Assembler directive,సమీకరించే ఆదేశం
Assembler facility,సమీకరించే సౌకర్యం
Assembler language,సమీకరించే భాష
Assembling,సమీకరించడం
Assembling phase,సమీకరించే దశ
Assembling time,సమీకరించే సమయాన్ని
Assembly,అసెంబ్లీ
Assembly language,అసెంబ్లీ భాష
Assembly language programming,అసెంబ్లీ భాషా ప్రోగ్రామింగ్
Assembly language software flexibility,అసెంబ్లీ భాషా సాఫ్ట్‌వేర్ వశ్యత
Assembly listing,అసెంబ్లీ జాబితా
Assembly phase,అసెంబ్లీ దశ
Assembly routine,అసెంబ్లీ దినచర్య
Assembly time,అసెంబ్లీ సమయం
Assembly unit,అసెంబ్లీ యూనిట్
Assignment indexing,అసైన్‌మెంట్ ఇండెక్సింగ్
Assignment operation,అసైన్‌మెంట్ ఆపరేషన్
Assignment statement,అసైన్‌మెంట్ స్టేట్మెంట్
Associative address,అసోసియేటివ్ చిరునామా
Associative array register,అసోసియేటివ్ అర్రే రిజిస్టర్
Associative key,అసోసియేటివ్ కీ
Associative language,అసోసియేటివ్ లాంగ్వేజ్
Associative memory,అసోసియేటివ్ మెమరీ
Associative storage,అసోసియేటివ్ స్టోరేజ్
Assumed decimal point,దశాంశ బిందువు
Asymmetric device,అసమాన పరికరం
Asymmetric i/o,అసమాన i/ఓ
Asynchronous,అసమకాలిక
Asynchronous computer,అసమకాలిక కంప్యూటర్
Asynchronous data transfer,అసమకాలిక డేటా బదిలీ
Asynchronous data transmission,అసమకాలిక డేటా ట్రాన్స్మిషన్
Asynchronous devices,అసమకాలిక పరికరాలు
Asynchronous operation,అసమకాలిక ఆపరేషన్
Asynchronous signalling,అసమకాలిక సిగ్నలింగ్
Asynchronous time division multiplexing,అసమకకరణం
Asynchronous transmission,అసమకాలిక ప్రసారం
Asynchronous working,అసమకాలిక పని
Attached processing,అటాచ్డ్ ప్రాసెసింగ్
Attached processor,అటాచ్డ్ ప్రాసెసర్
Attached support processor,అటాచ్డ్ సపోర్ట్ ప్రాసెసర్
Attended operation,హాజరైన ఆపరేషన్
Attended trail printer,ట్రైల్ ప్రింటర్‌కు హాజరయ్యారు
Attention interruption,శ్రద్ధ అంతరాయం
Attention key,శ్రద్ధ కీ
Attenuation,అటెన్యుయేషన్
Attenuation constant,అటెన్యుయేషన్ స్థిరాంకం
Attenuation distortion,అటెన్యుయేషన్ వక్రీకరణ
Attenuation equalizer,అటెన్యుయేషన్ ఈక్వలైజర్
Attenuator,అటెన్యూయేటర్
Attribute,గుణం
Audible alarm,వినగల అలారం
Audio cassette,ఆడియో క్యాసెట్
Audio enquiry,ఆడియో విచారణ
Audio line,ఆడియో లైన్
Audio response,ఆడియో ప్రతిస్పందన
Audio response message,ఆడియో ప్రతిస్పందన సందేశం
Audio response unit,ఆడియో ప్రతిస్పందన యూనిట్
Audiotape storage unit,ఆడియోటేప్ స్టోరేజ్ యూనిట్
Audio telecommunication line,ఆడియో టెలికమ్యూనికేషన్ లైన్
Audio terminal,ఆడియో టెర్మినల్
Audit command language,ఆడిట్ కమాండ్ లాంగ్వేజ్
Audit programming,ఆడిట్ ప్రోగ్రామింగ్
Audit trail,తనిఖీ శోధన
Augend,ఆగెండ్
Augment,ఆజ్మెంట్
Augmenter,ఆగ్మెంటర్
Author,రచయిత
Authoring,రచయిత
Authoring system,రచయిత వ్యవస్థ
Authority,అధికారం
Authorization code,అధికారిక కోడ్
Authorized library,అధీకృత లైబ్రరీ
Authorized program,అధీకృత కార్యక్రమం
Authorized program facility,అధీకృత ప్రోగ్రామ్ సౌకర్యం
Auto abstract,ఆటో వియుక్త
Autoanswer,ఆటో సమాధానం
Auto booting,ఆటో బూటింగ్
Auto bypass,ఆటో బైపాస్
Auto call (=automatic calling),ఆటో కాల్ (= ఆటోమేటిక్ కాలింగ్)
Auto coder,ఆటో కోడర్
Auto dial,ఆటో డయల్
Autoflow,ఆటోఫ్లో
Auto index,ఆటో సూచిక
Auto indexed addressing,ఆటో ఇండెక్స్డ్ చిరునామా
Automata,ఆటోమాటా
Automata theory,ఆటోమాటా సిద్ధాంతం
Automata type,ఆటోమాటా రకం
Automated bibliography,స్వయంచాలక గ్రంథ పట్టిక
Automated data medium,స్వయంచాలక డేటా మాధ్యమం
Automated dictionary,ఆటోమేటెడ్ డిక్షనరీ
Automated glossary,ఆటోమేటెడ్ గ్లోసరీ
Automated logic diagram,ఆటోమేటెడ్ లాజిక్ రేఖాచిత్రం
Automated management,స్వయంచాలక నిర్వహణ
Automated production management,ఆటోమేటెడ్ ప్రొడక్షన్ మేనేజ్‌మెంట్
Automated stock control,ఆటోమేటెడ్ స్టాక్ కంట్రోల్
Automatic abstract,స్వయంచాలక వియుక్త
Automatic abstracting,ఆటోమేటిక్ వియుక్త
Automatically programmed tools,స్వయంచాలకంగా ప్రోగ్రామ్ చేయబడిన సాధనాలు
Automatic answering,స్వయంచాలక సమాధానం
Automatic call distributor,ఆటోమేటిక్ కాల్ డిస్ట్రిబ్యూటర్
Automatic calling,ఆటోమేటిక్ కాలింగ్
Automatic check,ఆటోమేటిక్ చెక్
Automatic coding,ఆటోమేటిక్ కోడింగ్
Automatic computing,ఆటోమేటిక్ కంప్యూటింగ్
Automatic computing engine,ఆటోమేటిక్ కంప్యూటింగ్ ఇంజిన్
Automatic constant,ఆటోమేటిక్ స్థిరాంకం
Automatic control engineering,ఆటోమేటిక్ కంట్రోల్ ఇంజనీరింగ్
Automatic data processing,ఆటోమేటిక్ డేటా ప్రాసెసింగ్
Automatic data processing system,స్వయంచాలక డేటా ప్రాసెసింగ్ సిస్టమ్
Automatic decimal alignment,స్వయంచాలక దశాంశ అమరిక
Automatic dialing unit,ఆటోమేటిక్ డయలింగ్ యూనిట్
Automatic dictionary,ఆటోమేటిక్ డిక్షనరీ
Automatic equalization,ఆటోమేటిక్ ఈక్వలైజేషన్
Automatic error correction,స్వయంచాలక లోపం దిద్దుబాటు
Automatic feed punch,ఆటోమేటిక్ ఫీడ్ పంచ్
Automatic function,ఆటోమేటిక్ ఫంక్షన్
Automatic indexing,ఆటోమేటిక్ ఇండెక్సింగ్
Automatic library call,ఆటోమేటిక్ లైబ్రరీ కాల్
Automatic message accounting,ఆటోమేటిక్ మెసేజ్ అకౌంటింగ్
Automatic number identification,స్వయంచాలక సంఖ్య గుర్తింపు
Automatic pagination,ఆటోమేటిక్ పాజినేషన్
Automatic programming,ఆటోమేటిక్ ప్రోగ్రామింగ్
Automatic punch,ఆటోమేటిక్ పంచ్
Automatic recovery program,ఆటోమేటిక్ రికవరీ ప్రోగ్రామ్
Automatic repeat request,ఆటోమేటిక్ రిపీట్ అభ్యర్థన
Automatic restart,స్వయంచాలక పున art ప్రారంభం
Automatic routine,ఆటోమేటిక్ రొటీన్
Automatic sequencing,ఆటోమేటిక్ సీక్వెన్సింగ్
Automatic sequential operation,ఆటోమేటిక్ సీక్వెన్షియల్ ఆపరేషన్
Automatic stop,ఆటోమేటిక్ స్టాప్
Automatic variable,ఆటోమేటిక్ వేరియబుల్
Automatic volume recognition,ఆటోమేటిక్ వాల్యూమ్ గుర్తింపు
Automatic volume switching,ఆటోమేటిక్ వాల్యూమ్ స్విచింగ్
Automation,ఆటోమేషన్
Automation concept,ఆటోమేషన్ కాన్సెప్ట్
Automatisation,ఆటోమాటిజేషన్
Automaton,ఆటోమాటన్
Automatic message routing,ఆటోమేటిక్ మెసేజ్ రౌటింగ్
Automoniter,ఆటోమోనిటర్
Automoniter routine,ఆటోమోనిటర్ రొటీన్
Autonomous channel operation,అటానమస్ ఛానల్ ఆపరేషన్
Autonomous working,అటానమస్ వర్కింగ్
Autoplotter,ఆటోప్లోటర్
Auxiliary console,సహాయక కన్సోల్
Auxiliary equipment,సహాయక పరికరాలు
Auxiliary memory,సహాయక జ్ఞాపకశక్తి
Auxiliary operation,సహాయక ఆపరేషన్
Auxiliary routine,సహాయక దినచర్య
Auxiliary storage,సహాయక నిల్వ
Auxiliary store,సహాయక దుకాణం
Availability,లభ్యత
Available machine time,అందుబాటులో ఉన్న యంత్ర సమయం
Available point,అందుబాటులో ఉన్న పాయింట్
Available space list,అందుబాటులో ఉన్న స్థల జాబితా
Available time,అందుబాటులో ఉన్న సమయం
Available access time,అందుబాటులో ఉన్న ప్రాప్యత సమయం
Average conditional information,సగటు షరతులతో కూడిన సమాచారం
Average edge time,సగటు అంచు సమయం
Average information content,సగటు సమాచార కంటెంట్
Average information rate,సగటు సమాచార రేటు
Average transinformation content,సగటు ట్రాన్స్ఫార్మేషన్ కంటెంట్
Average transinformation rate,సగటు ట్రాన్స్‌ఫార్మేషన్ రేటు
Background display image (= static display  Image),నేపథ్య ప్రదర్శన చిత్రం (= స్టాటిక్ డిస్ప్లే  చిత్రం)
Backgrounding (= background processing),నేపథ్య (= నేపథ్య ప్రాసెసింగ్)
Background job,నేపథ్య ఉద్యోగం
Background noise,వెనుకవైపు శబ్ధం
Background printing,నేపథ్య ముద్రణ
Background processing,నేపథ్య ప్రాసెసింగ్
Background program,నేపథ్య కార్యక్రమం
Background reader,నేపథ్య రీడర్
Background region,నేపథ్య ప్రాంతం
