Marathi,Odiya
प्रवेश नियंत्रण बाइट्स,ଆକ୍ସେସ୍ କଣ୍ଟ୍ରୋଲ୍ ବାଇଟ୍ |
प्रवेश सूचक,ପ୍ରବେଶ ସୂଚକ
प्रवेश की,ପ୍ରବେଶ କୀ
"1. प्रवेश मॅट्रिक्स, 2. प्रवेश मॅट्रिक्स","1. ଆକ୍ସେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ, 2 ମ୍ୟାଟ୍ରିକ୍ସ ଆକ୍ସେସ୍ କରନ୍ତୁ |"
प्रवेश मोड,ପ୍ରବେଶ ମୋଡ୍
प्रवेश विशेषाधिकार,ସୁବିଧା ପ୍ରବେଶ
प्रवेश सुरक्षा,ସୁରକ୍ଷା ପ୍ରବେଶ କରନ୍ତୁ |
"1. ऍक्सेस सर्व्हर, 2. प्रवेश सर्व्हर","1. ଆକ୍ସେସ୍ ସର୍ଭର, 2 ସର୍ଭରକୁ ପ୍ରବେଶ କରନ୍ତୁ |"
प्रवेश वेळ,ପ୍ରବେଶ ସମୟ
पोचपावती,ସ୍ୱୀକୃତି
ध्वनीशास्त्र,ଆକାଶବାଣୀ
"1. संक्षेप, 2. संक्षेप, 3. पासून लहान","1. ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ, 2. ସଂକ୍ଷିପ୍ତକରଣ, 3 ଠାରୁ ଛୋଟ"
क्रिया संदेश,କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |
सक्रियकरण,ସକ୍ରିୟ
सक्रिय सर्व्हर पृष्ठ,ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା |
सक्रिय आवृत्ती,ସକ୍ରିୟ ସଂସ୍କରଣ |
अॅसायक्लिक,acyclic
"1. अॅसायक्लिक आलेख, 2. अॅसायक्लिक आलेख","1. ଆକାଇକ୍ଲିକ୍ ଗ୍ରାଫ୍, 2 acyclic ଗ୍ରାଫ୍ |"
अडा संगणक भाषा,ଅଦା କମ୍ପ୍ୟୁଟର ଭାଷା |
"1. ऑप्टिमायझर, 2. अनुकूलक","1. ଅପ୍ଟିମାଇଜର୍, 2 ଅପ୍ଟିମାଇଜର୍"
बेरीज करण्यासाठी),to sum)
बेरीज फाइल,ରାଶି ଫାଇଲ୍ |
"1. अॅडिशन ऑपरेशन, 2. बेरीज ऑपरेशन","1. ଯୋଗ କାର୍ଯ୍ୟ, 2 ରାଶି କାର୍ଯ୍ୟ"
जोडणारा,ଆଡର୍
जाणून घ्या,ଜାଣନ୍ତୁ |
पत्ता बस,ଠିକଣା ବସ୍
पत्ता फाइल,ଠିକଣା ଫାଇଲ୍ |
पत्त्याचे स्वरूप,ଠିକଣା ଫର୍ମାଟ୍
पत्ता जनरेटर,ଠିକଣା ଜେନେରେଟର
पत्ता ओळ,ଠିକଣା ରେଖା
पत्ता मॅपिंग,ଠିକଣା ମ୍ୟାପିଂ
पत्ता सूचक,ଠିକଣା ସୂଚକ
पत्ता नोंदवही,ଠିକଣା ରେଜିଷ୍ଟର
पत्ता ब्रेकडाउन,ଠିକଣା ଭାଙ୍ଗିବା
पत्ता अनुवाद,ଠିକଣା ଅନୁବାଦ
"1. पत्ता मेमरी, 2. पत्ता करण्यायोग्य मेमरी","1. ଠିକଣା ଯୋଗ୍ୟ ସ୍ମୃତି, ୨। ଠିକଣା ସ୍ମୃତି"
संबोधित,ଠିକଣା
"1. पर्याप्ततेचे निकष, 2. पर्याप्तता निकष","1. ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ, 2 ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ |"
संलग्नक,ସଂଲଗ୍ନ
"1. व्यवस्थापन, 2. नियंत्रण","1. ପରିଚାଳନା, 2 ନିୟନ୍ତ୍ରଣ"
"1. व्यवस्थापक, 2. नियंत्रक","1. ପରିଚାଳକ, 2 ନିୟନ୍ତ୍ରକ"
adobe acrobat,ଆଡୋବ ଆକ୍ରୋବାଟ୍ |
अडोब फोटोशाॅप,ଆଡୋବ ଫଟୋସପ୍ |
ABAP (प्रगत व्यवसाय प्रोग्रामिंग),ABAP (ଉନ୍ନତ ବ୍ୟବସାୟ ପ୍ରୋଗ୍ରାମିଂ)
"1. प्रगत डेटा, 2. प्रगत डेटा","1. ଉନ୍ନତ ତଥ୍ୟ, ୨। ଉନ୍ନତ ତଥ୍ୟ"
प्रगत माहिती प्रणाली,ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |
प्रगत तंत्रज्ञान (AT),ଉନ୍ନତ ଜ୍ଞାନକ Technology ଶଳ (AT)
क्रिया,କାର୍ଯ୍ୟ
एकत्रीकरण,ଏକୀକରଣ
एअरबोर्न संगणक प्रणाली,ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |
aldus page-make,aldus page-make
अलर्ट बॉक्स,ଆଲର୍ଟ ବାକ୍ସ
अल्गोल (संगणक भाषा),algol (କମ୍ପ୍ୟୁଟର ଭାଷା)
"1. अल्गोरिदम, 2. अल्गोरिदम","1. ଆଲଗୋରିଦମ, ୨ ଆଲଗୋରିଦମ |"
"1. अल्गोरिदम विश्लेषण, 2. अल्गोरिदम विश्लेषण","1. ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ, ୨। ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |"
अल्गोरिदम कार्यक्षमता,ଆଲଗୋରିଦମ ଦକ୍ଷତା |
"1. इलियास, 2. टोपणनाव, 3. उर्फ","1. ଏଲିୟସ୍, ୨ ଡାକନାମ, 3 ଆକା"
संरेखन,ଶ୍ରେଣୀବଦ୍ଧତା |
"1. वाटप, 2. वाटप","1. ବଣ୍ଟନ, ୨ ଆବଣ୍ଟନ"
"1. वर्णमाला, 2. अक्षर क्रमानुसार","1. ବର୍ଣ୍ଣାନୁକ୍ରମିକ, ୨ ବର୍ଣ୍ଣାନୁକ୍ରମିକ କ୍ରମ |"
अल्फान्यूमेरिक,ବର୍ଣ୍ଣମାଳା
"1. अल्फान्यूमेरिक कीबोर्ड ,2. अल्फान्यूमेरिक कीबोर्ड","1. ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍, 2 ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍ |"
अल्फा-चाचणी (पहिली स्तर चाचणी),ଆଲଫା-ପରୀକ୍ଷା (ପ୍ରଥମ ସ୍ତର ପରୀକ୍ଷା)
"1. अल्फा आवृत्ती, 2. अल्फा फॉर्म","1. ଆଲଫା ସଂସ୍କରଣ, ୨ ଆଲଫା ଫର୍ମ |"
alt की,alt କି
altavista,altavista
बहुविधता,ବହୁଗୁଣ
अस्पष्ट व्याकरण,ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ
अमेरिकन नॅशनल स्टँडीज इन्स्टिट्यूट (ANSI),ଆମେରିକୀୟ ନ୍ୟାସନାଲ ଷ୍ଟାଣ୍ଡିସ୍ ଇନଷ୍ଟିଚ୍ୟୁଟ୍ (ANSI)
अमेरिकन स्टँडर्ड कट (ascii),ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କଟ୍ (ascii)
"1. समानार्थी, 2. अॅनालॉग","1. ଅନୁରୂପ, 2 analog"
"1. अॅनालॉग संगणक, 2. अॅनालॉग संगणक","1. ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର, 2. ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |"
"1. अॅनालॉग उपकरण, 2. अॅनालॉग डिव्हाइस","1. ଆନାଗଲ୍ ଡିଭାଇସ୍, 2 analog ଉପକରଣ"
"1. अॅनालॉग मॉडेम, 2. अॅनालॉग मॉडेम","1. ଆନାଗଲ୍ ମୋଡେମ୍, ୨ ଆନାଗଲ୍ ମୋଡେମ୍ |"
अॅनालॉग ते डिजिटल कन्व्हर्टर,ଡିଜିଟାଲ୍ କନଭର୍ଟର ସହିତ ଅନୁରୂପ |
शेवट (डिजिटल/प्लेन लॉजिक &#39;आणि&#39; वापरलेले),ଶେଷ (ଡିଜିଟାଲ୍ / ବିମାନ ତର୍କ &#39;ଏବଂ&#39; ବ୍ୟବହୃତ)
एंड सर्किट,ଶେଷ ସର୍କିଟ |
शेवटचे गेट आणि गेट,ଶେଷ ଫାଟକ ଏବଂ ଫାଟକ |
आणि ऑपरेशन नाही (वगळणे),ଶେଷ ନୁହେଁ ଅପରେସନ୍ (ବହିଷ୍କାର)
"1. अॅनिमेशन, 2. कंपन","1. ଆନିମେସନ୍, 2. କମ୍ପନ |"
नोंद,ଧ୍ୟାନ ଦିଅନ୍ତୁ
विसंगती,ଅସଙ୍ଗତି |
मागील,ପୂର୍ବ
आगाऊ पेजिंग,ଆଶାକର୍ମୀ ପେଜିଂ |
काउंटर-सिमेट्रिक,କାଉଣ୍ଟର-ସିମେଟ୍ରିକ୍ |
अँटीव्हायरल प्रोग्राम,ଆଣ୍ଟିଭାଇରାଲ୍ ପ୍ରୋଗ୍ରାମ୍ |
"1. ऍपलेट, 2. अर्ज","1. ଆପଲେଟ୍, 2 ପ୍ରୟୋଗ"
अनुप्रयोग विकसक,ପ୍ରୟୋଗ ବିକାଶକାରୀ |
अनुप्रयोग प्रोग्रामिंग,ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ
"1. ऍप्लिकेशन प्रोग्रामिंग इंटरफेस, 2. ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API)","1. ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍, 2 ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍ (API)"
अनुप्रयोग सॉफ्टवेअर,ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍
अनुप्रयोग भाषा,ପ୍ରୟୋଗ ଭାଷା
अंदाजे तत्त्व,ଆନୁମାନିକ ନୀତି
रचना,ଗଠନ
फील्ड हस्तांतरण,କ୍ଷେତ୍ର ସ୍ଥାନାନ୍ତର
"1. पॅरामीटर, स्वतंत्र चल, 2. कोन","1. ପାରାମିଟର, ସ୍ independent ାଧୀନ ଭେରିଏବଲ୍, 2. କୋଣ"
"1. अंकगणित आणि तर्कशास्त्र एकक, 2. अंकगणित आणि तर्कशास्त्र एकक","1. ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ, ୨। ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ |"
अंकगणित तपासणी,ଗାଣିତିକ ଯାଞ୍ଚ |
अंकगणित स्थिरांक,ଗାଣିତିକ ସ୍ଥିର |
अंकगणित डेटा,ଗାଣିତିକ ତଥ୍ୟ
अंकगणित सूचना,ଗାଣିତିକ ନିର୍ଦ୍ଦେଶ
गणिती आणि तार्किक एकक (ALU),ଗାଣିତିକ ଏବଂ ଲଜିକାଲ୍ ୟୁନିଟ୍ (ALU)
ARPA नेट (RPNet),ARPA ନେଟ (RPNet)
रचना,ଆରେ
"1. अॅरे कॅशे, 2. अॅरे गती, 3. अॅरे मेमरी","1. ଆରେ କ୍ୟାଚ୍, 2 ଆରେ ଗତି, 3 ଆରେ ମେମୋରୀ"
अॅरे संगणक,ଆରେ କମ୍ପ୍ୟୁଟର |
अॅरे घटक,ଆରେ ଉପାଦାନ |
अॅरे नाव,ଆରେ ନାମ
अॅरे प्रोसेसर,ଆରେ ସଞ୍ଚାଳକ
बाण की,ତୀର କି
करार,ଚୁକ୍ତି
जंक्शन पॉइंट,ଜଙ୍କସନ୍ ପଏଣ୍ଟ |
कृत्रिम कॉम्पॅक्शन,କୃତ୍ରିମ ସଙ୍କୋଚନ |
कृत्रिम नियंत्रण,କୃତ୍ରିମ ନିୟନ୍ତ୍ରଣ |
कृत्रिम भावना,କୃତ୍ରିମ ଅର୍ଥ |
माउंट,ଆରୋହଣ
चढत्या क्रमवारी,ଆରୋହଣ କ୍ରମ
ascii वर्णमाला,ascii ବର୍ଣ୍ଣମାଳା |
ascii नियंत्रण चिन्ह,ascii ନିୟନ୍ତ୍ରଣ ପ୍ରତୀକ |
ascii फाइल,ascii ଫାଇଲ୍ |
ascii फॉन्ट,ascii ଫଣ୍ଟ
ASCII हस्तांतरण,ASCII ସ୍ଥାନାନ୍ତର |
प्रसर गुणोत्तर,ଆନୁମାନିକ ଅନୁପାତ
"1. एस्पी, 2. एएसपीआय","1. ଆସ୍ପି, ୨ ASPI"
ए एस आर कलाड,ଏକ S R କାଲାଡ୍ |
"1. स्मरण, 2. एकत्र करणे, 3. एकत्र करणे","1. ସ୍ମରଣ, ୨ ଏକତ୍ରିତ, 3 ଏକତ୍ର ହେବା"
"1. असेंबलर, 2. स्मरणपत्र","1. ଏକତ୍ରକାରୀ, 2 ସ୍ମରଣୀୟ"
"1. एकत्र करणे, 2. आठवण","1. ଏକତ୍ର ହେବା, 2 ସ୍ମରଣ"
"1. लक्षात ठेवण्याची भाषा, 2. भाषा एकत्र करणे","1. ସ୍ମୃତି ଭାଷା, ୨। ଭାଷା ଏକତ୍ର କରିବା |"
निर्धार,ନିଷ୍ଠା
"1. निर्दिष्ट कार्य, 2. वाटप","1. ନିର୍ଦ୍ଦିଷ୍ଟ କାର୍ଯ୍ୟ, 2 ଆବଣ୍ଟନ"
सहवास,ସାଥୀତା
सहयोगी पत्ता,ସହଯୋଗୀ ଠିକଣା
"1. सहयोगी स्मृती, 2. सहयोगी स्मृती","1. ଆସୋସିଏଟିଭ୍ ମେମୋରୀ, 2 ସହଯୋଗୀ ସ୍ମୃତି"
तारका (* चिन्ह),ନକ୍ଷତ୍ର (* ଚିହ୍ନ)
असममित,ଅସୀମିତ |
"1. असिंक्रोनस, 2. असिंक्रोनस","1. ଅସନ୍ତୁଳିତ, 2 ଅସନ୍ତୁଳିତ |"
असिंक्रोनस डिजिटल सबस्क्राइबर लाइन (ADSL),ଅସନ୍ତୁଳିତ ଡିଜିଟାଲ୍ ସବସ୍କ୍ରାଇବର ଲାଇନ (ADSL)
असिंक्रोनस टाइम डिव्हिजन मल्टीप्लेक्सिंग (ATDM),ଅସନ୍ତୁଳିତ ସମୟ ବିଭାଗ ମଲ୍ଟିପ୍ଲେସିଙ୍ଗ୍ (ATDM)
असिंक्रोनस हस्तांतरण,ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର |
असिंक्रोनस ट्रान्सफर मोड (ATM),ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର ମୋଡ୍ (ଏଟିଏମ୍)
"1. अणू, 2. परमान","1. ପରମାଣୁ, ୨ ପରମାନ"
संलग्न दस्तऐवज,ସଂଲଗ୍ନିତ ଡକ୍ୟୁମେଣ୍ଟ୍ |
"1. संलग्न फाइल/ मिसाइल, 2. संलग्न फाइल","1. ସଂଲଗ୍ନ ଫାଇଲ୍ / ମିସାଇଲ୍, 2 ସଂଲଗ୍ନ ଫାଇଲ୍ |"
"1. संलग्नक, 2. संलग्न","1. ଆବଦ୍ଧ, 2 ଅନୁବନ୍ଧିତ"
"1. गुणधर्म, 2. खासियत","1. ଗୁଣ, 2 ବିଶେଷତା"
ऐकण्यायोग्य,ଶ୍ରବଣଯୋଗ୍ୟ |
"1. ऑडिट प्रोग्रामिंग, 2. ऑडिट प्रोग्रामिंग","1. ଅଡିଟ୍ ପ୍ରୋଗ୍ରାମିଂ, 2 ପ୍ରୋଗ୍ରାମିଂ ଅଡିଟ୍ କରନ୍ତୁ |"
खाते सत्यापन,ଖାତା ଯାଞ୍ଚ |
जाहिरात,ପଦୋନ୍ନତି
प्रमाणन प्रोटोकॉल,ପ୍ରମାଣପତ୍ର ପ୍ରୋଟୋକଲ୍ |
लेखन पद्धत,ଲେଖକ ପଦ୍ଧତି
"1. प्राधिकरण, 2. अधिकार, 3. न्यायाधिकरण","1. ପ୍ରାଧିକରଣ, ୨ ପ୍ରାଧିକରଣ, 3 ଟ୍ରିବ୍ୟୁନାଲ"
स्वयं गोषवारा,ଅଟୋ ଅବଷ୍ଟ୍ରାକ୍ଟ |
"1. ऑटो बूटिंग, 2. स्वत: बूट","1. ଅଟୋ ବୁଟିଙ୍ଗ୍, 2 ସେଲ୍ ବୁଟ୍"
ऑटोकॅड (संगणक भाषा),ଅଟୋକ୍ୟାଡ୍ (ଏକ କମ୍ପ୍ୟୁଟର ଭାଷା)
ऑटो लॉग-ऑन,ଅଟୋ ଲଗ୍ ଅନ୍ |
स्वयंचलित,ଅଟୋମେଟା |
ऑटोमेटा सिद्धांत,ସ୍ୱୟଂଚାଳିତ ତତ୍ତ୍। |
स्वयंचलित गणना,ସ୍ୱୟଂଚାଳିତ ଗଣନା
स्वयंचलित डेटा प्रक्रिया,ସ୍ୱୟଂଚାଳିତ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |
स्वयंचलित त्रुटी सुधारणा,ସ୍ୱୟଂଚାଳିତ ତ୍ରୁଟି ସଂଶୋଧନ |
स्वयं कार्य,ଅଟୋ ଫଙ୍କସନ୍
"1. स्वयंचलित अनुक्रमणिका, 2. स्वयंचलित सूची","1. ସ୍ୱୟଂଚାଳିତ ସୂଚକାଙ୍କ, 2 ସ୍ୱୟଂଚାଳିତ ତାଲିକା |"
स्वयं-संग्रह कॉल,ଅଟୋ-ସଂଗ୍ରହ କଲ୍ |
"1. स्वयंचलित प्रोग्रामिंग, 2. स्वयंचलित प्रोग्रामिंग","1. ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ, 2 ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ |"
"1. स्वयंचलित पुनर्प्राप्ती कार्यक्रम, 2. स्वयंचलित पुनर्प्राप्ती कार्यक्रम","1. ସ୍ୱୟଂଚାଳିତ ପୁନରୁଦ୍ଧାର ପ୍ରୋଗ୍ରାମ, 2. ସ୍ୱୟଂଚାଳିତ ପୁନରୁଦ୍ଧାର ପ୍ରୋଗ୍ରାମ |"
स्वयं दिनचर्या,ଅଟୋ ରୁଟିନ୍ |
स्वयंचलित प्रणाली पुनर्प्राप्ती,ସ୍ୱୟଂଚାଳିତ ତନ୍ତ୍ର ପୁନରୁଦ୍ଧାର
"1. ऑटोमॅटिक टेलर मशिन्स (ATM), 2. स्वत: पैसे काढण्यासाठी बँक एटीएम","1. ସ୍ୱୟଂଚାଳିତ ଟେଲର୍ ମେସିନ୍ (ଏଟିଏମ୍), ୨ | ଆତ୍ମ ପ୍ରତ୍ୟାହାର ପାଇଁ ବ୍ୟାଙ୍କ ଏଟିଏମ୍ |"
ऑटोमेशन,ସ୍ୱୟଂଚାଳିତ
"1. ऑटोप्ले , 2. ऑटो चालणे","1. ଅଟୋପ୍ଲେ, 2 ଅଟୋ ଚାଲିବା |"
स्वर,କଣ୍ଠଦାନ
सहाय्यक,ସହକାରୀ
सहाय्यक मेमरी,ସହାୟକ ସ୍ମୃତି
सहायक स्टोरेज,ସହାୟକ ଷ୍ଟୋରେଜ୍
उपलब्ध यादी,ଉପଲବ୍ଧ ତାଲିକା |
उपलब्ध वेळ,ଉପଲବ୍ଧ ସମୟ |
सरासरी,ହାରାହାରି
AWK (संगणक कमांड),AWK (ଏକ କମ୍ପ୍ୟୁଟର ନିର୍ଦ୍ଦେଶ)
नंतर,ପରେ
पोस्ट प्रोसेसर,ପୋଷ୍ଟ ପ୍ରୋସେସର୍ |
पोस्टरियर फंक्शन हटवणे,ପରବର୍ତ୍ତୀ କାର୍ଯ୍ୟ ବିଲୋପ |
पार्श्वभूमी प्रक्रिया,ପୃଷ୍ଠଭୂମି ପ୍ରକ୍ରିୟାକରଣ |
सहायक स्टोअर्स,ଆନୁଷଙ୍ଗିକ ଷ୍ଟୋରଗୁଡିକ |
बॅक पॅचिंग,ପଛ ପ୍ୟାଚିଂ |
"1. पश्चिम, 2. बॅकस्पेस","1. ପଶ୍ଚିମ, ୨ ବ୍ୟାକସ୍ପେସ୍ |"
बॅकट्रॅकिंग,ବ୍ୟାକଟ୍ରାକ୍
"1. बॅक-अप, 2. प्रतिपूर्ती","1. ବ୍ୟାକ୍ ଅପ୍, 2 ପରିଶୋଧ"
"1. पूरक स्मृती, 2. बॅकअप मेमरी","1. ସଂପୃକ୍ତ ସ୍ମୃତି, ୨। ବ୍ୟାକ୍ ଅପ୍ ମେମୋରୀ |"
परत त्रुटी सुधारणा,ପଛ ତ୍ରୁଟି ସଂଶୋଧନ |
(उत्पन्न-खर्च) ताळेबंद,(ଆୟ-ବ୍ୟୟ) ବାଲାନ୍ସ ସିଟ୍ |
मलमपट्टी,ବ୍ୟାଣ୍ଡେଜ୍ |
"1. बँड रुंदी, 2. बँडविड्थ/क्षमता","1. ବ୍ୟାଣ୍ଡ ଓସାର, 2 ବ୍ୟାଣ୍ଡୱିଡଥ୍ / ସାମର୍ଥ୍ୟ |"
बँकरचा अल्गोरिदम,ବ୍ୟାଙ୍କର ଆଲଗୋରିଦମ |
"1. बार कोड, 2. बार कोड","1. ବାର୍ କୋଡ୍, 2 ବାର୍ କୋଡ୍"
बारकोड स्कॅनर,ବାରକୋଡ୍ ସ୍କାନର୍ |
बार आलेख,ବାର୍ ଗ୍ରାଫ୍ |
मूळ पत्ता,ମୂଳ ଠିକଣା
बेस बँड,ବେସ୍ ବ୍ୟାଣ୍ଡ |
आधार क्रमांक,ଆଧାର ସଂଖ୍ୟା
बेस टेबल,ଆଧାର ଟେବୁଲ୍ |
बेसिक (संगणक भाषा),ବେସିକ୍ (ଏକ କମ୍ପ୍ୟୁଟର ଭାଷା)
"1. मूलभूत नियंत्रण, 2. बेस नियंत्रण","1. ମ Basic ଳିକ ନିୟନ୍ତ୍ରଣ, ୨। ଆଧାର ନିୟନ୍ତ୍ରଣ |"
"1. मूळ गुंतवणूक, 2. मूळ गुंतवणूक","1. ମୂଳ ବିନିଯୋଗ, ୨। ମୂଳ ବିନିଯୋଗ |"
मूलभूत सूचना,ମ basic ଳିକ ନିର୍ଦ୍ଦେଶ
मूळ समस्या,ମୂଳ ସମସ୍ୟା |
मूलभूत टप्पा,ମ basic ଳିକ ପର୍ଯ୍ୟାୟ |
"1. बॅच, 2. गट, 3. आपत्ती","1. ବ୍ୟାଚ୍, ୨ ଗୋଷ୍ଠୀ, 3 ବିପର୍ଯ୍ୟୟ |"
"1. बॅच फाइल, 2. बॅच फाइल","1. ବ୍ୟାଚ୍ ଫାଇଲ୍, 2 ବ୍ୟାଚ୍ ଫାଇଲ୍ |"
बॅच स्थिती,ବ୍ୟାଚ୍ ସ୍ଥିତି
"1. बॅच प्रोसेसिंग, 2. गट प्रक्रिया","1. ବ୍ୟାଚ୍ ପ୍ରକ୍ରିୟାକରଣ, 2 ଗୋଷ୍ଠୀ ପ୍ରକ୍ରିୟାକରଣ |"
"1. बॅच सिस्टम, 2. कॅटपल्ट प्रणाली","1. ବ୍ୟାଚ୍ ସିଷ୍ଟମ୍, 2 କାଟାପଲ୍ଟ ସିଷ୍ଟମ୍ |"
बॉड,baud
बॉड दर,ବାଉଡ୍ ହାର
तुळई तुळई,ବିମ୍ ବିମ୍ |
"1. मार्गदर्शक तत्त्वे, 2. बॅच मार्क","1. ନିର୍ଦ୍ଦେଶାବଳୀ, ୨ ବ୍ୟାଚ୍ ମାର୍କ"
द्विदिश संप्रेषण,ଦ୍ୱି-ଦିଗୀୟ ଯୋଗାଯୋଗ |
थेट दुवा,ସିଧାସଳଖ ଲିଙ୍କ୍ |
बायनरी कोड,ବାଇନାରୀ କୋଡ୍ |
बायनरी अंक,ବାଇନାରୀ ସଂଖ୍ୟା
बायनरी इन्व्हेस्टमेंट आउटपुट सिस्टम (BIOS),ବାଇନାରୀ ନିବେଶ ଆଉଟପୁଟ୍ ସିଷ୍ଟମ୍ (BIOS)
बायनरी संख्या,ବାଇନାରୀ ସଂଖ୍ୟା
बायनरी ऑपरेटर,ବାଇନାରୀ ଅପରେଟର୍ |
बायनरी संबंध,ବାଇନାରୀ ସମ୍ପର୍କ |
बायनरी शोध,ବାଇନାରୀ ସନ୍ଧାନ |
बायनरी एक्सप्लोरेशन ट्री (BST),ବାଇନାରୀ ଏକ୍ସପ୍ଲୋର୍ସନ୍ ଟ୍ରି (BST)
"1. बायनरी ट्रान्सफर ट्री, 2. बायनरी हस्तांतरण","1. ବାଇନାରୀ ସ୍ଥାନାନ୍ତର ବୃକ୍ଷ, 2 ବାଇନାରୀ ସ୍ଥାନାନ୍ତର |"
बायनरी झाड,ବାଇନାରୀ ଗଛ |
"1. द्विध्रुवीय स्मृती, 2. द्विध्रुवीय स्मृती","1. ଦ୍ୱିପାକ୍ଷିକ ସ୍ମୃତି, ୨। ଦ୍ୱିପାକ୍ଷିକ ସ୍ମୃତି"
