Tamil,Assamese
அழற்சி எதிர்ப்பு,এন্টি-ইনফ্লেমেটৰী
ஈர்ப்பு எதிர்ப்பு,এন্টিগ্ৰেভিটি
ஆன்டிலாம்டா துகள்,এন্টিলামডা কণা
அலெப்டன்,এলিলেপ্টন
காந்தவியல்,ডাইমেগনেটিক
எதிர்ப்பொருள்,এন্টিমেটাৰ
எதிர்ப்பு ஏவுகணை,এন্টি মিছাইল
எதிர்நியூட்ரான்,এন্টিনিউট্ৰন
துடிக்கும்,স্পন্দনশীল
எதிர் அணுக்கரு,এন্টিনিউক্লিয়ন
எதிர் துகள்,এন্টিপাৰটিকেল
ஆன்டிபுரோட்டான்,এন্টিপ্ৰ&#39;টন
எதிர் பிரதிபலிப்பு,এন্টিৰিফ্লেক্টিভ
சமச்சீரற்ற,এন্টিসিমেট্ৰিক
மீண்டும் நிகழாதது,non recurring
காலமற்ற தன்மை,এনাক্ৰ&#39;নিজম
துளையிடப்பட்ட ஸ்கேனிங் வட்டு,ছিদ্ৰযুক্ত স্কেনিং ডিস্ক
துவாரக்,দ্বাৰক
"மேல், மேல், முன்","ওপৰ, ওপৰ, সন্মুখ"
"சூரியன் உயர், அதிக சூரியன்","সূৰ্য্য উচ্চ, উচ্চ সূৰ্য্য"
அக்கறையற்ற சரிகை,উদাসীন জৰী
பரிதாபமற்றது,অকৰুণ
இயலாமை,অ-অক্ষমতা
மிகவும் வண்ணமயமான,অতি ৰংহীন
"நிலம்-உயர்ந்த, உச்சநிலை","ভূমি-উচ্চ, apogee"
"துருவமற்ற, சுற்றளவு","অমেৰু, বৃত্তাকাৰ"
பார்ப்பனியம்,পেৰাপোলাৰিটি
சாதனம்,সঁজুলি
"மெய்நிகர், காட்சி","ভাৰ্চুৱেল, দৃশ্যমান"
தெரியும் சூரியன்,দৃশ্যমান সূৰ্য্য
காட்சி நேரம்,দৃশ্যমান সময়
வெளிப்படும் தோற்றம்,উদীয়মান ৰূপ
விண்ணப்பம்,দৰ্খাস্ত
பொருந்தக்கூடிய தன்மை,প্ৰযোজ্যতা
விண்ணப்பித்தார்,প্ৰয়োগ কৰা হৈছে
கவனிக்கத்தக்கது,পৰ্যবেক্ষণযোগ্য
அணுகுமுறை,পদ্ধতি
"அருகில், தோராயமாக","ওচৰত, প্ৰায়"
தோராயம்,আনুমানিককৰণ
நீராவி அழுத்தம்,বাষ্পৰ চাপ
தன்னார்வ,স্বেচ্ছামূলক
"வில் உலை, வில் உலை","চাপ চুলা, চাপ চুলা"
ஆர்க்கிமிடிஸ் சட்டம்,আৰ্কিমিডিছৰ নিয়ম
கட்டிடக்கலை ஒலியியல்,স্থাপত্যৰ ধ্বনিবিজ্ঞান
பரிதி விளக்கு,চাপ লেম্প
வில்-ஸ்பெக்ட்ரம்,চাপ-বৰ্ণালী
"பகுதி, பகுதி","এলেকা, এলেকা"
"பிராந்திய, பிராந்திய","আঞ্চলিক, আঞ্চলিক"
"கை, கை, கிளை","বাহু, বাহু, শাখা"
அமெச்சூர்,অপেশাদার
"வரிசை, வரிசை","এৰে, এৰে"
பெறுபவர்,ৰিচিভাৰ
உச்சரிப்பு தெளிவு,উচ্চাৰণৰ স্পষ্টতা
செயற்கை,কৃত্ৰিম
செயற்கை மாற்றம்,কৃত্ৰিম ৰূপান্তৰ
ஏறுமுகம்,আৰোহী
ஏற்றம்,আৰোহণ
ஏறும்,বগাই যোৱা
அகோலி,আগোলি
திரட்டுதல்,একত্ৰীকৰণ
தொகுப்பு,set of
"கூட்டுதல், கூட்டுதல்","একত্ৰিত কৰা, একত্ৰিত কৰা"
"அசெம்பிளிங், அசெம்பிள், அசெம்பிள்","একত্ৰিত কৰা, একত্ৰিত কৰা, একত্ৰিত কৰা"
துல்லியமான மதிப்பீடு,নিখুঁত অনুমান
குறிப்பிடப்பட்ட (குவாண்டம் எண்களின்) விவரக்குறிப்புகள்,নিৰ্দিষ্ট (কোৱাণ্টাম সংখ্যাৰ) ধাৰ্য্যকৰণসমূহ
"தொடர்புடைய, துணை, இணைந்த","সম্পৰ্কীয়, সংযুক্ত, সংযুক্ত"
உயிர் ஒலி,স্বৰধ্বনি
தானியங்கி மல்டிவிபிரேட்டர்,স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ
ஆஸ்தெனிக்,এষ্টেনিক
"மதுவிலக்கு, astigmatism","বিৰতি, দৃষ্টিশক্তি"
விண்வெளி பயண மின்னணுவியல்,মহাকাশ ভ্ৰমণ ইলেক্ট্ৰনিকছ
வானியற்பியல்,জ্যোতিৰ্পদাৰ্থ বিজ্ঞান
விண்வெளி,মহাকাশচাৰী
வானியலாளர்,জ্যোতিৰ্বিজ্ঞানী
விண்ணுலகம்,আকাশী
வானியல்,জ্যোতিৰ্বিজ্ঞান
வானியற்பியல்,জ্যোতিৰ্পদাৰ্থ বিজ্ঞান
சமச்சீரற்ற,অসমতাপূৰ্ণ
அறிகுறியற்ற,এছিম্পটটিক
மோசமாக்கும்,গুৰুতৰ কৰি তোলা
ஒத்திசைவற்ற,এচিনক্ৰ&#39;নাছ
"வளிமண்டலம், வளிமண்டலம்","বায়ুমণ্ডল, বায়ুমণ্ডল"
வளிமண்டலம்,বায়ুমণ্ডলীয়
காற்று கொந்தளிப்பு,বতাহৰ অস্থিৰতা
அணுக்கரு,পাৰমাণৱিক
அணு,পাৰমাণৱিক
அணுசக்தி,পাৰমাণৱিকতা
அணுக்கரு நிறை,পাৰমাণৱিক ভৰ
அணு எண்,পাৰমাণৱিক সংখ্যা
"அணு உலை, அணுக் குவியல்","নিউক্লিয়াৰ ৰিয়েক্টৰ, নিউক্লিয়াৰ পাইল"
அணு,পাৰমাণৱিক
துகள்,কণা
துகள்,কণা
"தணிவு, தணிவு","attenuation, ক্ষীণকৰণ"
"தணித்தல், தணித்தல்","attenuating, ক্ষীণ কৰা"
வசீகரம்,আকৰ্ষণ
ஈர்ப்பு சக்தி,আকৰ্ষণৰ বল
கேட்கக்கூடிய தன்மை,শ্ৰৱণ ক্ষমতা
ஒலி அதிர்வெண் பெருக்கி,অডিঅ&#39; ফ্ৰিকুৱেন্সি এম্প্লিফায়াৰ
கேட்கக்கூடிய,শ্ৰৱণযোগ্য
ஆடியோ ஜெனரேட்டர்,অডিঅ&#39; জেনেৰেটৰ
கேட்கக்கூடிய வரைபடம்,শ্ৰৱণ ক্ষমতা গ্ৰাফ
கேட்கும் அறிவியல்,শ্ৰৱণ বিজ্ঞান
ஒலிமானி,অডিঅ&#39;মিটাৰ
கேட்கக்கூடிய அதிர்வெண் ஆஸிலேட்டர்,শ্ৰৱণযোগ্য কম্পাঙ্ক দোলক
ஒலி சமிக்ஞை,শব্দ সংকেত
ஒலி-ஒளி காட்சி,দৃশ্য-শ্ৰাব্য
"ஆடிட்டோரியம், ஆடிட்டோரியம்","অডিটৰিয়াম, অডিটৰিয়াম"
OZ விளைவு,OZ প্ৰভাৱ
பதவி உயர்வு,প্ৰচাৰ
மேம்படுத்துபவர்,এনহান্সাৰ
துருவ சுடர்,মেৰু শিখা
தென் துருவ சுடர்,দক্ষিণ মেৰু শিখা
வட துருவ சுடர்,উত্তৰ মেৰু শিখা
தானியங்கி எச்சரிக்கை,স্বয়ংক্ৰিয় সতৰ্কবাণী
தானாக இணையாக,অটো সমান্তৰালকাৰী
"தானியங்கி, தானியங்கி, தானியங்கி","স্বয়ংক্ৰিয়, স্বয়ংক্ৰিয়, স্বয়ংক্ৰিয়"
"ஆட்டோமேஷன், ஆட்டோமேஷன்","স্বয়ংক্ৰিয়কৰণ, স্বয়ংক্ৰিয়কৰণ"
"உதவியாளர், கூட்டுறவு, கூடுதல்","সহায়ক, সমবায়, অতিৰিক্ত"
"அவடவா, அவலாஞ்சி","অৱদাভা, হিমস্খলন"
"சராசரி, சராசரி","mean, mean"
பரிவாரன்,পৰিৱৰণ
அச்சு,অক্ষীয়
அச்சு,অক্ষ
அஜிமுத்,এজিমুথ
அஜிமுத்,এজিমুথ
மீண்டும்,পিছলৈ
"பின்னணி, பின்னணி","পটভূমি, পটভূমি"
"பின்தங்கிய, பின்தங்கிய","পিছপৰা, পিছপৰা"
திருப்புமுனை,ঘুৰা
பின் மின்னழுத்த துடிப்பு,বেক ভল্টেজ পালছাৰ
பிந்தைய உறவு,সম্পৰ্কৰ পিছৰ
கொடுக்கப்படுவதுடன்,ৰিইম্বৰ্চেমেণ্ট
எதிர்ப்பு மின்னழுத்தம்,এন্টি ভল্টেজ
பின்புற சிதறல்,পশ্চাৎ বিক্ষিপ্ততা
இடைநிலை அலை,অন্তৰ্স্থলীৰ তৰংগ
இன்சுலேட்டர்,ইনচুলেটৰ
பாராசூட் ஜம்ப்,পেৰাচুট জাম্প
வெப்பமூட்டும்,উত্তাপন কৰা
"சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை","ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য"
சமநிலைப்படுத்துபவர்,বেলেন্সাৰ
சமநிலை,ভাৰসাম্যতা বজাই ৰখা
உருண்டை,গ্ল&#39;বুল
"பாலிஸ்டிக், பாலிஸ்டிக்","বেলিষ্টিক, বেলিষ্টিক"
"ப்ராஜெக்ஷன் கால்வனோமீட்டர், ப்ராஜெக்ஷன் கால்வனோமீட்டர்","প্ৰজেকচন গেলভেন’মিটাৰ, প্ৰজেকচন গেলভেন’মিটাৰ"
ஏவுகணை,মিছাইল
"பந்துவீச்சு, ஆயுதம்","বেলিষ্টিক, অস্ত্ৰ-শস্ত্ৰ"
கணிப்பு,প্ৰক্ষেপণ
இலவச பாதை,মুক্ত ট্ৰেজেক্টৰী
"பலூன், பலூன்","বেলুন, বেলুন"
பால்மர் இடைநிறுத்தம்,বালমাৰ বিচ্ছিন্নতা
"இசைக்குழு, இசைக்குழு, இசைக்குழு","বেণ্ড, বেণ্ড, বেণ্ড"
குண்டு வெடிப்பு,ফুটা
"வரிசை, கற்றை, கரை, கரை, கடற்கரை","array, beam, তীৰ, পাৰ, উপকূল"
"நெடுவரிசை, பட்டை, கோப், தொகுதி, பட்டை, கம்பி, பட்டை, 8. சுவர், 9. கோடு, 10. விளிம்பு, 1 தொகுதி, 1, பட்டை, 1, கோடு, 1, சோதனைக் கோடு","স্তম্ভ, বাৰ, কব, ব্লক, বাৰ, ৰড, বাৰ, ৮.বেৰ, ৯. ৰেখা, ১০. প্ৰান্ত, ১ ব্লক, ১, বাৰ, ১, ৰেখা, ১, পৰীক্ষা ৰেখা"
பார்டீன் கொள்கை,bardeen নীতি
barkhausen விளைவு,barkhausen প্ৰভাৱ
பார்லோ சுழற்சி,barlow চক্ৰ
பட்டை காந்தம்,বাৰ চুম্বক
கொட்டகை,ভঁৰাল
காற்று அழுத்த வரைபடம்,বায়ুৰ চাপৰ গ্ৰাফ
"barograph, barograph","বেৰ&#39;গ্ৰাফ, বেৰ&#39;গ্ৰাফ"
காற்றழுத்தமானி,বেৰ&#39;মিটাৰ
வளிமண்டல அழுத்தம்,বায়ুমণ্ডলীয় চাপ
"அண்டம், காற்றழுத்தம்","ব্ৰহ্মাণ্ড, বেৰ&#39;স্ফিয়াৰ"
ஊசல்,পেণ্ডুলাম
"தடை, அணு, அணு தடை","বাধা, পাৰমাণৱিক বাধা, পাৰমাণৱিক বাধা"
தடை நிலை,বাধাৰ স্তৰ
பேரியன்,barion
குருமண்டலம்,গুৰুমণ্ডল
அடிப்படை இசைக்குழு,বেচ বেণ্ড
"அடிப்படை, அடிப்படை, கார","মৌলিক, মৌলিক, ক্ষাৰকীয়"
அடித்தளம்,ভেঁটি
"கணக்கெடுப்பு, குழு உருவாக்கம்","গণনা, দল গঠন"
"தொட்டி, தொட்டி, ஹீட்டர், வெப்பமூட்டும் பானை, குளியல்","cistern, cistern, হিটাৰ, গৰম কৰা পাত্ৰ, গা ধোৱা"
மின்கலம்,বেটাৰি
"வரிசை பிரிவு, அறை, விரிகுடா","এৰে খণ্ড, কক্ষ, উপসাগৰ"
கண்காட்சி,প্ৰদৰ্শন
கிபான்,কিবান
"மாணிக்கா, பீட்","মণিকা, বিড"
"பீம், பீம், பீம், டிரம்ப்","ৰশ্মি, ৰশ্মি, ৰশ্মি, ট্রাম্প"
"டிக்மன், டிக்கான்","ডিকমন, ডিকন"
"டோல், விஸ்பாண்ட்","ডোলে, ভিস্পেণ্ড"
பெக்கரல் விளைவு,becquerel প্ৰভাৱ
மணி ஜாடி,ঘণ্টা জাৰ
பெல்லோஸ்,bellows
மணி கடிகாரம்,ঘণ্টা ঘড়ী
"வேதிகா, பெஞ்ச்","বেদিকা, বেঞ্চ"
"முறை, பங்க் (எட்.), வளைவு (வி.)","মোড, বাংক (সম্পা.), বেণ্ড (v.)"
வங்கியாளர்,বাংকন
"வளைந்த, வளைந்த","bent, বেঁকা"
பெர்னோலி-சமன்பாடு,বাৰ্নৌলি-সমীকৰণ
அடிப்படை-செயல்பாடு,ভিত্তি-ফলন
சிறந்த ஒட்டுதல்,শ্ৰেষ্ঠ আঠাযুক্ততা
பீட்டா (பி),বিটা (খ)
பீட்டாட்ரான்,betatron
bethe மாதிரி,bethe মডেল
bivatron,বিভাট্ৰন
BH வளைவு,BH বক্ৰ
இருகோணமானது,দ্বিকোণীয়া
"சார்பு, சார்பு","bias, পক্ষপাতিত্ব"
இரு-அச்சு,দ্বি-অক্ষীয়
பைக்ரோமேட் செல்,বাইক্ৰ&#39;মেট কোষ
அப்யவடல்,অভ্যাৱতল
இரட்டை ஆண்டெனா,ডাবল এন্টেনা
பைன்வெக்ஸ்,দ্বি উত্তল
"இரு-படிகம், இரட்டை-படிகம்","দ্বি-স্ফটিক, দ্বৈত-স্ফটিক"
இருதரப்பு ஒலிவாங்கி,দ্বিমুখী মাইক্ৰ&#39;ফোন
இருவகை மாதிரி,দ্বিপদ আৰ্হি
டையோசியஸ்,ডাইঅ&#39;ইচিয়াছ
இருதரப்பு,দ্বিপাক্ষিক
இருமுனை,দ্বিৰেখা
இரு மூலக்கூறு,দ্বি আণৱিক
"இரு-மாறி, இரு-அடிப்படை, இரட்டை","দ্বি-চলক, দ্বি-ভিত্তিক, দ্বৈত"
"பைனரி குறியீடு, பைனரி குறியீடு","বাইনাৰী ক&#39;ড, বাইনাৰী ক&#39;ড"
விளையாட்டு நட்சத்திரம்,গেম ষ্টাৰ
பைனரி முறை,বাইনাৰী পদ্ধতি
இரட்டை பக்க,biparietal
பத்திரம்,বান্ধোন
"தொலைநோக்கி, தொலைநோக்கி","বাইনোকুলাৰ, বাইনোকুলাৰ"
பைனரி,বাইনাৰী
இருவகைப் பரவல்,দ্বিপদ বিতৰণ
"இருமைய, இருமைய, இரு அணுக்கரு","দ্বিকেন্দ্ৰীয়, দ্বিকেন্দ্ৰীয়, দ্বি-নিউক্লিয়েট"
உயிரியக்கவியல்,জৈৱগতিবিদ্যা
உயிர் மின்னணுவியல்,বায়&#39; ইলেক্ট্ৰনিক্স
உயிர் இயற்பியலாளர்,জৈৱপদাৰ্থবিজ্ঞানী
உயிர் இயற்பியல்,জৈৱপদাৰ্থ বিজ্ঞান
உயிரியல் செயற்கைக்கோள்,জৈৱিক উপগ্ৰহ
"ஒளிப்பதிவாளர், பயாஸ்கோப்","চিনেমাটোগ্ৰাফাৰ, বায়স্কোপ"
பயோ-சாவர்ட் விதி,বায়&#39;-ছাভাৰ্ট নিয়ম
இருமுனை மின்னோட்டம்,দ্বিফেজিক কাৰেণ্ট
இருமுனை,ডাইপোল
"இருபிரிசம், இருபிரிசம்","বাইপ্ৰিজম, বাইপ্ৰিজম"
"biquartz, biquartz","বাইকোৱাৰ্টছ, বাইকোৱাৰ্ট"
இருமுனை பாத்திரம்,দ্বিপৰ্যায়ৰ আখৰ
இரண்டு-நிலை மல்டிவிபிரேட்டர்,দুটা পৰ্যায়ৰ মাল্টিভাইব্ৰেটৰ
"ட்வயங்க்* (பைனரி எண்), பர்மிஸ், அனி, துக்","ড্ৱায়াংক* (বাইনাৰী সংখ্যা), বাৰ্মিজ, অনি, টুক"
"கருப்பு, கிருஷ்ணா","ক&#39;লা, কৃষ্ণ"
கருப்பு உடல்,ক&#39;লা শৰীৰ
கண்ணுக்கு தெரியாத ஒளி,অদৃশ্য পোহৰ
திமிராயன் வானொலி திமிராயன்,timirayan ৰেডিঅ&#39; timirayan
வெளியேற்ற துடிப்பு,ইজেকচন পালছ
முடிவு சார்பு,end bias
கருப்பு கதிர்வீச்சு,ক&#39;লা বিকিৰণ
"முடிக்கப்படாத, வெற்று","অসম্পূৰ্ণ, খালী"
கவர்,আৱৰণ
ரத்து,বাতিল কৰা
"வெடிப்பு, வெடிப்பு, புயல்","বিস্ফোৰণ, বিস্ফোৰণ, ধুমুহা"
"savika, bleeder, savi","সবিকা, ব্লিডাৰ, সবি"
"மாறுவேடமிட்டு, குருடர்","ছদ্মবেশত, অন্ধ"
ப்ளாச்சின் தேற்றம்,ব্লকৰ উপপাদ্য
"தொகுதி, தொகுதி, தொகுதி","ব্লক, ব্লক, ব্লক"
"அடி, அடி, அடி","blow, blow, আঘাত কৰা"
நீல அச்சு,নীলা প্ৰিন্ট
