Telugu,English
అధునాతన శాస్త్రీయ కంప్యూటర్,Advanced scientific computer
ఆకాశయాన,Aerial
మొత్తం,Aggregate
మొత్తం వ్యక్తీకరణ,Aggregate expression
లక్ష్య వృత్తం,Aiming circle
లక్ష్యం ఫీల్డ్ (= లక్ష్యం చిహ్నం),Aiming field (= aiming symbol)
లక్ష్యం చిహ్నం,Aiming symbol
వాయుమార్గాన కంప్యూటర్ వ్యవస్థ,Airborne computer system
బీజగణిత ఈజెన్వాల్యూ సమస్య,Algebraic eigenvalue problem
బీజగణితం  అనుసంధానం,Algebraic  Integration
బీజగణిత భాష,Algebraic language
బీజగణిత మానిప్యులేషన్,Algebraic manipulation
బీజగణిత మానిప్యులేషన్ భాష,Algebraic manipulation language
బీజగణిత ఆధారిత భాష,Algebraic oriented language
బీజగణిత షిఫ్ట్,Algebraic shift
బీజగణిత సంకేత సమావేశం,Algebraic sign convention
ఆల్గోల్,Algol
ఆల్గోల్ ఫీచర్,Algol feature
ఆల్గోల్ ప్రోగ్రామింగ్,Algol Programming
అల్గోరిథం,Algorithm
అల్గోరిథం అసోసియేటివ్ లాంగ్వేజ్,Algorithm associative language
అల్గోరిథం వర్గీకరణ,Algorithm classification
అల్గోరిథం సంక్లిష్టత,Algorithm complexity
అల్గోరిథం కంప్యూటబిలిటీ,Algorithm computability
అల్గోరిథమిక్ విశ్లేషణ,Algorithmic analysis
అల్గోరిథమిక్ విధానం,Algorithmic approach
అల్గోరిథమిక్ భాష,Algorithmic language
అల్గోరిథమిక్ దినచర్య,Algorithmic routine
అల్గోరిథమిక్ సిద్ధాంతం,Algorithmic theory
అలియాస్,Alias
అలియాసింగ్,Aliasing
అలియాస్ పేరు (= ప్రత్యామ్నాయ పేరు),Alias name (= alternative name)
అమరిక,Alignment
కేటాయించండి,Allocate
కేటాయింపు నిర్మాణం,Allocation structure
ఆల్-పర్పస్ కంప్యూటర్,All-purpose computer
అక్షర పాత్ర,Alphabetic character
అక్షర అక్షర సమితి,Alphabetic character set
అక్షర అక్షర ఉపసమితి,Alphabetic character subset
అక్షర కోడ్,Alphabetic code
అక్షర షిఫ్ట్,Alphabetic shift
అక్షర స్ట్రింగ్,Alphabetic string
అక్షర పదం,Alphabetic word
వర్ణమాల,Alphabetization
ఆల్ఫాజియోమెట్రిక్స్,Alphageometrics
ఆల్ఫామెరిక్,Alphameric
ఆల్ఫామోసాయిక్,Alphamosaic
ఆల్ఫాన్యూమరిక్,Alphanumeric
ఆల్ఫాన్యూమరికల్ కీబోర్డ్ పరికరం,Alphanumerical keyboard device
ఆల్ఫాన్యూమరిక్ క్యారెక్టర్ సెట్,Alphanumeric character set
ఆల్ఫాన్యూమరిక్ కోడ్,Alphanumeric code
ఆల్ఫాన్యూమరిక్ కోడెడ్ క్యారెక్టర్ సెట్,Alphanumeric coded character set
ఆల్ఫాన్యూమరిక్ డేటా,Alphanumeric data
ఆల్ఫాన్యూమరిక్ డిస్ప్లే పరికరం,Alphanumeric display device
ఆల్ఫాన్యూమరిక్ సవరించిన పాత్ర,Alphanumeric edited character
ఆల్ఫాన్యూమరిక్ ఫీల్డ్,Alphanumeric field
ఆల్ఫాన్యూమరిక్ ఇన్స్ట్రక్షన్,Alphanumeric instruction
ఆల్ఫాన్యూమరిక్ కీబోర్డ్,Alphanumeric keyboard
ఆల్ఫాన్యూమరిక్ విధమైన,Alphanumeric sort
ఆల్ఫాన్యూమరిక్ స్టోరేజ్,Alphanumeric storage
మార్చగల మెమరీ,Alterable memory
మార్పు స్విచ్,Alteration switch
మార్చడం,Altering
ఆల్టర్ మోడ్,Alter mode
ప్రత్యామ్నాయ రికవరీ,Alternate recovery
ప్రత్యామ్నాయ మార్గం,Alternate route
ప్రత్యామ్నాయ రౌటింగ్,Alternate routing
ప్రత్యామ్నాయ ట్రాక్,Alternate track
ప్రత్యామ్నాయం (= లేదా ఆపరేషన్),Alternation (= OR operation)
ప్రత్యామ్నాయ లక్షణం,Alternative attribute
ప్రత్యామ్నాయ తిరస్కరణ (= మరియు ఆపరేషన్ కాదు),Alternative denial (= NOT-AND operation)
అస్పష్టత లోపం,Ambiguity error
అస్పష్టమైన సూచన,Ambiguous reference
అనలాగ్,Analog
అనలాగ్ యాడర్,Analog adder
అనలాగ్ ఛానల్,Analog channel
అనలాగ్ కంప్యూటర్,Analog computer
అనలాగ్ కన్వర్టర్,Analog converter
అనలాగ్ డేటా,Analog data
అనలాగ్ డివైడర్,Analog divider
అనలాగ్ ఫెసిలిటీ టెర్మినల్,Analog facility terminal
అనలాగ్ ఫంక్షన్  జనరేటర్,Analog function  Generator
అనలాగ్ ఇంటిగ్రేషన్,Analog integration
అనలాగ్ గుణకం,Analog multiplier
అనలాగ్ ప్రోగ్రామింగ్,Analog programming
అనలాగ్ స్కేలింగ్,Analog scaling
అనలాగ్ సిగ్నల్,Analog signal
అనలాగ్ అనుకరణ,Analog simulation
అనలాగ్ స్విచ్,Analog switch
అనలాగ్ వ్యవస్థ,Analog system
డిజిటల్‌కు అనలాగ్  కన్వర్టర్,Analog to digital  Converter
డిజిటల్‌కు అనలాగ్  ఎన్కోడర్,Analog to digital  Encoder
అనలాగ్ ట్రాన్స్మిషన్,Analog transmission
అనలాగ్ రకం,Analog type
విశ్లేషణ బ్లాక్,Analysis block
విశ్లేషణ మోడ్,Analysis mode
విశ్లేషణాత్మక ఇంజిన్,Analytical engine
పూర్వీకుల పని,Ancestral task
సహాయక పరికరాలు,Ancillary equipment
మరియు,AND
మరియు సర్క్యూట్,AND circuit
మరియు మూలకం,AND element
మరియు గేట్,AND gate
మరియు మాస్కింగ్,AND masking
మరియు ఆపరేషన్ కాదు (= మినహాయింపు,AND NOT operation (=exclusion
మరియు ఆపరేషన్,AND operation
అనెక్స్ మెమరీ,Annex memory
ఉల్లేఖనం,Annotation
అనన్సియేటర్,Annunciator
తిరిగి సమాధానం ఇవ్వండి,Answer back
సమాధానం ఆలస్యం,Answer delay
సమయం సమాధానం,Answering time
సమాధానం దీపం,Answer lamp
జవాబు జాబితా,Answer list
సమాధానం మాత్రమే,Answer only
Ntic హించే మోడ్,Anticipation mode
ముందస్తు బఫరింగ్,Anticipatory buffering
ముందస్తు క్యారీ,Anticipatory carry
ముందస్తు పేజింగ్,Anticipatory paging
ప్రతిస్కందకం ఆపరేషన్,Anticoincidence operation
ప్రతిస్కందకం మూలకం,Anticoincident element
అపెరియోడిక్ యాంటెన్నా,Aperiodic antenna
ఎపర్చరు కార్డు,Aperture card
ఎపర్చరు కోడ్,Aperture code
ఎపర్చరు సమయం,Aperture time
అనుబంధం,Appendage
అనుబంధ పని,Appendage task
అప్లికేషన్ డెవలపర్,Application developer
అప్లికేషన్ లేయర్,Application layer
అప్లికేషన్ ఓరియెంటెడ్ లాంగ్వేజ్,Application oriented language
అప్లికేషన్ ప్యాకేజీ,Application package
అప్లికేషన్ ప్రోగ్రామ్,Application program
అప్లికేషన్ ప్రోగ్రామింగ్,Application programming
అప్లికేషన్ అవసరం భాష,Application required language
అప్లికేషన్ సాఫ్ట్‌వేర్,Application software
అప్లిక్,Applique
ఉజ్జాయింపు సిద్ధాంతం,Approximation theory
ఏకపక్ష ప్రాప్యత,Arbitrary access
ఏకపక్ష సీక్వెన్స్ కంప్యూటర్,Arbitrary sequence computer
మధ్యవర్తిత్వ,Arbitration
వాస్తుశిల్పం,Architecture
ఆర్కైవింగ్,Archiving
స్థల సంకేతం,Area code
ప్రాంత శోధన,Area search
ప్రాంత బదిలీ,Area transfer
ఏరియా వేరియబుల్,Area variable
వాదన,Argument
ఆర్గ్యుమెంట్ చిరునామా,Argument address
ఆర్గ్యుమెంట్ జాబితా,Argument list
అంకగణిత బోధన,Arithmetical instruction
అంకగణిత మరియు అంకగణిత విభాగం,Arithmetic and logic unit
అంకగణిత అసైన్‌మెంట్ స్టేట్మెంట్,Arithmetic assignment statement
అంకగణిత చెక్,Arithmetic check
అంకగణిత స్థిరాంకం,Arithmetic constant
అంకగణిత మార్పిడి,Arithmetic conversion
అంకగణిత డేటా,Arithmetic data
అంకగణిత మినహాయింపు,Arithmetic exception
అంకగణిత వ్యక్తీకరణ,Arithmetic expression
అంకగణిత స్థిర బిందువు,Arithmetic fixed point
అంకగణిత సోపానక్రమం,Arithmetic hierarchy
అంకగణితం ఉంటే స్టేట్మెంట్,Arithmetic IF statement
అంకగణిత తర్కం,Arithmetic logic
అంకగణిత లాజిక్ యూనిట్,Arithmetic logic unit
అంకగణిత ఆపరేషన్,Arithmetic operation
అంకగణిత ఆపరేటర్,Arithmetic operator
అంకగణిత ఓవర్ఫ్లో,Arithmetic overflow
అంకగణిత చిత్ర డేటా,Arithmetic picture data
అంకగణిత ప్రాధాన్యత,Arithmetic precedence
అంకగణిత ప్రాధమిక,Arithmetic primary
అంకగణిత రిజిస్టర్,Arithmetic register
అంకగణిత సంబంధం,Arithmetic relation
అంకగణిత స్కాన్,Arithmetic scan
అంకగణిత విభాగం,Arithmetic section
అంకగణిత మార్పు,Arithmetic shift
అంకగణిత బదిలీ,Arithmetic shifting
అంకగణిత ప్రకటన,Arithmetic statement
అంకగణిత పదం,Arithmetic term
అంకగణిత అండర్ఫ్లో,Arithmetic underflow
అంకగణిత యూనిట్,Arithmetic unit
అమరిక,Array
శ్రేణి బౌండ్,Array bound
అర్రే కంప్యూటర్,Array computer
శ్రేణి పరిమాణం,Array dimension
శ్రేణి మూలకం,Array element
శ్రేణి వ్యక్తీకరణ,Array expression
శ్రేణి పేరు,Array name
నిర్మాణాల శ్రేణి,Array of structures
అర్రే ప్రింటింగ్,Array printing
శ్రేణి ప్రాసెసింగ్,Array processing
అర్రే ప్రాసెసర్,Array processor
ఉచ్చారణ పాయింట్,Articulation point
కృత్రిమ జ్ఞానం,Artificial cognition
కృత్రిమ మేధస్సు,Artificial intelligence
కృత్రిమ భాష,Artificial language
కృత్రిమ వేరియబుల్,Artificial variable
ఆర్ట్స్ అప్లికేషన్ డేటా బ్యాంక్,Arts application data bank
ఆర్ట్స్ అప్లికేషన్ మ్యూజిక్,Arts application music
ఆర్ట్స్ అప్లికేషన్ సరళి తరం,Arts application pattern generation
ఆరోహణ,Ascender
ఆరోహణ క్రమబద్ధీకరణ,Ascending sort
అస్సిల్,ASCIL
ASCII నియంత్రణ అక్షరం,ASCII control character
ASCII కీ బోర్డు,ASCII key board
కారక,Aspect
కారకం మరియు,Aspect and
సమీకరించటం,Assemble
సమావేశమైన మూలం,Assembled origin
వ్యవధిని సమీకరించండి,Assemble duration
సమీకరించేవాడు,Assembler
సమీకరించే ఆదేశం,Assembler directive
సమీకరించే సౌకర్యం,Assembler facility
సమీకరించే భాష,Assembler language
సమీకరించడం,Assembling
సమీకరించే దశ,Assembling phase
సమీకరించే సమయాన్ని,Assembling time
అసెంబ్లీ,Assembly
అసెంబ్లీ భాష,Assembly language
అసెంబ్లీ భాషా ప్రోగ్రామింగ్,Assembly language programming
అసెంబ్లీ భాషా సాఫ్ట్‌వేర్ వశ్యత,Assembly language software flexibility
అసెంబ్లీ జాబితా,Assembly listing
అసెంబ్లీ దశ,Assembly phase
అసెంబ్లీ దినచర్య,Assembly routine
అసెంబ్లీ సమయం,Assembly time
అసెంబ్లీ యూనిట్,Assembly unit
అసైన్‌మెంట్ ఇండెక్సింగ్,Assignment indexing
అసైన్‌మెంట్ ఆపరేషన్,Assignment operation
అసైన్‌మెంట్ స్టేట్మెంట్,Assignment statement
అసోసియేటివ్ చిరునామా,Associative address
అసోసియేటివ్ అర్రే రిజిస్టర్,Associative array register
అసోసియేటివ్ కీ,Associative key
అసోసియేటివ్ లాంగ్వేజ్,Associative language
అసోసియేటివ్ మెమరీ,Associative memory
అసోసియేటివ్ స్టోరేజ్,Associative storage
దశాంశ బిందువు,Assumed decimal point
అసమాన పరికరం,Asymmetric device
అసమాన i/ఓ,Asymmetric i/o
అసమకాలిక,Asynchronous
అసమకాలిక కంప్యూటర్,Asynchronous computer
అసమకాలిక డేటా బదిలీ,Asynchronous data transfer
అసమకాలిక డేటా ట్రాన్స్మిషన్,Asynchronous data transmission
అసమకాలిక పరికరాలు,Asynchronous devices
అసమకాలిక ఆపరేషన్,Asynchronous operation
అసమకాలిక సిగ్నలింగ్,Asynchronous signalling
అసమకకరణం,Asynchronous time division multiplexing
అసమకాలిక ప్రసారం,Asynchronous transmission
అసమకాలిక పని,Asynchronous working
అటాచ్డ్ ప్రాసెసింగ్,Attached processing
అటాచ్డ్ ప్రాసెసర్,Attached processor
అటాచ్డ్ సపోర్ట్ ప్రాసెసర్,Attached support processor
హాజరైన ఆపరేషన్,Attended operation
ట్రైల్ ప్రింటర్‌కు హాజరయ్యారు,Attended trail printer
శ్రద్ధ అంతరాయం,Attention interruption
శ్రద్ధ కీ,Attention key
అటెన్యుయేషన్,Attenuation
అటెన్యుయేషన్ స్థిరాంకం,Attenuation constant
అటెన్యుయేషన్ వక్రీకరణ,Attenuation distortion
అటెన్యుయేషన్ ఈక్వలైజర్,Attenuation equalizer
అటెన్యూయేటర్,Attenuator
గుణం,Attribute
వినగల అలారం,Audible alarm
ఆడియో క్యాసెట్,Audio cassette
ఆడియో విచారణ,Audio enquiry
ఆడియో లైన్,Audio line
ఆడియో ప్రతిస్పందన,Audio response
ఆడియో ప్రతిస్పందన సందేశం,Audio response message
ఆడియో ప్రతిస్పందన యూనిట్,Audio response unit
ఆడియోటేప్ స్టోరేజ్ యూనిట్,Audiotape storage unit
ఆడియో టెలికమ్యూనికేషన్ లైన్,Audio telecommunication line
ఆడియో టెర్మినల్,Audio terminal
ఆడిట్ కమాండ్ లాంగ్వేజ్,Audit command language
ఆడిట్ ప్రోగ్రామింగ్,Audit programming
తనిఖీ శోధన,Audit trail
ఆగెండ్,Augend
ఆజ్మెంట్,Augment
ఆగ్మెంటర్,Augmenter
రచయిత,Author
రచయిత,Authoring
రచయిత వ్యవస్థ,Authoring system
అధికారం,Authority
అధికారిక కోడ్,Authorization code
అధీకృత లైబ్రరీ,Authorized library
అధీకృత కార్యక్రమం,Authorized program
అధీకృత ప్రోగ్రామ్ సౌకర్యం,Authorized program facility
ఆటో వియుక్త,Auto abstract
ఆటో సమాధానం,Autoanswer
ఆటో బూటింగ్,Auto booting
ఆటో బైపాస్,Auto bypass
ఆటో కాల్ (= ఆటోమేటిక్ కాలింగ్),Auto call (=automatic calling)
ఆటో కోడర్,Auto coder
ఆటో డయల్,Auto dial
ఆటోఫ్లో,Autoflow
ఆటో సూచిక,Auto index
ఆటో ఇండెక్స్డ్ చిరునామా,Auto indexed addressing
ఆటోమాటా,Automata
ఆటోమాటా సిద్ధాంతం,Automata theory
ఆటోమాటా రకం,Automata type
స్వయంచాలక గ్రంథ పట్టిక,Automated bibliography
స్వయంచాలక డేటా మాధ్యమం,Automated data medium
ఆటోమేటెడ్ డిక్షనరీ,Automated dictionary
ఆటోమేటెడ్ గ్లోసరీ,Automated glossary
ఆటోమేటెడ్ లాజిక్ రేఖాచిత్రం,Automated logic diagram
స్వయంచాలక నిర్వహణ,Automated management
ఆటోమేటెడ్ ప్రొడక్షన్ మేనేజ్‌మెంట్,Automated production management
ఆటోమేటెడ్ స్టాక్ కంట్రోల్,Automated stock control
స్వయంచాలక వియుక్త,Automatic abstract
ఆటోమేటిక్ వియుక్త,Automatic abstracting
స్వయంచాలకంగా ప్రోగ్రామ్ చేయబడిన సాధనాలు,Automatically programmed tools
స్వయంచాలక సమాధానం,Automatic answering
ఆటోమేటిక్ కాల్ డిస్ట్రిబ్యూటర్,Automatic call distributor
ఆటోమేటిక్ కాలింగ్,Automatic calling
ఆటోమేటిక్ చెక్,Automatic check
ఆటోమేటిక్ కోడింగ్,Automatic coding
ఆటోమేటిక్ కంప్యూటింగ్,Automatic computing
ఆటోమేటిక్ కంప్యూటింగ్ ఇంజిన్,Automatic computing engine
ఆటోమేటిక్ స్థిరాంకం,Automatic constant
ఆటోమేటిక్ కంట్రోల్ ఇంజనీరింగ్,Automatic control engineering
ఆటోమేటిక్ డేటా ప్రాసెసింగ్,Automatic data processing
స్వయంచాలక డేటా ప్రాసెసింగ్ సిస్టమ్,Automatic data processing system
స్వయంచాలక దశాంశ అమరిక,Automatic decimal alignment
ఆటోమేటిక్ డయలింగ్ యూనిట్,Automatic dialing unit
ఆటోమేటిక్ డిక్షనరీ,Automatic dictionary
ఆటోమేటిక్ ఈక్వలైజేషన్,Automatic equalization
స్వయంచాలక లోపం దిద్దుబాటు,Automatic error correction
ఆటోమేటిక్ ఫీడ్ పంచ్,Automatic feed punch
ఆటోమేటిక్ ఫంక్షన్,Automatic function
ఆటోమేటిక్ ఇండెక్సింగ్,Automatic indexing
ఆటోమేటిక్ లైబ్రరీ కాల్,Automatic library call
ఆటోమేటిక్ మెసేజ్ అకౌంటింగ్,Automatic message accounting
స్వయంచాలక సంఖ్య గుర్తింపు,Automatic number identification
ఆటోమేటిక్ పాజినేషన్,Automatic pagination
ఆటోమేటిక్ ప్రోగ్రామింగ్,Automatic programming
ఆటోమేటిక్ పంచ్,Automatic punch
ఆటోమేటిక్ రికవరీ ప్రోగ్రామ్,Automatic recovery program
ఆటోమేటిక్ రిపీట్ అభ్యర్థన,Automatic repeat request
స్వయంచాలక పున art ప్రారంభం,Automatic restart
ఆటోమేటిక్ రొటీన్,Automatic routine
ఆటోమేటిక్ సీక్వెన్సింగ్,Automatic sequencing
ఆటోమేటిక్ సీక్వెన్షియల్ ఆపరేషన్,Automatic sequential operation
ఆటోమేటిక్ స్టాప్,Automatic stop
ఆటోమేటిక్ వేరియబుల్,Automatic variable
ఆటోమేటిక్ వాల్యూమ్ గుర్తింపు,Automatic volume recognition
ఆటోమేటిక్ వాల్యూమ్ స్విచింగ్,Automatic volume switching
ఆటోమేషన్,Automation
ఆటోమేషన్ కాన్సెప్ట్,Automation concept
ఆటోమాటిజేషన్,Automatisation
ఆటోమాటన్,Automaton
ఆటోమేటిక్ మెసేజ్ రౌటింగ్,Automatic message routing
ఆటోమోనిటర్,Automoniter
ఆటోమోనిటర్ రొటీన్,Automoniter routine
అటానమస్ ఛానల్ ఆపరేషన్,Autonomous channel operation
అటానమస్ వర్కింగ్,Autonomous working
ఆటోప్లోటర్,Autoplotter
సహాయక కన్సోల్,Auxiliary console
సహాయక పరికరాలు,Auxiliary equipment
సహాయక జ్ఞాపకశక్తి,Auxiliary memory
సహాయక ఆపరేషన్,Auxiliary operation
సహాయక దినచర్య,Auxiliary routine
సహాయక నిల్వ,Auxiliary storage
సహాయక దుకాణం,Auxiliary store
లభ్యత,Availability
అందుబాటులో ఉన్న యంత్ర సమయం,Available machine time
అందుబాటులో ఉన్న పాయింట్,Available point
అందుబాటులో ఉన్న స్థల జాబితా,Available space list
అందుబాటులో ఉన్న సమయం,Available time
అందుబాటులో ఉన్న ప్రాప్యత సమయం,Available access time
సగటు షరతులతో కూడిన సమాచారం,Average conditional information
సగటు అంచు సమయం,Average edge time
సగటు సమాచార కంటెంట్,Average information content
సగటు సమాచార రేటు,Average information rate
సగటు ట్రాన్స్ఫార్మేషన్ కంటెంట్,Average transinformation content
సగటు ట్రాన్స్‌ఫార్మేషన్ రేటు,Average transinformation rate
నేపథ్య ప్రదర్శన చిత్రం (= స్టాటిక్ డిస్ప్లే  చిత్రం),Background display image (= static display  Image)
నేపథ్య (= నేపథ్య ప్రాసెసింగ్),Backgrounding (= background processing)
నేపథ్య ఉద్యోగం,Background job
వెనుకవైపు శబ్ధం,Background noise
నేపథ్య ముద్రణ,Background printing
నేపథ్య ప్రాసెసింగ్,Background processing
నేపథ్య కార్యక్రమం,Background program
నేపథ్య రీడర్,Background reader
నేపథ్య ప్రాంతం,Background region
