Hindi,English
अभिलेखागार; पुरालेख,Archives
अंकगणितीय कोडन,Arithmetic coding
आर्मेचर,Armature
"आर्मेचर कुंडलन, आर्मेचर कुंडली",Armature winding
"व्यूह, सरणी",Array
"प्रग्राही, निरोधक",Arrester
सुस्पष्ट उच्चारण,Articulation
शिल्पतथ्य; छविदोष,Artifact (=artefact)
आरोहण,Ascending
अभिमुखता अनुपात,Aspect ratio
समायोजक,Assembler
निष्चयन,Assertion
"समनुदेशन, नियत कार्य",Assignment
नियतन चैनल,Assignment channel
असममित,Asymmetrical
अतुल्यकालिक,Asynchronous
वायुमंडल,Atmosphere
वायुमंडलीय हानि,Atmospheric loss
वायुमंडलीय रव,Atmospheric noise
वायुमंडलीय दाब,Atmospheric pressure
वायुमंडलीय संचरण,Atmospheric propagation
वायुमंडलीय रेडियो तरंग,Atmospheric radio-wave
वायु-वैद्युत् क्षोभ,Atmospherics
परमाणु,Atom
परमाणु संरचना,Atomic structure
संलग्नक,Attachment
क्षीणन,Attenuation
क्षीणन हानि,Attenuation loss
ध्वनि तरंग क्षीणन,Attenuation of sound waves
क्षीणकारी,Attenuator
क्षीणकारी पैड,Attenuator-pad
श्रव्यता देहली,Audibility threshold
श्रव्य,Audible
श्रव्य आवृत्ति,Audible frequency
श्रव्य स्वरक,Audible tone
श्रव्य स्पेक्ट्रम,Audible-spectrum
"श्रोतागण, दर्शकगण, श्रोता समुदाय",Audience
"श्रव्य, ऑडियो",Audio
श्रव्य प्रवर्धक,Audio amplifier
श्रव्य विष्लेषक,Audio analyzer
श्रव्य प्रसारण,Audio broadcasting
"श्रव्य केबल, ऑडियो केबल",Audio cable
श्रव्य  शृंखला,Audio chain
"श्रव्य कोडेक, श्रव्य कोडक-विकोडक",Audio codec
श्रव्य संपीडन,Audio compression
श्रव्य संपीडक,Audio compressor
श्रव्य कंसोल,Audio console
श्रव्य विरूपण,Audio distortion
"श्रव्य गतिक सीमा, श्रव्य गतिक परास",Audio dynamic range
श्रव्य संचिका आरूप,Audio file format
श्रव्य फ्रेम आरूप,Audio frame format
श्रव्य आवृत्ति प्रवर्धक,Audio frequency amplifier
श्रव्य आवृत्ति जनित्र,Audio frequency generator
श्रव्य आवृत्ति परास,Audio frequency range
श्रव्य आवृत्ति अनुक्रिया,Audio frequency response
श्रव्य सीमक,Audio limiter
श्रव्य लाइन,Audio line
श्रव्य मिश्रक,Audio mixer
श्रव्य मॉडुलन,Audio modulation
"श्रव्य दोलक, श्रव्य दोलित्र",Audio oscillator
श्रव्य निर्गत,Audio output
श्रव्य षक्ति,Audio power
श्रव्य गुणवत्ता,Audio quality
"श्रव्य संकेत, ध्वनि संकेत, ध्वनि सिगनल",Audio signal
श्रव्य संकेत प्रक्रमण,Audio signal processing
"श्रव्य स्पेक्ट्रम, ध्वनि स्पेक्ट्रम",Audio spectrum
श्रव्य भंडारण,Audio storage
श्रव्य (आवृत्ति) उपवाहक,Audio sub-carrier
श्रव्य रूपांतरक,Audio transformer
श्रव्य प्रेषित्र,Audio transmitter
–श्य/श्रव्य संपीडन,Audio/video compression
श्रव्य आवृत्ति दोलक,Audio-frequency oscillator
"श्रव्य आवृत्ति संकेत, श्रव्य आवृत्ति सिगनल",Audio-frequency signal
श्रव्यमिति,Audiometry
–ष्य-श्रव्य साधन,Audio-visual aid
श्रवण बोध,Auditory perception
"अधिप्रमाणन, प्रमाणीकरण",Authentication
"प्राधिकृत वाहक आवृति, अधिकृत वाहक आवृत्ति",Authorised carrier frequency
"ऑटो कैड, ऑटो CAD",Auto CAD
स्वतः नैदानिकी,Auto diagnostics
"स्वचल, स्वचालित, स्वतः, स्व",Automatic
स्वतः नियंत्रण,Automatic control
स्वतः संसूचन,Automatic detection
स्वचालित उपस्कर,Automatic equipment
स्वतःआवृत्ति नियंत्रण,Automatic frequency control
स्वचालित सीमक,Automatic limiter
स्वचालित मशीन,Automatic machine
स्वतः कला नियंत्रण,Automatic phasae control
स्वतः चित्र प्रेषण,Automatic picture transmission
" स्व प्रतिश्रवण ,स्व प्रति–श्यण",Automatic playback
स्वतः षक्ति नियंत्रण,Automatic power control
"स्वतःप्रोग्रामन, स्वतः क्रमादेशन",Automatic programming
स्वतः अभिलेखन,Automatic recording
स्वतः पुनः स्थापन,Automatic reset
स्वचालित कपाट,Automatic shutter
स्वचल तंत्र,Automatic system
स्वचालित टेलीफोन,Automatic telephone
स्वतः ताप-नियंत्रण,Automatic temperature control
स्वतः वोल्टता नियामक,Automatic voltage regulator
स्वतः प्रबलता संपीडक,Automatic volume compressor
स्वतः प्रबलता नियंत्रक,Automatic volume control
स्वतः प्रबलता विस्तारक,Automatic volume expander
स्वचालन,Automation
"स्वचालन नियंत्रण, स्वतः नियंत्रण, स्वनियंत्रण",Automation control
स्वतः आवृत्ति नियंत्रक,Automation frequency controller
सहायक,Auxiliary
सहायक श्रव्य बस,Auxiliary audio bus
उपलब्ध षक्ति,Available power
"ऐवेलांशी भंग, अवधाव भंग",Avalanche breakdown
"औसत आयु, औसत जीवन",Average life
औसत दाब,Average pressure
औसत चाल,Average speed
प्रचक्रण-अक्ष,Axis of spin
दिगंश,Azimuth
दिगंश कोण,Azimuth angle
दिगंश त्रुटि,Azimuth error
"पृष्ठ प्रकाश, पश्च प्रकाश",Back light
पश्च प्रक्षेपण,Back projection
विरोधी वोल्टता,Back voltage (=reverse voltage)
विपरीत आर्क,Backfire (arc back)
पृष्ठभूमि प्रकाश,Background light
पृष्ठभूमि रव,Background noise
पृष्ठभूमि प्रक्षेपण,Background projection
"बैक-अप, पूर्तिकर, प्रतिपोषक",Backup
"गतिरोधक, व्यारोध, बाधिका",Baffle
भर्जन,Baking
संतुलित श्रव्य,Balanced audio
संतुलित श्रव्य लाइन,Balanced audio line
संतुलित संचरण लाइन,Balanced transmission line
संतुलन,Balancing
स्थिरक,Ballast
स्थिरण कारक,Ballast factor
बलून,Balun
"बैंड, पट्टी",Band
"बैंड पारक फिल्टर, बैंड पारक निस्यंदक",Band pass filter
बैंड वरक,Band selector
बैंड विपाटन,Band splitting
"बैंड वर्जक फिल्टर, बैंड वर्जक निस्यंदक",Band stop filter
बैंड स्विच,Band switch
"पट्टी समस्वरण, बैंड ट्यूनिंग",Band tuning
"बैंड विस्तार, बैंडविड्थ, बैंड चौड़ाई",Bandwidth
"बार, दंड",Bar
बार कोड,Bar code
"बार डाटा, बार आंकड़ा",Bar data
खुली पट्टी,Bare band
अनावृत लैम्प,Bare lamp
बार्न द्वार,Barn door
आधार बैंड,Base band
आधार बैंड संकेत,Base band signal
आधार बैंड तंत्र,Base band system
आधार विचरक,Base browser
आधार संग्राही संधि,Base collector junction
आधार विद्युत्रोधी,Base insulator
"मन्द्रस्वर, बास",Bass
मन्द्रस्वर क्षतिपूर्ति,Bass compensation
मन्द्रस्वर लाउडस्पीकर,Bass loudspeaker (woofer)
समूह क्रमवीक्षण,Batch scanning
बैटरी आवेशन,Battery charging
किरण पुंज,Beam
विस्पंद,Beat
विस्पंद आवृत्ति दोलित्र,Beat frequency oscillator
बेल,Bel
"अभिनति, बायस",Bias
"बायस परिपथ, अभिनति परिपथ",Bias circuit
"अभिनति आवृत्ति, बायस-आवृत्ति",Bias frequency
बायस वोल्टता,Bias voltage
"अग्रबायसित, अग्राभिनत",Biased in the forward direction
उभयमुखी माइक्रोफोन,Bi-directional microphone
"बिलबोर्ड,  विज्ञापन फलक",Billboard
बिलबोर्ड अनुप्रयोग,Billboard application
द्विधात्विक अवयव,Bi-metallic element
द्विआधारी,Binary
द्विआधारी कोडित दशमलव,Binary coded decimal
द्विआधारी अंक (बिट),Binary digit (bit)
द्विआधारी संख्या,Binary number
द्विकणब श्रवण,Binaural hearing
"द्विनेत्री, बाइनॉक्युलर",Binocular
"जैवमितीय, जैवमितिक",Biometric
द्विधुवी ट्रांजिस्टर,Bipolar transistor
बिट नियतन,Bit allocation
बिट दर,Bit rate
श्वेत-श्याम टेलीविजन,Black & white TV
"रिक्त, शून्य, विलोप",Blank
विलोपन अंतराल,Blanking interval
विलोपन स्तर,Blanking level
स्रावी प्रतिरोध,Bleeder resistance
ध्वनिरूद्ध कैमरा,Blimped camera
"अंधक चौंध, चकाचौंध",Blinding glare
टिमटिमाना,Blink
टिमटिमाना,Blinking
ब्लॉक कोड,Block code
ब्लॉक आरेख,Block diagram
ब्लॉक अंतरापत्र,Block interleave
अवरोधक संधारित्र,Blocking capacitor
अवरोधक दोलित्र,Blocking oscillator
प्रफुल्लन,Bloom
ब्लो लैम्प,Blow lamp
फूंकनी,Blow pipe
"धौंकनी, ब्लोअर",Blower
ब्लूटूथ,Bluetooth
कायिक धारिता,Body capacitance
"बुक मार्क, पृष्ठ स्मृति",Bookmark
बूलीय बीजगणित,Boolean algebra
"बूम, तीव्रवृद्धि",Boom
"बढ़ाना; वर्धन, उछाल",Boost
वर्धक,Booster
वर्धक प्रकाश,Booster light
वर्धन,Boosting
बूटकरण,Booting
बूटस्ट्रैप,Bootstrap
तलीय प्रकाश,Bottom light
"उच्छलन प्रकाश, प्रस्कन्द प्रकाश",Bounce light
"भंग, भंजन",Break down
भंजन वोल्टता,Break down voltage
सेतु अवयव,Bridge element
सेतुबद्ध दिष्टकारी,Bridge rectifier
सेतुबद्ध ‘T’ क्षीणकारी,Bridged ‘T’ attenuator
सेतुबद्ध संरचना,Bridged structure
सेतुबंधन,Bridging
सेतुबंधन प्रवर्धक,Bridging amplifier
सेतुबंधन हानि,Bridging loss
"द्युति, दीप्ति",Brightness
"द्युति नियंत्रण, दीप्ति नियंत्रण",Brightness control
भंगुर,Brittle
भंगुर पदार्थ,Brittle substance
विस्तृत बैंड,Broadband
विस्तृत बैंड प्रवर्धक,Broadband amplifier
"विस्तृत बैंड आई एस डी एन, विस्तृत बैंड ISDN",Broadband ISDN
विस्तृत बैंड तंत्र,Broadband system
प्रसारण एवं संचार प्रौद्योगिकी,Broadcast and communication technology
प्रसारण व्याप्ति,Broadcast coverage
प्रसारण अभिग्राही,Broadcast receiver
प्रसारण सेवा योजना,Broadcast service planning
प्रसारण प्रेषित्र,Broadcast transmitter
प्रसारणकर्ता,Broadcaster
प्रसारण,Broadcasting
प्रसारण केंद्र,Broadcasting station
खंडित,Broken
"विचरक, ब्राउजर",Browser
विचरण,Browsing
"बुदबुद , बुलबुला",Bubble
बफर,Buffer
बफर प्रवर्धक,Buffer amplifier
बफर नलिका,Buffer tube
"दोष, बग",Bug
अंतर्निर्मित ऐन्टेना,Built-in antenna
"बर्नर, ज्वालक",Burner
ज्वलन,Burning
प्रस्फोट त्रुटि,Burst error
प्रस्फोट निवेशन स्पंद,Burst insertion pulse
प्रस्फोट प्रावस्था,Burst phase
बस,Bus
"व्यापार बोध, व्यापार बुद्धि",Business intelligence
बज़र,Buzzer
उपमार्ग,By pass
"उपमार्गन, उपपथन, उपनिकासन",By passing
उपमार्ग संधारित्र,Bypass condenser
उभयनिष्ठ,C
C+प्रोग्रामन भाषा,C+programming language
"कैबिनेट, पेटिका",Cabinet
केबल,Cable
"केबल यौगिक, केबल कम्पाउंड",Cable compound
"केबल तुल्यकरण, केबल समकरण",Cable equalization
"केबल हानि, केबल दास",Cable loss
"कैश, द्रुतिका",Cache
द्रुतीकरण,Caching
कैडमियम सेल,Cadmium cell
परिकलन-यंत्र,Calculating machine
परिकलन,Calculation
परिकलित्र,Calculator
"अंशशोधन, अंशांकन",Calibrate
कैलिपर्स,Calipers
"ऊष्मामापी, कैलोरीमीटर",Calorimeter
कैमकॉर्डर (कैमरा+ रिकार्डर),Camcorder
कैमरा,Camera
कैमरा संरेखण,Camera alignment
कैमरा द्वारक,Camera aperture
कैमरा –श्यक्षेत्र,Camera coverage
कैमरा परिसमंजन,Camera line-up
कैमरा नलिका,Camera tube
"चांदनी, छतरी, वितान",Canopy
"योग्यता, सामर्थ्य, क्षमता",Capability
धारिता,Capacitance
धारिता लोड,Capacitive load
धारिता प्रतिघात,Capacitive reactance
संधारित्र,Capacitor
संधारित्र निवेश फिल्टर,Capacitor input filter
"क्षमता, धारिता",Capacity
"संपुटिका, कैप्सूल",Capsule
"शीर्षक, अनुशीर्षक",Caption
अधिग्रहण प्रभाव,Capture effect
कार्ड,Card
"हृदयाभ, हृदयाकार",Cardioid
हृदयाभ माइक्रोफोन,Cardioid microphone
वाहक,Carrier
वाहक आवृत्ति,Carrier frequency
वाहक आवृत्ति विस्थापन,Carrier frequency shift
वाहक षक्ति,Carrier power
वाहक संवेद संकेत,Carrier sense signal
वाहक संवेदनशीलता,Carrier sensitivity
"वाहक पृथकन, वाहक पृथक्करण",Carrier separation
वाहक विस्थापन,Carrier shift
वाहक अंतराल,Carrier spacing
वाहक निरोध,Carrier suppression
वाहक तरंग,Carrier wave
काट्रिज,Cartridge
"उत्कीर्णन, नक्काशी",Carving
"सोपानी पात, सोपानी",Cascade
सोपानी परिपथ,Cascaded circuit
कैसेट,Cassette
ढलवां लोहा,Cast iron
ढालना; संचकन,Casting
सूचीपत्र,Catalogue
"प्रलयकारी व्यतिकरण, प्रलयकारी बाधा",Catastrophic interference
कैथोड,Cathode
कैथोड अनुगामी,Cathode follower
कैथोड प्रतिरोधक,Cathode resistor
सेलफोन,Cellphone
सैलुलर,Cellular
केंद्रीय नियंत्रण,Central control
केंद्रीय आवृत्ति,Central frequency
"केंद्रीय प्रक्रिया इकाई, केंद्रीय प्रक्रमण एकक",Central processing unit
केंद्रीकृत डाटाबेस,Centralised database
केंद्रीकृत तंत्र,Centralised system
"सिरेमिक, मृद्भांड",Ceramic
कक्ष,Chamber
परिवर्तक स्विच,Changeover switch
"प्रणाल, चैनल",Channel
चैनल कोडक,Channel encoder
"चैनल पृथकन, चैनल पृथक्करण",Channel separation
चैनल अंतराल,Channel spacing
चैनल स्विचन,Channel switching
अभिलाक्षणिक प्रतिबाधा,Characteristic impedance
"लक्षण, विशेषता, अभिलक्षण",Characteristics
आवेश वाहक,Charge carrier
आवेश घनत्व,Charge density
आवेशित,Charged
"चार्जक, आवेशक",Charger
"चार्जकारी वोल्टता, आवेशन वोल्टता",Charging voltage
"संचित्र, चार्ट",Chart
चैसिस,Chasis
"चैट, उन्मुक्त वार्ता, गपशप",Chat
चिप,Chip
चोक-कुंडली,Choke coil
चोक निवेश,Choke input
संकर्तक प्रवर्धक,Chopper amplifier
वर्ण,Chroma
वर्ण प्रतिचयन संरचना,Chroma sampling structure
"क्रोमिनेंस, वर्णकत्व",Chrominance
"चल-चित्रकी, चलचित्र विज्ञान",Cinematography
परिपथ,Circuit
परिपथ पट्ट,Circuit board
परिपथ विच्छेदक,Circuit breaker
परिपथ अवयव,Circuit element
परिपथ स्विचन,Circuit switching
परिपथिकी,Circuitry
"वर्तुल गति, वृत्तीय गति",Circular motion
वृत्तीय धुवण,Circular polarization
वृत्तीय उपग्रह कक्षा,Circular satellite orbit
वृत्तीय वेग,Circular velocity
वृत्तीयतः धुवित ऐन्टेना,Circularly polarised antenna
वृत्तीयतः धुवित संचरण,Circularly polarised transmission
परिसंचारक,Circulator
आवरण,Cladding
"शिकंजा, क्लैम्प",Clamp
"बंधन-परिपथ, क्लैम्पन परिपथ",Clamping circuit
"ए वर्ग प्रचालन, A वर्ग प्रचालन",Class A operation
"सी वर्ग समस्वरित प्रवर्धक, C वर्ग समस्वरित प्रचालन",Class C tuned amplifier
उत्सर्जन वर्ग,Class of emission
चिरसम्मत भौतिकी,Classical physics
वगबकरण,Classification
शोधन मार्जक,Cleaning agent
"अपमार्जित, अपमार्जन",Clear
अपमार्जित चैनल,Clear channel
क्लिक,Click
"ग्राहक, क्लाइंट",Client
"ग्राहक संबंध, (सर्वर संबंध)",Client relationship  (server relationship)
क्लिफ प्रभाव,Cliff effect
क्लिप बोर्ड,Clip board
"कर्तन, क्लिपिंग",Clipping
"घड़ी स्पंद, कालद स्पंद, क्लॉक पल्स",Clock pulse
काल फ्लिप-फ्लॉप,Clocked flip flop
कालदमुखी माइक,Clockfaced mike
कालद-आवृत्ति,Clock-frequency
दक्षिणावर्त,Clockwise
संवृत परिपथ,Closed circuit
"संवृत पाश, संवृत लूप",Closed loop
"गुच्छ, क्लस्टर",Cluster
गुच्छन,Clustering
कोलाहल,Clutter
"कोलाहल हानि, कोलाहल क्षति",Clutter loss
"आलेप, विलेपन",Coating
समाक्ष केबल,Coaxial cable
समाक्ष लाइन,Coaxial line
समाक्ष संचरण लाइन,Coaxial transmission line
सह-चैनल,Co-channel
"सह-चैनल व्यतिकरण, सह-चैनल बाधा",Co-channel interference
कर्णावर्त,Cochlea
"कोड, कूट",Code
कूट संख्या,Code number
कोड दर,Code rate
"कोड शब्द, कूट शब्द",Code word
कोडक (कोडन-विकोडन),Codec (coding decoding)
कोडित श्रव्य,Coded audio
"कोडक, कूटक",Coder
"कोडन, कूटन",Coding
कोडन-विकोडन तकनीक,Coding decoding technique
"कोडन त्रुटि, कूटन त्रुटि",Coding error
कोडन दर,Coding rate
"कोडन तकनीक, कूटन तकनीक",Coding technique
गुणांक,Coefficient
निग्राहिता,Coercivity
संसक्त मॉडुलन,Coherent modulation
कुंडली,Coil
सहयोग,Collaboration
निपात,Collapse
"संग्राहक, संग्राही, कलेक्टर",Collector
"संग्राहक धारा, कलेक्टर धारा",Collector current
संग्राही-आधार चालकत्व,Collector to base conductance
