English,Hindi
Acoustics,"ध्वानिकी, ध्वनि-विज्ञान"
Action gyrator,सक्रिय परिभ्रमित्र
Action network,सक्रिय जाल
Action network element,सक्रिय जाल अवयव
Activated aeration,उत्प्रेरित वातन
Activated,उत्प्रेरित
Activated,2. सक्रियित
Activator,"संचालक, सक्रियकारक"
Active force,सक्रिय बल
Active inductor simulation,सक्रिय प्रेरक अनुकरण
Active network analysis,सक्रिय जाल विश्लेषण
Activity transducer,सक्रिय ट्रांसड्यूसर
Actual indicator diagram,वास्तविक सूचक-आरेख
Adaptation,अनुकूलन
Adapter,"ऐडेप्टर, अनुकूलक"
"Adapter, on-line",लाइनयुक्त अनुकूलक
Addendum circle,"ऐडेन्डम वृत, युक्तक वृत"
Adhesion coefficient,आसंजन गुणांक
Adiabatic,"रूद्धोष्म, ऐडियाबैटिक"
Adiabatic compression,रूद्धोष्म संपीडन
Adiabatic cooling,रूद्धोष्म शीतन
Adiabatic curve,रूद्धोष्म वक्र
Adiabatic efficiency,रूद्धोष्म दक्षता
Adiabatic energy dissipation,रूद्धोष्म ऊर्जा क्षय
Adiabatic equation,रूद्धोष्म समीकरण
Adiabatic expansion,रूद्धोष्म प्रसार
Adiabatic factor,रूद्धोष्म गुणक
Adiabatic flow,रूद्धोष्म प्रवाह
Adiabatic heatdrop,रूद्धोष्म ऊष्मापात
Adiabatic reaction,रूद्धोष्म अभिक्रिया
Adiabatic saturation,रूद्धोष्म संतृप्ति
Adiabatic temperature,रूद्धोष्म तापमान
Adjustable angle plate,समायोज्य कोण पट्टी
Adjustable collar,समायोज्य कॉलर
Adjustable swivel bearing,समायोज्य भ्रामी बेयरिंग
Adjustable swivel trestle,"समायोज्य, भ्रामी मंचिका"
Adjustment,"समायोजन, समाधान"
Adjustment of machine,"यंत्र समायोजन, मशीन समायोजन"
Admiralty metal,एडमिरेल्टी धातु
Adptability,अनुकूलनशीलता
Adsorption,अधिशोषण
Advance,अग्रता
Advanced ignition,अग्रित प्रज्वलन/अग्रकृत प्रज्वलन
Adze,वसूला
Aeration,"वायुमिश्रण, वातन, वायु संचारण"
Aerator,वातक
"Aerator, nozzle","नॉजल-वातक, तुंड-वातक"
Aerial,एरियल
Aerodynamic,वायुगतिक
Aerodynamic efficiency,वायुगतिक दक्षता
Aerodynamic heating,वायुगतिक तापन
Aerodynamically smooth,वायुगतिक चिक्कण
Aeroengine,विमान इंजन
Aerofoil,"वायुपत्रक, एरोफॉयल"
Aerofoil blading,वायुपत्रक ब्लेडिंग
Aerofoil profile,वायुपत्रक परिच्छेदिका
Aeromechanics,"वायुयांत्रिकी, विमान यांत्रिकी"
Aeronautic engine,विमान इंजन
Aeronautical engineering,"वैमानिक इंजीनियरी, वैमानिक अभियांत्रिकी"
Aeroplane,वायुयान
Aerostatics,वायुस्थैतिकी
Affinity,बंधुता
After burning,पश्च-ज्वलन
After condenser,पश्च-संघनित्र
After cooler,"अनुशीतक, पश्च-शीतक"
Agate,"ऐगेट, अकीक, गोमेद"
Age hardening,काल कठोरन
Agitator,विलोडक
Air atomizing oil burner,वायुकणित तैल ज्वालक
Air atomizing,"वायव कणन, वायव कणीकरण"
Air bleed,वायु निस्रवन
Air borne,वायु वाहित
Air brake cylinder,वायु आरोध सिलिंडर
Air brake,वायु ब्रेक/वायु आरोध/वायु चालित आरोध
Air camera/aerial camera,हवाई कैमरा
Air cargo,विमान लदाव
Air chamber,वायु कक्ष
Air circuit braker,वायु परिपथ-वियोजक
Air compressor,वायु संपीडक/वायु संपीडित्र
Air Conditioning,वातानुकूलन
Air Conditioning plant,वातानुकूलन संयंत्र
Air cooled rectifier,वायु शीतित दिष्टकारी
Air cooled shunt,वायु शीतित पार्श्वपथ
Air cooled,वायु शीतित
Air core coil,वायु-क्रोड-कुंडली
Air cushion,वायु उपधान
Air cycle,वायु चक्र
Air dielectric capacitor,वायु डाइलेक्ट्रिक संधारित्र
Air ejecter,वायु-निष्कासक
Air fuel ratio,वायु-ईंधन अनुपात
Air gauge,वायु प्रमापी
Air hammer,वायु चालित हथौड़ा
Air hardening,वायु कठोरन
Air hoist,वायु चालित उच्चालक
Air hydraulic brake,वायु द्रवचालित आरोध
Air inlet,वायु अंतर्गम
Air jet burner,वायु जेट ज्वालक
Air lift pump,वातोत्प्रेरित पम्प
Air lock,वायु पाश
Air pocket,वायु कोटरिका
Air pollution control,वायु-प्रदूषण नियंत्रण
Air pre-cooler,वायु पूर्वशीतक
Air pre-heater,वायु पूर्वतापक
Air press,वायुचालित दाबित्र
Air pressure,वायुदाब
Air refrigeration,वायु प्रशीतन
Air relief valve,वायु विमोचन-कपाट
Air resistance,वायु प्रतिरोध
Air scavenging,वायु अपमार्जन
Air seal,"वायु सील, वायु रुद्धक"
Air seasoning,वायु संशोषण
Air-foil section,वायु पत्रक-परिच्छेद
Air standard efficiency,वायु-मानक दक्षता
Air strip,हवाई पट्टी
Air tight,वायुरुद्ध
Air tight chamber,वायुरुद्ध कक्ष
Air traffic control,विमान यातायात नियंत्रण
Air valve,"वायु कपाट, वायु वाल्व"
Air vent,वायु-निर्गम
Aircraft,विमान/वायुयान
Aircraft landing system,वायुयान अवतरण तंत्र
Airless,"अवात, अवात्या, वायुहीन"
Airship engine,वायुपोत इंजन
Airworthy aircraft,उड़ने योग्य वायुयान
Alarm,भय संकेत/चेतावनी
Alarm,2. भय संकेतक
Alarm circuit,भय-संकेतक परिपथ
Alburnum,"रसदारु, एलबर्नम"
Align,संरेखण करना
Alignability factor,सुयोजता गुणक
Alignment,सुयोजन
Alignment,2. एक रेखण/संरेखण
All gear drive,पूर्ण गियर चालन
Allowance,छूट
"Allowance, negative",ऋणात्मक छूट
"Allowance, positive",धनात्मक छूट
Alloy,"मिश्रधातु, ऐलॉय"
Alloy metal,ऐलॉय धातु
Alloy steel,ऐलॉय इस्पात
Alloying element,मिश्रधात्विक तत्व
Alpha ferrite,ऐल्फा फेराइट
Alternating stress,प्रत्यावर्ती प्रतिबल
Alternating,प्रत्यावर्तन
Alumina,एलुमिना
Aluminium,एलुमिनियम
Aluminium metalization,एलुमिनियम धात्वीकरण
Ambient air,परिवेशी वायु
Ambient temperature,परिवेश तापमान
Ammonia absorption refrigeration,अमोनिया अवशोषण प्रशीतन
Ammonia compressor,अमोनिया संपीडित्र
Ammonia printing,अमोनिया प्रतिलिपिकरण
Amorphous,"रवाहीन, अक्रिस्टलीय"
Amplifier,प्रवर्धक/एम्प्लीफायर
Amplitude,आयाम
Amplitude,2. कोणांक
Amplitude comparator,आयाम तुलनित्र
Amplitude density,आयाम घनत्व
Amplitude density spectrum,आयाम-घनत्व स्पेक्ट्रम
Amplitude distortion,आयाम विकृति
Analog,"अनुरूप, तुल्यरूप, सादृश्य"
Analog comparator,अनुरूप तुलनित्र
Analog digital convertor,अनुरूप अंकीय परिवर्तित्र
Analog simulation,तुल्यरूप अनुकार
Analog transducer,तुल्यरूप ट्रांसड्यूसर
Analogous,"सदृश, अनुरूप, तुल्यरूप"
Analyser,विश्लेषक
Anchor,लंगर/स्थिरक
Anchor block,स्थिरक खंडक
Anchor gate,स्थिरक फाटक/लंगर फाटक
Anchor pole,स्थिरक खंभा
Anchorage,लंगरगाह
Anchorage,2. स्थिरक
Anchorage,3. स्थिरण
Anchoring,स्थिरण
Anelasticity,अप्रत्यास्थता
Anergic system,रूदधकार्य तंत्र
Angle brace,कोण-बंधन
Angle bracket,कोण ब्रेकेट
Angle jig,कोण जिग
Angle joint (corner joint),"कोना जोड़, कोण जोड़"
Angle of advance,अग्रता-कोण
Angle of lag,पश्चता-कोण
Angle of lap,चढ़ाव-कोण
Angle of lead,अग्रता-कोण
Angle of obliquity,तिर्यकता-कोण
Angle of overlap,अतिव्यापन-कोण
Angle of polarisation,ध्रुवण-कोण
Angle of relief,विश्राम-कोण
Angle of repose,विश्राम-कोण
Angle of rotation,घूर्णन-कोण
Angle of twist,"ऐंठन-कोण, व्यावर्तन-कोण"
"Angle, camber","कैम्बर, कोण"
Angular acceleration,कोणीय त्वरण
Angular advance,कोणीय अग्रता
Angular contact bearing,कोणीय संस्पर्श बेयरिंग
Angular deflection,कोणीय विक्षेप
Angular deviation,कोणीय विचलन
Angular displacement,कोणीय विस्थापन
Angular momentum,कोणीय संवेग
Angular movement,कोणीय गति
Angular pitch,कोणीय अंतराल
Angular velocity,कोणीय वेग
Anharmonicity co-efficient,अहार्मोनिकता गुणांक
Anhydrous,निर्जल
Annealed,"अनीलित, तापानुशीतित"
Annealed copper,"अनीलित ताम्र, तापानुशीतित ताम्र"
Annealed temper,तापानुशीतित पायन
Annealing,"तापानुशीतन, अनीलन"
Annealing cycle,अनीलन चक्र
Annealing temperature,अनीलन तापमान
Annular,"वलयाकार, छल्लेदार"
Annular chamber,वलयाकार कक्ष
Annular gear,ऑतरिक गियर
Annular ring,वलयाकार पहिया
Antagonostic screw,उत्क्रमी पेंच
Antechamber,प्राकक्ष
Antefreeze,प्रतिहिमन
Anthracite,ऐन्थ्रासाइट
Anti resonance,प्रति-अनुनाद
Anti-fatigue device,श्रान्ति रोधी साधन
Antifreeze solution,प्रतिहिमन विलयन
Antifriction bearing,घर्षणरोधी बेयरिंग
Antifriction metal,घर्षणरोधी धातु
Antiknock fuel,अपस्फोटरोधी ईंधन
Antileak,क्षरणरोधी
Antileak antifreezeing,क्षरणरोधी प्रतिहिमन
Antilocking device,प्रतिपाशन साधन
Antimony,एंटिमनी
Antipriming pipe,जल पृथ्ककारी नली
Antipulsating tank,स्पंदरोधी टंकी
Antisymmetric,प्रतिसममित
Antivibration device,कंपनरोधी साधन
Antiwaterlogging measure,जलानुवर्धनरोधी उपाय
Antiwelding function,प्रतिवेल्डन प्रकार्य
Anvil,निहाई/आधरण/एनविल
Aperiodic damping,अनावर्ती अवमन्दन
Aperiodic motion,अनावर्ती गति
Apex,शीर्ष/शिखर/शिखाग्र/एपेक्स
Apex angle,शीर्ष कोण
Apparent elastic limit,आभासी प्रत्यास्थता सीमा
Apparatus,उपकरण
Apparent eccentricity,आभासी उत्केन्द्रता
Appearance,प्रगटन/प्रतीति/रूप
Appliance,साधन/युक्त/साधित्र
Applied mechanics,अनुप्रयुक्त यांत्रिकी
Applied moment,अनुप्रयुक्त आघूर्ण
Applied therodynamics,अनुप्रयुक्त ऊष्मागतिकी
Apprentice,शिक्षार्थी
Apprenticeship,शिक्षार्थ
Apron,अंचल/एप्रन
Apron conveyor,ऐप्रन वाहित्र
Arbitratry constant,स्वेच्छ स्थिरांक
Arbor,"आर्बर, धुरक"
Arbor flange,"धुरक स्फार, धुरक फ्लेंज"
Arc,चाप
Arc,2. आर्क
Arc brazing,"आर्क ब्रेजन, आर्क टांका"
Arc deflector,आर्क-विक्षेपक
Arc duration,आर्क-अवधि
"Arc, dynamic",गतिक आर्क
Arc of action,क्रिया-चाप
Arc of approach,उपगमन चाप
Arc of contact,संपर्क-चाप
Arc of recess,अपगमन चाप
Arc voltage,आर्क वोल्टता
Arc welding,आर्क वेल्डन
Arc welding transformer,आर्क वेल्डन ट्राँसफार्मर
Arch furnace,मेहराब भट्टी
Archimedean screw,आर्किमिडीय पेंच
Area,क्षेत्र
Area,2. क्षेत्रफल
Argon arc welding,आर्गन आर्क वेल्डन
Argon glow lamp,आर्गन दीप्ति लैम्प
Armouring,कवचन/कवचित करना
Arrangement,विन्यास
Arrow,शर/वाण
Arrow diagram,वाण आरेख/शरारेख
Arsenic,संखिया/आर्सेनिक
Artesian truck,श्लथ संधित ट्रक
Artificial abrasive,कृत्रिम अपघर्षक
Artificial draft,कृत्रिम प्रवात
Artificial hand,कृत्रिम हाथ
Artificial intelligence,कृत्रिम बोध
Artisian flow,उत्स्रुत प्रवाह
Asbestos,ऐस्बेस्टॉस
Asbestos sheet,ऐस्बेस्टॉस चादर
Ash,भस्म/राख
Ash content,राख अंश
Ash fusion temperature,राख संगलन तापमान
Ash gate,राख द्वार
Aspirating burner,वायु चूषक बर्नर/वायु चूषक ज्वालक
Aspiration thermometer,वायु प्रवाही तापमापी
Assemble,समुच्चय करना/समन्वायोजित करना
Assembled,समन्वायोजित
Assembly,समन्वायोजन/समुच्चय
Assembly,2. अन्वायोजन
Assembly drawing,समन्वायोजन आरेख
Assembly fit,समन्वायोजन फिट
Assembly jig,समन्वायोजन जिग
Assisting engine,सहायक ईंजन
Astronaut monitoring,आंतरिक्षिक मॉनीटरन
Atmosphere,एटमॉस्फियर
Atmosphere,2. वायुमंडल
Atmosphere,3. वातावरण
Atmospheric corrosion,वायुमंडलीय संक्षारण
Atmospheric pressure,वायुमंडलीय दाब
Atom,"परमाणु, ऐटम"
Atomic energy,परमाणु ऊर्जा
Atomic explosion,परमाणु विस्फोटन
Atomic heat,परमाणु ऊष्मा
Atomic power locomotive,परमाणु शक्ति लोकोमोटिव
Atomizer jet,कणित्र जेट
Atomizing burner,कणन ज्वालक
Auger,"बरमा, बेधनी"
Auger bit,बरमा अनी
Auger drain,बरमा नाली
Augmentor,संवर्धक
Austempering,ऑस्टपायन
Austenite,ऑस्टेनाइट
Auto cartograph,स्वतः मानचित्र/ऑटो कार्टोग्राफ
Auto car truck chassis,ऑटोकार ट्रक न्याधार
Auto chucking machine,स्वचालित चक मशीन
Autoclave vulcanisiong press,ऑटोक्लेव वल्कनीकरण दाबित्र
Auto code,स्वयंकूट
Auto correlation co-efficient,स्व सहसंबंध गुणांक
Auto correlation function,स्व सहसंबंध फलन
Autodyne,ऑटोडाइन
Auto feeding machine,स्व प्रभरण यंत्र
Auto ignition,स्वतः प्रज्वलन
Auto mata,स्वचेष्ट
Automatic,स्वचल/स्वचालित/स्वतः
Automatic arc welding,स्वचल आर्क-वेल्डन
Automatic brake,स्वाचालित ब्रेक
Automatic brake valve,स्वाचालित निरोध वाल्व
Automatic clutch coupling,स्वाचालित क्लच युग्मन
Automatic control system,स्वाचालित नियंत्रण तंत्र
Automatic device,स्वाचालित उपसाधन
Automatic feeding,स्वतः प्रभरण
Automatic frequency control,स्वतः आवृति नियंत्रक
Automatic governor,स्वतः अधिनियंत्रक
Automatic ignition advance,स्वतः प्रज्वलन अग्रता
Automatic machine,स्वचालित यंत्र
Automatic welding,स्वचालित वेल्डन
Automation,स्वचालन
Automobile,"स्वचल यान, ऑटोमोबाइल"
Automobile brake,ऑटोमोबाइल ब्रेक
Automobile clutch,स्वयंगामी यान ग्राभ
Automotive emission control,स्वचलयान उत्सर्जन नियंत्रण
Autonomous sequential machine,स्वतः अनुक्रमिक यंत्र
Auto reclose circuit breaker,स्वचलपुनर्योजी परिपथ वियोजक
Auto reclosing,स्वचालित पुनर्योजी
Auto transformer,स्वपरिणामित्र/ऑटो ट्रान्सफार्मर
Autoset level,स्वस्थापित तलमापी
Auxiliary,सहायक उपकरण
Auxiliary,2. अतिरिक्त
Auxiliary air,"अतिरिक्त वायु, सहायक वायु"
Auxiliary brake,सहायक आरोध
Auxiliary inclined plane,सहायक आनत तल
Auxiliary line,सहायक रेखा
Auxiliary plane,सहायक समतल
Auxiliary point,सहायक बिंदु
Auxiliary syphon,सहायक साइफन
Auxiliary valve,सहायक वाल्व
Auxiliary vector,सहायक सदिश
Auxiliary winding,सहायक कुंडली
Availability,प्राप्यता
Available head,प्राप्य दाबोच्चता
Available heat,प्राप्य ऊष्मा
Available power,प्राप्य शक्ति
Average angular acceleration,औसत कोणीय त्वरण
Average angular velocity,औसत कोणीय वेग
Average bond stress,औसत जकड़ प्रतिबल
Average cutting speed,औसत कर्तन चाल
Average heat,औसत ऊष्मा
Average inventory level,माध्य स्टॉक स्तर
Average life,औसत आयु
Average speed,औसन चाल/माध्यचाल
Aviation,विमानन
Aviation fuel,विमान इंधन
Avogadro's law,अवोगाद्रो नियम
Avometer,ऐवोमीटर
Awl,"आर, सुतारी, सुआ"
Axe,बसूला
Axial,अक्षीय
Axial alignment,अक्षीय संरेखण
Axial blade spacing,अक्षीय फलक अंतराल
Axial clearance,अक्षीय अवकाश
Axial component,अक्षीय घटक
Axial compressor,अक्षीय संपीडक
Axial discharge,अक्षीय निस्सरण
Axial fan,अक्षीय पंखा
Axial flow,अक्षीय प्रवाह
Axial flow reaction turbine,अक्षीय प्रवाह प्रतिक्रिया टरबाइन
Axial flow turbine,अक्षीय प्रवाह टरबाइन
Axial piston pump,अक्षीय पिस्टन पंप
Axial pitch,"अक्षीय अंतराल, अक्षीय पिच"
Axial plane,अक्षीय समतल
Axial pressure angle,अक्षीय दाब कोण
Axial thrust,अक्षीय प्रणोद
Axial velocity,अक्षीय वेग
Axis,अक्ष
"Axis, central",केन्द्रीय अक्ष
Axis of commutation,दिक्परिवर्तन अक्ष
Axis of friction,घर्षण अक्ष
Axis of spin,चक्रण अक्ष
Axis of twist,ऐंठन अक्ष
Axis strain,अक्ष विकृति
Axle,"धुरी, धुरा"
Axle box,"धुरी पेटी, धुरी बॉक्स"
Axle distance,धुरी अंतर
Axle load,धुरा भार
Axle load ratio,धुरा भार अनुपात
Axle mounted motor,धुरारूढ़ मोटर
Axle shaft,धुरा शैफ्ट
Axle thrust load,धुरा प्रणोद भार
B. A. thread,बी. ए. चूड़ी
B. S. W. thread,बीo एसo डब्लू चूड़ी
Babbit metal,बैबिट धातु
Babbitting,बैबिट स्तरण/बैबिटन
Babcox & Wilcox boiler,बेबकॉक और विलकॉक्स बॉलयर
Back,"पीछा, पीठ, पृष्ठ, पश्च"
Back blowing,प्रतिधमन
Back cover,पश्च ढक्कन
Back draft,प्रतीप प्रवात
Back fire,पराज्वलन
Back fire,2. प्रतिज्वलन
Back flow,प्रतीप प्रवाह
Back gear,"पश्च गरारी, पश्च गियर"
Back node,पश्च निर्नति बिन्दु
Back pitch,पंक्ति अंतराल
Back plate,पश्च पट्टिका
Back pressure,पश्च दाब
Back roller,पृष्ठधारी बेलन
Back stay,बंधक केबिल
Back stroke (return stroke),"प्रतिवर्ती स्ट्रोक, वापसी स्ट्रोक"
Back up weld,पृष्ठ वेल्ड
Back cone,पश्च शंकु
Backing,तलन पट्टी
Backing sand,पृष्ठाधारी बालू
Backlash amplification,पिच्छट प्रवर्धन
Backward welding,प्रतिलोम वेल्डन
Baffle,व्यारोध/बाधिका
Baffle plate,"व्यारोध पट्ट, व्यारोधिका"
Bailing press,"गांठ दाबित्र, गांठ प्रेस"
Bakelite,बैकेलाइट
Baking,पकाना
Balance,"तुला, संतुलन"
Balance control,संतुलन अवस्था
Balance draft,संतुलित प्रवात
Balance sheet,तुलन-पत्र
Balance weight,संतुलन भार
Balance wheel,संतुलन पहिया
Balanced turbine disk,संतुलित टरबाइन चक्रिका
Balancer,संतोलक/संतुलक
Balancing,संतुलन/संतोलन
Balancing,2. समायोजन
Balancing characteristics,संतुलन अभिलक्षण
Balancing machine,संतोलन यंत्र
Balancing moment,संतोलक आघूर्ण
Balancing network,संतुलक जाल
Balancing technique,संतुलन तकनीक/संतुलन प्रविधि
Ball and cup,बॉल और कप
Ball bearing,बॉल बेयरिंग
Ball joint,"गोली संधि, गोली जोड़"
Ball mill,"गेंद चक्की/कंदुक पेषणी, बॉल मिल"
Ballpane hammer,बॉलपेन हथौड़ा
Ball race,गोली धावपथ
Ball race bearing,बॉल रेस बेयरिंग
Ball socket,बॉल और सॉकेट
Baluster,बलयालंब
Band brake,पट्टी ब्रेक/पट्टी आरोध
Band saw,पट्टी आरा
Banki turbine,बैंकी टरबाइन
Banking,बैंकिंग
Bar facing,दंड फलकन
Bar grinding,छड़ अपघर्षण/छड़ घिसाई
Bar stay,छड़ तान
Baro receptor,दाबग्राही
Barometer,वायुदाबमापी/बैरोमीटर
Barometric condenser,बैरोमीटर द्रवणित्र
Barrel,बैरल
Barrel bolt,गोल चटखनी
Barrel roller bearing,बैरल रोलर बेयरिंग
Base circle pitch,आधार वृत्त अन्तराल
Base diffusion,आधार विसरण
Base fitting,आधार अन्वायोजन
Base load,आधार लोड/आधार भार
Base metal,मूल धातु
Base pitch,"मूल अंतराल, मूल पिच"
Base profile,आधार परिच्छेदिका
Base speed,मूल चाल/आधार चाल
Base station,आधार भार केंद्र
Base diameter,मूल व्यास
Basic dimension,मूल विमा
Basic heat exchanger,मूल ऊष्मा विनिमयित्र
Basic hole fit,मूल छिद्र अन्वायोजन
Basic size,मूल नाप
Basic size,2. मूल आमाप
Basic strength,मूल सामर्थ्य
Bastard file,अधम रेती
Bastard size,अधम आमाप
Bastared thread,अधम चूड़ी
Bath,"कुंड, कुंडिका, ऊष्मक"
Batwing chuck,आयतीय चक/बैटविंग चक
Bead welding,मनका वेल्डिंग
Bead,"बीड, मनका, गोट"
Beaded flange,मनकायित फ्लैंज
Bearer,धारक
Bearing block,बेयरिंग ब्लॉक
Bearing bracket,बेयरिंग ब्रैकेट
Bearing casing,बेयरिंग कोश
Bearing elasticity,बेयरिंग प्रत्यास्थता
Bearing friction,बेयरिंग घर्षण
Bearing housing,बेयरिंग वेशन
Bearing lubrication,बेयरिंग स्नेहन
Bearing metal,बेयरिंग धातु
Bearing pad,बेयरिंग पैड
Bearing resistance,धारण-प्रतिरोध
Bed,तल
Bed,2. संस्तर
Bed,3. आधार तला
Bed block,आधार खंडक
Bedding,संस्तरण
Bedding,2. बैठाना
Behive coke,छत्ता भट्टी कोक
Belgian truss,बैल्जियन कैंची
Bell crank lever,बैल क्रैंक लीवर
Bell mouth,घंटामुख
Bellied file,तुंदिल रेती
Bellows,"धौंकनी, भस्त्रिका"
Belt,पट्टा
Belt clamp,"पट्टा शिकंजा, पट्टा क्लैम्प"
Belt conveyor,पट्टा वाहित्र
Belt creep,पट्टा विसर्पण
Belt drive,पट्टा चालन
Belt dirven machine,पट्टा चालित मशीन
Belt dynamometer,पट्टा डायनमोमीटर
Belt grinder,पट्टा अपघर्षित्र
Belt pulley,"पट्टा घिरनी, पट्टा पुली"
"Belt, endless",निरंत पट्टा
Bench,"कारीगर मेज, बेंच"
Bench lathe,बैंच खराद
Bench mark,"निर्देश तलचिह्न, बेंचमार्क"
Benching,पैड़ी बनाना
Bend allowance,मोड़ छूट
Bend allowance formula,मोड़ छूट सूत्र
Bending,बंकन
Bending fixture,बंकन स्थायिक
Bending moment,बंकन आघूर्ण
Bending moment diagram,बंकन आघूर्ण आरेख
"Bending, oblique",तिर्यक बंकन
Bending resistance,बंकन प्रतिरोध
Bending rigidity,बंकन दृढ़ता
Bending stress,बंकन प्रतिबल
Bearing,"दिक्कोण, दिक्मान्"
Bernoullis equation,बरनूली समीकरण
Bessemer converter,बैसेमर परिवर्तित्र
Beval gear,बेवेल-गियर
Bevel,पख
Bevel,2. पख मारना
Bevel butt weld,बेवल टक्कर वेल्ड
Bevel reduction drive,बेवल न्यूनकारी चालन
Bevelling,कोरतलन/प्रवणन
Bevelling machine,बेवलकारी यंत्र
Bias distortion,अभिनति-विरूपण
Biassing,अभिनतिकरण
Bib,टोंटी
Bib cock,मुड़ी टोंटी
Bifuel engine,द्विईंधन इंजन
Bifurcated rivet,द्विशाखित रिवेट
Big-end,बड़ा सिरा (संयोजी दंड)
Big-end bearing,बड़े सिरे की बेयरिंग
Bilinear form,द्विएकघाती समघात
Bilinear function non-dependence,द्विएकघाती फलन अनाश्रय
Bilinear transformation,द्विएकघाती रूपांतरण
Bilinearity,द्विएकघातिता
Billet,बिलेट
Bimetal thermometer,द्विधात्विक तापमापी
Binary vapour cycle,द्विवाष्प चक्र
Binder,बंधक
Binder,2. बंधकी
Bionics,बायोनिकी/जैव इलेक्ट्रॉनिकी/जैविनिकी
Biplane,द्विपक्ष विमान/द्विक् विमान
Bipolar,द्विध्रुवीय
Bistable,द्विस्थितिक
Bistable,2. द्विस्थायी
Bit,अनी
Bituminous coal,"बिटुमनी कोयला, डामरी"
Bituminous felt,"बिटुमनी नमदा, बिदुमनी फेल्ट"
Black bolt,ढला काबला
Blacking,कालिमा
Blacksmith,"लोहार, लोहकार"
Blacksmith bellows,लोहार धौंकनी
Blacksmith hearth,लोहार भट्टी
Blade,फल/फलक/ब्लेड
Blade cascade,"फलक क्रम, ब्लेड क्रम"
Blade pitch,फलक अंतराल
Blade profile,ब्लेड-परिच्छेदिका
Blade speed,ब्लेड चाल
Blade theory,फलक सिद्धांत
Blade tip clearance,फलक अग्र अवकाश
Blade vibration,ब्लेड कंपन
Blading efficiency,फलक-दक्षता
Blank,अलेख
Blank,2. निरंक
Blank,3. रिक्तक
Blank diameter,ब्लैंक-व्यास/रिक्तक व्यास
Blank die,ब्लैंक ठप्पा
Blanketing,आवरण
Blanketing,2. आवृत करना
Blanketing,3. रोधन
Blanking die,ब्लैंक कर्तक डाई
Blanking tool,ब्लैंकन औजार
Blast,"झोंका, वात्या"
Blast furnace,"वात्या भट्टी, झोंका भट्टी"
Blast furnace slag,वात्या-भट्टी-धातुमल
Blast pipe,वात्या नलिका
Blasting,विस्फोटन
Blasting,2. विस्फोटक
