English,Hindi
Adventive neck,अपस्थानिक ग्रीवा
Adventive pore canal,अपस्थानिक रंध्रनाल
Aerage,संवातन
Aeration,"वायु-मिश्रण, वातन"
Aeration zone,वातन क्षेत्र
Aerial,"अकाशी, वायव (वि0),
एरियल (सं0)"
Aerodynamic torque,वायुगतिक बलाघूर्ण
Aerofloat,वायुप्लव
Aeromegnetic surveying,वायुचुंबकीय सर्वेक्षण
Aerosol,ऐरोसॉल
Aerosol particles,ऐरोसॉल कण
Aerosol scattering,ऐरोसॉल प्रकीर्णन
Aerosol spectrum,ऐरोसॉल स्पेक्ट्रम
Aerosphere,"वातमंडल, गैसमंडल"
Affluent,सहायक नदी
After glow,पश्व दीप्ति
Agar liquifying,ऐगार द्रवकारी
Agate mortar,"ऐगेट खरल, अकीक खरल"
Agathistegia,ऐगैथिस्टेगिया
Age,"वय, आयु, उम्र, काल, युग (सं);
काल प्रभावित होना,
काल प्रभावित करना (क्रि)"
Age hardened,काल कठोरित
Age hardening,काल कठोरन
Agent,"कर्मक, कारक"
Agglomerated ice,संपिंडित बर्फ
Agglutinated,समूहीकृत
Agglutination,समूहन
Aggradation (geomorph),"अधिवृद्धि, तलोच्चन"
Aggradational ice,अधिवर्धि बर्फ
Aggradational plain,तलोच्चन मैदान
Aggradational work,तलोच्चन कार्य
Aggradation ridge,तलोच्चन कटक
Aggraded bank,तलोच्च तट
Aggraded flood plain,तलोच्चित बाढ मैदान
Aggraded valley plain,तलोच्चित घाटी मैदान
Aggrading,तलोच्चन
Aggrading neomorphism,अधिवर्धी नवरूपांतरण
Aggrading stream,तलोच्चनी सरिता
Aggregate,पुंज
Agricultural pollution,कृषि प्रदूषण
A-horizon,ए-संस्तर
Aiguille,"एगवेल, शितशिखर"
Airborne,"वातोढ़, वायुवाहित"
Airglow,वायुदीप्ति
Air heave structure,वायुत्थान संरचना
Air saddle,वायु पल्याण
Air shrinkage,वायु संकुचन
Air volcano,गैस ज्वालामुखी
Airy hypothesis,एयरी परिकल्पना
Airy theory,एयरी सिद्दांत
Aitken nuclei,ऐटकेन केन्द्रक
Alar projection,पक्षकी प्रक्षेप
Alchemist,कीमियागर
Alchemy,"ऐल्किमी, कीमिया"
Algae,"शैवाल, काई"
Algal,शैवालीय
Algal ridge,शैवाली कटक
Aliasing,"उपघटन, एलियासिंग"
Alidade,"दर्शरेखक, एलीडेड"
Alignment,संरेखण
Alignment diagram,संरेखण आरेख
Alkalic fumarole,क्षारिक वाष्पमुख
Alkali flat,"क्षारीय क्षेत्र, कल्लर भूमि"
Alkali lake,क्षार झील
Alkaline earth,क्षारीय मृदा
Alkaline magma,क्षारीय  मैग्मा
Alkaline plutonic rock,क्षारीय वितलीय शैल
Alkaline soil,क्षारीय मृदा
Alley stone,ऐली स्टोन
Allogenous stream,अन्यत्रजात धारा
Allometrical development,सापेक्षमितीय परिवर्धन
Alluvial,जलोढ़
Alluvial accretion,जलोढ़ अभिवृद्धि
Alluvial channel,जलोढ़ चैनल
Alluvial cone,जलोढ़ शंकु
Alluvial-dam lake,जलोढ़ रूद्ध-झील
Alluvial deposit,जलोढ़ निक्षेप
Alluvial fill,जलोढ़ भरण
Alluvial filled basin,जलोढ़ पूर्ण बेसिन
Alluvial flat,जलोढ़ समतल
Alluvial meander,जलोढ़ विसर्प
Alluvial plain,जलोढ़ मैदान
Alluvial plain shoreline,जलोढ़ मैदानी तटरेखा
Alluvial river,जलोढ़ नदी
Alluvial scarp,जलोढ़ कगार
Alluvial slope,जलोढ़ ढाल
Alluvial soil,जलोढ़ मृदा
Alluvial talus,जलोढ़ शैलमलवा
Alluvial terrace,जलोढ़ वेदिका
Alluvial tract,जलोढ़ प्रदेश
Alluviation,जलोढ़कन
Alluvion,एलूवियॉन
Alluvium,जलोढ़क
Almagra,ऐल्मैगरा
Alpha-activity,ऐल्फा-सक्रियता
Alpha-layer,ऐल्फा परत
Alpine,अल्पाइन
Alpine foreland,अल्पाइन अग्रभूमि
Alpine glacier,अल्पाइन हिमनद
Alpine orogenesis,अल्पाइन पर्वतन
Alpine orogeny,अल्पाइन पर्वतन
Alpine type glacier,अल्पाइन प्ररूप हिमानी
Altern,प्रति-एकांतरक
Alternate terrace,एकांतर वेदिका
Alternation,एकांतरण
Alternation law,एकांतरण-नियम
Alternation of generations,पीढ़ी एकांतरण
Altimeter,तुंगतामापी
Altimeter method,तुंगतामापी विधि
Altimetry,तुंगतामापिकी
Altiplanation,"उच्चसाथ समतलन, आल्टीप्लेनेशन"
Altitude,"तुगंता, ऊंचाई, उन्नातांश, शीर्षलंब"
Alveolar weathering,कूपिका अपक्षयण
Alveolus,"कूपिका, ऐल्वियोलस"
Amalgam,"पारधातु मिश्रण, ऐंबर, अंबर"
Ambient air,परिवेशी वायु
Amorphous,अक्रिस्टलीय
Amphitheatre,"ऐम्फिथिएटर, रंगमंडल"
Anabranch,प्रत्यागत शाखा
Anaclinal,प्रतिनतिक
Anaclinal stream,"प्रतिनतिक धारा, प्रतिनतिक सरिता"
Anaclinal valley,प्रतिनतिक घाटी
Analogous,"सदृश, अनुरूप, समवृत्ति"
Analyse,विश्लेषण करना
Anchor ice,लंगर बर्फ
Anemoclast,पवन खंडाश्म
Anemophily,वायु परागण
Aneroid barometer,निर्द्रव वायुदाबमापी
Angara land,"अंगारा महाभूखंड, अंगारा लैंड"
Angle of repose (angle of rest),घर्षण कोण
Angle of slide,सर्पण कोण
Angling,कोणन
Angular distortion,कोणिय विरूपण
Angular spreading,कोणिय विस्तारण
Angulated,कोणित
Angulate drainage,कोणित अपवाह
Angulate drainage pattern,कोणित अपवाह प्रतिरूप
Angulation,"कोणाकृति, कोणीभवन"
Animal kingdom,प्राणि जगत
Anisotropic soil,विषमदैशिक मिट्टी
Annual balance,वार्षिक संतुलन
Annual flood,"वार्षिक आप्लाव, वार्षिक बाढ़"
Annual growth ring,वार्षिक वृद्धि वलय
Annual layer,वार्षिक परत
Annual wave,वार्षिक तरंग
Annular,वलयाकर
Annular clay floaters,वलयाकर मृत्तिका प्लवक
Annular drainage,वलयाकर अपवाह
Annular drainage pattern,वलयाकर अपवाह प्रतिरूप
Annular pattern,वलयाकर प्रतिमान
Annular structure,वलयाकर संरचना
Anomalous,असंगत
Anomalous growth,असंगत वृद्धि
Anomaly,"असंगति, कोणिकांतर"
Anorogenic,अपर्वतनी
Antagonism,विरोध
Antarctic,दक्षिण ध्रुवीय
Antarctic circle,दक्षिण ध्रुववृत
Antarctic convergence,दक्षिणध्रुवीय अभिसरण
Antarctic drift,दक्षिणध्रुवीय वाह
Antecedent,पूर्ववर्ती
Antecedent drinage,पूर्ववर्ती अपवाह
Antecedent moisture,पूर्ववर्ती आर्द्रता
Antecedent-platform theory,पूर्ववर्ती-प्लेटफार्म सिद्धांत
Antecedent precipitation index,पूर्ववर्ती आर्द्रतांक
Antecedent river,पूर्ववर्ती नदी
Antecedent stream,पूर्ववर्ती सरिता
Antecedent valley,पूर्ववर्ती घाटी
Anteconsequent,पूर्वानुवर्ती
Antediluvian,पूर्वपूरोढ़
Anter,ऐन्टर
Anticenter,प्रतिकेंद्र
Anticlinal mountain,अपनतिक पर्वत
Anticlinal ridge,अपनतिक कटक
Anticlinal spring,अपनतिक झरना
Anticlinal valley,अपनतिक घाटी
Anticlockwise,वामावर्त
Anticyclone,प्रतिचक्रवात
Anticyclonic inversion,प्रतिचक्रवाती-व्युत्क्रमण
Antidip stream,प्रतिनति सरिता
Antidune,"ऐन्टीड्यून, प्रतिटिब्बा"
Antidune phase,"प्रतिटिब्बा प्रावस्था, 
ऐन्टीड्यून प्रावस्था"
Antillean revolution,ऐन्टिलीय भूक्रांति
Antilogue,"ऐन्टिलोग, विजातीय"
Antimeridian,"प्रतिध्रुववृत्त, प्रतियाम्योत्तर"
Apex,"शीर्ष, शिखर, अग्रक"
Aphotic,अप्रकाशी
Aphotic zone,अप्रकाशी क्षेत्र
Aphytal zone,"अफ़ाइटल क्षेत्र, पादपहित झीलतल"
Apogean tide,अपभू ज्वार
Apogee,"भूमि उच्च, अपभू"
Apotome,एपोटोम
Appalachian relief,एपालेशियन उच्चावच
Appalachian revolution,एपालेशियन भूक्रांति
Apparent,आभासी
Apparent ablation,आभासी अपक्षरण
Apparent accumulation,आभासी संचयन
Apparent altitude,आभासी ऊँचाई
Apparent crater,"आभासी ज्वालामुखी विवर, आभासी
क्रेटर"
Apparent horizon,आभासी क्षितिज
Apparent movement,आभासी संचलन
Apparent water table,आभासी भौम चलस्तर
Application,अनुप्रयोग
Applied,अनुप्रयुक्त
Applied science,अनुप्रयुक्त विज्ञान
Apposition,स्तराधान
Apposition beach,स्थितिक पुलिन
Apron,ऐप्रन
Aquafact,जलधृष्टाश्म
Aquatic,जलीय
Aqueduct,जलवाही सेतु
Aqueoglacial,हिमजलीय
Aqueoglacial water,हिमानी जल
Aqueous,जलीय
Aravalli strike,अरावली अनुदैर्ध्य दिशा
Arbitrary,"स्वेच्छ, यादृच्छिक"
Arboreal,"वृक्षीय, वृक्षवासी"
Archaean orogeny,आद्यमहाकल्पी पर्वतन
Aechaean peninsula,आद्यमहाकल्पी प्रायद्वीप
Arch bend,चाप मोड़
Arched,चापाकार
Archipelago,द्वीपसमूह
Architectonic pattern,वास्तु-पैटर्न
Arctriangulation,चाप त्रिभुजन
Arcuate,चापाकार
Arcuate delta,चापाकार डेल्टा
Arcuate ridge,चापाकार कटक
Area,"क्षेत्र, क्षेत्रफल"
Areal,"क्षेत्रफलीय, क्षेत्रीय"
Areal differentiation,क्षेत्रीय विभेदन
Areal mapping,क्षेत्रीय मानचित्रण
Area of opportunity,अवसर क्षेत्र
Area of opportunity for occurrence,घटना के लिए अवसर-क्षेत्र
Area slope,क्षेत्रीय ढाल
Area triangulation,क्षेत्रीय त्रिभुजन
Arid,"रूक्ष, शुष्क"
Arid bad land,रूक्ष उत्खात भूमि
Arid cycle,शुष्क चक्र
Aridic moisture regime,शुष्क आर्द्रता प्रवृत्ति
Aridity,शुष्कता
Aridity index,शुष्कता सूचक
Arid zone,शुष्क प्रदेश
Arid soil,शुष्क मृदा
Aristole's lantern,अरस्तू-लालटेन
Arm,"बाहु, भुजा, शाखिका"
Arm of sea,समुद्र शाखा
Arroyo,ऐरोयो
Artesian weathering,"उत्स्त्रुत अपक्षयण (क्रि0),
उत्स्त्रुत अपक्षय (सं0)"
Articulate,"संघित, संघिल"
Artifact,अश्मोपकरण
Artificial current,कृत्रिम धारा
Asgruben,कीपगर्त
Ash bed,भस्म संस्तर
Ash fall,भस्म पात
Ash-fertilized soil,भस्म निषेचित मृदा
Ash field,भस्म क्षेत्र
Ash flow,भस्म प्रवाह
Asperate,रूक्ष
Assimilation,स्वांगीकरण
Association,"साहचर्य, संगुणन, सस्वास, सहसंघ"
Associational factor,सहचरण-घटक
Assumption,"कल्पना, गृहीत, अभिधारणा"
Astatic,अस्थैतिक
Asteroid,"क्षुद्रग्रह, ग्रहिका, ऐस्टीरॉयड"
Asthenosphere,दुर्बलता-मंडल
Astral,तारकीय
Astrobleme,"बहिःक्षत संरचना, ऐस्ट्रोब्लेम"
Astrogeology,खगोल भूविज्ञान
Asymmetric (=asymmetrical),असममित वर्ग
Asymmentrical glaciation,असममित हिमनदन
Asymmetrial indentation,"असममित दंतुरता, असममित दंतुरण"
Asymmetrical valley,असममित घाटी
Atectonic pluton,अविवर्तनिक प्लूटॉन
Atmosphere,"वायुमंडल, ऐटमोस्फियर, परिमंडल"
Atmospheric,वायुमंडलीय
Atoll,"अडल, प्रवालद्वीपवलय"
Atoll structure,"अटाल संरचना, प्रवालद्वीप वलय 
संरचना"
Atoll texture,"अटाल गठन, प्रवालद्वीप वलय गठन"
Atomic configuration,परमाण्वीय विन्यास
Attal,अव्यवहार्य
Attenuate,संकीर्ण
Attenuated,"क्षीण, तनु"
Attenuated remnant,क्षीणीकृत अवशेष
Attenuation,"क्षीणन, क्षीणता, संकीर्णता, संकीर्णन"
Attenuation cross section,संकीर्णन अनुप्रस्थ काट
Attitude,अभिवृत्ति
Attrition,संनिघर्षण
Attritus,ऐट्राइटस
Augmentation,संवर्धन
Auroral zone,ध्रुवीय ज्योति क्षेत्र
Auroral interaction,ध्रुवीय ज्योति अन्योन्यक्रिया
Auroral line,ध्रुवीय ज्योति रेखा
Autogenesis,स्वतःजनन
Autogenetic drainage,स्वजनित अपवाह
Autogenetic drainage and topography,स्वजनित अपवाह एवं स्थलाकृति
Autogenetic topography,स्वजनित स्थलाकृति
Automatic,"आत्मचालित, स्वचालित, स्वतः"
Autostasy,स्वस्थैर्य
Auxiliary,"सहायक, सहकारी, अतिरिक्त"
Auxiliary component,सहायक उपकरण
Auxiliary diagram,सहायक आरेख
Available soil water,प्राप्य मृदा जल
Avalanche,"अवघाव, ऐवेलांश, हिमघाव"
Avalanche bedding,अवघाव संस्तरण
Avalanche chute,हिमघाव अवनलिका
Avalanche ripple mark,अवघाव ऊर्मीका चिह्न
Avalanche talus,अवघाव शैलमलबा
Avalanche track,हिमघाव पथ
Average,"औसत, माध्य"
Average height,औसत ऊँचाई
Average land slope curve,औसत भू-ढाल वक्र
Axial stream,अनुअक्ष सरिता
Azimuth of traverse,चक्रम दिगंश
Azoic,प्राग्जैविक
Azonal soil,असुस्तरी मृदा
Back bay,पश्च खाड़ी
Back bearing,पश्च दिक्कोण
Back fill,पृष्ठ भरण
Back flow,पश्च प्रवाह
Backhand drainage,पश्च अपवाह
Back-land,पश्च-भूमि
Back marsh,पश्च कच्छ
Back reef,"पश्च भित्ति, पश्च शैलभित्ति, पश्च रीफ"
Backset bedding,बैकसेट संस्तर
Back sight,पश्चदृष्टि
Backsight reading,पश्चदृष्टि पाठ्यांक
Back slope,पश्च ढाल
Backsplash hypothesis,बैकस्प्लैश परिकल्पना
Back swamp,पश्च अनूप
Back swamp deposit,पश्च अनूप-निक्षेप
Backwash,"पश्च धावन , बैकवाश"
Backwash mark,पश्च धावन चिह्न
Backwash ripple mark,पश्च धावन ऊर्मिका चिह्न
Backwater,पश्चजल
Back water zone,पश्चजल प्रदेश
Back wearing,पश्च अपरदन
Back zone,पश्चजल प्रदेश
Bad land,उत्खात भूमि
Badland erosion,उत्खात भूमि अपरदन
Badland topography,उत्खात-भूमि स्थलाकृति
Bagara,बगारा
Baggara,बगारा
Bahada,बहादा
Bajada,बाहादा
Bajada breccia,बाहादा संकोणाश्म
Balance,"तुला, तराजू, संतुलन, शेष, बाकी, संतुलित होना, संतुलित करना"
Balanced rock,संतुलित शैल
Ball and pillow structure,कंदुक-शिरोधान संरचना
Ballast,गिट्टी
Ballistic headwaves,प्राक्षेपिक अग्रतरंग
Band,"पट्ट, पट्टी, बैंड, दल"
Bandaging,पट्टी बांधना
Banded,पट्टित
Banding,"पट्टरचना, पट्टना, पट्टाभन"
Bank,"ब्यूह, पुंज, तट, किनारा, बैंक, खनिफलक"
Bank-claim,तट दावा
Bank reef,उपतट शैलभित्ति
Bar,"स्तंभ, शलाका, सिल, सिल्लr, दंड, 
 छड़ पट्टी, रोधिका, भित्ति, बार, रेखा, रेखिका, परीक्षण रेखा धार"
Baraboo,बैराबू
Barachois,बैराकॉय
Bar beach,रोधिका पुलिन
Barbed junction,विमुखी संगम
Bar-built estuaries,रोधिका-ज्वारनदमुख
Barchan,"बरकान, चापाकार टिब्बा"
Baric type,बैरिक प्ररूपी
Bar map,स्तंभ-मानचित्र
Barranca (=barranco),बरैंका
Barrel shaped,"ढोलकाकार, बैरलरूपी"
Barren,"अनुत्पादक, अयस्कहीन, अनयस्की"
Barricade,सुरक्षा भित्ति
Barrier,"रोध, रोधिका, नाभिकीय रोधिका, झिल्ली"
Barrier bar,रोध-भित्ति
Barrier basin,रोधिका द्रोणी
Barrier beach,रोधिका-पुलिन
Barrier-enclosed island,रोध-परिबद्ध द्वीप
Barrier lake,रोधिका झील
Barrier reef,प्रवाल रोधिका
Barrier spit,रोधिका भूजिह्वा
Barrier spring,रोधिका झरना
Barysphere,गुरूमंडल
Basal,"आधारिक, आधारी (वि0),
आधारिका (सं0)"
Basal moraine,"आधारी मोरेन, आधारी हिमोढ़"
Basal slope,आधारी ढलान
Basal surface,आधारी सतह
Basal till,आधारी गोलाश्मी मृत्तीका
Basauxice,तलवर्धी
Base,"आधार, क्षारक, अधम, मूल, बेस"
Base level,"निम्नतम तल, आधार-स्तर"
Base level of deposition,उच्चतम निक्षेपण तल
Base level of erosion,निम्नतम अपरदन तल
Base map,"आधार मानचित्र, आधार मैप"
Base section,आधार परिच्छेद
Base shifting,आधार परिवर्तन
Base size,आधार आमाप
Base station,"आधार चाँदा, आधार स्टेशन"
Basic record,मूल अभिलेख
Basin,"द्रोणी, बेसिन"
Basin filling,द्रोणी पूरण
Basin floor,बेसिन सतह
Basining,"द्रोणीभवन, बेसिनीभवन, द्रोणीयन"
Basin province,द्रोणी क्षेत्र
Basin relief,द्रोणी उच्चावच
Basin shaped valley,द्रोणीरूप घाटी
Basin structure,"बेसिन-संरचना, द्रोणी संरचना"
Basin valley,द्रोणी घाटी
Basin-ward,अभिद्रोणी
Basset,"दृश्यांश, बैसेट"
Basset edge,"दृश्यांशकोर, बैसेटकोर"
Basseting,अंगदर्शन
Bastion,"बैस्चन, बैस्टियन"
Bastion rock,बैस्टियन शैल
Bathyal,गभीर सागर
Bathyal environment,गभीर पर्यावरण
Bathyal fauna,गभीर प्राणिजात
Bathyal realm,गभीर परिमंडल
Bathyal zone,गभीर प्रदेश
Bathyl,गभीर
Bathymetric,अनुगभीर
Bathymetric chart,अनुगभीर चार्ट
Bathymetric contour,अनुगभीर समोच्चरेखा
Bathymetric distribution,अनुगभीर वितरण
Bathymetric group,अनुगभीर वर्ग
Bathymetric map,अनुगभीर नक्शा
Bathymetric zone,अनुगभीर मंडल
Bathyshere,"क्रोडमंडल, बैथीस्फियर"
Battery,माला
Bay,"ब्यूह खंड, कक्ष, खाड़ी, उपसागर"
Bay-bar,खाड़ी रोधिका
Bay head,"खाड़ी-मुख, खाड़ी शीर्ष"
Bay head bar,"खाड़ीमुख-भित्ति,
खाड़ी-शीर्ष-रोधिका"
Bay head beach,खाड़ीशीर्ष-पुलिन
Bay-head delta,खाड़ीशीर्ष डेल्टा
Bay mouth bar,खाड़ीमुख रोधिका
Bay salt,खाड़ी नमक
Beach,"पुलिन, बीच"
Beach berm,पुलिन बर्म
Beach comber,पुलिन कंकतक
Beach combing,पुलिन कंकतन
Beach cusp,पुलिन कस्प
Beach cycle,पुलिन-चक्र
Beach deposits,पुलिन-निक्षेप
Beach drift,पुलिन अपोढ़
Beach dune,पुलिन टिब्बा
Beach erosion,पुलिन अपरदन
Beach forms,पुलिन स्थलाकृति
Beach material,पुलिन पदार्थ
Beach-profile,"पुलिन-परिच्छेदिका, पुलिन-प्रोफाइल"
Beach ridge,पुलिन-कटक
Bead,"मणिका, बीड"
Beaded,मणिकामय
Beaded esker,मणिकामय एस्कर
Beam,"दंड, बीम, किरण पुंज, तुर"
Bearing,"दिक्मान, दिक्कोण"
Bed,"संस्तर, तल"
Bedded volcano,संस्तरित ज्वालामुखी
Bedding,"संस्तरण, संस्तरीभवन, क्यारी बनाना"
Bed load,तल भार
Bed-rock soil,आधार शैल मृदा
Bed-rock velley,आधारशैल घाटी
Beds of passage,संक्रमणी संस्तर
Bedway,स्ताराभास
Beheaded stream,रूंडित सरिता
Beheading,रूंडन
Bellmouth,बेलमाउथ
Belly,लोडकुम्भक
Bench,"वेदिका, बेंच"
Bench gravel,वेदिका-बजरी
Bench lava,बेंच लावा
Bench mark,"निर्देश चिह्न, तल चिह्न"
Bench mark soil,"निर्देश तल मृदा, बेंचमार्फ"
Bench mesa,बेंच मेसा
Bench terrace,वेदिका कगार
"Bennett & Hulburt's self focussed 
stream","बेनेट तथा हल्बर्ट की 
स्वफोकसित धारा"
Bergschrund,"हिमदर, बर्गश्रंड"
Berg-till,हिमशैल टिल
Berm,बर्म
Beta leyer,बीटा-परत
Betrunked,"विलगित, रूंडित"
Betrunked river,विलगित नदी
Betrunked valley,रूंडित घाटी
Beuheyl,ब्यूहेइल
Bevel,"बेवेल, कोरतलन, प्रवण कोण"
Bevelling,कोरतलन
Bevellingof outcrops,दृश्यांश कोरतलन
Bezel,"रत्नफलक, बेजेल"
Bhabar,भाबर
Bhangar,भांगर
Bhur,भूर
Bibbles,बिबुल्स
Bifurcate,"द्विशाखित करना, द्विशाखित
होना (क्रि0), द्विशाखित (वि0)"
Bifurcation,द्विशाखन
Bifurcation ratio,द्विशाखन अनुपात
Bight,"खुली खाड़ी बाइट, चापाकार दंतुरण (बर्फ)"
Bilaminar,द्विपटलीय
Bilateral,द्विपार्श्विक
Bilateral convolution,द्विपार्श्व संवलन
Bilenticular,द्विलेंसरूप
Bin,"बिन, धानी"
Binary,"युग्मतारा, द्वि-अंगी"
Binary notation,द्विचर संकेत
Binary number,द्वि-आधारी संख्या
Binary symmetry,द्विक्रम-सममिति
Bindicator,तलसूचक
Binding layer,बंधन स्तर
Binocular hand level,द्विनेत्री हस्त लेवेल
Biochrone,जैव कालपरिसर
Biochronological,जैव कालानुक्रमिक
Biogeographical distribution,जीव-भौगोलिक वितरण
Biolith,जीवज अश्म
Biological oceanography,जैव समुद्रविज्ञान
Biological weathering,जैविक अपक्षय
Biomass,"जैवमात्रा, जीवभार"
Biopyribole,बायोपाइरीबोल
Biorudyte,"जैवगुटिकाश्म, बायोरूडाइट"
Biosphere,जैव मंडल
Biotope,जैवावासक
Birch discontinuity,बर्च असांतत्य
Bird,"पक्षी, चिड़िया, बर्ड"
Bird's foot delta,पक्षी पंजा-डेल्टा
Birkenia,बिर्केनिआ
Birma bright,बरमा ब्राइट
Biscuit board topography,बिस्कुट बोर्ड स्थलाकृति
Bisect,अर्धित करना. द्विभाजित करना
Bisector,"अर्धक, द्विभाजक"
Biserial pores,द्विपंक्तिक रंध्र
Bitter,"तिक्त, कड़वा"
Bitter earth,मैग्नीशियमी मृदा
Bitter lake,कटु झील
Bivalved membrane,द्विकपाटी कला
Black alta,ब्लैक आल्टा
Black band,ब्लैक बैन्ड
Black cobalt earth,कृष्ण कोबाल्ट मृदा
Black cotton,कृष्ण कपासी मृदा
Blackdamp,"कृष्णडैम्प, श्वासरोधी खनि-गैस"
Black earth,काली मिट्टी
Black horse,ब्लैक हॉर्स
Black ice,असित हिम
Black leading,ग्रेफाइट बुरूश
Black mud,कृष्ण पंक
Blade,"ब्लैड, पटल"
Blade grader,"ब्लेड, ग्रेडर"
Bladed spear,फलक-शूल
Bladed structure,क्षुरपत्रित संरचना
Bladings,ब्लेडावली
Blake breaker,खंडित्र ब्लेक
Blanc fix (fixe),"बेर्यम सल्फेट, ब्लांक फिक्स"
Blanch,ब्लांच
Blanket,"समाच्छद, ब्लैंकेट, कम्बल, आवृत करना"
Blasé-bladder,ब्लाज़-ब्लैडर
Blatt,ब्लाट
B-layer,बी-परत
Bleachability,विरंजनीयता
Bleached,विरंजित
Bleaching,विरंजन
Bleaching clay,विरंजन मृत्तिका
Bleach spot,विरंजन-स्थान
Bleb,बुलबुला
Blende,ब्लैन्ड
Blind creek,शुष्क निवेशिका
Blind hole,अंध छिद्र
Blind lode,प्रच्छन्न लोड
Blind seams,प्रच्छन्न संधि
Blind sector,अंध खंड
Blind shaft,अंध कूपक
Blind valley,अंध घाटी
Blind zone,प्रच्छन्न अंचल
Block,भ्रंशोत्थ
Block adjustment procedure,ब्लॉक समायोजन प्रक्रिया
Block caving,खंड निपातन
Block chaining,खंड-श्रृंखलन
Block code,कंड कूट
Block delta,अवरूद्ध डेल्टा
Block diagram,ब्लॉक आरेख
Block faulted area,खंड-भ्रंशित क्षेत्र
Block glide,खंड विसर्पण
Block-holing,"शैल-छिद्रण, खंड-छिद्रण"
Blocking,"अवरोध, अवरोधन, अवरोधी"
Blocking action,अवरोधन क्रिया
Blocking out,त्रिपार्श्वखनन
Blocking temperature,"ब्लॉकिंग ताप, अवरोधन ताप"
Block moutain,"भ्रंशोत्थ पर्वत, ब्लॉक पर्वत"
Block movement (glacio),खंड संचलन
Block multiplication,उपाव्यूह गुणन
Block of points,बिंदु खंडक
Block relaxation,खंड विश्रांति
Block riffle,ब्लॉक रिफिल
Block slope,खंड ढाल
Block stream,खंड धारा
Block transfer,खंड स्थानांतरण
Blocky,"खंडी, खंडविदली"
Blood rain,लाल वर्षा
Blout,ब्लाउट
Blow hole,वात-छिद्र
Blowing cave,वाती गुहा
