Punjabi,Odiya
ਲੇਖਾਕਾਰ,ଆକାଉଣ୍ଟାଣ୍ଟ
ਲਈ ਖਾਤਾ,ଖାତା ପାଇଁ
ਖਾਤਾ ਸਿਰ,ଖାତା ହେଡ୍
ਇਕੱਠਾ ਕੀਤਾ ਲਾਭ,ଅଭିଯୋଗ ଲାଭ
ਇਕੱਠੀ ਕੀਤੀ ਪੈਨਸ਼ਨ,ପେନ୍ ପେନ୍ସନ୍
ਇਕੱਠਾ,ଜମା
ਸ਼ੁੱਧਤਾ,ସଠିକତା
ਸਹੀ,ସଠିକ୍
ਦੋਸ਼ ਲਾਉਂਦਾ ਹੈ,ଅଭିଯୋଗ
ਦੋਸ਼ੀ,ଅଭିଯୁକ୍ତ
ਪ੍ਰਾਪਤੀ,ସଫଳତା
ਪ੍ਰਵਾਨਗੀ,ସ୍ୱୀକୃତି
ਬਣ ਰਹੇ,ସ୍ୱୀକୃତି ଦେବାର |
ਜਾਣ-ਪਛਾਣ,ପରିଚୟ
ਗ੍ਰਹਿਣ,ଅଧିଗ୍ରହଣ
ਬਰੀ,ନିର୍ଦ୍ଦୋଷ
ਐਕਟ,କାର୍ଯ୍ୟ କର
ਅਦਾਕਾਰੀ ਭੱਤਾ,ଅଭିନୟ ଭତ୍ତା
ਕਾਰਵਾਈ,କାର୍ଯ୍ୟ
ਕਾਰਵਾਈ ਜੁਗਤ,କ୍ରିୟା ଯୋଜନା
ਕਿਰਿਆਸ਼ੀਲ,ସକ୍ରିୟ
ਸਰਗਰਮੀ ਨਾਲ,ସକ୍ରିୟ ଭାବରେ |
ਕਾਰਜਕਰਤਾ,କାର୍ଯ୍ୟକର୍ତ୍ତା
ਰੱਬ ਦਾ ਕੰਮ,God ଶ୍ୱରଙ୍କ କାର୍ଯ୍ୟ
ਦੁਰਵਿਵਹਾਰ ਦਾ ਕੰਮ,ଦୁଷ୍କର୍ମ କାର୍ଯ୍ୟ
ਕਮਿਸ਼ਨ ਅਤੇ ਗਲਤੀ ਦਾ ਕੰਮ,କମିଶନ ଏବଂ ଓସାସଙ୍କ କାର୍ଯ୍ୟ |
ਅਸਲ,ପ୍ରକୃତ
ਅਸਲ,କାର୍ଯ୍ୟ
ਅਨੁਕੂਲਤਾ,ଆଡାପ୍ଟେସନ୍
ਜੋੜ,ଯୋଗ
ਅਤਿਰਿਕਤ ਚਾਰਜ,ଅତିରିକ୍ତ ଚାର୍ଜ
ਵਾਧੂ ਫੰਡ,ଅତିରିକ୍ତ ପାଣ୍ଠି
ਅਤਿਰਿਕਤ ਗ੍ਰਾਂਟ,ଅତିରିକ୍ତ ଅନୁଦାନ
ਵਧੀਕ ਜਾਣਕਾਰੀ,ଅତିରିକ୍ତ ସୂଚନା
ਵਾਧੂ ਤਨਖਾਹ,ଅତିରିକ୍ତ ଦେୟ
ਜੋੜ ਅਤੇ ਤਬਦੀਲੀ,ଯୋଗ ଏବଂ ପରିବର୍ତ୍ତନ
ਪਤਾ,ଠିକଣା
ਐਡਰੈਸਸ,ଆଡ୍ରେସେେ |
ਸਵਾਗਤ ਦਾ ਪਤਾ,ସ୍ୱାଗତିବାର ଠିକଣା
ਕਾਫ਼ੀ,ପର୍ଯ୍ୟାପ୍ତ
ਦਾ ਪਾਲਣ ਕਰੋ,ନିୟମ ପାଳନ
ਐਡ ਹੋਕ,ଅନୁପଚାରି
ਐਡਹਕ ਕਲੇਮ,ବିଜ୍ଞାପନ ହକ୍ ଦାବି |
ਐਡਹੌਕ ਕਮੇਟੀ,ବିଜ୍ଞାପନ ହକ୍ କମିଟି |
ਐਡਹੌਕ ਵਾਧਾ,AD HOC ବୃଦ୍ଧି |
ਐਡਹੌਕ ਭੁਗਤਾਨ,ବିଜ୍ଞାପନ ହକ୍ ଦେୟ |
ਨਾਲ ਲੱਗਦੀ,ସଂଲଗ୍ନ
ਨਾਲ ਲੱਗਦੀ (= ਸੰਜੋਗ),ସଂଲଗ୍ନ (= ସଂଲଗ୍ନ)
ਮੁਲਤਵੀ,ସ୍ଥଗିତତା
ਮੁਲਤਵੀ ਮੋਸ਼ਨ,ଆଡଜାଇବା ଗତି
ਇਜਾਜ਼ਤ,ସମର୍ଥନ କର ଘର
ਨਿਰਣਾਇਕ,ଗୁଚିଚୀନିକ
ਨਿਰਣਾ,ସମର୍ଥନ
ਨਿਰਣਾਇਕ,ଆଦ୍ବ୍ରୀକରଣ
ਵਿਵਸਥਾ,ଆଡଜଷ୍ଟମେଣ୍ଟ୍
ਪ੍ਰਬੰਧਿਤ,ପ୍ରଶାସକ
ਸਹੁੰ ਪ੍ਰਬੰਧ,ଶପଥ କର
ਪ੍ਰਸ਼ਾਸਨ,ପ୍ରଶାସନ
ਜਸਟਿਸ ਦਾ ਪ੍ਰਬੰਧਨ,ନ୍ୟାୟ ପ୍ରଶାସନ
ਪ੍ਰਬੰਧਕੀ,ପ୍ରଶାସନିକ
ਪ੍ਰਬੰਧਕੀ ਕਾਰਵਾਈ,ପ୍ରଶାସନିକ କାର୍ଯ୍ୟ
ਪ੍ਰਬੰਧਕੀ ਮੁੱਲ,ପ୍ରଶାସନିକ ମୂଲ୍ୟାଙ୍କନ |
ਪ੍ਰਬੰਧਕੀ ਪ੍ਰਵਾਨਗੀ,ପ୍ରଶାସନିକ ଅନୁମୋଦନ |
ਪ੍ਰਬੰਧਕੀ ਅਥਾਰਟੀ,ପ୍ରଶାସନିକ ପ୍ରାଧିକରଣ
ਪ੍ਰਬੰਧਕੀ ਨਿਯੰਤਰਣ,ପ୍ରଶାସନିକ ନିୟନ୍ତ୍ରଣ |
ਪ੍ਰਬੰਧਕੀ ਫੈਸਲਾ,ପ୍ରଶାସନିକ ନିଷ୍ପତ୍ତି
ਪ੍ਰਬੰਧਕੀ ਵਿਭਾਗ,ପ୍ରଶାସନିକ ବିଭାଗ
ਪ੍ਰਬੰਧਕੀ ਸਿਰ,ପ୍ରଶାସନିକ ମୁଣ୍ଡ
ਪ੍ਰਬੰਧਕੀ ਹੈੱਡਕੁਆਰਟਰ,ପ୍ରଶାସନିକ ମୁଖ୍ୟାଳୟ |
ਪ੍ਰਬੰਧਕੀ ਉਪਾਅ,ପ୍ରଶାସନିକ ପଦକ୍ଷେପ |
ਪ੍ਰਬੰਧਕੀ ਪਾਵਰ,ପ୍ରଶାସନିକ ଶକ୍ତି |
ਪ੍ਰਬੰਧਕੀ ਮਨਜੂਰੀ,ପ୍ରଶାସନିକ ମଞ୍ଜୁର |
ਪ੍ਰਬੰਧਕੀ ਤਕਨੀਕ,ପ୍ରଶାସନିକ କ techni ଶଳ |
ਪ੍ਰਬੰਧਕੀ ਟ੍ਰਿਬਿ al ਨਲ,ପ୍ରଶାସନିକ ଟ୍ରିବ୍ୟୁନାଲ୍ |
ਮੰਨਣਯੋਗਤਾ,ଗ୍ରହଣୀୟତା |
ਮੰਨਣਯੋਗ ਖਰਚ,ଗ୍ରହଣଯୋଗ୍ୟ ଖର୍ଚ୍ଚ |
ਮੰਨ ਲਓ,ସ୍ୱୀକାର କର |
ਐਡਮਿਟ ਕਾਰਡ,କାର୍ଡ ଆଡମିଟ୍ କରନ୍ତୁ |
ਦਾਖਲ,ସ୍ୱୀକାର କରାଯାଇଛି |
ਅਸ਼ੁੱਧ,ଉପଦେଶ ଦିଅନ୍ତୁ |
ਗੋਦ,ଆଡେପିଟି |
ਗੋਣਾਟਰ,ଆଡପୁଟର୍
ਗੋਦ ਲੈਣਾ,ଗ୍ରହଣ
ਬਾਲਗ,ବୟସ୍କ
ਵਿਭਚਾਰ,ବ୍ୟଭିଚାର
ਵਿਭਚਾਰ,ବ୍ୟଭିଚାର
ਬਾਲਗ ਫਰੈਂਚਾਇਜ਼ੀ,ବୟସ୍କ ଫ୍ରାଞ୍ଚାଇଜ୍ |
ਐਡ ਵੈਲੋਰਮ ਡਿ duty ਟੀ,ବିଜ୍ଞାପନ ଭାଲୋରେମ୍ ଡ୍ୟୁଟି |
ਪੇਸ਼ਗੀ,ଅଗ୍ରିମ
ਐਡਵਾਂਸ ਬੁਕਿੰਗ,ଅଗ୍ରୀମ ବୁକିଂ
ਐਡਵਾਂਸ ਕਾਪੀ,ଅଗ୍ରଶୀ ନକଲ
ਪੇਸ਼ਗੀ ਵਾਧਾ,ଅଗ୍ରଗତି ବୃଦ୍ଧି
ਪੇਸ਼ਗੀ ਭੁਗਤਾਨ ਦੀ,ଅଗ୍ରିମ ଦେୟ
ਗਲਤ ਪ੍ਰਵੇਸ਼,ପ୍ରତିକୂଳ ପ୍ରବେଶ
ਗਲਤ ਟਿੱਪਣੀ,ପ୍ରତିକୂଳ ଟିପ୍ପଣୀ |
ਗਲਤ ਰਿਪੋਰਟ,ପ୍ରତିକୂଳ ରିପୋର୍ଟ
ਇਸ਼ਤਿਹਾਰ,ବିଜ୍ଞାପନ
ਸਲਾਹ,ପରାମର୍ଶ
ਭੁਗਤਾਨ ਦੀ ਸਲਾਹ,ଦେୟର ପରାମର୍ଶ |
ਸਲਾਹਕਾਰ ਕਮੇਟੀ,ପରାମର୍ଶଦାତା କମିଟି |
ਸਲਾਹਕਾਰ ਪਰਿਸ਼ਦ,ପରାମର୍ଶଦାତା ପରିଷଦ |
ਐਡਵੋਕੇਟ,ଓକିଲ
ਮਾਮਲੇ,ସମ୍ପର୍କ
ਹਲਫੀਆ ਬਿਆਨ,ପ୍ରମାଣପତ୍ର
ਮਾਨਤਾ,ଅନୁବନ୍ଧ
ਪੁਸ਼ਟੀਕਰਣ,ନିଶ୍ଚିତତା
ਸਕਾਰਾਤਮਕ,ନିଶ୍ଚିତ
ਬਰਦਾਸ਼ਤ,ସୁଲଭ
ਉਪਰੋਕਤ,Aforesaid
ਅਫਰੇਸ਼,ଉପରୁବର୍ତ୍ତୀ
ਦੇ ਵਿਰੁੱਧ,ବିପକ୍ଷରେ
ਉਮਰ,ବୟସ
ਉਮਰ ਦਾ ਸਰਟੀਫਿਕੇਟ,ବୟସ ପ୍ରମାଣପତ୍ର
ਦੁਖੀ ਲਈ ਉਮਰ,ଯଥେଷ୍ଟ ସମୟ ପାଇଁ ବୟସ |
ਉਮਰ ਸੀਮਾ,ବୟସ ସୀମା |
ਏਜੰਸੀ,ସଂସ୍ଥା
ਏਜੰਡਾ,କାର୍ଯ୍ୟସୂଚୀ
ਰਿਟਾਇਰਮੈਂਟ ਦੀ ਉਮਰ,ଅବସରର ବୟସ
ਪੂਰਕ ਦੀ ਉਮਰ,ସୁପରନୁଏସନ୍ ବୟସ
ਇਕੱਤਰਤਾ,ମିଳନ
ਦੁਖਦਾਈ,ବହୁଳ
ਅੰਦੋਲਨ,ଆଗ୍ରିଲେସନ୍
ਏਜੀਐਮ,Agm
ਸਮਝੌਤਾ,ଚୁକ୍ତିନାମା
ਸਮਝੌਤਾ ਫਾਰਮ,ଚୁକ୍ତି ଫର୍ମ
ਖੇਤੀ ਬਾੜੀ,କୃଷି
ਖੇਤੀ-ਉਦਯੋਗ,Agro-idustry
ਸਹਾਇਤਾ,ସହାୟତା
ਅਲਾਰਮ,ଆଲାର୍ମ
ਚੇਤਾਵਨੀ,ସତର୍କତା
ਉਪਨਾਮ,ଛଦ୍ମନାମ
ਇਲਜ਼ਾਮ,ଅଭିଯୋଗ
ਵਫ਼ਾਦਾਰੀ,ଅନୁଗତ
ਗਠਜੋੜ,ମିଳିତତା
ਸਹਿਯੋਗੀ ਸੇਵਾਵਾਂ,ସମର୍ଥନ ସେବାଗୁଡିକ
ਸਾਰੇ ਸੰਮਲਿਤ ਲਾਗਤ,ସମସ୍ତ ଅନ୍ତର୍ଭୂକ୍ତ ମୂଲ୍ୟ |
ਸਾਰੇ ਭਾਰਤ ਸੇਵਾਵਾਂ,ସମସ୍ତ ଭାରତୀୟ ସେବାଗୁଡିକ |
ਅਲਾਟਮੈਂਟ,ଆବଣ୍ଟନ
ਅਲਾਟਮੈਂਟ,ବଣ୍ଟନ
ਅਲਾਟਮੈਂਟ ਪੱਤਰ,ବଣ୍ଟନ ଚିଠି
ਅਲਾਟੀਟੀ,ବଣ୍ଟନେ |
ਮਨਜ਼ੂਰ,ଅନୁମତି ଯୋଗ୍ୟ
ਮਨਜ਼ੂਰ ਖਰਚੇ,ଅନୁମତିପ୍ରାପ୍ତ ଖର୍ଚ୍ଚ |
ਇੱਕ ਅਪੀਲ ਦੀ ਆਗਿਆ ਦਿਓ,ଏକ ଆବେଦନକୁ ଅନୁମତି ଦିଅନ୍ତୁ |
ਭੱਤਾ,ଭତ୍ତା
ਸਾਰੇ ਹੱਕ ਰਾਖਵੇਂ ਹਨ,ସମସ୍ତ ଅଧିକାର ସଂରକ୍ଷିତ
ਵਰਣਮਾਲਾ ਕ੍ਰਮ,ବର୍ଣ୍ଣମାଳା କ୍ରମ
ਗਰੈਟਰਕੇਸ਼ਨ,ବ atutem ିସଣ
ਵਿਕਲਪਿਕ,ବିକଳ୍ପ
ਵਿਕਲਪਿਕ,ବିକଳ୍ପ
ਏਕੀਕਰਨ,ଅମାଲଗାମୀ
ਸੋਧਿਆ ਖਰੜਾ,ସଂଶୋଧିତ ଡ୍ରାଫ୍ଟ |
ਸੋਧ,ସଂଶୋଧନ
ਸਹੂਲਤ,ସୁବିଧା
ਅਮਲ,ବନ୍ଧୁତ୍ୱପୂର୍ଣ୍ଣ
ਬਾਰੂਦ,ଗୁଳିଗୋଳା
ਕਰਜ਼ੇ ਦਾ ਅਮੋਰਾਈਜ਼ੇਸ਼ਨ,Debt ଣର ଅମର୍ଟାଇଜେସନ୍ |
ਦੀ ਰਕਮ,ପରିମାଣ
ਪੈਨਸ਼ਨ ਦੀ ਮਾਤਰਾ,ପେନ୍ସନ୍ ର ପରିମାଣ
ਸਮਾਨ ਪੋਸਟ,ଅନୁରୂପ ପୋଷ୍ଟ |
ਵਿਸ਼ਲੇਸ਼ਣ,ବିଶ୍ଳେଷଣ |
ਵਿਸ਼ਲੇਸ਼ਣ ਅਧਿਐਨ,ଆନାଲିଟିକାଲ୍ ଅଧ୍ୟୟନ |
ਪੂਰਵਜ,ପୂର୍ବଜ
ਸਹਾਇਕ ਉਦਯੋਗ,ଆନୁଷଙ୍ଗୀ ଶିଳ୍ପ |
ਵੈਰ,ଶତ୍ରୁତା |
ਅਨੁਲੱਗ,ଆନୁଷ୍ଠାନ
ਵਰ੍ਹੇਗੰ,ବାର୍ଷିକୀ
ਘੋਸ਼ਣਾ,ଘୋଷଣା
ਨਾਰਾਜ਼ਗੀ,ବିରକ୍ତିକର
ਸਾਲਾਨਾ ਵਿੱਤੀ ਬਿਆਨ,ବାର୍ଷିକ ଆର୍ଥିକ ବିବରଣୀ
ਸਾਲਾਨਾ ਰਿਪੋਰਟ,ବାର୍ଷିକ ବିବରଣୀ
ਐਨੂਅਟੀ,ବାର୍ଷିକ
ਅਗਿਆਤ,ବେନାମୀ |
ਅਗਿਆਤ ਸ਼ਿਕਾਇਤ,ଅଜ୍ଞାତ ଅଭିଯୋଗ |
ਜਵਾਬ,ଉତ୍ତର୍ୟତା
ਜਵਾਬ ਸ਼ੀਟ,ଉତ୍ତର ସିଟ୍
ਵਿਰੋਧੀ,ବିରୋଧୀ
ਅਨੌਖੇ,ପିତୃପୁରୁଷ
ਅਨੁਮਾਨਤ ਖਰਚੇ,ପ୍ରତୀକ୍ଷିତ ଖର୍ଚ୍ଚ
ਅਨੁਮਾਨਤ ਆਮਦਨੀ,ପ୍ରତୀକ୍ଷିତ ଆୟ
ਉਮੀਦ,ପ୍ରତୀକ୍ଷା
ਅਗਾ .ਂ ਜ਼ਮਾਨਤ,ଆଣ୍ଟିସାଇପେଟୋରୀ ଜାମିନ |
ਭ੍ਰਿਸ਼ਟਾਚਾਰ ਵਿਰੋਧੀ ਉਪਾਅ,ବିରୋଧୀ ମାପ |
ਐਂਟੀ-ਡੰਪਿੰਗ,ଆଣ୍ଟି-ଡମ୍ପିଂ |
ਪੁਰਾਣੀ,ପ୍ରାଚୀନ
ਨਸਲਵਾਦ,ଅପାର୍ଥିଡ଼ିଆ
ਉਦਾਸੀ,ଉଦାସୀନତା |
ਸੁਪਰੀਮ ਬਾਡੀ,Apex ଶରୀର
ਮੁਆਫੀ,କ୍ଷମା ପ୍ରାର୍ଥନା
ਅਪੀਲ,ଆବେଦନ
ਦਿੱਖ,ରୂପ
ਭੁੱਖ,ସନ୍ତୁଷ୍ଟ
ਅਪੀਲ ਟ੍ਰਿਬਿ al ਨਲ,ଟ୍ରିବ୍ୟୁନାଲ୍ ଆବେଦନ କରନ୍ତୁ |
ਅੰਤਿਕਾ,ପରିଶିଷ୍ଟ
ਉਪਕਰਣ,ଉପକରଣ
ਲਾਗੂ,ପ୍ରଯୁଜ୍ୟ |
ਬਿਨੈਕਾਰ,ଆବେଦନକାରୀ |
ਐਪਲੀਕੇਸ਼ਨ,ପ୍ରୟୋଗ
ਅਰਜ਼ੀ ਫਾਰਮ,ଆବେଦନ ପତ୍ର
ਲਾਗੂ ਕੀਤਾ,ପ୍ରୟୋଗ କରାଯାଏ |
ਲਾਗੂ ਕਰੋ,ପ୍ରୟୋଗ କରନ୍ତୁ |
ਨਿਯੁਕਤ,ଆପୋପିନିଟି
ਨਿਯੁਕਤ ਕਰਨ ਦਾ ਅਧਿਕਾਰ,ନିଯୁକ୍ତ କର୍ତ୍ତୃପକ୍ଷ |
ਨਿਯੁਕਤੀ,ନିଯୁକ୍ତି |
ਮੁਲਾਕਾਤ ਪੱਤਰ,ନିଯୁକ୍ତି ପତ୍ର
ਮੰਤਰੀ ਮੰਡਲ ਦੀ ਨਿਯੁਕਤੀਆਂ ਕਮੇਟੀ,କ୍ୟାବିନେଟର ନିଯୁକ୍ତି କମିଟି |
ਤਨਖਾਹ ਦੀ ਵੰਡ,ମଜୁରୀର ଅନୁକରଣ |
ਮੁਲਾਂਕਣ,ମୂଲ୍ୟାଙ୍କନ
ਮੁਲਾਂਕਣ,ମୂଲ୍ୟାଙ୍କନକାରୀ
ਕਦਰ,ପ୍ରଶଂସା
ਖਦਸ਼ਾ,ଭୟ
ਅਪ੍ਰੈਂਟਿਸ,ଶିକ୍ଷାର୍ଥୀ
ਪਹੁੰਚ,ଉପାୟ
ਉਚਿਤ,ଉପଯୁକ୍ତ
ਉਚਿਤ ਕਾਰਵਾਈ,ଉପଯୁକ୍ତ କାର୍ଯ୍ୟ
ਉਚਿਤ ਸਿਰ,ଉପଯୁକ୍ତ ମୁଣ୍ଡ
ਨਿਰਧਾਰਤ,ଆବଣ୍ଟନ
ਮਨਜ਼ੂਰੀ,ଅନୁମୋଦନ
ਲਗਭਗ,ଆନୁମାନିକ
ਯੋਗਤਾ ਟੈਸਟ,ଦକ୍ଷତା ପରୀକ୍ଷା
ਮਨਮਾਨੀ,ଇଚ୍ଛାଧୀନ |
ਆਰਬਿਟਰੇਟ,ଆର୍ବିଟ୍ରେଟ୍ |
ਆਰਬਿਟਰੇਸ਼ਨ,ଆର୍ବିଟ୍ରେସନ୍
ਆਰਬਿਟਰੇਸ਼ਨ ਟ੍ਰਿਬਿ al ਨਲ,ଆର୍ବିଟ୍ରେସନ୍ ଟ୍ରିବ୍ୟୁନାଲ୍ |
ਆਰਬਿਟਰੇਟਰ,ଆର୍ବିଟର
ਆਰਕੀਟੈਕਚਰ,ସ୍ଥାପତ୍ୟ
ਪੁਰਾਲੇਖ,ଅଭିଲେଖାଗାର
ਖੇਤਰ,କ୍ଷେତ୍ର
ਖੇਤਰ ਹੈੱਡਕੁਆਰਟਰ,କ୍ଷେତ୍ର ମୁଖ୍ୟାଳୟ |
ਦਲੀਲ,ଯୁକ୍ତି
ਪੈਦਾ,ଉଠ
ਸੁਰਖਿਆ ਬਲ,ସଶସ୍ତ୍ର ବାହିନୀ |
ਪ੍ਰਬੰਧ,ବ୍ୟବସ୍ଥା
ਬਰੀਅਰ,ବରିଟର
ਅਰੇਅਰ ਬਿਆਨ,ବର୍ବର ବିବୃତ୍ତି
ਆਗਮਨ ਰਿਪੋਰਟ,ଆଗମନ ରିପୋର୍ଟ
ਹੰਕਾਰ,ଅହଂକାର
ਅਰਸੇਨਲ,ଅସ୍ତ୍ରଶସ୍ତ୍ର
ਲੇਖ,ପ୍ରବନ୍ଧ
ਐਸੋਸੀਏਸ਼ਨ ਦੇ ਲੇਖ,ଆସୋସିଏସନ୍ ର ଆର୍ଟିକିଲ୍ |
ਲੇਖ,ପ୍ରବନ୍ଧଗୁଡ଼ିକ
ਚੜ੍ਹਦੇ ਕ੍ਰਮ,ଆରୋହଣ କ୍ରମ
ਪਤਾ ਲਗਾਓ,ଜାଣିବା
ਜਿਵੇਂ ਕਿ ਕਿੱਥੇ ਹੈ,ଯେପରି ଅଛି
ਪਹਿਲੂ,ସର୍ବୋଚ୍ଚ
ਦਾਖਲਾ,ଆସଡିଅନ୍
ਕਤਲ,ହତ୍ୟା
ਹਮਲਾ,ଆକ୍ରମଣ
ਇਕੱਠਾ ਕਰਨ ਯੋਗ,ଏକତ୍ର ହୁଅ
ਅਸੈਂਬਲੀ,ସଭା
ਸਹਿਮਤੀ,ଖେଳନା
ਦਾਅਵਾ ਕਰੋ,ନିଶ୍ଚିତ କର |
ਮੁਲਾਂਕਣ,ମୂଲ୍ୟାଙ୍କନ
ਮੁਲਾਂਕਣ,ମୂଲ୍ୟାଙ୍କନ
ਮੁਲਾਂਕਣ ਸਾਲ,ମୂଲ୍ୟାଙ୍କନ ବର୍ଷ
ਮੁਲਾਂਕਣ ਕਰਨ ਵਾਲਾ,ମୂଲ୍ୟାଙ୍କନକାରୀ
ਸੰਪਤੀ,ସମ୍ପତ୍ତି
Assigneee,ଆସିଜେ
ਅਸਾਈਨਮੈਂਟ,ଆସାଇନମେଣ୍ଟ
ਅਸਾਈਨਟਰ,ଆସାଇନର୍
ਸਹਾਇਤਾ,ସହାୟତା
ਸਹਿਯੋਗੀ,ସହଯୋଗୀ
ਐਸੋਸੀਏਸ਼ਨ,ସଙ୍ଗଠନ
ਚਾਰਜ ਦੀ ਧਾਰਨਾ,ଚାର୍ଜର ଅନୁମାନ |
ਭਰੋਸਾ,ନିଶ୍ଚିତତା
ਅਸ਼ੋਰੈਂਸ ਕੰਪਨੀ,ନିଶ୍ଚିତ କର
ਭਰੋਸਾ,ନିଶ୍ଚିତ କର
ਛੂਟ 'ਤੇ,ରିହାତି ରେ
ਪਰਮਾਣੂ ਸ਼ਕਤੀ,ପରମାଣୁ ଶକ୍ତି
ਬਰਾਬਰ ਵਿਚ,ପାରରେ
ਪ੍ਰੀਮੀਅਮ 'ਤੇ,ପ୍ରିମିୟମରେ |
ਅਟੈਚ ਕਰੋ,ସଂଲଗ୍ନ କରନ୍ତୁ
ਨੱਥੀ ਦਫ਼ਤਰ,ସଂଲଗ୍ନ ଅଫିସ୍ |
ਲਗਾਵ,ସଂଲଗ୍ନ
ਅਟੈਚਮੈਂਟ ਆਰਡਰ,ସଂଲଗ୍ନ କ୍ରମ
ਪ੍ਰਾਪਤੀ,ତଥ୍ୟ
ਕੋਸ਼ਿਸ਼,ଚେଷ୍ଟା
ਹਾਜ਼ਰੀ,ଉପସ୍ଥାନ
ਹਾਜ਼ਰੀ ਰਜਿਸਟਰ,ଉପସ୍ଥାନ ପଞ୍ଜିକରଣ |
ਹਾਜ਼ਰੀ ਤਿਲਕ,ଆସେସେନ୍ ସ୍ଲିପ୍ |
ਧਿਆਨ,ଧ୍ୟାନ |
ਤਸਦੀਕ,ପ୍ରମାଣପତ୍ର
ਪ੍ਰਮਾਣਿਤ ਕਾੱਪੀ,Atotsed କପି |
ਰਵੱਈਆ,ମନୋଭାବ
