Hindi,Malayalam
योज्य समूह,സങ്കലന ഗ്രൂപ്പ്
योज्य व्युत्क्रम,വിപരീത വിപരീതം
"योज्यता, योगशीलता",കൂട്ടിച്ചേർക്കൽ
योज्यता,കൂട്ടിച്ചേർക്കൽ
आसन्नता आव्यूह,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
" संलग्न, निकटवर्ती , आसन्न","തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള"
आसन्न कोण,അടുത്തുള്ള കോൺ
आसन्न शीर्ष,തൊട്ടടുത്തുള്ള ശീർഷകം
सहबद्‌ध करना,സഹകരിക്കാൻ
"संलग्न संलग्नीत,",ഘടിപ്പിച്ച വലയം
सहखंडज सारणिक,പൊതുവായ ഡിറ്റർമിനന്റ്
संलग्न अवकल समीकरण,ഡിഫറൻഷ്യൽ സമവാക്യം ചേർത്തു
संलग्न समीकरण,ഘടിപ്പിച്ച സമവാക്യം
सहखंडज आव्यूह,ഏകീകൃത മാട്രിക്സ്
आव्यूह सहखंडज,മാട്രിക്സ് കോവേരിയൻസ്
सहखंडज आव्यूह,ഏകീകൃത മാട്രിക്സ്
ग्राह्य निर्णय फलन,സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം
ग्राह्य परिकल्पना,സ്വീകാര്യമായ സിദ്ധാന്തം
वायुगतिक बल,എയറോഡൈനാമിക് ശക്തി
वायु गतिकी,എയറോഡൈനാമിക്സ്
सजातीय ज्यामिति,ഏകതാനമായ ജ്യാമിതി
सजातीय प्रतिचित्रण,ഏകതാനമായ മാപ്പിംഗ്
सजातीय रूपांतरण,ഏകതാനമായ പരിവർത്തനം
समुच्चयी चर,മൊത്തം വേരിയബിൾ
" बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया","ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം"
"बीजतः संवृत, बीजतः","സീഡി അടഞ്ഞ, വിത്ത്"
बीजीय समीकरण,ബീജഗണിത സമവാക്യം
बीजीय व्यंजक,ബീജഗണിത പദപ്രയോഗം
बीजीय समघात,ബീജഗണിത ഏകത
बीजीय फलन,ബീജഗണിത പ്രവർത്തനം
बीजीय ज्यामिति,ബീജഗണിത ജ്യാമിതി
बीजीय बहुकता,ബീജഗണിത ബഹുത്വം
बीजीय निकाय,ബീജഗണിത വ്യവസ്ഥ
सर्व-पूर्णांक समस्या,എല്ലാ-പൂർണ്ണസംഖ്യാ പ്രശ്നം
"नियतन समस्या वाटपप्रश्न,",അസൈൻമെന്റ് പ്രശ്നം വാട്ട് ചോദ്യം
अक्षरात्मक संकेत पद्‌धति,അക്ഷരമാലാ ക്രമം
अक्षरात्मक संप्रतीक,അക്ഷരമാലാക്രമം
एकांतर कोण,ഇതര കോണുകൾ
"एकांतर समघात प्रत्यावर्ती रूप,",ഇതര ഏകതാനമായ ഇതര രൂപം
एकांतर समूह,ഇതര ഗ്രൂപ്പ്
एकांतर आव्यूह,ഇതര മാട്രിക്സ്
एकांतर श्रेणी,ഇതര പരമ്പര
वैकल्पिक परिकल्पना,ഇതര സിദ്ധാന്തം
वैकल्पिक इष्टमत,ബദൽ ഒപ്റ്റിമം
वैकल्पिक परिणाम,ഇതര ഫലം
अनुरूप-अंकीय परिवर्तक,അനലോഗ് അക്ക കൺവെർട്ടർ
"अनुरूप कम्प्यूटर,",അനലോഗ് കമ്പ്യൂട്ടർ
विश्लेषण,വിശകലനം
सहप्रसरण-विश्लेषण,സഹവർത്തിത്വ വിശകലനം
गणन-आंकड़ों का विश्लेषण,എണ്ണൽ-വിവര വിശകലനം
प्रसरण-विश्लेषण,വ്യതിയാന വിശകലനം
विश्लेषिक ज्यामिति,അനലിറ്റിക്കൽ ജ്യാമിതി
विश्लेषिक फलन,വിശകലന പ്രവർത്തനം
कोण,കോൺ
स्पर्श-कोण,ടാൻജന്റ് കോൺ
विक्षेप-कोण,വ്യതിചലന കോൺ
अवनमन-कोण,വിഷാദം ആംഗിൾ
विचलन-कोण,വ്യതിയാനം കോൺ
विवर्तन-कोण,ഡിഫ്രാക്ഷൻ ആംഗിൾ
उन्नयन-कोण,എലവേഷൻ കോൺ
आपतन-कोण,സംഭവത്തിന്റെ കോൺ
प्रक्षेप-कोण,പ്രൊജക്ഷൻ കോൺ
परावर्तन-कोण,പ്രതിഫലനത്തിന്റെ കോൺ
अपवर्तन-कोण,അപവർത്തന കോൺ
घूर्णन-कोण,റൊട്ടേഷൻ കോൺ
पूर्ण परावर्तन-कोण,പ്രതിഫലനത്തിന്റെ സമ്പൂർണ്ണ കോൺ
कोणीय त्वरण,കോണീയ ത്വരണം
कोणीय गति,കോണീയ പ്രവേഗം
कोणीय चाल,കോണീയ വേഗത
कोणीय वेग,കോണീയ പ്രവേഗം
वलयिका,മോതിര വിരൽ
उत्तर,ഉത്തരം
प्रति-अवकलज,കൌണ്ടർ ഡെറിവേറ്റീവ്
प्रतिसममित फलन,ഐസോമെട്രിക് ഫംഗ്ഷൻ
"आच्छाद्य , अनु प्रयोज्य, लागू","കവർ ചെയ്യാവുന്ന, ബാധകമായ, ബാധകമായ"
"अनुप्रयोग उपयोजन,",അപേക്ഷ അപേക്ഷ
अनुप्रयुक्त गतिशील प्रोग्रामन,പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്
अनुप्रयुक्त ज्यामिति,പ്രയോഗിച്ച ജ്യാമിതി
अनुप्रयुक्त गणित,പ്രയോഗിച്ച ഗണിതശാസ്ത്രം
अनुप्रयुक्त सांख्यिकी,പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ
"सन्निकटतः, लगभग","ഏകദേശം, ഏകദേശം"
सन्निकटतः संतत फलन,ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം
"स्थूल विधि, सन्निकट विधि","മാക്രോ രീതി, ഏകദേശ രീതി"
सन्निकट हल,ഏകദേശ പരിഹാരം
सन्निकटन-समस्या,ഏകദേശ പ്രശ്നം
सन्निकटन-गुणधर्म,ഏകദേശ സ്വത്ത്
अभिक्षमता-परीक्षावली,അഭിരുചി പരീക്ഷ
आरगाँ आरेख,ആർഗോൺ ഡയഗ്രം
स्वेच्छगहीतृ,സ്വമേധയാ
"स्वेच्छ, यादृच्छिक","ക്രമരഹിതമായ, ക്രമരഹിതമായ"
स्वेच्छ अचर,ഏകപക്ഷീയമായ സ്ഥിരാങ്കം
स्वेच्छ अवयव,സ്വതന്ത്ര ഘടകം
स्वेच्छ बिन्दु,ഏകപക്ഷീയമായ പോയിന്റ്
आर्किमीडी नियम,ആർക്കിമിഡീസിന്റെ നിയമം
आर्किमीडीज़ का नियम,ആർക്കിമിഡീസിന്റെ നിയമം
"चाप-दैर्घ्य, चाप-लम्बाई","കമാനം നീളം, കമാനം നീളം"
वत्तृ चाप,സർക്കിൾ ആർക്ക്
प्रतिलोम ज्या बंटन,വിപരീത സൈൻ വിതരണം
प्रतिलोम ज्या रूपांतरण,വിപരീത സൈൻ പരിവർത്തനം
" क्षेत्र , क्षेत्रफल","പ്രദേശം, പ്രദേശം"
क्षेत्रीय विन्यास,പ്രാദേശിക കോൺഫിഗറേഷൻ
सम्मिश्र संख्या का कोणांक,ഒരു സങ്കീർണ്ണ സംഖ്യയുടെ കോൺ
समांतर माध्य,ഗണിത അർത്ഥം
अंकीय संक्रिया,ഡിജിറ്റൽ പ്രവർത്തനം
अंकीय एकक,ഡിജിറ്റൽ യൂണിറ്റ്
"विन्यास, व्यवस्था","കോൺഫിഗറേഷൻ, ക്രമീകരണം"
"व्यूह , सरणी","അറേ, അറേ"
कृत्रिम उपग्रह,കൃത്രിമ ഉപഗ്രഹം
कृत्रिम चर,കൃത്രിമ വേരിയബിൾ
आरोहण करना,കയറാൻ
आरोही,ആരോഹണം
परिमाण का आरोही क्रम,മാഗ്നിറ്റ്യൂഡിന്റെ ആരോഹണ ക്രമം
आरोही श्रेणी,ആരോഹണ ഗ്രേഡ്
कोडांतरक भाषा,അസംബ്ലർ ഭാഷ
"नियतन समस्या नियतन प्रश्न,",അസൈൻമെന്റ് പ്രശ്നം അസൈൻമെന്റ് ചോദ്യം
साहचर्य नियम,സഹകാരി നിയമം
संकारकों का साहचर्य नियम,ഓപ്പറേറ്റർമാരുടെ അനുബന്ധ നിയമം
साहचर्य-संक्रिया,അനുബന്ധ പ്രവർത്തനം
सहचारिता,കൂട്ടുകെട്ട്
कल्पित माध्य,അർത്ഥമാക്കുന്നത്
कल्पित प्रायिकता बंटन,പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ അനുമാനിച്ചു
" कल्पना , गृहीत,","സങ്കല്പിച്ചു, സമ്മതിച്ചു"
ज्योतिष,ജ്യോതിഷം
"अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता,",ബഹിരാകാശ എഞ്ചിനീയർ ബഹിരാകാശ എഞ്ചിനീയർ
खगोलज्ञ*,ജ്യോതിശാസ്ത്രജ്ഞൻ*
खगोलीय घड़ी,ജ്യോതിശാസ്ത്ര ഘടികാരം
खगोलिकी,ജ്യോതിശാസ്ത്രം
असममित वक्र,അസമമായ വക്രം
असममिति,അസമമിതി
अनंतस्पर्शी,അസിംപ്റ്റോട്ടിക്
उपगामी,വഷളാക്കുന്നു
उपगामी दक्ष आकलक,പുരോഗമന എസ്റ്റിമേറ്റർ
उपगामी अनभिनत आकलक,റിട്രോഗ്രേഡ് ബയസ്ഡ് എസ്റ്റിമേറ്റർ
उपगामी आचरण,പിന്തിരിപ്പൻ പെരുമാറ്റം
उपगामी बंटन-फलन,ആക്രമണാത്മക വിതരണ പ്രവർത്തനം
उपगामी प्रसार,മുകളിലേക്ക് വ്യാപിച്ചു
वायु मंडलीय दाब,അന്തരീക്ഷമർദ്ദം
"यदृच्छया,",ക്രമരഹിതമായി
गुण*,സ്വത്ത്*
गुण-प्रतिचयन-क्रियाविधि,ആട്രിബ്യൂട്ട്-സാമ്പിൾ-മെക്കാനിസം
संवर्धित आव्यूह,വർദ്ധിപ്പിച്ച മാട്രിക്സ്
स्वसहसंबंध गुणांक,ഓട്ടോകോറിലേഷൻ കോഫിഫിഷ്യന്റ്
स्वसहसंबंध फलन,ഓട്ടോകോറിലേഷൻ ഫംഗ്ഷൻ
स्वसहप्रसरण,സഹവർത്തിത്വം
स्वचालित अभिकलित्र,ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടർ
स्वसमाश्रयण,സ്വയം റിഗ്രഷൻ
सहायक समीकरण,സഹായ സമവാക്യം
माध्य प्रतिदर्श संख्या वक्र (मा.प्र.सं. वक्र),ശരാശരി സാമ്പിൾ നമ്പർ വക്രം (MPC കർവ്)
" स्वयंसिद्‌ध , अभिगृहीत","സിദ്ധാന്തം, സിദ്ധാന്തം"
अभिगहीती दृष्टिकोण,axiom സമീപനം
प्रायिकता अभिगृहीत,സംഭാവ്യത സിദ്ധാന്തം
अक्ष,അച്ചുതണ്ട്
भुजाक्ष,ഭുജാക്ഷ
भू-अक्ष,ഭൂമിയുടെ അച്ചുതണ്ട്
परिक्रमण-अक्ष,ഭ്രമണ അക്ഷം
घूर्णन अक्ष,ഭ്രമണ അക്ഷം
प्रचक्रण-अक्ष,സ്പിൻ അക്ഷം
पश्च-प्रतिस्थापन,പോസ്റ്റ് മാറ്റിസ്ഥാപിക്കൽ
पश्चांतर,പിന്നീട്
पश्च अंतर्वेशन-सूत्र,തിരികെ ചേർക്കൽ സൂത്രവാക്യം
"तुला, तराजू , संतु लन , शेष, बाकी , संतुलित होना, संतुलित करना","ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്"
संतुलित अभिकल्पना,സമതുലിതമായ ഡിസൈൻ
तुलन-पत्र,ബാലൻസ് ഷീറ്റ്
प्रक्षेपास्त्र,മിസൈൽ
"प्राक्षेपिकी, अस्त्र विज्ञान","ബാലിസ്റ്റിക്സ്, ആയുധം"
" स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी , रोधिका, भित्ति , बार , रेखा, रेखिका , परीक्षण रेखा, धार","നിര, വടി, കോബ്, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ലൈൻ, ലൈൻ, ടെസ്റ്റ് ലൈൻ, എഡ്ജ്"
"आधार , क्षारक , अधम , मूल , बेस","അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം"
आधार कोण,അടിസ്ഥാന കോൺ
"लघुगणक का आधार, लॉगरिथ्म का आधार","ലോഗരിതം അടിസ്ഥാനം, ലോഗരിതം അടിസ്ഥാനം"
"आधारी, मूल,","അടിസ്ഥാന, അടിസ്ഥാന"
आधारी सुसंगत हल,അടിസ്ഥാന യോജിച്ച പരിഹാരം
आधारी हल,അടിസ്ഥാന പരിഹാരം
आधारी चर,അടിസ്ഥാന വേരിയബിൾ
आधारक,അടിസ്ഥാനം
आधार अवयव,അടിസ്ഥാന ഘടകം
आधारी आव्यूह,അടിസ്ഥാന മാട്രിക്സ്
सदिश समष्टि का आधार,വെക്റ്റർ സ്ഥലത്തിന്റെ അടിസ്ഥാനം
उपसमष्टि का आधार,ഉപജനസംഖ്യാ അടിസ്ഥാനം
बेज़-आकल,സത്യസന്ധമല്ലാത്ത
बेज़-नियम,ബെസ്-റൂൾ
बेज़-प्रमेय,bez-theorem
बर्नूली-बंटन,ബെർണൂലി-വിതരണം
बर्नूली संख्या,ബെർണൂലി നമ്പറുകൾ
बर्नूली प्रायिकता-फलन,ബെർണൂലി പ്രോബബിലിറ്റി ഫംഗ്‌ഷൻ
बर्नूली-समीकरण,ബെർണൂലി-സമവാക്യം
बेरी फलन,ബെറി ഫംഗ്ഷൻ
श्रेष्ठतम आसंजन,മികച്ച അഡീഷൻ
श्रेष्ठतम आसंजन रेखा,മികച്ച അഡീഷൻ ലൈൻ
सर्वोत्तम हल,മികച്ച പരിഹാരം
सर्वोत्तम युक्तियाँ,മികച്ച നുറുങ്ങുകൾ
बीटा बंटन,ബീറ്റ വിതരണം
"अभिनति, बायस","പക്ഷപാതം, പക്ഷപാതം"
अभिनत आकल,പക്ഷപാതപരമായ വിലയിരുത്തൽ
द्विप्रसंवादी समीकरण,ദ്വിപദ സമവാക്യം
एकैकी आच्छादन,ഒറ്റ കവർ
एकैकी आच्छादी प्रतिचित्र,ഒറ്റ കവർ മാപ്പ്
एकैकी आच्छादी प्रतिचित्रण,ഒറ്റ കവർ മാപ്പിംഗ്
द्विएकघाती समघात,ക്വാഡ്രാറ്റിക് ക്വാഡ്രാറ്റിക്
द्विरैखिक फलन,ബിലീനിയർ ഫംഗ്ഷൻ
द्विरैखिक हर्मिटीय समघात,ബൈലീനിയർ ഹെർമിഷ്യൻ ഹോമോജെനിറ്റി
"द्वि-चर, द्वि-आधारी, द्वयी","ദ്വി-വേരിയബിൾ, ബൈനറി, ഡ്യുവൽ"
"द्वि-आधारी कोड, द्विआधारी कूट","ബൈനറി കോഡ്, ബൈനറി കോഡ്"
"द्वि-आधारी कूट दशमलव, द्वि-आधारी कोडित दशमलव","ബൈനറി കോഡ് ചെയ്ത ദശാംശം, ബൈനറി കോഡഡ് ദശാംശം"
द्वि-आधारी कूटलेखन,ബൈനറി എൻകോഡിംഗ്
द्वि-आधारी अभिकलित्र,ബൈനറി കമ്പ്യൂട്ടർ
द्वि-आधारी अंक,ബൈനറി അക്കങ്ങൾ
द्विआधारी संक्रिया,ബൈനറി പ്രവർത്തനം
द्विआधारी पद्‌धति,ബൈനറി രീതി
द्विआधारी चर,ബൈനറി വേരിയബിൾ
द्विपद गुणांक,ദ്വിപദ ഗുണകം
द्विपद बंटन,ദ്വിപദ വിതരണം
द्विपद समीकरण,ദ്വിപദ സമവാക്യം
द्विपद प्रसरण,ദ്വിപദ വ്യത്യാസം
द्विपद व्यंजक,ദ്വിപദ പദപ്രയോഗം
द्विपद यादृच्छिक चर,ബൈനോമിയൽ റാൻഡം വേരിയബിൾ
द्विपद-प्रमेय,ദ്വിപദ സിദ്ധാന്തം
"अर्धन, द्विभाजन","പകുതി, വിഭജനം"
"समद्विभाजन विधि, अर्धीकरण विधि","വിഭജന രീതി, സെമിഡിവിഷൻ രീതി"
"अर्धक, द्विभाजक",പകുതി ദ്വിമുഖം
"द्विपंक्तिक, द्विश्रेणिक","ദ്വിപദം, ദ്വിമുഖം"
"द्वयंक (द्विआधारी अंक) , अणी, बरमी , टूक","ഡ്വയങ്ക് (ബൈനറി സംഖ്യ), ആനി, ബർമീസ്, തുക്"
द्विचर द्विपद-बंटन द्विचल,ദ്വിപദ ദ്വിപദ വിതരണം ദ്വിപദം
द्विचर सहसंबंध गुणांक,ദ്വിവസ്ത്ര പരസ്പര ബന്ധ ഗുണകം
द्विचर बंटन,ദ്വിവിധ വിതരണം
द्विचर प्रसामान्य-बंटन,bivariate സാധാരണ-വിതരണം
द्विसदिश,ബിവെക്ടർ
बोल्ट्मान समीकरण,ബോൾട്ട്മാൻ സമവാക്യം
बूलीय बीजावली*,ബൂളിയൻ ബീജഗണിതം*
बोस-आइन्स्टाइन सांख्यिकी,ബോസ്-ഐൻസ്റ്റീൻ സ്ഥിതിവിവരക്കണക്കുകൾ
परिसीमा प्रतिबन्ध,പരിമിതി നിയന്ത്രണങ്ങൾ
परिसीमा स्तर,അതിർത്തി നില
परिसीमा रेखा,അതിർത്തി രേഖ
परिसीमा मान,പരിധി മൂല്യം
परिसीमा मान समस्या,അതിർത്തി മൂല്യ പ്രശ്നം
"परिबद्‌ध फलन परिबद्‌ध फल,",പരിമിതമായ പ്രവർത്തനം പരിമിതമായ ഫലം
"परिबद्‌ध मैट्रिक्स, परिबद्‌ध आव्यूह परिबद्‌ध सारणी,","ബൗണ്ടഡ് മാട്രിക്സ്, ബൗണ്ടഡ് മാട്രിക്സ്, ബൗണ്ടഡ് ടേബിൾ"
"परिबद्‌ध प्रदेश परिबद्‌ध प्रदेश,",അതിർത്തി പ്രദേശം അതിർത്തി പ്രദേശം
"परिबद्‌ध समच्चय परिबद्‌ध संच,",ബൗണ്ടഡ് സെറ്റ് ബൗണ്ടഡ് സെറ്റ്
ब्राउनी गति,ബ്രൗണി ചലനം
परिकलन करना,കണക്കാക്കാൻ
परिकलन,കണക്കുകൂട്ടല്
"परिकलन-यंत्र, परिकलित्र","കാൽക്കുലേറ്റർ, കാൽക്കുലേറ്റർ"
परिकलन*,കണക്കുകൂട്ടല്*
परिकलनात्मक क्रिया विधि,കമ്പ്യൂട്ടേഷണൽ പ്രവർത്തന രീതി
" परिकलित्र , परिकलक","കാൽക്കുലേറ്റർ, കാൽക്കുലേറ്റർ"
"कलन, कैलकुलस","കാൽക്കുലസ്, കാൽക്കുലസ്"
विचरण-कलन,വേരിയൻസ് കാൽക്കുലസ്
कैलोरी,കലോറികൾ
निरसन नियम,ഭരണം റദ്ദാക്കുക
विहित समीकरण,കാനോനിക്കൽ സമവാക്യം
विहित रूप,കാനോനിക്കൽ രൂപം
"विहित मैट्रिक्स, के नानिकल मैट्रिक्स","കാനോനിക്കൽ മാട്രിക്സ്, കെ കാനോനിക്കൽ മാട്രിക്സ്"
कैन्टर समुच्चय,കാന്റർ സെറ്റ്
कैन्टर त्रिआधारी समुच्चय,കാന്റർ ത്രികോണ സെറ്റ്
परिबंधित परिवहन समस्या,പരിമിതമായ ഗതാഗത പ്രശ്നം
क्षमता,കഴിവ്
केशिका-बल,കാപ്പിലറി ബലം
"गणन संख्या, कार्डिनल संख्या","എണ്ണം നമ്പർ, കാർഡിനൽ നമ്പർ"
कार्तीय अक्ष,കാർട്ടിസിയൻ അക്ഷം
कार्तीय निर्देशांक,കാർട്ടീഷ്യൻ കോർഡിനേറ്റുകൾ
कार्तीय गुणन,കാർട്ടീഷ്യൻ ഉൽപ്പന്നം
समुच्चयों का कार्तीय गुणन,സെറ്റുകളുടെ കാർട്ടീഷ്യൻ ഗുണനം
"केस अध्ययन, वस्तुस्थिति अध्ययन","കേസ് പഠനം, കേസ് പഠനം"
विपत्तिपूर्ण उच्चावचन,ആപത്കരമായ പ്രസംഗം
कैटिनरी,കാറ്ററി
कौशी बंटन,കോച്ചി വിതരണം
कौशी सूत्र,കൗശിയുടെ സൂത്രം
कौशी-गूर्सा-प्रमेय,കൗശി-ഗുർസാ സിദ്ധാന്തം
कौशी-रीमान-प्रतिबंध,കൗശി-റീമാൻ-ബാൻ
कौशी अनुक्रम,Cauchy ക്രമം
कौशी समाकल,കൗശി അവിഭാജ്യ
कौशी मुख्य-मान,കൗശി പ്രധാന മൂല്യം
कौशी अवशेष प्रमेय,കൗച്ചി ശേഷിക്കുന്ന സിദ്ധാന്തം
कैले-हैमिल्टन-प्रमेय,കാൾ-ഹാമിൽട്ടൺ-സിദ്ധാന്തം
"खपिंड, खगोलीय पिंड",ആകാശ ശരീരം
खगोलीय माप,ജ്യോതിശാസ്ത്രപരമായ അളവ്
खगोलीय यांत्रिकी,ആകാശ മെക്കാനിക്സ്
खगोलीय पिंड,ആകാശ ശരീരം
कोशिका बारंबारता,സെൽ ആവൃത്തി
"गणना , जनगणना","സെൻസസ്, സെൻസസ്"
शततमक,ശതമാനം
सेन्टीमीटर,സെന്റീമീറ്റർ
सेन्टीमीटर-ग्राम-सेकंड पद्‌धति,സെന്റീമീറ്റർ-ഗ്രാം-രണ്ടാം രീതി
"केन्द्रीय , सकेन्द्र","കേന്ദ്ര, കേന്ദ്രീകൃത"
केन्द्रीय अक्ष,കേന്ദ്ര അക്ഷം
केन्द्रीय अंतर,കേന്ദ്ര വിടവ്
केन्द्रीय अंतर सूत्र,കേന്ദ്ര വ്യത്യാസ ഫോർമുല
केन्द्रीय अंतर सारणी,കേന്ദ്ര ഡിഫറൻഷ്യൽ പട്ടിക
केन्द्रीय सीमा प्रमेय,കേന്ദ്ര പരിധി സിദ്ധാന്തം
केन्द्रीय आघूर्ण,കേന്ദ്ര നിമിഷം
केन्द्रीय संसाधन एकक,കേന്ദ്ര റിസോഴ്സ് യൂണിറ്റ്
केन्द्रीय प्रवतिृ,കേന്ദ്ര സഹജാവബോധം
केन्द्र*,കേന്ദ്രം*
गुरुत्व-केन्द्र,ഗുരുത്വാകർഷണ കേന്ദ്രം
समूह-केन्द्र,ഗ്രൂപ്പ് കേന്ദ്രം
संहति-केन्द्र,ബഹുജന കേന്ദ്രം
सममिति-केन्द्र,സമമിതിയുടെ കേന്ദ്രം
अपकेन्द्री बल,അപകേന്ദ്ര ബലം
अभिकेन्द्र-बल,അപകേന്ദ്രബലം
"केन्द्रक मध्यगासंपात,",സെൻട്രിപെറ്റൽ മെറിഡിയൻ
निश्चितता,ഉറപ്പ്
c.g.s.पद्‌धति,cgs രീതി
c.g.s.मात्रक,cgs യൂണിറ്റ്
अवकलन का शृंखला नियम,വ്യത്യാസത്തിന്റെ ശൃംഖല
संयोग हेतु,ആകസ്മികമായി
सांयोगिक चाल,ക്രമരഹിതമായ നീക്കം
अक्ष-परिवर्तन,അച്ചുതണ്ട് ഷിഫ്റ്റ്
"आधार परिवर्तन पायाधार-बदल,",അടിസ്ഥാന മാറ്റം പേയാധാര് മാറ്റം
क्रम परिवर्तन,ക്രമമാറ്റം
अभिलक्षणिक गुणांक,സ്വഭാവ ഗുണകം
अभिलक्षणिक सारणिक,സ്വഭാവ നിർണ്ണയം
अभिलक्षण-समीकरण,സ്വഭാവ സമവാക്യം
"अभिलक्षण-फलन, कैरेक्टेरिस्टिक फलन","സ്വഭാവ പ്രവർത്തനം, സ്വഭാവ പ്രവർത്തനം"
लघुगणक का पूर्णांश,ലോഗരിതം പൂർണ്ണസംഖ്യ
"अभिलक्षणिक बहुपद,",സ്വഭാവ ബഹുപദം
अभिलक्षणिक मान,സ്വഭാവ മൂല്യം
अभिलक्षणिक सदिश,സ്വഭാവ വെക്റ്റർ
संप्रतीक समुदाय,സ്വഭാവ സമൂഹം
"चार्ट, संचित्र तक्ता,","ചാർട്ടുകൾ, ചാർട്ടുകൾ"
काई-वर्ग बंटन,ചി-സ്ക്വയർ വിതരണം
काई-वर्गं सूत्र,ചി-സ്ക്വയർ ഫോർമുല
काई-वर्ग परीक्षण,ചി-സ്ക്വയർ ടെസ്റ്റ്
जीवा*,കോർഡ്*
जीवा-द्विभाजन-विधि,കോർഡ് വിഭജന രീതി
बीजलिखित संदेश,എഴുതിയ സന്ദേശം
"शून्य, सिफर","പൂജ്യം, സൈഫർ"
वृत्त*,വൃത്തം*
अभिसरण वत्तृ,ഒത്തുചേരൽ വൃത്തം
परिपथ आव्यूह,സർക്യൂട്ട് മാട്രിക്സ്
"वृत्ताकार, वर्तुल,","വൃത്താകൃതിയിലുള്ള, വൃത്താകൃതിയിലുള്ള"
वर्तुल अनंतस्पर्शी,വൃത്താകൃതിയിലുള്ള അസിംപ്റ്റോട്ടുകൾ
वृत्तीय कंडुलिनी,വൃത്താകൃതിയിലുള്ള ചാലകം
वर्तुल गति,വൃത്താകൃതിയിലുള്ള ചലനം
