Bengali,Telugu
আভিজাত্য,నీలం రక్తం
নীল বই,నీలి పుస్తకం
নীল পটি,నీలం రంగు రిబ్బన్
নীল পটি,నీలం రంగు రిబ్బన్
ব্লুজ (=রয়্যাল হর্স গার্ড),బ్లూస్ (=రాయల్ హార్స్ గార్డ్స్)
নীল শার্ট,నీలం చొక్కా
ব্লু ওয়াটার স্কুল,బ్లూ వాటర్ స్కూల్
নিয়ন্ত্রণ বোর্ড,బోర్డ్ ఆఫ్ కంట్రోల్
শরীরবর্ম,శరీర కవచం
বোয়ার,బోయర్
লুঠ,దోపిడి
বরো,బరో
বুলিউটেরিয়ন,బౌల్యూటేరియన్
বোরবন,బోర్బన్
বক্সার বিদ্রোহ,బాక్సర్ తిరుగుబాటు
বন্ধনী,బ్రేస్
ব্রাসার্ড,బ్రాస్సార్డ్
ব্রাসার্ড,బ్రాస్సార్డ్
রুটি উপনিবেশ,బ్రెడ్ కాలనీలు
ব্রেস্ট প্লেট,బ్రెస్ట్ ప్లేట్
স্তনের কাজ,రొమ్ము పని
ব্রেটওয়াল্ডা,బ్రెట్వాల్డా
ব্রিগ্যান্ড,బ్రిగాండ్
ব্রিগ্যান্ডেজ,బ్రిగేండేజ్
ব্রিটিশ কমনওয়েলথ অফ নেশনস,బ్రిటిష్ కామన్వెల్త్ ఆఫ్ నేషన్స్
ব্রাউন শার্ট (=নাৎসি),బ్రౌన్ షర్ట్స్ (=నాజీలు)
ব্রাসেলস চুক্তি (চুক্তি) সংস্থা (=পশ্চিম ইউরোপীয় ইউনিয়ন),బ్రస్సెల్స్ ట్రీటీ (పాక్ట్) సంస్థ (=వెస్ట్రన్ యూరోపియన్ యూనియన్)
বাফ,యెదురు
বাফ,యెదురు
বাফ-কোট,బఫ్-కోటు
বাফস,బఫ్స్
বুলে (= পরিষদ),బులే (=మండలి)
বার্গেজ,బర్గేజ్
বার্গেস,బర్గెస్
বাইজেন্টাইন,బైజాంటైన్
বাইজেন্টাইন গির্জা,బైజాంటైన్ చర్చి
বাইজেন্টাইন সাম্রাজ্য,బైజాంటైన్ సామ్రాజ్యం
বাইজেন্টাইন যুগ,బైజాంటైన్ యుగం
বাইজেন্টাইন ইতিহাসবিদ,బైజాంటైన్ చరిత్రకారులు
ক্যাবল,కాబాల్
সিজারিজম,సీజరిజం
খলিফা,ఖలీఫ్
ক্যালিগ্রাফার,కాలిగ్రాఫర్
ক্যালিগ্রাফিস্ট,కాలిగ్రాఫిస్ట్
ক্যালিগ্রাফি,కాలిగ్రఫీ
ক্যালট্রপ,కాల్ట్రాప్
বন্ধুত্ব,సాహచర్యం
ক্যামারিলা,కమరిల్లా
ক্যামারিলা,కమరిల్లా
ক্যামেলাউকাম,కామెలాకమ్
ছদ্মবেশ,మభ్యపెట్టడం
প্রচারণা,ప్రచారం
শিবিরের অনুসারী,క్యాంపు అనుచరుడు
ক্যাম্পো সান্টো,కాంపో శాంటో
ক্যাম্পাস মার্টিয়াস,క్యాంపస్ మార్టియస్
ক্যানেফোরা,కనెఫోరా
ক্যাঙ্গু,కంగు
কামান,ఫిరంగి
কামানের খাদ্যরুপে পরিগণিত মানুষ,ఫిరంగి మేత
ক্যানন,కానన్
ক্যানন আইন,కానన్ చట్టం
ক্যানোপাস ডিক্রি,కానోపస్ డిక్రీ
ক্যান্টিং অস্ত্র,ఆయుధాలు పట్టుకోవడం
বন্দী,బందీ
বন্দী,కాప్టర్
মৌলিক,కార్డినల్
কার্ল,కార్ల్
ক্যারোলিংজিয়ান রাজবংশ,కరోలింగియన్ రాజవంశం
কার্থুসিয়ান সম্প্রদায়,కార్తుసియన్ శాఖ
কার্টোসা,కార్టోసా
কাস্টেলীয়,కాస్టేలియన్
কাস্টেলীয়,కాస్టేలియన్
বর্ণপ্রথা,కుల వ్యవస్థ
দুর্গ,కోట
দুর্গ,కోట
দুর্গ শহর,కోట పట్టణం
কাস্ত্রা,కాస్ట్రా
কাস্ত্রা,కాస్ట్రా
ক্যাথেড্রা,కేథడ్రా
ক্যাথিড্রাল,కేథడ్రల్
ক্যাটো স্ট্রিট ষড়যন্ত্র,కాటో స్ట్రీట్ కుట్ర
কাউডিলো,కౌడిల్లో
অশ্বারোহী,కావలీర్
অশ্বারোহী,కావలీర్
অশ্বারোহী সংসদ,కావలీర్ పార్లమెంట్
আদুল্লামের গুহা,అదుల్లాం గుహ
গুহাচিত্র,గుహ పెయింటింగ్
গুহাচিত্র,గుహ పెయింటింగ్
সেন্টুমভির,సెంటంవిర్
সেঞ্চুরিয়ান,సెంచూరియన్
সেঞ্চুরি,సెంచరీ
চেইন আর্মার (= চেইন মেইল),చైన్ ఆర్మర్ (=చైన్ మెయిల్)
চ্যানট্রি,చాంట్రీ
চ্যানট্রি,చాంట్రీ
চ্যাপ বই,చాప్ పుస్తకం
চ্যাপলিন,చాప్లిన్
অধ্যায়,అధ్యాయం
দুর্ঘটনার অধ্যায়,ప్రమాదాల అధ్యాయం
চার্জ,ఆరోపణ
চার্জ ডি অ্যাফেয়ার্স,ఛార్జ్ డి&#39;ఎఫైర్స్
চার্জ বিভাজন,ఛార్జ్ విడిపోవడం
চার্জার,ఛార్జర్
রথ,రథము
সারথি,రథసారధి
সারথি,రథసారధి
সারথি,రథసారధి
দাতব্য রান্নাঘর,ఛారిటీ వంటగది
সনদ,చార్టర్
চার্টিস্ট আন্দোলন (=চার্টিজম),చార్టిస్ట్ ఉద్యమం (=చార్టిజం)
চার্টোফাইলাসিয়াম,చార్టోఫిలాసియం
Chateau,చాటౌ
চেক পোস্ট,చెక్ పోస్ట్
রাসায়নিক যুদ্ধ,రసాయన యుద్ధం
চেস্টার,చెస్టర్
প্রধান,చీఫ్
প্রধান,అధిపతి
প্রধান,అధిపతి
প্রধান,అధిపతి
শিফন,షిఫాన్
বীরত্ব,శూరత్వం
নির্বাচিত মানুষ,ఎంచుకున్న వ్యక్తులు
ক্রিসমোগ্রাফিয়ন,క్రిస్మోగ్రఫీ
খ্রিস্টধর্ম,క్రైస్తవమత సామ్రాజ్యం
খ্রিস্টীয় যুগ,క్రైస్తవ యుగం
খ্রিস্টান সমাজতন্ত্র,క్రిస్టియన్ సోషలిజం
ক্রনিকল,క్రానికల్
ক্রনিকলার,క్రానికల్
Chryse Chersonese,Chryse Chersonese
সিমেলিয়াম,సిమిలియం
সিনকুয়েসেন্টো স্টাইল,సింక్వెసెంటో స్టైల్
পরিক্রমা,ప్రదక్షిణ
সিস্টারসিয়ান সন্ন্যাসী,సిస్టెర్సియన్ సన్యాసి
সিটাডেল,కోట
উদ্ধৃতি,అనులేఖనం
উদ্ধৃতি,అనులేఖనం
আইন অমান্য,శాసన ఉల్లంఘన
গৃহযুদ্ধ,పౌర యుద్ధం
সিভিস রোমানাস,సివిస్ రోమనస్
শাস্ত্রীয় বয়স,సాంప్రదాయ వయస్సు
ক্লেফ্ট (=ক্লেফ্ট),క్లెఫ్ట్ (=క్లెఫ్ట్)
কেরানিবাদ,మతాధికారం
ক্লারাচ,క్లర్చ్
ক্লুনিয়াক আন্দোলন,క్లినియాక్ ఉద్యమం
কোট বর্ম,కోటు కవచం
অস্ত্রের কোট,కోట్ ఆఫ్ ఆర్మ్స్
অস্ত্রের কোট,కోట్ ఆఫ్ ఆర్మ్స్
অস্ত্রের কোট,కోట్ ఆఫ్ ఆర్మ్స్
ডাকের কোট,కోట్ ఆఫ్ మెయిల్
সমদল,కోహోర్ట్
কমিটিয়া,కమిటియా
Comitia Centuriata,కమిటియా సెంచురియాటా
কমিটিয়া কুরিয়াটা,కమిటియా క్యూరియాటా
Comitia Tributa,కమిటియా ట్రిబ్యూటా
স্মারক খিলান,స్మారక వంపు
স্মারক মুদ্রা,స్మారక నాణెం
স্মারক সীলমোহর,స్మారక ముద్ర
সাধারণ ক্ষেত্র,సాధారణ క్షేత్రం
কমুনার্ড,కమ్యూనార్డ్
কনকর্ড্যাট,కాంకోర్డాట్
কনকর্ড্যাট,కాంకోర్డాట్
কনডোটিয়ের,కండోటియర్
নিশ্চিতকরণ Cartarum,నిర్ధారణ కార్టరమ్
দ্বন্দ্ব,సంఘర్షణ
ধর্মসভা,సభ
বিজয়ী রাষ্ট্র,రాష్ట్రాన్ని జయించడం
বিজয়ী,విజేత
বিজয়ী,విజేత
কনসিলিয়াম,కన్సిలియం
কনসিস্টরি,క్రమబద్ధమైన
ষড়যন্ত্র,కుట్ర
ষড়যন্ত্র,కుట్ర
কনস্যুলেট,కాన్సులేట్
কনসুলেশন বই,సలహా పుస్తకం
মহাদেশীয় ব্যবস্থা,ఖండాంతర వ్యవస్థ
কনভেনশন সংসদ,కన్వెన్షన్ పార్లమెంట్
কপারহেডস (=শান্তি গণতন্ত্রী),కాపర్ హెడ్స్ (=శాంతి ప్రజాస్వామ్యవాదులు)
কপিহোল্ড,కాపీహోల్డ్
কর্ডনিং,కార్డనింగ్
করোনা,కరోనా
রাজ্যাভিষেক,పట్టాభిషేకం
রাজ্যাভিষেক পাথর,పట్టాభిషేక రాయి
কর্পাস,కార్పస్
কর্সেয়ার,కోర్సెయిర్
কর্সেয়ার,కోర్సెయిర్
কাঁচুলি (= কর্সেলেট),కార్సెట్ (=కోర్సెలెట్)
কর্টেস,కోర్టెస్
কোটার (=কোটিয়ার),కోటార్ (=కోటియర్)
কোটার (=কোটিয়ার),కోటార్ (=కోటియర్)
কাউন্ট প্যালাটিনেট,కౌంట్ పాలటినేట్
দেশের বাড়ি,పూరిల్లు
কাউন্টি,కౌంటీ
কাউন্টি বরো,కౌంటీ బరో
কাউন্টি আদালত,కౌంటీ కోర్టులు
কাউন্টি প্যালাটাইন,కౌంటీ పాలటైన్
আদালত,కోర్టు
আদালত,కోర్టు
আদালতের সার্কুলার,కోర్టు సర్క్యులర్
আদালতের শিষ্টাচার,కోర్టు మర్యాదలు
দরবারী,సభికుడు
ক্যাসেশন আদালত,కోర్ట్ ఆఫ్ కాసేషన్
কোর্ট অফ ডিরেক্টরস (EIC),కోర్ట్ ఆఫ్ డైరెక్టర్స్ (EIC)
মালিকদের আদালত,యాజమాన్యాల న్యాయస్థానం
দরবারের কবি,ఆస్థాన కవి
চুক্তিবদ্ধ ক্যামেরোনিয়ান,ఒప్పందం చేసుకున్న కామెరోనియన్లు
মুকুট,కిరీటం
মুকুট,కిరీటం
মুকুট,కిరీటం
মুকুট জমি,కిరీటం భూమి
মুকুট জমি,కిరీటం భూమి
ক্রাউন প্রিন্স,క్రౌన్ ప్రిన్స్
ক্রুসেড,క్రూసేడ్
ক্রুসেডার,క్రూసేడర్
ক্রিপ্টোগ্রাম,క్రిప్టోగ్రామ్
কুইরাস,క్యూరాస్
কুইরাসিয়ার,క్యూరాసియర్
কাল্ট দেবতা,కల్ట్ దేవత
কুরিয়া,క్యూరియా
কুরিয়া,క్యూరియా
জারবাদ,జారిజం
অন্ধকার মহাদেশ,చీకటి ఖండం
বিচারের দিন,తీర్పు రోజు
বিচারের দিন,తీర్పు రోజు
যাজক,డీన్
দশক,దశాబ్దం
ডেনারিয়াস,డెనారియస్
ক্ষমতাচ্যুত রাজা,పదవీచ్యుతుడైన చక్రవర్తి
নষ্ট করা,పాడుచేయు
বিলুপ্তি,చెడిపోవడం
ডিথ্রোন,సింహాసనాన్ని తొలగించు
ডায়ডেম,డయాడెమ్
ডায়ডেম,డయాడెమ్
ডায়ডেম,డయాడెమ్
ডায়াসিয়া,డయాసియా
ডিকাস্টেরিয়াম,డికాస్టీరియం
ডিলুভিয়ালিস্ট,డైలువియలిస్ట్
ডায়োসিস,డియోసెస్
ডায়োসিস,డియోసెస్
নির্দেশিকা (=নির্দেশনা),డైరెక్టరీ (=డైరెక్టరీ)
নির্দেশিকা (=নির্দেশনা),డైరెక్టరీ (=డైరెక్టరీ)
দিরহাম,దిర్హమ్
অবিশ্বাসী,నమ్మకద్రోహం
অবিশ্বাসী,నమ్మకద్రోహం
ভুলের মতবাদ,లోపము యొక్క సిద్ధాంతము
দলিল,పత్రం
দালিলিক প্রমাণ,డాక్యుమెంటరీ సాక్ష్యం
গম্বুজের বই,డోమ్స్‌డే బుక్
কনস্টানটাইনের দান,కాన్స్టాంటైన్ విరాళం
নিয়তি,డూమ్
ডাওগার রানী,వరవరపు రాణి
ড্রাগন,డ్రాగన్
ড্রোমেডারিয়ান,డ్రోమెడిరియన్
ড্রোমেডারি,డ్రోమెడరీ
ড্রমন্ড,డ్రోమండ్
দ্বৈত,ద్వంద్వ
দ্বৈত জোট,ద్వంద్వ కూటమి
ডুয়েল এন্টেন্টে,ద్వంద్వ ఉద్దేశం
দ্বৈত ব্যবস্থা (= দ্বৈত সরকার),ద్వంద్వ వ్యవస్థ (=ద్వంద్వ ప్రభుత్వం)
ডিউক,డ్యూక్
ডুমা,డూమా
বামন অবতার,వామన అవతారం
রাজবংশ,రాజవంశం
রাজবংশ,రాజవంశం
ঈগল,డేగ
বুড়ো মানুষ,పెద్ద మనిషి
আর্ল,ఎర్ల్
প্রাচীনত্ব,ఎర్ల్డమ్
প্রারম্ভিক গুপ্ত,తొలి గుప్తులు
প্রারম্ভিক (ঐতিহাসিক) সাইট,ప్రారంభ (చారిత్రక) సైట్లు
প্রারম্ভিক বৈদিক যুগ,ప్రారంభ వేద కాలం
ইক্লেসিয়া,ఎక్లేసియా
পুনরুদ্ধারের আদেশ,పునరుద్ధరణ శాసనం
আট ভাঁজ পথ,ఎనిమిది రెట్లు మార్గం
প্রবীণ,పెద్దలు
বয়স্ক রাষ্ট্রনায়ক (=জেনরো),పెద్ద రాజనీతిజ్ఞుడు (=జెన్రో)
হাতির ছাগু,ఏనుగు మేడ
এগারো বছরের অত্যাচার,పదకొండు సంవత్సరాల నిరంకుశత్వం
Elysae (=Elysee),ఎలిసే (=ఎలీసీ)
ঘের আন্দোলন,ఎన్‌క్లోజర్ ఉద్యమం
এনসাইক্লিক্যাল,ఎన్సైక్లికల్
বিশ্বকোষবাদী আন্দোলন,ఎన్సైక్లోపెడిస్ట్ ఉద్యమం
Entente,ఎంటెంటే
Entente cordiale,ఎంటెంటే కార్డియాల్
সিংহাসন,సింహాసనం
এনট্যুরেজ,పరివారం
এফোদ,ఎఫోడ్
ইফোর,ఎఫోర్
মহাকাব্য যুগ,పురాణ యుగం
মহাকাব্যিক নায়ক,పురాణ వీరుడు
এপিগ্রাফ,ఎపిగ్రాఫ్
এপিস্কোপ্যাসি,ఎపిస్కోపసీ
এপিস্কোপেট,ఎపిస్కోపేట్
পর্ব,ఎపిసోడ్
যুগ,యుగం
যুগ তৈরির ঘটনা,యుగాన్ని సృష్టించే సంఘటన
যুগ সৃষ্টিকারী মানুষ,యుగపురుషుడు
উপনাম,పేరుపేరు
ইকুয়েরি,ఎక్వెరీ
ইকুয়েরি,ఎక్వెరీ
অশ্বারোহী মূর্তি,గుర్రపుస్వారీ విగ్రహం
যুগ,యుగం
এরগাস্টুলাম,ఎర్గస్టులం
ইউক্যারিস্ট,యూకారిస్ట్
ধর্মপ্রচার,సువార్తవాదం
ধর্মপ্রচার আন্দোলন,సువార్త ఉద్యమం
ধর্মপ্রচারক,మత ప్రచారకుడు
Exarch,Exarch
এক্সিল্যার্ক,Exilarch
ফালাঙ্গিস্ট,ఫలాంగిస్ట్
পিতার জমি,తండ్రి భూమి
পিতার জমি,తండ్రి భూమి
ফেরিয়া,ఫెరియాయే
ফেটিশ,ఫెటిష్
সামন্ত জোত,ఫ్యూడల్ హోల్డింగ్స్
সামন্ততন্ত্র (=সামন্ততন্ত্র),ఫ్యూడలిజం (=ఫ్యూడల్ వ్యవస్థ)
সামন্ততান্ত্রিক ব্যবস্থা,భూస్వామ్య వ్యవస్థ
সামন্ত,భూస్వామ్య
ফিদেই রক্ষাকারী (=বিশ্বাসের রক্ষক),ఫిడే డిఫెన్సర్ (=డిఫెండర్ ఆఫ్ ది ఫెయిత్)
ফিফ,ఫైఫ్
ক্ষেত্র ব্যবস্থা,ఫీల్డ్ సిస్టమ్
পঞ্চদশ কর,పదిహేనవ పన్ను
ফিগার হেড,ఫిగర్ హెడ్
ফিন ডি siecle,ఫిన్ డి సైకిల్
আগুন ভক্ষক,అగ్ని తినేవాడు
