Marathi,English
वर्ग डी अॅम्प्लीफायर,Class D amplifier
एस वर्ग शरीर,Class S system
"निष्कासन, स्वच्छ",Clear
कातरणे,Clipping
कातरणे सर्किट,Clipping circuit
कॅलड,Clock
घड्याळ वारंवारता,Clock frequency
घड्याळ पल्स जनरेटर,Clock pulse generator
कदल आरएस फ्लिप फ्लॉप,Clocked RS flip-flop
बंद सर्किट दूरदर्शन,Closed circuit television
बंद लूप ऑपरेशन,Closed loop operation
बंद लूप लाभ,Closed-loop gain
पूरक मेटॅलिक सेमीकंडक्टर,CMOS (complementary MOS)
CMOS डिव्हाइस,CMOS devices
CMRR (कॉमन मोड न्यूट्रलायझेशन रेशो),CMRR (common mode rejection ratio)
CO2 लेसर,CO2 lasor
समाक्षीय केबल,Co-axial cable
कोएक्सियल कोटर,Co-axial cavity
समाक्षीय कनेक्टर,Coaxial connector
"समाक्षीय कनेक्टर, समाक्षीय कनेक्टर",Co-axial connector
समाक्षीय रेषा,Co-axial line
समाक्षीय रेषा,Co-axial line
समाक्षीय लहरी मार्ग,Co-axial wave guide
कोड बदल,Code conversion
कोड चेंजर,Code converter
"कोडेक, कोडर-डीकोडर",CoDEC
स्टिरिओ कोडिंग,Coding (stereo)
कपलिंग गुणांक,Co efficient of coupling
प्रतिबंधक शक्ती,Coercive force
सुसंगत प्रकाश,Coherent light
कुंडली,Coil
कॉइल वाइंडिंग मशीन,Coil winding machine
योगायोग सर्किट,Coincidence circuit
गरम कॅथोड ट्यूब,Cold cathode tube
कोल्ड वेल्डिंग पॉइंट,Cold solder point
"कलेक्टर, कलेक्टर",Collector
प्रवाह गोळा करणे,Collector current
संग्राहक क्षय,Collector dissipation
कलेक्टर कार्यक्षमता,Collector efficiency
समांतर लेन्स,Collimation lens
वर्ण मसुदा,Color graphics
रंग फुटणे,Colour burst
"रंग कोड, वर्ण कोड",Colour code
रंग भिन्नता सिग्नल,Colour difference signals
उतारा,Colour killer
रंग मॉनिटर,Colour monitor
वर्ण पुनरुत्पादन,Colour production
रंग संपृक्तता,Colour saturation
रंगीत वाहक वारंवारता,Colour subcarrier frequency
अॅक्रोमॅटिक सिग्नल,Colour syne signal
रंगीत दूरदर्शन,Colour television
रंगीत टेलिव्हिजन बॉडी,Colour television system
"स्तंभ स्पीकर, स्तंभीय आवाज ठेवणारा",Column speaker
"कंघी फिल्टर, कंघी फिल्टर",Comb filter
कनेक्शन सर्किट,Combinational circuit
संयोजन तर्कशास्त्र,Combinational logic
आज्ञा,Command
सामान्य बेस अॅम्प्लीफायर,Common base amplifier
सामान्य बेस कॉन्फिगरेशन,Common base configuration
सामान्य कलेक्टर अॅम्प्लीफायर,Common collector amplifier  (= emitter follower)
सामान्य कलेक्टर कॉन्फिगरेशन,Common collector configuration
सामान्य कॅपेसिटिव्ह अॅम्प्लिफायर,Common drain amplifier
सामान्य एमिटर अॅम्प्लिफायर,Common emitter amplifier
सामान्य गेट अॅम्प्लीफायर,Common gate amplifier
भूवैज्ञानिक,Common ground
सामान्य मोड सिग्नल,Common mode signal
वस्तुमान परतावा,Common return
सामान्य स्रोत अॅम्प्लीफायर,Common source amplifier
सामान्य एमिटर कॉन्फिगरेशन,Common-emitter configuration
biconverter,Commulator
संप्रेषण उपग्रह,Communication satellite
संप्रेषण प्रणाली,Communication system
समुदाय अँटेना प्रणाली,Community antenna system
कॉम्पॅक्ट स्वॅच रॉम (सीडी रॉम),Compact disc ROM (cROM)
संक्षेप भिन्नता,Companding
"कंप्रेसर, कंपेंडर",Comparador
"तुलना करणारा, तुलना करणारा",Comparator
तुलनात्मक डायोड,Comparator diode
सुसंगतता,Compatibility
भरपाई देणारा attenuator,Compensated attenuator
भरपाई देणारा पूर्वाग्रह,Compensation bias
भरपाई देणारा भार,Compensation load
प्रतिशोधात्मक पश्चात्ताप,Compensation log
नुकसानभरपाईची चौकशी,Compensation probe
संकलक,Compiler
कंपाइलर डिझाइन,Compiler design
पुरवणी,Complement
पूरक वितरण,Complementary distribution
पूरक त्रुटी,Complementary error
पूरक सममिती आउटपुट,Complementary symmetry output
पूर्ण अॅम्प्लीफायर,Complete amplifier
संमिश्र वारंवारता,Complex frequency
संमिश्र शक्ती,Complex power
पाठपुरावा,Compliance
पूरक त्रुटी कार्य,Complementary error function
पूरक लॉजिक सर्किट,Complementary logic circuit
घटक,Component
मिश्र धातु व्हिडिओ सिग्नल,Composite signal
मिश्रित प्रतिरोधक,Composition resistor
संमिश्र अर्धसंवाहक,Compound semiconductor
संक्षेप,Compression
कॉम्प्रेशन वारंवारता,Compression frequency
"कंप्रेसर, कंप्रेसर, कंप्रेसर",Compressor
संगणक सहाय्यित डिझाइन,Computer aided design
संगणक सहाय्यित उत्पादन,Computer aided manufacture (CAM)
संगणक आलेख,Computer graphics
संगणक भाषा,Computer languages
संगणक मेमरी,Computer memory
संगणक नेटवर्क,Computer network
संगणक कार्यक्रम,Computer program
संगणक व्हायरस,Computer viruses
संगणक व्हायरस,Computer virus
"एकाग्र करणारा, एकाग्र करणारा",Concentrator
प्रतिबंधात्मक शाखा,Conditional branching
प्रतिबंधात्मक उडी,Conditional jump
प्रतिबंधात्मक स्थायीता,Conditional stability
ड्रायव्हरची काच,Conducting glass
ड्रायव्हर प्लास्टिक,Conducting plastic
ड्रायव्हर पॉलिमर,Conducting polymer
वहन कोन,Conduction angle
वहन बँड,Conduction band
वहन प्रसार,Conduction diffusion
वाहकता,Conductivity
शंकू अँटेना,Cone antenna
शंकूच्या आकाराचे शिंग,Conical horn
संयुग्मित प्रतिबाधा,Conjugate impedance
स्थिर वेग रेकॉर्डर,Connection diagram
संवर्धन नियम,Conservation law
कन्सोल,Console
स्थिर वर्तमान स्रोत,Constant current source
निश्चित के-फिल्टर,Constant K-filter
स्थिर व्होल्टेज ट्रान्सफॉर्मर,Constant voltage transformer
उपभोक्ता इलेक्ट्रॉनिक्स,Consumer electronic
संपर्क करा,Contact
संपर्क उडी,Contact bounce
संपर्क क्षमता,Contact potential
संपर्क वसंत ऋतु,Contact spring
सातत्य,Continuity
सातत्य कार्य,Continuous function
सतत स्पेक्ट्रम,Continuous spectrum
सतत वेव्ह ऑसिलेटर,Continuous wave oscillator
कॉन्ट्रास्ट,Contrast (TV)
कॉन्ट्रास्ट रेशो,Contrast ratio (TV)
कंट्रोलर बस,Control bus
कंट्रोलर ग्रिड,Control grid
नियंत्रण की,Control key
नियंत्रण पॅनेल,Control panel
नियंत्रण कक्ष,Control room
नियंत्रण मार्ग,Control track
नियंत्रण युनिट,Control unit
अभिसरण,Convergence
रूपांतरण कार्यक्षमता,Conversion efficiency
रूपांतरण वेळ,Conversion time
गंज,Corrosion
कॉपी,Copiers (photocopiers)
"तांबे, तांबे",Copper
तांबे नुकसान,Copper loss
तांब्याची तार,Copper wire
सहप्रोसेसर,Coprocessor
कोर,Core
कोर नुकसान,Core loss
मूळ साहित्य,Core- materials
मंडळ विसर्जन,Corona discharge
कोस्टा-लूप,Costa's loop
गणित वारंवारता,Counter frequency
मोजणी दर मापक,Counting rate meter
कॉम्पवेल ब्रिज,Campbell bridge
जोडलेले सर्किट,Coupled circuit
कपलिंग कॅपेसिटर,Coupling capacitor
जोडणी पद्धत,Coupling methods
सहसंयोजक बंध,Covalent bond
मूळ बटण,Cradle switch
आपटी,Crash
शिखर,Crest
शिखर,Crest factor
अशांतता,Crimpling
गंभीर कोन,Critical angle
गंभीर जोडणी,Critical coupling
गंभीरपणे उदासीन,Critical damped
गंभीर वारंवारता,Critical frequency
गंभीर प्रेरणा,Critical inductance
गंभीर शर्यत,Critical race
गंभीर प्रतिकार,Critical resistance
क्रॉस असेंबलर,Cross assembler
क्रॉस कपलिंग,Cross coupling
अनुलंब चित्र,Cross hatch pattern
संक्रमण विकृती,Cross over distortion
संक्रमण मॉड्यूलेशन,Crossover modulation
असंबद्ध सिग्नल,Crosstalk
क्रॉसबार एक्सचेंज,Crossbar exchange
ट्रान्सव्हर्स फील्ड अॅम्प्लिफायर,Cross-field amplifier
क्रॉसओव्हर डिटेक्टर,Crossover detector
संक्रमण सर्किट,Crossover network
क्रिस्टल मायक्रोफोन,Crystal microphone
क्रिस्टल ऑसिलेटर,Crystal oscillator
क्युरी पॉइंट,Curei point (temperature)
प्रवाह वर्धक,Current amplifier
