Kannada,English
ಶಸ್ತ್ರಾಗಾರ (=ಶಸ್ತ್ರಾಗಾರ),Armorist (=armourist)
ರಕ್ಷಾಕವಚ (=ರಕ್ಷಾಕವಚ),Armour (=armor)
ಶಸ್ತ್ರಾಗಾರ,Armourist
ಆರ್ಯನ್,Aryan
ಆರ್ಯನ್,Aryan
ಅಸ್ಕರಿ,Askari
ನಿಯೋಜಿಸಿ,Assignat
ಅಸೈಜ್ ಮಾಡಿ,Assize
ಅಸೈಜ್ ಮಾಡಿ,Assize
ಅಸೈಜ್ ಮಾಡಿ,Assize
ಅಸೈಜ್ ಆಫ್ ಆರ್ಮ್ಸ್ ಆಕ್ಟ್,Assize of Arms Act
ಅಸೈಜ್ ಆಫ್ ಡರೇನ್ ಪ್ರಸ್ತುತಿ,Assize of Darrein Presentment
ಮೊರ್ಟ್ &#39;ಡಿ&#39; ಪೂರ್ವಜರ ಅಸೈಜ್,Assize of Mort 'D' Ancestor
ಡಿಸೈಸಿನ್ ಕಾದಂಬರಿಯ ಅಸೈಜ್,Assize of Novel Disseisin
ದೌರ್ಜನ್ಯ,Atrocity
ದಾಳಿ,Attack
ಆಲಿಕ್ ಕೌನ್ಸಿಲ್,Aulic Council
ಗೆಡೆಸ್‌ನ ಕೊಡಲಿ (=ಗೆಡೆಸ್ ಕೊಡಲಿ),Axe of the Geddess (=the Geddess axe)
ಆಕ್ಸಿಸ್ (=ದಿ ರೋಮ್-ಬರ್ಲಿನ್-ಟೋಕಿಯೊ ಆಕ್ಸಿಸ್),Axis (=The Rome-Berlin-Tokyo Axis)
ಬ್ಯಾಬಿಲೋನ್,Babylon
ಬ್ಯಾಬಿಲೋನಿಯನ್ ಸೆರೆಯಲ್ಲಿ (=ಬ್ಯಾಬಿಲೋನಿಯನ್ ಸೆರೆಯಲ್ಲಿ),Babylonian captivity (=Babylonish captivity)
ಬಚ್ಚನಾಳ ಭಕ್ತ,Bacchanal devotee
ಬಚ್ಚನಾಲಿಯಾ,Bacchanalia
ಪದವಿ,Bachelor
ಬಾಗ್ದಾದ್ ಒಪ್ಪಂದ,Baghdad Pact
ಬಾಲ್ಕನ್ ಲೀಗ್,Balkan League
ಬಾಲ್ಕನ್ ಒಪ್ಪಂದ,Balkan Pact
ಬಾಲ್ಕನ್ ಯುದ್ಧಗಳು,Balkan Wars
ಬಾಲ್ಟಿಕ್ ಒಪ್ಪಂದ,Baltic Pact
ಡಕಾಯಿತ,Bandit
ಬ್ಯಾಂಡಂಗ್ ಸಮ್ಮೇಳನ,Bandung Conference
ಬಹಿಷ್ಕಾರ,Banishment
ಬ್ಯಾನರ್,Banner
ಅನಾಗರಿಕ,Barbarian
ಬಾರ್ಬಿಕನ್,Barbican
ಬಾರ್ಡೋಲಿ ಸತ್ಯಾಗ್ರಹ,Bardoli satyagraha
ಬಾರ್ನ್ ಬರ್ನರ್ಗಳು,Barn Burners
ಬ್ಯಾರನ್,Baron
ಬ್ಯಾರನೇಜ್,Baronage
ಬರೋನ್ಸ್ ಮೇಜರ್,Barones majores
ಬ್ಯಾರನ್ಸ್ ಕಿರಿಯರು,Barones minores
ಬ್ಯಾರನೆಸ್,Baroness
ಬ್ಯಾರೊನೆಟ್,Baronet
ಬ್ಯಾರೊನೆಟೇಜ್,Baronetage
ಬ್ಯಾರೊನೆಟೇಜ್,Baronetage
ಬ್ಯಾರೊನೆಟ್ಸಿ,Baronetcy
ಬರೋನಿ,Barony
ಬ್ಯಾರಕೂನ್,Barracoon
ಬ್ಯಾರಕೂನ್,Barracoon
ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್),Barricade (=barricado)
ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್),Barricade (=barricado)
ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್),Barricade (=barricado)
ಮೂಲ ಶಿಬಿರ,Base camp
ಬೆಸಿಲಿಕಾ,Basilica
ಬೆಸಿಲಿಕಾ,Basilica
ಬಸ್ತಿಲಾ,Bastila
ಬಾಸ್ಟಿಲ್,Bastille
ಬಾಸ್ಟಿಲ್,Bastille
ಬ್ಯಾಟರಿ,Battery
ಕದನ,Battle
ಬ್ಯಾಟಲ್-ಅರೇ,Batlle-array
ಯುದ್ಧದ ಕೂಗು,Battle cry
ಬ್ಯಾಟಲ್ ಡಿನ್,Battle din
ಯುದ್ಧಭೂಮಿ,Battle field
ಯುದ್ಧ ಸ್ತೋತ್ರ,Battle hymn
ಸ್ಪರ್ಸ್ ಕದನ,Battle of the Spurs
ಬ್ಯಾಟಲ್ ಆಫ್ ದಿ ಸ್ಟ್ಯಾಂಡರ್ಡ್,Battle of the Standard
ಯುದ್ಧನೌಕೆ,Battleship
ಯುದ್ಧನೌಕೆ-ಬಲ,Battleship-strength
ಬೇಯಕ್ಸ್ ವಸ್ತ್ರ,Bayeux tapestry
ದಾರಿದೀಪ,Beacon
ದಾರಿದೀಪ ಗೋಪುರ,Beacon tower
ಬೀವರ್,Beaver
ಬೀವರ್,Beaver
ಸಮುದ್ರದ ಭಿಕ್ಷುಕರು,Beggars of the sea
ಬೆಲ್ಲಿಕೋಸ್,Bellicose
ಬೆಲ್ಲಿಕೋಸ್,Bellicose
ಬೆಲ್ಲಿಕೋಸ್,Bellicose
ಬೆಲ್ಲಿಕೋಸಿಟಿ,Bellicosity
ಬೆಲೋನಾ,Bellona
ಪ್ರಯೋಜನ,Benefice
ಧರ್ಮಗುರುಗಳ ಲಾಭ,Benefit of clergy
ಬೆನೆಲಕ್ಸ್,Benelux
ಬರ್ಲಿನ್ ತೀರ್ಪು,Berlin Decree
ಬರ್ಸರ್ಕರ್,Berserker
ಬೆಸೆಂಟ್ (=ಬೆಜಾಂಟ್),Besant (=bezant)
ಬೆತೆಲ್,Bethel
ಗ್ರಂಥಪಾಲಕ,Bibliolater
ಗ್ರಂಥಾರಾಧನೆ,Bibliolatry
ದೊಡ್ಡ ಬರ್ತಾ,Big Bertha
ಮತಾಂಧ,Bigot
ಬಿಲ್ಲೆಟಿಂಗ್,Billeting
ಅಟೈಂಡರ್ ಬಿಲ್,Bill of Attainder
ಹಕ್ಕುಗಳ ಮಸೂದೆ,Bill of Rights
ಜೀವನಚರಿತ್ರೆಕಾರ,Biographer
ಜನ್ಮ ಕಥೆಗಳು,Birth stories
ತಾತ್ಕಾಲಿಕ,Bivouac
ತಾತ್ಕಾಲಿಕ,Bivouac
ತಾತ್ಕಾಲಿಕ,Bivouac
ಬಿಜೋನಿಯಾ,Bizonia
ಕಪ್ಪು ಪಕ್ಷಿಗಳು,Black birding
ಕಪ್ಪು ಬಾವುಟ,Black flag
ಕಪ್ಪು ರಂಧ್ರ,Black Hole
ಕಪ್ಪು ರಂಧ್ರ,Black Hole
ಕಪ್ಪು ಕಾಲು (=ಹುರುಪು),Black leg (=scab)
ಕಪ್ಪು ಶರ್ಟ್,Black Shirt
ಬ್ಲೇಝೋನ್,Blazon
ಬ್ಲೇಝೋನ್,Blazon
ಪ್ರಜ್ವಲಿಸುವಿಕೆ,Blazonry
ಪ್ರಜ್ವಲಿಸುವಿಕೆ,Blazonry
ಮಿಂಚುದಾಳಿ,Blitzkrieg
ರಕ್ತರಹಿತ ಕ್ರಾಂತಿ (=ಗ್ಲೋರಿಯಸ್ ರೆವಲ್ಯೂಷನ್),Bloodless Revolution (=Glorious Revolution)
ಬ್ಲಡ್ವೈಟ್,Bloodwite
ಬ್ಲಡಿ ಮೇರಿ,Bloody Mary
ನೀಲಿ,Blue
ನೀಲಿ ರಕ್ತ,Blue blood
ನೀಲಿ ಪುಸ್ತಕ,Blue book
ನೀಲಿ ರಿಬ್ಬನ್,Blue ribbon
ನೀಲಿ ರಿಬ್ಬನ್,Blue ribbon
ಬ್ಲೂಸ್ (=ರಾಯಲ್ ಹಾರ್ಸ್ ಗಾರ್ಡ್ಸ್),Blues (=Royal Horse Guards)
ನೀಲಿ ಅಂಗಿ,Blue Shirt
ಬ್ಲೂ ವಾಟರ್ ಸ್ಕೂಲ್,Blue Water School
ನಿಯಂತ್ರಣ ಮಂಡಳಿ,Board of Control
ದೇಹದ ರಕ್ಷಾಕವಚ,Body armour
ಬೋಯರ್,Boer
ಲೂಟಿ,Booty
ಬರೋ,Borough
ಬೌಲ್ಯೂಟೇರಿಯನ್,Bouleuterion
ಬೌರ್ಬನ್,Bourbon
ಬಾಕ್ಸರ್ ದಂಗೆ,Boxer rebellion
ಬ್ರೇಸ್,Brace
ಬ್ರಾಸಾರ್ಡ್,Brassard
ಬ್ರಾಸಾರ್ಡ್,Brassard
ಬ್ರೆಡ್ ವಸಾಹತುಗಳು,Bread colonies
ಸ್ತನ ಫಲಕ,Breast Plate
ಸ್ತನ ಕೆಲಸ,Breast work
ಬ್ರೆಟ್ವಾಲ್ಡಾ,Bretwalda
ಬ್ರಿಗಾಂಡ್,Brigand
ಬ್ರಿಗಂಡೇಜ್,Brigandage
ಬ್ರಿಟಿಷ್ ಕಾಮನ್‌ವೆಲ್ತ್ ರಾಷ್ಟ್ರಗಳು,British Commonwealth of Nations
ಬ್ರೌನ್ ಶರ್ಟ್ಸ್ (=ನಾಜಿಗಳು),Brown Shirts (=The Nazis)
ಬ್ರಸೆಲ್ಸ್ ಒಪ್ಪಂದ (ಒಪ್ಪಂದ) ಸಂಸ್ಥೆ (=ಪಶ್ಚಿಮ ಯುರೋಪಿಯನ್ ಒಕ್ಕೂಟ),Brussels Treaty (Pact) organisation (=Western Europeon union)
ಬಫ್,Buff
ಬಫ್,Buff
ಬಫ್-ಕೋಟ್,Buff-coat
ಬಫ್ಸ್,Buffs
ಬುಲೆ (=ಕೌನ್ಸಿಲ್),Bule (=council)
ಬರ್ಗೇಜ್,Burgage
ಬರ್ಗೆಸ್,Burgess
ಬೈಜಾಂಟೈನ್,Byzantine
ಬೈಜಾಂಟೈನ್ ಚರ್ಚ್,Byzantine church
ಬೈಜಾಂಟೈನ್ ಸಾಮ್ರಾಜ್ಯ,Byzantine Empire
ಬೈಜಾಂಟೈನ್ ಯುಗ,Byzantine Era
ಬೈಜಾಂಟೈನ್ ಇತಿಹಾಸಕಾರರು,Byzantine historians
ಕ್ಯಾಬಲ್,Cabal
ಸೀಸರಿಸಂ,Caesarism
ಖಲೀಫ್,Caliph
ಕ್ಯಾಲಿಗ್ರಾಫರ್,Calligrapher
ಕ್ಯಾಲಿಗ್ರಾಫಿಸ್ಟ್,Calligraphist
ಕ್ಯಾಲಿಗ್ರಫಿ,Calligraphy
ಕ್ಯಾಲ್ಟ್ರೋಪ್,Caltrop
ಸೌಹಾರ್ದತೆ,Camaraderie
ಕ್ಯಾಮರಿಲ್ಲಾ,Camarilla
ಕ್ಯಾಮರಿಲ್ಲಾ,Camarilla
ಕ್ಯಾಮೆಲಾಕಮ್,Camelaucum
ಮರೆಮಾಚುವಿಕೆ,Camouflage
ಪ್ರಚಾರ,Campaign
ಶಿಬಿರದ ಅನುಯಾಯಿ,Camp follower
ಕ್ಯಾಂಪೋ ಸ್ಯಾಂಟೋ,Campo santo
ಕ್ಯಾಂಪಸ್ ಮಾರ್ಟಿಯಸ್,Campus martius
ಕ್ಯಾನೆಫೊರಾ,Canephora
ಕ್ಯಾಂಗ್ಯೂ,Cangue
ಕ್ಯಾನನೇಡ್,Cannonade
ಕ್ಯಾನನ್ ಮೇವು,Cannon fodder
ಕ್ಯಾನನ್,Canon
ಕ್ಯಾನನ್ ಕಾನೂನು,Canon law
ಕ್ಯಾನೋಪಸ್ ತೀರ್ಪು,Canopus decree
ಕ್ಯಾಂಟಿಂಗ್ ಶಸ್ತ್ರಾಸ್ತ್ರ,Canting arms
ಬಂಧಿತ,Captive
ಕ್ಯಾಪ್ಟರ್,Captor
ಕಾರ್ಡಿನಲ್,Cardinal
ಕಾರ್ಲ್,Carl
ಕ್ಯಾರೊಲಿಂಗಿಯನ್ ರಾಜವಂಶ,Carolingian dynasty
ಕಾರ್ತೂಸಿಯನ್ ಪಂಥ,Carthusian sect
ಕಾರ್ಟೊಸಾ,Cartosa
ಕ್ಯಾಸ್ಟೇಲಿಯನ್,Castelian
ಕ್ಯಾಸ್ಟೆಲಿಯನ್,Castelian
ಜಾತಿ ಪದ್ಧತಿ,Caste system
ಕೋಟೆ,Castle
ಕೋಟೆ,Castle
ಕೋಟೆಯ ಪಟ್ಟಣ,Castle town
ಕ್ಯಾಸ್ಟ್ರಾ,Castra
ಕ್ಯಾಸ್ಟ್ರಾ,Castra
ಕ್ಯಾಥೆಡ್ರಾ,Cathedra
ಕ್ಯಾಥೆಡ್ರಲ್,Cathedral
ಕ್ಯಾಟೊ ಸ್ಟ್ರೀಟ್ ಪಿತೂರಿ,Cato Street conspiracy
ಕೌಡಿಲ್ಲೊ,Caudillo
ಕ್ಯಾವಲಿಯರ್,Cavalier
ಕ್ಯಾವಲಿಯರ್,Cavalier
ಕ್ಯಾವಲಿಯರ್ ಸಂಸತ್ತು,Cavalier Parliament
ಅದುಲ್ಲಮ್ ಗುಹೆ,Cave of Adullam
ಗುಹೆ ಚಿತ್ರಕಲೆ,Cave painting
ಗುಹೆ ಚಿತ್ರಕಲೆ,Cave painting
ಸೆಂಟಮ್ವಿರ್,Centumvir
ಸೆಂಚುರಿಯನ್,Centurion
ಶತಮಾನ,Century
ಚೈನ್ ರಕ್ಷಾಕವಚ (=ಚೈನ್ ಮೇಲ್),Chain armour (=chain mail)
ಚಾಂಟ್ರಿ,Chantry
ಚಾಂಟ್ರಿ,Chantry
ಅಧ್ಯಾಯ ಪುಸ್ತಕ,Chap book
ಧರ್ಮಗುರು,Chaplain
ಅಧ್ಯಾಯ,Chapter
ಅಪಘಾತಗಳ ಅಧ್ಯಾಯ,Chapter of accidents
ಶುಲ್ಕ,Charge
ಚಾರ್ಜ್ ಡಿ&#39;ಅಫೇರ್ಸ್,Charge d'affaires
ಚಾರ್ಜ್ ವಿಭಜನೆ,Charge parting
ಚಾರ್ಜರ್,Charger
ರಥ,Chariot
ಸಾರಥಿ,Charioteer
ಸಾರಥಿ,Charioteer
ಸಾರಥಿ,Charioteer
ಚಾರಿಟಿ ಅಡಿಗೆ,Charity kitchen
ಚಾರ್ಟರ್,Charter
ಚಾರ್ಟಿಸ್ಟ್ ಮೂವ್‌ಮೆಂಟ್ (=ಚಾರ್ಟಿಸಂ),Chartist Movement (=Chartism)
ಚಾರ್ಟೋಫಿಲೇಸಿಯಮ್,Chartophylacium
ಚಟೌ,Chateau
ಚೆಕ್ ಪೋಸ್ಟ್,Check post
ರಾಸಾಯನಿಕ ಯುದ್ಧ,Chemical Warfare
ಚೆಸ್ಟರ್,Chester
ಮುಖ್ಯಸ್ಥ,Chief
ಮುಖ್ಯಸ್ಥ,Chieftain
ಮುಖ್ಯಸ್ಥ,Chieftain
ಮುಖ್ಯಸ್ಥ,Chieftain
ಚಿಫೋನ್,Chiffon
ಅಶ್ವದಳ,Chivalry
ಆಯ್ಕೆಮಾಡಿದ ಜನರು,Chosen People
ಕ್ರಿಸ್ಮೋಗ್ರಾಫಿಯನ್,Chrismographion
ಕ್ರೈಸ್ತಪ್ರಪಂಚ,Christendom
ಕ್ರಿಶ್ಚಿಯನ್ ಯುಗ,Christian era
ಕ್ರಿಶ್ಚಿಯನ್ ಸಮಾಜವಾದ,Christian Socialism
ಕ್ರಾನಿಕಲ್,Chronicle
ಕ್ರಾನಿಕಲ್,Chronicler
ಕ್ರೈಸ್ ಚೆರ್ಸೋನೀಸ್,Chryse Chersonese
ಸಿಮೆಲಿಯಮ್,Cimelium
ಸಿಂಕ್ವೆಸೆಂಟೊ ಶೈಲಿ,Cinquecento Style
ಪ್ರದಕ್ಷಿಣೆ,Circumnavigation
ಸಿಸ್ಟರ್ಸಿಯನ್ ಸನ್ಯಾಸಿ,Cistercian monk
ಸಿಟಾಡೆಲ್,Citadel
ಉಲ್ಲೇಖ,Citation
ಉಲ್ಲೇಖ,Citation
ನಾಗರಿಕ ಅಸಹಕಾರ,Civil disobedience
ಅಂತರ್ಯುದ್ಧ,Civil war
ಸಿವಿಸ್ ರೋಮನಸ್,Civis Romanus
ಶಾಸ್ತ್ರೀಯ ವಯಸ್ಸು,Classical age
ಕ್ಲೆಫ್ಟ್ (=ಕ್ಲೆಫ್ಟ್),Clepht (=klepht)
ಕ್ಲೆರಿಕಲಿಸಂ,Clericalism
ಕ್ಲರುಚ್,Cleruch
ಕ್ಲಿನಿಯಾಕ್ ಚಲನೆ,Cluniac movement
ಕೋಟ್ ರಕ್ಷಾಕವಚ,Coat armour
ಕೋಟ್ ಆಫ್ ಆರ್ಮ್ಸ್,Coat of arms
ಕೋಟ್ ಆಫ್ ಆರ್ಮ್ಸ್,Coat of arms
ಕೋಟ್ ಆಫ್ ಆರ್ಮ್ಸ್,Coat of arms
ಕೋಟ್ ಆಫ್ ಮೇಲ್,Coat of mail
ಕೋಹಾರ್ಟ್,Cohort
ಕಾಮಿಟಿಯಾ,Comitia
ಕಾಮಿಟಿಯಾ ಸೆಂಚುರಿಯಾಟಾ,Comitia Centuriata
ಕಮಿಟಿಯಾ ಕ್ಯುರಿಯಾಟಾ,Comitia Curiata
ಕಮಿಟಿಯಾ ಟ್ರಿಬುಟಾ,Comitia Tributa
ಸ್ಮರಣಾರ್ಥ ಕಮಾನು,Commemorative arch
ಸ್ಮರಣಾರ್ಥ ನಾಣ್ಯ,Commemorative coin
ಸ್ಮರಣಾರ್ಥ ಮುದ್ರೆ,Commemorative seal
ಸಾಮಾನ್ಯ ಕ್ಷೇತ್ರ,Common field
ಕಮ್ಯುನಾರ್ಡ್,Communard
ಕಾನ್ಕಾರ್ಡಾಟ್,Concordat
ಕಾನ್ಕಾರ್ಡಾಟ್,Concordat
ಕಾಂಡೋಟಿಯರ್,Condottiere
ದೃಢೀಕರಣ ಕಾರ್ಟಾರಮ್,Confirmation Cartarum
ಸಂಘರ್ಷ,Conflict
ಸಭೆ,Congregation
ರಾಜ್ಯವನ್ನು ವಶಪಡಿಸಿಕೊಳ್ಳುವುದು,Conquering state
ವಿಜಯಶಾಲಿ,Conqueror
ವಿಜಯಶಾಲಿ,Conquistador
ಕಾನ್ಸಿಲಿಯಮ್,Consilium
ಸಂಯೋಜಿತ,Consistory
ಪಿತೂರಿ,Conspiracy
ಪಿತೂರಿ,Conspiracy
ದೂತಾವಾಸ,Consulate
ಸಮಾಲೋಚನೆ ಪುಸ್ತಕ,Consulation book
ಕಾಂಟಿನೆಂಟಲ್ ಸಿಸ್ಟಮ್,Continental system
ಕನ್ವೆನ್ಷನ್ ಪಾರ್ಲಿಮೆಂಟ್,Convention Parliament
ಕಾಪರ್ ಹೆಡ್ಸ್ (=ಶಾಂತಿ ಪ್ರಜಾಪ್ರಭುತ್ವವಾದಿಗಳು),Copperheads (=peace democrats)
ಕಾಪಿಹೋಲ್ಡ್,Copyhold
ಕಾರ್ಡನಿಂಗ್,Cordoning
ಕರೋನಾ,Corona
ಪಟ್ಟಾಭಿಷೇಕ,Coronation
ಪಟ್ಟಾಭಿಷೇಕದ ಕಲ್ಲು,Coronation stone
ಕಾರ್ಪಸ್,Corpus
ಕೋರ್ಸೇರ್,Corsair
ಕೋರ್ಸೇರ್,Corsair
ಕಾರ್ಸೆಟ್ (=ಕಾರ್ಸೆಲೆಟ್),Corset (=corselet)
ಕಾರ್ಟೆಸ್,Cortes
ಕೋಟರ್ (=ಕೋಟಿಯರ್),Cottar (=cottier)
ಕೋಟರ್ (=ಕೋಟಿಯರ್),Cottar (=cottier)
ಕೌಂಟ್ ಪ್ಯಾಲಟಿನೇಟ್,Count Palatinate
ಹಳ್ಳಿ ಮನೆ,Country house
ಕೌಂಟಿ,County
ಕೌಂಟಿ ಬರೋ,County borough
ಕೌಂಟಿ ನ್ಯಾಯಾಲಯಗಳು,County courts
ಕೌಂಟಿ ಪ್ಯಾಲಟೈನ್,County palatine
ನ್ಯಾಯಾಲಯ,Court
ನ್ಯಾಯಾಲಯ,Court
ನ್ಯಾಯಾಲಯದ ಸುತ್ತೋಲೆ,Court circular
ನ್ಯಾಯಾಲಯದ ಶಿಷ್ಟಾಚಾರ,Court etiquette
ಆಸ್ಥಾನಿಕ,Courtier
ಕ್ಯಾಸೇಶನ್ ನ್ಯಾಯಾಲಯ,Court of cassation
ನಿರ್ದೇಶಕರ ನ್ಯಾಯಾಲಯ (EIC),Court of Directors (E. I. C.)
ಮಾಲೀಕರ ನ್ಯಾಯಾಲಯ,Court of Proprietors
ಆಸ್ಥಾನ ಕವಿ,Court poet
ಒಪ್ಪಂದದ ಕ್ಯಾಮರೋನಿಯನ್ನರು,Covenanted Cameronians
ಕ್ರೌನ್,Crown
ಕ್ರೌನ್,Crown
ಕ್ರೌನ್,Crown
ಕ್ರೌನ್ ಭೂಮಿ,Crown land
ಕ್ರೌನ್ ಭೂಮಿ,Crown land
ಕ್ರೌನ್ ಪ್ರಿನ್ಸ್,Crown Prince
ಧರ್ಮಯುದ್ಧ,Crusade
ಕ್ರುಸೇಡರ್,Crusader
