Telugu,Bengali
ఆక్టిన్,অ্যাক্টিন
ఆక్టిన్ లాంటి ప్రోటీన్,অ্যাক্টিনের মতো প্রোটিন
ఆక్టినోమోర్ఫిక్,অ্যাক্টিনোমর্ফিক
ఆక్టినోమైసెట్స్,অ্যাক্টিনোমাইসেটস
చర్య సామర్థ్యం,কর্ম সম্ভাব্য
సక్రియం చేయబడిన బురద,সক্রিয় কর্দম
సక్రియం చేయబడిన బురద ఫ్లోక్,সক্রিয় স্ল্যাজ ফ্লক
యాక్టివేషన్ ఎనర్జీ,অ্যাক্টিভেশন শক্তি
క్రియాశీల శోషణ,সক্রিয় শোষণ
క్రియాశీల రోగనిరోధక శక్తి,সক্রিয় অনাক্রম্যতা
క్రియాశీల రేడియేషన్,সক্রিয় বিকিরণ
క్రియాశీల సైట్,সক্রিয় সাইট
యాక్టివిన్,অ্যাক্টিভিন
అక్యూమినేట్,একুমিনেট
ఆడమియా,অ্যাডামসিয়া
అనుకూలత,অভিযোজনযোগ্যতা
అనుసరణ,অভিযোজন
కాంతి పాలనకు అనుసరణ,হালকা শাসনের সাথে অভিযোজন
నీటి కొరతకు అనుసరణ,জলের ঘাটতির সাথে অভিযোজন
అనుకూల లక్షణాలు,অভিযোজিত বৈশিষ্ট্য
అనుకూల రోగనిరోధక శక్తి,অভিযোজিত অনাক্রম্যতা
అడాప్టివ్ రేడియేషన్,অভিযোজিত বিকিরণ
అనుకూల లక్షణం,অভিযোজিত বৈশিষ্ট্য
అడాక్సియల్ ఉపరితలం,অ্যাড্যাক্সিয়াল পৃষ্ঠ
వ్యసనపరుడైన రుగ్మత,আসক্তিজনিত ব্যাধি
అడెనిన్,অ্যাডেনিন
అడెనోకార్టికోట్రోపిన్,অ্যাডেনোকোর্টিকোট্রপিন
అడెనోహైపోఫిసిస్,অ্যাডেনোহাইপোফাইসিস
అడెనోసిన్ డిఫాస్ఫేట్,অ্যাডেনোসিন ডিফোসফেট
అడెనోసిన్ డీమినేస్,অ্যাডেনোসিন ডায়ামিনেজ
అడెనోసిన్ మోనోఫాస్ఫేట్,অ্যাডেনোসিন মনোফসফেট
గ్రంధి ముడతలు,অ্যাডেনোসিন ট্রাইফোসফেট (এটিপি)
అడెనిలేట్ సైక్లేస్,অ্যাডিনলেট সাইক্লাস
అంటుకునే శక్తి,আঠালো শক্তি
అడిపేట్,Adipate
కొవ్వు పెండినవి,অ্যাডিপোকাইট (ফ্যাট সেল)
కొవ్వు కణజాలము,মেদ কলা
Adnate,অ্যাডনেট
ప్రక్కనే ఉన్న సంఘం,সংলগ্ন সম্প্রদায়
అడ్రినల్,অ্যাড্রিনাল
అడ్రినల్ గ్రంథి,অ্যাড্রিনাল গ্রন্থি
ఎడ్రినల్ గ్రంథి,অ্যাড্রেনোকোর্টিকোট্রপিক হরমোন (এসিটিএইচ)
ఎడ్రినల్ గ్రంథి యొక్క విడుదల హార్మోన్,অ্যাড্রেনোকোর্টিকোট্রপিক রিলিজিং হরমোন (ACTRH)
Adsorbent,Adsorbent
శోషణ,শোষণ
అధునాతన కార్డేట్,উন্নত কর্ডেট
ప్రయోజనకరమైన మ్యుటేషన్,সুবিধাজনক মিউটেশন
అడ్వెసిషియల్,অ্যাডভেন্টিয়াল
సాహసోపేతమైన రూట్,অ্যাডভেনটিয়াস রুট
ప్రతికూల ప్రభావం,বিরূপ প্রভাব
AEDES,এডেস
సంస్కృతి వాయువు,সংস্কৃতি বায়ুচালনা
ఏరెన్చైమా,এরিচাইমা
ఆకాశయాన,এরিয়াল
వైమానిక రూట్,বায়বীয় মূল
వైమానిక షూట్,এরিয়াল শ্যুট
ఏరోబిక్ శ్వాసక్రియ,বায়ুজীবী শ্বসন
ఏరోబిక్ శ్వాసక్రియ,বায়ুজীবী শ্বসন
సౌందర్యం,নান্দনিকতা
ఎస్టివేషన్,এ্যাস্টিভেশন
ఎస్టివేషన్,এ্যাস্টিভেশন
అనుబంధ,Afferent
అనుబంధ క్రోమాటోగ్రఫీ,অ্যাফিনিটি ক্রোমাটোগ্রাফি
బాధిత అవయవం,ক্ষতিগ্রস্থ অঙ্গ
అటవీ నిర్మూలన,Afforastation
అగామోస్పెర్మీ,আগামোস্পার্মি
అగర్,আগর
అగరోస్,আগারোজ
అగరోస్ జెల్ ఎలెట్రోఫోరేసిస్,আগারোজ জেল এ্যালেট্রোফোরেসিস
అగరోస్ పాలిమర్ జెల్,আগারোজ পলিমার জেল
అగాస్ట్,আগস্ট
కిత్తలి,আগাভা
వయస్సు పంపిణీ,বয়স বিতরণ
వయస్సు పిరమిడ్,বয়স পিরামিড
సంకలనం,আগ্রাসন
మొత్తం,সমষ্টি
ఫోలికల్ యొక్క మొత్తం,ফলিকেলের সমষ্টি
ఫోలికల్ యొక్క మొత్తం,ফলিকেলের সমষ্টি
సమూహనం,সমষ্টি
దూకుడు,আগ্রাসন
ఆందోళన వ్యవస్థ,আন্দোলনকারী সিস্টেম
అగ్నాథ,অগ্নিথা
అగౌటి,আগৌটি
అగ్రనాల్ క్లోరోప్లాస్ట్,অ্যাগ্রানাল ক্লোরোপ্লাস্ট
అగ్రన్యులర్,অ্যাগ্রানুলার
అగ్రనులోసైట్,অ্যাগ্রানুলোকাইট
వ్యవసాయం,কৃষি
అగ్రోఫారెస్ట్రీ,কৃষি
అగ్రోబాక్టీరియం మధ్యవర్తిత్వం,অ্যাগ্রোব্যাক্টেরিয়াম মধ্যস্থতা
అగ్రోబాక్టీరియం ట్యూమెఫేసియన్స్,অ্যাগ্রোব্যাক্টেরিয়াম টিউফেসিয়েনস
వ్యవసాయ రసాయన,এগ্রোকেমিক্যাল
వ్యవసాయ రసాయన,এগ্রোকেমিক্যাল
అగ్రోక్లిమాటిక్ జోన్,অ্যাগ্রোক্লিম্যাটিক জোন
వ్యవసాయ లక్షణం,কৃষি বৈশিষ্ট্য
వ్యవసాయ శాస్త్రం,কৃষি
ఎయిడ్స్,এইডস
గాలి మూత్రాశయం,বায়ুকোষ
వాతానుకూలీన యంత్రము,এয়ার কন্ডিশনার
గాలి మార్గం,বাতাস চলাচলের স্থান বা গলি
వాయుకాలుష్యం,বায়ু দূষণ
ఎయిర్ శాక్,এয়ার স্যাক
ఎయిర్ వాక్యూల్,এয়ার ভ্যাকুওল
గాలి-శ్వాస,বায়ু শ্বাস প্রশ্বাস
అలైన్,আলাইন
అలారి కండరం,অ্যালারি পেশী
అలాస్కాన్ బ్రౌన్ బేర్,আলাস্কান ব্রাউন বিয়ার
అల్బినో,আলবিনো
అల్బుగో,আলবুগো
అల్బుమిన్,অ্যালবামিন
అల్బుమినస్ సీడ్,অ্যালবামিনাস বীজ
అల్బుమినూరియా,অ্যালবামিনুরিয়া
అల్బర్నమ్,অ্যালবার্নাম
ఆల్కే,আলসিডে
ఆల్డెహీడ్,আলডিহেড
ఆల్డోస్టెరాన్ వ్యవస్థ,অ্যালডোস্টেরন সিস্টেম
ఆల్డోస్టెరాన్,অ্যালডোস্টেরন
అల్యూరోన్ పొర,আলেউরোন স্তর
అల్యూరోప్లాస్ట్,আলেউরোপ্লাস্ট
అల్ఫాల్ఫా,আলফালফা
ఆల్గల్ బ్లూమ్,অ্যালগাল ব্লুম
అల్జీన్,অ্যালগিন
గ్రహాంతర DNA,এলিয়েন ডিএনএ
గ్రహాంతర జాతులు,এলিয়েন প্রজাতি
అమరిక,প্রান্তিককরণ
అమరిక,প্রান্তিককরণ
అలిమెంటరీ కెనాల్,খাদ্যনালী
అలిమెంటరీ సిస్టమ్,অ্যালিমেন্টারি সিস্টেম
అలిస్మాసిస్,আলিসম্যাসেস
ఆల్కలాయిడ్,ক্ষারীয়
ఆల్కలీన్,ক্ষারীয়
అల్కాప్టోటోరియా,অ্যালকাপ্টোনুরিয়া
అల్లాంటోయిస్,অ্যালান্টোইস
యుగ్మ వికల్ప ఫ్రీక్వెన్సీ,অ্যালিল ফ্রিকোয়েন্সি
యుగ్మ వికల్పం,অ্যালিল
అల్లెలోమోర్ఫిక్ జత,Allelomorphic জুটি
అలెర్జీ,অ্যালার্জেন
ఎలిగేటర్,অলিগেটর
అల్లియం సెపా,অ্যালিয়াম সিইপিএ
అయోగాగమి,অ্যালোগ্যামি
అల్లోగ్రాఫ్ట్,অলোগ্রাফ্ট
అల్లోపాట్రిక్ స్పెసియేషన్,অ্যালোপ্যাট্রিক স্পেসিফিকেশন
అల్లోపాలిప్లోయిడ్,অ্যালোপলিপ্লয়েড
అలోస్టెరిక్ ప్రభావం,অ্যালোস্টেরিক প্রভাব
అలోస్టెరిక్ ఎంజైమ్,অ্যালোস্টেরিক এনজাইম
అలోస్టెరిక్ ఇన్హిబిటర్,অ্যালোস্টেরিক ইনহিবিটার
అలోస్టెరిక్ మాడ్యులేషన్,অ্যালোস্টেরিক মড্যুলেশন
అలోస్టెరిక్ సైట్,অ্যালোস্টেরিক সাইট
అలోస్టెరిక్ నిరోధం,অ্যালোস্টেরিক বাধা
అలోటెట్రాప్లాయిడ్,Allotetraploid
ఆల్నస్,অ্যালাস
కలబంద,অ্যালো
ఆక్సాన్ వెంట,অ্যাক্সন বরাবর
ఆల్ఫా-యాంటిట్రిప్సిన్,আলফা-অ্যান্টিট্রিপসিন
ఆల్ఫా-లాక్టల్బ్యూమిన్,আলফা-ল্যাকটালবুমিন
ఆల్పైన్ వాతావరణ పరిస్థితి,আলপাইন জলবায়ু অবস্থা
ఆల్పైన్ మేడో,আল্পাইন মেডো
ఆల్పైన్ జోన్,আলপাইন জোন
ఆల్స్టోనియా,অ্যালস্টোনিয়া
ఆల్టర్నేరియా,বিকল্প
ప్రత్యామ్నాయ,বিকল্প
తరం యొక్క ప్రత్యామ్నాయం,প্রজন্মের বিকল্প
ఎత్తు రుగ్మత,উচ্চতায় অসুস্থতা
ఎత్తు,উচ্চতা
అల్వియోలార్ డక్ట్,অ্যালভোলার নালী
అలిట్స్,অ্যালাইটেস
అల్జీమర్స్ వ్యాధి,আলঝেইমার রোগ
అమాక్రిన్ సెల్,আমাক্রাইন সেল
అమరాంతేసి,অমরান্থেসি
అమరాంథస్,অমরান্থাস
పరిసర ఓస్మోటిక్ గా ration త,পরিবেষ্টিত ওসমোটিক ঘনত্ব
అంబిస్టోమా,অ্যাম্বিস্টোমা
అమైడ్,অ্যামাইড
అమైనో ఆమ్లం,অ্যামিনো অ্যাসিড
అమైనో యాసిడ్ అంగీకారం,অ্যামিনো অ্যাসিড গ্রহণকারী
అమైన్‌లాకారి,অ্যামিনোসিল টি আরএনএ সিনথেটিজ
అమైనోఅసిలేషన్,অ্যামিনোসিলেশন
అమిటోసిస్,অ্যামিটোসিস
అమ్మోనియా,অ্যামোনিয়া
అమ్మోనిఫికేషన్,অ্যামোনিফিকেশন
అమ్మోనోటెలిజం,অ্যামোনোটেলিজম
అమ్నియోసెంటెసిస్,অ্যামনিওসেন্টেসিস
అమ్నియోసెంటెసిస్ టెక్నిక్,অ্যামনিওসেন্টেসিস কৌশল
అమ్నియోసైట్,অ্যামনিওসাইট
అమ్నియోన్,অ্যামনিয়ন
అమ్నియోటిక్ ద్రవం,অ্যামনিয়োটিক তরল
అమ్నియోటిక్ పొర,অ্যামনিয়োটিক ঝিল্লি
అమ్నియోటిక్ శాక్,Amniotic কোষ
అమీబా,অ্যামিবা
అమీబోసైట్,অ্যামিবোসাইট
అమీబాయిడ్,অ্যামোবয়েড
అమీబోయిడ్ లింఫోసైట్,অ্যামোবয়েড লিম্ফোসাইট
అమీబోయిడ్ కదలిక,অ্যামোবয়েড আন্দোলন
నిరాకార,নিরাকার
మొత్తం,পরিমাণ
యాంఫేటమిన్,অ্যাম্ফিটামিন
ఉభయచర,উভচর
ఉభయచర,উভচর
ఉభయచర,উভচর
యాంఫియోక్సస్,অ্যাম্ফিওক্সাস
యాంఫియోక్సస్ లాన్సోలాటస్,অ্যাম্ফিওক্সাস ল্যানসোল্যাটাস
యాంఫిపతిక్,অ্যাম্পিপ্যাথিক
యాంఫిపతిక్ లిపిడ్,অ্যাম্পিপ্যাথিক লিপিড
యాంఫిసార్కా,অ্যাম্ফিসারকা
ఆంపిసిలిన్,অ্যাম্পিসিলিন
అంపుల్లా,আম্পুল্লা
అంపల్లరీ గ్రంథి,অ্যাম্পুলারি গ্রন্থি
అమిగ్డాల్,অ্যামিগডাল
అమిగ్డేల్,অ্যামিগডেল
అమిగ్డాలిన్,অ্যামিগডালিন
అమిలేస్,অ্যামাইলেস
అమిలోప్లాస్ట్,অ্যামাইলোপ্লাস্ট
అనాబెనా,আনাবেনা
అనాబాస్,আনাবাস
అనాబాలిక్ మార్గాలు,অ্যানাবোলিক পথ
అనాబాలిజం,অ্যানাবোলিজম
అనాకార్డియాసి,Anacardiaceae
రక్తహీనత,রক্তাল্পতা
Anaerobe,অ্যানেরোব
వాయురహిత ఇంధనం,অ্যানেরোবিক জ্বালানী
వాయురహిత శ్వాసక్రియ,অ্যানেরোবিক শ্বাস প্রশ্বাস
వాయురహిత బురద డైజెస్టర్,অ্যানেরোবিক স্ল্যাজ ডাইজেস্টর
Anaerobic,অ্যানেরোবিক
అనైమా,আনাইমা
ఆసన,মলদ্বার
ఆసన,মলদ্বার
ఆసన ఎపర్చరు,মলদ্বার অ্যাপারচার
అనల్ సెర్సీ,মলদ্বার সেরসি
అనల్ లూప్,মলদ্বার লুপ
ఆసన శైలి,মলদ্বার শৈলী
సారూప్యత,সাদৃশ্য
సారూప్యత,সাদৃশ্য
సారూప్యత,উপমা
సారూప్యత,উপমা
విశ్లేషణ,বিশ্লেষণ
అనాఫేస్,অ্যানাফেজ
శరీర నిర్మాణ అవరోధం,শারীরবৃত্তীয় বাধা
శరీర నిర్మాణ అంశం,শারীরবৃত্তীয় দিক
శరీర నిర్మాణ శాస్త్రవేత్త,অ্যানাটোমিস্ট
శరీర నిర్మాణ శాస్త్రం,অ্যানাটমি
పూర్వీకుల వారసుడు క్రమం,পূর্বপুরুষ বংশোদ্ভূত ক্রম
పూర్వీకుల వంశం,পৈতৃক বংশ
పూర్వీకుల క్రమం,পৈতৃক ক্রম
అన్సైలోస్టోమా,অ্যান্সিলোস্টোমা
ఆండ్రోసియం,অ্যান্ড্রোসিয়াম
ఆండ్రోజెన్,অ্যান্ড্রোজেন
రక్తహీనత,রক্তাল্পতা
ఎనిమోన్,অ্যানিমোন
అనూప్లోయిడ్,অ্যানিউপ্লয়েড
అనూప్లోయిడి,Aneuploidy
ఆంజినా,এনজিনা
యాంజియోగ్రామ్,অ্যাঞ্জিওগ্রাম
యాంజియోగ్రాఫ్,অ্যাঞ্জিওগ্রাফ
యాంజియోగ్రఫీ,অ্যাঞ্জিওগ্রাফি
యాంజియోప్లాస్టీ,অ্যাঞ্জিওপ্লাস্টি
యాంజియోస్పెర్మ్,সপুষ্পক
యాంజియోటెన్సిన్,অ্যাঞ্জিওটেনসিন
యాంజియోటెన్సినోజెన్,অ্যাঞ্জিওটেনসিনোজেন
జాలరి చేప,অ্যাংলার ফিশ
అంగునా,অ্যাঙ্গুইনা
అంగుయిస్,অ্যাঙ্গুইস
జంతువు,প্রাণী
జంతువు,প্রাণী
జంతువుల పేడ,প্রাণী গোবর
పశుసంరక్షణ,পশুপালন
జంతువుల కార్యోటైపింగ్,প্রাণী ক্যারিওটাইপিং
జంతు సామ్రాజ్యం,প্রাণী কিংডম
జంతువుల కణజాలం,প্রাণী টিস্যু
యానిమాలియా,অ্যানিমালিয়া
అయాన్,অ্যানিয়ন
అనిసోట్రోపిక్ బ్యాండ్,অ্যানিসোট্রপিক ব্যান্ড
ఎనియలింగ్,অ্যানিলিং
అన్నెలిడ్,অ্যানেলিড
అన్నెలిడా,অ্যানেলিডা
వార్షిక రింగ్,বার্ষিক রিং
యాన్యులేటెడ్,কথায় কথায় কথায় কথায় কথায় কথায় কথায় কথায় কথায়
యాన్యుల్,অ্যানুল
క్రమరహిత రకం,অসাধারণ প্রকার
అనోఫిల్స్,অ্যানোফিলস
చీమ తినేవాడు,পিঁপড়া ইটার
విరోధి,বিরোধী
అంటార్కిటిక్,অ্যান্টার্কটিক
యాంటెన్నా,অ্যান্টেনা
యాంటెన్నా కాంప్లెక్స్,অ্যান্টেনা কমপ্লেক্স
యాంటెనల్ గ్రంథి,অ্যান্টেনাল গ্রন্থি
ముందరి (వెంట్రల్) బూడిద కొమ్ము,পূর্ববর্তী (ভেন্ট্রাল) ধূসর শিং
పూర్వ హైపోఫిసిస్,পূর্ববর্তী হাইপোফাইসিস
పూర్వ జోక్య సల్కస్,পূর্ববর্তী ইন্টারভেন্ট্রিকুলার সালকাস
Anther,অ্যান্থার
పూర్వ సంస్కృతి,অ্যান্থার সংস্কৃতি
ఆంథెరిడియం,অ্যানথেরিডিয়াম
అంటెరోజాయిడ్,অ্যানথেরোজয়েড
ఆంథోసెరోస్,অ্যান্থোসেরোস
ఆంథోసెరోటోప్సిడా,অ্যান্থোসারোটোপিডিডা
ఆంత్రాక్స్,অ্যানথ্রাক্স
మానవ అంతరించిపోవడం,অ্যানথ্রোপোজেনিক বিলুপ্তি
మానవ శాస్త్రం,নৃবিজ্ঞান
యాంటీ బాక్టీరియల్,অ্যান্টিব্যাকটেরিয়াল
యాంటీబయాటిక్ పెన్సిలిన్,অ্যান্টিবায়োটিক পেনিসিলিন
యాంటీబయాటిక్ రెసిస్టెంట్,অ্যান্টিবায়োটিক প্রতিরোধী
యాంటీబయాటిక్ (లు),অ্যান্টিবায়োটিক (গুলি)
యాంటీబాడీ,অ্যান্টিবডি
యాంటీబాడీ జంట,অ্যান্টিবডি দম্পতি
యాంటీబాడీ మధ్యవర్తిత్వ రోగనిరోధక శక్తి,অ্যান্টিবডি মধ্যস্থতা অনাক্রম্যতা
ప్రతిస్కందకం,অ্যান্টিকোয়ুল্যান্ট
యాంటికోడాన్ లూప్,অ্যান্টিকোডন লুপ
యాంటిడిప్రెసెంట్,এন্টিডিপ্রেসেন্ট
అశ్లీల ముందు భాగము,অ্যান্টিডিউরেটিক হরমোন (এডিএইচ)
యాంటిజెన్ జన్యువు,অ্যান্টিজেন জিন
యాంటిజెన్-యాంటీబాడీ కాంప్లెక్స్,অ্যান্টিজেন-অ্যান্টিবডি কমপ্লেক্স
యాంటిజెనిక్ డిటర్మినెంట్,অ্যান্টিজেনিক নির্ধারক
యాంటిన్యూట్రిషనల్ కారకం,অ্যান্টিনিউট্রিশনাল ফ্যাক্টর
యాంటీఆక్సిడెంట్,অ্যান্টিঅক্সিড্যান্ট
యాంటీపోడల్ న్యూక్లియస్,অ্যান্টিপোডাল নিউক্লিয়াস
యాంటీ సెన్స్ RNA,অ্যান্টি-সেন্স আরএনএ
యాంటీవైరల్ ప్రోటీన్,অ্যান্টিভাইরাল প্রোটিন
Antrum,অ্যান্ট্রাম
అనుక్లీట్,Nucleate
పాయువు,মলদ্বার
ఆందోళన రుగ్మత,উদ্বেগ ব্যাধি
బృహద్ధమని వంపు,মহাধমনীর খিলান
బృహద్ధమని గ్యాంగ్లియన్,অর্টিক গ্যাংলিওন
బృహద్ధమని సెమిలునార్ వాల్వ్,অর্টিক সেমিলুনার ভালভ
బృహద్ధమని కవాటం,মহাধমনীর ভালভ
APC (అనాఫేస్ ప్రమోటింగ్ కాంప్లెక్స్),এপিসি (অ্যানাফেজ প্রচার জটিল)
అపెలైక్ పూర్వీకుడు,অ্যাপেলাইক পূর্বপুরুষ
అఫిడ్,এফিড
ఆఫ్రొడైట్,এফ্রোডাইট
ఎపికల్ ఆధిపత్యం,অ্যাপিকাল আধিপত্য
ఎపికల్ ప్యాడ్,অ্যাপিকাল প্যাড
ఎపికల్చర్,অ্যাপিক্যালচার
APIS ఇండికా,এপিস ইন্ডিকা
అప్లానోస్పోర్,Aplanopore
అప్లిసియా,অ্যাপলিসিয়া
అపోకార్పే,অ্যাপোকার্পে
అపోకార్పస్,অ্যাপোকার্পাস
అపోకార్పస్ అండాశయం,অ্যাপোকার্পাস ডিম্বাশয়
అపోక్రిన్ గ్రంథి,অ্যাপোক্রাইন গ্রন্থি
అపోఎంజైమ్,অ্যাপোয়েনজাইম
అపోమిక్,অ্যাপোমিক্ট
అపోమిక్సిస్,অ্যাপোমিক্সিস
అపోప్లాజమ్,অ্যাপোপ্লাজম
అపోప్లాస్టిక్ మార్గం,অ্যাপোপ্লাস্টিক পথ
అపోప్టోసిస్,অ্যাপোপটোসিস
ఉపకరణం,যন্ত্রপাতি
అనుబంధ అస్థిపంజరం,খিল কঙ্কাল
కర్ణభేరి యొక్క అనుబంధం,কেকুমের পরিশিষ্ট
ఆపిల్ నత్త,অ্যাপল শামুক
ఆక్వాకల్చర్,জলজ চাষ
ఆక్వాపోరిన్,অ্যাকোয়াপুরিন
జల ఉభయచర,জলজ উভচর
జల రూపం,জলজ ফর্ম
జల ఆవాసాలు,জলজ আবাস
జల జీవి,জলজ জীব
జల మొక్క,জলজ উদ্ভিদ
జల శ్వాసక్రియ,জলজ শ্বাস প্রশ্বাস
సజల ద్రవం,জলীয় তরল
సజల హ్యూమర్,জলীয় হুমুর
సజల ఇంట్రా-సెల్యులార్ ద్రవం,জলীয় আন্তঃকোষীয় তরল
సజల నమూనా,জলীয় নমুনা
సజల ద్రావణంలో,জলীয় দ্রবণ
అక్విలా,অ্যাকিলা
అరబిడోప్సిస్,আরবিডোপসিস
అరాచ్నిడా,আরাচনিদা
అరాక్నోయిడ్,আরাকনয়েড
అరేనియస్,আরেনিয়াস
అర్బోర్సెంట్,আরবোরসেন্ট
అర్బోర్సెంట్ లైకోపాడ్,আরবোরসেন্ট লাইকোপড
ఆర్కిబాక్టీరియా,প্রত্নতাত্ত্বিক
ఆర్కిగోనియం,আর্কেগনিয়াম
ద్వీపసమూహం,দ্বীপপুঞ্জ
ఆర్కిటిక్,আর্কটিক
ఆర్కిటిక్ టెర్న్,সুমেরু ত্রয়ী
ఆర్కిటిక్ టండ్రా,আর্কটিক তুন্দ্রা
ఆర్డియా,আর্ডিয়া
ఐసోలార్ కణజాలం,Areolar টিস্যু
రుజువు,আর্গমোন (প্রিকলি পোস্ত)
ఆర్గెమోన్ మెక్సికానా,আর্গমোন মেক্সিকান
అర్జినిన్,আর্গিনাইন
శుష్క ప్రాంతం,শুকনো অঞ্চল
అరిస్టోలోచియాసియా,অ্যারিস্টোলোচিয়া
చేయి దాణా,বাহু খাওয়ানো
ఆర్మీవార్మ్,আর্মিওয়ার্ম
Aroid,অ্যারয়েড
వాసన,সুগন্ধ
అరేస్టర్,অ্যারেস্টার
ఆర్టెమిసియా,আর্টেমিসিয়া
ధమనుల సిస్టోలిక్,ধমনী সিস্টোলিক
ఆర్టిరియోస్క్లెరోటిక్,আর্টেরিওস্লেরোটিক
ఆర్థ్రోపోడ్,আর্থ্রোপড
ఆర్థరైటిస్,বাত
ఆర్థ్రోపోడా,আর্থ্রোপোডা
కీలు మృదులాస్థి,আর্টিকুলার কারটিলেজ
ఉచ్చారణ,স্পষ্ট
ఉచ్చరించబడింది,স্পষ্ট
కృత్రిమ పేస్‌మేకర్,কৃত্রিম পেসমেকার
కృత్రిమ ఎంపిక,কৃত্রিম নির্বাচন
ఆర్టోకార్పస్ హెటెరోఫిల్లస్,আর্টোকার্পাস হেটেরোফিলাস
ఆస్బెస్టాస్ ఫైబర్,অ্যাসবেস্টস ফাইবার
ఆస్బెస్టాసిస్,অ্যাসবেস্টোসিস
అస్కారిస్,এসকারিস
ఆరోహణ క్రోమాటోగ్రఫీ,আরোহী ক্রোমাটোগ্রাফি
అస్సిడియా,অ্যাসিডিয়া
అస్సిడియన్,এসিডিয়ান
అస్కోకార్ప్,অ্যাসোকার্প
అస్కోమైసెట్స్,অ্যাসকোমাইসেটস
ఆస్కార్బిక్ ఆమ్లం,অ্যাসকরবিক অ্যাসিড
అస్కోస్పోర్,অ্যাসোস্পোর
అస్కస్,এস্কাস
Aseptate,Aspetate
అలైంగిక పునరుత్పత్తి,অস্ত্রোপচার
అలైంగిక బీజాంశం,অ্যাসেক্সুয়াল স্পোর
ఆస్పరాజిన్ సింథటేస్,অ্যাস্পারাগাইন সিনথেটিজ
ఆస్పరాగస్,অ্যাস্পারাগাস
అస్పార్టిక్ ఆమ్లం,অ্যাস্পার্টিক অ্যাসিড
ఆస్పెర్‌గిల్లస్ నైగర్,এস্পারগিলাস নাইজার
