Bengali,Gujarati
ক্লাইস্ট্রনকে প্রশস্তকরণ,ક્લીસ્ટ્રોનને વિસ્તૃત કરવું
পরিবর্ধক ইউনিট,વિસ્તૃત એકમ
প্রশস্ততা,કંપનવિસ્તાર
প্রশস্ততা বিকৃতি,કંપનવિસ્તારની વિકૃતિ
প্রশস্ততা ভ্রমণ,કંપનવિસ્તાર
প্রশস্ততা ফ্যাক্টর,કંપનવિસ્તાર પરિબળ
প্রশস্ততা সীমাবদ্ধ,મર્યાદિત મર્યાદા
প্রশস্ততা মোডুলেটেড,કંપનવિસ્તાર -મોડ્યુલેટેડ
প্রশস্ততা মড্যুলেশন,કંપનલી -મોડ્યુલેશન
অ্যানালগ (অ্যানালগ),એનાલોગ (એનાલોગ)
অ্যানালগ সার্কিট,એનાશ
অ্যানালগ কম্পিউটার,એનાલોગ કમ્પ્યુટર
অ্যানালগ রেডিও ফ্রিকোয়েন্সি চ্যানেল,એનાલોગ રેડિયો આવર્તન ચેનલ માટે એનાલોગ રેડિયો આવર્તન ચેનલ
অ্যানালগ উপস্থাপনা,મનોલોગ પ્રતિનિધિત્વ
এনালগ সংকেত,એનાલોગ સંકેત
ডিজিটাল অ্যানালগ,ડિજિટલથી એનાલોગ
ডিজিটাল কনভার্টারে অ্যানালগ,ડિજિટલ કન્વર્ટર માટે એનાલોગ
অ্যানালগ ভিডিও,એટાલી -વિડિઓ
সাদৃশ্য,સમાન
উপমা,સાદ્રશ્ય
বিশ্লেষণ,વિશ્લેષણ
ডেটা বিশ্লেষণ,આંકડા
বিশ্লেষণাত্মক ঘনত্ব,વિશ્લેષણાત્મક ઘનતા
বিশ্লেষণ করুন,વિશ્લેષણ કરવું
বিশ্লেষক,વિશ્લેષક
আনুষঙ্গিক সরঞ্জাম,સૌધિતિક સાધનસામગ્રી
এবং গেট,અને દરવાજો
কলিমেশন কোণ,ખાત્ય ખૂણા
মেরুকরণের কোণ,ધ્રુવીકરણ ખૂણા
ঘূর্ণনের কোণ,પરિભ્રમણ
অ্যাংস্ট্রোম (Å),એંગસ્ટ્રોમ (Å)
কৌণিক,કોણીય
কৌণিক ত্বরণ,કોતરણી પ્રવેગક
কৌণিক সমন্বয়,કોતરણી સમન્વય
কৌণিক ডিফ্লেশন,કોતરણી
কৌণিক বিচ্ছুরণ,કોમણ -ફેલાવો
কৌণিক স্থানচ্যুতি,કોણીય વિસ્થાપન
কৌণিক ত্রুটি,કોણીય ભૂલ
কৌণিক কম্পাংক,કોણીય આવર્તન
কৌণিক ভরবেগ,કોતરણી ગતિ
কৌণিক গতি,કોણીય ગતિ
কৌণিক বেগ,કોતરણી વેગ
অ্যানিমেশন,પ્રસન્નતા
আনোড,એનોડ
আনোড ব্যাটারি,એનોડ બ batteryણ
অ্যানোড বৈশিষ্ট্য,એનોડ લાક્ષણિકતા
আনোড সার্কিট,એનોડ સર્કિટ
অ্যানোড অপচয়,એનોડ વિઘટન
আনোড দক্ষতা,એનોડ કાર્યક્ષમતા
আনোড ইনপুট শক্তি,એનોડ ઇનપુટ પાવર
অ্যানোড মড্যুলেশন,એનોડ મોડ્યુલેશન
অ্যান্টেনা,એન્ટેના
অ্যান্টেনা বিমউইথ,એન્ટેના બીમવિડ્થ
অ্যান্টেনা বুস্টার,એન્ટેના
অ্যান্টেনা চেঞ্জওভার সুইচ,એન્ટેના ચેન્જઓવર સ્વીચ
অ্যান্টেনা কয়েল,કોઇ
অ্যান্টেনা কনফিগারেশন,એન્ટેના રૂપરેખાંકન
অ্যান্টেনা কাপলার,એન્ટેના કપડા
অ্যান্টেনা ক্রস পোলার প্যাটার্ন,એન્ટેના ક્રોસ ધ્રુવીય પદ્ધતિ
অ্যান্টেনা কারেন্ট,એન્ટેના પ્રવાહ
অ্যান্টেনা ডাইরেক্টিভিটি লাভ,એન્ટેના નિર્દેશન લાભ
অ্যান্টেনা ডুপ্লেক্সার,એન્ટેના ડુપ્લેક્સર
অ্যান্টেনা কার্যকর অঞ্চল,એન્ટેના અસરકારક ક્ષેત્ર
অ্যান্টেনা দক্ষতা,વૈશ્વિક કાર્યક્ષમતા
অ্যান্টেনা ফিড,એન્ટેના ફીડ
অ্যান্টেনা ফুট প্রিন্ট,એન્ટેના પગની છાપ
এন্টেনা,એન્ટેના લાભ
অ্যান্টেনার উচ্চতা,એન્ટેના height ંચાઇ
অ্যান্টেনা প্রতিবন্ধকতা,એન્ટેના અવરોધ
অ্যান্টেনা ইন্ডাক্ট্যান্স,એન્ટેના
অ্যান্টেনা প্যাটার্ন,એન્ટેનાનો દાખલો
অ্যান্টেনা প্লেক্সার,એન્ટેના નાવિક
অ্যান্টেনা মেরুকরণ,એન્ટેના ધ્રુવીકરણ
অ্যান্টেনা শক্তি,એન્ટેના શક્તિ
অ্যান্টেনা পাওয়ার লাভ,એન્ટેના વીજળી લાભ
অ্যান্টেনা বিকিরণ প্রতিরোধের,એન્ટેના રેડિયેશન પ્રતિકાર
অ্যান্টেনা প্রতিক্রিয়া,એન્ટેના પ્રતિક્રિયા
অ্যান্টেনা প্রতিচ্ছবি,એન્ટેના પરાવર્તક
অ্যান্টেনা প্রতিরোধের,એન્ટેના પ્રતિકાર
অ্যান্টেনা অনুরণিত ফ্রিকোয়েন্সি,એન્ટેના પડઘો આવર્તન
অ্যান্টেনা ব্যবধান,એન્ટેના અંતર
অ্যান্টেনা স্যুইচিং রুম,એન્ટેના સ્વિચિંગ રૂમ
অ্যান্টেনা টিউনিং কয়েল,એન્ટેના ટ્યુનિંગ કોઇલ
অ্যান্টেনা টিউনিং হাট,એન્ટેના ટ્યુનિંગ ઝૂંપડી
অ্যাপারচার,છિદ્ર
অপোজি,પ્રાણઘાતક
অ্যাপোজি রকেট,અજેતા રોકેટ
যন্ত্রপাতি,ઉપકરણ
আপাত,સ્પષ્ટ
অ্যাপলেট,સાદડી
আবেদন,નિયમ
আনুমানিক,આશરે
জলীয় সমাধান,જળસ
আর্ক,ચાપ
আর্কিটেকচার,સ્થાપત્ય
সাউন্ড রেকর্ডিংয়ের সংরক্ষণাগার স্থানান্তর,ધ્વનિ રેકોર્ડિંગનું આર્કાઇવલ ટ્રાન્સફર
সংরক্ষণাগার,દફ્તર
গাণিতিক কোডিং,અંકગણિત કોડિંગ
আর্মার,હાથ
আর্ম্যাচার বাতাস,આર્મચર વિન્ડિંગ
অ্যারে,કળ
অ্যারেস্টার,કરચલો
বক্তৃতা,સ્પષ્ટીકરણ
আর্টিফ্যাক্ট (= আর্টফ্যাক্ট),આર્ટિફેક્ટ (= આર્ટિફેક્ટ)
আরোহী,ચડતું
আনুমানিক অনুপাত,પાસા ગુણોત્તર
এসেম্বলার,ભેગા કરનાર
দাবী,નિશ્ચય
অ্যাসাইনমেন্ট,સોંપણી
অ্যাসাইনমেন্ট চ্যানেল,નાબૂદ
অসম্পূর্ণ,અસમપ્રમાણ
অ্যাসিঙ্ক্রোনাস,અસુમેળવાળું
বায়ুমণ্ডল,વાતાવરણ
বায়ুমণ্ডলীয় ক্ষতি,વાતાવરણીય નુકસાન
বায়ুমণ্ডলীয় শব্দ,વાતાવરણીય અવાજ
বায়ুমণ্ডলীয় চাপ,વાતાવરણ નુ દબાણ
বায়ুমণ্ডলীয় প্রচার,વાતાવરણીય પ્રચાર
বায়ুমণ্ডলীয় রেডিও-তরঙ্গ,વાતાવરણીય તરંગ
বায়ুমণ্ডল,વાતાવરણીય
পরমাণু,અણુ
পারমাণবিক গঠন,અણુનું માળખું
সংযুক্তি,જોડાણ
মনোযোগ,વ્યવહાલ
মনোযোগ ক্ষতি,અંતરચળી
শব্দ তরঙ্গের মনোযোগ,ધ્વનિ તરંગો
অ্যাটেনুয়েটর,હલકાઈ કરનાર
অ্যাটেনুয়েটর-প্যাড,વિકેન્દ્ર
অডিবিলিটি থ্রেশহোল্ড,શ્રદ્ધાળુ થ્રેશોલ્ડ
শ্রুতিমধুর,શ્રાવ્ય
শ্রুতিমধুর ফ্রিকোয়েন্সি,શ્રાવ્ય આવર્તન
শ্রুতিমধুর সুর,શિરદર્શક સ્વર
শ্রুতি-বর্ণালী,શિરદર્શક
শ্রোতা,શ્રોતા
শ্রুতি,Audડિસ
অডিও পরিবর্ধক,Audio ડિઓ એમ્પ્લીફાયર
অডিও বিশ্লেষক,Audio ડિઓ વિશ્લેષક
অডিও সম্প্রচার,Audio ડિઓ બ્રોડકાસ્ટિંગ
অডিও কেবল,Audષધિસનું aution ડિઓબલ
অডিও চেইন,શાસ્ત્ર
অডিও কোডেক,કડકા
অডিও সংক্ষেপণ,Audતુ)
অডিও সংক্ষেপক,કોમ્પ્રેસર
অডিও কনসোল,Audio ડિઓ કન્સોલ
অডিও বিকৃতি,Audio ડિઓની વિકૃતિ
অডিও গতিশীল পরিসীমা,Dynamડિસ
অডিও ফাইল ফর্ম্যাট,Audio ડિઓ ફાઇલ ફોર્મેટ
অডিও ফ্রেম ফর্ম্যাট,Audio ડિઓ ફ્રેમ ફોર્મેટ
অডিও ফ্রিকোয়েন্সি পরিবর্ধক,Audio ડિઓ આવર્તન એમ્પ્લીફાયર
অডিও ফ্রিকোয়েন্সি জেনারেটর,Audio ડિઓ આવર્તન જનરેટર
অডিও ফ্রিকোয়েন্সি ব্যাপ্তি,Audio ડિઓ આવર્તન શ્રેણી
অডিও ফ্রিকোয়েন্সি প্রতিক্রিয়া,Audio ડિઓ આવર્તન પ્રતિસાદ
অডিও সীমাবদ্ধ,સત્તાધિકારી
অডিও লাইন,Audષધિ
অডিও মিক্সার,Audડિસર
অডিও মড্যুলেশন,Audio ડિઓ મોડ્યુલેશન
অডিও দোলক,ઓડિસ -ઓસિલેટર
অডিও আউটপুট,Audio ડિઓ આઉટપાત
অডিও শক্তি,Auth ડિઓ સત્તાની સત્તા
অডিও মানের,કવિતા
অডিও সংকেত,શ્રદ્ધા
অডিও সিগন্যাল প্রসেসিং,Audio ડિઓ સિગ્નલ પ્રક્રિયા
অডিও বর্ণালী,Audio ડિઓ સ્પેક્ટ્રમ
অডিও স্টোরেজ,Audio ડિઓ સંગ્રહ
অডিও সাব-ক্যারিয়ার,Audડિસ
অডিও ট্রান্সফর্মার,ઈડનીસ પરિશ્રમ
অডিও ট্রান্সমিটার,Audio ડિઓ ટ્રાન્સમીટર
অডিও/ভিডিও সংক্ষেপণ,Audio ડિઓ/વિડિઓ કમ્પ્રેશન
অডিও-ফ্রিকোয়েন্সি দোলক,Audડ-આવર્તન ઓસિલેટર
অডিও-ফ্রিকোয়েন্সি সিগন্যাল,પુનરાવર્તન સંકેત
অডিওমেট্রি,કવિતા
অডিও-ভিজ্যুয়াল সহায়তা,વિઝ્યુઅલી સહાય
শ্রুতি উপলব্ধি,ઉપદેશની ધારણા
প্রমাণীকরণ,પ્રમાણીકરણ
অনুমোদিত ক্যারিয়ার ফ্রিকোয়েন্সি,અધિકૃત વાહક આવર્તન
অটো ক্যাড,ઓટો કેડ
অটো ডায়াগনস্টিকস,સ્વત -નિદાન
স্বয়ংক্রিয়,સ્વચાલિત
স্বয়ংক্রিয় নিয়ন্ত্রণ,સ્વચાલિત નિયંત્રણ
স্বয়ংক্রিয় সনাক্তকরণ,સ્વચાલિત તપાસ
স্বয়ংক্রিয় সরঞ্জাম,સ્વચાલિત સાધનો
স্বয়ংক্রিয় ফ্রিকোয়েন্সি নিয়ন্ত্রণ,સ્વચાલિત આવર્તન નિયંત્રણ
স্বয়ংক্রিয় সীমাবদ্ধ,સ્વચાલિત મર્યાદા
স্বয়ংক্রিয় মেশিন,સ્વચાલિત યંત્ર
স্বয়ংক্রিয় ফ্যাসি নিয়ন্ত্রণ,આપમેળે phાંકણું નિયંત્રણ
স্বয়ংক্রিয় চিত্র সংক্রমণ,સ્વચાલિત ચિત્ર પ્રસારણ
স্বয়ংক্রিয় প্লেব্যাক,સ્વચાલિત પ્લેબેક
স্বয়ংক্রিয় শক্তি নিয়ন্ত্রণ,સ્વચાલિત વીજળી નિયંત્રણ
স্বয়ংক্রিয় প্রোগ্রামিং,સ્વચાલિત કાર્યક્રમ
স্বয়ংক্রিয় রেকর্ডিং,સ્વચાલિત રેકોર્ડિંગ
স্বয়ংক্রিয় রিসেট,સ્વચાલિત ફરીથી સેટ કરવું
স্বয়ংক্রিয় শাটার,સ્વચાલિત શટર
স্বয়ংক্রিয় সিস্টেম,સ્વચાલિત પદ્ધતિ
স্বয়ংক্রিয় টেলিফোন,સ્વચાલિત ટેલિફોન
স্বয়ংক্রিয় তাপমাত্রা নিয়ন্ত্রণ,સ્વચાલિત તાપમાને નિયંત્રણ
স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রক,સ્વચાલિત વોલ્ટેજ નિયમનકાર
স্বয়ংক্রিয় ভলিউম সংক্ষেপক,સ્વચાલિત વોલ્યુમ કોમ્પ્રેસર
স্বয়ংক্রিয় ভলিউম নিয়ন্ত্রণ,સ્વચાલિત વોલ્યુમ નિયંત્રણ
স্বয়ংক্রিয় ভলিউম এক্সপেন্ডার,સ્વચાલિત વોલ્યુમ વિસ્તૃતર
অটোমেশন,સ્વચાલિતતા
অটোমেশন নিয়ন্ত্রণ,સ્વચાલિત નિયંત્રણ
অটোমেশন ফ্রিকোয়েন্সি নিয়ামক,સ્વચાલિત આવર્તન નિયંત્રક
সহায়ক,સહાયક
সহায়ক অডিও বাস,સહાયક audio ડિઓ બસ
উপলব্ধ শক্তি,ઉપલબ્ધ શક્તિ
তুষারপাত ভাঙ্গন,હિમપ્રપાત
গড় আয়ু,સરેરાશ
গড় চাপ,સરેરાશ દબાણ
গড় গতি,સામન્ય ગતિ
স্পিনের অক্ষ,સ્પિનનો ધરી
আজিমুথ,અઝિમુથ
আজিমুথ কোণ,અજીમુથ ખૂન
আজিমুথ ত্রুটি,અઝીમુથ ભૂલ
পিছনে আলো,પાછલી બાજુ
পিছনে অভিক্ষেপ,પૂર્વ -પ્રક્ષેપણ
ব্যাক ভোল্টেজ (= বিপরীত ভোল্টেজ),બેક વોલ્ટેજ (= વિપરીત વોલ્ટેજ)
ব্যাকফায়ার (আর্ক ব্যাক),બેકફાયર (આર્ક બેક)
পটভূমি আলো,પૃષ્ઠભૂમિ
পিছনের শব্দ,પાછળનો ઘોંઘાટ
পটভূমি প্রক্ষেপণ,પૃષ્ઠભૂમિ
ব্যাকআপ,પીઠ
বাফেল,શરમાળ
বেকিং,બાફવું
সুষম অডিও,સંતુલિત audio ડિઓ
ভারসাম্যহীন অডিও লাইন,વારેલી audio ડિઓ લાઇન
সুষম সংক্রমণ লাইন,સંતુલન પ્રસારણ રેખા
ভারসাম্য,સંતુલન
ব্যালাস্ট,બાલાસ
ব্যালাস্ট ফ্যাক্টর,બાલાસ
বালুন,બારીક
ব্যান্ড,પહાડી
ব্যান্ড পাস ফিল্টার,બેન્ડ પાસ ફિલ્ટર
ব্যান্ড নির্বাচক,પસંદગીકાર
ব্যান্ড বিভাজন,વિભાજન
ব্যান্ড স্টপ ফিল্টার,બેન્ડ સ્ટોપ ફિલ્ટર
ব্যান্ড সুইচ,સજાગ
ব্যান্ড টিউনিং,આવરણ
ব্যান্ডউইথ,બ bandન્ટવિડ્થ
বার,બાર
বার কোড,બાર -સંહિતા
বার ডেটা,અવલંબ
বেয়ার ব্যান্ড,સરખામણી
বেয়ার ল্যাম্প,દીવો
শস্যাগার দরজা,કોઠાર
বেস ব্যান্ড,પાયાની પટ્ટી
বেস ব্যান্ড সিগন্যাল,પાયાનો સંકેત
বেস ব্যান্ড সিস্টেম,પાયાનો બેન્ડ પદ્ધતિ
বেস ব্রাউজার,આધાર બ્રાઉઝર
বেস কালেক্টর জংশন,આધાર -કલેકટર જંકશન
বেস ইনসুলেটর,આધાર -ઇન્સ્લેટર
বাস,પાળનાર
বাস ক্ষতিপূরণ,બાસ
বাস লাউডস্পিকার (ওফার),બાસ લાઉડ સ્પીકર (વૂફર)
ব্যাচ স্ক্যানিং,બેચ સ્કેનીંગ
ব্যাটারি চার্জ হইতেছে,બ batteryટરી ચાર્જ
মরীচি,બીમ
বীট,ધબક
বীট ফ্রিকোয়েন্সি দোলক,આવર્તન ઓસિલેટરને હરાવ્યું
বেল,પોત
পক্ষপাত,પક્ષપાત
বায়াস সার্কিট,પૂર્વગ્રહ
বায়াস ফ্রিকোয়েন্সি,પક્ષપાત
অত্যাধিক ভোল্টেজ,પૂર્વગ્રહ
সামনের দিকে পক্ষপাতদুষ্ট,આગળની દિશામાં પક્ષપાતી
দ্বি-দিকনির্দেশক মাইক্রোফোন,દ્વિ-દિશાકીય માઇક્રોફોન
বিলবোর্ড,પાટિયું
বিলবোর্ড অ্যাপ্লিকেশন,પાટિયાની અરજી
দ্বি-ধাতব উপাদান,દ્વિ ધાતુયુક્ત તત્વ
বাইনারি,દ્વિસંગી
বাইনারি কোডেড দশমিক,દ્વિસંગી કોડેડ દશાંશ
বাইনারি অঙ্ক (বিট),દ્વિસંગી અંક (બીટ)
বাইনারি সংখ্যা,દ્વિસંગી સંખ્યા
বাইনোরাল শুনানি,દ્વિપ્રહાર સુનાવણી
বাইনোকুলার,દૂરબાહિક
বায়োমেট্রিক,જૈવિક
বাইপোলার ট্রানজিস্টর,દ્વિધ્રુવી ટ્રાંઝિસ્ટર
বিট বরাদ্দ,બીક ફાળવણી
বিট রেট,પટાનો દર
কালো এবং সাদা টিভি,બ્લેક એન્ડ વ્હાઇટ ટીવી
ফাঁকা,ખાલી
ফাঁকা ব্যবধান,ખાલી અંતરાલ
ব্ল্যাঙ্কিং স্তর,નારાજી સ્તર
ব্লিডার প্রতিরোধের,લોહીલુહાણ પ્રતિકાર
ব্লিমড ক্যামেরা,ખળભળાટ મચાવનારું કેમેરો
অন্ধ ঝলক,આંખ આડા કાન
পলক,ઝબકવું
জ্বলজ্বল,ઝબૂકતું
ব্লক কোড,અવરોધ
ব্লক ডায়াগ্রাম,રેખાક્રુતિ
ব্লক ইন্টারলিভ,અવરોધ
ব্লকিং ক্যাপাসিটার,અવરોધકારક કેપેસિટર
দোলক ব্লক করা,ઓસિલેટરને અવરોધિત કરી રહ્યું છે
পুষ্প,મોર
ল্যাম্প ব্লো,ફાટવું
পাইপ ব্লো,ફટકો
ব্লোয়ার,બ્લોઅર
ব্লুটুথ,બ્લુટુથ
দেহ ক্যাপাসিট্যান্স,શરીરની આવરણ
বুকমার্ক,પુસ્તકો
বুলিয়ান বীজগণিত,બુલિયન બીજગણિત
বুম,બૂમ
প্রচার করা,વધતું જાય તેવું
বুস্টার,બારીક
বুস্টার লাইট,બૂસ્ટર પ્રકાશ
বুস্টিং,વધવું
বুটিং,મતાધિકાર
বুটস্ট্র্যাপ,બુટસ્ટ્રેપ
নীচে আলো,તળિયે
বাউন্স লাইট,પ્રકાશ ઉછાળો
ভাঙ্গা,ભાંગી નાખવું
ভাঙ্গন ভোল্টেজ,તૂટી પડતાં વોલ્ટેજ
সেতু উপাদান,પુલ તત્વ
সেতু সংশোধনকারী,પુલ સુધારક
ব্রিজযুক্ত ‘টি’ অ্যাটেনুয়েটর,બ્રિજ્ડ ‘ટી’ એટેન્યુએટર
ব্রিজযুক্ত কাঠামো,પુષ્કળ માળખું
ব্রিজিং,શરાબ
ব্রিজিং এম্প্লিফায়ার,બ્રિજિંગ એમ્પ્લીફાયર
ব্রিজিং ক্ষতি,પુલ
উজ্জ্বলতা,ઘાટા
