Kannada,Malayalam
ಪ್ರವೇಶ,പ്രവേശനം
ಪ್ರವೇಶ,കൈ
ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ,ആക്സസ് ക്രമീകരണം
ಪ್ರವೇಶ,അതോറിറ്റി ആക്സസ് ചെയ്യുക
ಪ್ರವೇಶ,ആക്സസ് ചാർജ്
ಪ್ರವೇಶ ವರ್ಗ,ആക്സസ് ക്ലാസ്
ಡೇಟಾ ಬೇಸ್ ನಿರ್ವಹಣೆಯನ್ನು ಪ್ರವೇಶಿಸಿ,ഡാറ്റ ബേസ് മാനേജുമെന്റ് ആക്സസ് ചെയ്യുക
ಪ್ರವೇಶ ಪರಿಸರ,പ്രവേശന അന്തരീക്ഷം
ಪ್ರವೇಶದ ಅಂತರ,വിടവ് ആക്സസ് ചെയ്യുക
ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ,ആക്സസ് സൂചിക
ಪ್ರವೇಶ,ആക്സസ് ലൈൻ
ಪ್ರವೇಶ ಕಾರ್ಯ,ആക്സസ് സംവിധാനം
ಪ್ರವೇಶ ವಿಧಾನ,ആക്സസ് രീതി
ಪ್ರವೇಶ ವಿಧಾನ ದಿನಚರಿ,ആക്സസ് രീതി പതിവ്
ಪ್ರವೇಶ ಕ್ರಮ,ആക്സസ് മോഡ്
ಪ್ರವೇಶ ಬಲ,വലത് ആക്സസ്
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,ആക്സസ് സ്കാൻ
ಪ್ರವೇಶ ಸಮಯ,ആക്സസ് സമയം
ಲೆಕ್ಕಪತ್ರ,അക്കൌണ്ടിംഗ്
ಲೆಕ್ಕಪರಿಶೋಧನಾ ವ್ಯವಸ್ಥೆ,അക്ക ing ണ്ടിംഗ് ധനകാര്യ സംവിധാനം
ಅಕೌಂಟಿಂಗ್ ಯಂತ್ರ,അക്ക ing ണ്ടിംഗ് മെഷീൻ
ಖಾತೆ ಸಂಖ್ಯೆ,അക്കൗണ്ട് നമ്പർ
ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡುವವರನ್ನು ಸಂಗ್ರಹಿಸುವುದು,അടിഞ്ഞുകൂടുന്നത് പുനരുൽപാദനം
ಸಂಗ್ರಹಣೆದಾರ,സഞ്ചിതം
ಸಂಚಯಕ ನೋಂದಣಿ,സഞ്ചിത രജിസ്റ്റർ
ಸಂಚಯಕ ಶಿಫ್ಟ್ ಸೂಚನೆ,സഞ്ചിത ഷിഫ്റ്റ് നിർദ്ദേശം
ನಿಖರತೆ,കൃതത
ನಿಖರತೆ ನಿಯಂತ್ರಣ ಪಾತ್ರ,കൃത്യത നിയന്ത്രണ പ്രതീകം
ನಿಖರತೆ ನಿಯಂತ್ರಣ ವ್ಯವಸ್ಥೆ,കൃത്യത നിയന്ത്രണ സംവിധാനം
ಏಸ್ ಪೈಲಟ್,എയ്സ് പൈലറ്റ്
ಪಾತ್ರವನ್ನು ಅಂಗೀಕರಿಸಿ,പ്രതീകം അംഗീകരിക്കുക
ಅಕೌಸ್ಟಿಕ್ ಕೋಪ್ಲರ್,അക്കോസ്റ്റിക് കപ്ലർ
ಅಕೌಸ್ಟಿಕ್ ಜೋಡಣೆ,അക്കോസ്റ്റിക് കപ്ലിംഗ്
ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ,അക്ക ou സ്റ്റിക് കാലതാമസം
ಅಕೌಸ್ಟಿಕ್ ಸ್ಮರಣೆ,അക്കോസ്റ്റിക് മെമ്മറി
ಸಕೌಸ್ಟಿಕ್ ಮೋಡೆಮ್,അക്കോസ്റ്റിക് മോഡം
ಅಕೌಸ್ಟಿಕ್ ಸಂಕೇತ,അക്കോസ്റ്റിക് സിഗ്നൽ
ಅಕೌಸ್ಟಿಕ್ ಸಂಗ್ರಹ,അക്ക ou സ്റ്റിക് സ്റ്റോറേജ്
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,സംക്ഷേപം
ಕ್ರಿಯಾಶೀಲತೆ,പവര്ത്തി
ಕ್ರಿಯಾಶೀಲತೆ,പ്രവർത്തന ചക്രം
ಕ್ರಿಯಾಶೀಲ ರೇಖೆ,ആക്ഷൻ ലൈൻ
ಕ್ರಿಯಾಶೀಲ,ആക്ഷൻ സന്ദേശം
ಕ್ರಿಯಾಶೀಲತೆ,പ്രവർത്തന സവിശേഷത
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,സജീവമാക്കല്
ಸಕ್ರಿಯ,സജീവമായ
ಸಕ್ರಿಯ ಫೈಲ್,സജീവ ഫയൽ
ಸಕ್ರಿಯ ರೇಖೆ,സജീവ ലൈൻ
ಸಕ್ರಿಯ ಲಿಂಕ್,സജീവ ലിങ്ക്
ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಫೈಲ್,സജീവ മാസ്റ്റർ ഫയൽ
ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಐಟಂ,സജീവ മാസ്റ്റർ ഇനം
ಸಕ್ರಿಯ ಉಪಗ್ರಹ,സജീവ ഉപഗ്രഹം
ಸಕ್ರಿಯ ನಿಲ್ದಾಣ,സജീവ സ്റ്റേഷൻ
ಸಕ್ರಿಯ ಸಂಗ್ರಹಣೆ,സജീവ സംഭരണം
ಚಟುವಟಿಕೆ,പ്രവർത്തനം
ಚಟುವಟಿಕೆ ಮಟ್ಟ,പ്രവർത്തന നില
ಚಟುವಟಿಕೆ ಲೋಡಿಂಗ್,പ്രവർത്തന ലോഡിംഗ്
ಚಟುವಟಿಕೆ ಅನುಪಾತ,പ്രവർത്തന അനുപാതം
ನಿಜವಾದ ವಿಳಾಸ (= ಸಂಪೂರ್ಣ ವಿಳಾಸ),യഥാർത്ഥ വിലാസം (= കേവല വിലാസം)
ನಿಜವಾದ ಕೋಡ್ (= ಸಂಪೂರ್ಣ ಕೋಡ್),യഥാർത്ഥ കോഡ് (= കേവല കോഡ്)
ನಿಜವಾದ ಡೇಟಾ ವರ್ಗಾವಣೆ ದರ,യഥാർത്ഥ ഡാറ്റ കൈമാറ്റ നിരക്ക്
ವಾಸ್ತವಿಕ ದಶಮಾಂಶ ಬಿಂದು,യഥാർത്ഥ ദശാംശസ്ഥാനം
ನಿಜವಾದ ಸೂಚನೆ (= ಪರಿಣಾಮಕಾರಿ ಸೂಚನೆ),യഥാർത്ഥ നിർദ്ദേശം (= ഫലപ്രദമായ നിർദ്ദേശം)
ವಾಸ್ತವಿಕ ಕೀ,യഥാർത്ഥ കീ
ವಾಸ್ತವಿಕ ಸಮಯ,യഥാർത്ഥ സമയം
ನಿಜವಾದ ಕೆಲಸದ ಸಮಯ,യഥാർത്ഥ ജോലി സമയം
ಸಂಕೇತ,ആരംഭിക്കുന്ന സിഗ്നൽ
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,പൊരുത്തപ്പെടലി
ಅಳವಡಗಾರ,അഡാപ്റ്റർ
ಹೊಂದಾಣಿಕೆಯ ಚಾನಲ್ ಹಂಚಿಕೆ,അഡാപ്റ്റീവ് ചാനൽ അനുവദിക്കൽ
ಹೊಂದಾಣಿಕೆಯ ಏಕೀಕರಣ,അഡാപ്റ്റീവ് ഇന്റഗ്രേഷൻ
ಅಡಾಪ್ಟಿವ್ ಟ್ರಾನ್ಸ್‌ವರ್ಸಲ್ ಈಕ್ವಲೈಜರ್,അഡാപ്റ്റീവ് ട്രാൻസ്വേഴ്സ് ഇക്വൈസർ
ಪ್ರವೇಶವನ್ನು ಸೇರಿಸಲಾಗಿದೆ,എൻട്രി ചേർത്തു
ಸೇರಿಸು,കൂട്ടിച്ചേര്ക്കുക
ಸೇರಿಸುವವನು,ആംഗം
ಸೇಡ್ ಸಬ್ಟ್ರಾಕ್ಟರ್,എ ഷട്രക്റ്റർ
ಕಡತವನ್ನು ಸೇರಿಸು,ഫയൽ ചേർക്കുക
ಹೆಚ್ಚುವರಿ ಅಕ್ಷರ (= ವಿಶೇಷ ಅಕ್ಷರ),അധിക പ്രതീകം (= പ്രത്യേക പ്രതീകം)
ಸೇರ್ಪಡೆ ರೆಕಾರ್ಡರ್,ബഹുമതി
ಸೇರ್ಪಡೆ ಮೇಜು,കൂട്ടിച്ചേർക്കലാ പട്ടിക
ಸಂಯೋಜಕ ಗುಣಲಕ್ಷಣ,അഡിറ്റീവ് ആട്രിബ്യൂട്ട്
ಮೋಡ್ ಸೇರಿಸಿ,മോഡ് ചേർക്കുക
ಕಾರ್ಯಾಚರಣೆ ಸೇರಿಸಿ,പ്രവർത്തനം ചേർക്കുക
ಭಾಷಣ,അഭിസംബോധന ചെയ്യുക
ವಿಳಾಸದ ಅಳತೆ,വിലാസ നടപടി
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸಮತಲ ಸ್ಥಾನ,അഭിസംബോധന ചെയ്യാവുന്ന തിരശ്ചീന സ്ഥാനം
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಬಿಂದು,വിലാസ പോയിന്റ്
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಥಾನ,അഭിസംബോധന ചെയ്യാവുന്ന സ്ഥാനം
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ರಿಜಿಸ್ಟರ್,വിലാസ രജിസ്റ്റർ
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸಂಗ್ರಹಣೆ,വിലാസ സംഭരണം
ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಲಂಬ ಸ್ಥಾನ,അഭിസംബോധന ചെയ്യാവുന്ന ലംബ സ്ഥാനം
ವಿಳಾಸ ಬಸ್,വിലാസ ബസ്
ವಿಳಾಸ ಕೋಡ್,വിലാസ കോഡ്
ವಿಳಾಸ ಹೋಲಿಕೆದಾರ,വിലാസ താരതമ്യക്കാരൻ
ವಿಳಾಸ ಗಣನೆ,വിലാസ കണക്കുകൂട്ടൽ
ವಿಳಾಸ ಸ್ಥಿರ,വിലാസ സ്ഥിരത
ವಿಳಾಸ ಪರಿವರ್ತನೆ,വിലാസ പരിവർത്തനം
ವಿಳಾಸ ಡೇಟಾ,വിലാസ ഡാറ്റ
ವಿಳಾಸ ಮೆಮೊರಿ,മെമ്മറി അഭിസംബോധന ചെയ്തു
ವಿಳಾಸ ಪರಿಣಾಮಕಾರಿ,വിലാസ ഫലപ്രദമാണ്
ವಿಳಾಸ ಕ್ಷೇತ್ರ,വിലാസ ഫീൽഡ്
ವಿಳಾಸ ಸ್ವರೂಪ,വിലാസ ഫോർമാറ്റ്
ವಿಳಾಸ ಉಚಿತ ಕಾರ್ಯಕ್ರಮ,വിലാസ സ contry ജന്യ പ്രോഗ്രാം
ಸಂಬೋಧಿಸುವುದು,അഭിസംബോധന
ಸಂಬೋಧಿಸುವುದು  ಪಾತ್ರ,അഭിസംബോധന  കഥാപാതം
ಅಡಚಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ,അഭിസംബോധന ഇന്ററപ്റ്റ്
ವಿಳಾಸ ಲೂಪ್,വിലാസം ലൂപ്പ്
ವರ್ಚುವಲ್ ಮೆಮೊರಿಯನ್ನು ಉದ್ದೇಶಿಸಿ,വെർച്വൽ മെമ്മറി അഭിസംബോധന ചെയ്യുന്നു
ವಿಳಾಸ ಇಂಟರ್ಲೇಟಿಂಗ್,വിലാസം ഇന്റർലേസിംഗ്
ವಿಳಾಸವಿಲ್ಲದ ಸೂಚನಾ ಸ್ವರೂಪ,വിലാസരഹിതമായ നിർദ്ദേശങ്ങൾ ഫോർമാറ്റ്
ವಿಳಾಸ ಸಾಲು,വിലാസ ലൈൻ
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,വിലാസ മാപ്പിംഗ്
ವಿಳಾಸ ಗುರುತು,വിലാസ അടയാളം
ವಿಳಾಸ ಮಾರ್ಪಾಡು,വിലാസ പരിഷ്ക്കരണം
ವಿಳಾಸದ ಭಾಗ,വിലാസ ഭാഗം
ವಿಳಾಸ ಪಾಯಿಂಟರ್,വിലാസം പോയിന്റർ
ವಿಳಾಸ ನೋಂದಣಿ,വിലാസ രജിസ്റ്റർ
ವಿಳಾಸ ಸಂಕೇತ,വിലാസ സിഗ്നൽ
ವಿಳಾಸದ ಗಾತ್ರ,വിലാസ വലുപ്പം
ವಿಳಾಸ ಸ್ಥಳ,വിലാസ ഇടം
ವಿಳಾಸ ಬಾಹ್ಯಾಕಾಶ ಗುರುತಿಸುವಿಕೆ,വിലാസ ബഹിരാകാശ ഐഡന്റിഫയർ
ವಿಳಾಸ ನಿಲುಗಡೆ,വിലാസ സ്റ്റോപ്പ്
ವಿಳಾಸ ಜಾಡಿನ,വിലാസ ട്രെയ്സ്
ವಿಳಾಸ ಟ್ರ್ಯಾಕ್,വിലാസ ട്രാക്ക്
ವಿಳಾಸ ಅನುವಾದ,വിവർത്തനം വിവർത്തനം ചെയ്യുക
ವಿಳಾಸ ಅನುವಾದಕ,വിലാസ പരിഭാഷകന്
ಕಕ್ಸಚ್ಚುವಿಕೆಯನ್ನು ಸೇರಿಸಿ ಸಮಯ,ചേർക്കുക-കുറയ്ക്കുക സമയം
ಸಮಯವನ್ನು ಸೇರಿಸಿ,സമയം ചേർക്കുക
ಪಕ್ಕದ,വാര്ത്താവകം
ಪಕ್ಕದ ರಚನೆ,അഡ്ജഞ്ചൻസിൻസ് ഘടന
ಪಕ್ಕದ ಚಾನಲ್,തൊട്ടടുത്തുള്ള ചാനൽ
ಪಕ್ಕದ ಡೊಮೇನ್,അടുത്തുള്ള ഡൊമെയ്ൻ
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
ಪಕ್ಕದ ನೋಡ್,തൊട്ടടുത്തുള്ള നോഡ്
ಪಕ್ಕದ ಸುಬೇರಿಯಾ,തൊട്ടടുത്തുള്ള സുബരിയ
ಹೊಂದಾಣಿಕೆ (ಸಿಸ್ಟಮ್),കസ്റ്റേഴ്സ് (സിസ്റ്റം)
ಸರಿಹೊಂದಿಸು,കമപ്പെടുത്തുക
ಹೊಂದಾಣಿಕೆ ವ್ಯಾಪ್ತಿ,ക്രമീകരിക്കാവുന്ന പരിധി
ಪಠ್ಯ ಮೋಡ್ ಅನ್ನು ಹೊಂದಿಸಿ,ടെക്സ്റ്റ് മോഡ് ക്രമീകരിക്കുക
ಆಡಳಿತ ದತ್ತಾಂಶ ಸಂಸ್ಕರಣೆ,അഡ്മിനിസ്ട്രേറ്റീവ് ഡാറ്റ പ്രോസസ്സിംഗ്
ಆಡಳಿತಾತ್ಮಕ ಕಾರ್ಯಾಚರಣೆ,അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം
ಆಡಳಿತಕಾರಕ,അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ
ಆಡಳಿತ ನಿರ್ವಾಹಕ ಕೇಂದ್ರ,അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ സ്റ്റേഷൻ
ಆಡಳಿತಾತ್ಮಕ ಬೆಂಬಲ ವ್ಯವಸ್ಥೆ,അഡ്മിനിസ്ട്രേറ്റീവ് സപ്പോർട്ട് സിസ്റ്റം
ಸುಧಾರಿತ ಸಂವಹನ ಸೇವೆ,നൂതന ആശയവിനിമയ സേവനം
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,വിപുലമായ വിവര സിസ്റ്റം
ಸುಧಾರಿತ ಆಪ್ಟಿಕಲ್ ಕ್ಯಾರೆಕ್ಟರ್ ರೀಡರ್,വിപുലമായ ഒപ്റ്റിക്കൽ പ്രതീക റീഡർ
ಸುಧಾರಿತ ವೈಜ್ಞಾನಿಕ ಕಂಪ್ಯೂಟರ್,വിപുലമായ ശാസ്ത്ര കമ്പ്യൂട്ടർ
ವೈಮಾನಿಕ,ഏരിയൽ
ಒಟ್ಟು,ആകെത്തുകയായുള്ള
ಒಟ್ಟು ಅಭಿವ್ಯಕ್ತಿ,മൊത്തം എക്സ്പ്രഷൻ
ಗುರಿ ವೃತ್ತ,ലക്ഷ്യമിടുന്നു
ಗುರಿ ಕ್ಷೇತ್ರ (= ಗುರಿ ಚಿಹ್ನೆ),ലക്ഷ്യമിടുന്ന ഫീൽഡ് (= ലക്ഷ്യമിടുന്നത്)
ಗುರಿ ಚಿಹ್ನೆ,എഡിയൽ ചിഹ്നം
ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ,എയർബോൺ കമ്പ്യൂട്ടർ സിസ്റ്റം
ಬೀಜಗಣಿತ ಐಜೆನ್ವಾಲ್ಯು ಸಮಸ್ಯೆ,ബീജഗണിത ഐജൻവാലു പ്രശ്നം
ಬೀಜಗಣಿತದ  ಏಕೀಕರಣ,ബീജഗണിത  സംയോജനം
ಬೀಜಗಣಿತದ ಭಾಷೆ,ബീജഗണിത ഭാഷ
ಬೀಜಗಣಿತದ ಕುಶಲ,ബീജഗണിത കൃത്രിമത്വം
ಬೀಜಗಣಿತದ ಕುಶಲ ಭಾಷೆ,ബീജഗണിത കൃത്രിമ ഭാഷ
ಬೀಜಗಣಿತ ಆಧಾರಿತ ಭಾಷೆ,ബീജഗണിത ഓറിയന്റഡ് ഭാഷ
ಬೀಜಗಣಿತದ ಶಿಫ್ಟ್,ബീജഗണിത മാറ്റം
ಬೀಜಗಣಿತ ಚಿಹ್ನೆ ಸಮಾವೇಶ,ബീജഗണിത ചിഹ്ന കൺവെൻഷൻ
ಪಾಚಕ,അൽഗോൾ
ಆಲ್ಗೋಲ್ ವೈಶಿಷ್ಟ್ಯ,അൽഗോൾ സവിശേഷത
ಅಲ್ಗೋಲ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,അൽഗോൾ പ്രോഗ്രാമിംഗ്
ಅಲ್ಗಾರಿದಮ್,അൽഗോരിതം
ಅಲ್ಗಾರಿದಮ್ ಸಹಾಯಕ ಭಾಷೆ,അൽഗോരിതം അസോസിയേറ്റീവ് ഭാഷ
ಅಲ್ಗಾರಿದಮ್ ವರ್ಗೀಕರಣ,അൽഗോരിതം വർഗ്ഗീകരണം
ಅಲ್ಗಾರಿದಮ್ ಸಂಕೀರ್ಣತೆ,അൽഗോരിതം സങ്കീർണ്ണത
ಅಲ್ಗಾರಿದಮ್ ಗಣನೀಯತೆ,അൽഗോരിതം കേസബിലിറ്റി
ಕ್ರಮಾವಧಿಕ ವಿಶ್ಲೇಷಣೆ,അൽഗോരിത്ത്മിക് വിശകലനം
ಕ್ರಮಾವಧಿಕ ವಿಧಾನ,അൽഗോരിത്തിസ് സമീപനം
ಕ್ರಮಬದ್ಧ ಭಾಷೆ,അൽഗോറിത്ത്മിക് ഭാഷ
ಅಲ್ಗಾರಿದಮಿಕ್ ವಾಡಿಕೆಯ,അൽഗോരിഥമ്മിക് പതിവ്
ಕ್ರಮಾವಧಿಕ ಸಿದ್ಧಾಂತ,അൽഗോരിതംസിക് സിദ്ധാന്തം
ಅಲಿಯಾಸ್,അപരാഭിധാനം
ಅಲಿಯಾಸೆ,അപരനാത്മകം
ಅಲಿಯಾಸ್ ಹೆಸರು (= ಪರ್ಯಾಯ ಹೆಸರು),അപരനാമം (= ഇതര പേര്)
ಜೋಡಣೆ,വിന്യാപകമായ
ನಿಯೋಜಿಸು,നീക്കിവയ്ക്കുക
ಹಂಚಿಕೆ ರಚನೆ,അലോക്കേഷൻ ഘടന
ಎಲ್ಲಾ ಉದ್ದೇಶದ ಕಂಪ್ಯೂಟರ್,എല്ലാ ഉദ്ദേശ്യ കമ്പ്യൂട്ടറും
ವರ್ಣಮಾಲೆಯ ಪಾತ್ರ,അക്ഷരമാല പ്രതീകം
ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರಗಳ ಸೆಟ್,അക്ഷരമാല പ്രതീക സെറ്റ്
ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ ಉಪವಿಭಾಗ,അക്ഷരമാല പ്രതീക സബ്സെറ്റ്
ವರ್ಣಮಾಲೆ ಸಂಕೇತ,അക്ഷരമാല കോഡ്
ವರ್ಣಮಾಲೆ ಶಿಫ್ಟ್,അക്ഷരമാല മാറ്റം
ವರ್ಣಮಾಲೆಯ ದಾರ,അക്ഷരമാല സ്ട്രിംഗ്
ವರ್ಣಮಾಲೆ ಪದ,അക്ഷരമാല വാക്ക്
ವರ್ಣಮಾಲೆ,അക്ഷരമാലാളം
ಆಲ್ಫೇಜೀಟ್ರಿಕ್ಸ್,ആഫറാമോമെട്രിക്സ്
ಆಲ್ಫಾಮನ,ആഫളാചിക്
ವರ್ಣಮಾಲೆಯ,ആൽഫമോസയ്ക്ക്
ವರ್ಣಮಾಲೆಯ,ആൽഫാന്യൂമെറിക്
ಆಲ್ಫಾನ್ಯೂಮರಿಕಲ್ ಕೀಬೋರ್ಡ್ ಸಾಧನ,ആൽഫാന്യൂമെറിക്കൽ കീബോർഡ് ഉപകരണം
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಅಕ್ಷರ ಸೆಟ್,ആൽഫാന്യൂമെറിക് പ്രതീക സെറ്റ്
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೋಡ್,ആൽഫാന്യൂമെറിക് കോഡ്
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೋಡೆಡ್ ಅಕ್ಷರ ಸೆಟ್,ആൽഫാന്യൂമെറിക് കോഡ്ഡ് പ്രതീക സെറ്റ്
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಡೇಟಾ,ആൽഫാന്യൂമെറിക് ഡാറ്റ
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಪ್ರದರ್ಶನ ಸಾಧನ,ആൽഫാന്യൂമെറിക് ഡിസ്പ്ലേ ഉപകരണം
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಸಂಪಾದಿತ ಪಾತ್ರ,ആൽഫാന്യൂമെറിക് എഡിറ്റുചെയ്ത പ്രതീകം
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕ್ಷೇತ್ರ,ആൽഫാന്യൂമെറിക് ഫീൽഡ്
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಸೂಚನೆ,ആൽഫാന്യൂമെറിക് നിർദ്ദേശം
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್,ആൽഫാന്യൂമെറിക് കീബോർഡ്
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ವಿಂಗಡಣೆ,ആൽഫാന്യൂമെറിക് തരം
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಸಂಗ್ರಹ,ആൽഫാന്യൂമെറിക് സംഭരണം
ಬದಲಾಯಿಸಬಹುದಾದ ಮೆಮೊರಿ,മാറ്റം വരുത്തുന്നതിന് മെമ്മറി
ಬದಲಾವಣೆ ಸ್ವಿಚ್,മാറ്റങ്ങൾ സ്വിച്ച്
ಬದಲಾಯಿಸುವ,മാറ്റം
ಬದಲಾದ ಮೋಡ್,മാറ്റ മോഡ്
ಪರ್ಯಾಯ ಚೇತರಿಕೆ,ഇതര വീണ്ടെടുക്കൽ
ಪರ್ಯಾಯ ಮಾರ್ಗ,ഇതര റൂട്ട്
ಪರ್ಯಾಯ ರೂಟಿಂಗ್,ഇതര റൂട്ടിംഗ്
ಪರ್ಯಾಯ ಟ್ರ್ಯಾಕ್,ഇതര ട്രാക്ക്
ಪರ್ಯಾಯ (= ಅಥವಾ ಕಾರ್ಯಾಚರಣೆ),ഇതര (= അല്ലെങ്കിൽ പ്രവർത്തനം)
ಪರ್ಯಾಯ ಗುಣಲಕ್ಷಣ,ഇതര ആട്രിബ്യൂട്ട്
ಪರ್ಯಾಯ ನಿರಾಕರಣೆ (= ಅಲ್ಲ ಮತ್ತು ಕಾರ್ಯಾಚರಣೆ),"ഇതര നിഷേധം (= അല്ല, പ്രവർത്തനം)"
ಅಸ್ಪಷ್ಟ ದೋಷ,അവ്യക്തത പിശക്
ಅಸ್ಪಷ್ಟ ಉಲ್ಲೇಖ,അവ്യക്തമായ റഫറൻസ്
ಜರುಗೋಲು,അനാലോഗ്
ಅನಾಲಾಗ್,അനലോഗ് അഡെർ
ಅನಾನುಕೂಲ ಚಾನೆಲ್,അനലോഗ് ചാനൽ
ಅನಾನುಕೂಲ ಕಂಪ್ಯೂಟರ್,അനലോഗ് കമ്പ്യൂട്ടർ
ಅನಾನುಕೂಲ ಪರಿವರ್ತಕ,അനലോഗ് കൺവെർട്ടർ
ಅನಲಾಗ್ ಡೇಟಾ,അനലോഗ് ഡാറ്റ
ಅನನುಕಿನ ವಿಭಾಜಕ,അനലോഗ് ഡിവൈഡർ
ಅನಲಾಗ್ ಫೆಸಿಲಿಟಿ ಟರ್ಮಿನಲ್,അനലോഗ് ഫെസിലിറ്റി ടെർമിനൽ
ಅನಾನುಕೂಲ ಕಾರ್ಯ  ಉತ್ಪಾದಕ,അനലോഗ് ഫംഗ്ഷൻ  വൈദുതോല്പാദനയന്തം
ಅನಲಾಗ್ ಏಕೀಕರಣ,അനലോഗ് സംയോജനം
ಸೋಗು ಗುಣಕ,അനലോഗ് ഗുണിതം
ಅನಲಾಗ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,അനലോഗ് പ്രോഗ്രാമിംഗ്
ಅನನುಕಿನ ಸ್ಕೇಲಿಂಗ್,അനലോഗ് സ്കെയിലിംഗ്
