English,Tamil
Backward wave oscillator,பின்னோக்கி அலை ஆஸிலேட்டர்
Baffle,"தடை, தடை"
Baffle shield,தடை
Balanced bridge,சீரான பாலம்
Balanced demodulator,சமநிலை மாடுலேட்டர்
Balanced modulator,சமநிலை மாடுலேட்டர்
Balanced network,சமநிலை சுற்று
Balancedslope detector,சமச்சீர் சாய்வு கண்டறிதல்
Ballast resistors,தற்போதைய நிலைப்படுத்தி எதிர்ப்பு
Balometer,போலோமீட்டர்
Balometer bridge,போலோமீட்டர் பாலம்
Balun,பலூன்
Banana jack,வாழை பலா
Banana plug,வாழை பிளக்
Band,"பட்டை, கட்டு"
Band conduction,இசைக்குழு இயக்கி
Band energy,இசைக்குழு ஆற்றல்
Band gap,பட்டை இடைவெளியை
Band pass amplifier,பேட்பார்க் பெருக்கி
Band pass filter,பேண்ட் பாஸ் வடிகட்டி
Baud rate generator,பாட் ரேட் ஜெனரேட்டர்
Band spreading,பட்டை பரவல்
Band stop,இசைக்குழு மின்தடை
Band stop filter,பேண்ட் பிரேக்கர் வடிகட்டி
Band width,இசைக்குழு விரிவாக்கம்
Band-elimination filter,பேண்ட் ரிமூவர் வடிகட்டி
Bandwidth dispersion product,பேண்ட் விரிவாக்கம் விலகல் பெருக்கி
Bandwidth distance product,பேண்ட் நீட்டிப்பு தூரம் பெருக்கி
Bank capacity,"பீம் மின்தேக்கி, வங்கி மின்தேக்கி"
Barker code,"குரைக்கும் குறியீடு, குரைக்கும் குறியீடு"
Barkhausen criterion,barravaugen அளவுகோல்
Barretter,பார்ப்பனர்
Barrier,தடை
Barrier capacitor,இன்சுலேடிங் மின்தேக்கி
Barrier energy,தடை ஆற்றல்
Barrier voltage,மின்தடை மின்னழுத்தம்
Bartlett window,பார்ட்லெட் ஜன்னல்
Base,"அடிப்படை, அடிப்படை"
Base band,அடிப்படை இசைக்குழு
Base band transmission,அடிப்படை இசைக்குழு பரிமாற்றம்
Base charge,அடிப்படை கட்டணம்
Base current,அடிப்படை மின்னோட்டம்
Base current source,அடிப்படை தற்போதைய ஆதாரம்
Base dipping,அடிப்படை வெட்டுதல்
Base doping,ஆதார் மதன்
Base emitter feedback,அடிப்படை உமிழ்ப்பான் ஊட்டம்
Base emitter junction,அடிப்படை உமிழ்ப்பான் சந்திப்பு
Base infection,அடிப்படை ஊசி
Base line,தரை வரி
Base resistance,அடிப்படை எதிர்ப்பு
Base source,அடிப்படை ஆதாரம்
Base spreading resistance,அடிப்படை விரிவாக்க எதிர்ப்பு
Base spreading resistance,அடிப்படை விரிவாக்க எதிர்ப்பு
Base thickness,அடிப்படை தடிமன்
Base transport,அடிப்படை அணுகல்
Base width modulation,"அடிப்படை அகல பண்பேற்றம், அடிப்படை விரிவாக்க மாடுலேஷன்"
Base-collector junction,அடிப்படை சேகரிப்பாளர் ஒப்பந்தம்
Bass,வாசனை
Bass frequency,பாஸ் அதிர்வெண்
Battery,மின்கலம்
Baud,பாட்
Baud rate,பாட் விகிதம்
Baud rate generator,பாட் ரேட் ஜெனரேட்டர்
Baudot code,போடோ குறியீடு
Beacon,"சமிக்ஞை, கலங்கரை விளக்கம்"
Bead,"மாணிக்கா, பீட்"
Bead capacitor,பித்து மின்தேக்கி
Bead thermister,மணிகர்தாபி எதிர்ப்பாளர்கள்
Bean antenna,"பீம் ஆண்டெனா, பீம் ஆண்டெனா"
Beam finder,பீம் டிடெக்டர்
Beam power tube,பீம் சக்தி குழாய்
Beam switching tube,பீம் மாறுதல் முனைகள்
Beam width,கற்றை விரிவாக்கம்
Beat frequency,துடிப்பு அதிர்வெண்
Beat frequency oscillator,துடிப்பு-அதிர்வெண் ஆஸிலேட்டர்
Beat oscillator,துடிப்பு ஆஸிலேட்டர்
Bel,மணி
Bending loss,வளைக்கும் இழப்பு
Bessel filter,பெசல் வடிகட்டி
Beta,பீட்டா
B-H curve,b-h வளைவு
Bias,"சார்பு, சார்பு"
Bias current,சார்பு மின்னோட்டம்
Bias resistor,சார்பு எதிர்ப்பு
Biconical antenna,இரட்டை ஆண்டெனா
Bidirection load current,இருதரப்பு சுமை மின்னோட்டம்
Bi-directional antenna,இருதரப்பு ஆண்டெனா
Bidirectional LED,இருதரப்பு ஒளி உமிழும் டையோடு
Bidirectional thyristor,இருதரப்பு தைரிஸ்டர்
Bi-FET technology,இரு FET தொழில்நுட்பம்
Bifilar transformer,இரு புள்ளி மின்மாற்றி
Bifilar winding,இரட்டை இணைவு
Bilateral network,இருதரப்பு சுற்று
Binary,பைனரி
Binary addition,பைனரி தொகை
Binary circuit,பைனரி சுற்று
Binary coded decimal (BCD),பைனரி குறியிடப்பட்ட தசம
Binary coded decimal system,பைனரி குறியிடப்பட்ட தசம அமைப்பு
Binary commutating capacitor,பைனரி இருமுனை மின்தேக்கி
Binary counter,பைனரி கால்குலேட்டர்
Binary counter,பைனரி கால்குலேட்டர்
Binary decoder,பைனரி குறிவிலக்கி
Binary ladder,பைனரி ஏணி
Binary odometer,பைனரி பாத்தோமீட்டர்
Binary state,இருமை நிலை
Binary to decimal decoders,பைனரி-தசம குறிவிலக்கி
Binary weight,பைனரி சுமை
Binary word,பைனரி வார்த்தைகள்
Bipolar,இருமுனை
Bipolar capacitor,இருமுனை மின்தேக்கி
Bipolar device,இருமுனை சாதனம்
Bipolar power supply,இருமுனை மூல
Bipolar transistor,இருமுனை டிரான்சிஸ்டர்
Bipolar junction transistor,இருமுனை சந்திப்பு டிரான்சிஸ்டர்
Biquad filter,இருபடி வடிகட்டி
Bistable,இரட்டை நிலை
Bistable multivibratic,இரண்டு-நிலை மல்டிவைபிரேட்டர்
Bistable relay,இருதரப்பு ரிலே
Bistable state,இரண்டு கட்ட நிலை
Bistable trigger,இரண்டு நிலை தூண்டுதல்
Bit error,பிட் பிழை
Bit error rate (BER),பிட் பிழை விகிதம்
Bit error,பிட் பிழை
Bit timing error,பிட்கல் பிழை
Black box,குருட்டு பெட்டி
Blanking pulses,அமுக்கப்பட்ட துடிப்பு
Bleeder,சுரப்பவர்
Bleeder resistor,சுரக்கும் தடுப்பான்
Blind speed,குருட்டுத்தன்மை
Block diagram,பிரிவு வரைபடம்
Block impedance,தடுப்பு மின்தடை
Block transfer,துண்டு பரிமாற்றம்
Blocking,இடைமறிக்கவும்
Blocking capacitor,மின்தடை மின்தேக்கி
Blocking capacitor,தடுப்பான் மின்தேக்கி
Blocking oscillator,தடுக்கும் ஆஸிலேட்டர்
Blocking oscillator,மின்தடை ஆஸிலேட்டர்
Blocking voltage,மின்தடை மின்னழுத்தம்
Blower,ஊதுபவர்
Bode diagram/plot,போட் வரைபடம்
Boltzmann relation,வோல்ட்ஸ்மேன் உறவு
Boltzmann's constant,வோல்ட்ஸ்மேன் மாறிலி
Bond,பத்திரம்
Bonded strain gauge,பிணைக்கப்பட்ட திரிபு அளவு
Boot strapping amplifier,சுயமாக இயக்கப்படும் பெருக்கி
Boolean algebra,பூலியன் இயற்கணிதம்
Boolean equation,பூலியன் சமன்பாடு
Boot strapping,துவக்க ஸ்ட்ராபன்
Booth's algorithm,பூத்தின் அல்காரிதம்
Bootstrap sweep circuit,பூட்ஸ்ட்ராப் ப்ரிசம் சுற்று
Bosanquert's law,bosscutts ஆட்சி
Bose-Chaudhary-Hoeckingham  (BCH) code,போஸ்-சௌத்ரி ஹாக்கன்ஹாம் (BCH) குறியீடு
Bounce,"குதி, குதி"
Bound electron,பிணைக்கப்பட்ட எலக்ட்ரான்
Bragg reflector,ப்ராக் பிரதிபலிப்பான்
Braided wire,பின்னிப் பிணைந்த கம்பி
Branch,கிளை
Branching,கிளைகள்
Bread board,பரிசோதனை குழு
Break down region,எலும்பு முறிவு மண்டலம்
Break down voltage,உடைக்கும் மின்னழுத்தம்
Breakdown diode,முறிவு டையோடு
Breakdown rating,எலும்பு முறிவு சரிசெய்தல்
Breakdown voltage,உடைக்கும் மின்னழுத்தம்
Bridge,பாலம்
Bridge rectifier,பாலம் திருத்தி
Broad band,பரந்த இசைக்குழு
Broad cast band,ஒலிபரப்பு இசைக்குழு
Broad side array,நிழலிடா வரிசை
Broadcast,ஒளிபரப்பு
Broadcast antenna,ஒளிபரப்பு ஆண்டெனா
Broadcast receiver,ஒளிபரப்பு ரிசீவர்
Broadcast receiver frequency,அதிர்வெண் ஒளிபரப்பு பெறுதல்
Broadcast transmitter,ஒளிபரப்பு டிரான்ஸ்மிட்டர்
Booster,பூஸ்டர் ஆண்டெனா
Bruce antenna,பஸ் ஆண்டெனா
Brush discharge,தூரிகை மூழ்குதல்
Bubbled AND gate,குமிழ் மற்றும் வாயில்
Bubbled OR gate,புட்புடு அல்லது கேட்
Bubble memory,குமிழி நினைவகம்
Bucking voltage,மின்னழுத்தத்தை ஈடுசெய்யும்
Buffer,தாங்கல்
Buffer amplifier,தாங்கல் பெருக்கி
Buffer circuit,தாங்கல் சுற்று
Buffer driver,தாங்கல் ஆபரேட்டர்
Buffer register,தாங்கல் பதிவு
Bulb,பல்பு
Bulk effect,மக்கள் தொகை விளைவு
Bulk semi-conductor device,மேக்ரோ குறைக்கடத்தி சாதனம்
Buncher,கொத்து
Burried crossover,மூழ்கிய பரிமாற்றம்
Burried layer,மூழ்கிய அடுக்கு
Burrier contact,மூழ்கிய தொடர்பு
Burst amplifier,வெடிப்பு பெருக்கி
Burst blanking,குண்டு வெடிப்பு கவர்
Burst firing,குண்டு வெடிப்பு
Burst gate amplifier,வெடிப்பு கதவு பெருக்கி
Burst mode,வெடிப்பு முறை
Burst separator,வெடிப்பு பிரிப்பான்
Burst signal,வெடிப்பு சமிக்ஞை
Burst-error correcting code,வெடிப்பு பிழை திருத்தி குறியீடு
Bus,போதும்
Bus bar,பஸ் பார்
Bus organisation,பேருந்து அமைப்பு
Bus standard,பேருந்து தரநிலை
Bus transient,வெறும் கணம்
Butter worth filter,வெண்ணெய் மதிப்பு வடிகட்டி
BNC cable,bnc கம்பி
BNC connector,BNC இணைப்பாளர்
By pass,வழியில்
Bypass capacitor,பைபாஸ் மின்தேக்கி
Byte,பைட்
C band,வி இசைக்குழு
C band antenna,சி பேண்ட் ஆண்டெனா
Cable,கம்பி
Cable routing,கம்பி வழித்தடம்
Cable version,தந்தி தொலைக்காட்சி
Cache memory,கேச் நினைவகம்
Caesium frequency standard,சிசிம் அதிர்வெண் தரநிலை
Calculator,கால்குலேட்டர்
Calibration,அளவுத்திருத்தம்
Call address,அழைப்பு முகவரி
Colpitt's oscillator,கால்பிட் ஆஸிலேட்டர்
Camcorder,கேம் கார்டர்கள்
Camera,புகைப்பட கருவி
Camera tube,கேமரா குழாய்
Candela,குத்துவிளக்கு
Candle power,மெழுகுவர்த்தி சக்தி
Cantilever strain gauge,கான்டிலீவர் ஸ்ட்ரெய்ன் கேஜ்
Capacitance,வைத்திருக்கும்
Capacitance blood pressure transducer,கொள்ளளவு இரத்த அழுத்த மின்மாற்றி
Capacitance distributor,வைத்திருக்கும் விநியோகஸ்தர்
Capacitance junction,ஒப்பந்தம் வைத்தல்
Capacitance meter,கொள்ளளவு அளவீடு
Capacitance pick-up,வைத்திருக்கும் சேகரிப்பான்
Capacitive reactance,கொள்ளளவு எதிர்வினை
Capacitive transducer,"கொள்ளளவு ஆற்றல் மாற்றி, மின்மாற்றி"
Capacitor,மின்தேக்கி
Capacitor bank,மின்தேக்கி வங்கி
Capacitor filter,மின்தேக்கி வடிகட்டி
Capacitor input filter,மின்தேக்கி உள்ளீடு வடிகட்டி
Capstan motor,வின்ச் மோட்டார்
Capstan servo system,புல்லி சர்வோ உடல்
Capston,சார்க்கி
Capture,பிடிப்பு
Capture cross-section,பிடிப்பு பிரிவு
Capture effect,பிடிப்பு விளைவு
Carrier to noise ratio (CNR),கேரியர் இரைச்சல் விகிதம்
Car radio,கார் வானொலி
Carbon resistor,கார்பன் மின்தடை
Card reader,கார்டு ரீடர்
Cardiod diagram,இதய வரைபடம்
Carriage,வண்டி
Carriage return,வண்டி திரும்புதல்
Carrier,கேரியர்
Carrier communication,கேரியர் தொடர்பு
Carrier concentration,கேரியர் செறிவு
Carrier frequency,கேரியர் அதிர்வெண்
Carrier generation,கேரியர் இனப்பெருக்கம்
Carrier level,கேரியர் நிலை
Carrier life time,கேரியர் வாழ்க்கை
Carrier mobility,கேரியர் இயக்கம்
Carrier multiplication,கேரியர் பெருக்கல்
Carrier noise level,கேரியர் இரைச்சல் நிலை
Carrier range,கேரியர் வரம்பு
Carrier recovery circuits,கேரியர் மீட்பு சுற்று
Carrier reinsertion,கேரியர் மறுசெருகல்
Carrier scattering,கடத்தும் சிதறல்
Carrier suppression,கேரியர் அடக்குமுறை
Carrier trapping,கேரியர் கூண்டு
Carrier velocity,கேரியர் வேகம்
Carry bit,கை பிட்
Carry flag,கொடி நடைபெற்றது
Carry register,"உடைமைப் பதிவு, உடைமைப் பதிவு"
Carry-generator,சிறிய ஜெனரேட்டர்
Carson's rule,கார்சன் சட்டம்
Cartridge fuse,கெட்டி உருகி
Cartridge tape,கெட்டி நாடா
Carry foster bridge,கேரி ஃபாஸ்டர் பாலம்
Cascade amplifier,படி பெருக்கி
Cascading,தரம்
Cascade amplifier,அடுக்கு பெருக்கி
Cascode amplifier,"கேஸ்கோட் பெருக்கி, படி பெருக்கி"
Cassette,கேசட்
Catalysis,தூண்டுதல்
Catcher cavity,சிறைப்பிடிக்கப்பட்ட பூச்சு
Cathode,கேத்தோடு
Cathode follower,கேத்தோடு பின்வாங்கல்
Cathode follower amplifier,காதோட் டிரெயிலிங் பெருக்கி
Cathode luminescence,கேத்தோடு ஒளிர்வு
Cathode material,கேத்தோடு பொருள்
Cathode ray oscilloscope (CRO),கேத்தோடு கதிர் அலைக்காட்டி
Cathode ray tube (CRT),கேத்தோடு கதிர் குழாய்
Cathode sputtering,கேத்தோடு துகள் படிவு
Cathode luminescence,கேத்தோடு ஒளிர்வு
Cauer filter,தேங்காய் வடிகட்டி
Caver filter,கேவர் வடிகட்டி
Cavity,கோட்டார்
Cavity radiation,ஆன்ட்ரல் கதிர்வீச்சு
Cavity resonator,cotter resonator
CCD (=charge couled device) amplifier,கொழுப்பு சார்ஜ் இணைக்கப்பட்ட சாதனம் (CCD)
CD-ROM,சிடிரோம்
CD-ROM drive,சிடி ரோம் டிரைவ்
Cell (battery),செல் (பேட்டரி)
Central processing element,மைய வள உறுப்பு
Central processing unit (CPU),மத்திய வள அலகு
Central processor,மத்திய செயலி
Central value,அர்த்தம்
Centre frequency,நடு அதிர்வெண்
Centre tapped transformer,நடுத்தர வெளியேற்ற மின்மாற்றி
Ceramic,"பீங்கான், களிமண்"
Ceramic filler,பீங்கான் நிரப்பு
Ceramic filter,பீங்கான் வடிகட்டி
Ceramic material,பீங்கான் பொருள்
Ceramic resonator,செராமிக் ரெசனேட்டர்
Ceremic phono pick up,பீங்கான் ஒலி பெறுதல்
Cerenkov counter,செரென்கோவ் கால்குலேட்டர்
Cermet,சர்மத்
Chalcogenoid,சால்கோஜெனைடு
Chalcopyrite,கால்கோபைரைட்
Channel,"சேனல், சேனல்"
Channel bandwidth,சேனல் பேண்ட் விரிவாக்கம்
Channel encoder,சேனல் குறியாக்கி
Channel frequency,சேனல் அதிர்வெண்
Channel selector,சேனல் பாத்திரம்
Channel separation,சேனல் பிரிப்பு
Channeling theory,சேனல் கோட்பாடு
Character generator,எழுத்து ஜெனரேட்டர்
Character recognization,பாத்திரம் அங்கீகாரம்
Characteristic impedance,பண்பு மின்மறுப்பு
Charge carrier,சார்ஜ் கேரியர்
Charge control parameter,கட்டணம் கட்டுப்பாட்டு அளவுரு
Charge coupled device,சார்ஜ் இணைக்கப்பட்ட சாதனம்
Charge coupled random access memory,சார்ஜ் இணைந்த சீரற்ற அணுகல் நினைவகம்
Charge density,கட்டணம் அடர்த்தி
Charge injection device,கட்டணம் செலுத்தும் ஊசி சாதனம்
Charge loss,கட்டணம் இழப்பு
Charge pumping,கட்டணம் உந்தி
Charge sensitive amplifier,சார்ஜ் உணர்திறன் பெருக்கி
Charge storage,கட்டணம் சேமிப்பு
Charged particle,சார்ஜ் துகள்கள்
Charger,உணர்ச்சிமிக்க
Chassis,சட்டகம்
Chebyshev filter,robyshev வடிகட்டி
Check sum,மொத்தத்தை சரிபார்க்கவும்
Check up frequency,அதிர்வெண் சரிபார்க்கவும்
Chemical bond,இரசாயன பிணைப்பு
Chemical vapour deposition,இரசாயன நீராவி படிவு
Child lock facility,குழந்தை பூட்டு வசதி
Child's law,குழந்தை சட்டம்
Chip,சிப்
Chip enable,சிப் செயல்படுத்தல்
Choke,மூச்சுத்திணறல்
Choppar,இடைப்பட்ட
Chopper amplifier,இடைப்பட்ட பெருக்கி
Chopper amplifier,இடைப்பட்ட பெருக்கி
Chopper mode,இடைப்பட்ட முறை
Chroma amplifier,குரோமா பெருக்கி
Chromaticity diagram,குணாதிசய வரைபடம்
Chrominance,நிறமி
Circle diagram,வட்ட வரைபடம்
Circuit,சுற்று
Circuit analysis,சுற்று பகுப்பாய்வு
Circuit breaker,சுற்று பிரிப்பான்
Circuit diagram,சுற்று வரைபடம்
Circuit rotation,சுற்று குறியீடு
Circuit switching,சுற்று மாறுதல்
Circular wave guide,வட்ட அலை பாதை
Circulating memory,சுற்றும் நினைவகம்
Clamping circuit,பிணைப்பு சுற்று
Clapp oscillator,கைதட்டல் ஆஸிலேட்டர்
Class A amplifier,வகுப்பு A பெருக்கி
"Class A, B, C, D operation",வகுப்பு A] B] C] D செயல்பாடுகள்
Class B amplifier,வகுப்பு B பெருக்கி
Class C amplifier,வகுப்பு C பெருக்கி
Class D amplifier,வகுப்பு D பெருக்கி
Class S system,எஸ் வகுப்பு உடல்
Clear,"வெளியேற்றம், சுத்தமான"
Clipping,வெட்டுதல்
Clipping circuit,வெட்டும் சுற்று
Clock,காலட்
Clock frequency,கடிகார அதிர்வெண்
Clock pulse generator,கடிகார துடிப்பு ஜெனரேட்டர்
Clocked RS flip-flop,காதல் ஆர்எஸ் ஃபிளிப் ஃப்ளாப்
Closed circuit television,மூடிய சுற்று தொலைக்காட்சி
Closed loop operation,மூடிய வளைய செயல்பாடு
Closed-loop gain,மூடிய வளைய ஆதாயம்
CMOS (complementary MOS),நிரப்பு உலோக செமிகண்டக்டர்
CMOS devices,CMOS சாதனம்
CMRR (common mode rejection ratio),CMRR (பொதுவான முறை நடுநிலைப்படுத்தல் விகிதம்)
CO2 lasor,CO2லேசர்
Co-axial cable,கோஆக்சியல் கேபிள்
Co-axial cavity,கோஆக்சியல் கோட்டர்
Coaxial connector,கோஆக்சியல் இணைப்பான்
Co-axial connector,"கோஆக்சியல் கனெக்டர், கோஆக்சியல் கனெக்டர்"
Co-axial line,கோஆக்சியல் கோடு
Co-axial line,கோஆக்சியல் கோடு
Co-axial wave guide,கோஆக்சியல் அலை பாதை
Code conversion,குறியீடு மாற்றம்
Code converter,குறியீடு மாற்றி
CoDEC,"கோடெக், கோடர்-டிகோடர்"
Coding (stereo),ஸ்டீரியோ குறியீட்டு முறை
Co efficient of coupling,இணைத்தல் குணகம்
Coercive force,கட்டுப்படுத்தும் சக்தி
Coherent light,ஒத்திசைவான ஒளி
Coil,ஜாதகம்
Coil winding machine,சுருள் முறுக்கு இயந்திரம்
Coincidence circuit,தற்செயல் சுற்று
Cold cathode tube,சூடான கேத்தோடு குழாய்
Cold solder point,குளிர் வெல்டிங் புள்ளி
Collector,"சேகரிப்பான், சேகரிப்பான்"
Collector current,ஸ்ட்ரீம் சேகரிக்கிறது
Collector dissipation,சேகரிப்பான் சிதைவு
Collector efficiency,சேகரிப்பான் திறன்
Collimation lens,இணை லென்ஸ்
Color graphics,பாத்திர வரைவு
Colour burst,வண்ண வெடிப்பு
Colour code,"வண்ண குறியீடு, எழுத்து குறியீடு"
Colour difference signals,வண்ண வேறுபாடு சமிக்ஞை
Colour killer,மாற்று மருந்து
Colour monitor,வண்ண மானிட்டர்
Colour production,பாத்திரம் இனப்பெருக்கம்
Colour saturation,வண்ண செறிவு
Colour subcarrier frequency,வண்ண கேரியர் அதிர்வெண்
Colour syne signal,நிறமிகு சமிக்ஞை
Colour television,வண்ண தொலைக்காட்சி
Colour television system,வண்ண தொலைக்காட்சி உடல்
Column speaker,"நெடுவரிசைப் பேச்சாளர், நெடுவரிசை ஒலி வைப்பாளர்"
Comb filter,"சீப்பு வடிகட்டி, சீப்பு வடிகட்டி"
Combinational circuit,இணைப்பு சுற்று
Combinational logic,கூட்டு தர்க்கம்
Command,கட்டளை
Common base amplifier,பொதுவான அடிப்படை பெருக்கி
Common base configuration,பொதுவான அடிப்படை கட்டமைப்பு
Common collector amplifier  (= emitter follower),பொதுவான சேகரிப்பான் பெருக்கி
Common collector configuration,பொதுவான சேகரிப்பான் கட்டமைப்பு
Common drain amplifier,பொதுவான கொள்ளளவு பெருக்கி
Common emitter amplifier,பொதுவான உமிழ்ப்பான் பெருக்கி
Common gate amplifier,பொதுவான வாயில் பெருக்கி
Common ground,புவியியல்
Common mode signal,பொதுவான முறை சமிக்ஞை
Common return,வெகுஜன வருவாய்
Common source amplifier,பொதுவான மூல பெருக்கி
Common-emitter configuration,பொதுவான உமிழ்ப்பான் கட்டமைப்பு
Commulator,பைகான்வெர்ட்டர்
Communication satellite,தகவல் தொடர்பு செயற்கைக்கோள்
Communication system,தொடர்பு அமைப்பு
Community antenna system,சமூக ஆண்டெனா அமைப்பு
Compact disc ROM (cROM),காம்பாக்ட் ஸ்வாட்ச் ரோம் (சிடி ரோம்)
Companding,சுருக்க மாறுபாடு
Comparador,"அமுக்கி, கம்பண்டர்"
Comparator,"ஒப்பீட்டாளர், ஒப்பிடுபவர்"
Comparator diode,ஒப்பீட்டு டையோடு
Compatibility,பொருந்தக்கூடிய தன்மை
Compensated attenuator,ஈடுசெய்யும் அட்டென்யூட்டர்
Compensation bias,ஈடுசெய்யும் சார்பு
Compensation load,ஈடுசெய்யும் சுமை
Compensation log,பழிவாங்கும் வருத்தம்
Compensation probe,ஈடுசெய்யும் ஆய்வு
Compiler,தொகுப்பி
Compiler design,தொகுப்பி வடிவமைப்பு
Complement,துணை
Complementary distribution,துணை விநியோகம்
Complementary error,நிரப்பு பிழை
Complementary symmetry output,நிரப்பு சமச்சீர் வெளியீடு
Complete amplifier,முழு பெருக்கி
Complex frequency,கலப்பு அதிர்வெண்
Complex power,கூட்டு வலிமை
Compliance,பின்தொடர்தல்
Complementary error function,நிரப்பு பிழை செயல்பாடு
Complementary logic circuit,நிரப்பு தருக்க சுற்று
Component,தொகுதி
Composite signal,அலாய் வீடியோ சிக்னல்
Composition resistor,கலப்பு மின்தடை
Compound semiconductor,கலப்பு குறைக்கடத்தி
Compression,சுருக்கம்
Compression frequency,சுருக்க அதிர்வெண்
Compressor,"அமுக்கி, அமுக்கி, அமுக்கி"
Computer aided design,கணினி உதவி வடிவமைப்பு
Computer aided manufacture (CAM),கணினி உதவி உற்பத்தி
Computer graphics,கணினி வரைபடம்
Computer languages,கணினி மொழி
Computer memory,கணினி நினைவகம்
Computer network,கணினி வலையமைப்பு
Computer program,கணினி நிரல்
Computer viruses,கணினி வைரஸ்
Computer virus,கணினி வைரஸ்
Concentrator,"செறிவூட்டுபவர், செறிவூட்டுபவர்"
Conditional branching,கட்டுப்படுத்தப்பட்ட கிளை
Conditional jump,கட்டுப்படுத்தப்பட்ட ஜம்ப்
Conditional stability,கட்டுப்படுத்தப்பட்ட நிரந்தரம்
Conducting glass,டிரைவர் கண்ணாடி
