Hindi,English
अभिगम-तंत्र,Access mechanism
अभिगम काल,Access time
अभिगम्यता,Accessibility
"अतिरिक्त, सहायक, गौण (वि, ), उपसाधन",Accessory
अतिरिक्त प्रतिबन्ध,Accessory condition
संयोगी संपात,Accidental coincidence
संयोगी संपात-संशोधन,Accidental correction
आकस्मिक द्विजनन,Accidental degeneracy
आकस्मिक द्विअपवर्तन,Accidental double refraction
आगन्तुक त्रुटि,Accidental error
"आकस्मिक रोक, आकस्मिक जकड़",Accidental jamming
आकस्मिक संचारण,Accidental transmission
आकस्मिक विचरण,Accidental variation
समंजन,Accommodation
प्रतिस्थित,Accumbent
संचित त्रुटि,Accumulated error
"संचय, संचयन",Accumulation
ऊर्जा संचय,Accumulation of energy
संचायक*,Accumulator
यथार्थता,Accuracy
यथार्थ,Accurate
यथार्थ उपकरण प्रेक्षण,Accurate instrumental observation
यथार्थ परास चिह्नक,Accurate range marker
यथार्थ क्रमवीक्षण,Accurate scanning
अभ्यसन,Accustomisation
त्वरक कोष्ठ*,Acdelerating chamber
अवर्णक लेन्स*,Achromat
अवर्णक*,Achromatic
अवर्णक विश्लेषक,Achromatic analyser
आवृत्ति निरपेक्ष ऐन्टेना,Achromatic antenna
अवर्णक आकृति,Achromatic figure
अवर्णक फ्रिंज,Achromatic fringe
अवर्णक लेन्स*,Achromatic lens
अवर्णक बिन्दु पथ,Achromatic locus
अवर्णक अभिदृश्य लेन्स,Achromatic object lens
अवर्णक प्रिज़्म,Achromatic prism
अवर्णक दूरदर्शक,Achromatic telescope
अवर्णकता*,Achromaticity
अवर्णीकरण*,Achromatisation
अवर्णकता*,Achromatism
"एक्लास्टिक, अनपवर्तनिक, अवपवर्तनी",Aclastic
"एकॉर्न नली, बंजु नली",Acorn tube
लघु वाल्व,Acorn valve
एकूफ़ोनी,Acouphony
ध्वानिक,Acoustic
ध्वानिक अवशोषकता,Acoustic absorptivity
ध्वानिक क्षीणन गुणांक,Acoustic attenuation coeffcient
ध्वानिक क्षीणनांक,Acoustic attenuation constant
ध्वानिक चोर अलार्म,Acoustic burglar alarm
ध्वानिक धारिता,Acoustic capacitance
श्रवण-केन्द्र,Acoustic centre
ध्वानिक स्पष्टकारी,Acoustic clarifier
ध्वानिक छदपट्ट,Acoustic cloud
ध्वानिक अनुवृत्ति,Acoustic compliance
ध्वानिक घटक,Acoustic component
ध्वानिक चालकता,Acoustic conductivity
ध्वानिक अवमंदन,Acoustic damping
ध्वानिक परिक्षेपण,Acoustic dispersion
ध्वनि हासक,Acoustic dissipation element
ध्वानिक ऊर्जा*,Acoustic energy
ध्वनिक ऊर्जा समीकरण,Acoustic energy equation
ध्वानिक समीकरण,Acoustic equation
ध्वानिक पुनर्निवेश,Acoustic feedback
क्लैडनी आकृतियाँ,Acoustic figures (Chladni figures)
ध्वानिक फ़िल्टर,Acoustic filter
ध्वनि जनित्र,Acoustic generator
ध्वानिक ग्रेटिंग,Acoustic grating
ध्वानिक प्रतिबाधा*,Acoustic impedance
ध्वानिक जड़त्व,Acoustic inertance
ध्वानिक तीव्रता,Acoustic intensity
ध्वानिक व्यतिकरणमापी,Acoustic interferometer
ध्वानिक अतिक्रमण संसूचक,Acoustic intrusion detector
ध्वानिक लेन्स,Acoustic lens
ध्वनि लाइन,Acoustic line
ध्वानिक संहति,Acoustic mass
ध्वानिक सामग्री,Acoustic material
ध्वानिक माध्य मुक्त पथ,Acoustic mean free path
ध्वानिक विधा,Acoustic mode
ध्वानिक रव,Acoustic noise
ध्वानिक ओम*,Acoustic ohm
"ध्वानिक पैनल, ध्वानिक पट्ट",Acoustic panel
ध्वानिक प्रावस्था स्थिरांक,Acoustic phase constant
ध्वानिक उद्ग्राही,Acoustic pickup (sound box)
ध्वानिक दाब,Acoustic pressure
ध्वनि का समरूपता नियम,Acoustic principle of similarity
ध्वानिक संचरणांक,Acoustic propagation constant
ध्वानिक गुणधर्म,Acoustic property
ध्वानिक चतुर्ध्रुवी,Acoustic quardrupole
ध्वानिक विकिरक अवयव,Acoustic radiating element
ध्वनिक विकिरण,Acoustic radiation
ध्वनि-विकिरक,Acoustic radiator
ध्वानिक-विकिरणमापी,Acoustic radiometer
ध्वानिक प्रतिघात,Acoustic reactance
ध्वानिक पारस्पर्य प्रमेय,Acoustic reciprocity theorem
ध्वानिक अपचयन गुणक,Acoustic reduction factor
ध्वानिक परावर्तन गुणांक,Acoustic reflection coefficient
ध्वानिक अपवर्तन,Acoustic refraction
ध्वानिक प्रतिरोध,Acoustic resistance
ध्वानिक अनुक्रियता,Acoustic responsiveness
ध्वानिक प्रकीर्णन,Acoustic scattering
श्रवण-बिन्दु,Acoustic spot
ध्वानिक दुर्नम्यता,Acoustic stiffiness
ध्वानिक तंत्र,Acoustic system
ध्वानिक तापमापी,Acoustic thermometer
ध्वानिक-वेग,Acoustic velocity
ध्वनि तरंग,Acoustic wave
ध्वानिक,Acoustical
ध्वनि अवशोषण गुणांक,Acoustical absorption co-efficient
ध्वनि अवशोषण घटक,Acoustical absorption factor
ध्वानिक परिपथ,Acoustical circuit
ध्वानिक अनुवृत्ति,Acoustical compliance
ध्वानिक विलंब लाइन,Acoustical delay line
ध्वानिक विरूपण,Acoustical distortion
ध्वानिक और्जिकी,Acoustical energetics
ध्वानिक फ़िल्टर,Acoustical filter
ध्वानिक प्रतिबाधा*,Acoustical impedance (=acoustic impedance)
ध्वनि-भ्रामिका,Acoustical labyrinth
ध्वानिक ओम*,Acoustical ohm
ध्वानिक कला नियतांक,Acoustical phase constant
ध्वानिक फ़ोनान,Acoustical phonan
ध्वानिक संचरण नियतांक,Acoustical propagation constant (=propagation constant)
ध्वनि परिवर्तन गुणांक,Acoustical reduction factor
ध्वानिक प्रतिरोध,Acoustical resistance
ध्वानिक दुर्नम्यता,Acoustical stiffness
ध्वनि-मात्रक,Acoustical unit
ध्वनिरूद्ध,Acoustically insulated
ध्वानिक पार्श्व रेखा,Acoustico-lateral line
"ध्वानिकी, ध्वानिकता",Acoustics
ध्वनिमापी,Acoustimeter
ध्वनि दाब,Acoustomotive pressure=sound pressure
अर्जन रेडार,Acquisition radar
प्रकाश रसोक्रिय विकिरण,Actinic ray
ऐक्टिनियम उत्सर्जन,Actinium emnation
ऐक्टिनो-यूरेनियम,Actino-uranium
ऐक्टिनो-यूरेनियम श्रेणी,Actino-uranium series
विकिरण-विद्युत्,Actinoelectricity
"ऐक्टिनोमीटर, प्रकाशरसोक्रियामापी",Actinometer
"क्रिया, कर्म",Action
क्रिया और प्रतिक्रिया,Action and reaction
क्रिया स्थिरांक,Action constant
प्रभाव क्षेत्र,Action radium (=effective area)
"सक्रियित, सक्रियकृत",Activated
सक्रियित विसरण,Activated diffusion
"साक्रियकृत तंतु, सक्रियित तंतु",Activated filament
सक्रियण प्रभाव,Activating effect
सक्रियण प्रभाव,Activation
सक्रियण-विश्लेषण,Activation analysis
सक्रियता केन्द्र,Activation centre
सक्रियण-परिक्षत्र,Activation cross-section
सक्रियण ऊर्जा,Activation energy
सक्रियण ऐन्ट्रॉपी,Activation entropy
सक्रियण अधिवोल्टता,Activation over-voltage
सक्रियण दर,Activation rate
"सक्रियकारक, सक्रियक",Activator
सक्रियक परमाणु,Activator atom
त्वरक-सक्रियक,Activator of accelerator
सक्रिय अवशोषण,Active absorption
सक्रिय एरियल,Active aerial
विकिरण ख़तरा क्षेत्र,Active area (controlled area)
सक्रिय युक्ति,Active device
सक्रिय अभिलक्ष्यन,Active homing
सक्रिय हाइड्रोजन*,Active hydrogen
सक्रिय जालक,Active lattice
"सक्रिय लाइन, सक्रिय रेखा",Active line
सक्रिय पाश,Active loop
सक्रिय संहति*,Active mass
सक्रिय सामग्री,Active material
सक्रिय अणु,Active molecule
सक्रिय जाल,Active network
सक्रिय पुनरवशोषण,Active re-absorption
सक्रिय क्षेत्र,Active region
सक्रिय नियमन,Active regulation
सक्रिय उपग्रह,Active satellite
सक्रिय कलंकीय सौर ज्वाला,Active sunspot prominence
सक्रिय सूक्ष्मात्रिक पदार्थ,Active trace sub stances
सक्रिय अनुवर्तन तंत्र,Active tracking system
सक्रिय ट्रांसडयूसर,Active transducer
सक्रिय उदग्रहण,Active uptake
सक्रियता गुणांक*,Activity coefficient
सक्रियता सूचकांक,Activity index
सक्रियता -अनुपात,Activity ratio
सक्रियता सदिश,Activity vector
वास्तविक मानीटर,Actual monitor
वास्तविक प्रतिबल,Actual stress
"चालू करना, प्रवृत्त करना",Actuate
प्रवर्तक,Actuating
प्रवर्तक,Acturator
सुतीक्ष्णतामापी,Acuity meter
श्रवण सुतीक्ष्णता,Acuity of hearing
फोटोतीक्ष्णता मान,Acutance
न्यूनकोण,Acute angle
क्षिप्र उद्भासन,Acute exposure
न्यूनकोण त्रिभुज,Acute triangle
अचक्रीय,Acyclic
अनुकूलन प्रयुक्ति,Adaptation manoeuver
अनुकूलित अवस्था,Adapted stae
अनुकूली नियंत्रण तंत्र,Adaptive control system
अनुकूलनमापी,Adaptometer
एडकॉक एन्टेना,Adcock antenna
"योग करना, जोड़ना",Add
संकलन काल,Add time
संकलन-व्यवकलन काल,Add-subtract time
योजक,Adder
"योग, जोड़, संकलन (सं.), योगात्मक (वि.)",Addition
अतिरिक्त स्थिरांक,Addition constant
त्वरण-योग नियम,Addition law of acceleration
दूरी-योग नियम,Addition law of distance
वेग-योग नियम,Addition law of velocity
सदिशों का योग,Addition of vectors
संकलन अभिक्रिया,Addition reaction
अतिरिक्त अर्धतल,Additional half plane
"संयोजी स्वर, अतिरिक्त टोन (स्वर)",Additional tone
"योज्य, योगात्मक",Additive
योज्य प्रणाल,Additive channel
संयोजी वर्ण,Additive colour
संकली वर्ण प्रक्रम,Additive colour process
योज्य पूरक रंग,Additive complementary colour
योज्य स्थिरांक,Additive constant
योज्य कर्षण,Additive drag
योज्य प्रभाव,Additive effect
योजित कारक,Additive factor
योज्य फलन,Additive function
योज्य मिश्रण,Additive mixing
योज्य मूलवर्ण,Additive primary
योज्य प्रक्रम,Additive process
"योज्यता, योगशीलता",Additive property
योज्य क्वांटम संख्या,Additive quantum number
संकलन अभिक्रिया,Additive reaction
योज्यता,Additivity
एडीट्रॉन,Additron
पता*,Address
पता अभिकलन,Address computation
पता-स्थल,Address counter
पता-कूटवचन,Address decoding
पता व्यंजक,Address expression
पता-सुगमता,Address facility
पता पट्टिका,Address format
पता बत्ती,Address light
पता-आपरिवर्तन,Address modification
पतांश,Address part
पता पंजी,Address register
पता चयन स्विच,Address selection swith
पता छाँटाई सारणी,Address table sort
पताभिगमन,Addressing
ऐड्रेसोग्राफ़,Addressograph
पता-प्रणाली,Addresssing system
आसंजन,Adhesion
आसंजन तनाव,Adhesion tension
आसंजी ऊर्जा,Adhesional energy
आसंजक अवरोधन,Adhesive blocking
ऐडियाबैट,Adiabat
रूद्धोष्म,Adiabatic
रूद्धोष्म त्वरण,Adiabatic acceleration
रूद्धोष्म सन्निकटन,Adiabatic approximation
रूद्धोष्म आयतन गुणांक,Adiabatic bulk modulus
रूद्धोष्म ऊष्मामापी,Adiabatic calorimeter
रूद्धोष्म परिवर्तन,Adiabatic change
"ऐडियाबेटिक चार्ट, रूद्धोष्म संचित्र",Adiabatic chart
रूद्धोष्म संपीड्यता,Adiabatic compressibility
रूद्धोष्म संपीडन,Adiabatic compression
रूद्धोष्म संरोध,Adiabatic containment
रूद्धोष्म शीतलन सीमा,Adiabatic cooling limit
रूद्धोष्म वक्र,Adiabatic curve
रूद्धोष्म विरूपण,Adiabatic deformation
रूद्धोष्म विचुंबकन,Adiabatic demagnetisation
रूद्धोष्म वियोजन,Adiabatic dissociation
रूद्धोष्म विस्थापन,Adiabatic drift
रूद्धोष्म प्रभाव,Adiabatic effect
रूद्धोष्म प्रत्यास्थता,Adiabatic elasticity
रूद्धोष्म दीर्घवृत्त,Adiabatic ellipse
रूद्धोष्म पूर्ण-ऊष्मा हास,Adiabatic enthalpy drop
रूद्धोष्म-समीकरण,Adiabatic equation
रूद्धोष्म अवस्था समीकरण,Adiabatic equation of state
रूद्धोष्म संतुलन-ताप,Adiabatic equilibrium temperature
रूद्धोष्म संतुलन,Adiabatic equillibrium
रूद्धोष्म प्रसार,Adiabatic expansion
रूद्धोष्म ज्वाला ताप,Adiabatic flame temperature
रूद्धोष्म प्रवाह,Adiabatic flow
रूद्धोष्म उच्चावचन,Adiabatic fluctuations
रूद्धोष्म गैस समीकरण,Adiabatic gas equation
रूद्धोष्म प्रवणता,Adiabatic gradient
रूद्धोष्म ऊष्मा ह्रास,Adiabatic heat drop
रूद्धोष्म आयनन विभव,Adiabatic ionization potential
रूद्धोष्म ह्रास-दर,Adiabatic lapse rate
रूद्धोष्म संवेग आवेश,Adiabatic momentum charge
रूद्धोष्म प्रक्रम,Adiabatic process
रूद्धोष्म अभिक्रिया,Adiabatic reaction
रूद्धोष्म चाल,Adiabatic speed
रूद्धोष्म विकृति-ऊर्जा,Adiabatic strain energy
रूद्धोष्म निकाय,Adiabatic system
रूद्धोष्म ताप प्रवणता,Adiabatic temperature gradient
रूद्धोष्म उपरोधन,Adiabatic throttling
रूद्धोष्म रूपान्तरण,Adiabatic transformation
"प्रकाश रसोक्रिया, विकिरण रोधी",Adiactinic
ऊष्मा-अपार्यता,Adiathermancy
ऊष्मा-अपार्य,Adiathermanous
ऐडायन,Adion
आसन्नताव प्रभाव,Adjacency effect
"संलग्न, निकटवर्ती, आसन्न",Adjacent
आसन्न कोण,Adjacent angle
संलग्न चैनल क्षीणन,Adjacent channel attenuation
संलग्न परिपथ,Adjacent circuit
संलग्न प्रावस्था,Adjacent phase
"संलग्न विडियो वाहक, संलग्न चित्र वाहक",Adjacent picture carrier=adjacent vision carrier
संलग्न ध्वनिवाहक,Adjacent sound carrier
संलग्न चैनल वरणक्षमता,Adjeacent channel selectivity
संलग्न चैनल बाधा,Adjecent channel interference
समायोज्य संधारित्र,Adjestable condenser
समायोज्य लेन्स धारक,Adjestable lens holder
समायोज्य आवर्धक,Adjestable magnifier
समायोज्य दाब,Adjestable pressure
समायोज्य लघुपथक,Adjestable short
समायोजनी,Adjustor
प्रवेश्यता,Admittance
प्रवेश्यता संकारक,Admittance operator
अधिशोषण*,Adsorption
अग्रिम बॉल,Advance ball
अग्रगत,Advanced
अभिवर्धित चालकीय बधिरता,Advanced conductive deafness
अग्रगत विभव,Advanced potential
प्रगामी तरंग,Advancing wave
प्रगामी तरंगाग्र,Advancing wave front
वातोढ़ हार्प,Aeolian harp
एओलियन टोन,Aeolian tone
"इअन ( वर्ष), युग",Aeon
"आकाशी, वायव (वि.) एरियल (सं.)",Aerial
एरियल व्यूह,Aerial array
ऐन्टेनी क्षीणक,Aerial attenuator
ऐन्टेनी वर्धक,Aerial booster
एरियल केबल,Aerial cable
वायु-कैमरा,Aerial camera
ऐन्टेना परिपथ विच्छेदक,Aerial circuit breaker
ऐन्टेना नियंत्रण पट,Aerial control table
ऐन्टेना अप्रासंगिक सिगनल,Aerial cross talk
ऐन्टेना धारा,Aerial current
ऐन्टेना अवमन्दन,Aerial damping
एन्टेना भूसंपर्कक स्विच,Aerial earthing switch
ऐन्टेना दक्षता,Aerial efficiency
एरियल इलैक्टिक इरेज़िंग मशीन,Aerial electric erasing machine
ऐन्टेना उन्नायक,Aerial elevation pawl
ऐन्टेना उत्तेजन,Aerial excitation
ऐरियल कुहरा,Aerial fog
ऐन्टेना प्रतिबाधा,Aerial impedance
ऐन्टेना प्रेरकत्व,Aerial inductance
ऐन्टेना प्रणायक विद्युत रोधी,Aerial lead insulator
ऐन्टेना लाइन,Aerial line
ऐन्टेना भारण कुंडली,Aerial loading inductane=antenna loading coil
ऐन्टेनी हानि,Aerial loss
ऐन्टेना रव,Aerial noise
आकाशी फ़ोटो निर्वचन,Aerial photo-interpretation
वायव फ़ोटोग्राममिति,Aerial photogrammetry
वायव फ़ोटो,Aerial photograph
वायव फ़ोटोग्राफ़ी,Aerial photography
ऐन्टेना शक्ति,Aerial power
ऐन्टेना विकिरणी प्रतिरोध,Aerial radiation resistance
ऐन्टेना प्रतिघात,Aerial reactance
ऐन्टेना घूर्णन डायल,Aerial repeat dial
ऐन्टेना प्रतिरोध,Aerial resistance
ऐन्टेना श्रेणी संधारित्र,Aerial series capacitor
आकाशी सर्वेक्षण,Aerial survey
एरियल तंत्र,Aerial system
ऐन्टेना स्तम्भ,Aerial tower
वायव वेग,Aerial velocity
ऐन्टेना दंड,Aerial yard
वायुकंपी छन्ना,Aero-vibe screen
वायुगतिक प्राक्षेपिकी,Aeroballistics
हवाई अड्डा नियंत्रण,Aerodrome control
हवाई अड्डा संकट बीकन,Aerodrome hazard beacon
हवाई अड्डा मौसमविज्ञान,Aerodrome meteorology
वायुगतिक दाब,Aerodybnamic pressure
वायुगतिक बल,Aerodynaamic force
वायुगतिक बल घटक,Aerodynamaic force component
वायुगतिक गुणांक,Aerodynamic coefficient
वायुगतिक कर्षण,Aerodynamic drag
वायुगतिक दक्षता,Aerodynamic efficiency
वायुगतिक दक्षता अनुपात,Aerodynamic efficiency ratio
वायुगतिक बल,Aerodynamic force
वायुगतिक बल घटक,Aerodynamic force component
वायुगतिक रिक्ति,Aerodynamic gap
वायुगतिक तापन,Aerodynamic heating
वायुगतिक तापन सीमा,Aerodynamic heating limit
वायुगतिक माध्य जीवा,Aerodynamic mean chord
वायुगतिक मिसाइल,Aerodynamic misile
वायुगतिक आघूर्ण,Aerodynamic moment
वायुगतिक अनुक्रिया,Aerodynamic response
वायुगतिकीय परीक्षण यान,Aerodynamic test vehicle
वायुगतिक बलाघूर्ण,Aerodynamic torque
वायुगतिक व्यावर्तन,Aerodynamic twist
वायुगतिक बल,Aerodynamical force
वायुगतिकी,Aerodynamics
वायुप्रत्यास्थाता प्रभाव,Aeroelastic effect
वायुप्रत्यास्थाता,Aeroelasticity
वायुप्रत्यास्थिकी,Aeroelastics
ऐयरोफॉयल,Aerofoil
"एयरोग्राम, वायुलेख",Aerogram
वायुलेखी,Aerograph
वैमानिक,Aeronaautical
वैमानिक बीकन,Aeronautical beacon
वैमानिक चार्ट,Aeronautical chart
वैमानिकी,Aeronautics
वायविकी,Aeronomy
वायु सीमान्त,Aeropause
एरोफ़ोन,Aerophone
"विमान, हवाई जहाज़",Aeroplane
विमान प्रभाव,Aeroplane effect
वैमानिक चित्रकंप,Aeroplane flutter
वायुस्पंद,Aeropulse
वायु अनुनादी,Aeroresonator
