Malayalam,Assamese
ഏകീകൃത മാട്രിക്സ്,সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স
മാട്രിക്സ് കോവേരിയൻസ്,মেট্ৰিক্স সহাৱস্থান
ഏകീകൃത മാട്രിക്സ്,সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স
സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം,গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য
സ്വീകാര്യമായ സിദ്ധാന്തം,গ্ৰহণযোগ্য অনুমান
എയറോഡൈനാമിക് ശക്തി,বায়ুগতিবিদ্যা বল
എയറോഡൈനാമിക്സ്,বায়ুগতিবিদ্যা
ഏകതാനമായ ജ്യാമിതി,সমজাতীয় জ্যামিতি
ഏകതാനമായ മാപ്പിംഗ്,সমজাতীয় মেপিং
ഏകതാനമായ പരിവർത്തനം,সমজাতীয় ৰূপান্তৰ
മൊത്തം വേരിയബിൾ,এগ্ৰিগেট ভেৰিয়েবল
"ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം","বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত"
"സീഡി അടഞ്ഞ, വിത്ത്","বীজযুক্ত বন্ধ, বীজযুক্ত"
ബീജഗണിത സമവാക്യം,বীজগণিতীয় সমীকৰণ
ബീജഗണിത പദപ്രയോഗം,বীজগণিতীয় প্ৰকাশ
ബീജഗണിത ഏകത,বীজগণিতীয় একাকাৰীতা
ബീജഗണിത പ്രവർത്തനം,বীজগণিতীয় ফলন
ബീജഗണിത ജ്യാമിതി,বীজগণিতীয় জ্যামিতি
ബീജഗണിത ബഹുത്വം,বীজগণিতীয় বহুত্ব
ബീജഗണിത വ്യവസ്ഥ,বীজগণিতীয় ব্যৱস্থা
എല്ലാ-പൂർണ്ണസംഖ്യാ പ്രശ്നം,সকলো-পূৰ্ণসংখ্যা সমস্যা
"അസൈൻമെന്റ് പ്രശ്നം വാട്ട് ചോദ്യം,",নিযুক্তিৰ সমস্যা watt প্ৰশ্ন
അക്ഷരമാലാ ക്രമം,বৰ্ণানুক্ৰমিক সংকেত
അക്ഷരമാലാക്രമം,বৰ্ণানুক্ৰমিক আখৰ
ഇതര കോണുകൾ,বিকল্প কোণ
"ഇതര ഏകതാനമായ ഇതര രൂപം,",বিকল্প সমজাতীয় বিকল্প ৰূপ
ഇതര ഗ്രൂപ്പ്,বিকল্প গোট
ഇതര മാട്രിക്സ്,বিকল্প মেট্ৰিক্স
ഇതര പരമ്പര,বিকল্প শৃংখলা
ഇതര സിദ്ധാന്തം,বিকল্প অনুমান
ബദൽ ഒപ്റ്റിമം,বিকল্প অনুকূল
ഇതര ഫലം,বিকল্প ফলাফল
അനലോഗ് അക്ക കൺവെർട്ടർ,এনালগ-ডিজিট ৰূপান্তৰক
"അനലോഗ് കമ്പ്യൂട്ടർ,",এনালগ কম্পিউটাৰ
വിശകലനം,বিশ্লেষণ
സഹവർത്തിത്വ വിശകലനം,সহাৱস্থান বিশ্লেষণ
എണ്ണൽ-വിവര വിശകലനം,গণনা-তথ্য বিশ্লেষণ
വ്യതിയാന വിശകലനം,ভ্যাৰিয়েন্স বিশ্লেষণ
അനലിറ്റിക്കൽ ജ്യാമിതി,বিশ্লেষণাত্মক জ্যামিতি
വിശകലന പ്രവർത്തനം,বিশ্লেষণাত্মক কাৰ্য্য
കോൺ,কোণ
ടാൻജന്റ് കോൺ,স্পৰ্শক কোণ
വ്യതിചലന കോൺ,বিক্ষেপণ কোণ
വിഷാദം ആംഗിൾ,ডিপ্ৰেছন এংগেল
വ്യതിയാനം കോൺ,বিচ্যুতি কোণ
ഡിഫ്രാക്ഷൻ ആംഗിൾ,বিবৰ্তন কোণ
എലവേഷൻ കോൺ,উচ্চতা কোণ
സംഭവത്തിന്റെ കോൺ,প্ৰাদুৰ্ভাৱৰ কোণ
പ്രൊജക്ഷൻ കോൺ,প্ৰক্ষেপণৰ কোণ
പ്രതിഫലനത്തിന്റെ കോൺ,প্ৰতিফলনৰ কোণ
അപവർത്തന കോൺ,বিবৰ্তনৰ কোণ
റൊട്ടേഷൻ കോൺ,ঘূৰ্ণন কোণ
പ്രതിഫലനത്തിന്റെ സമ്പൂർണ്ണ കോൺ,প্ৰতিফলনৰ নিৰপেক্ষ কোণ
കോണീയ ത്വരണം,কৌণিক ত্বৰণ
കോണീയ പ്രവേഗം,কৌণিক বেগ
കോണീയ വേഗത,কৌণিক গতি
കോണീയ പ്രവേഗം,কৌণিক বেগ
മോതിര വിരൽ,ৰিং ফিংগাৰ
ഉത്തരം,উত্তৰদিশ
കൌണ്ടർ ഡെറിവേറ്റീവ്,কাউণ্টাৰ ডেৰাইভেটিভ
ഐസോമെട്രിക് ഫംഗ്ഷൻ,সমমিতি ফলন
"കവർ ചെയ്യാവുന്ന, ബാധകമായ, ബാധകമായ","আবৃত, প্ৰযোজ্য, প্ৰযোজ্য"
"അപേക്ഷ അപേക്ഷ,",আবেদন আবেদন
പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്,ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে
പ്രയോഗിച്ച ജ്യാമിതി,প্ৰয়োগ কৰা জ্যামিতি
പ്രയോഗിച്ച ഗണിതശാസ്ത്രം,প্ৰয়োগ কৰা গণিত
പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ,প্ৰয়োগ কৰা পৰিসংখ্যা
"ഏകദേശം, ഏകദേശം","আনুমানিক, আনুমানিক"
ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം,প্ৰায় অবিৰত ফলন
"മാക്രോ രീതി, ഏകദേശ രീതി","মেক্ৰ&#39; পদ্ধতি, আনুমানিক পদ্ধতি"
ഏകദേശ പരിഹാരം,আনুমানিক সমাধান
ഏകദേശ പ്രശ്നം,আনুমানিক সমস্যা
ഏകദേശ സ്വത്ത്,আনুমানিক বৈশিষ্ট্য
അഭിരുചി പരീക്ഷ,যোগ্যতা পৰীক্ষা
ആർഗോൺ ഡയഗ്രം,আৰ্গন ডায়েগ্ৰাম
സ്വമേധയാ,স্বেচ্ছামূলক
"ക്രമരഹിതമായ, ക്രമരഹിതമായ","random, যাদৃচ্ছিক"
ഏകപക്ഷീയമായ സ്ഥിരാങ്കം,ইচ্ছাকৃত ধ্ৰুৱক
സ്വതന്ത്ര ഘടകം,মুক্ত মৌল
ഏകപക്ഷീയമായ പോയിന്റ്,ইচ্ছাকৃত বিন্দু
ആർക്കിമിഡീസിന്റെ നിയമം,আৰ্কিমিডিছৰ নিয়ম
ആർക്കിമിഡീസിന്റെ നിയമം,আৰ্কিমিডিছৰ নিয়ম
"കമാനം നീളം, കമാനം നീളം","চাপ-দৈৰ্ঘ্য, চাপ-দৈৰ্ঘ্য"
സർക്കിൾ ആർക്ക്,বৃত্ত চাপ
വിപരീത സൈൻ വിതരണം,বিপৰীত চাইন বিতৰণ
വിപരീത സൈൻ പരിവർത്തനം,বিপৰীত চাইন ৰূপান্তৰ
"പ്രദേശം, പ്രദേശം","এলেকা, এলেকা"
പ്രാദേശിക കോൺഫിഗറേഷൻ,আঞ্চলিক সংৰূপ
ഒരു സങ്കീർണ്ണ സംഖ്യയുടെ കോൺ,এটা জটিল সংখ্যাৰ কোণ
ഗണിത അർത്ഥം,গাণিতিক গড়
ഡിജിറ്റൽ പ്രവർത്തനം,ডিজিটেল অপাৰেচন
ഡിജിറ്റൽ യൂണിറ്റ്,ডিজিটেল ইউনিট
"കോൺഫിഗറേഷൻ, ക്രമീകരണം","কনফিগাৰেচন, ব্যৱস্থা"
"അറേ, അറേ","এৰে, এৰে"
കൃത്രിമ ഉപഗ്രഹം,কৃত্ৰিম উপগ্ৰহ
കൃത്രിമ വേരിയബിൾ,কৃত্ৰিম চলক
കയറാൻ,বগাবলৈ
ആരോഹണം,আৰোহী
മാഗ്നിറ്റ്യൂഡിന്റെ ആരോഹണ ക്രമം,মাত্ৰাৰ আৰোহী ক্ৰম
ആരോഹണ ഗ്രേഡ്,আৰোহী গ্ৰেড
അസംബ്ലർ ഭാഷ,এছেম্বলাৰ ভাষা
"അസൈൻമെന്റ് പ്രശ്നം അസൈൻമെന്റ് ചോദ്യം,",নিযুক্তি সমস্যা নিযুক্তি প্ৰশ্ন
സഹകാരി നിയമം,সহযোগী নিয়ম
ഓപ്പറേറ്റർമാരുടെ അനുബന്ധ നിയമം,অপাৰেটৰৰ এছ&#39;চিয়েটিভ নিয়ম
അനുബന്ധ പ്രവർത്തനം,এছ&#39;চিয়েটিভ অপাৰেচন
കൂട്ടുകെട്ട്,সংগীত্ব
അർത്ഥമാക്കുന്നത്,ধৰি লোৱা গড়
പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ അനുമാനിച്ചു,ধাৰণা কৰা সম্ভাৱনা বিতৰণ
"സങ്കല്പിച്ചു, സമ്മതിച്ചു,","কল্পনা কৰা, স্বীকাৰ কৰা"
ജ്യോതിഷം,জ্যোতিষ বিজ্ঞান
"ബഹിരാകാശ എഞ്ചിനീയർ ബഹിരാകാശ എഞ്ചിനീയർ,",মহাকাশ অভিযন্তা মহাকাশ অভিযন্তা
ജ്യോതിശാസ്ത്രജ്ഞൻ*,জ্যোতিৰ্বিজ্ঞানী*
ജ്യോതിശാസ്ത്ര ഘടികാരം,জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী
ജ്യോതിശാസ്ത്രം,জ্যোতিৰ্বিজ্ঞান
അസമമായ വക്രം,অসমতাপূৰ্ণ বক্ৰ
അസമമിതി,বিষমতা
അസിംപ്റ്റോട്ടിക്,এছিম্পটটিক
വഷളാക്കുന്നു,গুৰুতৰ কৰি তোলা
പുരോഗമന എസ്റ്റിമേറ്റർ,প্ৰগতিশীল অনুমানক
റിട്രോഗ്രേഡ് ബയസ്ഡ് എസ്റ്റിമേറ്റർ,ৰেট্ৰ&#39;গ্ৰেড পক্ষপাতমূলক অনুমানক
പിന്തിരിപ്പൻ പെരുമാറ്റം,ৰেট্ৰ&#39;গ্ৰেড আচৰণ
ആക്രമണാത്മക വിതരണ പ്രവർത്തനം,আক্ৰমণাত্মক বিতৰণ ফলন
മുകളിലേക്ക് വ്യാപിച്ചു,ওপৰলৈ বিয়পি পৰা
അന്തരീക്ഷമർദ്ദം,বায়ুমণ্ডলীয় চাপ
"ക്രമരഹിതമായി,",যাদৃচ্ছিকভাৱে
സ്വത്ത്*,গুণ*
ആട്രിബ്യൂട്ട്-സാമ്പിൾ-മെക്കാനിസം,বৈশিষ্ট্য-নমুনা-ব্যৱস্থা
വർദ്ധിപ്പിച്ച മാട്രിക്സ്,বৰ্ধিত মেট্ৰিক্স
ഓട്ടോകോറിലേഷൻ കോഫിഫിഷ്യന്റ്,স্ব-সম্বন্ধ সহগ
ഓട്ടോകോറിലേഷൻ ഫംഗ്ഷൻ,স্বয়ংসম্বন্ধ কাৰ্য্য
സഹവർത്തിത്വം,সহাৱস্থান
ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടർ,স্বয়ংক্ৰিয় কম্পিউটাৰ
സ്വയം റിഗ്രഷൻ,অটোৰিগ্ৰেছন
സഹായ സമവാക്യം,সহায়ক সমীকৰণ
ശരാശരി സാമ്പിൾ നമ്പർ വക്രം (MPC കർവ്),গড় নমুনা সংখ্যা বক্ৰ (MPC বক্ৰ)
"സിദ്ധാന്തം, സിദ്ധാന്തം","স্বতন্ত্ৰ, স্বতন্ত্ৰ"
axiom സമീപനം,স্বতন্ত্ৰ পদ্ধতি
സംഭാവ്യത സിദ്ധാന്തം,সম্ভাৱনা স্বতন্ত্ৰতা
അച്ചുതണ്ട്,অক্ষ
ഭുജാക്ഷ,ভূজাক্ষ
ഭൂമിയുടെ അച്ചുതണ്ട്,পৃথিৱীৰ অক্ষ
ഭ്രമണ അക്ഷം,ঘূৰ্ণন অক্ষ
ഭ്രമണ അക്ഷം,ঘূৰ্ণন অক্ষ
സ്പിൻ അക്ഷം,স্পিন অক্ষ
പോസ്റ്റ് മാറ്റിസ്ഥാപിക്കൽ,পোষ্ট সলনি কৰা
പിന്നീട്,পাছত
തിരികെ ചേർക്കൽ സൂത്രവാക്യം,পিছলৈ সন্নিৱিষ্ট কৰা সূত্ৰ
"ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്","ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য"
സമതുലിതമായ ഡിസൈൻ,সুষম ডিজাইন
ബാലൻസ് ഷീറ്റ്,বেলেন্স শ্বীট
മിസൈൽ,মিছাইল
"ബാലിസ്റ്റിക്സ്, ആയുധം","বেলিষ্টিক, অস্ত্ৰ-শস্ত্ৰ"
"നിര, വടി, കോബ്, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ലൈൻ, ലൈൻ, ടെസ്റ്റ് ലൈൻ, എഡ്ജ്","স্তম্ভ, ৰড, কব, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, ৰেখা, ৰেখা, পৰীক্ষা ৰেখা, প্ৰান্ত"
"അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം","ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি"
അടിസ്ഥാന കോൺ,ভিত্তি কোণ
"ലോഗരിതം അടിസ്ഥാനം, ലോഗരിതം അടിസ്ഥാനം","লগাৰিদমৰ ভিত্তি, লগাৰিদমৰ ভিত্তি"
"അടിസ്ഥാന, അടിസ്ഥാന,","মূল, মৌলিক"
അടിസ്ഥാന യോജിച്ച പരിഹാരം,ভিত্তি সুসংহত সমাধান
അടിസ്ഥാന പരിഹാരം,ভিত্তি দ্ৰৱণ
അടിസ്ഥാന വേരിയബിൾ,ভিত্তি চলক
അടിസ്ഥാനം,ভেঁটি
അടിസ്ഥാന ഘടകം,ভিত্তি উপাদান
അടിസ്ഥാന മാട്രിക്സ്,ভিত্তি মেট্ৰিক্স
വെക്റ്റർ സ്ഥലത്തിന്റെ അടിസ്ഥാനം,ভেক্টৰ স্থানৰ ভিত্তি
ഉപജനസംഖ്യാ അടിസ്ഥാനം,উপজনসংখ্যাৰ ভিত্তিত
സത്യസന്ധമല്ലാത്ത,অসাধু
ബെസ്-റൂൾ,bez-নিয়ম
bez-theorem,bez- উপপাদ্য
ബെർണൂലി-വിതരണം,bernoulli-বিতৰণ
ബെർണൂലി നമ്പറുകൾ,বাৰ্নৌলিৰ সংখ্যা
ബെർണൂലി പ്രോബബിലിറ്റി ഫംഗ്‌ഷൻ,বাৰ্নৌলি সম্ভাৱনা ফলন
ബെർണൂലി-സമവാക്യം,বাৰ্নৌলি-সমীকৰণ
ബെറി ഫംഗ്ഷൻ,জামুৰ কাৰ্য্য
മികച്ച അഡീഷൻ,শ্ৰেষ্ঠ আঠাযুক্ততা
മികച്ച അഡീഷൻ ലൈൻ,শ্ৰেষ্ঠ আঠাযুক্ত ৰেখা
മികച്ച പരിഹാരം,উত্তম সমাধান
മികച്ച നുറുങ്ങുകൾ,শ্ৰেষ্ঠ টিপছ
ബീറ്റ വിതരണം,বিটা বিতৰণ
"പക്ഷപാതം, പക്ഷപാതം","bias, পক্ষপাতিত্ব"
പക്ഷപാതപരമായ വിലയിരുത്തൽ,পক্ষপাতমূলক মূল্যায়ন
ദ്വിപദ സമവാക്യം,দ্বিপদ সমীকৰণ
ഒറ്റ കവർ,একক কভাৰ
ഒറ്റ കവർ മാപ്പ്,একক কভাৰ মেপ
ഒറ്റ കവർ മാപ്പിംഗ്,একক কভাৰ মেপিং
ക്വാഡ്രാറ്റിക് ക്വാഡ്രാറ്റിക്,দ্বিঘাত দ্বিঘাত
ബിലീനിയർ ഫംഗ്ഷൻ,দ্বিৰৈখিক ফলন
ബൈലീനിയർ ഹെർമിഷ്യൻ ഹോമോജെനിറ്റി,দ্বিৰৈখিক হাৰ্মিটিয়ান সমতা
"ദ്വി-വേരിയബിൾ, ബൈനറി, ഡ്യുവൽ","দ্বি-চলক, বাইনাৰী, দ্বৈত"
"ബൈനറി കോഡ്, ബൈനറി കോഡ്","বাইনাৰী ক&#39;ড, বাইনাৰী ক&#39;ড"
"ബൈനറി കോഡ് ചെയ്ത ദശാംശം, ബൈനറി കോഡഡ് ദശാംശം","বাইনাৰী ক&#39;ড কৰা দশমিক, বাইনাৰী ক&#39;ড কৰা দশমিক"
ബൈനറി എൻകോഡിംഗ്,বাইনাৰী এনকোডিং
ബൈനറി കമ്പ്യൂട്ടർ,বাইনাৰী কম্পিউটাৰ
ബൈനറി അക്കങ്ങൾ,বাইনাৰী সংখ্যা
ബൈനറി പ്രവർത്തനം,বাইনাৰী অপাৰেচন
ബൈനറി രീതി,বাইনাৰী পদ্ধতি
ബൈനറി വേരിയബിൾ,বাইনাৰী চলক
ദ്വിപദ ഗുണകം,দ্বিপদ সহগ
ദ്വിപദ വിതരണം,দ্বিপদ বিতৰণ
ദ്വിപദ സമവാക്യം,দ্বিপদ সমীকৰণ
ദ്വിപദ വ്യത്യാസം,দ্বিপদ ভ্যাৰিয়েন্স
ദ്വിപദ പദപ്രയോഗം,দ্বিপদ অভিব্যক্তি
ബൈനോമിയൽ റാൻഡം വേരിയബിൾ,দ্বিপদ ৰেণ্ডম চলক
ദ്വിപദ സിദ്ധാന്തം,দ্বিপদ উপপাদ্য
"പകുതി, വിഭജനം","আধা, bifurcation"
"വിഭജന രീതി, സെമിഡിവിഷൻ രീതി","bisect পদ্ধতি, অৰ্ধবিভাজন পদ্ধতি"
പകുതി ദ്വിമുഖം,হাফ বাইছেক্টৰ
"ദ്വിപദം, ദ്വിമുഖം","দ্বিপদ, দ্বৈত"
"ഡ്വയങ്ക് (ബൈനറി സംഖ്യ), ആനി, ബർമീസ്, തുക്","ড্ৱায়াংক (বাইনাৰী সংখ্যা), অনি, বাৰ্মিজ, টুক"
ദ്വിപദ ദ്വിപദ വിതരണം ദ്വിപദം,দ্বিপদ দ্বিপদ বিতৰণ দ্বিপদ
ദ്വിവസ്ത്ര പരസ്പര ബന്ധ ഗുണകം,দ্বিচলকীয় সম্পৰ্ক সহগ
ദ്വിവിധ വിതരണം,দ্বিচলকীয় বিতৰণ
bivariate സാധാരണ-വിതരണം,দ্বিচলকীয় স্বাভাৱিক-বিতৰণ
ബിവെക്ടർ,বাইভেক্টৰ
ബോൾട്ട്മാൻ സമവാക്യം,বোল্টমেন সমীকৰণ
ബൂളിയൻ ബീജഗണിതം*,বুলিয়ান বীজগণিত*
ബോസ്-ഐൻസ്റ്റീൻ സ്ഥിതിവിവരക്കണക്കുകൾ,বস-আইনষ্টাইন পৰিসংখ্যা
പരിമിതി നിയന്ത്രണങ്ങൾ,সীমাবদ্ধতা নিষেধাজ্ঞা
അതിർത്തി നില,সীমা স্তৰ
അതിർത്തി രേഖ,সীমাৰেখা
പരിധി മൂല്യം,সীমা মূল্য
അതിർത്തി മൂല്യ പ്രശ്നം,সীমা মূল্যৰ সমস্যা
"പരിമിതമായ പ്രവർത്തനം പരിമിതമായ ഫലം,",সীমাবদ্ধ ফলন সীমাবদ্ধ ফল
"ബൗണ്ടഡ് മാട്രിക്സ്, ബൗണ്ടഡ് മാട്രിക്സ്, ബൗണ്ടഡ് ടേബിൾ,","সীমাবদ্ধ মেট্ৰিক্স, সীমাবদ্ধ মেট্ৰিক্স, সীমাবদ্ধ টেবুল"
"അതിർത്തി പ്രദേശം അതിർത്തി പ്രദേശം,",সীমাবদ্ধ ভূখণ্ড সীমাবদ্ধ ভূখণ্ড
"ബൗണ്ടഡ് സെറ്റ് ബൗണ്ടഡ് സെറ്റ്,",সীমাবদ্ধ ছেট সীমাবদ্ধ গোট
ബ്രൗണി ചലനം,ব্ৰাউনি গতি
കണക്കാക്കാൻ,গণনা কৰা
കണക്കുകൂട്ടല്,গণনা কৰা
"കാൽക്കുലേറ്റർ, കാൽക്കുലേറ്റർ","কেলকুলেটৰ, কেলকুলেটৰ"
കണക്കുകൂട്ടല്*,গণনা*
കമ്പ്യൂട്ടേഷണൽ പ്രവർത്തന രീതി,গণনামূলক ক্ৰিয়া পদ্ধতি
"കാൽക്കുലേറ്റർ, കാൽക്കുലേറ്റർ","কেলকুলেটৰ, কেলকুলেটৰ"
"കാൽക്കുലസ്, കാൽക്കുലസ്","কেলকুলাছ, কেলকুলাছ"
വേരിയൻസ് കാൽക്കുലസ്,ভ্যাৰিয়েন্স কেলকুলাছ
കലോറികൾ,কেলৰি
ഭരണം റദ്ദാക്കുക,বাতিল নিয়ম
കാനോനിക്കൽ സമവാക്യം,কেননিক সমীকৰণ
കാനോനിക്കൽ രൂപം,কেননিক ৰূপ
"കാനോനിക്കൽ മാട്രിക്സ്, കെ കാനോനിക്കൽ മാട്രിക്സ്","কেননিক মেট্ৰিক্স, কে কেননিক মেট্ৰিক্স"
കാന്റർ സെറ്റ്,কেন্টৰ ছেট
കാന്റർ ത്രികോണ സെറ്റ്,cantor ত্ৰিকোণীয় ছেট
പരിമിതമായ ഗതാഗത പ്രശ്നം,বাধ্যতামূলক পৰিবহণ সমস্যা
കഴിവ്,সক্ষমতা
കാപ്പിലറി ബലം,কেপিলাৰী বল
"എണ്ണം നമ്പർ, കാർഡിനൽ നമ്പർ","গণনা সংখ্যা, কাৰ্ডিনেল সংখ্যা"
കാർട്ടിസിയൻ അക്ഷം,কাৰ্টেচিয়ান অক্ষ
കാർട്ടീഷ്യൻ കോർഡിനേറ്റുകൾ,কাৰ্টেছিয়ান স্থানাংক
കാർട്ടീഷ്യൻ ഉൽപ്പന്നം,কাৰ্টেছিয়ান উৎপাদন
സെറ്റുകളുടെ കാർട്ടീഷ്യൻ ഗുണനം,সমষ্টিৰ কাৰ্টেছিয়ান গুণন
"കേസ് പഠനം, കേസ് പഠനം","কেছ ষ্টডি, কেছ ষ্টডি"
ആപത്കരമായ പ്രസംഗം,দুৰ্যোগপূৰ্ণ ভাষণ
കാറ്ററി,catinary
കോച്ചി വിതരണം,কাউচি বিতৰণ
കൗശിയുടെ സൂത്രം,কৌশীৰ সূত্ৰ
കൗശി-ഗുർസാ സിദ്ധാന്തം,কৌশী-গুৰ্ষ-উপাপাদ্য
കൗശി-റീമാൻ-ബാൻ,কৌছি-ৰাইমান-বান
Cauchy ക്രമം,ক&#39;চি ক্ৰম
കൗശി അവിഭാജ്യ,কৌশি অবিচ্ছেদ্য
കൗശി പ്രധാന മൂല്യം,কৌশী মূল-মূল্য
കൗച്ചി ശേഷിക്കുന്ന സിദ്ധാന്തം,ক’চি ৰেমেইণ্ডাৰ উপপাদ্য
കാൾ-ഹാമിൽട്ടൺ-സിദ്ധാന്തം,কেলে-হেমিল্টন-উপাপাদ্য
ആകാശ ശരീരം,আকাশী দেহ
ജ്യോതിശാസ്ത്രപരമായ അളവ്,জ্যোতিৰ্বিজ্ঞানৰ জোখ-মাখ
ആകാശ മെക്കാനിക്സ്,আকাশী যান্ত্ৰিকতা
ആകാശ ശരീരം,আকাশী দেহ
സെൽ ആവൃത്തി,কোষ কম্পাঙ্ক
"സെൻസസ്, സെൻസസ്","লোকপিয়ল, লোকপিয়ল"
ശതമാനം,শতাংশ
സെന്റീമീറ്റർ,চেন্টিমিটাৰ
സെന്റീമീറ്റർ-ഗ്രാം-രണ്ടാം രീതി,চেণ্টিমিটাৰ-গ্ৰাম-ছেকেণ্ড পদ্ধতি
