Kannada,Tamil
ಬೈನರಿ ದ್ವಿಧ್ರುವಿ ಕೆಪಾಸಿಟರ್,பைனரி இருமுனை மின்தேக்கி
ಬೈನರಿ ಕ್ಯಾಲ್ಕುಲೇಟರ್,பைனரி கால்குலேட்டர்
ಬೈನರಿ ಕ್ಯಾಲ್ಕುಲೇಟರ್,பைனரி கால்குலேட்டர்
ಬೈನರಿ ಡಿಕೋಡರ್,பைனரி குறிவிலக்கி
ಬೈನರಿ ಏಣಿ,பைனரி ஏணி
ಬೈನರಿ ಪಾಥೋಮೀಟರ್,பைனரி பாத்தோமீட்டர்
ದ್ವಿಮಾನ ಸ್ಥಿತಿ,இருமை நிலை
ಬೈನರಿ-ದಶಮಾಂಶ ಡಿಕೋಡರ್,பைனரி-தசம குறிவிலக்கி
ಬೈನರಿ ಲೋಡ್,பைனரி சுமை
ಬೈನರಿ ಪದಗಳು,பைனரி வார்த்தைகள்
ಬೈಪೋಲಾರ್,இருமுனை
ಬೈಪೋಲಾರ್ ಕೆಪಾಸಿಟರ್,இருமுனை மின்தேக்கி
ಬೈಪೋಲಾರ್ ಸಾಧನ,இருமுனை சாதனம்
ಬೈಪೋಲಾರ್ ಮೂಲ,இருமுனை மூல
ಬೈಪೋಲಾರ್ ಟ್ರಾನ್ಸಿಸ್ಟರ್,இருமுனை டிரான்சிஸ்டர்
ಬೈಪೋಲಾರ್ ಜಂಕ್ಷನ್ ಟ್ರಾನ್ಸಿಸ್ಟರ್,இருமுனை சந்திப்பு டிரான்சிஸ்டர்
ಕ್ವಾಡ್ರಾಟಿಕ್ ಫಿಲ್ಟರ್,இருபடி வடிகட்டி
ಎರಡು ಸ್ಥಾನ,இரட்டை நிலை
ಎರಡು ಹಂತದ ಮಲ್ಟಿವೈಬ್ರೇಟರ್,இரண்டு-நிலை மல்டிவைபிரேட்டர்
ದ್ವಿಮುಖ ರಿಲೇ,இருதரப்பு ரிலே
ದ್ವಿಮುಖ ಸ್ಥಿತಿ,இரண்டு கட்ட நிலை
ಎರಡು-ಸ್ಥಾನದ ಪ್ರಚೋದಕ,இரண்டு நிலை தூண்டுதல்
ಬಿಟ್ ದೋಷ,பிட் பிழை
ಬಿಟ್ ದೋಷ ದರ,பிட் பிழை விகிதம்
ಬಿಟ್ ದೋಷ,பிட் பிழை
ಬಿಟ್ಕಲ್ ದೋಷ,பிட்கல் பிழை
ಕುರುಡು ಪೆಟ್ಟಿಗೆ,குருட்டு பெட்டி
ಮಂದಗೊಳಿಸಿದ ನಾಡಿ,அமுக்கப்பட்ட துடிப்பு
ಸ್ರವಿಸುವವನು,சுரப்பவர்
ಸ್ರವಿಸುವ ಪ್ರತಿಬಂಧಕ,சுரக்கும் தடுப்பான்
ಕುರುಡುತನ,குருட்டுத்தன்மை
ವಿಭಾಗದ ರೇಖಾಚಿತ್ರ,பிரிவு வரைபடம்
ತಡೆಯುವ ಪ್ರತಿರೋಧ,தடுப்பு மின்தடை
ತುಣುಕು ವರ್ಗಾವಣೆ,துண்டு பரிமாற்றம்
ತಡೆಹಿಡಿಯಿರಿ,இடைமறிக்கவும்
ರೆಸಿಸ್ಟರ್ ಕೆಪಾಸಿಟರ್,மின்தடை மின்தேக்கி
ರೆಸಿಸ್ಟರ್ ಕೆಪಾಸಿಟರ್,தடுப்பான் மின்தேக்கி
ತಡೆಯುವ ಆಂದೋಲಕ,தடுக்கும் ஆஸிலேட்டர்
ತಡೆಯುವ ಆಂದೋಲಕ,மின்தடை ஆஸிலேட்டர்
ಪ್ರತಿರೋಧಕ ವೋಲ್ಟೇಜ್,மின்தடை மின்னழுத்தம்
ಊದುವವನು,ஊதுபவர்
ಬೋಡ್ ರೇಖಾಚಿತ್ರ,போட் வரைபடம்
ವೋಲ್ಟ್ಜ್ಮನ್ ಸಂಬಂಧ,வோல்ட்ஸ்மேன் உறவு
ವೋಲ್ಟ್ಜ್ಮನ್ ಸ್ಥಿರ,வோல்ட்ஸ்மேன் மாறிலி
ಕರಾರುಪತ್ರ,பத்திரம்
ಬೌಂಡ್ ಸ್ಟ್ರೈನ್ ಗೇಜ್,பிணைக்கப்பட்ட திரிபு அளவு
ಸ್ವಯಂ-ಬೆಂಬಲಿತ ಆಂಪ್ಲಿಫಯರ್,சுயமாக இயக்கப்படும் பெருக்கி
ಬೂಲಿಯನ್ ಬೀಜಗಣಿತ,பூலியன் இயற்கணிதம்
ಬೂಲಿಯನ್ ಸಮೀಕರಣ,பூலியன் சமன்பாடு
ಬೂಟ್ ಸ್ಟ್ರಾಪನ್,துவக்க ஸ்ட்ராபன்
ಬೂತ್ ಅಲ್ಗಾರಿದಮ್,பூத்தின் அல்காரிதம்
ಬೂಟ್ ಸ್ಟ್ರಾಪ್ ಪ್ರಿಸ್ಮ್ ಸರ್ಕ್ಯೂಟ್,பூட்ஸ்ட்ராப் ப்ரிசம் சுற்று
ಬಾಸ್ಕಟ್ಸ್ ನಿಯಮ,bosscutts ஆட்சி
ಬೋಸ್-ಚೌಧರಿ ಹಾಕಿನ್‌ಹ್ಯಾಮ್ (BCH) ಕೋಡ್,போஸ்-சௌத்ரி ஹாக்கன்ஹாம் (BCH) குறியீடு
"ಜಂಪ್, ಜಂಪ್","குதி, குதி"
ಬೌಂಡ್ ಎಲೆಕ್ಟ್ರಾನ್,பிணைக்கப்பட்ட எலக்ட்ரான்
ಬ್ರಾಗ್ ಪ್ರತಿಫಲಕ,ப்ராக் பிரதிபலிப்பான்
ಹೆಣೆದುಕೊಂಡ ತಂತಿ,பின்னிப் பிணைந்த கம்பி
ಶಾಖೆ,கிளை
ಕವಲೊಡೆಯುತ್ತಿದೆ,கிளைகள்
ಪ್ರಯೋಗ ಮಂಡಳಿ,பரிசோதனை குழு
ವಿರಾಮ ವಲಯ,எலும்பு முறிவு மண்டலம்
ಬ್ರೇಕಿಂಗ್ ವೋಲ್ಟೇಜ್,உடைக்கும் மின்னழுத்தம்
ಸ್ಥಗಿತ ಡಯೋಡ್,முறிவு டையோடு
ಮುರಿತದ ಸ್ಥಿರೀಕರಣ,எலும்பு முறிவு சரிசெய்தல்
ಬ್ರೇಕಿಂಗ್ ವೋಲ್ಟೇಜ್,உடைக்கும் மின்னழுத்தம்
ಸೇತುವೆ,பாலம்
ಸೇತುವೆ ರಿಕ್ಟಿಫೈಯರ್,பாலம் திருத்தி
ವಿಶಾಲ ಬ್ಯಾಂಡ್,பரந்த இசைக்குழு
ಪ್ರಸಾರ ಬ್ಯಾಂಡ್,ஒலிபரப்பு இசைக்குழு
ಆಸ್ಟ್ರಲ್ ಅರೇ,நிழலிடா வரிசை
ಪ್ರಸಾರ,ஒளிபரப்பு
ಪ್ರಸಾರ ಆಂಟೆನಾ,ஒளிபரப்பு ஆண்டெனா
ಪ್ರಸಾರ ರಿಸೀವರ್,ஒளிபரப்பு ரிசீவர்
ಆವರ್ತನ ಪ್ರಸಾರ ರಿಸೀವರ್,அதிர்வெண் ஒளிபரப்பு பெறுதல்
ಪ್ರಸಾರ ಟ್ರಾನ್ಸ್ಮಿಟರ್,ஒளிபரப்பு டிரான்ஸ்மிட்டர்
ಬೂಸ್ಟರ್ ಆಂಟೆನಾ,பூஸ்டர் ஆண்டெனா
ಬಸ್ ಆಂಟೆನಾ,பஸ் ஆண்டெனா
ಬ್ರಷ್ ಇಮ್ಮರ್ಶನ್,தூரிகை மூழ்குதல்
ಬಬ್ಲಿಂಗ್ ಮತ್ತು ಗೇಟ್,குமிழ் மற்றும் வாயில்
ಬುಡ್ಬುಡು ಅಥವಾ ಗೇಟ್,புட்புடு அல்லது கேட்
ಬಬ್ಲಿ ನೆನಪು,குமிழி நினைவகம்
ಸರಿದೂಗಿಸುವ ವೋಲ್ಟೇಜ್,மின்னழுத்தத்தை ஈடுசெய்யும்
ಬಫರ್,தாங்கல்
ಬಫರ್ ಆಂಪ್ಲಿಫಯರ್,தாங்கல் பெருக்கி
ಬಫರ್ ಸರ್ಕ್ಯೂಟ್,தாங்கல் சுற்று
ಬಫರ್ ಆಪರೇಟರ್,தாங்கல் ஆபரேட்டர்
ಬಫರ್ ರಿಜಿಸ್ಟರ್,தாங்கல் பதிவு
ಬಲ್ಬ್,பல்பு
ಜನಸಂಖ್ಯೆಯ ಪರಿಣಾಮ,மக்கள் தொகை விளைவு
ಮ್ಯಾಕ್ರೋ ಸೆಮಿಕಂಡಕ್ಟರ್ ಸಾಧನ,மேக்ரோ குறைக்கடத்தி சாதனம்
ಗುಂಪನ್ನು,கொத்து
ಮುಳುಗಿದ ವಿನಿಮಯ,மூழ்கிய பரிமாற்றம்
ಮುಳುಗಿದ ಪದರ,மூழ்கிய அடுக்கு
ಮುಳುಗಿದ ಸಂಪರ್ಕ,மூழ்கிய தொடர்பு
ಬ್ಲಾಸ್ಟ್ ಆಂಪ್ಲಿಫಯರ್,வெடிப்பு பெருக்கி
ಬ್ಲಾಸ್ಟ್ ಕವರ್,குண்டு வெடிப்பு கவர்
