Assamese,English
সক্ৰিয় সংস্কৰণ,active version
অচক্ৰীয়,acyclic
"১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ",acyclic graph
আদা কম্পিউটাৰ ভাষা,Ada language
"১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ",adapter
to sum),add
যোগফল নথিপত্ৰ,add file
"1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য",add operation
adder,adder
ঠিকনা,address
ঠিকনা বাছ,address bus
ঠিকনা নথিপত্ৰ,address file
ঠিকনা বিন্যাস,address format
ঠিকনা উৎপাদক,address generator
ঠিকনা ৰেখা,address line
ঠিকনা মেপিং,address mapping
ঠিকনা সূচক,address pointer
ঠিকনা পঞ্জীয়ন,address register
ঠিকনা ভাঙি যোৱা,address resolution
ঠিকনা অনুবাদ,address translation
"1. ঠিকনাযোগ্য স্মৃতিশক্তি, 2. ঠিকনাযোগ্য মেমৰি",addressed memory
সম্বোধন কৰা,addressing
"১.পৰ্যাপ্ততাৰ মাপকাঠী, ২. পৰ্যাপ্ততাৰ মাপকাঠী",adequacy criteria
সংলগ্ন কৰা হৈছে,adjoint
"1. ব্যৱস্থাপনা , 2. নিয়ন্ত্ৰণ",administration
"১.পৰিচালক, ২. নিয়ন্ত্ৰক",administrator
এডোব এক্ৰ&#39;বেট,adobe acrobat
এডোব ফটোশ্বপ,adobe photoshop
ABAP (উন্নত ব্যৱসায়িক প্ৰগ্ৰেমিং),Advance Business Application Programming (ABAP)
"1. উন্নত তথ্য, 2. উন্নত তথ্য",advanced data
উন্নত তথ্য ব্যৱস্থা,advanced information system
উন্নত প্ৰযুক্তি (AT),advanced technology (AT)
কাৰ্য কৰা,agent
একত্ৰীকৰণ,aggregation
বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা,airborne computer system
aldus পৃষ্ঠা-নিৰ্মাণ,aldus page maker
সতৰ্কবাণী বাকচ,alert box
algol (কম্পিউটাৰ ভাষা),algol
"1. এলগৰিদম , 2. এলগৰিদম",algorithm
"১.এলগৰিদম বিশ্লেষণ, ২. এলগৰিদম বিশ্লেষণ",algorithm analysis
এলগৰিদম দক্ষতা,algorithm efficiency
"১.ইলিয়াছ, ২. ডাকনাম, ৩. aka",alias
প্ৰান্তিককৰণ,alignment
"১.আবণ্টন, ২. আবণ্টন",allocation
"১.বৰ্ণানুক্ৰমিক, ২. বৰ্ণানুক্ৰমিক ক্ৰম",alphabetic
আলফানিউমেৰিক,alphanumeric
"1. আলফানিউমেৰিক কিবৰ্ড ,2. আলফানিউমেৰিক কিবৰ্ড",alphanumeric key board
আলফা-পৰীক্ষণ (১ম স্তৰৰ পৰীক্ষা),alpha-test
"1. আলফা সংস্কৰণ, 2. আলফা ৰূপ",alpha-version
alt কি&#39;,alt key
আলতাভিস্তা,altavista
বহুগুণতা,ambiguity
অস্পষ্ট ব্যাকৰণ,ambiguous grammar
আমেৰিকান নেচনেল ষ্টেণ্ডিজ ইনষ্টিটিউট (ANSI),American National Standards Institute (ANSI)
আমেৰিকান ষ্টেণ্ডাৰ্ড কাট (ascii),American Standard Code For Information Interchange (ASCII)
"1. অনুৰূপ, ২. এনালগ",analog
"১.এনালগ কম্পিউটাৰ, ২.এনালগ কম্পিউটাৰ",analog computer
"1. এনালগ ডিভাইচ, 2. এনালগ ডিভাইচ",analog device
"1. এনালগ মডেম, 2. এনালগ মডেম",analog modem
এনালগ টু ডিজিটেল কনভাৰ্টাৰ,Analog To Digital Converter (ADC)
শেষ (ডিজিটেল/প্লেন লজিক &#39;আৰু&#39; ব্যৱহৃত),AND
শেষ বৰ্তনী,AND circuit
শেষৰ গেট আৰু গেট,AND gate
অপাৰেচন শেষ নহয় (বৰ্জন),AND not operation (Exclusion)
"১.এনিমেচন, ২.কম্পন",animation
দ্ৰষ্টব্য,annotation
অসামঞ্জস্যতা,anomaly
পূৰ্ৱবৰ্তী,antecedent
প্ৰত্যাশিত পেজিং,anticipatory paging
প্ৰতি-সমমিতিক,anti-symmetric
এন্টিভাইৰেল প্ৰগ্ৰেম,antivirus program
"১.এপলেট, ২. দৰ্খাস্ত",applet
এপ্লিকেচন ডেভেলপাৰ,application developer
এপ্লিকেচন প্ৰগ্ৰেমিং,application programming
"1. এপ্লিকেচন প্ৰগ্ৰামিং আন্তঃপৃষ্ঠ, 2. এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)",application programming interface (API)
এপ্লিকেচন চফ্টৱেৰ,application software
আবেদন ভাষা,applicative language
আনুমানিক নীতি,approximation theory
গাঁঠনি,architecture
ক্ষেত্ৰ স্থানান্তৰ,area transfer
"1. প্ৰাচল, স্বাধীন চলক, 2. কোণ",argument
"1. গাণিতিক আৰু যুক্তি একক, 2. গাণিতিক আৰু যুক্তি একক",arithmatic and logic unit
গাণিতিক পৰীক্ষা,arithmatic check
গাণিতিক ধ্ৰুৱক,arithmatic constant
গাণিতিক তথ্য,arithmatic data
গাণিতিক নিৰ্দেশনা,arithmatical instruction
গাণিতিক আৰু যুক্তিসংগত একক (ALU),arithmetic and logic unit (ALU)
ARPA নেট (RPNet),ARPANET
এৰে,array
"1. এৰে কেচ, 2. এৰেৰ গতি, ৩. এৰে মেমৰি",array cache
এৰে কম্পিউটাৰ,array computer
এৰে উপাদান,array element
এৰেৰ নাম,array name
এৰে প্ৰচেছৰ,array processor
কাঁড় চিহ্ন,arrow keys
সন্ধি,articulation
জংচন পইণ্ট,articulation point
কৃত্ৰিম সংকোচন,artificial compaction
কৃত্ৰিম নিয়ন্ত্ৰণ,artificial control
কৃত্ৰিম ইন্দ্ৰিয়,artificial intelligence
মাউন্ট,ascender
আৰোহী সজাই পৰাই তোলা,ascending sort
ascii বৰ্ণমালা,ASCII betical order
ascii নিয়ন্ত্ৰণ চিহ্ন,ASCII control character
ascii ফাইল,ASCII file
ascii ফন্ট,ASCII font
ASCII স্থানান্তৰ,ASCII transfer
এস্পেক্ট ৰেচিঅ&#39;,aspect ratio
"১.এছপি, ২. এ এছ পি আই",ASPI
এ এছ আৰ কালাদ,ASR timer
"১/ স্মৰণ, ২। একত্ৰিত কৰা, ৩. একত্ৰিত কৰা",assemble
"১.সমাবেশকাৰী, ২. স্মাৰক",assembler
"1. একত্ৰিত কৰা, ২. স্মৃতি",assembly
"১/ মুখস্থ কৰা ভাষা, ২. ভাষা একত্ৰিত কৰা",assembly language
সংকল্প,assertion
"1. নিৰ্দিষ্ট কাম, 2. আবণ্টন",assignment
সংগীত্ব,association
সহযোগী ঠিকনা,associative address
"১.সংগত স্মৃতি, ২. সহযোগী স্মৃতিশক্তি",associative memory
তাৰকা চিহ্ন (* চিহ্ন),asteric
অসমতাপূৰ্ণ,asymmetric
"1. এচিনক্ৰ&#39;নাছ , 2. এচিনক্ৰ&#39;নাছ",asynchronous
এচিনক্ৰ&#39;নাছ ডিজিটেল গ্ৰাহক লাইন (ADSL),asynchronous Digital Subscriber Line (ADSL)
এচিংক্ৰ&#39;নাছ সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM),asynchronous Time Division Multiplexing (ATDM)
এচিনক্ৰ&#39;নাছ স্থানান্তৰ,asynchronous transfer
এচিংক্ৰ&#39;নাছ ট্ৰেন্সফাৰ মোড (ATM),asynchronous Transfer Mode (ATM)
"১.পৰমাণু, ২. পৰমণ",atom
সংলগ্ন নথিপত্ৰ,attached document
"1. সংলগ্ন ফাইল/মিছিল, 2. সংলগ্ন ফাইল",attached file
"১.আৱৰণ, ২. সংযুক্ত",attachment
"১.গুণ, ২. বৈশিষ্ট্য",attribute
শ্ৰৱণযোগ্য,audio
"1. অডিট প্ৰগ্ৰেমিং, 2. অডিট প্ৰগ্ৰেমিং",audit programming
একাউণ্ট পৰীক্ষণ,audit trail
প্ৰচাৰ,augmentation
প্ৰমাণীকৰণ প্ৰট&#39;কল,authentication protocol
লেখক পদ্ধতি,authoring system
"১.কৰ্তৃত্ব, ২. কৰ্তৃত্ব, ৩. ন্যায়াধিকৰণ",authorization
অটো বিমূৰ্ত,auto abstract
"1. স্বয়ংক্ৰিয় বুটিং, 2. self বুট",autobooting
AutoCAD (এটা কম্পিউটাৰ ভাষা),autocad
স্বয়ংক্ৰিয় লগ-অন,autolog on
automata,automata
automata তত্ত্ব,automata theory
স্বয়ংক্ৰিয় গণনা,automatic computing
স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ,automatic data processing
স্বয়ংক্ৰিয় ভুল সংশোধন,automatic error correction
অটো ফাংচন,automatic function
"1. স্বয়ংক্ৰিয় সূচীভুক্তকৰণ, 2. স্বয়ংক্ৰিয় তালিকাভুক্তকৰণ",automatic indexing
অটো-সংগ্ৰহ কল,automatic library call
"1. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং, 2. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং",automatic programming
"1. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম, 2. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম",automatic recovery program
অটো ৰুটিন,automatic routine
স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ,automatic system recovery
"১/ স্বয়ংক্ৰিয় টেলাৰ মেচিন (এটিএম), ২. স্বয়ং উলিওৱাৰ বাবে বেংকৰ ATM",automatic teller machine (ATM)
অটোমেচন,automation
"1. অটোপ্লে , 2. অটো ৱাক",autoplay
কণ্ঠদান,autosave
সহায়ক,auxiliary
সহায়ক স্মৃতিশক্তি,auxiliary memory
সহায়ক সংৰক্ষণ,auxiliary storage
উপলব্ধ তালিকা,available list
উপলব্ধ সময়,available time
গড়,average
AWK (এটা কম্পিউটাৰ কমাণ্ড),awk (language)
পাছত,backend
পোষ্ট প্ৰচেছৰ,backend processor
পশ্চাৎ কাৰ্য্য বিলোপন,backface removal
পটভূমি প্ৰক্ৰিয়াকৰণ,background processing
আনুষংগিক দোকানসমূহ,backing store
বেক পেচিং,backpatching
"১.পশ্চিম, ২. বেকস্পেচ",backspace
পিছুৱাই যোৱা,backtracking
"1. বেক-আপ , 2. ৰিইম্বৰ্চেমেণ্ট",back-up
"১/ পৰিপূৰক স্মৃতিশক্তি, ২. বেক-আপ মেমৰি",back-up memory
পিছলৈ ভুল সংশোধন,backward error recovery
(আয়-ব্যয়) বেলেন্স শ্বীট,balance sheet
পট্টি,band
"১.বেণ্ড প্ৰস্থ, ২. বেণ্ডউইডথ/ক্ষমতা",band width
বেংকাৰৰ এলগৰিদম,banker's algorithm
"1. বাৰ ক&#39;ড, 2. বাৰ ক&#39;ড",bar code
বাৰক&#39;ড স্ক্যানাৰ,bar code scanner
বাৰ গ্ৰাফ,bar graph
ভিত্তি ঠিকনা,base address
বেচ বেণ্ড,base band
আধাৰ নম্বৰ,base number
ভিত্তি টেবুল,base table
মূল (এটা কম্পিউটাৰ ভাষা),BASIC
"1. মূল নিয়ন্ত্ৰণ , 2. ভিত্তি নিয়ন্ত্ৰণ",basic control
"১/ মূল বিনিয়োগ, ২. ভিত্তি বিনিয়োগ",basic input
মূল নিৰ্দেশনা,basic instruction
ভিত্তি বিষয়,basic output
মূল পৰ্যায়,basic step
"১.বেচ, ২. গোট, ৩. বিপৰ্যয়",batch
"1. বেচ ফাইল, 2. বেচ ফাইল",batch file
বেচৰ অৱস্থা,batch position
"১.বেচ প্ৰচেছিং, ২. গ্ৰুপ প্ৰচেছিং",batch processing
"1. বেচ ব্যৱস্থা, 2. কেটাপল্ট ব্যৱস্থা",batch system
baud,baud
বড হাৰ,baud rate
ৰশ্মি ৰশ্মি,beam
"1. নিৰ্দেশনা , 2. বেচ মাৰ্ক",benchmark
দ্বিমুখী যোগাযোগ,bidirectional communication
প্ৰত্যক্ষ সংযোগ,bidirectional link
বাইনাৰী ক&#39;ড,binary code
বাইনাৰী অংক,binary digit
বাইনাৰী বিনিয়োগ আউটপুট ব্যৱস্থা (BIOS),binary Input output system (BIOS)
বাইনাৰী সংখ্যা,binary number
বাইনাৰী অপাৰেটৰ,binary operator
বাইনাৰী সম্পৰ্ক,binary relation
বাইনাৰী সন্ধান,binary search
বাইনাৰী অন্বেষণ বৃক্ষ (BST),binary search tree (BST)
"1. বাইনাৰী স্থানান্তৰ গছ, 2. বাইনাৰী স্থানান্তৰ",binary transfer
বাইনাৰী গছ,binary tree
"১.দ্বিমেৰু স্মৃতিশক্তি, ২. বাইপোলাৰ মেম’ৰী",bipolar memory
"১/ জন্ম আৰু মৃত্যুৰ আৰ্হি, ২. জন্ম মৃত্যুৰ আৰ্হি",birth death model
জন্ম মৃত্যু প্ৰক্ৰিয়া,birth death process
"১.ডুয়েক, ২. বিট",bit
বিট দোষ,bit fault
বিট মেপ,bit map
"1. বিট , 2. মানচিত্ৰ, ৩. পিক্সেল (BMP)",bit map pixel (BMP)
"1. বিট মেট্ৰিক্স, 2. বিট টেবুল",bit matrix
বিট পেটাৰ্ণ,bit pattern
বিটৰ অৱস্থান,bit position
"1. বিট হাৰ, 2. বিট হাৰ",bit rate
চকুত পটি পৰীক্ষা কৰা,black box testing
shimmer,blinking
অৱৰুদ্ধ কৰা,block
"1. ব্লক কেচ, 2. ব্লক কেচ / চুংক মেমৰি",block cache
ব্লক প্ৰ&#39;ব,block check
ভলিউম কপি,block copy
ব্লক ডায়াগ্ৰাম,block diagram
"1. ব্লক কৰা নেটৱৰ্ক, 2. ব্লক কৰা নেটৱাৰ্ক",blocking network
ব’ৰ্ড,board
পৃষ্ঠাৰ স্মৃতিশক্তি,book mark
বুলিয়ান বীজগণিত,boolean algebra
বুলিয়ান সম্পৰ্ক,boolean relation
বুট বিভাজন,boot partition
বুট ষ্ট্ৰেপিং,boot strapping
1.বুটষ্ট্ৰেপ লোডাৰ,boot-strap loader
"১.দলং, ২.দলং",bridge
ব্ৰডবেণ্ড নেটৱৰ্ক,broadband networking
সম্প্ৰচাৰ,broadcast
সম্প্ৰচাৰ ৰেডিঅ&#39;,broadcast radio
(নেট) ভ্যাৰিয়েন্স,browse
(নেট) ভিকাৰ,browser
বি-ট্ৰু,B-Tree
"1.বাবল মেমৰি, 2.বাবল মেমৰি",bubble memory
বুদবুদ সজাই পৰাই তোলা,bubble sort
"১.বাল্টি, ২.বাল্টি",bucket
"১.ভ্ৰাতৃত্ববোধ ব্যৱস্থা, ২.বৃহৎ ব্যৱস্থা",buddy system
বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ,budget effective control
বাফাৰ,buffer
অভাৱ,bug
বাছ,bus
"১.অষ্ট ব্যাংক, ২. বিট (আঠটা বিট)",byte
বাইট ক&#39;ড,byte code
C (কম্পিউটাৰ ভাষা),c
"1.C Plus Plus, 2.C++ (কম্পিউটাৰ ভাষা)",C++
"১.নগদ ধন, ২. বেগাই",cache
"1.কেচ বাফাৰ, 2.মেমৰি বাফাৰ",cache buffer
"1.কেচ মেমৰি, 2.কেচ মেমৰি, 3.দ্ৰুত মেমৰি",cache memory
গণনা কৰা,calculation
"১.কেলকুলেটৰ, ২.কেলকুলেটৰ",calculator
"1.কেলকুলেটৰ চিপ,2. কেলকুলেটৰ চিপ",calculator chip
আমন্ত্ৰণ কৰক,call
নাম কল,call by name
ৰেফাৰেন্স কল,call by reference
সন্মানীয় আহ্বান,call by value
ভেৰিয়েবল কল,call by variables
আমন্ত্ৰণ গেট,call gate
"1. বাতিল কৰক, 2. বাতিল কৰক",cancel
বাতিল বুটাম,cancel button
"১.নিৰ্দিষ্ট কৰা, ২. কেননিক",canonical
কেননিক ৰূপ,canonical form
সক্ষমতা,capability
ক্ষমতা তালিকা,capability list
"১.সামৰ্থ্য, ২. ধৰি ৰখা",capacity
caps লক চাবি,caps lock key
"১.কাৰ্ড, ২. চাদৰ",card
কাৰ্ড ৰিডাৰ,card reader
প্ৰাধান্য,cardinality
বাহক,carrier
বাহক বেণ্ড,carrier band
বাহক বোজা,carrier load
বাহক সংকেত,carrier signal
বাহক তৰংগ,carrier wave
লাভ কৰা হৈছে,carry
স্ক’ৰ লাভ কৰা হৈছে,carry digit
অৰ্জন কৰা পতাকা,carry flag
"1.কাৰটিজ ডিস্ক, 2.কাৰটিজ ডিস্ক",cartridge disk
"1. কেছকেড, 2. কেছকেড",cascade
ঘটনা,case
কেথ&#39;ড-ৰে-টিউব (CRT),cathod ray tube (CRT)
কেথ’ড ৰে টিউব (CRT) কেথ’ড ৰে টিউব,cathode ray tube (CRT)
cd rom ডিস্ক ড্ৰাইভ,CD ROM disk drive
কোষ,cell
কোষ এনিমেচন,cell animation
চেলুলাৰ ফোন,cellular phone
"১.কেন্দ্ৰীয় স্মৃতি, ২. কেন্দ্ৰীয় স্মৃতিশক্তি",central memory
কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU),central processing unit (CPU)
কেন্দ্ৰীভূত ব্যৱস্থা,centralized system
প্ৰমাণীকৃত টেপ,certified tape
শিকলি,chain
"1.series ডাটা, 2.series বিষয়বস্তু",chain data
শৃংখল সংযোগ,chain link
চেইনিং,chaining
"১.চেনেল, ২.চেনেল",channel
"1.চেনেল ব্যস্ত টোন, 2.চেনেল ব্যস্ত টোন",channel busy tone
"1.চেনেল ক্ষমতা, 2.চেনেল ক্ষমতা",channel capacity
"1.চেনেল নিয়ন্ত্ৰক, 2.চেনেল নিয়ন্ত্ৰক",channel controller
"1. চেনেল ত্ৰুটি, 2.চেনেল ত্ৰুটি",channel error
"১.চেনেল প্ৰগ্ৰেম, ২.চেনেল প্ৰগ্ৰেম",channel program
"1.চেনেল নিৰ্ভৰযোগ্যতা, 2.চেনেল নিৰ্ভৰযোগ্যতা",channel reliability
"1.চেনেল ছেট, 2.চেনেল ছেট",channel set
প্ৰতীক,character
"১.আখৰৰ ক&#39;ড, ২. আখৰৰ ক&#39;ড",character code
আখৰৰ চাবি,character key
চৰিত্ৰ পাঠক,character reader
"১.প্ৰতীকৰ আকাৰ, ২.প্ৰতীকৰ আকাৰ",character size
চিত্ৰকল্প,chart
"১.চেছিছ, ২.চেছিছ",chassis
বিট পৰীক্ষা কৰক,check bit
চেক পইণ্ট,check digit
মুঠ পৰীক্ষা কৰক,check sum
শব্দ পৰীক্ষা কৰক,check word
চিপ,chip
চিপ চেট,chip set
"1.বাছি লোৱা, 2.বাছি লোৱা",choose
বৰ্ণানুক্ৰমে,chromatically
"১.ছাফাৰ, ২. শূন্য, ৩. নাৱিক",cipher
বৰ্তনী,circuit
বৃত্ত তালিকা,circular list
চেৰেছ,cirus
উল্লেখ,citation
"1.শ্ৰেণী, 2.শ্ৰেণী",class
ক্লাছ ভেৰিয়েবল,class variable
শ্ৰেণীবিভাজন,classification
স্ক্যাভেঞ্জিং,clear
ক্লিয়াৰ কৰা অঞ্চল,clear area
"1. চিস্টেম পৰিষ্কাৰ কৰক, 2. চেনেল পৰিষ্কাৰ কৰক",clear channel
টিপক,click
"১.গ্ৰাহক, ২. গ্ৰাহক",client
"1.ক্লায়েন্ট চাৰ্ভাৰ, 2.ক্লায়েন্ট চাৰ্ভাৰ",client server
গ্ৰাহকৰ ষ্টাব,client stub
শ্বিয়াৰিং আৰ্ট,clip art
শ্বিয়াৰিং আৰ্ট লাইব্ৰেৰী,clip art library
ক্লিপ বৰ্ড,clip board
ক্লিপাৰ,clipper
ক্লিপাৰ চিপ,clipper chip
ফৈদ,clique
"1.ৱাচ, ২. calad",clock
ঘড়ীৰ চক্ৰ,clock cycle
ঘড়ীৰ কম্পাঙ্ক,clock frequency
কালাদ হাৰ্ডৱেৰ,clock hardware
কালাদ স্পেণ্ড,clock pulse
ঘড়ীৰ গতি,clock speed
সময় সমন্বয়,clock synchronization
ঘড়ীৰ টিক,clock tick
ক্ল&#39;ন,clone
বন্ধ কৰা,close
বন্ধ চাৰ্কিট টিভি (চিচিটিভি),close circuit TV (CCTV)
বিৱৰণ,closure
"১.ক্লাউড কম্পিউটিং, ২.ক্লাউড কম্পিউটিং",cloud computing
মুঠি,cluster
"১.আবৃত কাৰ্ড, ২. আৱৰণযুক্ত শ্বীট",coated card
আৱৰণযুক্ত কাগজ,coated paper
সমাক্ষীয়,coaxial
সমাক্ষীয় কেবল,coaxial cable
কোডাচিল,codasyl
"১.কোড, ২.কোড",code
"1. ক&#39;ড জেনেৰেটৰ, 2. ক&#39;ড জেনেৰেটৰ",code generator
ক&#39;ড পৃষ্ঠা,code page
"১.কোড শব্দ, ২.কোড শব্দ",code word
"১.কোডাৰ, ২.কোডাৰ",coder
"1. এনকোডিং পৰীক্ষা, 2. ক&#39;ডিং পৰীক্ষা",coding check
এনকোডিং ফৰ্ম,coding form
"1. এনকোডিং শ্বীট, 2. ক&#39;ডিং শ্বীট",coding sheet
সহগ,coefficient
সংহতি,coherence
"1.কল্ড বুট, 2.কল্ড ষ্টাৰ্ট",cold boot
ঠাণ্ডা আৰম্ভণি,cold start
সহযোগ,collaboration
পতন হোৱা,collapse
"১.সংলগ্নকৰণ, ২.সংযুক্ত কৰা",collate
"1.সূচীভুক্ত টেপ,2. callet টেপ",collate tape
সংঘৰ্ষ,collision
বৃহদান্ত্ৰ,colon
"১.আখৰ, ২.ৰং",colour (color)
ৰঙৰ পৰিপূৰকতা,colour saturation
ৰঙৰ টেবুল,colour table
স্তম্ভ,column
সংমিশ্ৰণ,combination
কম্পোজিট বাকচ,combo box
"১.আদেশ, ২.আদেশ",command
কমাণ্ড বুটাম,command button
কমাণ্ড তালিকা,command list
টোকা,comment
"১/ প্ৰতিশ্ৰুতি, ২/ প্ৰতিশ্ৰুতি",commitment
বস্তু,commodity
সাধাৰণ ব্যৱসায়মুখী ভাষা (COBOL),Common Business Oriented Language (Cobol)
সাধাৰণ ভুল,common error
সাধাৰণ ভাষা,common language
"১.সাধাৰণ নাম, ২. স্বাভাৱিক ৰুটিন",common routine
যোগাযোগ,communication
যোগাযোগ লাইন,communication line
যোগাযোগ ধৰণ,communication mode
"1. যোগাযোগ নেটৱৰ্ক, 2. যোগাযোগ নেটৱৰ্ক",communication network
যোগাযোগ প্ৰাচল,communication parameter
যোগাযোগ ব্যৱস্থা,communication system
সংকোচন,compaction
কম্প্ৰেছাৰ,compander
কম্প্ৰেছন ট্ৰেন্সমিছন,companding
কোম্পানী নেটৱৰ্ক,company network
তুলনামূলক পৰীক্ষা,comparison test
"১.সামঞ্জস্যতা, ২.সামঞ্জস্যতা",compatibility
উপযুক্ত,compatible
সংকলন,compilation
সংকলন আৰু নিষ্পাদন,compile and go
"1.কম্পাইলাৰ, 2.প্ৰগ্ৰেম ট্ৰেন্সফাৰ",compiler
কম্পাইলাৰ ভাষা,compiler language
পৰিপূৰক,complementary
দহৰ পৰিপূৰক,complement-on-ten
পৰিপূৰক,complementor
"১/ সম্পূৰ্ণৰূপে অৰ্জন কৰা, ২. সম্পূৰ্ণৰূপে অৰ্জন কৰা",complete carry
কম্পোজিট,complex
জটিল সংখ্যা,complex number
সমষ্টিবাসী,component
com,component object model (COM)
গাঁঠি,composite
সংমিশ্ৰণ,composition
"১.গণনাযোগ্য, ২.গণনাযোগ্য",computational
কম্পিউটাৰ,computer
কম্পিউটাৰ কেন্দ্ৰ,computer centre
কম্পিউটাৰ বিশেষজ্ঞ,computer expert
কম্পিউটাৰ গ্ৰাফিক্স,computer graphics
কম্পিউটাৰৰ নিৰ্দেশনা,computer instruction
"১.কম্পিউটাৰ ভাষা, ২.কম্পিউটাৰ ভাষা",computer language
"1. কম্পিউটাৰ নেটৱৰ্ক, 2. কম্পিউটাৰ নেটৱৰ্ক",computer network
কম্পিউটাৰ বিজ্ঞান,computer science
কম্পিউটাৰ সুৰক্ষা,computer security
কম্পিউটাৰ চিমুলেচন,computer simulaton
কম্পিউটাৰ বিশেষজ্ঞ,computer specialist
কম্পিউটাৰাইজেচন,computerisation
কম্পিউটাৰিষ্ট,computerist
কম্পিউটাৰাইজেচন,computerize
"১.গণনা, ২. গণনা",computing
ধাৰণা,concept
"১.প্ৰতিসমতা, ২.সংহতি, ৩.সমন্বয়",concurrency
"সমকালীন, একে",concurrent
নিষেধাজ্ঞা চলক,condition variable
নিষিদ্ধ অপাৰেটৰ,conditional operator
নিষিদ্ধ বিবৃতি,conditional statement
ড্ৰাইভাৰ,conductor
"১.দূৰত্বৰ সন্মিলন, ২.সন্মিলন",conferencing
গোপনীয়তা,confidentiality
"1.বিন্যাস, 2.বিন্যাস",configuration
ভিৰ,congestion
সংমিশ্ৰণ,conjunction
সংযোগৰ গতি,connect speed
সংযোগ,connection
সংযোগবিহীন যোগাযোগ,connection less communication
এফিলিয়েচন ৰিলিজ,connection release
সংযোগ,connectivity
"1.সংযোগকাৰী, 2.সংযোগকাৰী",connector
একেৰাহে,consecutive
খতিয়ান লোৱা,consequent
কনছ&#39;ল,console
একত্ৰীকৰণ,consolidation
"১.সহযোগী, ২. নেৰানেপেৰা",constant
নিৰন্তৰ নিৰ্দেশনা,constant instruction
নিষিদ্ধ,constraint
কনষ্ট্ৰাক্টৰ,constructor
পাত্ৰ,container
"১. বিষয়বস্তু, ২. উদ্ধৃতি",content
সন্দৰ্ভ,context
