Marathi,Malayalam
पोचपावती,അംഗീകാരം
ध्वनीशास्त्र,ശബ്ദശാസ്ത്രം
"1. संक्षेप, 2. संक्षेप, 3. पासून लहान","1. ചുരുക്കെഴുത്ത്, 2. ചുരുക്കെഴുത്ത്, 3. മുതൽ ചുരുക്കി"
क्रिया संदेश,പ്രവർത്തന സന്ദേശം
सक्रियकरण,സജീവമാക്കൽ
सक्रिय सर्व्हर पृष्ठ,സജീവ സെർവർ പേജ്
सक्रिय आवृत्ती,സജീവ പതിപ്പ്
अॅसायक्लिक,അസൈക്ലിക്
"1. अॅसायक्लिक आलेख, 2. अॅसायक्लिक आलेख","1. അസൈക്ലിക് ഗ്രാഫ്, 2. അസൈക്ലിക് ഗ്രാഫ്"
अडा संगणक भाषा,അഡാ കമ്പ്യൂട്ടർ ഭാഷ
"1. ऑप्टिमायझर, 2. अनुकूलक","1. ഒപ്റ്റിമൈസർ, 2. ഒപ്റ്റിമൈസർ"
बेरीज करण्यासाठी),ആകെ)
बेरीज फाइल,തുക ഫയൽ
"1. अॅडिशन ऑपरेशन, 2. बेरीज ऑपरेशन","1. കൂട്ടിച്ചേർക്കൽ പ്രവർത്തനം, 2. ആകെ പ്രവർത്തനം"
जोडणारा,ചേർക്കുന്നയാൾ
जाणून घ्या,അറിയുക
पत्ता बस,വിലാസം ബസ്
पत्ता फाइल,വിലാസ ഫയൽ
पत्त्याचे स्वरूप,വിലാസ ഫോർമാറ്റ്
पत्ता जनरेटर,വിലാസ ജനറേറ്റർ
पत्ता ओळ,വിലാസ ലൈൻ
पत्ता मॅपिंग,വിലാസ മാപ്പിംഗ്
पत्ता सूचक,വിലാസ സൂചകം
पत्ता नोंदवही,വിലാസ രജിസ്റ്റർ
पत्ता ब्रेकडाउन,വിലാസ തകർച്ച
पत्ता अनुवाद,വിലാസ വിവർത്തനം
"1. पत्ता मेमरी, 2. पत्ता करण्यायोग्य मेमरी","1. അഡ്രസ് ചെയ്യാവുന്ന മെമ്മറി, 2. അഭിസംബോധന ചെയ്യാവുന്ന മെമ്മറി"
संबोधित,അഭിസംബോധന
"1. पर्याप्ततेचे निकष, 2. पर्याप्तता निकष","1. പര്യാപ്തത മാനദണ്ഡം, 2. പര്യാപ്തത മാനദണ്ഡം"
संलग्नक,ബന്ധം
"1. व्यवस्थापन, 2. नियंत्रण","1. മാനേജ്മെന്റ്, 2. നിയന്ത്രണം"
"1. व्यवस्थापक, 2. नियंत्रक","1. മാനേജർ, 2. കണ്ട്രോളർ"
adobe acrobat,അഡോബ് അക്രോബാറ്റ്
अडोब फोटोशाॅप,അഡോബ് ഫോട്ടോഷോപ്പ്
ABAP (प्रगत व्यवसाय प्रोग्रामिंग),ABAP (അഡ്വാൻസ്ഡ് ബിസിനസ് പ്രോഗ്രാമിംഗ്)
"1. प्रगत डेटा, 2. प्रगत डेटा","1. വിപുലമായ ഡാറ്റ, 2. വിപുലമായ ഡാറ്റ"
प्रगत माहिती प्रणाली,വിപുലമായ വിവര സംവിധാനം
प्रगत तंत्रज्ञान (AT),അഡ്വാൻസ്ഡ് ടെക്നോളജി (AT)
क्रिया,നടപടി
एकत्रीकरण,സമാഹരണം
एअरबोर्न संगणक प्रणाली,വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം
aldus page-make,ആൽഡസ് പേജ് മേക്ക്
अलर्ट बॉक्स,മുന്നറിയിപ്പ് ബോക്സ്
अल्गोल (संगणक भाषा),അൽഗോൾ (കമ്പ്യൂട്ടർ ഭാഷ)
"1. अल्गोरिदम, 2. अल्गोरिदम","1. അൽഗോരിതം, 2. അൽഗോരിതം"
"1. अल्गोरिदम विश्लेषण, 2. अल्गोरिदम विश्लेषण","1. അൽഗോരിതം വിശകലനം, 2. അൽഗോരിതം വിശകലനം"
अल्गोरिदम कार्यक्षमता,അൽഗോരിതം കാര്യക്ഷമത
"1. इलियास, 2. टोपणनाव, 3. उर्फ","1. ഏലിയാസ്, 2. വിളിപ്പേര്, 3. അല്ലെങ്കിൽ"
संरेखन,വിന്യാസം
"1. वाटप, 2. वाटप","1. വിഹിതം, 2. വിഹിതം"
"1. वर्णमाला, 2. अक्षर क्रमानुसार","1. അക്ഷരമാല, 2. അക്ഷരമാല ക്രമത്തിൽ"
अल्फान्यूमेरिक,ആൽഫാന്യൂമെറിക്
"1. अल्फान्यूमेरिक कीबोर्ड ,2. अल्फान्यूमेरिक कीबोर्ड","1. ആൽഫാന്യൂമെറിക് കീബോർഡ്, 2. ആൽഫാന്യൂമെറിക് കീബോർഡ്"
अल्फा-चाचणी (पहिली स्तर चाचणी),ആൽഫ-ടെസ്റ്റിംഗ് (ഒന്നാം ലെവൽ ടെസ്റ്റ്)
"1. अल्फा आवृत्ती, 2. अल्फा फॉर्म","1. ആൽഫ പതിപ്പ്, 2. ആൽഫ രൂപം"
alt की,alt കീ
altavista,ആൾട്ടാവിസ്റ്റ
बहुविधता,ബഹുസ്വരത
अस्पष्ट व्याकरण,അവ്യക്തമായ വ്യാകരണം
अमेरिकन नॅशनल स्टँडीज इन्स्टिट्यूट (ANSI),അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡീസ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI)
अमेरिकन स्टँडर्ड कट (ascii),അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കട്ട് (ascii)
"1. समानार्थी, 2. अॅनालॉग","1. സാദൃശ്യം, 2. അനലോഗ്"
"1. अॅनालॉग संगणक, 2. अॅनालॉग संगणक","1. അനലോഗ് കമ്പ്യൂട്ടർ, 2. അനലോഗ് കമ്പ്യൂട്ടർ"
"1. अॅनालॉग उपकरण, 2. अॅनालॉग डिव्हाइस","1. അനലോഗ് ഉപകരണം, 2. അനലോഗ് ഉപകരണം"
"1. अॅनालॉग मॉडेम, 2. अॅनालॉग मॉडेम","1. അനലോഗ് മോഡം, 2. അനലോഗ് മോഡം"
अॅनालॉग ते डिजिटल कन्व्हर्टर,അനലോഗ് ടു ഡിജിറ്റൽ കൺവെർട്ടർ
शेवट (डिजिटल/प्लेन लॉजिक &#39;आणि&#39; वापरलेले),അവസാനം (ഡിജിറ്റൽ/പ്ലെയിൻ ലോജിക് &#39;ഉം&#39; ഉപയോഗിച്ചു)
एंड सर्किट,അവസാന സർക്യൂട്ട്
शेवटचे गेट आणि गेट,അവസാന ഗേറ്റും ഗേറ്റും
आणि ऑपरेशन नाही (वगळणे),എൻഡ് അല്ല ഓപ്പറേഷൻ (ഒഴിവാക്കൽ)
"1. अॅनिमेशन, 2. कंपन","1. ആനിമേഷൻ, 2. വൈബ്രേഷൻ"
नोंद,കുറിപ്പ്
विसंगती,പൊരുത്തക്കേട്
मागील,മുമ്പത്തെ
आगाऊ पेजिंग,മുൻകൂർ പേജിംഗ്
काउंटर-सिमेट्रिक,എതിർ-സമമിതി
अँटीव्हायरल प्रोग्राम,ആൻറിവൈറൽ പ്രോഗ്രാം
"1. ऍपलेट, 2. अर्ज","1. ആപ്ലെറ്റ്, 2. അപേക്ഷ"
अनुप्रयोग विकसक,ആപ്ലിക്കേഷൻ ഡെവലപ്പർ
अनुप्रयोग प्रोग्रामिंग,ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്
"1. ऍप्लिकेशन प्रोग्रामिंग इंटरफेस, 2. ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API)","1. ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ്, 2. ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ് (API)"
अनुप्रयोग सॉफ्टवेअर,ആപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ
अनुप्रयोग भाषा,ആപ്ലിക്കേഷൻ ഭാഷ
अंदाजे तत्त्व,ഏകദേശ തത്വം
रचना,ഘടന
फील्ड हस्तांतरण,ഫീൽഡ് കൈമാറ്റം
"1. पॅरामीटर, स्वतंत्र चल, 2. कोन","1. പരാമീറ്റർ, സ്വതന്ത്ര വേരിയബിൾ, 2. ആംഗിൾ"
"1. अंकगणित आणि तर्कशास्त्र एकक, 2. अंकगणित आणि तर्कशास्त्र एकक","1. അരിത്മെറ്റിക് ആൻഡ് ലോജിക് യൂണിറ്റ്, 2. അരിത്മെറ്റിക് ആൻഡ് ലോജിക് യൂണിറ്റ്"
अंकगणित तपासणी,ഗണിത പരിശോധന
अंकगणित स्थिरांक,ഗണിത സ്ഥിരാങ്കം
अंकगणित डेटा,ഗണിത ഡാറ്റ
अंकगणित सूचना,ഗണിത നിർദ്ദേശം
गणिती आणि तार्किक एकक (ALU),മാത്തമാറ്റിക്കൽ ആൻഡ് ലോജിക്കൽ യൂണിറ്റ് (ALU)
ARPA नेट (RPNet),ARPA നെറ്റ് (RPNet)
रचना,അറേ
"1. अॅरे कॅशे, 2. अॅरे गती, 3. अॅरे मेमरी","1. അറേ കാഷെ, 2. അറേ വേഗത, 3. അറേ മെമ്മറി"
अॅरे संगणक,അറേ കമ്പ്യൂട്ടർ
अॅरे घटक,അറേ ഘടകം
अॅरे नाव,അറേ പേര്
अॅरे प्रोसेसर,അറേ പ്രോസസർ
बाण की,അമ്പടയാള കീ
करार,ഉടമ്പടി
जंक्शन पॉइंट,ജംഗ്ഷൻ പോയിന്റ്
कृत्रिम कॉम्पॅक्शन,കൃത്രിമ കോംപാക്ഷൻ
कृत्रिम नियंत्रण,കൃത്രിമ നിയന്ത്രണം
कृत्रिम भावना,കൃത്രിമബോധം
माउंट,മൗണ്ട്
चढत्या क्रमवारी,ആരോഹണ തരം
ascii वर्णमाला,ascii അക്ഷരമാല
ascii नियंत्रण चिन्ह,ascii നിയന്ത്രണ ചിഹ്നം
ascii फाइल,ascii ഫയൽ
ascii फॉन्ट,ascii ഫോണ്ട്
ASCII हस्तांतरण,ASCII കൈമാറ്റം
प्रसर गुणोत्तर,വീക്ഷണാനുപാതം
"1. एस्पी, 2. एएसपीआय","1. ആസ്പി, 2. എ.എസ്.പി.ഐ"
ए एस आर कलाड,എ എസ് ആർ കാലാട്
"1. स्मरण, 2. एकत्र करणे, 3. एकत्र करणे","1. ഓർമ്മപ്പെടുത്തൽ, 2. കൂട്ടിച്ചേർക്കൽ, 3. കൂട്ടിച്ചേർക്കാൻ"
"1. असेंबलर, 2. स्मरणपत्र","1. അസംബ്ലർ, 2. ഓർമ്മപ്പെടുത്തൽ"
"1. एकत्र करणे, 2. आठवण","1. അസംബ്ലിംഗ്, 2. അനുസ്മരണം"
"1. लक्षात ठेवण्याची भाषा, 2. भाषा एकत्र करणे","1. ഓർമ്മപ്പെടുത്തൽ ഭാഷ, 2. അസംബ്ലിംഗ് ഭാഷ"
निर्धार,ദൃഢനിശ്ചയം
"1. निर्दिष्ट कार्य, 2. वाटप","1. നിർദ്ദിഷ്ട ജോലി, 2. വിഹിതം"
सहवास,കൂട്ടുകെട്ട്
सहयोगी पत्ता,അനുബന്ധ വിലാസം
"1. सहयोगी स्मृती, 2. सहयोगी स्मृती","1. അനുബന്ധ മെമ്മറി, 2. അനുബന്ധ മെമ്മറി"
तारका (* चिन्ह),നക്ഷത്രചിഹ്നം (* ചിഹ്നം)
असममित,അസമമായ
"1. असिंक्रोनस, 2. असिंक्रोनस","1. അസമന്വിത, 2. അസമന്വിത"
असिंक्रोनस डिजिटल सबस्क्राइबर लाइन (ADSL),അസിൻക്രണസ് ഡിജിറ്റൽ സബ്സ്ക്രൈബർ ലൈൻ (ADSL)
असिंक्रोनस टाइम डिव्हिजन मल्टीप्लेक्सिंग (ATDM),അസിൻക്രണസ് ടൈം ഡിവിഷൻ മൾട്ടിപ്ലെക്സിംഗ് (ATDM)
असिंक्रोनस हस्तांतरण,അസമന്വിത കൈമാറ്റം
असिंक्रोनस ट्रान्सफर मोड (ATM),അസിൻക്രണസ് ട്രാൻസ്ഫർ മോഡ് (എടിഎം)
"1. अणू, 2. परमान","1. ആറ്റം, 2. പരമൻ"
संलग्न दस्तऐवज,അറ്റാച്ചുചെയ്ത പ്രമാണം
"1. संलग्न फाइल/ मिसाइल, 2. संलग्न फाइल","1. അറ്റാച്ചുചെയ്ത ഫയൽ/മിസിൽ, 2. അറ്റാച്ചുചെയ്ത ഫയൽ"
"1. संलग्नक, 2. संलग्न","1. എൻക്ലോഷർ, 2. അഫിലിയേറ്റഡ്"
"1. गुणधर्म, 2. खासियत","1. പ്രോപ്പർട്ടികൾ, 2. സ്പെഷ്യാലിറ്റി"
ऐकण्यायोग्य,കേൾക്കാവുന്ന
"1. ऑडिट प्रोग्रामिंग, 2. ऑडिट प्रोग्रामिंग","1. ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്, 2. ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്"
खाते सत्यापन,അക്കൗണ്ട് സ്ഥിരീകരണം
जाहिरात,പ്രമോഷൻ
प्रमाणन प्रोटोकॉल,സർട്ടിഫിക്കേഷൻ പ്രോട്ടോക്കോൾ
लेखन पद्धत,എഴുത്ത് രീതി
"1. प्राधिकरण, 2. अधिकार, 3. न्यायाधिकरण","1. അധികാരം, 2. അധികാരം, 3. ട്രിബ്യൂണൽ"
स्वयं गोषवारा,യാന്ത്രിക സംഗ്രഹം
"1. ऑटो बूटिंग, 2. स्वत: बूट","1. ഓട്ടോ ബൂട്ടിംഗ്, 2. സ്വയം ബൂട്ട്"
ऑटोकॅड (संगणक भाषा),ഓട്ടോകാഡ് (ഒരു കമ്പ്യൂട്ടർ ഭാഷ)
ऑटो लॉग-ऑन,യാന്ത്രിക ലോഗ്-ഓൺ
स्वयंचलित,ഓട്ടോമാറ്റ
ऑटोमेटा सिद्धांत,ഓട്ടോമാറ്റ സിദ്ധാന്തം
स्वयंचलित गणना,ഓട്ടോമാറ്റിക് കണക്കുകൂട്ടൽ
स्वयंचलित डेटा प्रक्रिया,ഓട്ടോമാറ്റിക് ഡാറ്റ പ്രോസസ്സിംഗ്
स्वयंचलित त्रुटी सुधारणा,യാന്ത്രിക പിശക് തിരുത്തൽ
स्वयं कार्य,യാന്ത്രിക പ്രവർത്തനം
"1. स्वयंचलित अनुक्रमणिका, 2. स्वयंचलित सूची","1. ഓട്ടോമാറ്റിക് ഇൻഡക്‌സിംഗ്, 2. യാന്ത്രിക ലിസ്റ്റിംഗ്"
स्वयं-संग्रह कॉल,യാന്ത്രിക ശേഖരണ കോൾ
"1. स्वयंचलित प्रोग्रामिंग, 2. स्वयंचलित प्रोग्रामिंग","1. ഓട്ടോമാറ്റിക് പ്രോഗ്രാമിംഗ്, 2. ഓട്ടോമാറ്റിക് പ്രോഗ്രാമിംഗ്"
"1. स्वयंचलित पुनर्प्राप्ती कार्यक्रम, 2. स्वयंचलित पुनर्प्राप्ती कार्यक्रम","1. ഓട്ടോമാറ്റിക് റിക്കവറി പ്രോഗ്രാം, 2. ഓട്ടോമാറ്റിക് റിക്കവറി പ്രോഗ്രാം"
स्वयं दिनचर्या,യാന്ത്രിക ദിനചര്യ
स्वयंचलित प्रणाली पुनर्प्राप्ती,ഓട്ടോമാറ്റിക് സിസ്റ്റം വീണ്ടെടുക്കൽ
"1. ऑटोमॅटिक टेलर मशिन्स (ATM), 2. स्वत: पैसे काढण्यासाठी बँक एटीएम","1. ഓട്ടോമാറ്റിക് ടെല്ലർ മെഷീനുകൾ (എടിഎം), 2. സ്വയം പിൻവലിക്കാൻ ബാങ്ക് എ.ടി.എം"
ऑटोमेशन,ഓട്ടോമേഷൻ
"1. ऑटोप्ले , 2. ऑटो चालणे","1. ഓട്ടോപ്ലേ, 2. ഓട്ടോ നടത്തം"
स्वर,വോക്കലൈസേഷൻ
सहाय्यक,അസിസ്റ്റന്റ്
सहाय्यक मेमरी,സഹായ മെമ്മറി
सहायक स्टोरेज,സഹായ സംഭരണം
उपलब्ध यादी,ലഭ്യമായ പട്ടിക
उपलब्ध वेळ,ലഭ്യമായ സമയം
सरासरी,ശരാശരി
AWK (संगणक कमांड),AWK (ഒരു കമ്പ്യൂട്ടർ കമാൻഡ്)
नंतर,ശേഷം
पोस्ट प्रोसेसर,പോസ്റ്റ് പ്രോസസർ
पोस्टरियर फंक्शन हटवणे,പിൻഭാഗത്തെ പ്രവർത്തനം ഇല്ലാതാക്കൽ
पार्श्वभूमी प्रक्रिया,പശ്ചാത്തല പ്രോസസ്സിംഗ്
सहायक स्टोअर्स,അനുബന്ധ സ്റ്റോറുകൾ
बॅक पॅचिंग,ബാക്ക് പാച്ചിംഗ്
"1. पश्चिम, 2. बॅकस्पेस","1. പടിഞ്ഞാറ്, 2. ബാക്ക്സ്പേസ്"
बॅकट्रॅकिंग,ബാക്ക്ട്രാക്കിംഗ്
"1. बॅक-अप, 2. प्रतिपूर्ती","1. ബാക്കപ്പ്, 2. തിരിച്ചടവ്"
"1. पूरक स्मृती, 2. बॅकअप मेमरी","1. കോംപ്ലിമെന്ററി മെമ്മറി, 2. ബാക്കപ്പ് മെമ്മറി"
परत त्रुटी सुधारणा,പിന്നിലെ പിശക് തിരുത്തൽ
(उत्पन्न-खर्च) ताळेबंद,(വരുമാനം-ചെലവ്) ബാലൻസ് ഷീറ്റ്
मलमपट्टी,ബാൻഡേജ്
"1. बँड रुंदी, 2. बँडविड्थ/क्षमता","1. ബാൻഡ് വീതി, 2. ബാൻഡ്‌വിഡ്ത്ത്/കപ്പാസിറ്റി"
बँकरचा अल्गोरिदम,ബാങ്കറുടെ അൽഗോരിതം
"1. बार कोड, 2. बार कोड","1. ബാർ കോഡ്, 2. ബാർ കോഡ്"
बारकोड स्कॅनर,ബാർകോഡ് സ്കാനർ
बार आलेख,ബാർ ഗ്രാഫ്
मूळ पत्ता,അടിസ്ഥാന വിലാസം
बेस बँड,അടിസ്ഥാന ബാൻഡ്
आधार क्रमांक,ആധാർ നമ്പർ
बेस टेबल,അടിസ്ഥാന പട്ടിക
बेसिक (संगणक भाषा),അടിസ്ഥാന (ഒരു കമ്പ്യൂട്ടർ ഭാഷ)
"1. मूलभूत नियंत्रण, 2. बेस नियंत्रण","1. അടിസ്ഥാന നിയന്ത്രണം, 2. അടിസ്ഥാന നിയന്ത്രണം"
"1. मूळ गुंतवणूक, 2. मूळ गुंतवणूक","1. യഥാർത്ഥ നിക്ഷേപം, 2. അടിസ്ഥാന നിക്ഷേപം"
मूलभूत सूचना,അടിസ്ഥാന നിർദ്ദേശം
मूळ समस्या,അടിസ്ഥാന പ്രശ്നം
मूलभूत टप्पा,അടിസ്ഥാന ഘട്ടം
"1. बॅच, 2. गट, 3. आपत्ती","1. ബാച്ച്, 2. ഗ്രൂപ്പ്, 3. ദുരന്തം"
"1. बॅच फाइल, 2. बॅच फाइल","1. ബാച്ച് ഫയൽ, 2. ബാച്ച് ഫയൽ"
बॅच स्थिती,ബാച്ച് നില
"1. बॅच प्रोसेसिंग, 2. गट प्रक्रिया","1. ബാച്ച് പ്രോസസ്സിംഗ്, 2. ഗ്രൂപ്പ് പ്രോസസ്സിംഗ്"
"1. बॅच सिस्टम, 2. कॅटपल्ट प्रणाली","1. ബാച്ച് സിസ്റ്റം, 2. കവണ സംവിധാനം"
बॉड,ബൗഡ്
बॉड दर,ബാഡ് നിരക്ക്
तुळई तुळई,ബീം ബീം
"1. मार्गदर्शक तत्त्वे, 2. बॅच मार्क","1. മാർഗ്ഗനിർദ്ദേശങ്ങൾ, 2. ബാച്ച് മാർക്ക്"
द्विदिश संप्रेषण,ദ്വിദിശ ആശയവിനിമയം
थेट दुवा,നേരിട്ടുള്ള ലിങ്ക്
बायनरी कोड,ബൈനറി കോഡ്
बायनरी अंक,ബൈനറി അക്കങ്ങൾ
बायनरी इन्व्हेस्टमेंट आउटपुट सिस्टम (BIOS),ബൈനറി ഇൻവെസ്റ്റ്‌മെന്റ് ഔട്ട്‌പുട്ട് സിസ്റ്റം (BIOS)
बायनरी संख्या,ബൈനറി നമ്പർ
बायनरी ऑपरेटर,ബൈനറി ഓപ്പറേറ്റർ
बायनरी संबंध,ബൈനറി ബന്ധം
बायनरी शोध,ബൈനറി തിരയൽ
बायनरी एक्सप्लोरेशन ट्री (BST),ബൈനറി എക്സ്പ്ലോറേഷൻ ട്രീ (BST)
"1. बायनरी ट्रान्सफर ट्री, 2. बायनरी हस्तांतरण","1. ബൈനറി ട്രാൻസ്ഫർ ട്രീ, 2. ബൈനറി കൈമാറ്റം"
बायनरी झाड,ബൈനറി മരം
"1. द्विध्रुवीय स्मृती, 2. द्विध्रुवीय स्मृती","1. ബൈപോളാർ മെമ്മറി, 2. ബൈപോളാർ മെമ്മറി"
"1. जन्म आणि मृत्यू मॉडेल, 2. जन्म मृत्यू मॉडेल","1. ജനന-മരണ മാതൃക, 2. ജനന മരണ മാതൃക"
जन्म मृत्यू प्रक्रिया,ജനന മരണ പ്രക്രിയ
"1. ड्यूक, 2. बिट","1. ഡ്യൂക്ക്, 2. ബിറ്റ്"
थोडा दोष,ചെറിയ തെറ്റ്
बिट नकाशा,ബിറ്റ് മാപ്പ്
"1. बिट, 2. नकाशा, 3. पिक्सेल (BMP)","1. ബിറ്റ്, 2. ഭൂപടം, 3. പിക്സൽ (BMP)"
"1. बिट मॅट्रिक्स, 2. बिट टेबल","1. ബിറ്റ് മാട്രിക്സ്, 2. ബിറ്റ് ടേബിൾ"
बिट नमुना,ബിറ്റ് പാറ്റേൺ
बिट स्थिती,ബിറ്റ് സ്ഥാനം
"1. बिट रेट, 2. बिट दर","1. ബിറ്റ് റേറ്റ്, 2. ബിറ്റ് നിരക്ക്"
डोळ्यावर पट्टी चाचणी,കണ്ണടച്ച് പരിശോധന
चमकणे,മിന്നിത്തിളങ്ങുക
ब्लॉक,തടയുക
"1. ब्लॉक कॅशे, 2. ब्लॉक कॅशे / भाग मेमरी","1. ബ്ലോക്ക് കാഷെ, 2. ബ്ലോക്ക് കാഷെ / ചങ്ക് മെമ്മറി"
ब्लॉक चौकशी,ബ്ലോക്ക് അന്വേഷണം
खंड प्रत,വോളിയം കോപ്പി
ब्लॉक आकृती,ബ്ലോക്ക് ഡയഗ്രം
"1. ब्लॉक केलेले नेटवर्क, 2. ब्लॉक केलेले नेटवर्क","1. ബ്ലോക്ക്ഡ് നെറ്റ്‌വർക്ക്, 2. ബ്ലോക്ക്ഡ് നെറ്റ്‌വർക്ക്"
बोर्ड,ബോർഡ്
पृष्ठ मेमरी,പേജ് മെമ്മറി
बुलियन बीजगणित,ബൂളിയൻ ബീജഗണിതം
बुलियन संबंध,ബൂളിയൻ ബന്ധം
बूट विभाजन,ബൂട്ട് പാർട്ടീഷൻ
बूट strapping,ബൂട്ട് സ്ട്രാപ്പിംഗ്
1.बूटस्ट्रॅप लोडर,1.ബൂട്ട്സ്ട്രാപ്പ് ലോഡർ
"1.ब्रिज, 2.ब्रिज","1.പാലം, 2.പാലം"
ब्रॉडबँड नेटवर्क,ബ്രോഡ്ബാൻഡ് നെറ്റ്വർക്ക്
प्रसारण,പ്രക്ഷേപണം
रेडिओ प्रसारित करा,പ്രക്ഷേപണം റേഡിയോ
(नेट) भिन्नता,(നെറ്റ്) വ്യത്യാസം
(net) vicar,(നെറ്റ്) വികാരി
बी-ट्रू,ബി-ട്രൂ
"1.बबल मेमरी, 2.बबल मेमरी","1.ബബിൾ മെമ്മറി, 2.ബബിൾ മെമ്മറി"
बबल क्रमवारी,ബബിൾ അടുക്കുക
"१ बादली, २ बादली","1.ബക്കറ്റ്, 2.ബക്കറ്റ്"
"1.बंधुत्व व्यवस्था, 2.मोठी व्यवस्था","1. സാഹോദര്യ വ്യവസ്ഥ, 2. വലിയ സംവിധാനം"
प्रभावी बजेट नियंत्रण,ഫലപ്രദമായ ബജറ്റ് നിയന്ത്രണം
बफर,ബഫർ
उणीव,പോരായ്മ
पुरेसा,മതി
"1. अष्ट व्यंक, 2. बिट (आठ बिट)","1. അഷ്ട വ്യാങ്ക്, 2. ബിറ്റ് (എട്ട് ബിറ്റുകൾ)"
बाइट कोड,ബൈറ്റ് കോഡ്
सी (संगणक भाषा),സി (കമ്പ്യൂട്ടർ ഭാഷ)
"१.सी प्लस प्लस, २.सी++ (संगणक भाषा)","1.സി പ്ലസ് പ്ലസ്, 2.സി++ (കമ്പ്യൂട്ടർ ഭാഷ)"
"1.रोख, 2. जलद","1. പണം, 2. വേഗം, 3.വേഗത"
"1.कॅशे बफर, 2.मेमरी बफर","1.കാഷെ ബഫർ, 2.മെമ്മറി ബഫർ"
