Kannada,Assamese
ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ,প্ৰৱেশ প্ৰমাণীকৰণ
"1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್","1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড"
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,প্ৰৱেশ নিয়ন্ত্ৰণ
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನಿಂಗ್,অভিগম স্কেনিং
ಬಿಡಿಭಾಗಗಳು,আনুষংগিক বস্তু
ಲೆಕ್ಕಪತ್ರ,হিচাপ-নিকাচ
"1. ಖಾತೆ ಐಡಿ, 2. ಲೆಕ್ಕಪತ್ರ ಗುರುತಿಸುವಿಕೆ","1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ"
ಸಂಚಯಕ,এক্যুলেটৰ
"1. ನಿಖರತೆ, 2. ನಿಖರತೆ","১/ সঠিকতা, ২. শুদ্ধতা"
ಪ್ರವೇಶ,প্ৰৱেশাধিকাৰ
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್‌ಗಳು,অভিগম নিয়ন্ত্ৰণ বাইটসমূহ
ಪ್ರವೇಶ ಸೂಚಕ,প্ৰৱেশ সূচক
ಪ್ರವೇಶ ಕೀ,অভিগম কি&#39;
"1. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್, 2. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್","1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স"
ಪ್ರವೇಶ ಮೋಡ್,অভিগম ধৰণ
ಪ್ರವೇಶ ಸವಲತ್ತುಗಳು,অভিগম বিশেষাধিকাৰসমূহ
ಪ್ರವೇಶ ಭದ್ರತೆ,অভিগম সুৰক্ষা
"1. ಪ್ರವೇಶ ಸರ್ವರ್, 2. ಪ್ರವೇಶ ಸರ್ವರ್","1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ"
ಪ್ರವೇಶ ಸಮಯ,প্ৰৱেশ সময়
ಸ್ವೀಕೃತಿ,স্বীকৃতি
ಅಕೌಸ್ಟಿಕ್ಸ್,শব্দবিজ্ঞান
"1. ಸಂಕ್ಷಿಪ್ತ ರೂಪ, 2. ಸಂಕ್ಷೇಪಣ, 3. ನಿಂದ ಚಿಕ್ಕದಾಗಿದೆ","১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি"
ಕ್ರಿಯೆಯ ಸಂದೇಶ,কাৰ্য্য বাৰ্তা
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,সক্ৰিয়কৰণ
ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ,সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা
ಸಕ್ರಿಯ ಆವೃತ್ತಿ,সক্ৰিয় সংস্কৰণ
ಅಸೈಕ್ಲಿಕ್,অচক্ৰীয়
"1. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್, 2. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್","১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ"
ಅದಾ ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ,আদা কম্পিউটাৰ ভাষা
"1. ಆಪ್ಟಿಮೈಜರ್, 2. ಆಪ್ಟಿಮೈಜರ್","১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ"
ಒಟ್ಟು),to sum)
ಮೊತ್ತದ ಕಡತ,যোগফল নথিপত্ৰ
"1. ಸೇರ್ಪಡೆ ಕಾರ್ಯಾಚರಣೆ, 2. ಮೊತ್ತದ ಕಾರ್ಯಾಚರಣೆ","1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য"
ಸೇರಿಸುವವನು,adder
ಗೊತ್ತು,ঠিকনা
ವಿಳಾಸ ಬಸ್,ঠিকনা বাছ
ವಿಳಾಸ ಫೈಲ್,ঠিকনা নথিপত্ৰ
ವಿಳಾಸ ಸ್ವರೂಪ,ঠিকনা বিন্যাস
ವಿಳಾಸ ಜನರೇಟರ್,ঠিকনা উৎপাদক
ವಿಳಾಸ ಸಾಲು,ঠিকনা ৰেখা
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,ঠিকনা মেপিং
ವಿಳಾಸ ಸೂಚಕ,ঠিকনা সূচক
ವಿಳಾಸ ರಿಜಿಸ್ಟರ್,ঠিকনা পঞ্জীয়ন
ವಿಳಾಸ ಸ್ಥಗಿತ,ঠিকনা ভাঙি যোৱা
ವಿಳಾಸ ಅನುವಾದ,ঠিকনা অনুবাদ
"1. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ, 2. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ","1. ঠিকনাযোগ্য স্মৃতিশক্তি, 2. ঠিকনাযোগ্য মেমৰি"
ಉದ್ದೇಶಿಸಿ,সম্বোধন কৰা
"1. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ, 2. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ","১.পৰ্যাপ্ততাৰ মাপকাঠী, ২. পৰ্যাপ্ততাৰ মাপকাঠী"
ಬಾಂಧವ್ಯ,সংলগ্ন কৰা হৈছে
"1. ನಿರ್ವಹಣೆ, 2. ನಿಯಂತ್ರಣ","1. ব্যৱস্থাপনা, 2. নিয়ন্ত্ৰণ"
"1. ಮ್ಯಾನೇಜರ್, 2. ನಿಯಂತ್ರಕ","১.পৰিচালক, ২. নিয়ন্ত্ৰক"
ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್,এডোব এক্ৰ&#39;বেট
ಅಡೋಬ್ ಫೋಟೋಶಾಪ್,এডোব ফটোশ্বপ
ABAP (ಸುಧಾರಿತ ವ್ಯಾಪಾರ ಪ್ರೋಗ್ರಾಮಿಂಗ್),ABAP (উন্নত ব্যৱসায়িক প্ৰগ্ৰেমিং)
"1. ಸುಧಾರಿತ ಡೇಟಾ, 2. ಸುಧಾರಿತ ಡೇಟಾ","1. উন্নত তথ্য, 2. উন্নত তথ্য"
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,উন্নত তথ্য ব্যৱস্থা
ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT),উন্নত প্ৰযুক্তি (AT)
ಕ್ರಮ,কাৰ্য কৰা
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,একত্ৰীকৰণ
ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ,বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা
ಅಲ್ಡಸ್ ಪೇಜ್-ಮೇಕ್,aldus পৃষ্ঠা-নিৰ্মাণ
ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ,সতৰ্কবাণী বাকচ
ಅಲ್ಗೋಲ್ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ),algol (কম্পিউটাৰ ভাষা)
"1. ಅಲ್ಗಾರಿದಮ್, 2. ಅಲ್ಗಾರಿದಮ್","1. এলগৰিদম, 2. এলগৰিদম"
"1. ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ, 2. ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ","১.এলগৰিদম বিশ্লেষণ, ২. এলগৰিদম বিশ্লেষণ"
ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ,এলগৰিদম দক্ষতা
"1. ಎಲಿಯಾಸ್, 2. ಅಡ್ಡಹೆಸರು, 3. ಅಕಾ","১.ইলিয়াছ, ২. ডাকনাম, ৩. aka"
ಜೋಡಣೆ,প্ৰান্তিককৰণ
"1. ಹಂಚಿಕೆ, 2. ಹಂಚಿಕೆ","১.আবণ্টন, ২. আবণ্টন"
"1. ವರ್ಣಮಾಲೆಯ, 2. ವರ್ಣಮಾಲೆಯ ಪ್ರಕಾರ","১.বৰ্ণানুক্ৰমিক, ২. বৰ্ণানুক্ৰমিক ক্ৰম"
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್,আলফানিউমেৰিক
"1. ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್ ,2. ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್","1. আলফানিউমেৰিক কিবৰ্ড, 2. আলফানিউমেৰিক কিবৰ্ড"
ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ (1 ನೇ ಹಂತದ ಪರೀಕ್ಷೆ),আলফা-পৰীক্ষণ (১ম স্তৰৰ পৰীক্ষা)
"1. ಆಲ್ಫಾ ಆವೃತ್ತಿ, 2. ಆಲ್ಫಾ ರೂಪ","1. আলফা সংস্কৰণ, 2. আলফা ৰূপ"
ಆಲ್ಟ್ ಕೀ,alt কি&#39;
ಅಲ್ಟಾವಿಸ್ತಾ,আলতাভিস্তা
ಬಹುತ್ವ,বহুগুণতা
ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ,অস্পষ্ট ব্যাকৰণ
ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟಾಂಡೀಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI),আমেৰিকান নেচনেল ষ্টেণ্ডিজ ইনষ্টিটিউট (ANSI)
ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕಟ್ (ascii),আমেৰিকান ষ্টেণ্ডাৰ্ড কাট (ascii)
"1. ಸಾದೃಶ್ಯ, 2. ಅನಲಾಗ್","1. অনুৰূপ, ২. এনালগ"
"1. ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್, 2. ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್","১.এনালগ কম্পিউটাৰ, ২.এনালগ কম্পিউটাৰ"
"1. ಅನಲಾಗ್ ಸಾಧನ, 2. ಅನಲಾಗ್ ಸಾಧನ","1. এনালগ ডিভাইচ, 2. এনালগ ডিভাইচ"
"1. ಅನಲಾಗ್ ಮೋಡೆಮ್, 2. ಅನಲಾಗ್ ಮೋಡೆಮ್","1. এনালগ মডেম, 2. এনালগ মডেম"
ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್,এনালগ টু ডিজিটেল কনভাৰ্টাৰ
ಅಂತ್ಯ (ಡಿಜಿಟಲ್/ಪ್ಲೇನ್ ಲಾಜಿಕ್ &#39;ಮತ್ತು&#39; ಬಳಸಲಾಗಿದೆ),শেষ (ডিজিটেল/প্লেন লজিক &#39;আৰু&#39; ব্যৱহৃত)
ಅಂತಿಮ ಸರ್ಕ್ಯೂಟ್,শেষ বৰ্তনী
ಕೊನೆಯ ಗೇಟ್ ಮತ್ತು ಗೇಟ್,শেষৰ গেট আৰু গেট
ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ),অপাৰেচন শেষ নহয় (বৰ্জন)
"1. ಅನಿಮೇಷನ್, 2. ಕಂಪನ","১.এনিমেচন, ২.কম্পন"
ಸೂಚನೆ,দ্ৰষ্টব্য
ಅಸಂಗತತೆ,অসামঞ্জস্যতা
ಹಿಂದಿನ,পূৰ্ৱবৰ্তী
ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್,প্ৰত্যাশিত পেজিং
ಪ್ರತಿ-ಸಮ್ಮಿತೀಯ,প্ৰতি-সমমিতিক
ಆಂಟಿವೈರಲ್ ಪ್ರೋಗ್ರಾಂ,এন্টিভাইৰেল প্ৰগ্ৰেম
"1. ಆಪ್ಲೆಟ್, 2. ಅಪ್ಲಿಕೇಶನ್","১.এপলেট, ২. দৰ্খাস্ত"
ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್,এপ্লিকেচন ডেভেলপাৰ
ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,এপ্লিকেচন প্ৰগ্ৰেমিং
"1. ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್, 2. ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್ (API)","1. এপ্লিকেচন প্ৰগ্ৰামিং আন্তঃপৃষ্ঠ, 2. এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)"
ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್ವೇರ್,এপ্লিকেচন চফ্টৱেৰ
ಅಪ್ಲಿಕೇಶನ್ ಭಾಷೆ,আবেদন ভাষা
ಅಂದಾಜು ತತ್ವ,আনুমানিক নীতি
ರಚನೆ,গাঁঠনি
ಕ್ಷೇತ್ರ ವರ್ಗಾವಣೆ,ক্ষেত্ৰ স্থানান্তৰ
"1. ನಿಯತಾಂಕ, ಸ್ವತಂತ್ರ ವೇರಿಯಬಲ್, 2. ಕೋನ","1. প্ৰাচল, স্বাধীন চলক, 2. কোণ"
"1. ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ, 2. ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ","1. গাণিতিক আৰু যুক্তি একক, 2. গাণিতিক আৰু যুক্তি একক"
ಅಂಕಗಣಿತದ ಪರಿಶೀಲನೆ,গাণিতিক পৰীক্ষা
ಅಂಕಗಣಿತದ ಸ್ಥಿರ,গাণিতিক ধ্ৰুৱক
ಅಂಕಗಣಿತದ ಡೇಟಾ,গাণিতিক তথ্য
ಅಂಕಗಣಿತದ ಸೂಚನೆ,গাণিতিক নিৰ্দেশনা
ಗಣಿತ ಮತ್ತು ತಾರ್ಕಿಕ ಘಟಕ (ALU),গাণিতিক আৰু যুক্তিসংগত একক (ALU)
ARPA ನೆಟ್ (RPNet),ARPA নেট (RPNet)
ಶ್ರೇಣಿ,এৰে
"1. ರಚನೆಯ ಸಂಗ್ರಹ, 2. ರಚನೆಯ ವೇಗ, 3. ರಚನೆಯ ಮೆಮೊರಿ","1. এৰে কেচ, 2. এৰেৰ গতি, ৩. এৰে মেমৰি"
ಅರೇ ಕಂಪ್ಯೂಟರ್,এৰে কম্পিউটাৰ
ರಚನೆಯ ಅಂಶ,এৰে উপাদান
ರಚನೆಯ ಹೆಸರು,এৰেৰ নাম
ರಚನೆಯ ಪ್ರೊಸೆಸರ್,এৰে প্ৰচেছৰ
ಬಾಣದ ಕೀಲಿ,কাঁড় চিহ্ন
ಒಪ್ಪಂದ,সন্ধি
ಜಂಕ್ಷನ್ ಪಾಯಿಂಟ್,জংচন পইণ্ট
ಕೃತಕ ಸಂಕೋಚನ,কৃত্ৰিম সংকোচন
ಕೃತಕ ನಿಯಂತ್ರಣ,কৃত্ৰিম নিয়ন্ত্ৰণ
ಕೃತಕ ಅರ್ಥದಲ್ಲಿ,কৃত্ৰিম ইন্দ্ৰিয়
ಆರೋಹಣ,মাউন্ট
ಆರೋಹಣ ರೀತಿಯ,আৰোহী সজাই পৰাই তোলা
ascii ವರ್ಣಮಾಲೆ,ascii বৰ্ণমালা
ascii ನಿಯಂತ್ರಣ ಚಿಹ್ನೆ,ascii নিয়ন্ত্ৰণ চিহ্ন
ascii ಫೈಲ್,ascii ফাইল
ascii ಫಾಂಟ್,ascii ফন্ট
ASCII ವರ್ಗಾವಣೆ,ASCII স্থানান্তৰ
ಆಕಾರ ಅನುಪಾತ,এস্পেক্ট ৰেচিঅ&#39;
"1. ಆಸ್ಪಿ, 2. ASPI","১.এছপি, ২. এ এছ পি আই"
ಎ ಎಸ್ ಆರ್ ಕಲಾದ್,এ এছ আৰ কালাদ
"1. ಸ್ಮರಣೆ, 2. ಜೋಡಣೆ, 3. ಜೋಡಿಸಲು","১/ স্মৰণ, ২। একত্ৰিত কৰা, ৩. একত্ৰিত কৰা"
"1. ಅಸೆಂಬ್ಲರ್, 2. ಜ್ಞಾಪನೆ","১.সমাবেশকাৰী, ২. স্মাৰক"
"1. ಜೋಡಿಸುವುದು, 2. ಸ್ಮರಣೆ","1. একত্ৰিত কৰা, ২. স্মৃতি"
"1. ಕಂಠಪಾಠ ಭಾಷೆ, 2. ಭಾಷೆ ಜೋಡಣೆ","১/ মুখস্থ কৰা ভাষা, ২. ভাষা একত্ৰিত কৰা"
ನಿರ್ಣಯ,সংকল্প
"1. ನಿಗದಿತ ಕೆಲಸ, 2. ಹಂಚಿಕೆ","1. নিৰ্দিষ্ট কাম, 2. আবণ্টন"
ಒಡನಾಟ,সংগীত্ব
ಸಹಾಯಕ ವಿಳಾಸ,সহযোগী ঠিকনা
"1. ಸಹಾಯಕ ಸ್ಮರಣೆ, 2. ಸಹಾಯಕ ಸ್ಮರಣೆ","১.সংগত স্মৃতি, ২. সহযোগী স্মৃতিশক্তি"
ನಕ್ಷತ್ರ ಚಿಹ್ನೆ (* ಚಿಹ್ನೆ),তাৰকা চিহ্ন (* চিহ্ন)
ಅಸಮ್ಮಿತ,অসমতাপূৰ্ণ
"1. ಅಸಮಕಾಲಿಕ, 2. ಅಸಮಕಾಲಿಕ","1. এচিনক্ৰ&#39;নাছ, 2. এচিনক্ৰ&#39;নাছ"
ಅಸಮಕಾಲಿಕ ಡಿಜಿಟಲ್ ಚಂದಾದಾರರ ಸಾಲು (ADSL),এচিনক্ৰ&#39;নাছ ডিজিটেল গ্ৰাহক লাইন (ADSL)
ಅಸಿಂಕ್ರೊನಸ್ ಟೈಮ್ ಡಿವಿಷನ್ ಮಲ್ಟಿಪ್ಲೆಕ್ಸಿಂಗ್ (ATDM),এচিংক্ৰ&#39;নাছ সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM)
ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ,এচিনক্ৰ&#39;নাছ স্থানান্তৰ
ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ ಮೋಡ್ (ATM),এচিংক্ৰ&#39;নাছ ট্ৰেন্সফাৰ মোড (ATM)
"1. ಪರಮಾಣು, 2. ಪರಮನ್","১.পৰমাণু, ২. পৰমণ"
ಲಗತ್ತಿಸಲಾದ ಡಾಕ್ಯುಮೆಂಟ್,সংলগ্ন নথিপত্ৰ
"1. ಲಗತ್ತಿಸಲಾದ ಫೈಲ್/ಮಿಸಿಲ್, 2. ಲಗತ್ತಿಸಲಾದ ಕಡತ","1. সংলগ্ন ফাইল/মিছিল, 2. সংলগ্ন ফাইল"
"1. ಆವರಣ, 2. ಸಂಯೋಜಿತ","১.আৱৰণ, ২. সংযুক্ত"
"1. ಗುಣಲಕ್ಷಣಗಳು, 2. ವಿಶೇಷತೆ","১.গুণ, ২. বৈশিষ্ট্য"
ಶ್ರವ್ಯ,শ্ৰৱণযোগ্য
"1. ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1. অডিট প্ৰগ্ৰেমিং, 2. অডিট প্ৰগ্ৰেমিং"
ಖಾತೆ ಪರಿಶೀಲನೆ,একাউণ্ট পৰীক্ষণ
ಪ್ರಚಾರ,প্ৰচাৰ
ಪ್ರಮಾಣೀಕರಣ ಪ್ರೋಟೋಕಾಲ್,প্ৰমাণীকৰণ প্ৰট&#39;কল
ಲೇಖಕರ ವಿಧಾನ,লেখক পদ্ধতি
"1. ಪ್ರಾಧಿಕಾರ, 2. ಅಧಿಕಾರ, 3. ನ್ಯಾಯಮಂಡಳಿ","১.কৰ্তৃত্ব, ২. কৰ্তৃত্ব, ৩. ন্যায়াধিকৰণ"
ಸ್ವಯಂ ಅಮೂರ್ತ,অটো বিমূৰ্ত
"1. ಸ್ವಯಂ ಬೂಟಿಂಗ್, 2. ಸ್ವಯಂ ಬೂಟ್","1. স্বয়ংক্ৰিয় বুটিং, 2. self বুট"
ಆಟೋಕ್ಯಾಡ್ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ),AutoCAD (এটা কম্পিউটাৰ ভাষা)
ಸ್ವಯಂ ಲಾಗ್-ಆನ್,স্বয়ংক্ৰিয় লগ-অন
ಸ್ವಯಂಚಾಲಿತ,automata
ಸ್ವಯಂಚಾಲಿತ ಸಿದ್ಧಾಂತ,automata তত্ত্ব
ಸ್ವಯಂಚಾಲಿತ ಲೆಕ್ಕಾಚಾರ,স্বয়ংক্ৰিয় গণনা
ಸ್ವಯಂಚಾಲಿತ ಡೇಟಾ ಸಂಸ್ಕರಣೆ,স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ
ಸ್ವಯಂಚಾಲಿತ ದೋಷ ತಿದ್ದುಪಡಿ,স্বয়ংক্ৰিয় ভুল সংশোধন
ಸ್ವಯಂ ಕಾರ್ಯ,অটো ফাংচন
"1. ಸ್ವಯಂಚಾಲಿತ ಇಂಡೆಕ್ಸಿಂಗ್, 2. ಸ್ವಯಂಚಾಲಿತ ಪಟ್ಟಿ","1. স্বয়ংক্ৰিয় সূচীভুক্তকৰণ, 2. স্বয়ংক্ৰিয় তালিকাভুক্তকৰণ"
ಸ್ವಯಂ ಸಂಗ್ರಹ ಕರೆ,অটো-সংগ্ৰহ কল
"1. ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং, 2. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং"
"1. ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ, 2. ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ","1. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম, 2. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম"
ಸ್ವಯಂ ದಿನಚರಿ,অটো ৰুটিন
ಸ್ವಯಂಚಾಲಿತ ಸಿಸ್ಟಮ್ ಚೇತರಿಕೆ,স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ
"1. ಸ್ವಯಂಚಾಲಿತ ಟೆಲ್ಲರ್ ಯಂತ್ರಗಳು (ATM), 2. ಸ್ವಯಂ ಹಿಂಪಡೆಯಲು ಬ್ಯಾಂಕ್ ಎಟಿಎಂ","১/ স্বয়ংক্ৰিয় টেলাৰ মেচিন (এটিএম), ২. স্বয়ং উলিওৱাৰ বাবে বেংকৰ ATM"
ಯಾಂತ್ರೀಕೃತಗೊಂಡ,অটোমেচন
"1. ಸ್ವಯಂಪ್ಲೇ , 2. ಆಟೋ ನಡಿಗೆ","1. অটোপ্লে, 2. অটো ৱাক"
ಗಾಯನ,কণ্ঠদান
ಸಹಾಯಕ,সহায়ক
ಸಹಾಯಕ ಸ್ಮರಣೆ,সহায়ক স্মৃতিশক্তি
ಸಹಾಯಕ ಸಂಗ್ರಹಣೆ,সহায়ক সংৰক্ষণ
ಲಭ್ಯವಿರುವ ಪಟ್ಟಿ,উপলব্ধ তালিকা
ಲಭ್ಯವಿರುವ ಸಮಯ,উপলব্ধ সময়
ಸರಾಸರಿ,গড়
AWK (ಕಂಪ್ಯೂಟರ್ ಆಜ್ಞೆ),AWK (এটা কম্পিউটাৰ কমাণ্ড)
ನಂತರ,পাছত
ಪೋಸ್ಟ್ ಪ್ರೊಸೆಸರ್,পোষ্ট প্ৰচেছৰ
ಹಿಂಭಾಗದ ಕಾರ್ಯ ಅಳಿಸುವಿಕೆ,পশ্চাৎ কাৰ্য্য বিলোপন
ಹಿನ್ನೆಲೆ ಸಂಸ್ಕರಣೆ,পটভূমি প্ৰক্ৰিয়াকৰণ
ಪೂರಕ ಅಂಗಡಿಗಳು,আনুষংগিক দোকানসমূহ
ಮತ್ತೆ ಪ್ಯಾಚಿಂಗ್,বেক পেচিং
"1. ಪಶ್ಚಿಮ, 2. ಬ್ಯಾಕ್‌ಸ್ಪೇಸ್","১.পশ্চিম, ২. বেকস্পেচ"
ಬ್ಯಾಕ್‌ಟ್ರ್ಯಾಕಿಂಗ್,পিছুৱাই যোৱা
"1. ಬ್ಯಾಕ್ ಅಪ್, 2. ಮರುಪಾವತಿ","1. বেক-আপ, 2. ৰিইম্বৰ্চেমেণ্ট"
"1. ಪೂರಕ ಸ್ಮರಣೆ, 2. ಬ್ಯಾಕ್-ಅಪ್ ಮೆಮೊರಿ","১/ পৰিপূৰক স্মৃতিশক্তি, ২. বেক-আপ মেমৰি"
ಹಿಂದಿನ ದೋಷ ತಿದ್ದುಪಡಿ,পিছলৈ ভুল সংশোধন
(ಆದಾಯ-ವೆಚ್ಚ) ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್,(আয়-ব্যয়) বেলেন্স শ্বীট
