Assamese,Hindi
এনালগ-ডিজিট ৰূপান্তৰক,अनुरूप-अंकीय परिवर्तक
"এনালগ কম্পিউটাৰ,",अनुरूप कम्प्यूटर
বিশ্লেষণ,विश्लेषण
সহাৱস্থান বিশ্লেষণ,सहप्रसरण-विश्लेषण
গণনা-তথ্য বিশ্লেষণ,गणन-आंकड़ों का विश्लेषण
ভ্যাৰিয়েন্স বিশ্লেষণ,प्रसरण-विश्लेषण
বিশ্লেষণাত্মক জ্যামিতি,विश्लेषिक ज्यामिति
বিশ্লেষণাত্মক কাৰ্য্য,विश्लेषिक फलन
কোণ,कोण
স্পৰ্শক কোণ,स्पर्श-कोण
বিক্ষেপণ কোণ,विक्षेप-कोण
ডিপ্ৰেছন এংগেল,अवनमन-कोण
বিচ্যুতি কোণ,विचलन-कोण
বিবৰ্তন কোণ,विवर्तन-कोण
উচ্চতা কোণ,उन्नयन-कोण
প্ৰাদুৰ্ভাৱৰ কোণ,आपतन-कोण
প্ৰক্ষেপণৰ কোণ,प्रक्षेप-कोण
প্ৰতিফলনৰ কোণ,परावर्तन-कोण
বিবৰ্তনৰ কোণ,अपवर्तन-कोण
ঘূৰ্ণন কোণ,घूर्णन-कोण
প্ৰতিফলনৰ নিৰপেক্ষ কোণ,पूर्ण परावर्तन-कोण
কৌণিক ত্বৰণ,कोणीय त्वरण
কৌণিক বেগ,कोणीय गति
কৌণিক গতি,कोणीय चाल
কৌণিক বেগ,कोणीय वेग
ৰিং ফিংগাৰ,वलयिका
উত্তৰদিশ,उत्तर
কাউণ্টাৰ ডেৰাইভেটিভ,प्रति-अवकलज
সমমিতি ফলন,प्रतिसममित फलन
"আবৃত, প্ৰযোজ্য, প্ৰযোজ্য","आच्छाद्य, अनु प्रयोज्य, लागू"
"আবেদন আবেদন,",अनुप्रयोग उपयोजन
ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে,अनुप्रयुक्त गतिशील प्रोग्रामन
প্ৰয়োগ কৰা জ্যামিতি,अनुप्रयुक्त ज्यामिति
প্ৰয়োগ কৰা গণিত,अनुप्रयुक्त गणित
প্ৰয়োগ কৰা পৰিসংখ্যা,अनुप्रयुक्त सांख्यिकी
"আনুমানিক, আনুমানিক","सन्निकटतः, लगभग"
প্ৰায় অবিৰত ফলন,सन्निकटतः संतत फलन
"মেক্ৰ&#39; পদ্ধতি, আনুমানিক পদ্ধতি","स्थूल विधि, सन्निकट विधि"
আনুমানিক সমাধান,सन्निकट हल
আনুমানিক সমস্যা,सन्निकटन-समस्या
আনুমানিক বৈশিষ্ট্য,सन्निकटन-गुणधर्म
যোগ্যতা পৰীক্ষা,अभिक्षमता-परीक्षावली
আৰ্গন ডায়েগ্ৰাম,आरगाँ आरेख
স্বেচ্ছামূলক,स्वेच्छगहीतृ
"random, যাদৃচ্ছিক","स्वेच्छ, यादृच्छिक"
ইচ্ছাকৃত ধ্ৰুৱক,स्वेच्छ अचर
মুক্ত মৌল,स्वेच्छ अवयव
ইচ্ছাকৃত বিন্দু,स्वेच्छ बिन्दु
আৰ্কিমিডিছৰ নিয়ম,आर्किमीडी नियम
আৰ্কিমিডিছৰ নিয়ম,आर्किमीडीज़ का नियम
"চাপ-দৈৰ্ঘ্য, চাপ-দৈৰ্ঘ্য","चाप-दैर्घ्य, चाप-लम्बाई"
বৃত্ত চাপ,वत्तृ चाप
বিপৰীত চাইন বিতৰণ,प्रतिलोम ज्या बंटन
বিপৰীত চাইন ৰূপান্তৰ,प्रतिलोम ज्या रूपांतरण
"এলেকা, এলেকা","क्षेत्र, क्षेत्रफल"
আঞ্চলিক সংৰূপ,क्षेत्रीय विन्यास
এটা জটিল সংখ্যাৰ কোণ,सम्मिश्र संख्या का कोणांक
গাণিতিক গড়,समांतर माध्य
ডিজিটেল অপাৰেচন,अंकीय संक्रिया
ডিজিটেল ইউনিট,अंकीय एकक
"কনফিগাৰেচন, ব্যৱস্থা","विन्यास, व्यवस्था"
"এৰে, এৰে","व्यूह, सरणी"
কৃত্ৰিম উপগ্ৰহ,कृत्रिम उपग्रह
কৃত্ৰিম চলক,कृत्रिम चर
বগাবলৈ,आरोहण करना
আৰোহী,आरोही
মাত্ৰাৰ আৰোহী ক্ৰম,परिमाण का आरोही क्रम
আৰোহী গ্ৰেড,आरोही श्रेणी
এছেম্বলাৰ ভাষা,कोडांतरक भाषा
"নিযুক্তি সমস্যা নিযুক্তি প্ৰশ্ন,",नियतन समस्या नियतन प्रश्न
সহযোগী নিয়ম,साहचर्य नियम
অপাৰেটৰৰ এছ&#39;চিয়েটিভ নিয়ম,संकारकों का साहचर्य नियम
এছ&#39;চিয়েটিভ অপাৰেচন,साहचर्य-संक्रिया
সংগীত্ব,सहचारिता
ধৰি লোৱা গড়,कल्पित माध्य
ধাৰণা কৰা সম্ভাৱনা বিতৰণ,कल्पित प्रायिकता बंटन
"কল্পনা কৰা, স্বীকাৰ কৰা,","कल्पना, गृहीत"
জ্যোতিষ বিজ্ঞান,ज्योतिष
"মহাকাশ অভিযন্তা মহাকাশ অভিযন্তা,",अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता
জ্যোতিৰ্বিজ্ঞানী*,खगोलज्ञ*
জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী,खगोलीय घड़ी
জ্যোতিৰ্বিজ্ঞান,खगोलिकी
অসমতাপূৰ্ণ বক্ৰ,असममित वक्र
বিষমতা,असममिति
এছিম্পটটিক,अनंतस्पर्शी
গুৰুতৰ কৰি তোলা,उपगामी
প্ৰগতিশীল অনুমানক,उपगामी दक्ष आकलक
ৰেট্ৰ&#39;গ্ৰেড পক্ষপাতমূলক অনুমানক,उपगामी अनभिनत आकलक
ৰেট্ৰ&#39;গ্ৰেড আচৰণ,उपगामी आचरण
আক্ৰমণাত্মক বিতৰণ ফলন,उपगामी बंटन-फलन
ওপৰলৈ বিয়পি পৰা,उपगामी प्रसार
বায়ুমণ্ডলীয় চাপ,वायु मंडलीय दाब
"যাদৃচ্ছিকভাৱে,",यदृच्छया
গুণ*,गुण*
বৈশিষ্ট্য-নমুনা-ব্যৱস্থা,गुण-प्रतिचयन-क्रियाविधि
বৰ্ধিত মেট্ৰিক্স,संवर्धित आव्यूह
স্ব-সম্বন্ধ সহগ,स्वसहसंबंध गुणांक
স্বয়ংসম্বন্ধ কাৰ্য্য,स्वसहसंबंध फलन
সহাৱস্থান,स्वसहप्रसरण
স্বয়ংক্ৰিয় কম্পিউটাৰ,स्वचालित अभिकलित्र
অটোৰিগ্ৰেছন,स्वसमाश्रयण
সহায়ক সমীকৰণ,सहायक समीकरण
গড় নমুনা সংখ্যা বক্ৰ (MPC বক্ৰ),माध्य प्रतिदर्श संख्या वक्र (मा.प्र.सं. वक्र)
"স্বতন্ত্ৰ, স্বতন্ত্ৰ","स्वयंसिद्‌ध, अभिगृहीत"
স্বতন্ত্ৰ পদ্ধতি,अभिगहीती दृष्टिकोण
সম্ভাৱনা স্বতন্ত্ৰতা,प्रायिकता अभिगृहीत
অক্ষ,अक्ष
ভূজাক্ষ,भुजाक्ष
পৃথিৱীৰ অক্ষ,भू-अक्ष
ঘূৰ্ণন অক্ষ,परिक्रमण-अक्ष
ঘূৰ্ণন অক্ষ,घूर्णन अक्ष
স্পিন অক্ষ,प्रचक्रण-अक्ष
পোষ্ট সলনি কৰা,पश्च-प्रतिस्थापन
পাছত,पश्चांतर
পিছলৈ সন্নিৱিষ্ট কৰা সূত্ৰ,पश्च अंतर्वेशन-सूत्र
"ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য","तुला, तराजू, संतु लन, शेष, बाकी, संतुलित होना, संतुलित करना"
সুষম ডিজাইন,संतुलित अभिकल्पना
বেলেন্স শ্বীট,तुलन-पत्र
মিছাইল,प्रक्षेपास्त्र
"বেলিষ্টিক, অস্ত্ৰ-শস্ত্ৰ","प्राक्षेपिकी, अस्त्र विज्ञान"
"স্তম্ভ, ৰড, কব, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, ৰেখা, ৰেখা, পৰীক্ষা ৰেখা, প্ৰান্ত","स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी, रोधिका, भित्ति, बार, रेखा, रेखिका, परीक्षण रेखा, धार"
"ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি","आधार, क्षारक, अधम, मूल, बेस"
ভিত্তি কোণ,आधार कोण
"লগাৰিদমৰ ভিত্তি, লগাৰিদমৰ ভিত্তি","लघुगणक का आधार, लॉगरिथ्म का आधार"
"মূল, মৌলিক,","आधारी, मूल"
ভিত্তি সুসংহত সমাধান,आधारी सुसंगत हल
ভিত্তি দ্ৰৱণ,आधारी हल
ভিত্তি চলক,आधारी चर
ভেঁটি,आधारक
ভিত্তি উপাদান,आधार अवयव
ভিত্তি মেট্ৰিক্স,आधारी आव्यूह
ভেক্টৰ স্থানৰ ভিত্তি,सदिश समष्टि का आधार
উপজনসংখ্যাৰ ভিত্তিত,उपसमष्टि का आधार
অসাধু,बेज़-आकल
bez-নিয়ম,बेज़-नियम
bez- উপপাদ্য,बेज़-प्रमेय
bernoulli-বিতৰণ,बर्नूली-बंटन
বাৰ্নৌলিৰ সংখ্যা,बर्नूली संख्या
বাৰ্নৌলি সম্ভাৱনা ফলন,बर्नूली प्रायिकता-फलन
বাৰ্নৌলি-সমীকৰণ,बर्नूली-समीकरण
জামুৰ কাৰ্য্য,बेरी फलन
শ্ৰেষ্ঠ আঠাযুক্ততা,श्रेष्ठतम आसंजन
শ্ৰেষ্ঠ আঠাযুক্ত ৰেখা,श्रेष्ठतम आसंजन रेखा
উত্তম সমাধান,सर्वोत्तम हल
শ্ৰেষ্ঠ টিপছ,सर्वोत्तम युक्तियाँ
বিটা বিতৰণ,बीटा बंटन
"bias, পক্ষপাতিত্ব","अभिनति, बायस"
পক্ষপাতমূলক মূল্যায়ন,अभिनत आकल
দ্বিপদ সমীকৰণ,द्विप्रसंवादी समीकरण
একক কভাৰ,एकैकी आच्छादन
একক কভাৰ মেপ,एकैकी आच्छादी प्रतिचित्र
একক কভাৰ মেপিং,एकैकी आच्छादी प्रतिचित्रण
দ্বিঘাত দ্বিঘাত,द्विएकघाती समघात
দ্বিৰৈখিক ফলন,द्विरैखिक फलन
দ্বিৰৈখিক হাৰ্মিটিয়ান সমতা,द्विरैखिक हर्मिटीय समघात
"দ্বি-চলক, বাইনাৰী, দ্বৈত","द्वि-चर, द्वि-आधारी, द्वयी"
"বাইনাৰী ক&#39;ড, বাইনাৰী ক&#39;ড","द्वि-आधारी कोड, द्विआधारी कूट"
"বাইনাৰী ক&#39;ড কৰা দশমিক, বাইনাৰী ক&#39;ড কৰা দশমিক","द्वि-आधारी कूट दशमलव, द्वि-आधारी कोडित दशमलव"
বাইনাৰী এনকোডিং,द्वि-आधारी कूटलेखन
বাইনাৰী কম্পিউটাৰ,द्वि-आधारी अभिकलित्र
বাইনাৰী সংখ্যা,द्वि-आधारी अंक
বাইনাৰী অপাৰেচন,द्विआधारी संक्रिया
বাইনাৰী পদ্ধতি,द्विआधारी पद्‌धति
বাইনাৰী চলক,द्विआधारी चर
দ্বিপদ সহগ,द्विपद गुणांक
দ্বিপদ বিতৰণ,द्विपद बंटन
দ্বিপদ সমীকৰণ,द्विपद समीकरण
দ্বিপদ ভ্যাৰিয়েন্স,द्विपद प्रसरण
দ্বিপদ অভিব্যক্তি,द्विपद व्यंजक
দ্বিপদ ৰেণ্ডম চলক,द्विपद यादृच्छिक चर
দ্বিপদ উপপাদ্য,द्विपद-प्रमेय
"আধা, bifurcation","अर्धन, द्विभाजन"
"bisect পদ্ধতি, অৰ্ধবিভাজন পদ্ধতি","समद्विभाजन विधि, अर्धीकरण विधि"
হাফ বাইছেক্টৰ,"अर्धक, द्विभाजक"
"দ্বিপদ, দ্বৈত","द्विपंक्तिक, द्विश्रेणिक"
"ড্ৱায়াংক (বাইনাৰী সংখ্যা), অনি, বাৰ্মিজ, টুক","द्वयंक (द्विआधारी अंक), अणी, बरमी, टूक"
দ্বিপদ দ্বিপদ বিতৰণ দ্বিপদ,द्विचर द्विपद-बंटन द्विचल
দ্বিচলকীয় সম্পৰ্ক সহগ,द्विचर सहसंबंध गुणांक
দ্বিচলকীয় বিতৰণ,द्विचर बंटन
দ্বিচলকীয় স্বাভাৱিক-বিতৰণ,द्विचर प्रसामान्य-बंटन
বাইভেক্টৰ,द्विसदिश
বোল্টমেন সমীকৰণ,बोल्ट्मान समीकरण
বুলিয়ান বীজগণিত*,बूलीय बीजावली*
বস-আইনষ্টাইন পৰিসংখ্যা,बोस-आइन्स्टाइन सांख्यिकी
সীমাবদ্ধতা নিষেধাজ্ঞা,परिसीमा प्रतिबन्ध
সীমা স্তৰ,परिसीमा स्तर
সীমাৰেখা,परिसीमा रेखा
সীমা মূল্য,परिसीमा मान
সীমা মূল্যৰ সমস্যা,परिसीमा मान समस्या
"সীমাবদ্ধ ফলন সীমাবদ্ধ ফল,",परिबद्‌ध फलन परिबद्‌ध फल
"সীমাবদ্ধ মেট্ৰিক্স, সীমাবদ্ধ মেট্ৰিক্স, সীমাবদ্ধ টেবুল,","परिबद्‌ध मैट्रिक्स, परिबद्‌ध आव्यूह परिबद्‌ध सारणी"
"সীমাবদ্ধ ভূখণ্ড সীমাবদ্ধ ভূখণ্ড,",परिबद्‌ध प्रदेश परिबद्‌ध प्रदेश
"সীমাবদ্ধ ছেট সীমাবদ্ধ গোট,",परिबद्‌ध समच्चय परिबद्‌ध संच
ব্ৰাউনি গতি,ब्राउनी गति
গণনা কৰা,परिकलन करना
গণনা কৰা,परिकलन
"কেলকুলেটৰ, কেলকুলেটৰ","परिकलन-यंत्र, परिकलित्र"
গণনা*,परिकलन*
গণনামূলক ক্ৰিয়া পদ্ধতি,परिकलनात्मक क्रिया विधि
"কেলকুলেটৰ, কেলকুলেটৰ","परिकलित्र, परिकलक"
"কেলকুলাছ, কেলকুলাছ","कलन, कैलकुलस"
ভ্যাৰিয়েন্স কেলকুলাছ,विचरण-कलन
কেলৰি,कैलोरी
বাতিল নিয়ম,निरसन नियम
কেননিক সমীকৰণ,विहित समीकरण
কেননিক ৰূপ,विहित रूप
"কেননিক মেট্ৰিক্স, কে কেননিক মেট্ৰিক্স","विहित मैट्रिक्स, के नानिकल मैट्रिक्स"
কেন্টৰ ছেট,कैन्टर समुच्चय
cantor ত্ৰিকোণীয় ছেট,कैन्टर त्रिआधारी समुच्चय
বাধ্যতামূলক পৰিবহণ সমস্যা,परिबंधित परिवहन समस्या
সক্ষমতা,क्षमता
কেপিলাৰী বল,केशिका-बल
"গণনা সংখ্যা, কাৰ্ডিনেল সংখ্যা","गणन संख्या, कार्डिनल संख्या"
কাৰ্টেচিয়ান অক্ষ,कार्तीय अक्ष
কাৰ্টেছিয়ান স্থানাংক,कार्तीय निर्देशांक
কাৰ্টেছিয়ান উৎপাদন,कार्तीय गुणन
সমষ্টিৰ কাৰ্টেছিয়ান গুণন,समुच्चयों का कार्तीय गुणन
"কেছ ষ্টডি, কেছ ষ্টডি","केस अध्ययन, वस्तुस्थिति अध्ययन"
দুৰ্যোগপূৰ্ণ ভাষণ,विपत्तिपूर्ण उच्चावचन
catinary,कैटिनरी
কাউচি বিতৰণ,कौशी बंटन
কৌশীৰ সূত্ৰ,कौशी सूत्र
কৌশী-গুৰ্ষ-উপাপাদ্য,कौशी-गूर्सा-प्रमेय
কৌছি-ৰাইমান-বান,कौशी-रीमान-प्रतिबंध
ক&#39;চি ক্ৰম,कौशी अनुक्रम
কৌশি অবিচ্ছেদ্য,कौशी समाकल
কৌশী মূল-মূল্য,कौशी मुख्य-मान
ক’চি ৰেমেইণ্ডাৰ উপপাদ্য,कौशी अवशेष प्रमेय
কেলে-হেমিল্টন-উপাপাদ্য,कैले-हैमिल्टन-प्रमेय
আকাশী দেহ,"खपिंड, खगोलीय पिंड"
জ্যোতিৰ্বিজ্ঞানৰ জোখ-মাখ,खगोलीय माप
আকাশী যান্ত্ৰিকতা,खगोलीय यांत्रिकी
আকাশী দেহ,खगोलीय पिंड
কোষ কম্পাঙ্ক,कोशिका बारंबारता
"লোকপিয়ল, লোকপিয়ল","गणना, जनगणना"
শতাংশ,शततमक
চেন্টিমিটাৰ,सेन्टीमीटर
চেণ্টিমিটাৰ-গ্ৰাম-ছেকেণ্ড পদ্ধতি,सेन्टीमीटर-ग्राम-सेकंड पद्‌धति
"কেন্দ্ৰীয়, সমকেন্দ্ৰিক","केन्द्रीय, सकेन्द्र"
কেন্দ্ৰীয় অক্ষ,केन्द्रीय अक्ष
কেন্দ্ৰীয় ব্যৱধান,केन्द्रीय अंतर
কেন্দ্ৰীয় পাৰ্থক্য সূত্ৰ,केन्द्रीय अंतर सूत्र
কেন্দ্ৰীয় অৱভেদ্য টেবুল,केन्द्रीय अंतर सारणी
কেন্দ্ৰীয় সীমা উপপাদ্য,केन्द्रीय सीमा प्रमेय
কেন্দ্ৰীয় মুহূৰ্ত,केन्द्रीय आघूर्ण
কেন্দ্ৰীয় সম্পদ একক,केन्द्रीय संसाधन एकक
কেন্দ্ৰীয় প্ৰবৃত্তি,केन्द्रीय प्रवतिृ
কেন্দ্ৰ*,केन्द्र*
মাধ্যাকৰ্ষণ কেন্দ্ৰ,गुरुत्व-केन्द्र
গ্ৰুপ চেণ্টাৰ,समूह-केन्द्र
ভৰ কেন্দ্ৰ,संहति-केन्द्र
প্ৰতিসমতাৰ কেন্দ্ৰ,सममिति-केन्द्र
কেন্দ্ৰপৃথক বল,अपकेन्द्री बल
কেন্দ্ৰিক বল,अभिकेन्द्र-बल
"কেন্দ্ৰিক মেৰিডিয়ান,",केन्द्रक मध्यगासंपात
নিশ্চয়তা,निश्चितता
cgs পদ্ধতি,c.g.s.पद्‌धति
cgs ইউনিট,c.g.s.मात्रक
পাৰ্থক্যৰ শৃংখল নিয়ম,अवकलन का शृंखला नियम
কেনেবাকৈ,संयोग हेतु
random move,सांयोगिक चाल
অক্ষৰ স্থানান্তৰ,अक्ष-परिवर्तन
"ভিত্তি পৰিৱৰ্তন পায়ধৰ-পৰিৱৰ্তন,",आधार परिवर्तन पायाधार-बदल
ক্ৰমবিন্যাস,क्रम परिवर्तन
বৈশিষ্ট্য সহগ,अभिलक्षणिक गुणांक
বৈশিষ্ট্য নিৰ্ণায়ক,अभिलक्षणिक सारणिक
বৈশিষ্ট্যপূৰ্ণ সমীকৰণ,अभिलक्षण-समीकरण
"বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য, বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য","अभिलक्षण-फलन, कैरेक्टेरिस्टिक फलन"
লগাৰিদমৰ পূৰ্ণসংখ্যা,लघुगणक का पूर्णांश
"বৈশিষ্ট্যপূৰ্ণ বহুপদ,",अभिलक्षणिक बहुपद
বৈশিষ্ট্যপূৰ্ণ মূল্য,अभिलक्षणिक मान
বৈশিষ্ট্যপূৰ্ণ ভেক্টৰ,अभिलक्षणिक सदिश
চৰিত্ৰ সম্প্ৰদায়,संप्रतीक समुदाय
"লেখচিত্ৰ, লেখচিত্ৰ,","चार्ट, संचित्र तक्ता"
কাই-স্কেয়াৰ বিতৰণ,काई-वर्ग बंटन
কাই-বৰ্গ সূত্ৰ,काई-वर्गं सूत्र
কাই-স্কেয়াৰ পৰীক্ষা,काई-वर्ग परीक्षण
কৰ্ড*,जीवा*
কৰ্ড বিভাজন পদ্ধতি,जीवा-द्विभाजन-विधि
লিখিত বাৰ্তা,बीजलिखित संदेश
"শূন্য, চাইফাৰ","शून्य, सिफर"
বৃত্ত*,वृत्त*
অভিসৰণ বৃত্ত,अभिसरण वत्तृ
বৰ্তনী মেট্ৰিক্স,परिपथ आव्यूह
"বৃত্তাকাৰ, বৃত্তাকাৰ,","वृत्ताकार, वर्तुल"
বৃত্তৰ asymptoes,वर्तुल अनंतस्पर्शी
বৃত্তাকাৰ কণ্ডুলাইন,वृत्तीय कंडुलिनी
বৃত্তাকাৰ গতি,वर्तुल गति
circumcentre,परिकेन्द्र
অৱসৰপ্ৰাপ্ত*,परिवृत्त*
"প্ৰদক্ষিণ কৰা, চাৰিওফালে আঁকিব পৰা","परिगत करना, परितः खींचना"
অতীত,परिगत
পৰিসীমাবদ্ধ,परिवृत
বিশিষ্ট কৰ্পৰেট,चिरप्रतिष्ठित निगमनिक
ক্লাসিক গতিশীলতা,चिरप्रतिष्ठित गतिकी
ক্লাসিক অপ্টিমাইজেচন,चिरप्रतिष्ठित इष्टतमन
দীৰ্ঘদিনীয়া বিত্তীয় সমস্যা,चिरप्रतिष्ठित वित्तनाश समस्या
ধ্ৰুপদী পৰিসংখ্যা বলবিজ্ঞান,चिरप्रतिष्ठित सांख्यिकीय यांत्रिकी
ভুলৰ শ্ৰেণীবিভাজন,त्रुटियों का वर्गीकरण
শ্ৰেণীৰ ব্যৱধান,वर्ग-अंतराल
শ্ৰেণী ব্যৱধান একক,वर्गांतराल एकक
শ্ৰেণী সীমা,वर्ग-सीमा
ঘড়ীৰ কাঁটাৰ দিশত,दक्षिणावर्त
বন্ধ কৰা হৈছে,संविवृत
"বন্ধ, বন্ধ","संवृत, बंद"
বন্ধ স্তৰৰ আৱৰণ,संवृत अवमख समावरक
বন্ধ ঘনক,संवृत घन
"বন্ধ বক্ৰ, বন্ধ বক্ৰ","बंद वक्र, संवृत वक्र"
বন্ধ প্ৰদেশ,संवृत प्रांत
বন্ধ আকৃতি,बंद आकृति
বন্ধ ব্যৱধান,संवृत अंतराल
"বন্ধ অঞ্চল, বন্ধ অঞ্চল","संवृत प्रदेश, बंद प्रदेश"
বন্ধ চেট,संवृत समच्चय
"বন্ধ পৃষ্ঠা, বন্ধ পৃষ্ঠা","बंद पृष्ठ, संवृत पृष्ठ"
নিলমান,"निमीलन, वेष्टन, संवरक"
pronator,संवरण-संकारक (संवरक)
উত্তল বিন্দু,संवरक-बिन्दु
বন্দী-গ্ৰহণ কৰা,संवरक-अभिगृहीत
বন্দী ছেট,संवरक समुच्चय
ক্লাষ্টাৰ পইণ্ট,गुच्छ बिन्दु
ক্লাষ্টাৰ নমুনা সংগ্ৰহ কৰা,गुच्छ प्रतिचयन
