Abatement,"ਉਪਸ਼ਮਨ, ਘਾਟ"
Administrative sanction,ਪ੍ਰਸ਼ਾਸਨੀ ਮੰਜੂਰੀ
Administrative technique,"ਪ੍ਰਸ਼ਾਸਨੀ ਤਕਨੀਕ, ਪ੍ਰਸ਼ਾਸਨੀ ਵਿਧੀ"
Administrative tribunal,ਪ੍ਰਸ਼ਾਸਨੀ ਅਧਿਕਰਣ
Admissibility,"ਗ੍ਰਹਿਣ ਯੋਗ, ਸਵੀਕਾਰ ਕਰਨ ਯੋਗ"
Admissible expenditure,ਗ੍ਰਹਿਣ ਯੋਗ ਖਰਚਾ
Admit,"ਪ੍ਰਵੇਸ਼ ਕਰਨ ਦੇਣਾ, ਅੰਦਰ ਆਣ ਦੇਨਾ, ਸਵੀਕਾਰ ਕਰਨਾ, ਦਾਖਿਲ ਕਰਨਾ, ਦਾਖਿਲਾ ਦੇਣਾ"
Admit card,ਪ੍ਰਵੇਸ਼ ਪੱਤਰ
Admitted,"ਦਾਖਿਲ, ਮਨਜੂਰ"
Admonish,"ਤੰਬਹਿ ਕਰਨਾ, ਡਾੜ ਪਾਉੜੀ"
Adoptee,"ਮੁਤਬੰਨਾ, ਗੋਦ ਲੈਣਾ"
Adoptor,ਗੋਦ ਲੈਣ ਵਾਲਾ
Adoption,"ਅੰਗੀਕਰਨ, ਗ੍ਰਹਿਣ ਕਰਨਾ, ਗੋਦ ਲੈਣਾ"
Adult,"ਪ੍ਰੇੜ੍ਹੁ, ਸਿਆਣਾ, ਬਾਲਰਾ"
Adulteration,"ਰਲਾ, ਮਿਲਾਵਟ"
Adultery,"ਬਦਕਾਰੀ, ਧਰ-ਗਮਨ, ਵਿਭਚਾਰੀ"
Adult franchise,ਬਾਲਿਗ ਮਤ ਅਧਿਕਾਰ
Ad valorem duty,ਧਥਾ ਮੁੱਲ ਮਹਿਮੂਲ
Advance,"ਪੇਸ਼ਗੀ, ਸਾਈ ਦੇਣਾ"
Advance booking,ਅਗ੍ਰਿਮ ਬੁਕਿੰਗ
Advance copy,ਅਗ੍ਰਿਮ ਪ੍ਰਤੀ
Advanced increment,ਅਗ੍ਰਿਮ(ਵੇਤਨ) ਵਾਧਾ
Advance payment,"ਅਗ੍ਰਿਮ ਅਦਾਇਗੀ, ਅਗ੍ਰਿਮ ਭੁਗਤਾਨ"
Adverse entry,"ਪ੍ਰਤਿਕੂਲ ਇੰਦਰਾਜ, ਪ੍ਰਤਿਕੂਲ ਪ੍ਰਵਿਸ਼ਟੀ"
Adverse remarks,"ਪ੍ਰਤਿਕੂਲ ਲੰਕਾਟਿੱਪਣੀ, ਪ੍ਰਤਿਕੂਲ ਦੋਸ਼-ਆਰੋਪਣ"
Adverse report,ਪ੍ਰਤਿਕੂਲ ਰਿਪੋਰਟ
Advertisement,"ਇਸ਼ਤਿਹਾਰ, ਵਿਗਿਆਪਨ"
Advice,"ਸਲਾਹ, ਸੂਚਨਾ, ਸੰਮਤੀ"
Advice of payment,"ਭੁਗਤਾਨ ਸੂਚਨਾ, ਭੁਗਤਾਨ ਸੰਮਤੀ"
Advisory committee,ਸਲਾਹਕਾਰ ਕਮੇਟੀ
Advisory council,ਸਲਾਹਕਾਰ ਪਰੀਸ਼ਦ
Advocate,"ਵਕੀਲ, ਐਡਵੋਕੇਟ, ਪਖ-ਸਮਰਖਕ"
Affairs,"ਕਾਰਜ, ਸਾਸਲੇ"
Affidavit,"ਸ਼ੌਂਹ-ਪਤੱਰ, ਹਲੌਨਾਮਾ"
Affiliation,"ਸੰਬੰਧਨ, ਸੰਬੰਧੀਕਰਨ"
Affirmation,"ਪੱਕਾ ਕਰਨਾ, ਪ੍ਰਤਿਗਿਆਨ (ਕਨੂੰਨੀ)"
Affirmative,ਸਕਾਰਾਤਮਕ
Afford,"ਸਮਰਥ ਹੋਣਾ, (ਖਰਚ) ਪ੍ਰਦਾਨ ਕਰਨਾ, ਦੇ ਸਕਣਾ"
Aforesaid,ਪੂਰਵ ਕਥਿਤ
Afresh,ਨਵੇਂ ਸਿਰੇ ਤੌਂ
Against,"ਵਿਰੁੱਧ, ਵਿਪਰੀਤ, ਮੁਕਾਬਲੇ ਵਿਚ, ਟਾਕਰੇ ਵਿਚ, ਬਦਲੇ, ਦੇ ਸਾਮਣੇ, ਦੀ ਤੁਲਨਾ ਵਿਚ"
Age,"ਉਮਰ, ਆਯੂ, ਯੁਗ"
Age certificate,ਉਮਰ ਦਾ ਪ੍ਰਮਾਣ ਪਤੱਰ
Age for suffrage,ਵੋਟ ਪਾਉਣ ਦੀ ਉਮਰ
Age limit,ਉਮਰ ਦੀ ਸੀਮਾ
Agency,"ਸ਼ਾਖ, ਏਜੰਸੀ"
Agenda,ਕਾਰਜ ਸੂਚੀ
Age of retirement,ਰਿਟਾਇਰਮੇਂਟ-ਉਮਰ
Age of superannuation,ਰਿਟਾਇਰਮੇਂਟ ਆਯੂ
Aggregation,"ਸਮੁੱਚ, ਸਮੂਹ"
Aggrieved,ਦੁਖੀ
Agitation,ਅੰਦੋਲਨ
AGM (annual general meeting),"ਸਾਲਾਨਾ ਮਹਾਸਭਾ, ਸਾਲਾਨਾ ਅਮਸਭਾ"
Agreement,"ਕਰਾਰ, ਕਰਾਰਨਾਮਾ, ਸਹਮਤੀ, ਰਜਾਮੰਦੀ"
Agreement form,"ਕਰਾਰਨਾਮਾ, ਇਕਰਾਰਨਾਮਾ"
Agriculture,ਖੇਤੀਬਾੜੀ
Agro-industry,ਸਨਅਤੀ ਉਦਯੋਗ
Aid,"ਸਹਾਇਤਾ, ਮਦਦ"
Alarm,"ਵਿਧਦਾ ਸੰਕੇਤ, ਖਤਰੇ ਦਾ ਸੰਕੇਤ, ਅਲਾਰਮ"
Alertness,ਸਜਗ
Alias,"ਉਪਨਾਮ, ਤਖੱਲਸ, ਉਰਫ਼ੇ"
Allegation,"ਦੋਸ਼, ਇਲਜਾਮ, ਉਜ"
Allegiance,ਨਿਸ਼ਠਾ
Alliance,ਦੋਸਤੀ
Allied services,ਸੰਬੰਧਤ ਸੇਵਾਵਾਂ
All inclusive cost,ਕੁਲ ਲਾਗਤ
All India Services,ਅਖਿਲ ਭਾਰਤੀ ਸੇਵਾ
Allocation,"ਵੰਡਾਰਾ, ਵੰਡ"
Allotment,"ਵੰਡਾਰਾ, ਮੁਕੱਰਰ ਕਰਨਾ, ਨਿਰਧਾਰਤ ਭਾਗ, ਅਲਾਟਮੇਂਟ"
Allotment letter,"ਵੰਡ ਪਤੱਰ, ਅਲਾਟਮੇਂਟ ਲੈਟਰ"
Allottee,ਵੰਡ ਪਾਤਰ
Allowable,"ਆਗਿਆ ਦੇ ਯੋਗ, ਇਜਾਜਤ ਦੇ ਯੋਗ"
Allowable expenses,"ਆਗਿਆ ਜੋਗ ਖਰਚਾ, ਅਨੁਮਤੀ ਯੋਗ ਖਰਚਾ"
Allow an appeal,ਅਪੀਲ ਮੰਜੂਰ ਕਰਨਾ
Allowance,"ਭੱਤਾ, ਛੌਟ"
All rights reserved,ਸਰਬ ਅਧਿਕਾਰ ਸੁਰਖਿਆ
Alphabetic order,ਵਰਣ ਕ੍ਰਮ
Altercation,ਕਹਾ-ਸੁਣੀ
Alternate,"ਏਕਾਂਤਰ, ਇਕਲਪੀ"
Alternative,"ਵਿਕਲਪ, ਵਿਕਲਪਿਕ"
Amalgamation,ਮਿਸ਼ਰਿਤ ਕਰਨਾ
Amended draft,"ਸੰਸ਼ੋਧਿਤ ਮਸੌਦਾ, ਸੰਸ਼ੋਪਿਤ ਡਗਫਤ"
Amendment,ਸੰਸ਼ੋਧਨ
Amenity,ਸੁਖ-ਸੁਵਿਧਾ
Amicable,"ਸੁਹਿਰਦਯ ਪੂਰਨ, ਮਿੱਤਰਤਾ ਪੂਰਨ"
Ammunition,ਗੋਲਾ-ਬਾਰੂਦ
Amortization of debt,"ਕਰਜੇ ਤੌਂ ਛੁਟਕਾਰਾ, ਕਰਜ ਮੁਕਤੀ"
Amount,"ਰਕਮ, ਮਾਤਰਾ"
Amount of pension,ਪੇਂਸ਼ਨ ਰਾਸ਼ੀ
Analogous post,"ਸਮਰੂਪ ਪਦ, ਅਨੁਰੂਪ ਪਦ"
Analysis,ਵਿਸ਼ਲੇਸ਼ਣ
Analytical study,ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਅਧਿਐਨ
Ancestor,ਪੂਰਵਜ
Ancillary industry,ਜੁੜਵਾਂ ਉਦਯੋਗ
Animosity,ਵੈਰ
Annexure,ਨੱਥੀ
Anniversary,ਵਰ੍ਹੇ ਗੰਢ
Announcement,"ਐਲਾਨ, ਆਖਿਆਨ, ਘੋਸ਼ਣਾ"
Annoyance,"ਚਿੜ੍ਹ, ਖਿੱਜ"
Annual financial statement,ਸਾਲਾਨਾ ਪੂੰਜੀ ਵਿਵਰਣ
Annual report,ਸਾਲਾਨਾ ਰਿਪੋਰਟ
Annuity,ਸਾਲਾਨਾ
Anonymous,ਗੁੰਮਨਾਮ
Anonymous complaint,ਗੁੰਮਨਾਮ ਸ਼ਿਕਾਇਤ
Answerability,ਜਵਾਬ ਦੇਹੀ
Answer sheet,ਉਤੱਰ ਪੁਸਤਿਕਾ
Antagonist,ਵਿਰੋਧੀ
Antecedents,ਪੂਰਵ ਵ੍ਰਿਤ
Anticipated expenditure,ਅਨੁਮਾਨਿਤ ਖਰਚਾ
Anticipated income,ਅਨੁਮਾਨਿਤ ਆਸਦਨੀ
Anticipation,"ਪੂਰਵਾਨੁਮਾਨ, ਪੂਰਵ ਆਸ਼"
Anticipatory bail,ਅਗ੍ਰਿਮ ਜਮਾਨਤ
Anti-corruption measure,ਭ੍ਰਿਸ਼ਟਾਚਾਰ ਨਿਰੋਥਕ ਉਪਾਅ
Anti-dumping,ਪਾਟਨ ਵਿਰੋਧੀ
Antique,"ਪੁਰਾਤਨ, ਪ੍ਰਾਚੀਨ, ਕਦੀਮੀ, ਪੁਰਾਤਨਕਲਾ ਦੇ ਨਮੂਨੇ"
Apartheid,"ਨਸਲੀ ਵਿਤਕਰਾ, ਰੰਗ ਭੇਦ"
Apathy,ਉਦਾਸੀਨਤਾ
Apex body,ਸ਼ਿਖਰ ਸੰਸਥਾ
Apology,ਖਿਮਾ ਯਾਚਨਾ
Appeal,"ਅਪੀਲ, ਅਪੀਲ ਕਰਨਾ"
Appearance,"ਹਾਜਿਰੀ, ਪੇਸ਼ੀ (ਕਨੂੰਨੀ), ਰੂਪ, ਮੂਰਤ"
Appeasement,"ਸੰਤੁਸ਼ਟ ਕਰਨਾ, ਪਤਿਆਉਣਾ"
Appellate tribunal,ਅਪੀਲ ਅਧਿਕਰਨ
Appendix,"ਅੰਤਕਾ, ਪਰਿਸ਼ਿਸ਼ਟ"
Appliance,ਉਪਜੰਤਰ
Applicable,"ਪ੍ਰਸੰਗ ਅਨੁਕੂਲ, ਮੁਨਾਸਬ, ਲਾਗੂ ਹੋਣ ਯੋਗ"
Applicant,"ਆਵੇਦਕ, ਉਮੀਦਵਾਰ"
Application,"ਆਵੇਦਨ, ਅਰਜੀ, ਅਨੁਪ੍ਰਯੋਗ, ਲਾਗੂ ਹੋਣਾ"
Application form,"ਆਵੇਦਨ ਪੱਤਰ, ਅਰਜੀ"
Applied,"ਪ੍ਰਾਯੋਗਿਕ, ਲਾਗੂ ਕੀਤਾ ਹੋਇਆ"
Apply,"ਆਵੇਦਨ ਕਰਨਾ, ਅਰਜੀ ਦੇਣਾ, ਲਾਗੂ ਕਰਨਾ, ਲਾਗੂ ਹੋਣਾ, ਪ੍ਰਯੋਗ ਵਿਚ ਲਿਆਉਣਾ"
Appointee,ਨਿਯੁਕਤ ਵਿਅਕਤੀ
Appointing authority,ਨਿਯੁਕਤੀ ਉੱਚ ਅਧਿਕਾਰੀ
Appointment,ਨਿਯੁਕਤੀ
Appointment letter,ਨਿਯੁਕਤੀ ਪੱਤਰ
Appointments Committee of the Cabinet,ਮੰਤ੍ਰੀ ਮੰਡਲ ਨਿਯੁਕਤੀ ਸਮਿਤੀ
Apportionment of wages,ਮਜਦੂਰੀ ਵਿਭਾਜਨ
Appraisal,"ਮੁੱਲ ਨਿਰੂਪਣ, ਮੁੱਲ ਨਿਰਧਾਰਨ, ਜਾਂਚ"
Appraiser,ਮੁਲ੍ਯਾੰਕਨ
Appreciation,"ਪ੍ਰਸ਼ੰਸਾ, ਵਡਿਆਈ, ਵਾਧਾ"
Apprehension,"ਫ਼ਾੜਿਆ ਜਾਣਾ, ਗਿਰਫ਼ਤਾਰੀ, ਬੋਧ, ਸਮਾਝ, ਸ਼ਂਕਾ"
Apprentice,ਸਿਖਾਂਕਡੂ
Approach,"ਪਹੁੰਚ, ਉਪਰ ਮਾਰਗ, ਨਜ਼ਰੀਆਂ"
Appropriate,"ਢੁੱਕਵਾਂ, ਉਚਿਤ, ਵਿਨਿਯੋਜਨ ਕਰਨਾ"
Appropriate action,ਉਚਿਤ ਕਾਰਵਾਈ
Appropriate head,ਉਪਯੁਕਤ ਸਿਰਲੇਖ
Appropriation,ਵਿਨਿਯੋਜਨ
Approval,ਅਨੁਮੋਦਨ
Approximate,"ਲਗਭਗ, ਸਮੀਪ ਵਰਤੀ, ਨਿਕਟ ਵਰਤੀ"
Aptitude test,ਰੁਝਾਣ ਪਰੀਖਿਆ
Arbitrary,"ਮਨਮਰਜੀ, ਮਨਭਾਉਣਾ"
Arbitrate,ਸਾਲਸੀ ਕਰਨੀ
Arbitration,"ਸਾਲਮੀ ਫੈਸਲਾ, ਵਿਚੋਲਾ"
Arbitration tribunal,ਸਾਲਮੀ ਅਦਾਲਤ
Arbitrator,"ਵਿਚੋਲਾ, ਸਾਲਮਨਿਰਣਾਇਕ"
Architecture,"ਵਾਸਤੁਕਲਾ, ਭਵਨ ਨਿਰਮਾਣ ਕਲਾ"
Archives,"ਪੁਗਲੇਖ, ਪੁਗਲੇਖ ਭਵਨ"
Area,"ਖੇਤਰ, ਖੇਤਰ ਫਲ"
Area headquarter,ਖੇਤਰੀ ਪ੍ਰਧਾਨ ਦਫ਼ਤਰ
Argument,"ਤਰਕ, ਦਲੀਲ, ਬਹਸ"
Arise,"ਉਠਣਾ, ਪੈਦਾ ਹੋਣਾ, ਉਤਪੰਨ ਹੋਣਾ"
Armed forces,ਸਸ਼ਤਰ ਬੱਧ ਫੌਜ
Arrangement,"ਵਿਉਤ, ਕ੍ਰਮ ਤਰਤੀਬ, ਪ੍ਰਬੰਧ"
Arrear,ਬਕਾਇਆ
Arrear statement,ਬਕਾਇਆ ਵੇਰਵਾ
Arrival report,ਪਹੁੰਚ ਦੀ ਰਿਪੋਰਟ
Arrogance,"ਹੰਕਾਰ, ਅੱਖੜਪਨ"
Arsenal,"ਅਸਲਾਖਾਨਾ, ਸਸ਼ਤਰਸ਼ਾਲਾ"
Article,"ਧਾਰਾ, ਵਸਤੁ, ਲੇਖ"
Articles of association,ਸਂਸਥਾ ਦੇ ਨਿਯਮ
Articles,ਨਿਯਮ
Ascending order,"ਆਰੋਹੀਕ੍ਰਮ, ਥੱਲੇ ਉੱਪਰ ਜਾਣ ਦਾ ਕ੍ਰਮ"
Ascertain,"ਨਿਸ਼ਚਾ ਕਰਨਾ, ਜਾਂਚਨਾ"
As is where is,ਜਿਵੇਂ ਹੈ ਜਿੱਥੇ ਹੈ
Aspect,"ਪਹਲੁ, ਪਖ, ਨਜਰੀਆ"
Aspersion,"ਕਲੰਕ ਦਾਗ, ਇਲਜਾਮ, ਬਦਨਾਮੀ, ਤੁਹਮਤ"
Assassination,"ਹੱਤਿਆ, ਕਤਲ, ਮਾਰਣਾ, ਖੂਨ ਕਰਨਾ"
Assault,ਹਮਲਾ
Assemble,"ਜੁੜਨਾ, ਇਕੱਠਾ ਹੋਣਾ, ਜੋੜਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
Assembly,"ਸਭਾ, ਜਮਾਅ"
Assent,ਅਨੁਮਤੀ
Assert,"ਦ੍ਰਿੜ੍ਹਤਾ ਨਾਲ ਕਹਿਣਾ, ਜੋਰ ਦੇਕੇ ਕਹਿਣਾ"
Assessee,ਨਿਰਧਾਰਤ
