Assamese,English
বল কন ক্লেম্প,Ball cone clamp
কাঁইটীয়া তাঁৰ,Barbed wire
বাৰ কুকুৰ,Bar dog
বাৰ্জ বৰ্ড,Barge board
বেৰিয়াম ছালফেট পৰীক্ষা,Barium sulphate test
বেৰেজ,Barrage
বেৰেট,Barrett
ভেঁটি,Base
ভিত্তি বিনিময়,Base exchange
ভিত্তি লাইন,Base line 
বেছমেণ্ট,Basement
বেছমেণ্টৰ দেৱাল,Basement wall
বেচ প্লেট,Base plate
"বেচ প্লেট, নিয়ন্ত্ৰণযোগ্য","Base plate, adjustable"
ভিত্তি পৰিপূৰকতা,Base saturation
বেছ’ইড,Basoid
বেট,Bat
বাথ আৰু ডব্লিউ চি,Bath and W.C.
বেটাৰ পেগ,Batter peg
বেটাৰ ঘাট,Batter pier
বেটাৰৰ নিয়ম,Batter rule
Baulk (বালক),Baulk (balk)
উপসাগৰ,Bay
বাহক,Bearer
বহন ক্ষমতা,Bearing capacity
বেয়াৰিং পাইল,Bearing pile
বহন স্তৰ,Bearing stratum
বিছনা,Bed
বিচনাৰ বিমান,Bedding plane
বিচনাৰ সংযোগ,Bed joint
বিচনাৰ শিল,Bed rock
শোৱনি কোঠা,Bed room
মৌমাখিৰ মোম,Beeswax
বেল বাকচ,Bell box
বেলিং বাল্টি,Belling bucket
বেলোফ্ৰেম,Bellofram
বেঞ্চযুক্ত ভেটি,Benched foundation
বেঞ্চিং কৰা,Benching
বেঞ্চ মাৰ্ক,Bench mark
লাভৰ খৰচ বিশ্লেষণ,Benefit cost analysis
বাৰ্ম,Berm
বেভেলড বন্ধ,Bevelled closure
"খ-দিগন্ত,&quot;খ-","B-horizon,""B-"
বিয়াত,Biat
বাইণ্ডাৰ,Binder
বান্ধি ৰখা সামগ্ৰী,Binding material
বায়টৰ তত্ত্ব,Biot's theory
বিটুমিন,Bitumen
ক’লা কপাহী মাটি,Black cotton soil
ক&#39;লা পৃথিৱী,Black earth 
ক’লা টাৰ্ফ মাটি,Black turf soil
ব্লেড,Blade
ব্লাষ্ট ফাৰ্নেচ স্লেগ চিমেণ্ট,Blast furnace slag cement
ব্লকযুক্ত গঠন,Blocky structure
বগী প্ৰতিৰোধ,Bogie resistance
বোগ-লোহাৰ অক্সাইড,Bog-iron ore
বান্ধোন,Bond
বণ্ডেড সদস্য,Bonded member
বণ্ডেড পোষ্ট টেনচিং,Bonded post tensioning
বণ্ড ষ্টোন,Bond stone
বান্ধি থোৱা পানী,Bound water
বক্স নালা,Box gutter
ব্ৰেচ,Brace
ইটা-অন-এজ,Brick-on-edge
লজ্জাজনক,Bridle
উজ্জ্বলতা,Brightness
বাদামী মাটি,Brown soil
ভৱন,Building
বিল্ডিং জৰীপকাৰী,Building surveyor
বাফাৰ,Buffer
বাফাৰ বক্ৰ,Buffer curve
বাফাৰিং,Buffering
বাফাৰিং ক্ষমতা,Buffering capacity
বাণ্ডাৰ,Bunder
বাট্ৰেছ,Buttress
গ-দিগন্ত,C-horizon
কেবল,Cable
কেবল মল্ডিং,Cable moulding
কেবলিং,Cabling
কেবিন,Cabin
কেবিন হুক,Cabin hook
কেবিনেট,Cabinet
কেবল্টৰ চাকৰি এৰিছে,Cabolt's quit
কেফেটেৰিয়া,Cafeteria
সঁজা,Cage
পিঞ্জৰা নিৰ্মাণ,Cage construction
কয়িনৰ সূত্ৰ,Cain's formula
কেইচন,Caisson
কেইচন ৰোগ,Caisson disease
কেইচন ফাউণ্ডেচন,Caisson foundation
কেইচন পাইল,Caisson pile
কেলকেয়াৰযুক্ত ইটা,Calcareous brick
কেলকেয়াৰযুক্ত মাটি,Calcareous clay
কেলকেয়াৰযুক্ত খোলা,Calcareous crust
কেলচিফিকেশন,Calcification
কেলচিনেচন,Calcination
কেলচিন,Calcine 
কেলচাইট,Calcite
কেলচিয়াম-এলুমিনেট চিমেণ্ট,Calcium-aluminate cement
কেলচিয়াম-চিলিকেট ইটা,Calcium-silicate brick
কেলচিয়াম-চিলিকেট হাইড্ৰেট,Calcium-silicate hydrate
কালিচে,Caliche
কেলিফৰ্ণিয়া বেয়াৰিং ৰেচিঅ’,California bearing ratio
কেলিপাৰ,Caliper
কেলৰিমিটাৰ,Calorimeter
কেম্বাৰ,Camber
খাল,Canal
কেনপি,Canopy
কেন্টিলিভাৰ ফুটিং,Cantilever footing
কেপ,Cap
ক্ষমতা,Capacity
ail ট্ৰেকৰ ক্ষমতা,Capacity of ail track
কেপ কেবল,Cap cable
কেপিলাৰিটি,Capillarity
কেপিলাৰী ব্ৰেক,Capillary break
কেপিলাৰী প্ৰবাহ,Capillary flow
কেপিলাৰী আৰ্দ্ৰতা বা কেপিলাৰী পানী,Capillary moisture or capillary water
কেপিলাৰী ছিদ্ৰ স্থান,Capillary pore space
কেপিলাৰী ছিদ্ৰতা,Capillary porosity
কেপিলাৰী স্থান,Capillary space
কেপচাৰ বেগ,Capture velocity
কাৰ্বনেচন,Carbonation
কাৰ্বন ব্লেক,Carbon black
Castble অবাধ্য,Castble refractory
কাষ্ট-ইন-প্লেচ বা কাষ্ট-ইন-চিটু,Cast-in-place or cast-in-situ
কাষ্ট-ইন-প্লেচ পাইল,Cast-in-place pile
কেষ্টাৰ,Castor
ঢালাই শিল,Cast stone
অনুঘটক,Catalyst
কেটেনা,Catena
মেকুৰীৰ মুখ,Cat face
মেকুৰীৰ মূৰ,Cat head
কেটিয়ন,Cation
মেকুৰী খোজ কাঢ়িব,Cat walk
গহ্বৰৰ ক্ষতি,Cavitation damage
চেলাইট,Celite
কোষীয় কংক্ৰিট,Cellular concrete
কোষীয় নিৰ্মাণ,Cellular construction
চিমেণ্ট,Cement
"চিমেণ্ট, বিটুমিনাছ","Cement, bituminous"
"চিমেণ্ট, উচ্চ শক্তি","Cement, high strength"
"চিমেণ্ট, হাইড্ৰলিক","Cement, hydraulic"
"চিমেণ্ট, কম জুইত","Cement, low heat"
"চিমেণ্ট, শিলৰ কাম","Cement, masonary"
"চিমেণ্ট, প্ৰাকৃতিক","Cement, natural"
"চিমেণ্ট, পৰ্টলেণ্ড","Cement, portland"
"চিমেণ্ট, পৰ্টলেণ্ড ব্লাষ্ট ফাৰ্নেচৰ স্লেগ","Cement, portland blast furnace slag"
"চিমেণ্ট, পৰ্টলেণ্ড প&#39;জ&#39;লান","Cement, portland pozzolan"
"চিমেণ্ট, স্লেগ","Cement, slag"
"চিমেণ্ট, ছালফেট প্ৰতিৰোধী","Cement, sulphate resistant"
"চিমেণ্ট, ছুপাৰ ছালফেটেড","Cement, super sulphated"
"চিমেণ্ট, বগা","Cement, white"
চিমেণ্ট-এগ্ৰিগেটৰ অনুপাত,Cement-aggregate ratio
চিমেণ্টৰ পৰিমাণ,Cement content
চিমেণ্ট জেল,Cement gel
চিমেণ্টৰ বন্দুক,Cement gun
চিমেণ্টৰ ভঁৰাল,Cement kiln
চিমেণ্টৰ ৰং,Cement paint
চিমেণ্টৰ প্লাষ্টাৰ,Cement plaster
চিমেণ্টৰ শিল,Cement rock
চিমেণ্টৰ গোন্ধ,Cement slurry
চিমেণ্ট সংৰক্ষণ,Cement storage
চিমেণ্টেচন প্ৰক্ৰিয়া,Cementation process
কেন্দ্ৰীকৰণ,Centering
চেণ্টাৰিং আৰু শ্বাটাৰিং,Centering and shuttering
কেন্দ্ৰীয় মিশ্ৰিত কংক্ৰিট,Central mixed concrete
কেন্দ্ৰীয় মিক্সাৰ,Central mixer
কেন্দ্ৰপৃথক ফেন,Centrifugal fan
চক,Chalk
চেমফাৰ,Chamfer
চেমফাৰ ষ্ট্ৰিপ,Chamfer strip
চেনেল বিম,Channel beam
বৈশিষ্ট্যপূৰ্ণ বোজা,Characteristic load
বৈশিষ্ট্যপূৰ্ণ শক্তি,Characteristic strength
চাৰ্জ অফ কৰক,Charge off
চাৰ্জিং,Charging
পৰীক্ষা কৰি আছে,Checking
ৰাসায়নিক বন্ধন,Chemical bond
চেৰনোজেম,Chernozem
চেষ্টনাটৰ মাটি,Chestnut soil
চিমনিৰ নালা,Chimney gutter
চিপ বৰ্ড,Chip board
চিপিং,Chipping
চিপছ,Chips
চুটে,Chute
শ্ৰেণী (কংক্ৰিটৰ),Class (of concrete)
বোকা মাটি,Clay
মাটিৰ পৰিমাণ,Clay content
মাটিৰ কেৰাহী,Clay pan
ক্লিনআউট,Cleanout
চাফ-চিকুণ কৰক,Clean up
ক্লিট কৰক,Cleat
ক্লিংকাৰ,Clinker
ক্লিপ,Clip
জমা হোৱা,Coagulation
মোটা গোটা পদাৰ্থ,Coarse aggregate
মোটা দানাযুক্ত মাটি,Coarse grained soil
কোট,Coat
কফাৰ বান্ধ,Coffer dam
সংহতি,Cohesion
কলয়ড,Colloid
কলয়ডাল আৰ্দ্ৰতাৰ সমতুল্য অনুপাত,Colloidal moisture equivalent ratio
কলয়ডাল ব্যৱস্থা,Colloidal system
কলুভিয়াল মাটি,Colluvial soil
স্তম্ভ,Column
কম্বড ফিনিচিং,Combed finish
সংযুক্ত ফুটিং,Combined footing
সংযুক্ত পানী,Combined water
কমন ৰুম,Common room
সম্পূৰ্ণ হোৱাৰ প্ৰমাণ পত্ৰ,Completion certificate
উপাদান বৰ্গ,Component square
কংক্ৰিট,Concrete
কংক্ৰিচন,Concretion
একত্ৰিত হাৰ/ফ্লেট হাৰ,Consolidated rate/flat rate
দূষক পদাৰ্থ,Contaminants
ৰন্ধা-বঢ়াৰ এলকোভ,Cooking alcove
মোকাবিলা কৰা,Coping
কৰ্বেল,Corbel
কৰ্নিচ,Cornice
কাপলাৰ,Coupler
"কাপলাৰ, ডাবল","Coupler, double"
"কাপলাৰ, পুটলগ","Coupler, putlog"
"কাপলাৰ, চুইভেল","Coupler, swivel"
ধাৰা,Course
কোৰ্চ কৰা ৰেণ্ডম ধ্বংসাৱশেষ শিলৰ কাম,Coursed random rubble masonry
আবৃত অঞ্চল,Covered area
অধম,Creep
ক্ৰিপ সহগ,Creep coefficient
ক্ৰ&#39;ট&#39;ভাইন,Crotovine
কাউৰী ভৰি,Crow foot
ক্ৰাম গঠন,Crumb structure
প্ৰতিবন্ধক,Curb
সোঁত,Current
বক্ৰ প্ৰতিৰোধ ক্ষমতা,Curve resistance
ডেম্প প্ৰুফ কোৰ্চ,Damp proof course
সম্পূৰ্ণ হোৱাৰ তাৰিখ,Date of completion
ডেড লোড,Dead load
মৰা পানী,Dead water
ডেচিবেল,Decibel
ডিফ্ল’কুলেচন,Deflocculation
বায়ুমণ্ডলৰ মাত্ৰা বা বায়ু স্থান অনুপাত,Degree of aeration or air space ratio
একত্ৰীকৰণৰ মাত্ৰা,Degree of aggregation
বিক্ষিপ্ততাৰ মাত্ৰা,Degree of dispersion
চেচুৰেচনৰ ডিগ্ৰী,Degree of saturation
ঘনত্ব,Density
মৰুভূমিৰ ফুটপাথ,Desert pavement
মৰুভূমিৰ মাটি,Desert soil
সবিশেষ,Details
উন্নয়নৰ সময়ছোৱা,Development period
ডি-দিগন্ত,D-horizon
তিৰ্যক বন্ধন,Diagonal bond
ডায়াগ্ৰাম,Diagram
ডিজিটেল ডক,Digital dock
ভিন্নতামূলক পানীৰ হাৰ,Differential water rate
পাতল কৰা ভেণ্টিলেচন,Dilution ventilation
ডিলুভিয়াম,Diluvium
খোৱাঘৰ,Dining room
দিশৰ পেগ,Direction peg
বিক্ষিপ্ততা,Dispersion
ডিষ্টেম্পাৰ,Distemper
ডক,Dock
দুৱাৰ,Door
ডৰ্মাৰ,Dormer
ডৰ্মাৰ চেক,Dormer check
ডাবল ফ্লেমিছ বণ্ড,Double flemish bond
ডাবল লেয়াৰ,Double layer
ডৱেল,Dowel
অংকন বৰ্ড,Drawing board
ড্ৰয়িং ৰুম,Drawing room
ড্ৰিফ্ট,Drift
শুকান বাল্বৰ উষ্ণতা,Dry bulb temperature
শুকান ডক,Dry dock
শুকান ৰবৰৰ শিলৰ কাম,Dry rubber masonry
ডাচ বণ্ড,Dutch bond
বামন দেৱাল,Dwarf wall
বাসস্থানৰ ইউনিট,Dwelling unit
ইভ,Eave
ইভছ নালা,Eaves gutter
অৰ্থনৈতিক সম্ভাৱনীয়তা,Economic feasibility
বহিঃগতিশীল মাটি,Ectodynamorphic soil
এডি,Eddy
ফলপ্ৰসূ আকাৰ,Effective size
ফুলৰ ফুলনি,Efflorescence
এফ্লুৱেণ্ট,Effluent
উচ্চতা,Elevation
এলুভিয়েচন,Eluviation
এলুভিয়াম,Eluvium
এণ্ডোডাইনামৰ্ফিক মাটি,Endodynamorphic soil
অভিযান্ত্ৰিক সম্ভাৱনীয়তা,Engineering feasibility
ইংৰাজী বণ্ড,English bond
ইংৰাজী বাগিচাৰ দেৱালৰ বণ্ড,English garden wall bond
"ইপিএম (প্ৰতি মিলিয়নৰ সমতুল্য),&quot;","E.P.M. (equivalent per million),"""
সমতুল্য ওজন,Equivalent weight
Erg,Erg
বিনিময়যোগ্য,Exchangeable
বিনিময়যোগ্য এচিডিটি,Exchangeable acidity
বিনিময়যোগ্য ছডিয়াম শতাংশ (ESP),Exchangeable sodium percentage (ESP)
ই এছ পি.,E. S P.
বিনিময় এচিডিটি,Exchange acidity
এক্সচেঞ্জ কমপ্লেক্স,Exchange complex
নিষ্কাশন,Exhaust
উন্মুক্ত ফিনিচিং,Exposed finish
নয়ন,Eye
চকুৰ ভ্ৰূ,Eye brow
মুখামুখি,Facing
বন্ধনৰ সন্মুখীন হোৱা,Facing bond
সুৰক্ষাৰ কাৰক,Factor of safety
পৰি যোৱা,Fall
ফেচিয়া,Facia
ফেচিয়া বৰ্ড,Facia board
দোষ,Fault
পথাৰ আৰ্দ্ৰতা,Field moisture
চূড়ান্ত আৰ্দ্ৰতাৰ সমতুল্য,Final moisture equivalent
ফিলেট (মৰ্টাৰৰ),Fillet (of mortar)
চূড়ান্ত,Finial
চূড়ান্ত জোখ-মাখ,Final measurement
চূড়ান্ত পেমেণ্টq,Final paymentq
চূড়ান্ত প্ৰি ষ্ট্ৰেছ,Final pre stress
চূড়ান্ত উত্তেজনা,Final tension
আৰ্থিক সম্ভাৱনীয়তা,Financial feasibility
মিহি গোটা পদাৰ্থ,Fine aggregate
ছিন্নভিন্ন শিল,Fissured rock
পতাকা শিল,Flag stone
ফ্লেমিছ বন্ধন,Flemish bond
ফিচফিচাই থকা,Flashing
ঝলমলীয়া ধাৰা,Flashy stream
সমতল চাল,Flat roof
ফ্লেচে,Fleche
ফ্লেমিছ বাগিচাৰ দেৱালৰ বন্ধন,Flemish garden wall bond
ফ্লিন্ট,Flint
ফ্লিণ্টৰ দেৱাল,Flint wall
ভাসমান মজিয়া,Floating floor
ফ্লকুলেচন,Flocculation
ফ্লকুলেচন সীমা,Flocculation limit
ফ্লকুলেচন অনুপাত,Flocculation ratio
ফ্লকুলেছ,Floccules
মজিয়া,Floor
মজিয়াৰ ছীল,Floor seal
বৈ অহা,Flow
উঠা-নমা,Fluctuation
ফুটিং,Footing
ভেঁটি,Foundation
ফ্ৰী ফ&#39;ল বেৰ&#39; টপিং মিক্সাৰ,Free fall barrow topping mixer
ফ্ৰী ফ&#39;ল মিক্সাৰ (ড্ৰাম টাইপ),Free fall mixer (drum type)
মুক্ত শিল,Free stone
ফ্ৰেছেট,Freshet
ঘৰ্ষণৰ স্তূপ,Friction pile
ভেকুলী,Frog
গেবল,Gable
গেবলেট,Gablet
গাম্ব্ৰেলৰ চাল,Gambrel roof
জোখ লোৱা,Gauge
গেজিং অংশ,Gauging section
গেজিং ষ্টেচন,Gauging station
সাধাৰণ স্থান পৰিকল্পনা,General location plan
সাধাৰণ বায়ু চলাচল,General ventilation
G দিগন্ত বা গ্লে দিগন্ত,G horizon or gley horizon
হিমবাহৰ টিল,Glacial till
গ্নেইছ,Gneiss
সামগ্ৰীৰ চোতাল,Goods yard
গ্ৰেডিয়েণ্ট ৰেজিষ্টেন্স,Gradient resistance
গ্ৰেনাইট,Granite
দানাদাৰ গঠন,Granular structure
গ্ৰেনুলেচন,Granulation
গ্ৰেনুল,Granule
মহাকৰ্ষণীয় পানীমুক্ত পানী,Gravitational water free water
মহাকৰ্ষণীয় চোতাল,Gravitational yard
মহান মাটিৰ গোট,Great soil group
গ্ৰীলেজ ফাউণ্ডেচন,Grillage foundation
গ্ৰাউণ্ড হেণ্ড মল্ডিং,Ground hand moulding
গ্ৰুপ কৰা ডক,Grouped dock
গ্ৰুপ হাউছিং,Group housing
অতিথিশালা,Guest room
নালা,Gutter
নালা বাহক,Gutter bearer
নালা পৰীক্ষা,Gutter check
হাতুৰীৰে ড্ৰেছিং,Hammer dressing
বন্দৰ,Harbour
আশ্ৰয়ৰ বন্দৰ,Harbour of refuge
কঠিন কেৰাহী,Hard pan
হেডাৰ,Header
হেডাৰ বণ্ড,Header bond
হেডাৰ পাঠ্যক্ৰম,Header course
হেড গেটৰ গঠন,Head gate structure
খালৰ মূৰ,Head of canal
হেড ৰেগুলেটৰ,Head regulator
হেৰিং হাড়ৰ বন্ধন,Herring bone bond
হৃদয়স্পৰ্শী,Hearting
তিয়াই থোৱাৰ তাপ,Heat of wetting
উচ্চ এলুমিনা চিমেণ্ট,High alumina cement
কঁকাল,Hip
হিপ কেপিং,Hip capping
হিপড এণ্ড,Hipped end
ডকাইত,Hood
হুড মল্ডিং,Hood moulding
হুক’ৰ আইন,Hook's law
হুপ লোহা,Hoop iron
দিগন্ত,Horizon
আৰ্দ্ৰকৰণ,Humidification
"আৰ্দ্ৰতা, নিৰপেক্ষ","Humidity, absolute"
"আৰ্দ্ৰতা, আপেক্ষিক","Humidity, relative"
হাম্প চোতাল,Hump yard
হাইড্ৰলিক চাপ,Hydraulic pressure
জলসিঞ্চন,Hydration
হাইড্ৰ’লাইছিছ,Hydrolysis
হাইড্ৰ’লাইটিক এচিডিটি,Hydrolytic acidity
জলৰূপী মাটি,Hydromorphic soil
হাইড্ৰফিলিক কলয়ড,Hydrophilic colloid
হাইড্ৰ’ফ’বিক কলয়ড,Hydrophobic colloid
হাইড্ৰ’ষ্টেটিক চাপৰ অনুপাত,Hydrostatic pressure ratio
হাইগ্ৰ’স্কেপ্টিক সহগ,Hygroscaptic coefficient
হাইগ্ৰস্কোপিক আৰ্দ্ৰতা,Hygroscopic moisture
হাইড্ৰস্কোপিচিটি,Hydroscopicity
হাইগ্ৰস্কোপিক আৰ্দ্ৰতা,Hygroscopic moisture
হাইপাৰবেৰিক চেম্বাৰ,Hyperbaric chamber
হাইপাৰষ্টেটিক ফ্ৰেম,Hyperstatic frame
হাইপছ’মিটাৰ,Hypsometer
আলোকসজ্জা,Illumination
ইম্বিবেচন আৰ্দ্ৰতা,Imbibation moisture
অপৰিপক্ক মাটি,Immature soil
জব্দ কৰা ডক,Impounded dock
ভূমিৰ ৰাজহ বৃদ্ধি,Increment of land revenue
স্বতন্ত্ৰ মৰাপাট,Independent scaffold
কঠিন,Indurated
প্ৰাৰম্ভিক প্ৰিষ্ট্ৰেছ,Initial prestress
প্ৰাৰম্ভিক উত্তেজনা,Initial tension
অভ্যন্তৰীণ জলপথ বন্দৰ,Inland waterway port
ইনচুলেটিং বৰ্ড,Insulating board
মধ্যৱৰ্তী বন্দৰ,Intermediate port
আভ্যন্তৰীণ ঘৰ্ষণ,Internal friction
ইন্ট্ৰাজ’নেল মাটি,Intrazonal soil
আয়ন,Ion
আয়ন বিনিময়,Ion exchange
লোহাৰ কেৰাহী,Iron pan
জলসিঞ্চিত মাটি,Irrigated land
জলসিঞ্চন,Irrigation
জলসিঞ্চনৰ চেছ,Irrigation cess
জাম্ব,Jamb
জগল কৰক,Joggle
জগল পিন,Joggle pin
জৌলে,Joule
জাম্পাৰ,Jumper
কিলোগ্ৰাম,Kilogram
কিলোগ্ৰাম বল,Kilogram force
কিলোগ্ৰাম বল মিটাৰ,Kilogram force meter
কিলোৱাট ঘন্টা,Kilowatt hour
ৰজা বন্ধ,King closure
পাকঘৰ,Kitchen
লেচযুক্ত স্তম্ভ,Laced column
পিছ পৰি থকা,Lagging
লেমেলা শিপা,Lamella root
লেমিনাৰ প্ৰবাহ,Laminar flow
লেম্পৰ ফুটা,Lamp hole
ভূমি বৃদ্ধি,Land accretion
ভূমি পিছলি যোৱা,Land sliding
লেটাৰাইট,Laterite
লেটাৰাইট মাটি,Laterite soil
বৃহৎ সংখ্যকৰ নিয়ম,Law of large numbers
বিন্যাস পৰিকল্পনা,Layout plan
লেজাৰ,Ledger
চূণৰ কেৰাহী,Lime pan
লিণ্টেল,Lintel
তৰল সীমা,Liquid limit
লাইভ লোড,Live load
লোম,Loam
স্থানীয় এক্সজেষ্ট ভেণ্টিলেচন,Local exhaust ventilation
লোকো চোতাল,Loco yard
ল&#39;ছ,Loess
প্লাষ্টিকৰ সীমা কম কৰা,Lower plastic limit
কম তাপত চিমেণ্ট,Low heat cement
মেচিন মল্ডিং,Machine moulding
বৃহৎ গঠন,Macrostructure
মূল মূৰ নিয়ন্ত্ৰক,Main head regulator
মূল বন্দৰ,Main port
মেকআপ এয়াৰ,Makeup air
মানচাৰ্ড,Mansard
মাৰ্শ্বেলিং গজ,Marshalling yard
শিলৰ কাম,Masonry
পৰিপক্ক উষ্ণতা,Maturing temperature
মেজেনিন মজিয়া,Mezzanine floor
যান্ত্ৰিক বিশ্লেষণ,Mechanical analysis
যান্ত্ৰিক বায়ু চলাচল,Mechanical ventilation
মেট্ৰিক ব্যৱস্থা,Metric system
অণুগাঁথনি,Microstructure
মিলি সমতুল্য,Milli equivalent
প্ৰতি লিটাৰত মিলি সমতুল্য,Milli equivalent per litre
খনিজ পদাৰ্থ,Mineral
খনিজ মাটি,Mineral soil
সৰু বন্দৰ,Minor port
মাইট্ৰেড বন্ধ,Mitred closure
চলন্ত মাটিৰ কলয়ড,Mobile soil colloid
আৰ্দ্ৰতা,Moisture content
আৰ্দ্ৰতাৰ গ্ৰেডিয়েণ্ট,Moisture gradient
মনোলিথ,Monolith
মনোৰেল,Monorail
ৰাষ্ট্ৰীয় বন্দৰ পৰিষদ,National harbour council
প্ৰাকৃতিক বিচনা,Natural bed
প্ৰাকৃতিক ফিনিচিং,Natural finish
প্ৰাকৃতিক বন্দৰ,Natural harbour
প্ৰাকৃতিক বায়ু চলাচল,Natural ventilation
নৌসেনাৰ বন্দৰ,Naval harbour
নিউটন,Newton
নন ইউনিফৰ্ম প্ৰবাহ,Non uniform flow
পানীৰ হাৰ দখল কৰে,Occupies water rate
তেলৰ ৰং,Oil paint
তেলৰ কুঁৱাৰ চিমেণ্ট,Oil well cement
মুকলি চেনেলৰ প্ৰবাহ,Open channel flow
অনুকূল আৰ্দ্ৰতা,Optimum moisture
জৈৱিক মাটি,Organic soil
অভিবিন্যাস,Orientation
অৰ্থোগনেল,Orthogonal
অৰ্টষ্টেইন,Ortstein
বাহিৰৰ সংকেত,Outer signal
অক্সিডেচন,Oxidation
পেণ্ট্ৰি,Pantry
পেৰাপেট,Parapet
পেৰাপেটৰ দেৱাল,Parapet wall
অভিভাৱকৰ সামগ্ৰী,Parent material
শিলগুটি ঢালাই প্লাষ্টাৰ,Pebble cast plaster
পেডালফাৰ,Pedalfer
পেড&#39;কেল,Pedocal
পেড’জেনেছিছ,Pedogenesis
পেড’লজি,Pedology
পেড’স্ফিয়াৰ,Pedosphere
পেনেট্ৰ’মিটাৰ,Penetrometer
পেণ্ট ছাদ,Pent roof
পেপটাইজিং এজেণ্ট,Peptizing agent
বিশ্লেষণৰ সময়ছোৱা,Period of analysis
পাৰ্পেণ্ড,Perpend
পাৰ্চৰ্পচন,Persorption
ঘাট,Pier
পিলাষ্টাৰ,Pilaster
চূড়া,Pitch
পিচড ছাদ,Pitched roof
সাধাৰণ কংক্ৰিট,Plain concrete
সমতল কোণ,Plane angle
সাধাৰণ চোতাল,Plain yard
প্লেনছল,Plansol
প্লাষ্টিকৰ স্থায়িত্ব,Plastic consistency
প্লাষ্টিচিটি,Plasticity
প্লাষ্টিচিটি সূচকাংক,Plasticity index
প্লাষ্টিচিটিৰ সীমা,Plasticity limit
প্লাষ্টিচিটিৰ পৰিসৰ,Plasticity range
প্লেটি গঠন,Platy structure
প্লিন্থ,Plinth
হাল বোৱা মাটি,Plough soil
প্লামৰ শিল,Plum stone
পডজোলে,Podzole
আঙুলিয়াই দি,Pointing
বহুভুজীয়া বেৰ,Polygonal wall
ছিদ্ৰৰ স্থান,Pore space
বন্দৰ,Port
পজিটিভ ভেন্টিলেচন,Positive ventilation
প্ৰেয়ৰী মাটি,Prairie soil
নিখুঁততা,Precision
প্ৰাথমিক কণা,Primary particle
প্ৰিজমেটিক গঠন,Prismatic structure
উৎপাদনশীল কাম,Productive work
প্ৰকল্পৰ ন্যায্যতা,Project justification
সুৰক্ষামূলক কাম,Protective work
ছ্যুড’-মাইচেলিয়াম,Pseudo-mycelium
পুখুৰী,Puddle
পাগিং,Pugging
পিউমিচ,Pumice
পাঞ্চিয়ন,Puncheon
পুতলা,Puppet
পুটলগ,Putlog
পুটলগ মৰাপাট,Putlog scaffold
পৰিমাণ জৰীপকাৰী,Quantity surveyor
শিলৰ ৰস,Quarry sap
ঘাট,Quay
কুইন বন্ধ,Queen closure
কুইইন,Quoin
ৰাফ্ট ফাউণ্ডেচন,Raft foundation
ৰেকাৰ,Raker
ৰেকিং,Raking
ৰেকিং বণ্ড,Raking bond
ৰেকিং ফ্লেছিং,Raking flashing
দ্ৰুতগতিত পৰিৱৰ্তনশীল প্ৰবাহ,Rapidly varying flow
আদায়যোগ্য পেমেণ্ট,Recoverable payment
ৰঙা মাটি,Red earth
ৰঙা লোম,Red loam
নিয়ন্ত্ৰক,Regulator
