Marathi,Bengali
अपेक्षित जामीन,প্রত্যাশিত জামিন
भ्रष्टाचारविरोधी उपाय,দুর্নীতি দমন ব্যবস্থা
अँटी-डंपिंग,অ্যান্টি-ডাম্পিং
प्राचीन,প্রাচীন
वर्णभेद,বর্ণবাদ
औदासिन्य,উদাসীনতা
शिखर शरीर,অ্যাপেক্স বডি
दिलगिरी,ক্ষমা প্রার্থনা
अपील,আবেদন
देखावा,চেহারা
शांतता,সন্তুষ্টি
अपील न्यायाधिकरण,আপিল ট্রাইব্যুনাল
परिशिष्ट,পরিশিষ্ট
उपकरण,যন্ত্রপাতি
लागू,প্রযোজ্য
अर्जदार,প্রার্থী
अर्ज,আবেদন
अर्ज,আবেদনপত্র
लागू,প্রয়োগ
अर्ज करा,প্রয়োগ করুন
नेमणूक,নিয়োগ
अधिकाराची नेमणूक,কর্তৃপক্ষ নিয়োগ
नियुक्ती,অ্যাপয়েন্টমেন্ট
नियुक्ती पत्र,নিয়োগপত্র
मंत्रिमंडळाची नेमणूक समिती,মন্ত্রিপরিষদের অ্যাপয়েন্টমেন্ট কমিটি
वेतनाचे विभाजन,মজুরির অংশ
मूल्यमापन,মূল্যায়ন
मूल्यांकनकर्ता,মূল্যায়নকারী
कौतुक,প্রশংসা
भीती,আশঙ্কা
शिकाऊ उमेदवार,শিক্ষানবিশ
संपर्क साधा,পদ্ধতির
योग्य,যথাযথ
योग्य कृती,যথাযথ ব্যবস্থা
योग्य डोके,উপযুক্ত মাথা
विनियोग,বরাদ্দ
मान्यता,অনুমোদন
अंदाजे,আনুমানিক
योग्यता चाचणी,বুদ্ধিমত্তার পরীক্ষা
अनियंत्रित,ইচ্ছামত
लवाद,সালিশ
लवाद,সালিশ
लवाद न्यायाधिकरण,আরবিট্রেশন ট্রাইব্যুনাল
लवाद,সালিস
आर्किटेक्चर,আর্কিটেকচার
संग्रहण,সংরক্ষণাগার
क्षेत्र,অঞ্চল
क्षेत्र मुख्यालय,অঞ্চল সদর দফতর
युक्तिवाद,যুক্তি
उद्भवू,উত্থিত
सशस्त्र सेना,সশস্ত্র বাহিনী
व्यवस्था,ব্যবস্থা
थकबाकी,বকেয়া
थकबाकी विधान,বকেয়া বিবৃতি
आगमन अहवाल,আগমনের প্রতিবেদন
गर्विष्ठपणा,অহংকার
शस्त्रागार,আর্সেনাল
लेख,নিবন্ধ
संघटनेचा लेख,সমিতির নিবন্ধ
लेख,নিবন্ধ
चढत्या ऑर्डर,উর্দ্ধক্রমানুসারে
निश्चित करा,নিরূপণ করা
कोठे आहे,যেমনটি যেখানে
पैलू,দিক
भ्रष्टाचार,Aspersion
हत्या,হত্যাকাণ্ড
हल्ला,হামলা
एकत्र करा,একত্রিত করা
असेंब्ली,সমাবেশ
मान्यता,সম্মতি
ठामपणे,জাহির করা
निर्धारक,মূল্যায়নকারী
मूल्यांकन,মূল্যায়ন
मूल्यांकन वर्ष,মূল্যায়ন বছর
मूल्यांकनकर्ता,মূল্যায়নকারী
मालमत्ता,সম্পদ
असिशात,Assignee
असाइनमेंट,অ্যাসাইনমেন্ট
असाइनर,নিয়োগকারী
सहाय्य,সহায়তা
सहयोगी,সহযোগী
असोसिएशन,সংঘ
शुल्काची धारणा,চার্জ অনুমান
आश्वासन,আশ্বাস
आश्वासन कंपनी,আশ্বাস সংস্থা
आश्वासन,আশ্বাস
सूट वर,ছাড় এ
अणु शक्ती,পারমাণবিক শক্তি
समम वर,সমমূল্যে
प्रीमियमवर,প্রিমিয়ামে
संलग्न करा,সংযুক্ত
संलग्न कार्यालय,সংযুক্ত অফিস
संलग्नक,সংযুক্তি
संलग्नक ऑर्डर,সংযুক্তি আদেশ
प्राप्ती,অর্জন
प्रयत्न,চেষ্টা
उपस्थिती,উপস্থিতি
उपस्थिती नोंदणी,উপস্থিতি নিবন্ধ
उपस्थिती स्लिप,উপস্থিতি স্লিপ
लक्ष,মনোযোগ
प्रमाणीकरण,সত্যতা
प्रमाणित प्रत,সত্যায়িত অনুলিপি
वृत्ती,মনোভাব
आकर्षक पगार,আকর্ষণীয় বেতন
लिलाव,নিলাম
लिलाव,নিলামকারী
लिलाव विक्री,নিলাম বিক্রয়
प्रेक्षक,শ্রোতা
ऑडिओ-व्हिज्युअल प्रदर्शन,অডিও-ভিজ্যুয়াল ডিসপ্লে
ऑडिओ-व्हिज्युअल प्रसिद्धी,অডিও-ভিজ্যুয়াল প্রচার
ऑडिट,নিরীক্ষা
ऑडिट खाती,নিরীক্ষিত অ্যাকাউন্ট
ऑडिट बॅलन्स शीट,নিরীক্ষিত ব্যালেন্স শীট
ऑडिटिंग,নিরীক্ষণ
ऑडिट आक्षेप,নিরীক্ষা আপত্তি
ऑडिटरचा अहवाल,নিরীক্ষকের প্রতিবেদন
सभागृह,অডিটোরিয়াম
ऑडिट परिच्छेद,অডিট অনুচ্ছেদ
ऑडिट अहवाल,অডিট রিপোর্ট
कठोरता,কঠোরতা
कठोरपणाचे उपाय,কঠোরতা ব্যবস্থা
अस्सल,খাঁটি
अधिकृत प्रतिनिधी,অনুমোদিত প্রতিনিধি
अधिकृत,কর্তৃত্বমূলক
अधिकार,কর্তৃপক্ষ
प्राधिकरण पत्र,কর্তৃপক্ষের চিঠি
अधिकृत,অনুমোদিত
अधिकृत भांडवल,স্বীকৃত মূলধন
स्वयंचलित,স্বয়ংক্রিয়
स्वायत्त,স্বায়ত্তশাসিত
स्वायत्त शरीर,স্বায়ত্তশাসিত শরীর
स्वायत्तता,স্বায়ত্তশাসন
सहाय्यक,সহায়ক
उपलब्ध,উপলব্ধ
सरासरी,গড়
सरासरी रजा,গড় ছুটি
प्रतिकार,বিপর্যয়
टाळतो,এড়ানো
टाळा,এড়াতে
कर टाळणे,কর এড়ানো
प्रतीक्षा केली,অপেক্ষা করছি
पुरस्कार,পুরষ্কার
पुरस्कार प्राधिकरण,পুরষ্কার কর্তৃপক্ষ
जागरूकता,সচেতনতা
बॅकडेटेड,ব্যাকডেটেড
पार्श्वभूमी,পটভূমি
परत लॉग,জমা কাজ
मागे होणे,ফিরে
परत संदर्भ,পিছনে রেফারেন্স
बॅक अप,ব্যাক আপ
मागास वर्ग,পশ্চাদপদ শ্রেণি
मागास जमाती,পশ্চাদপদ উপজাতি
वाईट सौदा,খারাপ দর কষাকষি
वाईट वागणं,খারাপ আচরণ
वाईट वर्ण,খারাপ চরিত্র
वाईट हवामान भत्ता,খারাপ জলবায়ু ভাতা
वाईट आचरण,খারাপ আচরণ
वाईट कर्ज,খারাপ ঋণ
सामान,লাগেজ
जामीन,জামিন
शिल्लक,ভারসাম্য
शिल्लक खाली आणले,ভারসাম্য নামা
शिल्लक पुढे आणले,ভারসাম্য এগিয়ে আনা
संतुलित बजेट,সুষম বাজেট
शिल्लक पत्रक,ব্যালেন্স শীট
मतपत्रिका,ব্যালট
मतपेटी,ব্যালট বাক্স
मतपत्रिका,ভোট পত্র
बंदी,নিষেধাজ্ঞা
बँक,ব্যাংক
बँक खाते,ব্যাংক হিসাব
बँक बॅलन्स,ব্যাংক ভারসাম্য
बँक शुल्क,ব্যাংক চার্জ
बँक हमी,ব্যাংক গ্যারান্টি
बँक सुट्टी,ব্যাংক ছুটির দিন
बँकिंग सुविधा,ব্যাংকিং সুবিধা
बँकिंग तास,ব্যাংকিং সময়
बँकिंग व्यवहार,ব্যাংকিং লেনদেন
बँक दर,ব্যাংক হার
बँक सलोखा,ব্যাংক পুনর্মিলন
दिवाळखोर,দেউলিয়া
बँक सुरक्षा,ব্যাংক সুরক্ষা
बँक स्टेटमेंट,ব্যাংক দলিল
मेजवानी,বনভোজন
बार कौन्सिल,বার কাউন্সিল
सौदा,দর কষাকষি
बार्गेनिंग,দর কষাকষি
नापीक जमीन,অনুর্বর জমি
बार्टर,বার্টার
पाया,বেস
निराधार,ভিত্তিহীন
तळघर,বেসমেন্ট
बेस वर्ष,ভিত্তিবছর
मूलभूत,বেসিক
मूलभूतपणे,মূলত
मूलभूत बुद्धिमत्ता,বেসিক বুদ্ধি
मूलभूत वेतन,মূল বেতন
मूलभूत वेतन,বেতনের প্রাথমিক স্কেল
मूलभूत प्रशिक्षण,মৌলিক প্রশিক্ষণ
आधार,ভিত্তি
बॅच,ব্যাচ
बिल्ला क्रमांक,ব্যাচ নাম্বার
वाहक तपासणी,বহনকারী চেক
उद्धृत करण्यापूर्वी,উদ্ধৃত করার আগে
वर्तन,আচরণ
विश्वास,বিশ্বাস
समम खाली,নীচে নীচে
खंडपीठ,এজলাস
बेंचमार्क,মাপকাঠি
फायदेशीर,উপকারী
लाभार्थी,মৃত ব্যক্তির সম্পত্তির উত্তরাধিকারী
फायदा,উপকার
संशयाचा फायदा,দ্বিধার সুবিধা
परोपकार,দানশীলতা
बेनिव्हॉलेंट फंड,দানশীল তহবিল
निर्विकार,উইল
वकील,উইল
शोक,শোক
सर्वोत्तम प्रयत्न,সেরা প্রচেষ্টা
बेटरमेंट,উন্নততা
पूर्वाग्रह,পক্ষপাত
पक्षपाती मत,পক্ষপাতদুষ্ট মতামত
ग्रंथसूची,গ্রন্থপঞ্জি
द्विवार्षिक,দ্বিবার্ষিক
द्विपक्षीय,দ্বিখণ্ডিত
बिगॅमी,বিগামি
द्विपक्षीय,দ্বিপক্ষীয়
द्विभाषिक,দ্বিভাষিক
द्विभाषिक,দ্বিখণ্ডিত
बिल,বিল
विनिमयाची पावती,বিনিময় বিল
द्विपक्षीय अहवाल,দ্বিখণ্ডিত প্রতিবেদন
बंधनकारक,বাঁধাই
बायोडाटा,বায়োডাটা
द्विपक्षीय,দ্বিপক্ষীয়
द्विपक्षीय करार,দ্বিপক্ষীয় চুক্তি
वर्धापन दिन,জন্ম বার্ষিকী
जन्म प्रमाणपत्र,জন্ম সনদ
जन्म नियंत्रण,জন্ম নিয়ন্ত্রণ
जन्मदिनांक,জন্ম তারিখ
जन्म ठिकाण,জন্মের জায়গা
जन्म दर,জন্ম হার
द्विपक्षीय,দ্বিপক্ষীয়
काळा अर्थव्यवस्था,কালো অর্থনীতি
काळा यादी,কালো তালিকা
ब्लॅकमेल,ব্ল্যাকমেল
काळा बाजार,কালোবাজার
दोष,দোষ
रिक्त तपासणी,ফাঁকা চেক
ब्लँकेट डील,কম্বল ডিল
ब्लँकेट ऑर्डर,কম্বল আদেশ
ब्लास्ट,বিস্ফোরণ
मिश्रण,মিশ্রণ
ब्लॉक,ব্লক
नाकेबंदी,অবরোধ
अवरोधित भांडवल,অবরুদ্ধ মূলধন
ब्लॉक लेटर,ব্লক লেটার
रक्तदान,রক্তদান
रक्त संबंध,রক্ত সম্পর্ক
ब्लू कॉलर जॉब,নীল কলার কাজ
ब्लूप्रिंट,ব্লুপ্রিন্ট
ब्लफ,ব্লাফ
बोर्ड,বোর্ড
बोर्डिंग आणि लॉजिंग,বোর্ডিং এবং থাকার ব্যবস্থা
संचालक मंडळ,পরিচালনা পর্ষদ
महसूल मंडळ,রাজস্ব বোর্ড
शरीर,দেহ
अंगरक्षक,দেহরক্ষী
बोगस व्हाउचर,বোগাস ভাউচার
बोनाफाइड्स,সদিচ্ছা
बाँड,বন্ধন
बंधनकारक कामगार,চুক্তিভুক্ত শ্রমিক
बोनस,বোনাস
बुकिंग कार्यालय,বুকিং অফিস
बुक-कीपर,বই-রক্ষক
पुस्तक ठेवणे,বই-রক্ষণাবেক্ষণ
पुस्तिका,পুস্তিকা
संदर्भ पुस्तक,রেফারেন্স বই
पुस्तक मूल्य,বই মান
बूथ,বুথ
बूथ कॅप्चरिंग,বুথ ক্যাপচারিং
सीमा भत्ता,সীমান্ত ভাতা
सीमारेषा,বর্ডার লাইন
कर्जदार,Or ণগ্রহীতা
कर्ज घेण्याची शक्ती,Orrow ণ ক্ষমতা
बॉस,বস
अडथळा,বাধা
कंस,বন্ধনী
सीमा,সীমানা
बहिष्कार,বয়কট
बुध्दीमानांची गळती,মেধা পাচার
शाखा कार्यालय,শাখা কার্যালয়
उल्लंघन,লঙ্ঘন
कराराचा भंग,চুক্তি লঙ্ঘন
आत्मविश्वासाचा भंग,আত্মবিশ্বাস লঙ্ঘন
करारभंग,চুক্তি লঙ্ঘন
शिस्तीचा भंग,শৃঙ্খলা লঙ্ঘন
कायद्याचा भंग,আইন লঙ্ঘন
शांततेचा भंग,শান্তি লঙ্ঘন
विशेषाधिकार उल्लंघन,অধিকার লঙ্ঘন
वचन उल्लंघन,প্রতিশ্রুতি লঙ্ঘন
नियम उल्लंघन,নিয়ম লঙ্ঘন
विश्वास उल्लंघन,বিশ্বাস ভঙ্গ
ब्रेक,বিরতি
यंत्रातील बिघाड,ভাঙ্গা
सेवेत ब्रेक,পরিষেবা বিরতি
ब्रेक-अप,বিচ্ছিন্ন
प्रजनन,প্রজনন
लाच,ঘুষ
संक्षिप्त,সংক্ষিপ্ত
संक्षिप्त,সারসংক্ষেপ
संक्षिप्त सारांश,সংক্ষিপ্ত পুনঃসূচনা
चमकदार रेकॉर्ड,উজ্জ্বল রেকর্ড
लक्षात घ्या,নোটিশ আনুন
प्रसारण,সম্প্রচার
ब्रॉडशीट,ব্রডশিট
माहितीपत्रक,ব্রোশিওর
दलाली,দালালি
पुढे आणले (बी/एफ),এগিয়ে আনা (বি/এফ)
अर्थसंकल्प वाटप,বাজেট বরাদ্দ
बगेटरी कंट्रोल,বুগেটারি নিয়ন্ত্রণ
अर्थसंकल्प अंदाज,বাজেটের অনুমান
अर्थसंकल्प तरतूद,বাজেট বিধান
इमारत,বিল্ডিং
बल्क,স্তূপ
मोठ्या प्रमाणात खरेदी,বাল্ক ক্রয়
बुलेटिन,বুলেটিন
बम्पर पीक,বাম্পার ফসল
रिक्त जागा,শূন্যপদ গুচ্ছ
बंगळ,বাংগল
नोकरशाही,আমলাতন্ত্র
नोकरशाही,আমলা
व्यवसाय वर्ग,ব্যবসায়িক শ্রেণী
व्यवसाय तास (= व्यवसायाचे तास),ব্যবসায়ের সময় (= ব্যবসায়ের ঘন্টা)
व्यापारी,ব্যবসায়ী
परत खरेदी,কিনুন
खरेदीदार,ক্রেতা
बाय निवडणूक (= निवडणुकीद्वारे),বাই নির্বাচন (= নির্বাচনের মাধ্যমে)
हाताने तयार केलेल्या,হাতের দ্বারা
पोस्टाने,পোস্ট দ্বারা
केबिन बॅगेज,কেবিন লাগেজ
कपाट,মন্ত্রিসভা
केडर,ক্যাডার
आपत्ती,বিপর্যয়
गणना,গণনা
कॅलेंडर वर्ष,ক্যালেন্ডার বছর
मोहीम,প্রচার
कॅम्पस,ক্যাম্পাস
कॅम्पस मुलाखत,ক্যাম্পাসের সাক্ষাত্কার
रद्द करा,বাতিল
रद्द,বাতিল
उमेदवार,প্রার্থী
उमेदवारी,প্রার্থিতা
कॅनव्हासिंग,ক্যানভাসিং
क्षमता,ক্ষমতা
सक्षम,সক্ষম
क्षमता,ক্ষমতা
भांडवल,মূলধন
भांडवली खर्च,মূলধন ব্যয়
फाशीची शिक्षा,মৃত্যুদণ্ড
कॅपिटेशन फी,ক্যাপিটেশন ফি
कॅप्चर,ক্যাপচার
काळजी,যত্ন
करिअर,ক্যারিয়ার
करिअर विकास,পেশার উন্নয়ন
काळजीवाहू सरकार,তত্ত্বাবধায়ক সরকার
पुढे नेले (सी/एफ),এগিয়ে নিয়ে যাওয়া (সি/এফ)
पुढे जा,জের টানা
वाहून नेणारा खर्च,পরিবহণ খরচ
वर जा,বহন করুন
कार्टेज,কার্টেজ
केस,কেস
केस स्टडी,কেস স্টাডি
रोख,নগদ
रोख शिल्लक,নগদ ভারসাম্য
रोख पुस्तक,নগদ বই
रोख कार्ड,টাকার কার্ড
रोख प्रमाणपत्र,নগদ শংসাপত্র
रोख काउंटर,টাকা প্রদান কেন্দ্র
नगदी पिक,অর্থকরী ফসল
रोख सूट,নগদ ছাড়
कॅश डाउन,নগদ ডাউন
हातात रोख,হাতে নগদ
रोख मेमो,নগদ মেমো
रोख देय,নগদে টাকা প্রদান
जात,জাত
जातीचे प्रमाणपत्र,বর্ণের শংসাপত্র
कास्टिंग मत,দুই মেয়ে
प्रासंगिक,নৈমিত্তিক
प्रासंगिक कामगार,নৈমিত্তিক শ্রম
प्रासंगिक रजा,নৈমিত্তিক ছুটি
कॅज्युअल्टी,দুর্ঘটনা
प्रासंगिक रिक्त जागा,নৈমিত্তিক কর্মখালি
कॅटलॉग,ক্যাটালগ
वर्गीकरण,শ্রেণিবদ্ধ
वर्ग,বিভাগ
केटरिंग सेवा,খাদ্য পরিবেশন সেবা
सावधगिरी,সতর্ক করা
सावधगिरीचे पैसे,সতর্কতা টাকা
आग बंद करा,আগুন বন্ধ
"कमाल मर्यादा (""किंमत"" म्हणून)","সিলিং (""দাম"" হিসাবে)"
उत्सव,উদযাপন
सेल फोन,মুঠোফোন
सेन्सॉर,সেন্সর
सेन्सॉर,সেন্সর
सेन्सॉर मोशन,সেন্সর গতি
जनगणना,জনগণনা
मध्यवर्ती उपकर,কেন্দ্রীয় সেস
केंद्रीय नागरी सेवा नियम,কেন্দ্রীয় সিভিল সার্ভিস বিধি
केंद्रीय उत्पादन शुल्क,কেন্দ্রীয় আবগারি
केंद्र सरकार,কেন্দ্রীয় সরকার
केंद्रीकरण,কেন্দ্রীয়করণ
केंद्रीकृत सेवा,কেন্দ্রীভূত পরিষেবা
मध्यवर्ती अनुदानीत योजना,কেন্দ্রীয়ভাবে অর্থায়িত স্কিম
मध्यवर्ती प्रायोजित योजना,কেন্দ্রীয়ভাবে স্পনসর করা স্কিম
मध्यवर्ती कार्यालय,কেন্দ্রীয় কার্যালয়
मध्यवर्ती महसूल,কেন্দ্রীয় রাজস্ব
केंद्रीय विक्री कर,কেন্দ্রীয় বিক্রয় কর
मध्य,কেন্দ্র
शतक,সেঞ্চুরি
अन्नधान्य,সিরিয়াল
फेरेलिस्ट,সিরিয়ালিস্ট
औपचारिक परेड,আনুষ্ঠানিক কুচকাওয়াজ
सोहळा,অনুষ্ঠান
प्रमाणपत्र,সনদপত্র
फिटनेसचे प्रमाणपत्र,ফিটনেসের শংসাপত্র
पोस्टिंगचे प्रमाणपत्र,পোস্টিং শংসাপত্র
