Malayalam,English
ക്ലൈമാക്രിക് ഫ്രൂട്ട്,Climacteric fruit
കാലാവസ്ഥ,Climate
കാലാവസ്ഥയുള്ള,Climatology
ക്ലിപ്പര്,Clipper
വലം,Clod
ക്ലോൺ,Clone
മേഘം,Cloud
തോപ്പ്,Clump
ക്ലസ്റ്റർ,Cluster
പരുക്കനായ,Coarse
കോട്ട് (വിത്ത്),Coat (seed)
കീടകോശം,Cocoon
Coenzyme,Coenzyme
ഏകീകരണം,Cohesion
കയർ,Coir
കൊളോറൈസ,Coleorrhiza
കുപ്പായക്കഴുത്ത്,Collar
കൊളോയിഡ് (മണ്ണ്),Colloid (soil)
കൊളംറ്റെല്ല,Columella
കോളം,Column
ആമേനസം,Commensalism
വാണിജ്യ ബാങ്ക്,Commercial bank
ചരക്ക്,Commodity
സമൂഹം,Community
കോംപാക്ഷൻ (മണ്ണിന്റെ),Compaction (of soil)
അനുയോജ്യത,Compatibility
അനുയോജ്യത,Compatibility
നഷ്ടപരിഹാരം,Compensation
മത്സര ഇടപെടൽ,Competitive interaction
പൂരക വിള,Complementary crop
കോംപ്ലമായ,Complex
ഘടകം,Component
രചന,Composition
കമ്പോസ്റ്റ്,Compost
കൂട്ടുപലിശ,Compound interest
കണക്കുകൂട്ടൽ,Computation
കന്വൂട്ടര്,Computer
ഏകാഗത,Concentration
കണ്ടന്റർ,Conditioner
മാര്ഗ്ഗം,Conductance
കോൺഫിഗറേഷൻ,Configuration
അനുരൂപത,Conformity
ആശയക്കുഴപ്പത്തില്,Confounding
സംയോജനം,Conjugation
കണക്റ്റീവ്,Connective
സംരക്ഷണം,Conservation
ഏകീകരണം,Consolidation
ഘടകങ്ങൾ,Constituents
ഉപഭോക്താവ്,Consumer
ഉപഭോഗം,Consumption
മലിനമാക്കല്,Contamination
കോണ്ടൂർ നടീൽ,Contour planting
ബാഹരേഖ,Contour
കരാർ കൃഷി,Contract farming
നിയന്ത്രിത സംഭരണം,Controlled storage
കോ-ഓപ്പറേറ്റീവ് ബാങ്ക്,Co-operative bank
സഹകരണക്കാരൻ,Cooperator
ചെവിസിസ്,Coppice
വലം,Corm
കൊറോള്ള,Corolla
Cuortex,Cortex
ചെലവ്,Cost
കോട്ടിലെഡൺ (വിത്ത്),Cotyledon (seed)
ക്രെഡിറ്റ് സമൂഹം,Credit society
കീര്ത്തി,Credit
കടക്കാരന്,Creditor
ചിഹ്നം,Crest
കാശി,Crinkle
പതിസന്ധി,Crisis
മാനദണ്ഡം,Criterion
വിമര്ശിക്കുന്ന,Critical
വിള ഇൻഷുറൻസ്,Crop insurance
വിള വായ്പ,Crop loan
വിള,Crop
വിളവെടുപ്പ് പ്രദേശം,Cropping area
ക്രോസ്-പൊരുത്തപ്പെടുന്നില്ല,Cross-incompatible
കിരീടം (പ്ലാന്റ്),Crown (plant)
അപ്പക്കഷണം,Crumb
അപ്പത്തിന്റെമൊരിഞ്ഞപുറം,Crust
ക്രിപ്റ്റോഗം,Cryptogam
കല്ല് (പഴങ്ങൾ),Cull (fruits)
കുള,Culm
കൃഷിചെയ്യുക,Cultivar
കൃഷി,Cultivation
കൃഷിക്കാരൻ,Cultivator
സംസ്കാരം,Culture
രോഗശമനം,Curing
കേവിംഗ്,Curling
പവാഹം,Currency
ഉപയാകൃതിയായ,Cuticle
മുറിക്കൽ,Cutting
തൊലി,Cyst
സൈറ്റോക്രോം,Cytochrome
Cytogy,Cytogamy
Cretogenesis,Cytogenesis
സൈറ്റോജെനിറ്റിക്സ്,Cytogenetics
സൈറ്റോകിനിസ്,Cytokinesis
സൈറ്റിയോളജി,Cytology
സൈനോളിസിസ്,Cytolysis
സൈറ്റോമിയർ,Cytomere
സൈറ്റോപ്ലാസം,Cytoplasm
കാബേജ്,Cabbage
കള്ളിച്ചെടി,Cactus
കലണ്ടുല,Calendula
കാനറി പുല്ല് (ഫലാരിസ്),Canary grass (phalaris)
കാന,Canna
കപ്പരിസ്,Capparis
കാപ്സിക്കം,Capsicum
കാരാംബോള,Carambola
കാരാപ്പ,Carapa
ഏലാമി,Cardamom
മാംസവര്ണ്ണം,Carnation
കാരറ്റ്,Carrot
കശുവണ്ടി,Cashew nut
കാസിയ,Cassia
നായക,Castor
കോളിഫ്ലവർ,Cauliflower
മുള്ളങ്കി,Celery
ഖപായം,Champac
ചെനോപോഡിയം,Chenopodium
ചെറി തക്കാളി,Cherry tomato
ചെറി,Cherry
"ചിക്കൻ, ഗ്രാം","Chickpea, gram"
മുള്ളികൾ,Chillies
ചൈന ടർപ്പന്റൈൻ ട്രീ,China turpentine tree
ച ow-ച ow,Chow-chow
ക്രിസന്തമം,Chrysanthemum
"ചുഫ, എർത്ത് ബദാം","Chufa, earth almond"
സിക്കോറി,Cichory
കറുവ,Cinnamon
സിട്രൺ,Citron
സിട്രോൻസെല്ല പുല്ല്,Citronella grass
ജസ്മിൻ കയറുന്നു,Climbing jasmine
ചൂള,Clove
ക്ലസ്റ്റർ ബീൻ,Cluster bean
കൊക്കോ,Cocoa
നാളികേരം,Coconut
കോഫി,Coffee
കൊളാസ്,Coleus
കൊളോസാസിയ,Colocasia
"കൊളോസിന്ത്, കയ്പേറിയ ആപ്പിൾ","Colocynth, bitter apple"
സാധാരണ പർപ്പഴം,Common purslane
മല്ലി,Coriander
പരുത്തി,Cotton
കൗപിയ,Cowpea
ക്യൂബ്,Cubeb
വെള്ളരിക്ക,Cucumber
കുക്കർബിറ്റുകൾ,Cucurbits
കുമിൻ,Cumin
കറി ഇല,Curry leaf
കസ്റ്റാർഡ് ആപ്പിൾ,Custard apple
കാപ്സ്യൂൾ ബോറർ,Capsule borer
കാറ്റർപില്ലർ,Caterpiller
സിട്രസ് സൈല,Citrus psylla
കിക്കറ്റ്,Cricket
കാക്ക,Crow
പുഴുവിനെ മുറിക്കുക,Cut worm
പാല്ശേഖരണകേന്ദം,Dairy
ക്ഷീണം,Dairying
അണക്കെട്ട്,Dam
ഡേ-ന്യൂട്രൽ,Day-neutral
പൂവിടുമ്പോൾ ദിവസങ്ങൾ,Days after flowering
നിറച്ച ദിവസങ്ങൾ,Days after full bloom
വഴുതിവീഴുന്നു,Deblossoming
നിര്ണ്ണായകീകരണം,Decalcification
പാനമായ,Decant
അഴുകല്,Decay
ഇലപന്തം,Deciduous
ദശാംശ,Decimal
അപരാപ്തത,Deficiency
ഡെഫ്ലോക്യൂളിറ്റ് (മണ്ണ്),Deflocculation (soil)
വസതിരൂപം,Defloration
വികോപനം,Defoliation
വനനശീകരണം,Deforestation
അപചയം,Degeneration
അധalal അപലതം,Degradation
ഡിഗ്രി ദിവസങ്ങൾ,Degree days
ഡിഗ്രി,Degree
വിജ്ഞാനം,Dehiscence
മാലിംഗം,Dehulling
വീതിക്കുറയ്ക്കല്,Dehusking
നിർജ്ജലീകരണം,Dehydration
ഡെഹൈവേറ്റർ,Dehydrator
അവകാശം,Demand
ഡിനാറ്ററേഷനുകൾ,Denaturation
നിന്ദ്യമായ,Denudation
നിക്ഷേപം,Deposit
നിക്ഷേപം,Deposition
മൂല്യത്തകർച്ചയുള്ള ഡെസാലിനിവൽ,Depreciation desalinization
അതിശയകരമായ,Desiccation
ചിതണം,Design
ഡെസേറ്റർ,Dessicator
നാശം,Destoning
സമയപത്രി,Desuckering
ദേശാനാപിസ്,Desynapsis
പോക്കറല്,Detassel
വഴിപാട്,Detasseling
നിശ്ചയദാർ,Determinant
വിലകുറയ്ക്കല്,Devaluation
ആവിഷ്കരണം,Devegetation
വതിചലനം,Deviation
നിയമാവലി,Diad
രോഗനിര്ണയനം,Diagnosis
ഡിച്ചോമാമി,Dichogamy
ദ്വൈകമി,Dichotomy
ഡികോട്ടിഡൺ (വിത്ത്),Dicotyledon (seed)
മരിക്കുക (രോഗം),Die back (disease)
അഭിവൃദ്ധി,Diffusion
ദഹിപ്പിക്കലിറ്റി,Digestibility
Dihybrid,Dihybrid
ബൈക്ക് (ഡൈക്ക്),Dike (dyke)
നേര്മ്മയാക്കുക,Dilute
ഡൈയോസിയസ്,Dioecious
ഡിപ്പോയിഡ്,Diploid
ഡിപ്പോയിഡ്,Diploid
ഡിപ്ലോൺമ,Diplonema
കൈശീര്ത്തി,Disbudding
വിശദീകരിക്കുന്നു,Discing
കിഴിവ്,Discount
അണുനാശിനി,Disinfection
പതിക്കല്,Dispersion
കീര്ത്തി,Dissemination
വൈവിധ്യവീകരണം,Diversification
വൈവിധ്യമാർന്ന കൃഷി,Diversified farming
ഡിഎൻഎ ഗോവണി,DNA Ladder
ഡിഎൻഎ റിസപ്റ്റർ,DNA receptor
ആവഞ്ചന,Dockage
പബലമായ,Dominant
പ്രവർത്തനരഹിതമായ,Dormancy
ഡോസ്,Dose
ഇരട്ട സിഗ്മോയ്ഡ് കർവ്,Double sigmoid curve
ഡ്രാഫ്റ്റ് (ഡ്രാഫ്റ്റ്),Draft (draught)
വറ്റിക്കുക,Drain
ഡ്രെയിനേജ്,Drainage
വര്ണിക്കുക,Draw
നനഞ്ഞ,Drenching
ഡ്രസ്സിംഗ് (വിത്ത്),Dressing (seed)
ഡ്രിൽ (n.),Drill (n.)
ഡ്രില്ലിംഗ് (എഞ്ചിന്),Drilling (ag. engg)
ഡ്രില്ലിംഗ് (അഗ്രോണമി),Drilling (agronomy)
ഡ്രിപ്പ് ഇറിഗേഷൻ,Drip irrigation
ഡ്രൈവർഡ് കൃഷി,Dryland farming
പൊടി,Dust
ദുണ്രന്മാര്,Duster
പൊടിക്കുന്നു,Dusting
കുള്ളൻ,Dwarf
കുള്ളൻ പിരമിഡ്,Dwarf pyramid
കുള്ളൻ,Dwarfing
ഡെയ്സി,Daisy
തീയതി,Dates
ഡേ ജാസ്മിൻ,Day jasmine
ചതകുല,Dill
ദിനനാത്ത് പുല്ല്,Dinanath grass
ഡോഡീഡർ,Dodder
"ഡൂബ് പുല്ല്, ബെർമുഡ പുല്ല്","Doob grass, bermuda grass"
തുല്കൂപ്പ്,Druce
ഉണങ്ങിയ ഇഞ്ചി,Dry ginger
വണ്ട് മലിനീകരണം,Defoliating beetle
നീരഞ്ഞെടുക്കുക,Drone
ഡക്ക്,Duck
പരിസ്ഥിതിവിജ്ഞാനം,Ecology
സാമ്പത്തികസ്ഥരുടെ,Econometrics
സാമ്പത്തിക കാര്യക്ഷമത,Economic efficiency
ഇക്കോടൈപ്പ്,Ecotype
എക്ടോട്രോഫിക്,Ectotrophic
ഷാഫിക്,Edaphic
എഡാഫോളജി,Edaphology
പതിക്കല്,Edging
ഭക്ഷ്യയോഗ്യമായ ഭാഗം,Edible part
ആവശ്യകതയുടെ ഇലാസ്തികത,Elasticity of demand
ഉൽപാദനത്തിന്റെ ഇലാസ്തികത,Elasticity of production
വൈദ്യുതവിശ്ലനങ്ങൾ,Electrolysis
ഇലക്ട്രോഫോറെസിസ്,Electrophoresis
പൊലീസേഷൻ,Eluviation
എക്യാസ്കറ്റർ,Emasculator
കായാൻസിംഗ്,Embanking
ഭൂണം,Embryo
സ്മൈഫോളജി,Embryology
ആവിർഭാവം,Emergence
എമൽസിഫയർ,Emulsifier
എൻവയോജനസ്,Endogenous
എൻഡോമിറ്റോസിസ്,Endomitosis
എൻഡോപരസൈറ്റ്,Endoparasite
എൻഡോസ്പെർം,Endosperm
എന്റർപ്രൈസ്,Enterprise
എന്രുമോളജി,Entomology
പരിസ്ഥിതി,Environment
എൻസൈം,Enzyme
എപ്പികോട്ടിൽ ഒട്ടിക്കൽ,Epicotyl grafting
എപ്പിഫൈറ്റ്,Epiphyte
ഇക്വിറ്റി,Equity
ഉന്മൂലനം,Eradication
അവശ്യ പോഷകങ്ങൾ,Essential nutrients
കണക്കാക്കല്,Estimation
എറ്റിയോലേഷൻ,Etiolation
അപഹീന,Eugenic
മൂല്യനിർണ്ണയം,Evaluation
ആവാൻവിറ്ററി,Evaporimeter
ഇവാപോ-ട്രാൻസ്പിറേഷൻ,Evapo-transpiration
നിത്യഹരിത വിപ്ലവം,Evergreen revolution
നിത്യഹരിത,Evergreen
പരിണാമം,Evolution
എക്സൂസ്,Excise
ക്ഷീണം (ഫെർട്ടിലിറ്റി),Exhaustion (fertility)
ചൂഷണം,Exploitation
സൂക്ഷ്മപരിശോധന,Exploration
എക്സ്ട്രാഷൻ,Extrusion
കണ്ണ് (സുഗെയ്ൻ / ഉരുളക്കിഴങ്ങ്),Eye (sugercane/potato)
ഭക്ഷ്യ ഏൻ,Edible pine
"ആന അടി, യാം","Elephant foot, yam"
യൂക്കാലിപ്റ്റസ്,Eucalyptus
