Marathi,Telugu
अक्ष (=रोम-बर्लिन-टोकियो अक्ष),యాక్సిస్ (=ది రోమ్-బెర్లిన్-టోక్యో యాక్సిస్)
बॅबिलोन,బాబిలోన్
बॅबिलोनियन बंदिवास (= बॅबिलोनी कैद),బాబిలోనియన్ బందిఖానా (=బాబిలోనియన్ బందిఖానా)
बचनाल भक्त,బచ్చనాల్ భక్తుడు
बचनालिया,బచ్చనాలియా
बॅचलर,బ్రహ్మచారి
बगदाद करार,బాగ్దాద్ ఒప్పందం
बाल्कन लीग,బాల్కన్ లీగ్
बाल्कन करार,బాల్కన్ ఒప్పందం
बाल्कन युद्धे,బాల్కన్ యుద్ధాలు
बाल्टिक करार,బాల్టిక్ ఒప్పందం
डाकू,బందిపోటు
बांडुंग परिषद,బాండుంగ్ కాన్ఫరెన్స్
हद्दपार,బహిష్కరణ
बॅनर,బ్యానర్
रानटी,బార్బేరియన్
बार्बिकन,బార్బికన్
बारडोली सत्याग्रह,బార్డోలీ సత్యాగ్రహం
धान्याचे कोठार बर्नर्स,బార్న్ బర్నర్స్
जहागीरदार,బారన్
बॅरोनेज,బారోనేజ్
Barones majores,బారోన్స్ మేజర్లు
बॅरोन्स अल्पवयीन,బారోన్స్ మైనర్లు
जहागीरदार,బారోనెస్
बॅरोनेट,బారోనెట్
बॅरोनेटेज,బారోనెటేజ్
बॅरोनेटेज,బారోనెటేజ్
बॅरोनेटसी,బారోనెట్సీ
बॅरोनी,బారోనీ
बॅराकून,బారకూన్
बॅराकून,బారకూన్
बॅरिकेड (= बॅरिकेडो),బారికేడ్ (=బారికాడో)
बॅरिकेड (= बॅरिकेडो),బారికేడ్ (=బారికాడో)
बॅरिकेड (= बॅरिकेडो),బారికేడ్ (=బారికాడో)
बेस कॅम्प,మూల శిబిరం
बॅसिलिका,బసిలికా
बॅसिलिका,బసిలికా
बॅस्टिला,బస్తీలా
बॅस्टिल,బాస్టిల్
बॅस्टिल,బాస్టిల్
बॅटरी,బ్యాటరీ
लढाई,యుద్ధం
Batlle-array,బాటిల్-అరే
लढाई रडणे,యుద్ధానికి వెళ్ళే సైనికులు చేసే నినాదాలు
लढाई दिन,బాటిల్ డిన్
युद्धक्षेत्र,యుద్ధ క్షేత్రం
लढाई भजन,యుద్ధ శ్లోకం
स्पर्सची लढाई,స్పర్స్ యుద్ధం
स्टँडर्डची लढाई,స్టాండర్డ్ యుద్ధం
युद्धनौका,యుద్ధనౌక
युद्धनौका-शक्ती,యుద్ధనౌక-బలం
Bayeux टेपेस्ट्री,Bayeux వస్త్రం
बीकन,బెకన్
बीकन टॉवर,బెకన్ టవర్
बीव्हर,బీవర్
बीव्हर,బీవర్
समुद्राचे भिकारी,సముద్రపు బిచ్చగాళ్ళు
बेलिकोज,బెల్లికోస్
बेलिकोज,బెల్లికోస్
बेलिकोज,బెల్లికోస్
बेलिकोसिटी,బెల్లికోసిటీ
बेलोना,బెలోనా
फायदा,ప్రయోజనం
धर्मगुरूंचा लाभ,మతపెద్దల వల్ల ప్రయోజనం
बेनेलक्स,బెనెలక్స్
बर्लिन डिक्री,బెర్లిన్ డిక్రీ
बेसरकर,బెర్సెర్కర్
बेझंट (=बेझंट),బెసెంట్ (=బెజాంట్)
बेथेल,బేతేలు
बिब्लिओलेटर,గ్రంథకర్త
ग्रंथदिंडी,గ్రంథారాధన
मोठा बर्था,బిగ్ బెర్తా
धर्मांध,మతోన్మాదుడు
बिलेटिंग,బిల్లేటింగ్
अटेंडरचे बिल,అటెయిండర్ బిల్లు
अधिकारांचे विधेयक,హక్కుల చట్టం
चरित्रकार,జీవిత చరిత్ర రచయిత
जन्मकथा,జన్మ కథలు
बिव्होक,తాత్కాలిక శిబిరం
बिव्होक,తాత్కాలిక శిబిరం
बिव्होक,తాత్కాలిక శిబిరం
बिझोनिया,బిజోనియా
काळा पक्षी,బ్లాక్ బర్డింగ్
काळा झेंडा,నల్ల జండా
कृष्ण विवर,కృష్ణ బిలం
कृष्ण विवर,కృష్ణ బిలం
काळा पाय (= खरुज),నల్ల కాలు (=స్కాబ్)
काळा शर्ट,నల్ల చొక్కా
ब्लेझोन,బ్లజోన్
ब्लेझोन,బ్లజోన్
झगमगाट,బ్లేజోన్రీ
झगमगाट,బ్లజోన్రీ
ब्लिट्झक्रीग,బ్లిట్జ్‌క్రీగ్
रक्तहीन क्रांती (=वैभवशाली क्रांती),రక్తరహిత విప్లవం (=గ్లోరియస్ రివల్యూషన్)
ब्लडवाईट,బ్లడ్వైట్
ब्लडी मेरी,బ్లడీ మేరీ
निळा,నీలం
निळे रक्त,నీలం రక్తం
निळे पुस्तक,నీలి పుస్తకం
निळी फीत,నీలం రంగు రిబ్బన్
निळी फीत,నీలం రంగు రిబ్బన్
ब्लूज (=रॉयल हॉर्स गार्ड),బ్లూస్ (=రాయల్ హార్స్ గార్డ్స్)
निळा शर्ट,నీలం చొక్కా
ब्लू वॉटर स्कूल,బ్లూ వాటర్ స్కూల్
नियंत्रण मंडळ,బోర్డ్ ఆఫ్ కంట్రోల్
शरीर चिलखत,శరీర కవచం
बोअर,బోయర్
लूट,దోపిడి
बरो,బరో
बुलेउटेरियन,బౌల్యూటేరియన్
बोरबॉन,బోర్బన్
बॉक्सर बंडखोरी,బాక్సర్ తిరుగుబాటు
ब्रेस,బ్రేస్
ब्रासर्ड,బ్రాస్సార్డ్
ब्रासर्ड,బ్రాస్సార్డ్
ब्रेड वसाहती,బ్రెడ్ కాలనీలు
ब्रेस्ट प्लेट,బ్రెస్ట్ ప్లేట్
स्तनाचे काम,రొమ్ము పని
ब्रेटवाल्डा,బ్రెట్వాల్డా
ब्रिगेंड,బ్రిగాండ్
दलाल,బ్రిగేండేజ్
ब्रिटिश कॉमनवेल्थ ऑफ नेशन्स,బ్రిటిష్ కామన్వెల్త్ ఆఫ్ నేషన్స్
तपकिरी शर्ट (=नाझी),బ్రౌన్ షర్ట్స్ (=నాజీలు)
ब्रुसेल्स ट्रीटी (पॅक्ट) संस्था (=वेस्टर्न युरोपियन युनियन),బ్రస్సెల్స్ ట్రీటీ (పాక్ట్) సంస్థ (=వెస్ట్రన్ యూరోపియన్ యూనియన్)
बफ,యెదురు
बफ,యెదురు
बफ-कोट,బఫ్-కోటు
बफ्स,బఫ్స్
बुले (=परिषद),బులే (=మండలి)
बर्गेज,బర్గేజ్
बर्जेस,బర్గెస్
बायझँटाईन,బైజాంటైన్
बायझँटाईन चर्च,బైజాంటైన్ చర్చి
बायझँटाईन साम्राज्य,బైజాంటైన్ సామ్రాజ్యం
बायझँटाईन युग,బైజాంటైన్ యుగం
बायझँटाईन इतिहासकार,బైజాంటైన్ చరిత్రకారులు
कॅबल,కాబాల్
सीझरवाद,సీజరిజం
खलिफा,ఖలీఫ్
कॅलिग्राफर,కాలిగ్రాఫర్
कॅलिग्राफिस्ट,కాలిగ్రాఫిస్ట్
कॅलिग्राफी,కాలిగ్రఫీ
कॅल्ट्रॉप,కాల్ట్రాప్
सौहार्द,సాహచర్యం
कॅमरिला,కమరిల్లా
कॅमरिला,కమరిల్లా
कॅमेलॅकम,కామెలాకమ్
क्लृप्ती,మభ్యపెట్టడం
मोहीम,ప్రచారం
शिबिराचे अनुयायी,క్యాంపు అనుచరుడు
कॅम्पो सॅंटो,కాంపో శాంటో
कॅम्पस मार्टियस,క్యాంపస్ మార్టియస్
कॅनेफोरा,కనెఫోరా
कॅंग्यू,కంగు
तोफखाना,ఫిరంగి
तोफ चारा,ఫిరంగి మేత
कॅनन,కానన్
कॅनन कायदा,కానన్ చట్టం
कॅनोपस डिक्री,కానోపస్ డిక్రీ
कण्टिंग शस्त्र,ఆయుధాలు పట్టుకోవడం
बंदिवान,బందీ
कॅप्टर,కాప్టర్
कार्डिनल,కార్డినల్
कार्ल,కార్ల్
कॅरोलिंगियन राजवंश,కరోలింగియన్ రాజవంశం
कार्थुशियन पंथ,కార్తుసియన్ శాఖ
कार्टोसा,కార్టోసా
कॅस्टेलियन,కాస్టేలియన్
कॅस्टेलियन,కాస్టేలియన్
जाती व्यवस्था,కుల వ్యవస్థ
वाडा,కోట
वाडा,కోట
वाड्याचे शहर,కోట పట్టణం
कास्त्रा,కాస్ట్రా
कास्त्रा,కాస్ట్రా
कॅथेड्रा,కేథడ్రా
कॅथेड्रल,కేథడ్రల్
केटो स्ट्रीट कट,కాటో స్ట్రీట్ కుట్ర
कौडिल्लो,కౌడిల్లో
घोडेस्वार,కావలీర్
घोडेस्वार,కావలీర్
घोडदळ संसद,కావలీర్ పార్లమెంట్
अदुल्लमची गुहा,అదుల్లాం గుహ
गुहा चित्रकला,గుహ పెయింటింగ్
गुहा चित्रकला,గుహ పెయింటింగ్
सेंटमवीर,సెంటంవిర్
सेंच्युरियन,సెంచూరియన్
शतक,సెంచరీ
साखळी चिलखत (=साखळी मेल),చైన్ ఆర్మర్ (=చైన్ మెయిల్)
चंत्री,చాంట్రీ
चंत्री,చాంట్రీ
चॅप बुक,చాప్ పుస్తకం
धर्मगुरू,చాప్లిన్
धडा,అధ్యాయం
अपघातांचा अध्याय,ప్రమాదాల అధ్యాయం
चार्ज करा,ఆరోపణ
चार्ज डी अफेयर्स,ఛార్జ్ డి&#39;ఎఫైర్స్
चार्ज विभाजन,ఛార్జ్ విడిపోవడం
चार्जर,ఛార్జర్
रथ,రథము
सारथी,రథసారధి
सारथी,రథసారధి
सारथी,రథసారధి
धर्मादाय स्वयंपाकघर,ఛారిటీ వంటగది
सनद,చార్టర్
चार्टिस्ट चळवळ (=चार्टिझम),చార్టిస్ట్ ఉద్యమం (=చార్టిజం)
चार्टोफिलेशियम,చార్టోఫిలాసియం
Chateau,చాటౌ
चेक पोस्ट,చెక్ పోస్ట్
रासायनिक युद्ध,రసాయన యుద్ధం
चेस्टर,చెస్టర్
प्रमुख,చీఫ్
सरदार,అధిపతి
सरदार,అధిపతి
सरदार,అధిపతి
शिफॉन,షిఫాన్
शौर्य,శూరత్వం
निवडलेले लोक,ఎంచుకున్న వ్యక్తులు
ख्रिसमोग्राफीन,క్రిస్మోగ్రఫీ
ख्रिस्ती धर्म,క్రైస్తవమత సామ్రాజ్యం
ख्रिश्चन युग,క్రైస్తవ యుగం
ख्रिश्चन समाजवाद,క్రిస్టియన్ సోషలిజం
क्रॉनिकल,క్రానికల్
क्रॉनिकलर,క్రానికల్
Chryse Chersonese,Chryse Chersonese
सिमेलियम,సిమిలియం
Cinquecento शैली,సింక్వెసెంటో స్టైల్
परिक्रमा,ప్రదక్షిణ
सिस्टर्सियन साधू,సిస్టెర్సియన్ సన్యాసి
किल्ला,కోట
उद्धरण,అనులేఖనం
उद्धरण,అనులేఖనం
सविनय कायदेभंग,శాసన ఉల్లంఘన
नागरी युद्ध,పౌర యుద్ధం
सिव्हिस रोमनस,సివిస్ రోమనస్
शास्त्रीय वय,సాంప్రదాయ వయస్సు
Clepht (=klepht),క్లెఫ్ట్ (=క్లెఫ్ట్)
कारकुनीवाद,మతాధికారం
लिपिक,క్లర్చ్
क्लुनियाक हालचाली,క్లినియాక్ ఉద్యమం
कोट चिलखत,కోటు కవచం
अंगरखा,కోట్ ఆఫ్ ఆర్మ్స్
अंगरखा,కోట్ ఆఫ్ ఆర్మ్స్
अंगरखा,కోట్ ఆఫ్ ఆర్మ్స్
मेलचा कोट,కోట్ ఆఫ్ మెయిల్
पलटण,కోహోర్ట్
कॉमिटिया,కమిటియా
Comitia Centuriata,కమిటియా సెంచురియాటా
Comitia Curiata,కమిటియా క్యూరియాటా
कमिटीया ट्रिबुटा,కమిటియా ట్రిబ్యూటా
स्मारक कमान,స్మారక వంపు
स्मारक नाणे,స్మారక నాణెం
स्मारक शिक्का,స్మారక ముద్ర
सामान्य फील्ड,సాధారణ క్షేత్రం
Communard,కమ్యూనార్డ్
कॉन्कॉर्डॅट,కాంకోర్డాట్
कॉन्कॉर्डॅट,కాంకోర్డాట్
कॉन्डोटिएरे,కండోటియర్
पुष्टीकरण कार्टारम,నిర్ధారణ కార్టరమ్
संघर्ष,సంఘర్షణ
मंडळी,సభ
जिंकणारे राज्य,రాష్ట్రాన్ని జయించడం
जिंकणारा,విజేత
जिंकणारा,విజేత
कॉन्सिलियम,కన్సిలియం
कंसिस्टरी,క్రమబద్ధమైన
षडयंत्र,కుట్ర
षडयंत्र,కుట్ర
वाणिज्य दूतावास,కాన్సులేట్
सल्लामसलत पुस्तक,సలహా పుస్తకం
खंडीय प्रणाली,ఖండాంతర వ్యవస్థ
अधिवेशन संसद,కన్వెన్షన్ పార్లమెంట్
कॉपरहेड्स (=पीस डेमोक्रॅट्स),కాపర్ హెడ్స్ (=శాంతి ప్రజాస్వామ్యవాదులు)
कॉपीहोल्ड,కాపీహోల్డ్
कोर्डनिंग,కార్డనింగ్
कोरोना,కరోనా
राज्याभिषेक,పట్టాభిషేకం
राज्याभिषेक दगड,పట్టాభిషేక రాయి
कॉर्पस,కార్పస్
Corsair,కోర్సెయిర్
Corsair,కోర్సెయిర్
कॉर्सेट (=कॉर्सलेट),కార్సెట్ (=కోర్సెలెట్)
कोर्टेस,కోర్టెస్
कोटर (=कोटीर),కోటార్ (=కోటియర్)
कोटर (= cottier),కోటార్ (=కోటియర్)
काउंट पॅलेटिनेट,కౌంట్ పాలటినేట్
देशाचे घर,పూరిల్లు
परगणा,కౌంటీ
काउंटी बरो,కౌంటీ బరో
काउंटी न्यायालये,కౌంటీ కోర్టులు
काउंटी पॅलाटिन,కౌంటీ పాలటైన్
कोर्ट,కోర్టు
कोर्ट,కోర్టు
न्यायालयाचे परिपत्रक,కోర్టు సర్క్యులర్
न्यायालयीन शिष्टाचार,కోర్టు మర్యాదలు
दरबारी,సభికుడు
कोर्ट ऑफ कॅसेशन,కోర్ట్ ఆఫ్ కాసేషన్
कोर्ट ऑफ डायरेक्टर्स (EIC),కోర్ట్ ఆఫ్ డైరెక్టర్స్ (EIC)
मालकांचे न्यायालय,యాజమాన్యాల న్యాయస్థానం
दरबारी कवी,ఆస్థాన కవి
करार केला कॅमेरोनियन,ఒప్పందం చేసుకున్న కామెరోనియన్లు
मुकुट,కిరీటం
मुकुट,కిరీటం
मुकुट,కిరీటం
मुकुट जमीन,కిరీటం భూమి
मुकुट जमीन,కిరీటం భూమి
राजकुमार,క్రౌన్ ప్రిన్స్
धर्मयुद्ध,క్రూసేడ్
धर्मयुद्ध,క్రూసేడర్
क्रिप्टोग्राम,క్రిప్టోగ్రామ్
कुइरास,క్యూరాస్
क्युरासियर,క్యూరాసియర్
पंथ देवता,కల్ట్ దేవత
कुरिया,క్యూరియా
कुरिया,క్యూరియా
झारवाद,జారిజం
गडद खंड,చీకటి ఖండం
न्यायाचा दिवस,తీర్పు రోజు
न्यायाचा दिवस,తీర్పు రోజు
डीन,డీన్
दशक,దశాబ్దం
दिनारियस,డెనారియస్
पदच्युत सम्राट,పదవీచ్యుతుడైన చక్రవర్తి
उध्वस्त करा,పాడుచేయు
उध्वस्त,చెడిపోవడం
डिथ्रोन,సింహాసనాన్ని తొలగించు
डायडेम,డయాడెమ్
डायडेम,డయాడెమ్
डायडेम,డయాడెమ్
डायशिया,డయాసియా
डिकॅस्टेरियम,డికాస్టీరియం
डिलुवालिस्ट,డైలువియలిస్ట్
बिशपच्या अधिकारातील प्रदेश,డియోసెస్
बिशपच्या अधिकारातील प्रदेश,డియోసెస్
डायरेक्टरी (=निर्देशिका),డైరెక్టరీ (=డైరెక్టరీ)
डायरेक्टरी (=निर्देशिका),డైరెక్టరీ (=డైరెక్టరీ)
दिरहाम,దిర్హమ్
अविश्वासू,నమ్మకద్రోహం
अविश्वासू,నమ్మకద్రోహం
चूकीचा सिद्धांत,లోపము యొక్క సిద్ధాంతము
दस्तऐवज,పత్రం
कागदोपत्री पुरावा,డాక్యుమెంటరీ సాక్ష్యం
डोम्सडे बुक,డోమ్స్‌డే బుక్
कॉन्स्टंटाईनचे दान,కాన్స్టాంటైన్ విరాళం
नशिबात,డూమ్
डोगर राणी,వరవరపు రాణి
ड्रॅगन,డ్రాగన్
ड्रोमेडरियन,డ్రోమెడిరియన్
ड्रोमेडरी,డ్రోమెడరీ
ड्रोमंड,డ్రోమండ్
दुहेरी,ద్వంద్వ
दुहेरी युती,ద్వంద్వ కూటమి
दुहेरी entente,ద్వంద్వ ఉద్దేశం
दुहेरी प्रणाली (= दुहेरी सरकार),ద్వంద్వ వ్యవస్థ (=ద్వంద్వ ప్రభుత్వం)
सरदार,డ్యూక్
ड्यूमा,డూమా
बटू अवतार,వామన అవతారం
राजवंश,రాజవంశం
राजवंश,రాజవంశం
गरुड,డేగ
मोठा माणूस,పెద్ద మనిషి
अर्ल,ఎర్ల్
अर्लडम,ఎర్ల్డమ్
लवकर गुप्त,తొలి గుప్తులు
प्रारंभिक (ऐतिहासिक) साइट,ప్రారంభ (చారిత్రక) సైట్లు
प्रारंभिक वैदिक काळ,ప్రారంభ వేద కాలం
उपदेशक,ఎక్లేసియా
पुनर्स्थापना आदेश,పునరుద్ధరణ శాసనం
आठ पट मार्ग,ఎనిమిది రెట్లు మార్గం
वडीलधारे,పెద్దలు
ज्येष्ठ राजकारणी (= genro),పెద్ద రాజనీతిజ్ఞుడు (=జెన్రో)
हत्तीचा गोडा,ఏనుగు మేడ
अकरा वर्षांचा जुलूम,పదకొండు సంవత్సరాల నిరంకుశత్వం
एलिसी (=एलिसी),ఎలిసే (=ఎలీసీ)
बंदिस्त चळवळ,ఎన్‌క్లోజర్ ఉద్యమం
एनसायकिकल,ఎన్సైక్లికల్
विश्वकोशवादी चळवळ,ఎన్సైక్లోపెడిస్ట్ ఉద్యమం
एंटेंट,ఎంటెంటే
एंटेंट कॉर्डियल,ఎంటెంటే కార్డియాల్
सिंहासन,సింహాసనం
दलाल,పరివారం
एफोद,ఎఫోడ్
एफोर,ఎఫోర్
महाकाव्य युग,పురాణ యుగం
महाकाव्य नायक,పురాణ వీరుడు
एपिग्राफ,ఎపిగ్రాఫ్
एपिस्कोपसी,ఎపిస్కోపసీ
एपिस्कोपेट,ఎపిస్కోపేట్
भाग,ఎపిసోడ్
युग,యుగం
युग निर्माण करणारी घटना,యుగాన్ని సృష్టించే సంఘటన
युग निर्माण करणारा माणूस,యుగపురుషుడు
उपनाम,పేరుపేరు
इक्वरी,ఎక్వెరీ
इक्वरी,ఎక్వెరీ
अश्वारूढ पुतळा,గుర్రపుస్వారీ విగ్రహం
युग,యుగం
एर्गस्टुलम,ఎర్గస్టులం
युकेरिस्ट,యూకారిస్ట్
इव्हेंजेलिकलिझम,సువార్తవాదం
इव्हँजेलिकल चळवळ,సువార్త ఉద్యమం
प्रचारक,మత ప్రచారకుడు
Exarch,Exarch
Exilarch,Exilarch
फालंगिस्ट,ఫలాంగిస్ట్
वडिलांची जमीन,తండ్రి భూమి
वडिलांची जमीन,తండ్రి భూమి
फेरी,ఫెరియాయే
फेटिश,ఫెటిష్
जहागीरदार धारण,ఫ్యూడల్ హోల్డింగ్స్
सरंजामशाही (=सामंत व्यवस्था),ఫ్యూడలిజం (=ఫ్యూడల్ వ్యవస్థ)
सरंजामशाही व्यवस्था,భూస్వామ్య వ్యవస్థ
सामंत,భూస్వామ్య
फिदेई बचावकर्ता (=विश्वासाचा रक्षक),ఫిడే డిఫెన్సర్ (=డిఫెండర్ ఆఫ్ ది ఫెయిత్)
फिफ,ఫైఫ్
फील्ड सिस्टम,ఫీల్డ్ సిస్టమ్
पंधरावा कर,పదిహేనవ పన్ను
आकृती डोके,ఫిగర్ హెడ్
फिन डी siecle,ఫిన్ డి సైకిల్
आग भक्षक,అగ్ని తినేవాడు
पाच मैल कायदा,ఫైవ్ మైల్ చట్టం
झेंडा,జెండా
फ्लेमेन डायलिस,ఫ్లేమెన్ డయాలిస్
फ्लेमेन मार्शियलिस,ఫ్లేమెన్ మార్టియాలిస్
ज्वलंत मशाल,జ్వలించే జ్యోతి
पार्श्वभाग,పార్శ్వము
flanking चळवळ,పార్శ్వ కదలిక
भरभराट होत असलेली सभ्यता,వర్ధిల్లుతున్న నాగరికత
प्रवाही विश्वास,ఫ్లూవియలిస్టిక్ నమ్మకం
लोकदेवता,జానపద దేవుడు
लोकदेवता,జానపద దేవత
लोक स्मृती,జానపద జ్ఞాపకం
लोककथा (=लोककथा),జానపద పురాణం (=జానపదం)
चारा,మేత వెదకడం
धाड,ఫోరే
पूर्वापार,ముందరివాడు
पूर्वज,పూర్వీకుడు
अग्रदूत,ముందున్నవాడు
उदासीन आशा,చితికిపోయిన ఆశ
निर्मितीचा टप्पा,నిర్మాణ దశ
किल्ला,కోట
तटबंदी,కోట
तटबंदी असलेले शहर,పటిష్టమైన పట్టణం
किल्ला,కోట
फॉर्च्युना,ఫార్చ్యూనా
फोरम रोमनम,ఫోరమ్ రోమనుమ్
फ्रान्सिस्कन,ఫ్రాన్సిస్కాన్
फ्रँकलिन,ఫ్రాంక్లిన్
भ्रातृसंहारक युद्ध,భ్రాతృహత్య యుద్ధం
मोफत चर्च,ఉచిత చర్చి
फ्रीहोल्डर,ఫ్రీహోల్డర్
फ्रीलान्स सैनिक,స్వతంత్ర సైనికుడు
फ्रीलान्स सैनिक,స్వతంత్ర సైనికుడు
फ्रीमॅन,ఫ్రీమాన్
फ्रीमॅन,ఫ్రీమాన్
मोफत पास,ఫ్రీపాస్
फ्रेंच क्रांती,ఫ్రెంచ్ విప్లవం
तपस्वी,సన్యాసి
फ्रियाशियन भाडोत्री,ఫ్రైసియన్ కిరాయి సైనికులు
सीमावर्ती माणूस,సరిహద్దు మనిషి
गॅलिओन,గాలియన్
