Malayalam,Assamese
ആൽഡസ് പേജ് മേക്ക്,aldus পৃষ্ঠা-নিৰ্মাণ
മുന്നറിയിപ്പ് ബോക്സ്,সতৰ্কবাণী বাকচ
അൽഗോൾ (കമ്പ്യൂട്ടർ ഭാഷ),algol (কম্পিউটাৰ ভাষা)
"1. അൽഗോരിതം , 2. അൽഗോരിതം","1. এলগৰিদম, 2. এলগৰিদম"
"1. അൽഗോരിതം വിശകലനം, 2. അൽഗോരിതം വിശകലനം","১.এলগৰিদম বিশ্লেষণ, ২. এলগৰিদম বিশ্লেষণ"
അൽഗോരിതം കാര്യക്ഷമത,এলগৰিদম দক্ষতা
"1. ഏലിയാസ്, 2. വിളിപ്പേര്, 3. അല്ലെങ്കിൽ","১.ইলিয়াছ, ২. ডাকনাম, ৩. aka"
വിന്യാസം,প্ৰান্তিককৰণ
"1. വിഹിതം, 2. വിഹിതം","১.আবণ্টন, ২. আবণ্টন"
"1. അക്ഷരമാല, 2. അക്ഷരമാല ക്രമത്തിൽ","১.বৰ্ণানুক্ৰমিক, ২. বৰ্ণানুক্ৰমিক ক্ৰম"
ആൽഫാന്യൂമെറിക്,আলফানিউমেৰিক
"1. ആൽഫാന്യൂമെറിക് കീബോർഡ് ,2. ആൽഫാന്യൂമെറിക് കീബോർഡ്","1. আলফানিউমেৰিক কিবৰ্ড, 2. আলফানিউমেৰিক কিবৰ্ড"
ആൽഫ-ടെസ്റ്റിംഗ് (ഒന്നാം ലെവൽ ടെസ്റ്റ്),আলফা-পৰীক্ষণ (১ম স্তৰৰ পৰীক্ষা)
"1. ആൽഫ പതിപ്പ്, 2. ആൽഫ രൂപം","1. আলফা সংস্কৰণ, 2. আলফা ৰূপ"
alt കീ,alt কি&#39;
ആൾട്ടാവിസ്റ്റ,আলতাভিস্তা
ബഹുസ്വരത,বহুগুণতা
അവ്യക്തമായ വ്യാകരണം,অস্পষ্ট ব্যাকৰণ
അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡീസ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI),আমেৰিকান নেচনেল ষ্টেণ্ডিজ ইনষ্টিটিউট (ANSI)
അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കട്ട് (ascii),আমেৰিকান ষ্টেণ্ডাৰ্ড কাট (ascii)
"1. സാദൃശ്യം, 2. അനലോഗ്","1. অনুৰূপ, ২. এনালগ"
"1. അനലോഗ് കമ്പ്യൂട്ടർ, 2. അനലോഗ് കമ്പ്യൂട്ടർ","১.এনালগ কম্পিউটাৰ, ২.এনালগ কম্পিউটাৰ"
"1. അനലോഗ് ഉപകരണം, 2. അനലോഗ് ഉപകരണം","1. এনালগ ডিভাইচ, 2. এনালগ ডিভাইচ"
"1. അനലോഗ് മോഡം, 2. അനലോഗ് മോഡം","1. এনালগ মডেম, 2. এনালগ মডেম"
അനലോഗ് ടു ഡിജിറ്റൽ കൺവെർട്ടർ,এনালগ টু ডিজিটেল কনভাৰ্টাৰ
അവസാനം (ഡിജിറ്റൽ/പ്ലെയിൻ ലോജിക് &#39;ഉം&#39; ഉപയോഗിച്ചു),শেষ (ডিজিটেল/প্লেন লজিক &#39;আৰু&#39; ব্যৱহৃত)
അവസാന സർക്യൂട്ട്,শেষ বৰ্তনী
അവസാന ഗേറ്റും ഗേറ്റും,শেষৰ গেট আৰু গেট
എൻഡ് അല്ല ഓപ്പറേഷൻ (ഒഴിവാക്കൽ),অপাৰেচন শেষ নহয় (বৰ্জন)
"1. ആനിമേഷൻ, 2. വൈബ്രേഷൻ","১.এনিমেচন, ২.কম্পন"
കുറിപ്പ്,দ্ৰষ্টব্য
പൊരുത്തക്കേട്,অসামঞ্জস্যতা
മുമ്പത്തെ,পূৰ্ৱবৰ্তী
മുൻകൂർ പേജിംഗ്,প্ৰত্যাশিত পেজিং
എതിർ-സമമിതി,প্ৰতি-সমমিতিক
ആൻറിവൈറൽ പ്രോഗ്രാം,এন্টিভাইৰেল প্ৰগ্ৰেম
"1. ആപ്ലെറ്റ്, 2. അപേക്ഷ","১.এপলেট, ২. দৰ্খাস্ত"
ആപ്ലിക്കേഷൻ ഡെവലപ്പർ,এপ্লিকেচন ডেভেলপাৰ
ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്,এপ্লিকেচন প্ৰগ্ৰেমিং
"1. ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ്, 2. ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ് (API)","1. এপ্লিকেচন প্ৰগ্ৰামিং আন্তঃপৃষ্ঠ, 2. এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)"
ആപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ,এপ্লিকেচন চফ্টৱেৰ
ആപ്ലിക്കേഷൻ ഭാഷ,আবেদন ভাষা
ഏകദേശ തത്വം,আনুমানিক নীতি
ഘടന,গাঁঠনি
ഫീൽഡ് കൈമാറ്റം,ক্ষেত্ৰ স্থানান্তৰ
"1. പരാമീറ്റർ, സ്വതന്ത്ര വേരിയബിൾ, 2. ആംഗിൾ","1. প্ৰাচল, স্বাধীন চলক, 2. কোণ"
"1. അരിത്മെറ്റിക് ആൻഡ് ലോജിക് യൂണിറ്റ്, 2. അരിത്മെറ്റിക് ആൻഡ് ലോജിക് യൂണിറ്റ്","1. গাণিতিক আৰু যুক্তি একক, 2. গাণিতিক আৰু যুক্তি একক"
ഗണിത പരിശോധന,গাণিতিক পৰীক্ষা
ഗണിത സ്ഥിരാങ്കം,গাণিতিক ধ্ৰুৱক
ഗണിത ഡാറ്റ,গাণিতিক তথ্য
ഗണിത നിർദ്ദേശം,গাণিতিক নিৰ্দেশনা
മാത്തമാറ്റിക്കൽ ആൻഡ് ലോജിക്കൽ യൂണിറ്റ് (ALU),গাণিতিক আৰু যুক্তিসংগত একক (ALU)
ARPA നെറ്റ് (RPNet),ARPA নেট (RPNet)
അറേ,এৰে
"1. അറേ കാഷെ, 2. അറേ വേഗത, 3. അറേ മെമ്മറി","1. এৰে কেচ, 2. এৰেৰ গতি, ৩. এৰে মেমৰি"
അറേ കമ്പ്യൂട്ടർ,এৰে কম্পিউটাৰ
അറേ ഘടകം,এৰে উপাদান
അറേ പേര്,এৰেৰ নাম
അറേ പ്രോസസർ,এৰে প্ৰচেছৰ
അമ്പടയാള കീ,কাঁড় চিহ্ন
ഉടമ്പടി,সন্ধি
ജംഗ്ഷൻ പോയിന്റ്,জংচন পইণ্ট
കൃത്രിമ കോംപാക്ഷൻ,কৃত্ৰিম সংকোচন
കൃത്രിമ നിയന്ത്രണം,কৃত্ৰিম নিয়ন্ত্ৰণ
കൃത്രിമബോധം,কৃত্ৰিম ইন্দ্ৰিয়
മൗണ്ട്,মাউন্ট
ആരോഹണ തരം,আৰোহী সজাই পৰাই তোলা
ascii അക്ഷരമാല,ascii বৰ্ণমালা
ascii നിയന്ത്രണ ചിഹ്നം,ascii নিয়ন্ত্ৰণ চিহ্ন
ascii ഫയൽ,ascii ফাইল
ascii ഫോണ്ട്,ascii ফন্ট
ASCII കൈമാറ്റം,ASCII স্থানান্তৰ
വീക്ഷണാനുപാതം,এস্পেক্ট ৰেচিঅ&#39;
"1. ആസ്പി, 2. എ.എസ്.പി.ഐ","১.এছপি, ২. এ এছ পি আই"
എ എസ് ആർ കാലാട്,এ এছ আৰ কালাদ
"1. ഓർമ്മപ്പെടുത്തൽ, 2. കൂട്ടിച്ചേർക്കൽ, 3. കൂട്ടിച്ചേർക്കാൻ","১/ স্মৰণ, ২। একত্ৰিত কৰা, ৩. একত্ৰিত কৰা"
"1. അസംബ്ലർ, 2. ഓർമ്മപ്പെടുത്തൽ","১.সমাবেশকাৰী, ২. স্মাৰক"
"1. അസംബ്ലിംഗ് , 2. അനുസ്മരണം","1. একত্ৰিত কৰা, ২. স্মৃতি"
"1. ഓർമ്മപ്പെടുത്തൽ ഭാഷ, 2. അസംബ്ലിംഗ് ഭാഷ","১/ মুখস্থ কৰা ভাষা, ২. ভাষা একত্ৰিত কৰা"
ദൃഢനിശ്ചയം,সংকল্প
"1. നിർദ്ദിഷ്ട ജോലി, 2. വിഹിതം","1. নিৰ্দিষ্ট কাম, 2. আবণ্টন"
കൂട്ടുകെട്ട്,সংগীত্ব
അനുബന്ധ വിലാസം,সহযোগী ঠিকনা
"1. അനുബന്ധ മെമ്മറി, 2. അനുബന്ധ മെമ്മറി","১.সংগত স্মৃতি, ২. সহযোগী স্মৃতিশক্তি"
നക്ഷത്രചിഹ്നം (* ചിഹ്നം),তাৰকা চিহ্ন (* চিহ্ন)
അസമമായ,অসমতাপূৰ্ণ
"1. അസമന്വിത , 2. അസമന്വിത","1. এচিনক্ৰ&#39;নাছ, 2. এচিনক্ৰ&#39;নাছ"
അസിൻക്രണസ് ഡിജിറ്റൽ സബ്സ്ക്രൈബർ ലൈൻ (ADSL),এচিনক্ৰ&#39;নাছ ডিজিটেল গ্ৰাহক লাইন (ADSL)
അസിൻക്രണസ് ടൈം ഡിവിഷൻ മൾട്ടിപ്ലെക്സിംഗ് (ATDM),এচিংক্ৰ&#39;নাছ সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM)
അസമന്വിത കൈമാറ്റം,এচিনক্ৰ&#39;নাছ স্থানান্তৰ
അസിൻക്രണസ് ട്രാൻസ്ഫർ മോഡ് (എടിഎം),এচিংক্ৰ&#39;নাছ ট্ৰেন্সফাৰ মোড (ATM)
"1. ആറ്റം, 2. പരമൻ","১.পৰমাণু, ২. পৰমণ"
അറ്റാച്ചുചെയ്ത പ്രമാണം,সংলগ্ন নথিপত্ৰ
"1. അറ്റാച്ചുചെയ്ത ഫയൽ/മിസിൽ, 2. അറ്റാച്ചുചെയ്ത ഫയൽ","1. সংলগ্ন ফাইল/মিছিল, 2. সংলগ্ন ফাইল"
"1. എൻക്ലോഷർ, 2. അഫിലിയേറ്റഡ്","১.আৱৰণ, ২. সংযুক্ত"
"1. പ്രോപ്പർട്ടികൾ, 2. സ്പെഷ്യാലിറ്റി","১.গুণ, ২. বৈশিষ্ট্য"
കേൾക്കാവുന്ന,শ্ৰৱণযোগ্য
"1. ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്, 2. ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്","1. অডিট প্ৰগ্ৰেমিং, 2. অডিট প্ৰগ্ৰেমিং"
അക്കൗണ്ട് സ്ഥിരീകരണം,একাউণ্ট পৰীক্ষণ
പ്രമോഷൻ,প্ৰচাৰ
സർട്ടിഫിക്കേഷൻ പ്രോട്ടോക്കോൾ,প্ৰমাণীকৰণ প্ৰট&#39;কল
എഴുത്ത് രീതി,লেখক পদ্ধতি
"1. അധികാരം, 2. അധികാരം, 3. ട്രിബ്യൂണൽ","১.কৰ্তৃত্ব, ২. কৰ্তৃত্ব, ৩. ন্যায়াধিকৰণ"
യാന്ത്രിക സംഗ്രഹം,অটো বিমূৰ্ত
"1. ഓട്ടോ ബൂട്ടിംഗ്, 2. സ്വയം ബൂട്ട്","1. স্বয়ংক্ৰিয় বুটিং, 2. self বুট"
ഓട്ടോകാഡ് (ഒരു കമ്പ്യൂട്ടർ ഭാഷ),AutoCAD (এটা কম্পিউটাৰ ভাষা)
യാന്ത്രിക ലോഗ്-ഓൺ,স্বয়ংক্ৰিয় লগ-অন
ഓട്ടോമാറ്റ,automata
ഓട്ടോമാറ്റ സിദ്ധാന്തം,automata তত্ত্ব
ഓട്ടോമാറ്റിക് കണക്കുകൂട്ടൽ,স্বয়ংক্ৰিয় গণনা
ഓട്ടോമാറ്റിക് ഡാറ്റ പ്രോസസ്സിംഗ്,স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ
യാന്ത്രിക പിശക് തിരുത്തൽ,স্বয়ংক্ৰিয় ভুল সংশোধন
യാന്ത്രിക പ്രവർത്തനം,অটো ফাংচন
"1. ഓട്ടോമാറ്റിക് ഇൻഡക്‌സിംഗ്, 2. യാന്ത്രിക ലിസ്റ്റിംഗ്","1. স্বয়ংক্ৰিয় সূচীভুক্তকৰণ, 2. স্বয়ংক্ৰিয় তালিকাভুক্তকৰণ"
യാന്ത്രിക ശേഖരണ കോൾ,অটো-সংগ্ৰহ কল
"1. ഓട്ടോമാറ്റിക് പ്രോഗ്രാമിംഗ്, 2. ഓട്ടോമാറ്റിക് പ്രോഗ്രാമിംഗ്","1. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং, 2. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং"
"1. ഓട്ടോമാറ്റിക് റിക്കവറി പ്രോഗ്രാം, 2. ഓട്ടോമാറ്റിക് റിക്കവറി പ്രോഗ്രാം","1. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম, 2. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম"
യാന്ത്രിക ദിനചര്യ,অটো ৰুটিন
ഓട്ടോമാറ്റിക് സിസ്റ്റം വീണ്ടെടുക്കൽ,স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ
"1. ഓട്ടോമാറ്റിക് ടെല്ലർ മെഷീനുകൾ (എടിഎം), 2. സ്വയം പിൻവലിക്കാൻ ബാങ്ക് എ.ടി.എം","১/ স্বয়ংক্ৰিয় টেলাৰ মেচিন (এটিএম), ২. স্বয়ং উলিওৱাৰ বাবে বেংকৰ ATM"
ഓട്ടോമേഷൻ,অটোমেচন
"1. ഓട്ടോപ്ലേ , 2. ഓട്ടോ നടത്തം","1. অটোপ্লে, 2. অটো ৱাক"
വോക്കലൈസേഷൻ,কণ্ঠদান
അസിസ്റ്റന്റ്,সহায়ক
സഹായ മെമ്മറി,সহায়ক স্মৃতিশক্তি
സഹായ സംഭരണം,সহায়ক সংৰক্ষণ
ലഭ്യമായ പട്ടിക,উপলব্ধ তালিকা
ലഭ്യമായ സമയം,উপলব্ধ সময়
ശരാശരി,গড়
AWK (ഒരു കമ്പ്യൂട്ടർ കമാൻഡ്),AWK (এটা কম্পিউটাৰ কমাণ্ড)
ശേഷം,পাছত
പോസ്റ്റ് പ്രോസസർ,পোষ্ট প্ৰচেছৰ
പിൻഭാഗത്തെ പ്രവർത്തനം ഇല്ലാതാക്കൽ,পশ্চাৎ কাৰ্য্য বিলোপন
പശ്ചാത്തല പ്രോസസ്സിംഗ്,পটভূমি প্ৰক্ৰিয়াকৰণ
അനുബന്ധ സ്റ്റോറുകൾ,আনুষংগিক দোকানসমূহ
ബാക്ക് പാച്ചിംഗ്,বেক পেচিং
"1. പടിഞ്ഞാറ്, 2. ബാക്ക്സ്പേസ്","১.পশ্চিম, ২. বেকস্পেচ"
ബാക്ക്ട്രാക്കിംഗ്,পিছুৱাই যোৱা
"1. ബാക്കപ്പ് , 2. തിരിച്ചടവ്","1. বেক-আপ, 2. ৰিইম্বৰ্চেমেণ্ট"
"1. കോംപ്ലിമെന്ററി മെമ്മറി, 2. ബാക്കപ്പ് മെമ്മറി","১/ পৰিপূৰক স্মৃতিশক্তি, ২. বেক-আপ মেমৰি"
പിന്നിലെ പിശക് തിരുത്തൽ,পিছলৈ ভুল সংশোধন
(വരുമാനം-ചെലവ്) ബാലൻസ് ഷീറ്റ്,(আয়-ব্যয়) বেলেন্স শ্বীট
ബാൻഡേജ്,পট্টি
"1. ബാൻഡ് വീതി, 2. ബാൻഡ്‌വിഡ്ത്ത്/കപ്പാസിറ്റി","১.বেণ্ড প্ৰস্থ, ২. বেণ্ডউইডথ/ক্ষমতা"
ബാങ്കറുടെ അൽഗോരിതം,বেংকাৰৰ এলগৰিদম
"1. ബാർ കോഡ്, 2. ബാർ കോഡ്","1. বাৰ ক&#39;ড, 2. বাৰ ক&#39;ড"
ബാർകോഡ് സ്കാനർ,বাৰক&#39;ড স্ক্যানাৰ
ബാർ ഗ്രാഫ്,বাৰ গ্ৰাফ
അടിസ്ഥാന വിലാസം,ভিত্তি ঠিকনা
അടിസ്ഥാന ബാൻഡ്,বেচ বেণ্ড
ആധാർ നമ്പർ,আধাৰ নম্বৰ
അടിസ്ഥാന പട്ടിക,ভিত্তি টেবুল
അടിസ്ഥാന (ഒരു കമ്പ്യൂട്ടർ ഭാഷ),মূল (এটা কম্পিউটাৰ ভাষা)
"1. അടിസ്ഥാന നിയന്ത്രണം , 2. അടിസ്ഥാന നിയന്ത്രണം","1. মূল নিয়ন্ত্ৰণ, 2. ভিত্তি নিয়ন্ত্ৰণ"
"1. യഥാർത്ഥ നിക്ഷേപം, 2. അടിസ്ഥാന നിക്ഷേപം","১/ মূল বিনিয়োগ, ২. ভিত্তি বিনিয়োগ"
അടിസ്ഥാന നിർദ്ദേശം,মূল নিৰ্দেশনা
അടിസ്ഥാന പ്രശ്നം,ভিত্তি বিষয়
അടിസ്ഥാന ഘട്ടം,মূল পৰ্যায়
"1. ബാച്ച്, 2. ഗ്രൂപ്പ്, 3. ദുരന്തം","১.বেচ, ২. গোট, ৩. বিপৰ্যয়"
"1. ബാച്ച് ഫയൽ, 2. ബാച്ച് ഫയൽ","1. বেচ ফাইল, 2. বেচ ফাইল"
ബാച്ച് നില,বেচৰ অৱস্থা
"1. ബാച്ച് പ്രോസസ്സിംഗ്, 2. ഗ്രൂപ്പ് പ്രോസസ്സിംഗ്","১.বেচ প্ৰচেছিং, ২. গ্ৰুপ প্ৰচেছিং"
"1. ബാച്ച് സിസ്റ്റം, 2. കവണ സംവിധാനം","1. বেচ ব্যৱস্থা, 2. কেটাপল্ট ব্যৱস্থা"
ബൗഡ്,baud
ബാഡ് നിരക്ക്,বড হাৰ
ബീം ബീം,ৰশ্মি ৰশ্মি
"1. മാർഗ്ഗനിർദ്ദേശങ്ങൾ , 2. ബാച്ച് മാർക്ക്","1. নিৰ্দেশনা, 2. বেচ মাৰ্ক"
ദ്വിദിശ ആശയവിനിമയം,দ্বিমুখী যোগাযোগ
നേരിട്ടുള്ള ലിങ്ക്,প্ৰত্যক্ষ সংযোগ
ബൈനറി കോഡ്,বাইনাৰী ক&#39;ড
ബൈനറി അക്കങ്ങൾ,বাইনাৰী অংক
ബൈനറി ഇൻവെസ്റ്റ്‌മെന്റ് ഔട്ട്‌പുട്ട് സിസ്റ്റം (BIOS),বাইনাৰী বিনিয়োগ আউটপুট ব্যৱস্থা (BIOS)
ബൈനറി നമ്പർ,বাইনাৰী সংখ্যা
ബൈനറി ഓപ്പറേറ്റർ,বাইনাৰী অপাৰেটৰ
ബൈനറി ബന്ധം,বাইনাৰী সম্পৰ্ক
ബൈനറി തിരയൽ,বাইনাৰী সন্ধান
ബൈനറി എക്സ്പ്ലോറേഷൻ ട്രീ (BST),বাইনাৰী অন্বেষণ বৃক্ষ (BST)
"1. ബൈനറി ട്രാൻസ്ഫർ ട്രീ, 2. ബൈനറി കൈമാറ്റം","1. বাইনাৰী স্থানান্তৰ গছ, 2. বাইনাৰী স্থানান্তৰ"
ബൈനറി മരം,বাইনাৰী গছ
"1. ബൈപോളാർ മെമ്മറി, 2. ബൈപോളാർ മെമ്മറി","১.দ্বিমেৰু স্মৃতিশক্তি, ২. বাইপোলাৰ মেম’ৰী"
"1. ജനന-മരണ മാതൃക, 2. ജനന മരണ മാതൃക","১/ জন্ম আৰু মৃত্যুৰ আৰ্হি, ২. জন্ম মৃত্যুৰ আৰ্হি"
ജനന മരണ പ്രക്രിയ,জন্ম মৃত্যু প্ৰক্ৰিয়া
"1. ഡ്യൂക്ക്, 2. ബിറ്റ്","১.ডুয়েক, ২. বিট"
ചെറിയ തെറ്റ്,বিট দোষ
ബിറ്റ് മാപ്പ്,বিট মেপ
"1. ബിറ്റ്, 2. ഭൂപടം, 3. പിക്സൽ (BMP)","1. বিট, 2. মানচিত্ৰ, ৩. পিক্সেল (BMP)"
"1. ബിറ്റ് മാട്രിക്സ്, 2. ബിറ്റ് ടേബിൾ","1. বিট মেট্ৰিক্স, 2. বিট টেবুল"
ബിറ്റ് പാറ്റേൺ,বিট পেটাৰ্ণ
ബിറ്റ് സ്ഥാനം,বিটৰ অৱস্থান
"1. ബിറ്റ് റേറ്റ്, 2. ബിറ്റ് നിരക്ക്","1. বিট হাৰ, 2. বিট হাৰ"
