Odiya,Assamese
1. କୃଷି ଶ୍ରମ 2. କୃଷି ଶ୍ରମ |,১/ কৃষি শ্ৰম ২) কৃষি শ্ৰম
କୃଷି ମାର୍କେଟିଂ |,কৃষি বিপণন
କୃଷି ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |,কৃষি প্ৰযুক্তি
1. କୃଷି 2. ଚାଷ 3. କୃଷି ବିଜ୍ଞାନ |,1. কৃষি 2. কৃষি 3. কৃষি বিজ্ঞান
କୃଷି ଜଙ୍ଗଲ,কৃষি বনজ
କୃଷି ଜ odi ବ ବିବିଧତା |,কৃষি জৈৱ বৈচিত্ৰ্য
କୃଷି ଜ organic ବିକ ତ୍ରୁଟି |,কৃষি জৈৱিক দোষ
କୃଷି ଜୀବ ବିଜ୍ଞାନ |,কৃষি জীৱবিজ্ঞান
କୃଷି-ଜଳବାୟୁ ବିବିଧତା |,কৃষি-জলবায়ু বৈচিত্ৰ্য
agroclimatic ଜୋନ୍ ସୃଷ୍ଟି |,কৃষি জলবায়ু মণ্ডল সৃষ্টি
କୃଷି ଜଙ୍ଗଲ,কৃষি বনানীকৰণ
କୃଷି,কৃষি বিজ্ঞান
ଆଗ୍ରୋନୋମିକ୍,কৃষিভিত্তিক
କୃଷି ପାଳକ,কৃষি পশুপালন
ଫସଲ ପ୍ରକ୍ରିୟାକରଣ |,শস্য প্ৰক্ৰিয়াকৰণ
ଘାସ ବିଜ୍ଞାନ |,ঘাঁহ বিজ্ঞান
ଫସଲ ପ୍ରକାର |,শস্যৰ প্ৰকাৰ
ଏପିଫାଇଟ୍ |,এপিফাইট
aikiochi ମାଟି |,আইকিওচি মাটি
ରଙ୍ଗ ଅନ୍ଧତା |,ৰঙৰ অন্ধতা
ଆଲଫିସୋଲ୍ |,আলফিছল
ଶାଗ,শেলাই
ଆଲଗା ରୋଗ,শেলাইৰ ৰোগ
କ୍ଷାର ଜଳ |,ক্ষাৰকীয় পানী
କ୍ଷାର,ক্ষাৰকীয়
ବିକଳ୍ପ,বিকল্প
ଆଲେଲୋ କେମେଷ୍ଟ୍ରି |,allelo ৰসায়ন বিজ্ঞান
ଆଲେଲେ,এলিল
ଆଲେଲୋପାଥି,এলেল&#39;পেথী
ଭେଟି ଫସଲ |,ভেঠী শস্য
ସମାପ୍ତି,consummation
ଫର୍ଟିଲାଇଜେସନ୍,নিষেচন কৰা
1. ଆପେକ୍ଷିକତା 2. ଆଲୋମେଟ୍ରି |,১.আপেক্ষিকতা ২.এলোমেট্ৰি
ମଲ୍ଟିପ୍ଲୋଡି,multiploidy
1. ପାରାଜାଇଗୋସିଟି |,১/ পেৰাজাইগোচিটি
1. ବ Year କଳ୍ପିକ ବର୍ଷ କାର୍ଯ୍ୟ 2. ବିକଳ୍ପ କାର୍ଯ୍ୟ |,1. বিকল্প বছৰৰ ফলন 2. বিকল্প ফলন
ବିକଳ୍ପ ଜମି ବ୍ୟବହାର |,বিকল্প ভূমি ব্যৱহাৰ
ପରିବେଶ,পৰিৱেশ
ସଂସ୍କାରକ,সংস্কাৰক
ମାଇଟୋସିସ୍,মাইট’ছিছ
ଆମେନାନ୍,আমিনন
ଆମୋନିଅନ୍ |,এমোনিয়ন
amniferous,amniferous
1. ପ୍ରଭାବହୀନ ଫର୍ମ 2. ଅରୁପି |,১.অকাৰ্যকৰী ৰূপ ২.অৰূপী
ଆମ୍ଫିବିଆନ୍ ମିଶ୍ରଣ |,উভচৰ মিশ্ৰণ
ଆମ୍ଫୋଟେରିକ୍ |,এম্ফোটেৰিক
ଷ୍ଟକପିଲିଂ |,ষ্টকপাইলিং
1. ଆନାଏରୋବିକ୍ 2. ଆନାଏରୋବିକ ଜୀବ |,১/ এনাৰোবিক ২.এনাৰোবিক জীৱ
ହାପ୍ଲଏଡ୍ |,হেপ্লয়ড
କୋଣାର୍କ ବୃକ୍ଷ ରୋପଣ |,কৌণিক ৰোপণ
ପଶୁପାଳନ,পশুপালন
ପଶୁ ନିର୍ଗମନ,পশুৰ মল-মূত্ৰ
ଜୀବନ୍ତ ଶକ୍ତି,জীৱন্ত শক্তি
ଅସନ୍ତୁଷ୍ଟ |,অস্বাভাৱিক
ଏକ ବର୍ଷ ପୁରୁଣା ଉଦ୍ଭିଦ |,এবছৰীয়া উদ্ভিদ
ବାର୍ଷିକ,বছেৰেকীয়া
1. ଉତ୍କଣ୍ଠା 2. ପ୍ରଭାବ,1. আনন্দ 2. উজ্জ্বলতা
ଆନ୍ଥ୍ରାକ୍ସ,এন্থ্ৰেক্স
ଆନ୍ଥ୍ରୋପୋଜେନିକ୍ କାରକଗୁଡିକ |,মানৱজনিত কাৰকসমূহ
ବଞ୍ଚିବା,জীয়াই থকা
1. ଆଣ୍ଟିବାୟୋଟିକ୍ 2 ଆଣ୍ଟିବାୟୋଟିକ୍ |,১/ এন্টিবায়টিক ২। এন্টিবায়টিক
ଘୃଣ୍ୟ,repulsive
ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ |,এন্টিঅক্সিডেন্ট
ଆଣ୍ଟିଟୋକ୍ସିନ୍ |,এন্টিটক্সিন
ଆଙ୍ଗୁଠି ରିଙ୍ଗ୍ |,ৰিং ফিংগাৰ
1. ଆପିଡ୍ 2. ମାହୁ 3. ଚେପା |,১.এফিড ২.মহু ৩.চেপা
ଉପର ଗୁଣ୍ଡ |,শীৰ্ষ কলি
ଶିଖର ପ୍ରଭାବ,শীৰ্ষ ফলপ্ৰসূতা
ମହୁମାଛି ପାଳନ,মৌমাখি ৰখা
ସମଲିଙ୍ଗୀତା,অযৌনতা
ଆପୋପ୍ଟୋସିସ୍ |,এপ&#39;প্টোছিছ
ଅନୁକ୍ରମଣିକା,appendages
ଭୋକ,appetizer
ପ୍ରୟୋଗ ହୋଇଛି |,প্ৰয়োগ কৰা হৈছে
ଜଳୀୟ ତୃଣ,জলজ অপতৃণ
1. ବୃକ୍ଷ 2. ବୃକ୍ଷ ନିବାସୀ |,১.গছ ২.গছৰ বাসিন্দা
ଶାଖା,শাখা-প্ৰশাখা
ପ୍ରୋଟୋବୋଟାନିକାଲ୍ ରେକର୍ଡଗୁଡିକ |,প্ৰ&#39;ট&#39;বোটানিকেল ৰেকৰ্ড
ଜୋନ୍ ସଂଖ୍ୟା,জ&#39;ন নম্বৰ
1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
ଶୁଖିଲା ଇକୋସିଷ୍ଟମ୍ |,শুকান পৰিৱেশ তন্ত্ৰ
କୋଟିଲଡନ୍ |,কুটিলডন
ସ aur ରଭ |,সৌৰভ
ସୁଗନ୍ଧିତ ଉଦ୍ଭିଦ |,সুগন্ধিযুক্ত উদ্ভিদ
ସୁଗନ୍ଧିତ ଚାଉଳ |,সুগন্ধি চাউল
ଇକଶୁ ପୁଷ୍ପନ୍ |,ইক্ষু পুষ্পন
ଆସେପ୍ଟିକ୍ |,বীজাণুমুক্ত
1. ଆସେପ୍ଟିକ୍ 2. ଆସେପ୍ଟିକ୍ |,১.এচেপ্টিক ২.এচেপ্টিক
ସମଲିଙ୍ଗୀ ପ୍ରଜନନ |,অযৌন প্ৰজনন
ଆକାର,আকাৰ
ସମ୍ପତ୍ତି,সম্পত্তি
1. ଆସ୍ମିଲେସନ୍ 2. ଆସ୍ମିଲେସନ୍ |,১/ আত্মসাৎ ২. আত্মসাৎ
1. ଆସୋସିଏସନ 2. ଆସୋସିଏସନ,১.সংঘ ২.সংঘ
1. ସ୍ତମ୍ଭ 2. ଜ୍ୟୋତିଷ,1. স্তম্ভ 2. astringency
ହେଟେରୋଜାଇଗୋସିଟି |,হেটেৰ&#39;জাইগোচিটি
1. ପିତୃପୁରୁଷ 2. ଆଟାଭିଜିମ୍ |,১.পূৰ্বপুৰুষ ২.আটাভিজম
କଣିକା,কণা
1. ଅନିଶ୍ଚିତତା 2. ଦୁର୍ବଳତା |,1. অনিশ্চয়তা 2. বিকলতা
ଆତ୍ମ ଯୋଡି |,self pairing
ଅଟୋଲାଇସିସ୍,অটোলাইছিছ
1. ସ୍ ont ତ aneous ସ୍ପୃତ ଅକ୍ସିଡେସନ୍ 2. ସ୍ ont ତ aneous ସ୍ପୃତ ଅକ୍ସିଡେସନ୍ |,1. স্বতঃস্ফূৰ্ত অক্সিডেচন 2. স্বতঃস্ফূৰ্ত অক্সিডেচন
ସ୍ୱୟଂ ମଲ୍ଟିପ୍ଲେକ୍ସଡ୍ |,self multiplexed
ଆକ୍ସିନ୍,অক্সিন
1. ହଲାନ୍ତୁ 2. ଟୋଡ୍ |,১/ জোকাৰি যোৱা ২. টোড
ଦଣ୍ଡବିଧାନ ଜୀବାଣୁ |,পেনাল ভাইৰাছ
1. ବାକିଲସ୍ 2. ବାକିଲସ୍ |,১.বেচিলাছ ২.বেচিলাছ
1. ଜୀବାଣୁ 2. ଜୀବାଣୁ,১/ বেক্টেৰিয়া ২) বেক্টেৰিয়া
ଜୀବାଣୁ ବିଷାକ୍ତ,বেক্টেৰিয়াৰ বিষাক্ত পদাৰ্থ
ବାଗାସେ |,বাগাছ
ତୂଳନା ପତ୍ର,বেলেন্স শ্বীট
ସନ୍ତୁଳିତ ସାର ବ୍ୟବହାର |,সুষম সাৰৰ ব্যৱহাৰ
ବାର୍ ଗ୍ରାଫ୍ |,বাৰ গ্ৰাফ
ଭୁକିବା |,বাকলি
1. ବାରୋମିଟର 2. ବାରୋମିଟର |,১.বেৰ’মিটাৰ ২.বেৰ’মিটাৰ
1. ବଜର୍ 2. ଅଦୃଶ୍ୟ 3. ବନ୍ଧ୍ୟା |,১. বাজাৰ ২. নিষ্ক্ৰিয় ৩. বন্যাৰ্ত
1. ଆଧାର 2. ଆଧାର 3. କପଙ୍ଗ |,1. ভিত্তি 2. ভিত্তি 3. কুপাং
1. ତାଲା 2. ବେସିନ |,১.তালা ২.বেচিন
ତଲାବିସାରି |,তালাবিছাৰী
1. ବେସ୍ଟର୍ନମ୍ 2. ମୂଳ ଧାରକ |,১.বেচিষ্টেৰনাম ২.মূল ধাৰণকাৰী
ଗଲ୍ଫ ମ so ସୁମୀ |,উপসাগৰীয় বাৰিষা
ଫଳ ଉଦ୍ଭିଦ |,ফলৰ উদ্ভিদ
ଶଯ୍ୟା,বিছনা
ଶଯ୍ୟା ଉଦ୍ଭିଦ |,বিচনা উদ্ভিদ
ଶଯ୍ୟା,বিচনা চাদৰ
ବିଲା ଗୁଣ୍ଡ |,বুটমাহৰ গুড়
ଘଣ୍ଟି,bellows
1. ଷ୍ଟ୍ରିପ୍ 2. ଭୂମି,১.ষ্ট্ৰিপ ২.ভূখণ্ড
ଲାଭ-ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |,লাভ-খৰচ বিশ্লেষণ
ଆଶାକର୍ମୀ (ନମୁନା),আকাংক্ষিত (Sampling)
ଦ୍ୱି ବର୍ଷୀୟ ଉଦ୍ଭିଦ |,দ্বিবাৰ্ষিক উদ্ভিদ
ଦ୍ୱିପାକ୍ଷିକ |,দ্বিপদ
ବାୟୋଫାକ୍ଟର |,বায়&#39;ফেক্টৰ
ଜ bi ବିକ ଜଳବାୟୁ |,জৈৱিক জলবায়ু
ଜ o ବ ଶକ୍ତି |,জৈৱ শক্তি
ଜୀବଜନ୍ତୁ ପରିବେଶ |,প্ৰাণীৰ পৰিস্থিতিতন্ত্ৰ
1. ବାୟୋ-ପ୍ରୋସେସର୍ 2. ବାୟୋ-ରିଆକ୍ଟର |,১/ বায়’-প্ৰচেছৰ ২.বায়’-ৰিয়ক্টৰ
ଜ bi ବ ଜୀବ |,জৈৱমণ্ডল
ବାୟୋଟିକ୍ |,জৈৱিক
ପ୍ରାଣୀ,প্ৰাণীজগত
ଡିଭିଲିଙ୍ଗୀ |,ডিভিলিংগি
ଧାୱାଲାନ୍ |,ধাৱলান
1. ପ୍ରଭାସନ୍ (ରୋଗ) 2. ଗୁଣ୍ଡ ରୋଗ |,১/প্ৰধ্বাসন (ৰোগ) ২) গাষ্ট ৰোগ
ମିଶ୍ରଣ,মিশ্ৰণ
1. ଅଙ୍ଗମାରି (ରୋଗ) 2. ବ୍ଲାଇଟ୍ (ରୋଗ),১.আংমাৰী (ৰোগ) ২.ব্লাইট (ৰোগ) ২.
1. ଫୁଲା 2. ଫୁଲା 3. ଉଦ୍ଗୀରଣ 4. ଫୁଲା |,১/ ফোহা ২. ফোহা ৩. বিস্ফোৰণ ৪. ফোহা
ନୀଳ ବିପ୍ଳବ |,নীলা বিপ্লৱ
ପ୍ଲାନାର୍ ହିଟିଂ ଚାମ୍ବର |,প্লেনাৰ হিটিং চেম্বাৰ
ପ୍ଲାନାର୍ ଗରମ ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |,সমতল উত্তাপন প্ৰযুক্তি
କଞ୍ଚା |,ব্ৰাণ
ଶାଖା,শাখা-প্ৰশাখা
1. ଟ୍ୱିଗ୍ 2. ସବବ୍ରାଞ୍ଚ |,১.ডাল ২.উপশাখা
ପ୍ରଜାତି,বংশবৃদ্ধি
ପ୍ରଜନନ,প্ৰজনন
ଶୀଘ୍ର ଅଙ୍କୁର ଚିକିତ୍ସା |,আগতীয়াকৈ অংকুৰণৰ চিকিৎসা
1. ଘନ 2. ଅଣ୍ଡା 3. ଭ୍ରୁଣ |,১. পোৱালি ২. কণী ৩. ভ্ৰূণ
ଅଙ୍କୁରିତ |,budding
ବଜେଟ୍,বাজেট
1. ଆମ୍ଫୋଟେରିକ୍ 2. ବଫର୍ |,১.এম্ফোটেৰিক ২.বাফাৰ
ମିଠା ଆଳୁ,মিঠা আলু
ବଣ୍ଟ (ରୋଗ),বান্ট (ৰোগ)
1. ଉପ-ଉତ୍ପାଦ 2. ଉପ-ଉତ୍ପାଦ |,1. উপ-উৎপাদন 2. উপ-উৎপাদন
c ଆର୍ଦ୍ରତା ନିର୍ଦ୍ଦିଷ୍ଟ ବକ୍ର,c আৰ্দ্ৰতা নিৰ্দিষ্টকৰণ বক্ৰ
ତେଲ କେକ୍ |,তেলৰ কেক
1. ଚୂନ 2. କ୍ୟାଲସିୟମ୍ |,১.চূণ ২.কেলচিয়াম
କାଲସିଅନ୍ |,calcion
ଫସଫେଟ୍ ଅପସାରଣ |,ফছফেট আঁতৰোৱা
1. କିନାଟା 2. କାଲାଟା |,১.কিনাটা ২.কালাটা
1. କଲସ୍ 2. କିରଣ,১.কেলাছ ২.ৰশ্মি
1. କବରଗୁଡିକ 2. କାଲିକ୍ସ |,1. ফুলৰ গুটি 2. calyx
ବାହ୍ୟ ଶେଷ,বাহ্যিক শেষ
ଏଡା,এধা
କର୍କଟ (ଜୀବାଣୁ),কেন্সাৰ (বেক্টেৰিয়াৰ ৰোগ)
କ୍ୟାନିଂ |,কেনিং
ଆକାଶ,আকাশ
ଅର୍ଥ,বিত্ত
ପ୍ରଦୂଷଣ (ଡିମ୍ବିରି),পৰগাছা (ডুমুৰৰ)
1. କ୍ୟାପସୁଲ୍ 2. କ୍ୟାପସୁଲ୍ 3. କ୍ୟାପସୁଲ୍ |,১.কেপচুল ২.কেপচুল ৩.কেপচুল
ଅଙ୍ଗାରକାମ୍ଳ |,কাৰ্বনাইজড
ଅଙ୍ଗାରକାମ୍ଳ |,কাৰ্বনেন
କାରାପେସ୍ |,carapace
ବ୍ରେସଲେଟ୍,এপাত হাতৰ অলংকাৰ
1. କାଷ୍ଟିଂ (ଲୁହା) 2. କିସିପି (କୀଟ),1. ঢালাই (লোহা) 2. ক্ষীপতি (পোক)
କାଟାବୋଲିଜିମ୍ |,কেটাবলিজম
ପ୍ରେରଣା,প্ৰৰোচনা
1. କୀଟପିଲା 2. କୀଟପିଲା |,1. পোক 2. পোক
c d। N. a। ସଂଗ୍ରହ,গ ঘ. এন. ক. সংগ্ৰহ
ପରିସର,পৰিসৰ
1. କକ୍ଷ 2. କକ୍ଷ,১.কোষ ২.কোষ
କେନ୍ଦ୍ରୀୟ ସାମ୍ନା ବ୍ୟବସ୍ଥା |,কেন্দ্ৰীয় ফ্ৰন্ট ব্যৱস্থা
1. ବିନ୍ଦୁ 2. ଧ୍ୟାନ |,1. বিন্দু 2. ফোকাচ
ସେଣ୍ଟ୍ରିଫୁଗେସନ୍ |,কেন্দ্ৰচালিতকৰণ
ସେଣ୍ଟ୍ରିଫୁଗ୍,কেন্দ্ৰচালিত কৰক
ତାରା କେନ୍ଦ୍ର |,তাৰকা কেন্দ্ৰ
epigenetic,এপিজেনেটিক
କେନ୍ଦୁ ra ର,কেন্দ্ৰজা
ଲୁମ୍,loom
1. ଶସ୍ୟ 2. କ୍ରମିକ |,১/ শস্যৰ বীজ ২. ছিৰিয়েল
1. ପ୍ରମାଣପତ୍ର 2. ପ୍ରମାଣପତ୍ର,১.প্ৰমাণীকৰণ ২.প্ৰমাণীকৰণ
ପ୍ରମାଣିତ ବିହନ |,প্ৰমাণিত বীজ
1. ନଡ଼ା 2. କୁଟି 3. ଶାଲକ ସାହାପାତ୍ର |,১) খেৰ ২.কুট্টি ৩.শালক সহপাত্ৰ
1. ନିବାଗ 2. କ ail ଲାଜା |,১.নিভাগ ২.কৈলাজা
ଚିମୋଗ୍ରାଫି,চাইম&#39;গ্ৰাফী
1. କିଆଜମା 2. ବ୍ୟସ୍ତ,১.কিয়াজমা ২.ব্যস্ত
ସୁପରକୋଲିଂ ଘଣ୍ଟା |,ছুপাৰকুলিং ঘন্টা
ବରଫର କ୍ଷତି |,হিম ক্ষতি
1. ଭିଚିରୋଟାକି 2. ଚିମେରା |,১/ ভিচিৰোটাকি ২.চিমেৰা
ସବୁଜ ପୋଖରୀ |,সেউজীয়া দাইল
1. ପତ୍ର 2. ସବୁଜ,১.পাতল ২.সেউজীয়া
ସିଆନୋସିସ୍ |,চাইন&#39;ছিছ
ଜ bi ବିକ ବଣ୍ଟନ ବିଜ୍ science ାନ |,জৈৱিক বিতৰণ বিজ্ঞান
1. କ୍ରୋମାଟିଡସ୍ 2. ଅଧା କ୍ରୋମୋଜୋମ୍ |,১) ক্ৰ’মেটিড ২) আধা ক্ৰম’জম
କ୍ରୋମାଟିନ୍,ক্ৰ&#39;মেটিন
କ୍ରୋମାଟୋଗ୍ରାଫି |,ক্ৰ&#39;মাট&#39;গ্ৰাফী
କ୍ରୋମାଟିନେସନ୍,ক্ৰ&#39;মেটিনেচন
atrial point,অলিন্দৰ বিন্দু
କ୍ରୋମାଟୋଜେନେସିସ୍,ক্ৰ&#39;মেট&#39;জেনেছিছ
1. କ୍ରୋମୋପ୍ରୋଟେନ୍ 2. ପିଗମେଣ୍ଟ୍ରୋଟିନ୍ |,১/ ক্ৰম’প্ৰটিন ২.ৰঞ্জক প্ৰটিন
1. କ୍ରୋମୋଜୋମ୍ 2. କ୍ରୋମୋଜୋମ୍ |,১.ক্ৰম’জম ২.ক্ৰম’জম
1. କ୍ରନିକ୍ 2. କ୍ରନିକ୍ 3. କ୍ରନିକ୍ 4. ପୁରୁଣା |,1. দীৰ্ঘদিনীয়া 2. দীৰ্ঘদিনীয়া 3. দীৰ্ঘদিনীয়া 4. অচল
citrange,ট্যাগ এর সাথে ছবি &#39;citrange&#39;:
ପତିତପାବନ ପର୍ବ |,পতন উৎসৱ
ବର୍ଗୀକରଣ,শ্ৰেণীবিভাজন
1. ମାଟି 2. ମାଟି,১.মাটি ২.মাটি
1. ସଫା କରିବା 2. ସ୍କ୍ରବିଂ 3. ସଫା କରିବା 4. ଶୁଦ୍ଧତା |,১/ পৰিষ্কাৰ কৰা ২.স্ক্ৰাব কৰা ৩. পৰিষ্কাৰ কৰা ৪.বিশুদ্ধকৰণ
ସ୍ଥାୟୀ ପ୍ରଦୂଷଣ |,স্থায়ী পৰগাছা
କ୍ରୁଶବିହୀନ ଫଳ |,ক্ৰুচিফেৰাছ ফল
ଜଳବାୟୁ,জলবায়ু
ଜଳବାୟୁ,জলবায়ুবিজ্ঞান
କେଶ,shear
ଗୁଣ୍ଡ (ମାଟି),গোট (মাটি)
କ୍ଲୋନ୍ |,ক্ল&#39;ন
1. କ୍ଲାଉଡ୍ 2. କ୍ଲାଉଡ୍ |,১.ডাৱৰ ২.ডাৱৰ
ump ୁଲା |,ক্লাম্প
ଗୁଣ୍ଡ |,মুঠি
1. କଠିନ 2. ରୁଗ୍ 3. କଞ୍ଚା 4. ରୁଗ୍ |,১.মোটা ২.ৰুক্ষ ৩.কেঁচা ৪.ৰুক্ষ
1. କଭର 2. ଚମଡା,১.আৱৰণ ২.চামৰাৰ টুকুৰা
କୋୟା,কয়া
1. କୋଏନଜାଇମ୍ 2. କୋ-ଏନଜାଇମ୍ |,১/ কো-এনজাইম ২.কো-এনজাইম
ମିଳନ,সংহতি
1. ଫାଇବର (ଜୁଟ୍ ଜଟ୍) 2. ନଡିଆ ନଡିଆ |,১/ আঁহ (পাট পাট) ২) নাৰিকল মোটা
ମୁଲାନକୁର ଚୋଲା |,মুলংকুৰ চোলা
,
କୋଲଏଡ୍ (ମାଟି),কলয়ড (মাটি)
1. ସ୍ତମ୍ଭ 2. କଲୁମେଲା,১.স্তম্ভ ২.কলমেলা
1. ଦଣ୍ଡ 2. ସ୍ତମ୍ଭ 3. ସ୍ତମ୍ଭ,১/ শাস্তি ২.স্তম্ভ ৩.স্তম্ভ
ଯୋଗାଯୋଗ,কমিউনিয়ন
ବାଣିଜ୍ୟିକ ବ୍ୟାଙ୍କ |,বাণিজ্যিক বেংক
1. ଦ୍ରବ୍ୟ 2. ବାଣିଜ୍ୟ,১/ পণ্য ২/ ব্যৱসায়িক সামগ্ৰী
ସମ୍ପ୍ରଦାୟ,সমুদায়
ସଙ୍କୋଚନ (ମାଟିର),সংকোচন (মাটিৰ)
1. ସୁସଙ୍ଗତତା 2. ସୁସଙ୍ଗତତା |,1. সামঞ্জস্যতা 2. সামঞ্জস্যতা
ସୁସଙ୍ଗତତା,সামঞ্জস্যতা
1. କ୍ଷତିପୂରଣ 2. କ୍ଷତିପୂରଣ,১/ ক্ষতিপূৰণ ২/ ক্ষতিপূৰণ
ପ୍ରତିଯୋଗିତାମୂଳକ ପାରସ୍ପରିକ କ୍ରିୟା |,প্ৰতিযোগিতামূলক পাৰস্পৰিক ক্ৰিয়া
