English,Bengali
Acoustic principle of similarity,শব্দের প্রতিসাম্য নিয়ম
Acoustic propagation constant,শাব্দ সংক্রমণ
Acoustic property,শাব্দ বৈশিষ্ট্য
Acoustic quardrupole,শাব্দ চতুর্ভুজ
Acoustic radiating element,শাব্দ বিকিরণ উপাদান
Acoustic radiation,শাব্দ বিকিরণ
Acoustic radiator,শব্দরোধী
Acoustic radiometer,অ্যাকোস্টিক রেডিওমিটার
Acoustic reactance,শাব্দ প্রতিক্রিয়া
Acoustic reciprocity theorem,অ্যাকোস্টিক পারস্পরিক তত্ত্ব
Acoustic reduction factor,শাব্দ হ্রাস ফ্যাক্টর
Acoustic reflection coefficient,শাব্দ প্রতিফলন সহগ
Acoustic refraction,শাব্দ প্রতিসরণ
Acoustic resistance,শাব্দ প্রতিরোধের
Acoustic responsiveness,শাব্দ প্রতিক্রিয়া
Acoustic scattering,শাব্দ বিচ্ছুরণ
Acoustic spot,শ্রবণ বিন্দু
Acoustic stiffiness,শাব্দিক অনমনীয়তা
Acoustic system,শাব্দ ব্যবস্থা
Acoustic thermometer,শাব্দ থার্মোমিটার
Acoustic velocity,শাব্দ বেগ
Acoustic wave,শব্দ - তরঙ্গ
Acoustical,শাব্দিক
Acoustical absorption co-efficient,শব্দ শোষণ সহগ
Acoustical absorption factor,শব্দ শোষণ উপাদান
Acoustical circuit,শাব্দ সার্কিট
Acoustical compliance,শাব্দ প্রতিক্রিয়া
Acoustical delay line,শাব্দ বিলম্ব লাইন
Acoustical distortion,শাব্দ বিকৃতি
Acoustical energetics,শাব্দিক ধ্বনিবিদ্যা
Acoustical filter,শাব্দ ফিল্টার
Acoustical impedance (=acoustic impedance),শব্দের সংরোধ*
Acoustical labyrinth,ফোনোগ্রাফ
Acoustical ohm,শাব্দিক ওহম*
Acoustical phase constant,শাব্দিক ধ্রুবক
Acoustical phonan,শাব্দিক ফোনন
Acoustical propagation constant (=propagation constant),শাব্দ সংক্রমণ ধ্রুবক
Acoustical reduction factor,শব্দ পরিবর্তন সহগ
Acoustical resistance,শাব্দ প্রতিরোধের
Acoustical stiffness,শাব্দিক অনমনীয়তা
Acoustical unit,শব্দ ইউনিট
Acoustically insulated,শব্দরোধী
Acoustico-lateral line,শাব্দ পার্শ্ব লাইন
Acoustics,"ধ্বনিবিদ্যা, ধ্বনিবিদ্যা"
Acoustimeter,শব্দ মিটার
Acoustomotive pressure=sound pressure,শব্দ চাপ
Acquisition radar,অধিগ্রহণ রাডার
Actinic ray,সালোকসংশ্লেষী বিকিরণ
Actinium emnation,অ্যাক্টিনিয়াম নির্গমন
Actino-uranium,অ্যাক্টিনো-ইউরেনিয়াম
Actino-uranium series,অ্যাক্টিনো-ইউরেনিয়াম সিরিজ
Actinoelectricity,তেজস্ক্রিয়
Actinometer,"অ্যাক্টিনোমিটার, ফটোমাইক্রোমিটার"
Action,"কর্ম, কাজ"
Action and reaction,কর্ম এবং প্রতিক্রিয়া
Action constant,কর্ম ধ্রুবক
Action radium (=effective area),প্রভাব গোলক
Activated,"সক্রিয়, সক্রিয়"
Activated diffusion,সক্রিয় বিস্তার
Activated filament,"সক্রিয় ফাইবার, সক্রিয় ফাইবার"
Activating effect,সক্রিয়করণ প্রভাব
Activation,সক্রিয়করণ প্রভাব
Activation analysis,সক্রিয়করণ বিশ্লেষণ
Activation centre,কার্যকলাপ কেন্দ্র
Activation cross-section,সক্রিয়করণ পরীক্ষক
Activation energy,অ্যাক্টিভেশন শক্তি
Activation entropy,সক্রিয়করণ এনট্রপি
Activation over-voltage,সক্রিয়করণ ওভারভোল্টেজ
Activation rate,সক্রিয়করণ হার
Activator,"সক্রিয়কারী, সক্রিয়কারী"
Activator atom,অ্যাক্টিভেটর পরমাণু
Activator of accelerator,এক্সিলারেটর
Active absorption,সক্রিয় শোষণ
Active aerial,সক্রিয় বায়বীয়
Active area (controlled area),বিকিরণ বিপদ অঞ্চল
Active device,সক্রিয় ডিভাইস
Active homing,সক্রিয় টার্গেটিং
Active hydrogen,সক্রিয় হাইড্রোজেন*
Active lattice,সক্রিয় জাল
Active line,সক্রিয় লাইন সক্রিয় লাইন
Active loop,সক্রিয় লুপ
Active mass,সক্রিয় কোড*
Active material,সক্রিয় উপাদান
Active molecule,সক্রিয় অণু
Active network,সক্রিয় জাল
Active re-absorption,সক্রিয় পুনর্শোষণ
Active region,সক্রিয় এলাকা
Active regulation,সক্রিয় নিয়ন্ত্রণ
Active satellite,সক্রিয় স্যাটেলাইট
Active sunspot prominence,সক্রিয় বিচ্ছিন্ন সৌর শিখা
Active trace sub stances,সক্রিয় মাইক্রোনিউট্রিয়েন্ট
Active tracking system,সক্রিয় ট্র্যাকিং সিস্টেম
Active transducer,সক্রিয় ট্রান্সডুসার
Active uptake,সক্রিয় গ্রহণ
Activity coefficient,কার্যকলাপ সহগ*
Activity index,কার্যকলাপ সূচক
Activity ratio,কার্যকলাপ অনুপাত
Activity vector,কার্যকলাপ ভেক্টর
Actual monitor,বাস্তব মনিটর
Actual stress,প্রকৃত চাপ
Actuate,ট্রিগার করতে
Actuating,জন্মদাতা
Acturator,জন্মদাতা
Acuity meter,acuityometer
Acuity of hearing,শ্রবণ তীক্ষ্ণতা
Acutance,ছবির তীক্ষ্ণতা মান
Acute angle,তীব্র কোণ
Acute exposure,ফিসফিস
Acute triangle,তীব্র ত্রিভুজ
Acyclic,অ্যাসাইক্লিক
Adaptation manoeuver,অপ্টিমাইজেশান অ্যাপ্লিকেশন
Adapted stae,অপ্টিমাইজ করা অবস্থা
Adaptive control system,অভিযোজিত নিয়ন্ত্রণ ব্যবস্থা
Adaptometer,অ্যাডাপ্টোমিটার
Adcock antenna,অ্যাডকক অ্যান্টেনা
Add,যোগফল
Add time,সংকলন সময়
Add-subtract time,সংকলন-বিয়োগের সময়
Adder,যোগকারী
Addition,"যোগফল, যোগ, যোগফল (সম্পাদনা), যোজক (v.)"
Addition constant,যোগ ধ্রুবক
Addition law of acceleration,ত্বরণ-সমষ্টি নিয়ম
Addition law of distance,দূরত্ব-সমষ্টি নিয়ম
Addition law of velocity,বেগ-সমষ্টি নিয়ম
Addition of vectors,ভেক্টরের সমষ্টি
Addition reaction,সংগ্রহ প্রতিক্রিয়া
Additional half plane,অতিরিক্ত মেঝে
Additional tone,"সংযোজক স্বর, অতিরিক্ত স্বর (স্বর)"
Additive,"additive, additive"
Additive channel,সংযোজন ব্যবস্থা
Additive colour,যৌগিক অক্ষর
Additive colour process,সামগ্রিক অক্ষর প্রক্রিয়া
Additive complementary colour,সংযোজন পরিপূরক রঙ
Additive constant,additive ধ্রুবক
Additive drag,সংযোজন ট্র্যাকশন
Additive effect,সংযোজন প্রভাব
Additive factor,সংযোজন ফ্যাক্টর
Additive function,সংযোজন ফাংশন
Additive mixing,সংযোজন মিশ্রণ
Additive primary,সংযোজক মূল
Additive process,সংযোজন প্রক্রিয়া
Additive property,যোগযোগ্যতা
Additive quantum number,সংযোজন কোয়ান্টাম সংখ্যা
Additive reaction,সংগ্রহ প্রতিক্রিয়া
Additivity,যোগযোগ্যতা
Additron,aditron
Address,জানি*
Address computation,ঠিকানা গণনা
Address counter,ঠিকানা
Address decoding,ঠিকানা এনক্রিপশন
Address expression,ঠিকানা অভিব্যক্তি
Address facility,ঠিকানাযোগ্যতা
Address format,ঠিকানার অংশ
Address light,ঠিকানা আলো
Address modification,ঠিকানা পরিবর্তন
Address part,পতনশ
Address register,ঠিকানা রেজিস্টার
Address selection swith,ঠিকানা নির্বাচন সুইচ
Address table sort,ঠিকানা সাজানোর টেবিল
Addressing,সম্বোধন
Addressograph,adresograph
Addresssing system,ঠিকানা সিস্টেম
Adhesion,আনুগত্য
Adhesion tension,আনুগত্য চাপ
Adhesional energy,আঠালো শক্তি
Adhesive blocking,আঠালো ব্লকিং
Adiabat,adiabat
Adiabatic,adiabatic
Adiabatic acceleration,adiabatic ত্বরণ
Adiabatic approximation,adiabatic অনুমান
Adiabatic bulk modulus,adiabatic ভলিউম সহগ
Adiabatic calorimeter,adiabatic থার্মোমিটার
Adiabatic change,adiabatic পরিবর্তন
Adiabatic chart,"adiabatic চার্ট, adiabatic চার্ট"
Adiabatic compressibility,adiabatic কম্প্রেসিবিলিটি
Adiabatic compression,adiabatic কম্প্রেশন
Adiabatic containment,adiabatic গর্ভনিরোধক
Adiabatic cooling limit,adiabatic কুলিং সীমা
Adiabatic curve,adiabatic বক্ররেখা
Adiabatic deformation,adiabatic বিকৃতি
Adiabatic demagnetisation,adiabatic demagnetization
Adiabatic dissociation,adiabatic রেজল্যুশন
Adiabatic drift,adiabatic স্থানচ্যুতি
Adiabatic effect,adiabatic প্রভাব
Adiabatic elasticity,adiabatic স্থিতিস্থাপকতা
Adiabatic ellipse,adiabatic ellipsoid
Adiabatic enthalpy drop,adiabatic পূর্ণ-তাপ ক্ষতি
Adiabatic equation,adiabatic সমীকরণ
Adiabatic equation of state,adiabatic রাষ্ট্র সমীকরণ
Adiabatic equilibrium temperature,adiabatic ভারসাম্য তাপমাত্রা
Adiabatic equillibrium,adiabatic ভারসাম্য
Adiabatic expansion,adiabatic স্প্রেড
Adiabatic flame temperature,adiabatic শিখা তাপমাত্রা
Adiabatic flow,adiabatic প্রবাহ
Adiabatic fluctuations,adiabatic উচ্চারণ
Adiabatic gas equation,adiabatic গ্যাস সমীকরণ
Adiabatic gradient,adiabatic গ্রেডিয়েন্ট
Adiabatic heat drop,adiabatic তাপ ক্ষতি
Adiabatic ionization potential,adiabatic ionization সম্ভাব্যতা
Adiabatic lapse rate,adiabatic অবচয় হার
Adiabatic momentum charge,adiabatic ভরবেগ চার্জ
Adiabatic process,adiabatic প্রক্রিয়া
Adiabatic reaction,adiabatic প্রতিক্রিয়া
Adiabatic speed,adiabatic নড়াচড়া
Adiabatic strain energy,adiabatic বিকৃতি শক্তি
Adiabatic system,adiabatic শরীর
Adiabatic temperature gradient,adiabatic তাপ গ্রেডিয়েন্ট
Adiabatic throttling,adiabatic abatement
Adiabatic transformation,adiabatic রূপান্তর
Adiactinic,"সালোকসংশ্লেষণ, বিকিরণ বিরোধী"
Adiathermancy,তাপ অপর্যাপ্ততা
Adiathermanous,তাপ নিরোধক
Adion,AIden
Adjacency effect,সংলগ্ন প্রভাব
Adjacent,"সংলগ্ন, সংলগ্ন, সংলগ্ন"
Adjacent angle,সংলগ্ন কোণ
Adjacent channel attenuation,আবদ্ধ চ্যানেল অ্যাটেন্যুয়েশন
Adjacent circuit,আবদ্ধ সার্কিট
Adjacent phase,আবদ্ধ পর্যায়
Adjacent picture carrier=adjacent vision carrier,"সংযুক্ত ভিডিও ক্যারিয়ার, সংযুক্ত ইমেজ ক্যারিয়ার"
Adjacent sound carrier,আবদ্ধ শব্দ বাহক
Adjeacent channel selectivity,আবদ্ধ চ্যানেল নির্বাচন
Adjecent channel interference,আবদ্ধ চ্যানেল বাধা
Adjestable condenser,সামঞ্জস্যযোগ্য ক্যাপাসিটর
Adjestable lens holder,সামঞ্জস্যযোগ্য লেন্স ধারক
Adjestable magnifier,সামঞ্জস্যযোগ্য ম্যাগনিফায়ার
Adjestable pressure,নিয়মিত চাপ
Adjestable short,সামঞ্জস্যযোগ্য শর্ট সার্কিট
Adjustor,সমন্বয়
Admittance,অনুপ্রবেশ
Admittance operator,অনুপ্রবেশ অপারেটর
Adsorption,শোষণ*
Advance ball,অগ্রিম বল
Advanced,এগিয়ে
Advanced conductive deafness,বর্ধিত পরিবাহী বধিরতা
Advanced potential,সামনের সম্ভাবনা
Advancing wave,প্রগতিশীল তরঙ্গ
Advancing wave front,প্রগতিশীল তরঙ্গ সামনে
Aeolian harp,ভেন্ট্রাল বীণা
Aeolian tone,বায়বীয় স্বন
Aeon,"eon (বছর), যুগ"
Aerial,"আকাশি, ভাইভা (v.) Ariel (ed.)"
Aerial array,বায়বীয় অ্যারে
Aerial attenuator,অ্যান্টেনা অ্যাটেনুয়েটর
Aerial booster,অ্যান্টেনা বুস্টার
Aerial cable,বায়বীয় তারের
Aerial camera,এয়ার ক্যামেরা
Aerial circuit breaker,অ্যান্টেনা সার্কিট ব্রেকার
Aerial control table,অ্যান্টেনা নিয়ন্ত্রণ বোর্ড
Aerial cross talk,অ্যান্টেনা অপ্রাসঙ্গিক সংকেত
Aerial current,অ্যান্টেনা প্রবাহ
Aerial damping,অ্যান্টেনা স্যাঁতসেঁতে
Aerial earthing switch,অ্যান্টেনা আর্থ কন্টাক্টর সুইচ
Aerial efficiency,অ্যান্টেনার দক্ষতা
Aerial electric erasing machine,বায়বীয় বৈদ্যুতিক মুছে ফেলার মেশিন
Aerial elevation pawl,অ্যান্টেনা আপগ্রডার
Aerial excitation,অ্যান্টেনা উত্তেজনা
Aerial fog,বায়বীয় কুয়াশা
Aerial impedance,অ্যান্টেনা প্রতিবন্ধকতা
Aerial inductance,অ্যান্টেনা আবেশ
Aerial lead insulator,অ্যান্টেনা অন্তরক অন্তরক
Aerial line,অ্যান্টেনা লাইন
Aerial loading inductane=antenna loading coil,অ্যান্টেনা লোড কয়েল
Aerial loss,অ্যান্টেনা ক্ষতি
Aerial noise,অ্যান্টেনার শব্দ
Aerial photo-interpretation,আকাশ ছবির ব্যাখ্যা
Aerial photogrammetry,বায়বীয় ফটোগ্রামমেট্রি
Aerial photograph,বায়বীয় ছবি
Aerial photography,আকাশ থেকে ছবি তোলা
Aerial power,অ্যান্টেনা শক্তি
Aerial radiation resistance,অ্যান্টেনা বিকিরণ প্রতিরোধের
Aerial reactance,অ্যান্টেনা বিক্রিয়া
