Bengali,Marathi
শাব্দিক মনোযোগ ধ্রুবক,ध्वनीविषयक क्षीणन स्थिर
শাব্দিক স্যাঁতসেঁতে,ध्वनिकी ओलसर
শাব্দিক বিলম্ব লাইন,ध्वनिक विलंब रेखा
শাব্দিক বিকৃতি,ध्वनिक विकृती
শাব্দিক নালী,ध्वनिक नलिका
শাব্দিক শক্তি,ध्वनिक ऊर्जा
শাব্দিক প্রতিক্রিয়া,ध्वनिक अभिप्राय
শাব্দিক ফিল্টার,ध्वनिक फिल्टर
শাব্দিক প্রতিবন্ধকতা,ध्वनीविषयक प्रतिबाधा
শাব্দিক প্রচার ধ্রুবক,ध्वनीविषयक प्रसार स्थिर
শাব্দিক প্রতিরোধের,ध्वनिक प्रतिकार
শাব্দিকভাবে অন্তরক,ध्वनिकरित्या इन्सुलेटेड
অ্যাকোস্টিকস,ध्वनिकी
অধিগ্রহণ,संपादन
সংক্ষিপ্ত বিবরণ,परिवर्णी शब्द
অ্যাকশন এরিয়া,कृती क्षेत्र
সক্রিয় ফিলামেন্ট,सक्रिय फिलामेंट
সক্রিয়,सक्रिय
সক্রিয় এলাকা,सक्रिय क्षेत्र
সক্রিয় উইন্ডো,सक्रिय विंडो
অভিযোজনযোগ্যতা,अनुकूलता
অ্যাডাপ্টার (অ্যাডাপ্টার),अ‍ॅडॉप्टर (अ‍ॅडॉप्टर)
অভিযোজিত ডিফারেনশিয়াল পালস কোড মড্যুলেশন,अ‍ॅडॉप्टिव्ह डिफरेंशनल पल्स कोड मॉड्यूलेशन
ঠিকানা বই,अॅड्रेस बुक
ঠিকানা বাস,अ‍ॅड्रेस बस
ঠিকানা রেজোলিউশন,पत्ता ठराव
সংলগ্ন চ্যানেল হস্তক্ষেপ,लगतच चॅनेल हस्तक्षेप
সংলগ্ন চ্যানেল নির্বাচন,लगतच चॅनेल निवड
সংলগ্ন ফ্রিকোয়েন্সি,समीप वारंवारता
সংলগ্ন ফ্রিকোয়েন্সি চ্যানেল,समीप फ्रिक्वेन्सी चॅनेल
সংলগ্ন ছবি ক্যারিয়ার,लगतचे चित्र वाहक
সংলগ্ন সাউন্ড ক্যারিয়ার,समीप ध्वनी वाहक
সংলগ্ন স্টেশন,समीप स्टेशन
সামঞ্জস্যযোগ্য,समायोज्य
সামঞ্জস্যযোগ্য কনডেন্সার,समायोज्य कंडेन्सर
সামঞ্জস্য চাপ,दबाव समायोजित करणे
সামঞ্জস্য করা রেঞ্চ,पाना समायोजित करणे
সামঞ্জস্য,समायोजन
প্রশাসক,प्रशासक
উন্নত প্রযুক্তি,आधुनिक तंत्रज्ञान
এরিয়াল,हवाई
এরিয়াল অ্যারে,एरियल अ‍ॅरे
এরিয়াল বুস্টার,एरियल बूस्टर
এরিয়াল কারেন্ট,एरियल करंट
এরিয়াল আর্থিং সুইচ,एरियल अर्थिंग स्विच
বায়বীয় দক্ষতা,हवाई कार्यक्षमता
বায়বীয় প্রতিবন্ধকতা,हवाई प्रतिबाधा
এরিয়াল ইন্ডাক্ট্যান্স,एरियल इंडक्टन्स
এরিয়াল ইনসুলেটর,एरियल इन्सुलेटर
এরিয়াল লোডিং কয়েল,एरियल लोडिंग कॉइल
আকাশ থেকে ছবি তোলা,एरियल फोटोग्राफी
বায়বীয় শক্তি,हवाई शक्ती
বায়বীয় বিকিরণ পুনর্নির্মাণ,एरियल रेडिएशन रीस्टन्स
বায়বীয় বিক্রিয়া,हवाई प्रतिक्रिया
এয়ারোডাইনামিক্স,एरोडायनामिक्स
এজেন্সি,एजन्सी
বায়ু সংকোচকারী,एअर कॉम्प्रेसर
এয়ার কনডেন্সার,एअर कंडेन्सर
ঠান্ডা বাতাস,वातानुकूलित
বায়ু কর্ড কয়েল,एअर कोर्ड कॉइल
এয়ারকন্ডিশনিং,वातानुकुलीत
আলবেডো,अल्बेडो
অ্যালগরিদম,अल्गोरिदम
এলিয়াসিং,अलियासिंग
সারিবদ্ধ,संरेखित
প্রান্তিককরণ,संरेखन
সমস্ত তরঙ্গ বিমান,सर्व वेव्ह एरियल
বরাদ্দ,वाटप
বর্ণমালা,वर्णमाला
বর্ণমালা,अल्फान्यूमेरिक
আলফানিউমেরিক চরিত্র,अल्फान्यूमेरिक वर्ण
আলফানিউমেরিক তথ্য,अल्फान्यूमेरिक माहिती
বিকল্প বর্তমান (এ.সি.),वैकल्पिक चालू (ए.सी.)
বিকল্প,वैकल्पिक
বিকল্প,अल्टरनेटर
উচ্চতা,समुद्रसपाटीपासूनची उंची
অপোজির উচ্চতা,अपोजीची उंची
পেরিগির উচ্চতা,पेरिगीची उंची
অপেশাদার রেডিও যোগাযোগ,हौशी रेडिओ संप्रेषण
পরিবেশ,वातावरण
পরিবেশ মাইক্রোফোন,वातावरण मायक्रोफोन
পরিবেষ্টিত অবস্থা,वातावरणीय स्थिती
পরিবেষ্টনকারী আলো,वातावरणीय प्रकाश
পরিবেষ্টিত শব্দ,सभोवतालचा आवाज
পরিবেষ্টিত তাপমাত্রা,वातावरणीय तापमान
আমেরিকান স্ট্যান্ডার্ড কোড,अमेरिकन मानक कोड
অ্যাম্পিয়ার,अँपियर
অ্যাম্পের মিটার,अ‍ॅम्पेअर मीटर
পরিবর্ধন,प्रवर्धन
প্রশস্তকরণ ফ্যাক্টর,प्रवर्धन घटक
পরিবর্ধক,एम्पलीफायर
পরিবর্ধক লাভ,एम्पलीफायर गेन
পরিবর্ধক শব্দ,एम्पलीफायर आवाज
পরিবর্ধক সরঞ্জাম,एम्प्लिफाइंग उपकरणे
ক্লাইস্ট্রনকে প্রশস্তকরণ,क्लीस्ट्रॉनचे विस्तार
পরিবর্ধক ইউনিট,एम्प्लिफाइंग युनिट
প্রশস্ততা,मोठेपणा
প্রশস্ততা বিকৃতি,मोठेपणा विकृती
প্রশস্ততা ভ্রমণ,मोठेपणा सहन
প্রশস্ততা ফ্যাক্টর,मोठेपणा घटक
প্রশস্ততা সীমাবদ্ধ,मोठेपणा मर्यादा
প্রশস্ততা মোডুলেটেড,मोठेपणा मॉड्यूलेटेड
প্রশস্ততা মড্যুলেশন,मोठेपणा मॉड्यूलेशन
অ্যানালগ (অ্যানালগ),एनालॉग (अ‍ॅनालॉग)
অ্যানালগ সার্কিট,एनालॉग सर्किट
অ্যানালগ কম্পিউটার,एनालॉग संगणक
অ্যানালগ রেডিও ফ্রিকোয়েন্সি চ্যানেল,एनालॉग रेडिओ फ्रिक्वेन्सी चॅनेल
অ্যানালগ উপস্থাপনা,एनालॉग प्रतिनिधित्व
এনালগ সংকেত,एनालॉग सिग्नल
ডিজিটাল অ্যানালগ,डिजिटल टू डिजिटल
ডিজিটাল কনভার্টারে অ্যানালগ,डिजिटल कन्व्हर्टर टू एनालॉग
অ্যানালগ ভিডিও,एनालॉग व्हिडिओ
সাদৃশ্য,समान
উপমা,समानता
বিশ্লেষণ,विश्लेषण
ডেটা বিশ্লেষণ,डेटाचे विश्लेषण
বিশ্লেষণাত্মক ঘনত্ব,विश्लेषणात्मक घनता
বিশ্লেষণ করুন,विश्लेषण
বিশ্লেষক,विश्लेषक
আনুষঙ্গিক সরঞ্জাম,उपकरणे
এবং গেট,आणि गेट
কলিমেশন কোণ,कोलिमेशनचा कोन
মেরুকরণের কোণ,ध्रुवीकरणाचा कोन
ঘূর্ণনের কোণ,रोटेशनचा कोन
অ্যাংস্ট্রোম (Å),अँगस्ट्रॉम (Å)
কৌণিক,कोनीय
কৌণিক ত্বরণ,कोनीय प्रवेग
কৌণিক সমন্বয়,कोनीय समन्वय
কৌণিক ডিফ্লেশন,कोनीय विक्षेपण
কৌণিক বিচ্ছুরণ,कोनीय फैलाव
কৌণিক স্থানচ্যুতি,कोनीय विस्थापन
কৌণিক ত্রুটি,कोनीय त्रुटी
কৌণিক কম্পাংক,कोनीय वारंवारता
কৌণিক ভরবেগ,कोनीय गती
কৌণিক গতি,कोनीय गती
কৌণিক বেগ,कोनीय गती
অ্যানিমেশন,अ‍ॅनिमेशन
আনোড,एनोड
আনোড ব্যাটারি,एनोड बॅटरी
অ্যানোড বৈশিষ্ট্য,एनोड वैशिष्ट्य
আনোড সার্কিট,एनोड सर्किट
অ্যানোড অপচয়,एनोड अपव्यय
আনোড দক্ষতা,एनोड कार्यक्षमता
আনোড ইনপুট শক্তি,एनोड इनपुट पॉवर
অ্যানোড মড্যুলেশন,एनोड मॉड्यूलेशन
অ্যান্টেনা,अँटेना
অ্যান্টেনা বিমউইথ,अँटेना बीमविड्थ
অ্যান্টেনা বুস্টার,अँटेना बूस्टर
অ্যান্টেনা চেঞ্জওভার সুইচ,अँटेना चेंजओव्हर स्विच
অ্যান্টেনা কয়েল,अँटेना कॉइल
অ্যান্টেনা কনফিগারেশন,अँटेना कॉन्फिगरेशन
অ্যান্টেনা কাপলার,अँटेना कपलर
অ্যান্টেনা ক্রস পোলার প্যাটার্ন,अँटेना क्रॉस ध्रुवीय नमुना
অ্যান্টেনা কারেন্ট,अँटेना करंट
অ্যান্টেনা ডাইরেক্টিভিটি লাভ,अँटेना डायरेक्टिव्हिटी गेन
অ্যান্টেনা ডুপ্লেক্সার,अँटेना डुप्लेक्सर
অ্যান্টেনা কার্যকর অঞ্চল,अँटेना प्रभावी क्षेत्र
অ্যান্টেনা দক্ষতা,अँटेना कार्यक्षमता
অ্যান্টেনা ফিড,अँटेना फीड
অ্যান্টেনা ফুট প্রিন্ট,अँटेना फूट प्रिंट
এন্টেনা,अँटेना गेन
অ্যান্টেনার উচ্চতা,अँटेना उंची
অ্যান্টেনা প্রতিবন্ধকতা,अँटेना प्रतिबाधा
অ্যান্টেনা ইন্ডাক্ট্যান্স,अँटेना इंडक्टन्स
অ্যান্টেনা প্যাটার্ন,अँटेना पॅटर्न
অ্যান্টেনা প্লেক্সার,अँटेना प्लेक्सर
অ্যান্টেনা মেরুকরণ,अँटेना ध्रुवीकरण
অ্যান্টেনা শক্তি,अँटेना पॉवर
অ্যান্টেনা পাওয়ার লাভ,अँटेना पॉवर गेन
অ্যান্টেনা বিকিরণ প্রতিরোধের,अँटेना रेडिएशन प्रतिरोध
অ্যান্টেনা প্রতিক্রিয়া,अँटेना रिएक्टन्स
অ্যান্টেনা প্রতিচ্ছবি,अँटेना परावर्तक
অ্যান্টেনা প্রতিরোধের,अँटेना प्रतिकार
অ্যান্টেনা অনুরণিত ফ্রিকোয়েন্সি,अँटेना रेझोनंट वारंवारता
অ্যান্টেনা ব্যবধান,अँटेना स्पेसिंग
অ্যান্টেনা স্যুইচিং রুম,अँटेना स्विचिंग रूम
অ্যান্টেনা টিউনিং কয়েল,अँटेना ट्यूनिंग कॉइल
অ্যান্টেনা টিউনিং হাট,अँटेना ट्यूनिंग झोपडी
অ্যাপারচার,छिद्र
অপোজি,अपोजी
অ্যাপোজি রকেট,अपोजी रॉकेट
যন্ত্রপাতি,उपकरणे
আপাত,उघड
অ্যাপলেট,Let पलेट
আবেদন,अर्ज
আনুমানিক,अंदाजे
জলীয় সমাধান,जलीय द्रावण
আর্ক,कंस
আর্কিটেকচার,आर्किटेक्चर
সাউন্ড রেকর্ডিংয়ের সংরক্ষণাগার স্থানান্তর,ध्वनी रेकॉर्डिंगचे संग्रहण हस्तांतरण
সংরক্ষণাগার,संग्रहण
গাণিতিক কোডিং,अंकगणित कोडिंग
আর্মার,आर्मेचर
আর্ম্যাচার বাতাস,आर्मेचर विंडिंग
অ্যারে,रचना
অ্যারেস্টার,अरेस्टर
বক্তৃতা,बोलता
আর্টিফ্যাক্ট (= আর্টফ্যাক্ট),कलाकृती (= कलाकृती)
আরোহী,चढत्या
আনুমানিক অনুপাত,प्रसर गुणोत्तर
এসেম্বলার,असेंबलर
দাবী,प्रतिपादन
অ্যাসাইনমেন্ট,असाइनमेंट
অ্যাসাইনমেন্ট চ্যানেল,असाइनमेंट चॅनेल
অসম্পূর্ণ,असममित
অ্যাসিঙ্ক্রোনাস,एसिन्क्रोनस
বায়ুমণ্ডল,वातावरण
বায়ুমণ্ডলীয় ক্ষতি,वातावरणीय नुकसान
বায়ুমণ্ডলীয় শব্দ,वातावरणीय आवाज
বায়ুমণ্ডলীয় চাপ,वातावरणीय दबाव
বায়ুমণ্ডলীয় প্রচার,वातावरणीय प्रसार
বায়ুমণ্ডলীয় রেডিও-তরঙ্গ,वातावरणीय रेडिओ-वेव्ह
বায়ুমণ্ডল,वातावरण
পরমাণু,अणू
পারমাণবিক গঠন,अणु रचना
সংযুক্তি,संलग्नक
মনোযোগ,क्षीणन
মনোযোগ ক্ষতি,क्षमतेचे नुकसान
শব্দ তরঙ্গের মনোযোগ,ध्वनी लहरींचे लक्ष वेधणे
অ্যাটেনুয়েটর,अ‍ॅटेन्युएटर
অ্যাটেনুয়েটর-প্যাড,अ‍ॅटेन्युएटर-पॅड
অডিবিলিটি থ্রেশহোল্ড,ऑडिबिलिटी थ्रेशोल्ड
শ্রুতিমধুর,ऐकण्यायोग्य
শ্রুতিমধুর ফ্রিকোয়েন্সি,ऐकण्यायोग्य वारंवारता
শ্রুতিমধুর সুর,ऐकण्यायोग्य टोन
শ্রুতি-বর্ণালী,ऐकण्यायोग्य-स्पेक्ट्रम
শ্রোতা,प्रेक्षक
শ্রুতি,ऑडिओ
অডিও পরিবর্ধক,ऑडिओ एम्पलीफायर
অডিও বিশ্লেষক,ऑडिओ विश्लेषक
অডিও সম্প্রচার,ऑडिओ प्रसारण
অডিও কেবল,ऑडिओ केबल
অডিও চেইন,ऑडिओ साखळी
অডিও কোডেক,ऑडिओ कोडेक
অডিও সংক্ষেপণ,ऑडिओ कॉम्प्रेशन
অডিও সংক্ষেপক,ऑडिओ कॉम्प्रेसर
অডিও কনসোল,ऑडिओ कन्सोल
অডিও বিকৃতি,ऑडिओ विकृती
অডিও গতিশীল পরিসীমা,ऑडिओ डायनॅमिक श्रेणी
অডিও ফাইল ফর্ম্যাট,ऑडिओ फाइल स्वरूप
অডিও ফ্রেম ফর্ম্যাট,ऑडिओ फ्रेम स्वरूप
অডিও ফ্রিকোয়েন্সি পরিবর্ধক,ऑडिओ फ्रिक्वेन्सी एम्पलीफायर
অডিও ফ্রিকোয়েন্সি জেনারেটর,ऑडिओ फ्रिक्वेन्सी जनरेटर
অডিও ফ্রিকোয়েন্সি ব্যাপ্তি,ऑडिओ वारंवारता श्रेणी
অডিও ফ্রিকোয়েন্সি প্রতিক্রিয়া,ऑडिओ वारंवारता प्रतिसाद
অডিও সীমাবদ্ধ,ऑडिओ लिमिटर
অডিও লাইন,ऑडिओ लाइन
অডিও মিক্সার,ऑडिओ मिक्सर
অডিও মড্যুলেশন,ऑडिओ मॉड्यूलेशन
অডিও দোলক,ऑडिओ ऑसीलेटर
অডিও আউটপুট,ऑडिओ आउटपुट
অডিও শক্তি,ऑडिओ पॉवर
অডিও মানের,ऑडिओ गुणवत्ता
অডিও সংকেত,ऑडिओ सिग्नल
অডিও সিগন্যাল প্রসেসিং,ऑडिओ सिग्नल प्रक्रिया
অডিও বর্ণালী,ऑडिओ स्पेक्ट्रम
অডিও স্টোরেজ,ऑडिओ स्टोरेज
অডিও সাব-ক্যারিয়ার,ऑडिओ सब-कॅरियर
অডিও ট্রান্সফর্মার,ऑडिओ ट्रान्सफॉर्मर
অডিও ট্রান্সমিটার,ऑडिओ ट्रान्समीटर
অডিও/ভিডিও সংক্ষেপণ,ऑडिओ/व्हिडिओ कॉम्प्रेशन
অডিও-ফ্রিকোয়েন্সি দোলক,ऑडिओ-फ्रिक्वेन्सी ऑसीलेटर
অডিও-ফ্রিকোয়েন্সি সিগন্যাল,ऑडिओ-फ्रिक्वेन्सी सिग्नल
অডিওমেট্রি,ऑडिओमेट्री
অডিও-ভিজ্যুয়াল সহায়তা,ऑडिओ-व्हिज्युअल मदत
শ্রুতি উপলব্ধি,श्रवणविषयक समज
প্রমাণীকরণ,प्रमाणीकरण
অনুমোদিত ক্যারিয়ার ফ্রিকোয়েন্সি,अधिकृत वाहक वारंवारता
অটো ক্যাড,ऑटो कॅड
অটো ডায়াগনস্টিকস,ऑटो डायग्नोस्टिक्स
স্বয়ংক্রিয়,स्वयंचलित
স্বয়ংক্রিয় নিয়ন্ত্রণ,स्वयंचलित नियंत्रण
স্বয়ংক্রিয় সনাক্তকরণ,स्वयंचलित शोध
স্বয়ংক্রিয় সরঞ্জাম,स्वयंचलित उपकरणे
স্বয়ংক্রিয় ফ্রিকোয়েন্সি নিয়ন্ত্রণ,स्वयंचलित वारंवारता नियंत्रण
স্বয়ংক্রিয় সীমাবদ্ধ,स्वयंचलित मर्यादा
স্বয়ংক্রিয় মেশিন,स्वयंचलित मशीन
স্বয়ংক্রিয় ফ্যাসি নিয়ন্ত্রণ,स्वयंचलित Phasae नियंत्रण
স্বয়ংক্রিয় চিত্র সংক্রমণ,स्वयंचलित चित्र संप्रेषण
স্বয়ংক্রিয় প্লেব্যাক,स्वयंचलित प्लेबॅक
স্বয়ংক্রিয় শক্তি নিয়ন্ত্রণ,स्वयंचलित उर्जा नियंत्रण
স্বয়ংক্রিয় প্রোগ্রামিং,स्वयंचलित प्रोग्रामिंग
স্বয়ংক্রিয় রেকর্ডিং,स्वयंचलित रेकॉर्डिंग
স্বয়ংক্রিয় রিসেট,स्वयंचलित रीसेट
স্বয়ংক্রিয় শাটার,स्वयंचलित शटर
স্বয়ংক্রিয় সিস্টেম,स्वयंचलित प्रणाली
স্বয়ংক্রিয় টেলিফোন,स्वयंचलित टेलिफोन
স্বয়ংক্রিয় তাপমাত্রা নিয়ন্ত্রণ,स्वयंचलित तापमान नियंत्रण
স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রক,स्वयंचलित व्होल्टेज नियामक
স্বয়ংক্রিয় ভলিউম সংক্ষেপক,स्वयंचलित व्हॉल्यूम कॉम्प्रेसर
স্বয়ংক্রিয় ভলিউম নিয়ন্ত্রণ,स्वयंचलित व्हॉल्यूम नियंत्रण
স্বয়ংক্রিয় ভলিউম এক্সপেন্ডার,स्वयंचलित व्हॉल्यूम विस्तारक
অটোমেশন,ऑटोमेशन
অটোমেশন নিয়ন্ত্রণ,ऑटोमेशन नियंत्रण
অটোমেশন ফ্রিকোয়েন্সি নিয়ামক,ऑटोमेशन फ्रिक्वेन्सी कंट्रोलर
সহায়ক,सहाय्यक
সহায়ক অডিও বাস,सहाय्यक ऑडिओ बस
উপলব্ধ শক্তি,उपलब्ध शक्ती
তুষারপাত ভাঙ্গন,हिमस्खलन ब्रेकडाउन
গড় আয়ু,सरासरी जीवन
গড় চাপ,सरासरी दबाव
গড় গতি,सरासरी वेग
স্পিনের অক্ষ,फिरकीची अक्ष
আজিমুথ,अजीमुथ
আজিমুথ কোণ,अजीमुथ कोन
আজিমুথ ত্রুটি,अजीमुथ त्रुटी
পিছনে আলো,मागे प्रकाश
পিছনে অভিক্ষেপ,बॅक प्रोजेक्शन
ব্যাক ভোল্টেজ (= বিপরীত ভোল্টেজ),बॅक व्होल्टेज (= रिव्हर्स व्होल्टेज)
ব্যাকফায়ার (আর্ক ব্যাক),बॅकफायर (आर्क बॅक)
পটভূমি আলো,पार्श्वभूमी प्रकाश
পিছনের শব্দ,पार्श्वभूमी आवाज
পটভূমি প্রক্ষেপণ,पार्श्वभूमी प्रोजेक्शन
ব্যাকআপ,बॅकअप
বাফেল,बफल
বেকিং,बेकिंग
সুষম অডিও,संतुलित ऑडिओ
ভারসাম্যহীন অডিও লাইন,संतुलित ऑडिओ लाइन
সুষম সংক্রমণ লাইন,संतुलित ट्रान्समिशन लाइन
ভারসাম্য,संतुलन
ব্যালাস্ট,गिट्टी
ব্যালাস্ট ফ্যাক্টর,गिट्टी फॅक्टर
বালুন,बालुन
ব্যান্ড,बँड
ব্যান্ড পাস ফিল্টার,बँड पास फिल्टर
ব্যান্ড নির্বাচক,बँड निवडकर्ता
ব্যান্ড বিভাজন,बँड स्प्लिटिंग
ব্যান্ড স্টপ ফিল্টার,बँड स्टॉप फिल्टर
ব্যান্ড সুইচ,बँड स्विच
ব্যান্ড টিউনিং,बँड ट्यूनिंग
ব্যান্ডউইথ,बँडविड्थ
বার,बार
বার কোড,बार कोड
বার ডেটা,बार डेटा
বেয়ার ব্যান্ড,बेअर बँड
বেয়ার ল্যাম্প,बेअर दिवा
শস্যাগার দরজা,धान्याचे कोठार
বেস ব্যান্ড,बेस बँड
বেস ব্যান্ড সিগন্যাল,बेस बँड सिग्नल
বেস ব্যান্ড সিস্টেম,बेस बँड सिस्टम
বেস ব্রাউজার,बेस ब्राउझर
বেস কালেক্টর জংশন,बेस कलेक्टर जंक्शन
বেস ইনসুলেটর,बेस इन्सुलेटर
বাস,बास
বাস ক্ষতিপূরণ,बास भरपाई
বাস লাউডস্পিকার (ওফার),बास लाऊडस्पीकर (वूफर)
ব্যাচ স্ক্যানিং,बॅच स्कॅनिंग
ব্যাটারি চার্জ হইতেছে,बॅटरी चार्जिंग
মরীচি,तुळई
বীট,बीट
বীট ফ্রিকোয়েন্সি দোলক,बीट फ्रिक्वेन्सी ऑसीलेटर
বেল,बेल
পক্ষপাত,पूर्वाग्रह
বায়াস সার্কিট,बायस सर्किट
বায়াস ফ্রিকোয়েন্সি,पूर्वाग्रह वारंवारता
অত্যাধিক ভোল্টেজ,बायस व्होल्टेज
সামনের দিকে পক্ষপাতদুষ্ট,पुढील दिशेने पक्षपाती
দ্বি-দিকনির্দেশক মাইক্রোফোন,द्वि-दिशात्मक मायक्रोफोन
বিলবোর্ড,बिलबोर्ड
বিলবোর্ড অ্যাপ্লিকেশন,बिलबोर्ड अर्ज
দ্বি-ধাতব উপাদান,द्वि-धातूचा घटक
বাইনারি,बायनरी
বাইনারি কোডেড দশমিক,बायनरी कोडित दशांश
বাইনারি অঙ্ক (বিট),बायनरी अंक (बिट)
বাইনারি সংখ্যা,बायनरी नंबर
বাইনোরাল শুনানি,बिनौरल सुनावणी
বাইনোকুলার,दुर्बिणी
বায়োমেট্রিক,बायोमेट्रिक
বাইপোলার ট্রানজিস্টর,द्विध्रुवीय ट्रान्झिस्टर
বিট বরাদ্দ,बिट वाटप
বিট রেট,बिट रेट
কালো এবং সাদা টিভি,काळा आणि पांढरा टीव्ही
ফাঁকা,रिक्त
ফাঁকা ব্যবধান,ब्लँकिंग मध्यांतर
ব্ল্যাঙ্কিং স্তর,ब्लँकिंग लेव्हल
ব্লিডার প্রতিরোধের,ब्लेडर रेझिस्टन्स
ব্লিমড ক্যামেরা,ब्लिम्पेड कॅमेरा
অন্ধ ঝলক,आंधळे चकाकी
পলক,डोळे मिचकावणे
জ্বলজ্বল,डोळे मिचकावणे
ব্লক কোড,ब्लॉक कोड
ব্লক ডায়াগ্রাম,ब्लॉक आकृती
ব্লক ইন্টারলিভ,ब्लॉक इंटरलीव्ह
ব্লকিং ক্যাপাসিটার,कॅपेसिटर अवरोधित करणे
দোলক ব্লক করা,ऑसीलेटर अवरोधित करणे
পুষ্প,ब्लूम
ল্যাম্প ব্লো,ब्लो दिवा
পাইপ ব্লো,ब्लो पाईप
ব্লোয়ার,ब्लोअर
ব্লুটুথ,ब्लूटूथ
দেহ ক্যাপাসিট্যান্স,बॉडी कॅपेसिटन्स
বুকমার্ক,बुकमार्क
বুলিয়ান বীজগণিত,बुलियन बीजगणित
বুম,भरभराट
প্রচার করা,चालना
বুস্টার,बूस्टर
বুস্টার লাইট,बूस्टर लाइट
বুস্টিং,चालना
বুটিং,बूटिंग
বুটস্ট্র্যাপ,बूटस्ट्रॅप
নীচে আলো,तळाशी प्रकाश
বাউন্স লাইট,बाउन्स लाइट
ভাঙ্গা,यंत्रातील बिघाड
ভাঙ্গন ভোল্টেজ,व्होल्टेज खाली करा
সেতু উপাদান,पूल घटक
সেতু সংশোধনকারী,ब्रिज रेक्टिफायर
ব্রিজযুক্ত ‘টি’ অ্যাটেনুয়েটর,ब्रिज केलेले ‘टी’ अ‍ॅटेन्युएटर
ব্রিজযুক্ত কাঠামো,ब्रिज केलेली रचना
ব্রিজিং,ब्रिजिंग
ব্রিজিং এম্প্লিফায়ার,ब्रिजिंग एम्पलीफायर
ব্রিজিং ক্ষতি,ब्रिजिंग लॉस
উজ্জ্বলতা,चमक
উজ্জ্বলতা নিয়ন্ত্রণ,ब्राइटनेस कंट्रोल
ভঙ্গুর,ठिसूळ
ভঙ্গুর পদার্থ,ठिसूळ पदार्थ
ব্রডব্যান্ড,ब्रॉडबँड
ব্রডব্যান্ড পরিবর্ধক,ब्रॉडबँड एम्पलीफायर
ব্রডব্যান্ড আইএসডিএন,ब्रॉडबँड आयएसडीएन
ব্রডব্যান্ড সিস্টেম,ब्रॉडबँड सिस्टम
সম্প্রচার এবং যোগাযোগ প্রযুক্তি,प्रसारण आणि संप्रेषण तंत्रज्ञान
সম্প্রচার কভারেজ,प्रसारण कव्हरेज
সম্প্রচার গ্রহনকারী যন্ত্র,ब्रॉडकास्ट रिसीव्हर
সম্প্রচার পরিষেবা পরিকল্পনা,प्रसारण सेवा नियोजन
সম্প্রচার ট্রান্সমিটার,ब्रॉडकास्ट ट्रान्समीटर
সম্প্রচারক,प्रसारक
সম্প্রচার,प्रसारण
সম্প্রচার কেন্দ্র,प्रसारण स्टेशन
ভাঙ্গা,तुटलेली
ব্রাউজার,ब्राउझर
ব্রাউজিং,ब्राउझिंग
বুদ্বুদ,बबल
বাফার,बफर
বাফার পরিবর্ধক,बफर एम्पलीफायर
বাফার টিউব,बफर ट्यूब
বাগ,किडा
অন্তর্নির্মিত অ্যান্টেনা,अंगभूत अँटेना
বার্নার,बर्नर
জ্বলন্ত,बर्निंग
