Hindi,Kannada
वैकल्पिक इष्टमत,ಪರ್ಯಾಯ ಆಪ್ಟಿಮಮ್
वैकल्पिक परिणाम,ಪರ್ಯಾಯ ಫಲಿತಾಂಶ
अनुरूप-अंकीय परिवर्तक,ಅನಲಾಗ್-ಅಂಕಿಯ ಪರಿವರ್ತಕ
"अनुरूप कम्प्यूटर,",ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್
विश्लेषण,ವಿಶ್ಲೇಷಣೆ
सहप्रसरण-विश्लेषण,ಸಹವರ್ತಿ ವಿಶ್ಲೇಷಣೆ
गणन-आंकड़ों का विश्लेषण,ಎಣಿಕೆ-ಡೇಟಾ ವಿಶ್ಲೇಷಣೆ
प्रसरण-विश्लेषण,ವ್ಯತ್ಯಾಸ ವಿಶ್ಲೇಷಣೆ
विश्लेषिक ज्यामिति,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಜ್ಯಾಮಿತಿ
विश्लेषिक फलन,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಕಾರ್ಯ
कोण,ಕೋನ
स्पर्श-कोण,ಸ್ಪರ್ಶ ಕೋನ
विक्षेप-कोण,ವಿಚಲನ ಕೋನ
अवनमन-कोण,ಖಿನ್ನತೆಯ ಕೋನ
विचलन-कोण,ವಿಚಲನ ಕೋನ
विवर्तन-कोण,ವಿವರ್ತನೆಯ ಕೋನ
उन्नयन-कोण,ಎತ್ತರದ ಕೋನ
आपतन-कोण,ಘಟನೆಯ ಕೋನ
प्रक्षेप-कोण,ಪ್ರೊಜೆಕ್ಷನ್ ಕೋನ
परावर्तन-कोण,ಪ್ರತಿಬಿಂಬದ ಕೋನ
अपवर्तन-कोण,ವಕ್ರೀಭವನದ ಕೋನ
घूर्णन-कोण,ತಿರುಗುವ ಕೋನ
पूर्ण परावर्तन-कोण,ಪ್ರತಿಫಲನದ ಸಂಪೂರ್ಣ ಕೋನ
कोणीय त्वरण,ಕೋನೀಯ ವೇಗವರ್ಧನೆ
कोणीय गति,ಕೋನೀಯ ವೇಗ
कोणीय चाल,ಕೋನೀಯ ವೇಗ
कोणीय वेग,ಕೋನೀಯ ವೇಗ
वलयिका,ಉಂಗುರದ ಬೆರಳು
उत्तर,ಉತ್ತರ
प्रति-अवकलज,ಕೌಂಟರ್ ಉತ್ಪನ್ನ
प्रतिसममित फलन,ಸಮಮಾಪನ ಕಾರ್ಯ
"आच्छाद्य , अनु प्रयोज्य, लागू","ಆವರಿಸಬಹುದಾದ, ಅನ್ವಯಿಸುವ, ಅನ್ವಯಿಸುವ"
"अनुप्रयोग उपयोजन,",ಅರ್ಜಿ ಅರ್ಜಿ
अनुप्रयुक्त गतिशील प्रोग्रामन,ಅನ್ವಯಿಕ ಡೈನಾಮಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
अनुप्रयुक्त ज्यामिति,ಅನ್ವಯಿಕ ಜ್ಯಾಮಿತಿ
अनुप्रयुक्त गणित,ಅನ್ವಯಿಕ ಗಣಿತ
अनुप्रयुक्त सांख्यिकी,ಅನ್ವಯಿಕ ಅಂಕಿಅಂಶಗಳು
"सन्निकटतः, लगभग","ಸರಿಸುಮಾರು, ಸರಿಸುಮಾರು"
सन्निकटतः संतत फलन,ಸರಿಸುಮಾರು ನಿರಂತರ ಕಾರ್ಯ
"स्थूल विधि, सन्निकट विधि","ಮ್ಯಾಕ್ರೋ ವಿಧಾನ, ಅಂದಾಜು ವಿಧಾನ"
सन्निकट हल,ಅಂದಾಜು ಪರಿಹಾರ
सन्निकटन-समस्या,ಅಂದಾಜು ಸಮಸ್ಯೆ
सन्निकटन-गुणधर्म,ಅಂದಾಜು ಆಸ್ತಿ
अभिक्षमता-परीक्षावली,ಯೋಗ್ಯತಾ ಪರೀಕ್ಷೆ
आरगाँ आरेख,ಆರ್ಗಾನ್ ರೇಖಾಚಿತ್ರ
स्वेच्छगहीतृ,ಸ್ವಯಂಪ್ರೇರಿತ
"स्वेच्छ, यादृच्छिक","ಯಾದೃಚ್ಛಿಕ, ಯಾದೃಚ್ಛಿಕ"
स्वेच्छ अचर,ಅನಿಯಂತ್ರಿತ ಸ್ಥಿರ
स्वेच्छ अवयव,ಉಚಿತ ಅಂಶ
स्वेच्छ बिन्दु,ಅನಿಯಂತ್ರಿತ ಬಿಂದು
आर्किमीडी नियम,ಆರ್ಕಿಮಿಡೀಸ್ ಕಾನೂನು
आर्किमीडीज़ का नियम,ಆರ್ಕಿಮಿಡಿಸ್ ಕಾನೂನು
"चाप-दैर्घ्य, चाप-लम्बाई","ಚಾಪ-ಉದ್ದ, ಚಾಪ-ಉದ್ದ"
वत्तृ चाप,ವೃತ್ತದ ಚಾಪ
प्रतिलोम ज्या बंटन,ವಿಲೋಮ ಸೈನ್ ವಿತರಣೆ
प्रतिलोम ज्या रूपांतरण,ವಿಲೋಮ ಸೈನ್ ಪರಿವರ್ತನೆ
" क्षेत्र , क्षेत्रफल","ಪ್ರದೇಶ, ಪ್ರದೇಶ"
क्षेत्रीय विन्यास,ಪ್ರಾದೇಶಿಕ ಸಂರಚನೆ
सम्मिश्र संख्या का कोणांक,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಯ ಕೋನ
समांतर माध्य,ಅಂಕಗಣಿತದ ಸರಾಸರಿ
अंकीय संक्रिया,ಡಿಜಿಟಲ್ ಕಾರ್ಯಾಚರಣೆ
अंकीय एकक,ಡಿಜಿಟಲ್ ಘಟಕ
"विन्यास, व्यवस्था","ಸಂರಚನೆ, ವ್ಯವಸ್ಥೆ"
"व्यूह , सरणी","ವ್ಯೂಹ, ವ್ಯೂಹ"
कृत्रिम उपग्रह,ಕೃತಕ ಉಪಗ್ರಹ
कृत्रिम चर,ಕೃತಕ ವೇರಿಯಬಲ್
आरोहण करना,ಏರಲು
आरोही,ಆರೋಹಣ
परिमाण का आरोही क्रम,ಪರಿಮಾಣದ ಆರೋಹಣ ಕ್ರಮ
आरोही श्रेणी,ಆರೋಹಣ ದರ್ಜೆ
कोडांतरक भाषा,ಅಸೆಂಬ್ಲರ್ ಭಾಷೆ
"नियतन समस्या नियतन प्रश्न,",ನಿಯೋಜನೆ ಸಮಸ್ಯೆ ನಿಯೋಜನೆ ಪ್ರಶ್ನೆ
साहचर्य नियम,ಸಹಾಯಕ ನಿಯಮ
संकारकों का साहचर्य नियम,ನಿರ್ವಾಹಕರ ಸಹಾಯಕ ನಿಯಮ
साहचर्य-संक्रिया,ಸಹಾಯಕ ಕಾರ್ಯಾಚರಣೆ
सहचारिता,ಒಡನಾಟ
कल्पित माध्य,ಸರಾಸರಿ ಊಹಿಸಲಾಗಿದೆ
कल्पित प्रायिकता बंटन,ಸಂಭವನೀಯತೆಯ ವಿತರಣೆಯನ್ನು ಊಹಿಸಲಾಗಿದೆ
" कल्पना , गृहीत,","ಕಲ್ಪಿಸಿಕೊಂಡ, ಒಪ್ಪಿಕೊಂಡ"
ज्योतिष,ಜ್ಯೋತಿಷ್ಯ
"अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता,",ಗಗನಯಾತ್ರಿ ಎಂಜಿನಿಯರ್ ಬಾಹ್ಯಾಕಾಶ ಎಂಜಿನಿಯರ್
खगोलज्ञ*,ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ*
खगोलीय घड़ी,ಖಗೋಳ ಗಡಿಯಾರ
खगोलिकी,ಖಗೋಳಶಾಸ್ತ್ರ
असममित वक्र,ಅಸಮಪಾರ್ಶ್ವದ ಕರ್ವ್
असममिति,ಅಸಿಮ್ಮೆಟ್ರಿ
अनंतस्पर्शी,ಲಕ್ಷಣರಹಿತ
उपगामी,ಉಲ್ಬಣಗೊಳಿಸುತ್ತಿದೆ
उपगामी दक्ष आकलक,ಪ್ರಗತಿಪರ ಅಂದಾಜುಗಾರ
उपगामी अनभिनत आकलक,ಹಿಮ್ಮುಖ ಪಕ್ಷಪಾತದ ಅಂದಾಜುಗಾರ
उपगामी आचरण,ಹಿಮ್ಮುಖ ನಡವಳಿಕೆ
उपगामी बंटन-फलन,ಆಕ್ರಮಣಕಾರಿ ವಿತರಣಾ ಕಾರ್ಯ
उपगामी प्रसार,ಮೇಲ್ಮುಖವಾಗಿ ಹರಡಿತು
वायु मंडलीय दाब,ವಾತಾವರಣದ ಒತ್ತಡ
"यदृच्छया,",ಯಾದೃಚ್ಛಿಕವಾಗಿ
गुण*,ಆಸ್ತಿ*
गुण-प्रतिचयन-क्रियाविधि,ಗುಣಲಕ್ಷಣ-ಮಾದರಿ-ಯಾಂತ್ರಿಕತೆ
संवर्धित आव्यूह,ವರ್ಧಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್
स्वसहसंबंध गुणांक,ಸ್ವಯಂ ಸಂಬಂಧ ಗುಣಾಂಕ
स्वसहसंबंध फलन,ಸ್ವಯಂ ಸಂಬಂಧ ಕಾರ್ಯ
स्वसहप्रसरण,ಸಹವರ್ತಿತ್ವ
स्वचालित अभिकलित्र,ಸ್ವಯಂಚಾಲಿತ ಕಂಪ್ಯೂಟರ್
स्वसमाश्रयण,ಸ್ವಯಂ ಹಿನ್ನಡೆ
सहायक समीकरण,ಸಹಾಯಕ ಸಮೀಕರಣ
माध्य प्रतिदर्श संख्या वक्र (मा.प्र.सं. वक्र),ಸರಾಸರಿ ಮಾದರಿ ಸಂಖ್ಯೆ ಕರ್ವ್ (MPC ಕರ್ವ್)
" स्वयंसिद्‌ध , अभिगृहीत","ಮೂಲತತ್ವ, ಮೂಲತತ್ವ"
अभिगहीती दृष्टिकोण,ಮೂಲತತ್ವ ವಿಧಾನ
प्रायिकता अभिगृहीत,ಸಂಭವನೀಯತೆಯ ಮೂಲತತ್ವ
अक्ष,ಅಕ್ಷರೇಖೆ
भुजाक्ष,ಭುಜಾಕ್ಷ
भू-अक्ष,ಭೂಮಿಯ ಅಕ್ಷ
परिक्रमण-अक्ष,ತಿರುಗುವ ಅಕ್ಷ
घूर्णन अक्ष,ತಿರುಗುವಿಕೆಯ ಅಕ್ಷ
प्रचक्रण-अक्ष,ಸ್ಪಿನ್ ಅಕ್ಷ
पश्च-प्रतिस्थापन,ಪೋಸ್ಟ್ ಬದಲಿ
पश्चांतर,ನಂತರ
पश्च अंतर्वेशन-सूत्र,ಹಿಂದಿನ ಅಳವಡಿಕೆ ಸೂತ್ರ
"तुला, तराजू , संतु लन , शेष, बाकी , संतुलित होना, संतुलित करना","ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ"
संतुलित अभिकल्पना,ಸಮತೋಲಿತ ವಿನ್ಯಾಸ
तुलन-पत्र,ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್
प्रक्षेपास्त्र,ಕ್ಷಿಪಣಿ
"प्राक्षेपिकी, अस्त्र विज्ञान","ಬ್ಯಾಲಿಸ್ಟಿಕ್ಸ್, ಶಸ್ತ್ರಾಸ್ತ್ರ"
" स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी , रोधिका, भित्ति , बार , रेखा, रेखिका , परीक्षण रेखा, धार","ಕಾಲಮ್, ಬಾರ್, ಕಾಬ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಲೈನ್, ಲೈನ್, ಟೆಸ್ಟ್ ಲೈನ್, ಎಡ್ಜ್"
"आधार , क्षारक , अधम , मूल , बेस","ಬೇಸ್, ಬೇಸ್, ಬೇಸ್, ಬೇಸ್, ಬೇಸ್"
आधार कोण,ಮೂಲ ಕೋನ
"लघुगणक का आधार, लॉगरिथ्म का आधार","ಲಾಗರಿಥಮ್ನ ಆಧಾರ, ಲಾಗರಿಥಮ್ನ ಆಧಾರ"
"आधारी, मूल,","ಮೂಲಭೂತ, ಮೂಲಭೂತ"
आधारी सुसंगत हल,ಮೂಲ ಸುಸಂಬದ್ಧ ಪರಿಹಾರ
आधारी हल,ಮೂಲ ಪರಿಹಾರ
आधारी चर,ಮೂಲ ವೇರಿಯಬಲ್
आधारक,ಬೇಸ್
आधार अवयव,ಮೂಲ ಅಂಶ
आधारी आव्यूह,ಮೂಲ ಮ್ಯಾಟ್ರಿಕ್ಸ್
सदिश समष्टि का आधार,ವೆಕ್ಟರ್ ಜಾಗದ ಆಧಾರ
उपसमष्टि का आधार,ಉಪಜನಸಂಖ್ಯೆಯ ಆಧಾರ
बेज़-आकल,ನಿರ್ಲಜ್ಜ
बेज़-नियम,ಬೆಜ್-ನಿಯಮ
बेज़-प्रमेय,ಬೆಜ್-ಪ್ರಮೇಯ
बर्नूली-बंटन,ಬರ್ನೌಲಿ-ವಿತರಣೆ
बर्नूली संख्या,ಬರ್ನೌಲ್ಲಿ ಸಂಖ್ಯೆಗಳು
बर्नूली प्रायिकता-फलन,ಬರ್ನೌಲ್ಲಿ ಸಂಭವನೀಯತೆ ಕಾರ್ಯ
बर्नूली-समीकरण,ಬರ್ನೌಲ್ಲಿ-ಸಮೀಕರಣ
बेरी फलन,ಬೆರ್ರಿ ಕಾರ್ಯ
श्रेष्ठतम आसंजन,ಅತ್ಯುತ್ತಮ ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
श्रेष्ठतम आसंजन रेखा,ಅತ್ಯುತ್ತಮ ಅಂಟಿಕೊಳ್ಳುವ ರೇಖೆ
सर्वोत्तम हल,ಉತ್ತಮ ಪರಿಹಾರ
सर्वोत्तम युक्तियाँ,ಅತ್ಯುತ್ತಮ ಸಲಹೆಗಳು
बीटा बंटन,ಬೀಟಾ ವಿತರಣೆ
"अभिनति, बायस","ಪಕ್ಷಪಾತ, ಪಕ್ಷಪಾತ"
अभिनत आकल,ಪಕ್ಷಪಾತದ ಮೌಲ್ಯಮಾಪನ
द्विप्रसंवादी समीकरण,ದ್ವಿಪದ ಸಮೀಕರಣ
एकैकी आच्छादन,ಒಂದೇ ಕವರ್
एकैकी आच्छादी प्रतिचित्र,ಒಂದೇ ಕವರ್ ನಕ್ಷೆ
एकैकी आच्छादी प्रतिचित्रण,ಏಕ ಕವರ್ ಮ್ಯಾಪಿಂಗ್
द्विएकघाती समघात,ಚತುರ್ಭುಜ ಚತುರ್ಭುಜ
द्विरैखिक फलन,ಬೈಲಿನಿಯರ್ ಕಾರ್ಯ
द्विरैखिक हर्मिटीय समघात,ಬೈಲಿನಿಯರ್ ಹರ್ಮಿಟಿಯನ್ ಏಕರೂಪತೆ
"द्वि-चर, द्वि-आधारी, द्वयी","ದ್ವಿ-ವೇರಿಯಬಲ್, ಬೈನರಿ, ಡ್ಯುಯಲ್"
"द्वि-आधारी कोड, द्विआधारी कूट","ಬೈನರಿ ಕೋಡ್, ಬೈನರಿ ಕೋಡ್"
"द्वि-आधारी कूट दशमलव, द्वि-आधारी कोडित दशमलव","ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ, ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ"
द्वि-आधारी कूटलेखन,ಬೈನರಿ ಎನ್ಕೋಡಿಂಗ್
द्वि-आधारी अभिकलित्र,ಬೈನರಿ ಕಂಪ್ಯೂಟರ್
द्वि-आधारी अंक,ಬೈನರಿ ಸಂಖ್ಯೆಗಳು
द्विआधारी संक्रिया,ಬೈನರಿ ಕಾರ್ಯಾಚರಣೆ
द्विआधारी पद्‌धति,ಬೈನರಿ ವಿಧಾನ
द्विआधारी चर,ಬೈನರಿ ವೇರಿಯಬಲ್
द्विपद गुणांक,ದ್ವಿಪದ ಗುಣಾಂಕ
द्विपद बंटन,ದ್ವಿಪದ ವಿತರಣೆ
द्विपद समीकरण,ದ್ವಿಪದ ಸಮೀಕರಣ
द्विपद प्रसरण,ದ್ವಿಪದ ವ್ಯತ್ಯಾಸ
द्विपद व्यंजक,ದ್ವಿಪದ ಅಭಿವ್ಯಕ್ತಿ
द्विपद यादृच्छिक चर,ದ್ವಿಪದ ಯಾದೃಚ್ಛಿಕ ವೇರಿಯಬಲ್
द्विपद-प्रमेय,ದ್ವಿಪದ ಪ್ರಮೇಯ
"अर्धन, द्विभाजन","ಅರ್ಧ, ಕವಲೊಡೆಯುವಿಕೆ"
"समद्विभाजन विधि, अर्धीकरण विधि","ಬೈಸೆಕ್ಟ್ ವಿಧಾನ, ಸೆಮಿಡಿವಿಷನ್ ವಿಧಾನ"
"अर्धक, द्विभाजक",ಅರ್ಧ ದ್ವಿಭಾಜಕ
"द्विपंक्तिक, द्विश्रेणिक","ದ್ವಿಪದ, ದ್ವಿಪದ"
"द्वयंक (द्विआधारी अंक) , अणी, बरमी , टूक","ದ್ವಯಾಂಕ್ (ದ್ವಿಮಾನ ಸಂಖ್ಯೆ), ಅನಿ, ಬರ್ಮೀಸ್, ತುಕ್"
द्विचर द्विपद-बंटन द्विचल,ದ್ವಿಪದ ದ್ವಿಪದ ವಿತರಣೆ ದ್ವಿಪದ
द्विचर सहसंबंध गुणांक,ದ್ವಿಗುಣ ಪರಸ್ಪರ ಸಂಬಂಧ ಗುಣಾಂಕ
द्विचर बंटन,ದ್ವಿಗುಣ ವಿತರಣೆ
द्विचर प्रसामान्य-बंटन,ದ್ವಿಗುಣ ಸಾಮಾನ್ಯ-ವಿತರಣೆ
द्विसदिश,ಬೈವೆಕ್ಟರ್
बोल्ट्मान समीकरण,ಬೋಲ್ಟ್‌ಮನ್ ಸಮೀಕರಣ
बूलीय बीजावली*,ಬೂಲಿಯನ್ ಬೀಜಗಣಿತ*
बोस-आइन्स्टाइन सांख्यिकी,ಬೋಸ್-ಐನ್ಸ್ಟೈನ್ ಅಂಕಿಅಂಶಗಳು
परिसीमा प्रतिबन्ध,ಮಿತಿ ನಿರ್ಬಂಧಗಳು
परिसीमा स्तर,ಗಡಿ ಮಟ್ಟ
परिसीमा रेखा,ಗಡಿ ರೇಖೆ
परिसीमा मान,ಮಿತಿ ಮೌಲ್ಯ
परिसीमा मान समस्या,ಗಡಿ ಮೌಲ್ಯದ ಸಮಸ್ಯೆ
"परिबद्‌ध फलन परिबद्‌ध फल,",ಪರಿಮಿತಿ ಕಾರ್ಯ ಸೀಮಿತ ಹಣ್ಣು
"परिबद्‌ध मैट्रिक्स, परिबद्‌ध आव्यूह परिबद्‌ध सारणी,","ಬೌಂಡೆಡ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್, ಬೌಂಡೆಡ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್, ಬೌಂಡೆಡ್ ಟೇಬಲ್"
"परिबद्‌ध प्रदेश परिबद्‌ध प्रदेश,",ಗಡಿ ಪ್ರದೇಶ ಗಡಿ ಪ್ರದೇಶ
"परिबद्‌ध समच्चय परिबद्‌ध संच,",ಬೌಂಡೆಡ್ ಸೆಟ್ ಬೌಂಡೆಡ್ ಸೆಟ್
ब्राउनी गति,ಬ್ರೌನಿ ಚಲನೆ
परिकलन करना,ಲೆಕ್ಕಾಚಾರ ಮಾಡಲು
परिकलन,ಲೆಕ್ಕಾಚಾರ
"परिकलन-यंत्र, परिकलित्र","ಕ್ಯಾಲ್ಕುಲೇಟರ್, ಕ್ಯಾಲ್ಕುಲೇಟರ್"
परिकलन*,ಲೆಕ್ಕಾಚಾರ*
परिकलनात्मक क्रिया विधि,ಕಂಪ್ಯೂಟೇಶನಲ್ ಕ್ರಿಯೆಯ ವಿಧಾನ
" परिकलित्र , परिकलक","ಕ್ಯಾಲ್ಕುಲೇಟರ್, ಕ್ಯಾಲ್ಕುಲೇಟರ್"
"कलन, कैलकुलस","ಕಲನಶಾಸ್ತ್ರ, ಕಲನಶಾಸ್ತ್ರ"
विचरण-कलन,ವ್ಯತ್ಯಾಸ ಕಲನಶಾಸ್ತ್ರ
कैलोरी,ಕ್ಯಾಲೋರಿಗಳು
निरसन नियम,ನಿಯಮವನ್ನು ರದ್ದುಗೊಳಿಸಿ
विहित समीकरण,ಅಂಗೀಕೃತ ಸಮೀಕರಣ
विहित रूप,ಅಂಗೀಕೃತ ರೂಪ
