English,Telugu
Antiquity,ప్రాచీనకాలం
Anti-rent,వ్యతిరేక అద్దె
Anti-rent,వ్యతిరేక అద్దె
Anti Semitism,సెమిటిజం వ్యతిరేకత
Anzac,అంజాక్
Apella,అపెల్లా
Aralu,అరలు
Arch bishop,ఆర్చ్ బిషప్
Arch duchy,ఆర్చ్ డచీ
Arch duke,ఆర్చ్ డ్యూక్
Archief (=archival collection),ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ)
Archiepiscopate,ఆర్కిపిస్కోపేట్
Aristocracy,దొర
Aristocrat,దొర
Aristocratic snobbery,కులీన స్నోబరీ
Aristotelian,అరిస్టాటిలియన్
Armada,ఆర్మడ
Armada (=The Spanish Armada),ఆర్మడ (=ది స్పానిష్ ఆర్మడ)
Armorist (=armourist),ఆయుధాగాడు (=ఆయుధాకారుడు)
Armour (=armor),కవచం (=కవచం)
Armourist,ఆయుధాగాడు
Aryan,ఆర్యన్
Aryan,ఆర్యన్
Askari,అస్కారి
Assignat,కేటాయించండి
Assize,అసైజ్ చేయండి
Assize,అసైజ్ చేయండి
Assize,అసైజ్ చేయండి
Assize of Arms Act,అసైజ్ ఆఫ్ ఆర్మ్స్ యాక్ట్
Assize of Darrein Presentment,డారీన్ ప్రెజెంట్‌మెంట్ అసైజ్
Assize of Mort 'D' Ancestor,మోర్ట్ &#39;D&#39; పూర్వీకుల అస్సైజ్
Assize of Novel Disseisin,అసైజ్ ఆఫ్ నవల డిస్సీసిన్
Atrocity,దారుణం
Attack,దాడి
Aulic Council,ఆలిక్ కౌన్సిల్
Axe of the Geddess (=the Geddess axe),గెడ్డెస్ యొక్క గొడ్డలి (=ది గెడెస్ గొడ్డలి)
Axis (=The Rome-Berlin-Tokyo Axis),యాక్సిస్ (=ది రోమ్-బెర్లిన్-టోక్యో యాక్సిస్)
Babylon,బాబిలోన్
Babylonian captivity (=Babylonish captivity),బాబిలోనియన్ బందిఖానా (=బాబిలోనియన్ బందిఖానా)
Bacchanal devotee,బచ్చనాల్ భక్తుడు
Bacchanalia,బచ్చనాలియా
Bachelor,బ్రహ్మచారి
Baghdad Pact,బాగ్దాద్ ఒప్పందం
Balkan League,బాల్కన్ లీగ్
Balkan Pact,బాల్కన్ ఒప్పందం
Balkan Wars,బాల్కన్ యుద్ధాలు
Baltic Pact,బాల్టిక్ ఒప్పందం
Bandit,బందిపోటు
Bandung Conference,బాండుంగ్ కాన్ఫరెన్స్
Banishment,బహిష్కరణ
Banner,బ్యానర్
Barbarian,బార్బేరియన్
Barbican,బార్బికన్
Bardoli satyagraha,బార్డోలీ సత్యాగ్రహం
Barn Burners,బార్న్ బర్నర్స్
Baron,బారన్
Baronage,బారోనేజ్
Barones majores,బారోన్స్ మేజర్లు
Barones minores,బారోన్స్ మైనర్లు
Baroness,బారోనెస్
Baronet,బారోనెట్
Baronetage,బారోనెటేజ్
Baronetage,బారోనెటేజ్
Baronetcy,బారోనెట్సీ
Barony,బారోనీ
Barracoon,బారకూన్
Barracoon,బారకూన్
Barricade (=barricado),బారికేడ్ (=బారికాడో)
Barricade (=barricado),బారికేడ్ (=బారికాడో)
Barricade (=barricado),బారికేడ్ (=బారికాడో)
Base camp,మూల శిబిరం
Basilica,బసిలికా
Basilica,బసిలికా
Bastila,బస్తీలా
Bastille,బాస్టిల్
Bastille,బాస్టిల్
Battery,బ్యాటరీ
Battle,యుద్ధం
Batlle-array,బాటిల్-అరే
Battle cry,యుద్ధానికి వెళ్ళే సైనికులు చేసే నినాదాలు
Battle din,బాటిల్ డిన్
Battle field,యుద్ధ క్షేత్రం
Battle hymn,యుద్ధ శ్లోకం
Battle of the Spurs,స్పర్స్ యుద్ధం
Battle of the Standard,స్టాండర్డ్ యుద్ధం
Battleship,యుద్ధనౌక
Battleship-strength,యుద్ధనౌక-బలం
Bayeux tapestry,Bayeux వస్త్రం
Beacon,బెకన్
Beacon tower,బెకన్ టవర్
Beaver,బీవర్
Beaver,బీవర్
Beggars of the sea,సముద్రపు బిచ్చగాళ్ళు
Bellicose,బెల్లికోస్
Bellicose,బెల్లికోస్
Bellicose,బెల్లికోస్
Bellicosity,బెల్లికోసిటీ
Bellona,బెలోనా
Benefice,ప్రయోజనం
Benefit of clergy,మతపెద్దల వల్ల ప్రయోజనం
Benelux,బెనెలక్స్
Berlin Decree,బెర్లిన్ డిక్రీ
Berserker,బెర్సెర్కర్
Besant (=bezant),బెసెంట్ (=బెజాంట్)
Bethel,బేతేలు
Bibliolater,గ్రంథకర్త
Bibliolatry,గ్రంథారాధన
Big Bertha,బిగ్ బెర్తా
Bigot,మతోన్మాదుడు
Billeting,బిల్లేటింగ్
Bill of Attainder,అటెయిండర్ బిల్లు
Bill of Rights,హక్కుల చట్టం
Biographer,జీవిత చరిత్ర రచయిత
Birth stories,జన్మ కథలు
Bivouac,తాత్కాలిక శిబిరం
Bivouac,తాత్కాలిక శిబిరం
Bivouac,తాత్కాలిక శిబిరం
Bizonia,బిజోనియా
Black birding,బ్లాక్ బర్డింగ్
Black flag,నల్ల జండా
Black Hole,కృష్ణ బిలం
Black Hole,కృష్ణ బిలం
Black leg (=scab),నల్ల కాలు (=స్కాబ్)
Black Shirt,నల్ల చొక్కా
Blazon,బ్లజోన్
Blazon,బ్లజోన్
Blazonry,బ్లేజోన్రీ
Blazonry,బ్లజోన్రీ
Blitzkrieg,బ్లిట్జ్‌క్రీగ్
Bloodless Revolution (=Glorious Revolution),రక్తరహిత విప్లవం (=గ్లోరియస్ రివల్యూషన్)
Bloodwite,బ్లడ్వైట్
Bloody Mary,బ్లడీ మేరీ
Blue,నీలం
Blue blood,నీలం రక్తం
Blue book,నీలి పుస్తకం
Blue ribbon,నీలం రంగు రిబ్బన్
Blue ribbon,నీలం రంగు రిబ్బన్
Blues (=Royal Horse Guards),బ్లూస్ (=రాయల్ హార్స్ గార్డ్స్)
Blue Shirt,నీలం చొక్కా
Blue Water School,బ్లూ వాటర్ స్కూల్
Board of Control,బోర్డ్ ఆఫ్ కంట్రోల్
Body armour,శరీర కవచం
Boer,బోయర్
Booty,దోపిడి
Borough,బరో
Bouleuterion,బౌల్యూటేరియన్
Bourbon,బోర్బన్
Boxer rebellion,బాక్సర్ తిరుగుబాటు
Brace,బ్రేస్
Brassard,బ్రాస్సార్డ్
Brassard,బ్రాస్సార్డ్
Bread colonies,బ్రెడ్ కాలనీలు
Breast Plate,బ్రెస్ట్ ప్లేట్
Breast work,రొమ్ము పని
Bretwalda,బ్రెట్వాల్డా
Brigand,బ్రిగాండ్
Brigandage,బ్రిగేండేజ్
British Commonwealth of Nations,బ్రిటిష్ కామన్వెల్త్ ఆఫ్ నేషన్స్
Brown Shirts (=The Nazis),బ్రౌన్ షర్ట్స్ (=నాజీలు)
Brussels Treaty (Pact) organisation (=Western Europeon union),బ్రస్సెల్స్ ట్రీటీ (పాక్ట్) సంస్థ (=వెస్ట్రన్ యూరోపియన్ యూనియన్)
Buff,యెదురు
Buff,యెదురు
Buff-coat,బఫ్-కోటు
Buffs,బఫ్స్
Bule (=council),బులే (=మండలి)
Burgage,బర్గేజ్
Burgess,బర్గెస్
Byzantine,బైజాంటైన్
Byzantine church,బైజాంటైన్ చర్చి
Byzantine Empire,బైజాంటైన్ సామ్రాజ్యం
Byzantine Era,బైజాంటైన్ యుగం
Byzantine historians,బైజాంటైన్ చరిత్రకారులు
Cabal,కాబాల్
Caesarism,సీజరిజం
Caliph,ఖలీఫ్
Calligrapher,కాలిగ్రాఫర్
Calligraphist,కాలిగ్రాఫిస్ట్
Calligraphy,కాలిగ్రఫీ
Caltrop,కాల్ట్రాప్
Camaraderie,సాహచర్యం
Camarilla,కమరిల్లా
Camarilla,కమరిల్లా
Camelaucum,కామెలాకమ్
Camouflage,మభ్యపెట్టడం
Campaign,ప్రచారం
Camp follower,క్యాంపు అనుచరుడు
Campo santo,కాంపో శాంటో
Campus martius,క్యాంపస్ మార్టియస్
Canephora,కనెఫోరా
Cangue,కంగు
Cannonade,ఫిరంగి
Cannon fodder,ఫిరంగి మేత
Canon,కానన్
Canon law,కానన్ చట్టం
Canopus decree,కానోపస్ డిక్రీ
Canting arms,ఆయుధాలు పట్టుకోవడం
Captive,బందీ
Captor,కాప్టర్
Cardinal,కార్డినల్
Carl,కార్ల్
Carolingian dynasty,కరోలింగియన్ రాజవంశం
Carthusian sect,కార్తుసియన్ శాఖ
Cartosa,కార్టోసా
Castelian,కాస్టేలియన్
Castelian,కాస్టేలియన్
Caste system,కుల వ్యవస్థ
Castle,కోట
Castle,కోట
Castle town,కోట పట్టణం
Castra,కాస్ట్రా
Castra,కాస్ట్రా
Cathedra,కేథడ్రా
Cathedral,కేథడ్రల్
Cato Street conspiracy,కాటో స్ట్రీట్ కుట్ర
Caudillo,కౌడిల్లో
Cavalier,కావలీర్
Cavalier,కావలీర్
Cavalier Parliament,కావలీర్ పార్లమెంట్
Cave of Adullam,అదుల్లాం గుహ
Cave painting,గుహ పెయింటింగ్
Cave painting,గుహ పెయింటింగ్
Centumvir,సెంటంవిర్
Centurion,సెంచూరియన్
Century,సెంచరీ
Chain armour (=chain mail),చైన్ ఆర్మర్ (=చైన్ మెయిల్)
Chantry,చాంట్రీ
Chantry,చాంట్రీ
Chap book,చాప్ పుస్తకం
Chaplain,చాప్లిన్
Chapter,అధ్యాయం
Chapter of accidents,ప్రమాదాల అధ్యాయం
Charge,ఆరోపణ
Charge d'affaires,ఛార్జ్ డి&#39;ఎఫైర్స్
Charge parting,ఛార్జ్ విడిపోవడం
Charger,ఛార్జర్
Chariot,రథము
Charioteer,రథసారధి
Charioteer,రథసారధి
Charioteer,రథసారధి
Charity kitchen,ఛారిటీ వంటగది
Charter,చార్టర్
Chartist Movement (=Chartism),చార్టిస్ట్ ఉద్యమం (=చార్టిజం)
Chartophylacium,చార్టోఫిలాసియం
Chateau,చాటౌ
Check post,చెక్ పోస్ట్
Chemical Warfare,రసాయన యుద్ధం
Chester,చెస్టర్
Chief,చీఫ్
Chieftain,అధిపతి
Chieftain,అధిపతి
Chieftain,అధిపతి
Chiffon,షిఫాన్
Chivalry,శూరత్వం
Chosen People,ఎంచుకున్న వ్యక్తులు
Chrismographion,క్రిస్మోగ్రఫీ
Christendom,క్రైస్తవమత సామ్రాజ్యం
Christian era,క్రైస్తవ యుగం
Christian Socialism,క్రిస్టియన్ సోషలిజం
Chronicle,క్రానికల్
Chronicler,క్రానికల్
Chryse Chersonese,Chryse Chersonese
Cimelium,సిమిలియం
Cinquecento Style,సింక్వెసెంటో స్టైల్
Circumnavigation,ప్రదక్షిణ
Cistercian monk,సిస్టెర్సియన్ సన్యాసి
Citadel,కోట
Citation,అనులేఖనం
Citation,అనులేఖనం
Civil disobedience,శాసన ఉల్లంఘన
Civil war,పౌర యుద్ధం
Civis Romanus,సివిస్ రోమనస్
Classical age,సాంప్రదాయ వయస్సు
Clepht (=klepht),క్లెఫ్ట్ (=క్లెఫ్ట్)
Clericalism,మతాధికారం
Cleruch,క్లర్చ్
Cluniac movement,క్లినియాక్ ఉద్యమం
Coat armour,కోటు కవచం
Coat of arms,కోట్ ఆఫ్ ఆర్మ్స్
Coat of arms,కోట్ ఆఫ్ ఆర్మ్స్
Coat of arms,కోట్ ఆఫ్ ఆర్మ్స్
Coat of mail,కోట్ ఆఫ్ మెయిల్
Cohort,కోహోర్ట్
Comitia,కమిటియా
Comitia Centuriata,కమిటియా సెంచురియాటా
Comitia Curiata,కమిటియా క్యూరియాటా
Comitia Tributa,కమిటియా ట్రిబ్యూటా
Commemorative arch,స్మారక వంపు
Commemorative coin,స్మారక నాణెం
Commemorative seal,స్మారక ముద్ర
Common field,సాధారణ క్షేత్రం
Communard,కమ్యూనార్డ్
Concordat,కాంకోర్డాట్
Concordat,కాంకోర్డాట్
Condottiere,కండోటియర్
Confirmation Cartarum,నిర్ధారణ కార్టరమ్
Conflict,సంఘర్షణ
Congregation,సభ
Conquering state,రాష్ట్రాన్ని జయించడం
Conqueror,విజేత
Conquistador,విజేత
Consilium,కన్సిలియం
Consistory,క్రమబద్ధమైన
Conspiracy,కుట్ర
Conspiracy,కుట్ర
Consulate,కాన్సులేట్
Consulation book,సలహా పుస్తకం
Continental system,ఖండాంతర వ్యవస్థ
Convention Parliament,కన్వెన్షన్ పార్లమెంట్
Copperheads (=peace democrats),కాపర్ హెడ్స్ (=శాంతి ప్రజాస్వామ్యవాదులు)
Copyhold,కాపీహోల్డ్
Cordoning,కార్డనింగ్
Corona,కరోనా
Coronation,పట్టాభిషేకం
Coronation stone,పట్టాభిషేక రాయి
Corpus,కార్పస్
Corsair,కోర్సెయిర్
Corsair,కోర్సెయిర్
Corset (=corselet),కార్సెట్ (=కోర్సెలెట్)
Cortes,కోర్టెస్
Cottar (=cottier),కోటార్ (=కోటియర్)
Cottar (=cottier),కోటార్ (=కోటియర్)
Count Palatinate,కౌంట్ పాలటినేట్
Country house,పూరిల్లు
County,కౌంటీ
County borough,కౌంటీ బరో
County courts,కౌంటీ కోర్టులు
County palatine,కౌంటీ పాలటైన్
Court,కోర్టు
Court,కోర్టు
Court circular,కోర్టు సర్క్యులర్
Court etiquette,కోర్టు మర్యాదలు
Courtier,సభికుడు
Court of cassation,కోర్ట్ ఆఫ్ కాసేషన్
Court of Directors (E. I. C.),కోర్ట్ ఆఫ్ డైరెక్టర్స్ (EIC)
Court of Proprietors,యాజమాన్యాల న్యాయస్థానం
Court poet,ఆస్థాన కవి
Covenanted Cameronians,ఒప్పందం చేసుకున్న కామెరోనియన్లు
Crown,కిరీటం
Crown,కిరీటం
Crown,కిరీటం
Crown land,కిరీటం భూమి
Crown land,కిరీటం భూమి
Crown Prince,క్రౌన్ ప్రిన్స్
Crusade,క్రూసేడ్
Crusader,క్రూసేడర్
Cryptogram,క్రిప్టోగ్రామ్
Cuirass,క్యూరాస్
Cuirassier,క్యూరాసియర్
Cult deity,కల్ట్ దేవత
Curia,క్యూరియా
Curia,క్యూరియా
Czarism,జారిజం
Dark continent,చీకటి ఖండం
Day of judgement,తీర్పు రోజు
Day of judgement,తీర్పు రోజు
Dean,డీన్
Decade,దశాబ్దం
Denarius,డెనారియస్
Deposed monarch,పదవీచ్యుతుడైన చక్రవర్తి
Despoil,పాడుచేయు
Despoilation,చెడిపోవడం
Dethrone,సింహాసనాన్ని తొలగించు
Diadem,డయాడెమ్
Diadem,డయాడెమ్
Diadem,డయాడెమ్
Diasia,డయాసియా
Dicasterium,డికాస్టీరియం
Diluvialist,డైలువియలిస్ట్
Diocese,డియోసెస్
Diocese,డియోసెస్
Directoire (=Directry),డైరెక్టరీ (=డైరెక్టరీ)
Directoire (=Directry),డైరెక్టరీ (=డైరెక్టరీ)
Dirham,దిర్హమ్
Disloyal,నమ్మకద్రోహం
Disloyal,నమ్మకద్రోహం
Doctrine of lapse,లోపము యొక్క సిద్ధాంతము
Document,పత్రం
Documentary evidence,డాక్యుమెంటరీ సాక్ష్యం
Domesday Book,డోమ్స్‌డే బుక్
Donation of Constantine,కాన్స్టాంటైన్ విరాళం
Doom,డూమ్
Dowager queen,వరవరపు రాణి
Dragoon,డ్రాగన్
Dromedarian,డ్రోమెడిరియన్
Dromedary,డ్రోమెడరీ
Dromond,డ్రోమండ్
Dual,ద్వంద్వ
Dual alliance,ద్వంద్వ కూటమి
Dual entente,ద్వంద్వ ఉద్దేశం
Dual system (=dual government),ద్వంద్వ వ్యవస్థ (=ద్వంద్వ ప్రభుత్వం)
Duke,డ్యూక్
Duma,డూమా
Dwarf incarnation,వామన అవతారం
Dynasty,రాజవంశం
Dynasty,రాజవంశం
Eagle,డేగ
Ealder man,పెద్ద మనిషి
Earl,ఎర్ల్
Earldom,ఎర్ల్డమ్
Early Guptas,తొలి గుప్తులు
Early (historic) sites,ప్రారంభ (చారిత్రక) సైట్లు
Early Vedic period,ప్రారంభ వేద కాలం
Ecclesia,ఎక్లేసియా
Edict of Restitution,పునరుద్ధరణ శాసనం
Eight fold path,ఎనిమిది రెట్లు మార్గం
Elders,పెద్దలు
Elder statesman (=genro),పెద్ద రాజనీతిజ్ఞుడు (=జెన్రో)
Elephant goad,ఏనుగు మేడ
Eleven Years' Tyranny,పదకొండు సంవత్సరాల నిరంకుశత్వం
Elysae (=Elysee),ఎలిసే (=ఎలీసీ)
Enclosure Movement,ఎన్‌క్లోజర్ ఉద్యమం
Encyclical,ఎన్సైక్లికల్
Encyclopaedist movement,ఎన్సైక్లోపెడిస్ట్ ఉద్యమం
Entente,ఎంటెంటే
Entente cordiale,ఎంటెంటే కార్డియాల్
Enthrone,సింహాసనం
Entourage,పరివారం
Ephod,ఎఫోడ్
Ephor,ఎఫోర్
Epic age,పురాణ యుగం
Epic hero,పురాణ వీరుడు
Epigraph,ఎపిగ్రాఫ్
Episcopacy,ఎపిస్కోపసీ
Episcopate,ఎపిస్కోపేట్
Episode,ఎపిసోడ్
Epoch,యుగం
Epoch-making event,యుగాన్ని సృష్టించే సంఘటన
Epoch-making man,యుగపురుషుడు
Eponym,పేరుపేరు
Equerry,ఎక్వెరీ
Equerry,ఎక్వెరీ
Equestrian statue,గుర్రపుస్వారీ విగ్రహం
Era,యుగం
Ergastulum,ఎర్గస్టులం
Eucharist,యూకారిస్ట్
Evangelicalism,సువార్తవాదం
Evangelical movement,సువార్త ఉద్యమం
Evangelist,మత ప్రచారకుడు
Exarch,Exarch
Exilarch,Exilarch
Falangist,ఫలాంగిస్ట్
Father land,తండ్రి భూమి
Father land,తండ్రి భూమి
Feriae,ఫెరియాయే
Fetish,ఫెటిష్
Feudal holdings,ఫ్యూడల్ హోల్డింగ్స్
Feudalism (=feudal system),ఫ్యూడలిజం (=ఫ్యూడల్ వ్యవస్థ)
Feudal system,భూస్వామ్య వ్యవస్థ
Feudatory,భూస్వామ్య
Fidei defensor (=Defender of the Faith),ఫిడే డిఫెన్సర్ (=డిఫెండర్ ఆఫ్ ది ఫెయిత్)
Fief,ఫైఫ్
Field system,ఫీల్డ్ సిస్టమ్
Fifteenth tax,పదిహేనవ పన్ను
Figure head,ఫిగర్ హెడ్
Fin de siecle,ఫిన్ డి సైకిల్
Fire eater,అగ్ని తినేవాడు
Five Mile Act,ఫైవ్ మైల్ చట్టం
Flag,జెండా
Flamen Dialis,ఫ్లేమెన్ డయాలిస్
Flamen Martialis,ఫ్లేమెన్ మార్టియాలిస్
Flaming torch,జ్వలించే జ్యోతి
Flank,పార్శ్వము
Flanking movement,పార్శ్వ కదలిక
Flourishing civilization,వర్ధిల్లుతున్న నాగరికత
Fluvialistic belief,ఫ్లూవియలిస్టిక్ నమ్మకం
Folk god,జానపద దేవుడు
Folk goddess,జానపద దేవత
Folk memory,జానపద జ్ఞాపకం
Folk myth (=folklore),జానపద పురాణం (=జానపదం)
Foraging,మేత వెదకడం
Foray,ఫోరే
Forebear,ముందరివాడు
Forefather,పూర్వీకుడు
Forerunner,ముందున్నవాడు
Forlorn hope,చితికిపోయిన ఆశ
Formative stage,నిర్మాణ దశ
Fort,కోట
Fortification,కోట
Fortified town,పటిష్టమైన పట్టణం
Fortress,కోట
Fortuna,ఫార్చ్యూనా
Forum Romanum,ఫోరమ్ రోమనుమ్
Franciscan,ఫ్రాన్సిస్కాన్
Franklin,ఫ్రాంక్లిన్
Fratricidal war,భ్రాతృహత్య యుద్ధం
Free Church,ఉచిత చర్చి
Freeholder,ఫ్రీహోల్డర్
Freelance soldier,స్వతంత్ర సైనికుడు
Freelance soldier,స్వతంత్ర సైనికుడు
Freeman,ఫ్రీమాన్
Freeman,ఫ్రీమాన్
Freepass,ఫ్రీపాస్
French Revolution,ఫ్రెంచ్ విప్లవం
Friar,సన్యాసి
Friasian mercenaries,ఫ్రైసియన్ కిరాయి సైనికులు
Frontier'a man,సరిహద్దు మనిషి
Galleon,గాలియన్
Gallican (=Gallicanist),గల్లికన్ (=గల్లికనిస్ట్)
Gallicanism,గల్లికానిజం
Garrison,దండు
Gaul,గౌల్
Gauntlet,గాంట్లెట్
Gauntlet,గాంట్లెట్
Gazebo,గెజిబో
Gazebo,గెజిబో
Gazebo,గెజిబో
Genealogical history,వంశ చరిత్ర
Genealogical record,వంశపారంపర్య రికార్డు
Genealogical table,వంశపారంపర్య పట్టిక
Genealogical tree,వంశవృక్షం
Genealogy,వంశావళి
Genealogy,వంశావళి
Generation,తరం
Genocide,మారణహోమం
Gentile,అన్యజనుడు
Gentile,అన్యజనుడు
Gentile,అన్యజనుడు
Gentile,అన్యజనుడు
Ghetto,ఘెట్టో
Ghetto,ఘెట్టో
Gibbet,గిబ్బెట్
Gild (=guild),గిల్డ్ (=గిల్డ్)
Gladiater,గ్లాడియేటర్
Glorious Revolution,అద్భుతమైన విప్లవం
Golden Horde,గోల్డెన్ హోర్డ్
Grand Alliance,మహా కూటమి
Grandee,గ్రాండీ
Grand Signor,గ్రాండ్ సిగ్నర్
Grand Signor,గ్రాండ్ సిగ్నర్
Great Civil War,గొప్ప అంతర్యుద్ధం
Great Departure (of Buddha),గొప్ప నిష్క్రమణ (బుద్ధుని)
Greater India,గ్రేటర్ ఇండియా
Great Hellas,గ్రేట్ హెల్లాస్
Great Horde,గ్రేట్ హోర్డ్
Great Renunciation (=great departure),గొప్ప పరిత్యాగం (=గొప్ప నిష్క్రమణ)
Great Seal,గొప్ప ముద్ర
Great Trak,గ్రేట్ ట్రాక్
Great Vehicle,గొప్ప వాహనం
Great Wall of China,గ్రేట్ వాల్ ఆఫ్ చైనా
Greave,గ్రీవ్
Guard-chamber,గార్డ్-ఛాంబర్
Guard-chamber,గార్డ్-ఛాంబర్
Guard-chamber,గార్డ్-ఛాంబర్
Guptas,గుప్తులు
Hagiography,హాజియోగ్రఫీ
Hagiography,హాజియోగ్రఫీ
Hagiology,హగియాలజీ
Hagiology,హగియాలజీ
Hall of private audience,ప్రైవేట్ ప్రేక్షకుల హాల్
Hall of public audience,పబ్లిక్ ప్రేక్షకుల హాల్
Hatchment,హాచ్మెంట్
Heathen,హీతేన్
Heathen,హీతేన్
Heathenism,హీతేనిజం
Hegira (Hejera),హెగిరా (హెజెరా)
Hellenism,హెలెనిజం
Helot,హెలట్
Heraldry,హెరాల్డ్రీ
Heritage,వారసత్వం
Hieroglyphic linear characters,చిత్రలిపి సరళ అక్షరాలు
Hieroglyphic script,చిత్రలిపి స్క్రిప్ట్
High Church,హై చర్చి
High Lander,హై ల్యాండర్
Hinduism,హిందూమతం
Historian,చరిత్రకారుడు
Historian,చరిత్రకారుడు
Historical materialism,చారిత్రక భౌతికవాదం
Historic era,చారిత్రక యుగం
Historic frontier,చారిత్రక సరిహద్దు
Historiographer,చరిత్రకారుడు
Historiographer,చరిత్రకారుడు
Historiography,చరిత్ర చరిత్ర
Historiography,చరిత్ర చరిత్ర
History,చరిత్ర
Hittite empire,హిట్టైట్ సామ్రాజ్యం
Holy Alliance,పవిత్ర కూటమి
Holy city,పవిత్ర నగరం
Holy city,పవిత్ర నగరం
Holy land,పవిత్ర భూమి
Holy land,పవిత్ర భూమి
Holy League,హోలీ లీగ్
Holy League,హోలీ లీగ్
Holy Roman Empire (=The Empire),పవిత్ర రోమన్ సామ్రాజ్యం (=సామ్రాజ్యం)
Holy Sea,పవిత్ర సముద్రం
Holy Sea,పవిత్ర సముద్రం
Holy war,పవిత్ర యుద్ధం
Holy war,పవిత్ర యుద్ధము
Home Government,హోం ప్రభుత్వం
Home Guard,హోంగార్డు
Homeland,జన్మభూమి
Home rule,గృహ నియమం
Home Rule,హోమ్ రూల్
Horde,గుంపు
Horde,గుంపు
Hostile country,శత్రు దేశం
Hostile land,శత్రుభూమి
hot pursuit,వేడి ముసుగులో
House,ఇల్లు
House,ఇల్లు
House of Commons,హౌస్ ఆఫ్ కామన్స్
House of Lords,హౌస్ ఆఫ్ లార్డ్స్
House of Representatives,ప్రతినిధుల సభ
Huguenots,హ్యూగ్నోట్స్
Humanism,మానవతావాదం
Humanist,మానవతావాది
Hundred Yesrs' War,హండ్రెడ్ యెస్సర్స్ వార్
Hunker,హంకర్
Ibadat Khana (House of Worship),ఇబాదత్ ఖానా (ఆరాధనా గృహం)
Iconoclast,ఐకానోక్లాస్ట్
Idolater,విగ్రహారాధకుడు
Ilahi era,ఇలాహి యుగం
