Assamese,Bengali
ভাসমান বৰ্তনী (মুক্ত অপাৰেটিং বৰ্তনী),ভাসমান সার্কিট (ফ্রি অপারেটিং সার্কিট)
স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ,স্বয়ংক্রিয় মাল্টিভাইব্রেটর
ভাসমান মাল্টিভাইব্ৰেটৰ,ভাসমান মাল্টিভাইব্রেটর
অসমতাপূৰ্ণ সংযোগস্থল,অপ্রতিসম জংশন
এচিনক্ৰ&#39;নাছ কেলকুলেটৰ,অ্যাসিঙ্ক্রোনাস ক্যালকুলেটর
পাৰমাণৱিক,পারমাণবিক
পাৰমাণৱিক সংখ্যা,পারমাণবিক সংখ্যা
পাৰমাণৱিক গঠন,পারমাণবিক গঠন
অডিঅ&#39; এম্প্লিফায়াৰ,অডিও পরিবর্ধক
অডিঅ&#39; এম্প্লিফায়াৰ,অডিও পরিবর্ধক
অডিঅ&#39; কেছেট,অডিও ক্যাসেট
অডিঅ&#39; বৰ্তনী,অডিও সার্কিট
শ্ৰৱণযোগ্য কম্পাঙ্ক,শ্রবণযোগ্য ফ্রিকোয়েন্সি
স্বয়ংক্ৰিয় ভল্টেজ নিয়ন্ত্ৰণ,স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রণ
হিমস্খলন,তুষারপাত
গড় ডিটেক্টৰ,গড় আবিষ্কারক
অক্ষীয় ধৰণ,অক্ষীয় মোড
অক্ষীয় অনুপাত,অক্ষীয় অনুপাত
এন্টেনা,অ্যান্টেনা
পিছলৈ ইলেক্ট্ৰ&#39;ম&#39;টিভ বল,ব্যাক ইলেক্ট্রোমোটিভ ফোর্স
পিছফালৰ অঞ্চল,পিছনের এলাকা
পিছলৈ বিক্ষিপ্ততা,ব্যাক স্ক্যাটার
পটভূমি চাৰ্জ,ব্যাকগ্রাউন্ড চার্জ
কাষৰ শব্দ,পার্শ্ব গোলমাল
ৰেট্ৰ&#39;গ্ৰেছন,পশ্চাদপসরণ
পশ্চাৎ বিকিৰণ,পোস্টেরিয়র বিকিরণ
বেকৱাৰ্ড ডাইঅ&#39;ড / বেকৱাৰ্ড ডাইঅ&#39;ড,ব্যাকওয়ার্ড ডায়োড / ব্যাকওয়ার্ড ডায়োড
পিছলৈ তৰংগ দোলক,ব্যাকওয়ার্ড ওয়েভ অসিলেটর
"বাধা, বাধা","বাধা, বাধা"
বাধাগ্ৰস্ততা,বাধা
সুষম দলং,সুষম সেতু
সুষম মডুলেটৰ,সুষম মডুলেটর
সুষম মডুলেটৰ,সুষম মডুলেটর
সুষম বৰ্তনী,সুষম সার্কিট
ভাৰসাম্যপূৰ্ণ গ্ৰেডিয়েণ্ট ডিটেক্টৰ,সুষম গ্রেডিয়েন্ট ডিটেক্টর
কাৰেণ্ট ষ্টেবিলাইজাৰ ৰেজিষ্টেন্স,বর্তমান স্টেবিলাইজার প্রতিরোধের
বলোমিটাৰ,বোলোমিটার
বলোমিটাৰ দলং,বোলোমিটার সেতু
বেলুন,বেলুন
কল জেক,কলা জ্যাক
কল প্লাগ,কলা প্লাগ
"বেণ্ড, বেণ্ডেজ","ব্যান্ড, ব্যান্ডেজ"
বেণ্ড ড্ৰাইভাৰ,ব্যান্ড ড্রাইভার
বেণ্ড শক্তি,ব্যান্ড শক্তি
বেণ্ড গেপ,ব্যান্ড ফাঁক
badpark এম্প্লিফায়াৰ,ব্যাডপার্ক পরিবর্ধক
বেণ্ড পাছ ফিল্টাৰ,ব্যান্ড পাস ফিল্টার
বড হাৰ জেনেৰেটৰ,বড রেট জেনারেটর
banddispersion,banddispersion
বেণ্ড ৰেজিষ্টৰ,ব্যান্ড প্রতিরোধক
বেণ্ড ব্ৰেকাৰ ফিল্টাৰ,ব্যান্ড ব্রেকার ফিল্টার
বেণ্ড সম্প্ৰসাৰণ,ব্যান্ড সম্প্রসারণ
বেণ্ড আঁতৰোৱা ফিল্টাৰ,ব্যান্ড রিমুভার ফিল্টার
বেণ্ড এক্সপান্সন ডিফ্লেকচন মাল্টিপ্লাইয়াৰ,ব্যান্ড এক্সপেনশন ডিফ্লেকশন মাল্টিপ্লায়ার
বেণ্ড সম্প্ৰসাৰণ দূৰত্ব বহুগুণক,ব্যান্ড এক্সটেনশন দূরত্ব গুণক
"ৰশ্মি কেপাচিটৰ, বেংক কেপাচিটৰ","বিম ক্যাপাসিটর, ব্যাংক ক্যাপাসিটর"
"বাৰ্কাৰ কোড, বাৰ্কাৰ কোড","বার্কার কোড, বার্কার কোড"
barravaugen মাপকাঠী,barravaugen মানদণ্ড
বেৰেটৰ,বাধাদানকারী
বাধা,বাধা
ইনচুলেটিং কেপাচিটৰ,অন্তরক ক্যাপাসিটর
বাধা শক্তি,বাধা শক্তি
ৰেজিষ্টৰ ভল্টেজ,প্রতিরোধক ভোল্টেজ
বাৰ্টলেট উইণ্ড&#39;,বার্টলেট উইন্ডো
"ভিত্তি, ভিত্তি","ভিত্তি, ভিত্তি"
বেচ বেণ্ড,বেস ব্যান্ড
বেচ বেণ্ড ট্ৰেন্সমিছন,বেস ব্যান্ড ট্রান্সমিশন
ভিত্তি চাৰ্জ,বেস চার্জ
বেচ কাৰেণ্ট,ভিত্তি বর্তমান
ভিত্তি বিদ্যুৎ প্ৰবাহৰ উৎস,ভিত্তি বর্তমান উৎস
বেচ শ্বিয়াৰিং,বেস শিয়ারিং
আধাৰ মদন,আধার মদন
বেচ এমিটাৰ ফিড,বেস ইমিটার ফিড
বেচ এমিটাৰ জংচন,বেস ইমিটার জংশন
বেচ ইনজেকচন,বেস ইনজেকশন
গ্ৰাউণ্ড লাইন,স্থল লাইন
ভিত্তি ৰেজিষ্টেন্স,বেস প্রতিরোধের
ভিত্তি উৎস,ভিত্তি উৎস
ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা,বেস সম্প্রসারণ প্রতিরোধের
ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা,বেস সম্প্রসারণ প্রতিরোধের
ভিত্তিৰ বেধ,ভিত্তি বেধ
ভিত্তি অভিগম,বেস অ্যাক্সেস
"ভিত্তি প্ৰস্থ মডুলেচন, ভিত্তি সম্প্ৰসাৰণ মডুলেচন","বেস উইথ মডুলেশন, বেস এক্সপেনশন মডুলেশন"
ভিত্তি সংগ্ৰাহক চুক্তি,বেস কালেক্টর চুক্তি
গোন্ধ,গন্ধ
বেছ ফ্ৰিকুৱেন্সি,খাদ ফ্রিকোয়েন্সি
বেটাৰি,ব্যাটারি
baud,বউড
বড হাৰ,বড হার
বড হাৰ জেনেৰেটৰ,বড রেট জেনারেটর
বডো ক&#39;ড,বোডো কোড
"সংকেত, বিকন","সংকেত, বীকন"
"মণিকা, বিড","মানিকা, বিড"
মেনিক কেপাচিটৰ,ম্যানিক ক্যাপাসিটর
মণিকাৰতাপি ৰেজিষ্টৰ,মানিকর্তপি প্রতিরোধক
"ৰশ্মি এন্টেনা, ৰশ্মি এন্টেনা","মরীচি অ্যান্টেনা, মরীচি অ্যান্টেনা"
ৰশ্মি ডিটেক্টৰ,মরীচি আবিষ্কারক
ৰশ্মি শক্তিৰ নলী,মরীচি পাওয়ার পায়ের পাতার মোজাবিশেষ
ৰশ্মি চুইচিং নজেল,মরীচি সুইচিং অগ্রভাগ
ৰশ্মি প্ৰসাৰণ,মরীচি সম্প্রসারণ
বিট ফ্ৰিকুৱেন্সি,বীট ফ্রিকোয়েন্সি
বিট-ফ্ৰিকুৱেন্সি অচিলেটৰ,বীট-ফ্রিকোয়েন্সি অসিলেটর
পালছ দোলক,পালস অসিলেটর
বেল,বেল
বেণ্ডিং লছ,নমন ক্ষতি
বেচেল ফিল্টাৰ,বেসেল ফিল্টার
বিটা,বেটা
খ-হ বক্ৰ,b-h বক্ররেখা
"bias, পক্ষপাতিত্ব","পক্ষপাত, পক্ষপাত"
বায়াছ কাৰেণ্ট,পক্ষপাত বর্তমান
বায়াছ ৰেজিষ্টেন্স,পক্ষপাত প্রতিরোধ
ডাবল এন্টেনা,ডবল অ্যান্টেনা
দ্বিমুখী লোড কাৰেণ্ট,দ্বিমুখী লোড বর্তমান
দ্বিমুখী এন্টেনা,দ্বিমুখী অ্যান্টেনা
দ্বিমুখী পোহৰ নিৰ্গত কৰা ডাইঅ&#39;ড,দ্বিমুখী আলো নির্গত ডায়োড
দ্বিমুখী থাইৰিষ্টৰ,দ্বিমুখী থাইরিস্টর
bi FET প্ৰযুক্তি,bi FET প্রযুক্তি
বাই পইণ্ট ট্ৰেন্সফৰ্মাৰ,দ্বি-বিন্দু ট্রান্সফরমার
ডাবল ফিউজন,ডবল ফিউশন
দ্বিপাক্ষিক বৰ্তনী,দ্বিপাক্ষিক সার্কিট
বাইনাৰী,বাইনারি
বাইনাৰী যোগফল,বাইনারি যোগফল
বাইনাৰী বৰ্তনী,বাইনারি সার্কিট
বাইনাৰী ক&#39;ড কৰা দশমিক,বাইনারি কোডেড দশমিক
বাইনাৰী ক&#39;ড কৰা দশমিক ব্যৱস্থা,বাইনারি কোডেড দশমিক সিস্টেম
বাইনাৰী ডাইপোল কেপাচিটৰ,বাইনারি ডাইপোল ক্যাপাসিটর
বাইনাৰী কেলকুলেটৰ,বাইনারি ক্যালকুলেটর
বাইনাৰী কেলকুলেটৰ,বাইনারি ক্যালকুলেটর
বাইনাৰী ডিকোডাৰ,বাইনারি ডিকোডার
বাইনাৰী জখলা,বাইনারি মই
বাইনাৰী পেথ&#39;মিটাৰ,বাইনারি প্যাথোমিটার
বাইনাৰী অৱস্থা,বাইনারি অবস্থা
বাইনাৰী-দশমিক ডিকোডাৰ,বাইনারি-ডেসিমেল ডিকোডার
বাইনাৰী লোড,বাইনারি লোড
বাইনাৰী শব্দ,বাইনারি শব্দ
বাইপোলাৰ,বাইপোলার
বাইপোলাৰ কেপাচিটৰ,বাইপোলার ক্যাপাসিটর
বাইপোলাৰ ডিভাইচ,বাইপোলার ডিভাইস
বাইপোলাৰ উৎস,বাইপোলার উৎস
বাইপোলাৰ ট্ৰেঞ্জিষ্টৰ,বাইপোলার ট্রানজিস্টর
বাইপোলাৰ জংচন ট্ৰেঞ্জিষ্টৰ,বাইপোলার জংশন ট্রানজিস্টর
দ্বিঘাত ফিল্টাৰ,দ্বিঘাত ফিল্টার
ডাবল পজিচন,ডবল অবস্থান
দুটা পৰ্যায়ৰ মাল্টিভাইব্ৰেটৰ,দুই-পর্যায়ের মাল্টিভাইব্রেটর
দ্বিমুখী ৰিলে,দ্বিমুখী রিলে
দুটা পৰ্যায়ৰ অৱস্থা,দুই-পর্যায়ের রাষ্ট্র
দুটা অৱস্থানৰ ট্ৰিগাৰ,দুই-পজিশন ট্রিগার
বিট ভুল,বিট ত্রুটি
বিট ভুলৰ হাৰ,বিট ত্রুটি হার
বিট ভুল,বিট ত্রুটি
bitkal ত্ৰুটি,বিটকল ত্রুটি
অন্ধ বাকচ,অন্ধ বাক্স
ঘনীভূত স্পন্দন,ঘনীভূত নাড়ি
নিঃসৰণকাৰী,সচিব
নিঃসৰণ প্ৰতিৰোধক,সিক্রেটরি ইনহিবিটার
অন্ধতা,অন্ধত্ব
ছেগমেণ্ট ডায়াগ্ৰাম,সেগমেন্ট ডায়াগ্রাম
ব্লক কৰা ইম্পিডেন্স,ব্লকিং প্রতিবন্ধকতা
ফ্ৰেগমেণ্ট ট্ৰেন্সফাৰ,খণ্ড স্থানান্তর
ইন্টাৰচেপ্ট,পথিমধ্যে রোধ করা
ৰেজিষ্টৰ কেপাচিটৰ,প্রতিরোধক ক্যাপাসিটর
ৰেজিষ্টৰ কেপাচিটৰ,প্রতিরোধক ক্যাপাসিটর
ব্লক কৰা দোলক,ব্লকিং অসিলেটর
ৰেজিষ্টৰ দোলক,প্রতিরোধক অসিলেটর
ৰেজিষ্টৰ ভল্টেজ,প্রতিরোধক ভোল্টেজ
ব্ল&#39;ৱাৰ,ব্লোয়ার
বোড ডায়াগ্ৰাম,বোড ডায়াগ্রাম
voltzmann সম্পৰ্ক,voltzmann সম্পর্ক
voltzmann ধ্ৰুৱক,voltzmann ধ্রুবক
বান্ধোন,বন্ধন
বান্ধি ৰখা ষ্ট্ৰেইন গেজ,আবদ্ধ স্ট্রেন গেজ
স্ব-সহায়ক এম্প্লিফায়াৰ,স্ব-চালিত পরিবর্ধক
বুলিয়ান বীজগণিত,বুলিয়ান বীজগণিত
বুলিয়ান সমীকৰণ,বুলিয়ান সমীকরণ
বুট ষ্ট্ৰেপন,বুট Strapon
বুথৰ এলগৰিদম,বুথের অ্যালগরিদম
বুটষ্ট্ৰেপ প্ৰিজম বৰ্তনী,বুটস্ট্র্যাপ প্রিজম সার্কিট
bosscutts শাসন কৰে,bosscutts নিয়ম
বসু-চৌধাৰী হকেনহাম (BCH) কোড,বোস-চৌধুরী হকেনহাম (বিসিএইচ) কোড
"জপিয়াই, জপিয়াই","লাফ, লাফ"
বান্ধ খাই থকা ইলেক্ট্ৰন,আবদ্ধ ইলেকট্রন
bragg প্ৰতিফলক,ব্র্যাগ প্রতিফলক
আন্তঃসংলগ্ন তাঁৰ,জড়িত তার
শাখা,শাখা
শাখা-প্ৰশাখা,শাখা
পৰীক্ষা বৰ্ড,পরীক্ষা বোর্ড
ব্ৰেক জ&#39;ন,বিরতি জোন
ভল্টেজ ভাঙি যোৱা,ব্রেকিং ভোল্টেজ
ব্ৰেকডাউন ডাইঅ&#39;ড,ব্রেকডাউন ডায়োড
ভাঙন স্থিৰকৰণ,ফ্র্যাকচার ফিক্সেশন
ভল্টেজ ভাঙি যোৱা,ব্রেকিং ভোল্টেজ
সেঁতু,সেতু
ব্ৰীজ ৰেক্টিফায়াৰ,সেতু সংশোধনকারী
বহল বেণ্ড,প্রশস্ত ব্যান্ড
সম্প্ৰচাৰ বেণ্ড,সম্প্রচার ব্যান্ড
নক্ষত্ৰীয় এৰে,অ্যাস্ট্রাল অ্যারে
সম্প্ৰচাৰ,সম্প্রচার
সম্প্ৰচাৰ এন্টেনা,সম্প্রচার অ্যান্টেনা
সম্প্ৰচাৰ গ্ৰাহক,সম্প্রচার গ্রহনকারী যন্ত্র
কম্পাঙ্ক সম্প্ৰচাৰ গ্ৰাহক,ফ্রিকোয়েন্সি ব্রডকাস্ট রিসিভার
সম্প্ৰচাৰ ট্ৰেন্সমিটাৰ,সম্প্রচার ট্রান্সমিটার
বুষ্টাৰ এন্টেনা,বুস্টার অ্যান্টেনা
বাছ এন্টেনা,বাস অ্যান্টেনা
ব্ৰাছ বিসৰ্জন,বুরুশ নিমজ্জন
bubbling AND গেট,বুদবুদ এবং গেট
বুডবুডু বা গেট,বুডবুডু বা গেট
বুদবুদযুক্ত স্মৃতিশক্তি,বুদবুদ স্মৃতি
ক্ষতিপূৰণমূলক ভল্টেজ,ক্ষতিপূরণকারী ভোল্টেজ
বাফাৰ,বাফার
বাফাৰ এম্প্লিফায়াৰ,বাফার পরিবর্ধক
বাফাৰ বৰ্তনী,বাফার সার্কিট
বাফাৰ অপাৰেটৰ,বাফার অপারেটর
বাফাৰ ৰেজিষ্টাৰ,বাফার রেজিস্টার
বাল্ব,বাল্ব
জনসংখ্যাৰ প্ৰভাৱ,জনসংখ্যার প্রভাব
মেক্ৰ&#39; অৰ্ধপৰিবাহী যন্ত্ৰ,ম্যাক্রো সেমিকন্ডাক্টর ডিভাইস
মুঠি,গুচ্ছ
ডুব যোৱা বিনিময়,নিমজ্জিত বিনিময়
ডুব যোৱা স্তৰ,নিমজ্জিত স্তর
ডুব যোৱা সংস্পৰ্শ,নিমজ্জিত যোগাযোগ
ব্লাষ্ট এম্প্লিফায়াৰ,বিস্ফোরণ পরিবর্ধক
ব্লাষ্ট কভাৰ,বিস্ফোরণ কভার
ব্লাষ্ট ফায়াৰিং,বিস্ফোরণ গুলি
বিস্ফোৰণ দুৱাৰ এম্প্লিফায়াৰ,বিস্ফোরণ দরজা পরিবর্ধক
বাৰ্ষ্ট মোড,বিস্ফোরিত মোড
বিস্ফোৰণ বিভাজক,বিস্ফোরণ বিভাজক
বিস্ফোৰণ সংকেত,বিস্ফোরণের সংকেত
বাৰ্ষ্ট ভুল সংশোধক ক&#39;ড,বিস্ফোরণ ত্রুটি সংশোধনকারী কোড
বাছ,যথেষ্ট
বাছ বাৰ,বাস বার
বাছ সংস্থা,বাস সংগঠন
বাছৰ মানদণ্ড,বাস স্ট্যান্ডার্ড
মাত্ৰ ক্ষণিক,শুধু ক্ষণস্থায়ী
ফিল্টাৰৰ মূল্যৰ মাখন,মাখন মূল্য ফিল্টার
bnc তাঁৰ,bnc তার
বিএনচি জইণ্টাৰ,বিএনসি জয়েন্টার
বাই-ৱে,উপায় দ্বারা
বাইপাছ কেপাচিটৰ,বাইপাস ক্যাপাসিটর
বাইট,বাইট
ভি বেণ্ড,ভি ব্যান্ড
C বেণ্ড এন্টেনা,সি ব্যান্ড অ্যান্টেনা
তাঁৰ,তার
তাঁৰৰ ৰুটিং,তারের রাউটিং
টেলিগ্ৰাফ টেলিভিছন,টেলিগ্রাফ টেলিভিশন
কেশ্ব মেমৰি,ক্যাশ মেমরি
ছিছিম ফ্ৰিকুৱেন্সি ষ্টেণ্ডাৰ্ড,সিসিম ফ্রিকোয়েন্সি স্ট্যান্ডার্ড
কেলকুলেটৰ,ক্যালকুলেটর
মানাংকন,ক্রমাঙ্কন
কল ঠিকনা,কল ঠিকানা
কলপিট দোলক,কলপিট অসিলেটর
কেম কৰ্ডাৰ,ক্যাম কর্ডার
কেমেৰা,ক্যামেরা
কেমেৰাৰ নলী,ক্যামেরার পায়ের পাতার মোজাবিশেষ
কেণ্ডেলা,candela
মমবাতিৰ শক্তি,মোমবাতি শক্তি
কেন্টিলিভাৰ ষ্ট্ৰেইন গেজ,ক্যান্টিলিভার স্ট্রেন গেজ
ধৰি ৰখা,ধারণ
ৰক্তচাপ ট্ৰেন্সডুচাৰ,ক্যাপাসিট্যান্স রক্তচাপ ট্রান্সডুসার
ধাৰণকাৰী বিতৰক,হোল্ডিং ডিস্ট্রিবিউটর
চুক্তি ধাৰণ কৰা,চুক্তি ধারণ
ধাৰণক্ষমতা গেজ,ক্যাপাসিট্যান্স গেজ
ধৰি ৰখা সংগ্ৰাহক,সংগ্রাহক হোল্ডিং
ধাৰণক্ষমতা বিক্ৰিয়াশীলতা,ক্যাপাসিট্যান্স বিক্রিয়া
"কেপাচিটিভ এনাৰ্জি কনভাৰ্টাৰ, ট্ৰেন্সডুচাৰ","ক্যাপাসিটিভ এনার্জি কনভার্টার, ট্রান্সডুসার"
কেপাচিটৰ,ক্যাপাসিটর
কেপাচিটৰ বেংক,ক্যাপাসিটর ব্যাংক
কেপাচিটৰ ফিল্টাৰ,ক্যাপাসিটর ফিল্টার
কেপাচিটৰ ইনপুট ফিল্টাৰ,ক্যাপাসিটর ইনপুট ফিল্টার
উইঞ্চ মটৰ,উইঞ্চ মোটর
পুলি চাৰ্ভো বডি,পুলি সার্ভো বডি
চৰখী,চরখী
বন্দী কৰা,ক্যাপচার
capture clause,ক্যাপচার ধারা
কেপচাৰ ইফেক্ট,ক্যাপচার প্রভাব
বাহক শব্দ অনুপাত,ক্যারিয়ারের শব্দ অনুপাত
গাড়ী ৰেডিঅ&#39;,গাড়ির রেডিও
কাৰ্বন ৰেজিষ্টৰ,কার্বন প্রতিরোধক
কাৰ্ড ৰিডাৰ,কার্ড পাঠক
কাৰ্ডিঅ&#39;ইড ডায়েগ্ৰাম,কার্ডিওড ডায়াগ্রাম
গাড়ী,বহন
carriage return,গাড়ি ফেরত
বাহক,বাহক
বাহক যোগাযোগ,ক্যারিয়ার যোগাযোগ
বাহক ঘনত্ব,ক্যারিয়ারের ঘনত্ব
বাহক কম্পাঙ্ক,ক্যারিয়ার ফ্রিকোয়েন্সি
বাহক প্ৰজনন,ক্যারিয়ার প্রজনন
বাহক স্তৰ,ক্যারিয়ার স্তর
বাহক জীৱন,ক্যারিয়ার জীবন
বাহক গতিশীলতা,ক্যারিয়ারের গতিশীলতা
বাহক গুণন,বাহক গুণন
বাহক শব্দৰ মাত্ৰা,ক্যারিয়ারের শব্দ স্তর
বাহক পৰিসৰ,ক্যারিয়ার পরিসীমা
বাহক পুনৰুদ্ধাৰ বৰ্তনী,ক্যারিয়ার রিকভারি সার্কিট
বাহক পুনৰ সন্নিৱিষ্ট কৰা,ক্যারিয়ার পুনঃনিবেশ
পৰিবাহী বিকিৰণ,পরিবাহী বিক্ষিপ্তকরণ
বাহক দমন,ক্যারিয়ার দমন
বাহক পিঞ্জৰা,বাহক খাঁচা
বাহক বেগ,ক্যারিয়ার বেগ
হেণ্ড বিট,হাত বিট
ধাৰণ কৰা পতাকা,পতাকা রাখা
"দখলৰ পঞ্জীয়ন, দখলৰ পঞ্জী","দখলের রেজিস্টার, দখলের রেজিস্টার"
পৰ্টেবল জেনেৰেটৰ,বহনযোগ্য জেনারেটর
carson&#39;s আইন,কার্সনের আইন
কাৰ্টিজ ফিউজ,কার্তুজ ফিউজ
কাৰ্টিজ টেপ,কার্তুজ টেপ
কেৰী ফষ্টাৰ ব্ৰীজ,ক্যারি ফস্টার ব্রিজ
ষ্টেপ এম্প্লিফায়াৰ,ধাপ পরিবর্ধক
গ্ৰেডেচন,গ্রেডেশন
কেছকেড এম্প্লিফায়াৰ,ক্যাসকেড পরিবর্ধক
"কেস্কোড এম্প্লিফায়াৰ, ষ্টেপ এম্প্লিফায়াৰ","ক্যাসকোড অ্যামপ্লিফায়ার, স্টেপ অ্যামপ্লিফায়ার"
কেছেট,ক্যাসেট
প্ৰৰোচনা,প্ররোচনা
বন্দী কোটাৰ,ক্যাপটিভ কোটার
কেথ&#39;ড,ক্যাথোড
কেথ&#39;ড ট্ৰেইলিং,ক্যাথোড ট্রেলিং
কেথ&#39;ড ট্ৰেইলিং এম্প্লিফায়াৰ,ক্যাথোড ট্রেলিং পরিবর্ধক
কেথ&#39;ড লুমিনেন্স,ক্যাথোড আলোকসজ্জা
কেথ&#39;ড পদাৰ্থ,ক্যাথোড উপাদান
কেথ’ড ৰশ্মিৰ অচিলোস্কোপ,ক্যাথোড রে অসিলোস্কোপ
কেথ&#39;ড ৰশ্মিৰ নলী,ক্যাথোড রশ্মি নল
কেথ&#39;ড কণা নিক্ষেপ,ক্যাথোড কণা জমা
কেথ&#39;ড লুমিনেন্স,ক্যাথোড আলোকসজ্জা
কুয়াৰ ফিল্টাৰ,কয়ার ফিল্টার
kaver ফিল্টাৰ,kaver ফিল্টার
কোটৰ,কোটর
এণ্ট্ৰেল ৰেডিয়চন,এন্ট্রাল বিকিরণ
কটাৰ অনুনাদক,cotter অনুরণক
ফেট চাৰ্জ কাপল্ড ডিভাইচ (CCD),ফ্যাট চার্জ কাপলড ডিভাইস (CCD)
cd ৰম,সিডি রম
cd ৰম ড্ৰাইভ,সিডি রম ড্রাইভ
কোষ (বেটাৰী),সেল (ব্যাটারি)
কেন্দ্ৰীয় সম্পদ উপাদান,কেন্দ্রীয় সম্পদ উপাদান
কেন্দ্ৰীয় সম্পদ একক,কেন্দ্রীয় সম্পদ ইউনিট
কেন্দ্ৰীয় প্ৰচেছৰ,কেন্দ্রীয় প্রসেসর
গড় স্কেল,গড় স্কেল
