Odiya,Hindi
ପ୍ରାଚୀନ ବାଲାଡ୍ |,प्राचीन गाथा
ପ୍ରାଚୀନ ବିଶ୍ୱାସ,प्राचीन मत
ପ୍ରାଚୀନ ପ୍ରଥା,प्राचीन प्रथा
ପ୍ରାଚୀନ ଇତିହାସ,प्राचीन हतिहास
ପ୍ରାଚୀନ ସ୍ମାରକୀ,प्राचीन स्मारक
ଉପନ୍ୟାସ,उपाख्यान
ଆଞ୍ଜେଲଟ୍ |,एन्जिलोट
ଆଞ୍ଜେଲସ୍ |,देवदूत पूजा
ଆଞ୍ଜେଭିନ୍ (= ଆଞ୍ଜେଭିନ୍),आन्जवै
କୋଣ,ऐन्गल्स
ଅଙ୍ଗଲିକାନ୍ |,आंग्लिक
ଅଙ୍ଗଲିକାନ୍ ଯୋଗାଯୋଗ |,आंग्ल चर्च
ଅଙ୍ଗଲିକାନିଜିମ୍ |,आंग्ल चर्चवाद
ଆଙ୍ଗ୍ଲୋ-ଫୋବେ |,आंग्ल विरोधी
ଆଙ୍ଗ୍ଲୋ-ଫୋବିୟା |,आंग्ल-दुर्भीति
ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସନ୍ |,आंग्ल सैक्सन
ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସୋନିଜିମ୍ |,आंग्ल-सैक्सनवाद
ଆନ୍ନାଲିଷ୍ଟ |,"आख्यान-लेखक, आख्यानकार"
ବାର୍ଷିକ,"वर्षवृत्त, आख्यान, ख्यात"
ସଂଲଗ୍ନ,"अधिनहन, मिला देना"
ଆଣ୍ଟେ-ବେଲମ୍ |,युद्ध पूर्व (स्थिति)
ଆଣ୍ଟେ ତାରିଖ |,"पूर्वतिथि-निर्धांरण, पूर्वकाल निर्धारण"
ଧର୍ମ-ବିରୋଧୀ,पादरी प्रथा विरोधी
ଧର୍ମ-ବିରୋଧୀ ନିୟମ,पादरी प्रथा विरोधी विधान
ପ୍ରାଚୀନତା,"पुरावशेष, पुरावस्तु"
ଆଣ୍ଟି-ଭଡା,लगान-विरोधी
ଆଣ୍ଟି-ଭଡା,2. एन्टी रैन्ट पार्टी
ବିରୋଧୀ ଦଳ,"यहूदी विरोध, यहूदीवाद-विरोध, यहूदी विरोधवाद"
ଅଞ୍ଜାକ |,ऐन्ज़ेक
ଆପେଲା |,नागरिक सभा
ଅରୁଲୁ |,अरालू
ଆର୍ ବିଶପ୍ |,आर्च बिशप
ଆର୍ ଡୁଚି |,आर्च डची
ଆର୍ ଡ୍ୟୁକ୍ |,आर्च ड्यूक
ଆର୍କିଫ୍ (= ଅଭିଲେଖାଗାର ସଂଗ୍ରହ),पुरालेख संग्रह
ଆର୍କିପିସ୍କୋପେଟ୍ |,महाधर्माध्यक्ष का पद
ଆଭିମୁଖ୍ୟ,अभिजाततंत्र
ଆରିଷ୍ଟୋକ୍ରାଟ୍ |,अभिजात
ଆରିଷ୍ଟୋକ୍ରାଟ୍ ସ୍ନୋବେରୀ |,अभिजातीय दंभ
ଆରିଷ୍ଟୋଟେଲିଆନ୍ |,अरस्तूवादी
ଆର୍ମଡା |,आर्मेडा
ଆର୍ମଡା (= ସ୍ପାନିସ୍ ଆର୍ମଡା),स्पेन का आर्मेडा
ବାହୁବଳୀ (= ବାହୁବଳୀ),कवच-विशारद
ବାହୁବଳୀ (= ବାହୁବଳୀ),"कवच, बख्तर, वर्म"
ବାହୁବଳୀ |,अo देo armorist
ଆର୍ଯ୍ୟନ୍,आर्य
ଆର୍ଯ୍ୟନ୍,2. कुलीन
ଆସ୍କାରି |,अस्कारी
ନ୍ୟସ୍ତ କରନ୍ତୁ |,"आसिग्ना, भू-प्रतिभृत मुद्रा"
Assize,अभिसत्र
Assize,2. विधिपृच्छा
Assize,3. अभिसत्राधिनियम
ଆର୍ମସ୍ ଆକ୍ଟର ଆସାଇଜ୍ |,आयुध अभिसत्राधिनियम
ଡାରେନ୍ ପ୍ରେଜେଣ୍ଟେସନ୍ ର ଆସାଇଜ୍ |,डारेन उपस्थापन अभिसत्राधिनियम
ମର୍ଟ &#39;ଡି&#39; ପୂର୍ବପୁରୁଷଙ୍କ ଅନୁଧ୍ୟାନ |,मृत पूर्वज अभिसत्राधिनियम
ନୋଭେଲ୍ ଡିସାଇସିନ୍ ର ଆସାଇଜ୍ |,अभिनव अधिधारणोत्सादन अभिसत्राधिनियम
ଅତ୍ୟାଚାର,नृशंसता
ଆକ୍ରମଣ,आक्रमण
ଆୟୁଲିକ୍ ପରିଷଦ |,"सर्वोच्च न्यायालय, ऑलिक काउन्सिल"
ଗେଡିର କୁରା (ି (= ଗେଡି କୁରା) ି),गेडिस समाधान
ଆକ୍ସିସ୍ (= ରୋମ୍-ବର୍ଲିନ୍-ଟୋକିଓ ଆକ୍ସିସ୍),धुरी राष्ट्र
ବାବିଲ,"बाबुल, बेबीलोन"
ବାବିଲର ବନ୍ଦୀତା (= ବାବିଲୋନ ବନ୍ଦୀ),बेबीलोनी बंदीकरण
ବ୍ୟାଚାନାଲ ଭକ୍ତ,बाखुसी उपासक
ବ୍ୟାଚାନାଲିଆ |,मद्यपानोत्सव
ଅବିବାହିତ,युवा योद्धा
ବାଗଦାଦ ଚୁକ୍ତି |,"बगदाद अनुबंध, बगदाद पैक्ट"
ବାଲକାନ୍ ଲିଗ୍ |,बाल्कन लीग
ବାଲକାନ୍ ଚୁକ୍ତି |,बाल्कन अनुबंध
ବାଲକାନ ଯୁଦ୍ଧ |,बाल्कन युद्ध
ବାଲ୍ଟିକ୍ ଚୁକ୍ତି |,बाल्टिक अनुबंध
ବୃନ୍ଦାବନ,दस्यु
ବୃନ୍ଦାବନ ସମ୍ମିଳନୀ |,बांडुंग सम्मेलन
ବହିଷ୍କାର |,"निर्वासन, देश-निकाला"
ବ୍ୟାନର |,"पताका, ध्वजा"
ବର୍ବର,बर्बर
ବାର୍ବିକାନ୍ |,कोट-घूँघट
ବାର୍ଡୋଲି ସତ୍ୟଗ୍ରାହ |,बारदोली सत्याग्रह
ବାର୍ ବର୍ନର୍ସ |,बार्न बर्नस
ବରୁଣ |,"बैरन, सामंत"
ବରୁଣ,बैरोनेज
ବାରୋନସ୍ ମେଜୋରସ୍ |,महासामंत
ବାରୋନସ୍ ମାଇନୋରସ୍ |,लघु सामंत
ବରୁଣେସ୍ |,सामंत पत्नी
ବରୁଣେଟ୍ |,उपसामंत
ବରୁଣେଟେଜ୍ |,उपसामंत वर्ग
ବରୁଣେଟେଜ୍ |,2. बैरोनेट वंशावली
ବାରୋନେଟସି |,उपसामंत
ବାରୋନି |,बैरोनी
ବାରାକୁନ୍ |,दास बंदीगृह
ବାରାକୁନ୍ |,2. दास-गृह
ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ),अवरोध
ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ),2. घिराव
ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ),3. मोचबिंदी
ବେସ୍ କ୍ୟାମ୍ପ୍ |,आधार शिबिर
ବେସିଲିକା |,वैसिलिका
ବେସିଲିକା |,2. सभा भवन
ବସ୍ତିଲା |,बैस्टील
ବସ୍ତିଲ୍ |,बैस्टील
ବସ୍ତିଲ୍ |,2. कारागार
ବ୍ୟାଟେରୀ,तोपखाना
ଯୁଦ୍ଧ,"रण, समर, युद्ध"
ବଟଲ୍-ଆରେ |,रण-व्यूह
ଯୁଦ୍ଧ କାନ୍ଦ |,युद्ध-घोष
ଯୁଦ୍ଧ ଡିନ |,युद्ध कोलाहल
ଯୁଦ୍ଧ କ୍ଷେତ୍ର |,"रण भूमि, रण क्षेत्र, समरांगण"
ଯୁଦ୍ଧ ଭଜନ,युद्ध-गान
ସ୍ପର୍ସର ଯୁଦ୍ଧ |,एड़-युद्ध
ମାନାଙ୍କ ଯୁଦ୍ଧ |,ध्वज-संग्राम
ଯୁଦ୍ଧ ଜାହାଜ |,"रणपोत, जंगी जहाज़, संगरपोत"
ଯୁଦ୍ଧ-ଶକ୍ତି |,"संगरपोत शक्ति, रणपोत-शक्ति"
ବାୟକ୍ସ ଟେପେଷ୍ଟ୍ରି |,बेयू चित्रपट
ବିକନ୍ |,संकेत प्रकाश
ବିକନ୍ ଟାୱାର୍ |,प्रकाश स्तंभ
ବିଭର୍ |,मुखरक्षी
ବିଭର୍ |,2. बीवर सिक्का
ସମୁଦ୍ରର ଭିକାରୀ |,समुद्री बैगर
ବେଲିକୋଜ୍ |,युयुत्यु
ବେଲିକୋଜ୍ |,2. लड़ाकू
ବେଲିକୋଜ୍ |,3. युद्धप्रिय
ବେଲିକୋସିଟି |,"युयुत्सा, युद्धप्रियता, लड़ाकूपन"
ବେଲୋନା |,बेलोना
ଉପକାର,"मठवृत्ति, धमवृत्ति, पादरी की वृत्ति"
ପାଦ୍ରୀମାନଙ୍କର ଲାଭ,पादरी-सुविधा
ବେନେଲକ୍ସ |,बेनीलक्स
ବର୍ଲିନ୍ ଆଦେଶ |,"बर्लिन डिकी, बर्लिन निषेध"
ବର୍ସରକର |,"जुझारू योद्धा, नार्सी योद्धा"
ବେସାଣ୍ଟ (= ବେଜାଣ୍ଟ),बजांत
ବ Bethel ଥେଲ୍ |,बैथेल
Bibliolater,ग्रंथ-पूजक
ଗ୍ରନ୍ଥସମୂହ,ग्रंथपूजन
ବିଗ୍ ବର୍ଥା |,बिग बर्था
ବିଗଟ୍ |,धर्मांध
ବିଲିଂ,वासादेश
ଅଟ୍ଟାଇଣ୍ଡରର ବିଲ୍ |,बिल ऑफ अटेन्डर
ଅଧିକାର ବିଲ୍ |,अधिकार-पत्र
ଜୀବନୀ,"जीवनीकार, चरित लेखक"
ଜନ୍ମ କାହାଣୀ |,जातक कथाएँ
ବିଭିଆକ୍ |,पड़ाव
ବିଭିଆକ୍ |,2. रण-शिविर
ବିଭିଆକ୍ |,3. सैनिक पहरा
ବିଜୋନିଆ |,बाइज़ोनिया
କଳା ପକ୍ଷୀ,अवैध दास आयात
କଳା ପତାକା,काला झंडा
ବ୍ଲାକ୍ ହୋଲ୍ |,काल-कोठरी
ବ୍ଲାକ୍ ହୋଲ୍ |,2. ब्लैक होल
କଳା ଗୋଡ (= ସ୍କାବ),"गद्दार, द्रोही"
କଳା ସାର୍ଟ |,"ब्लैक शर्ट, काली कुर्ती दल"
ବ୍ଲାଜନ୍,कुल चिह्र
ବ୍ଲାଜନ୍,2. कुल चिह्र अंकन
ବ୍ଲାଜୋନ୍ରି |,कुल-चिह्रांकन कला
ବ୍ଲାଜୋନ୍ରି |,2. कलात्मक प्रदर्शन
ବ୍ଲିଟ୍ସ୍କ୍ରିଗ୍ |,"तड़ित युद्ध, तूफानी हमला"
ରକ୍ତହୀନ ବିପ୍ଳବ (= ଗ or ରବମୟ ବିପ୍ଳବ),"गौरवमय क्रांति, रक्तहीन क्रांति"
ରକ୍ତଚାପ,"रक्तपात देय, खून की कीमत, रक्तपात दण्ड"
ରକ୍ତାକ୍ତ ମରିୟମ |,खूनी मेरी (सन् - ईo)
ନୀଳ,ब्लू
ନୀଳ ରକ୍ତ,"आभिजात्य, कुलीनता"
ନୀଳ ପୁସ୍ତକ |,"नीली पुस्तिका, सरकारी रिपोर्ट, ब्लू बुक"
ନୀଳ ରିବନ୍ |,"नीला फीता, ब्लू रिबन"
ନୀଳ ରିବନ୍ |,2. सर्वोच्च सम्मान
ବ୍ଲୁଜ୍ (= ରୟାଲ୍ ଘୋଡା ଗାର୍ଡ),राजकीय रक्षक
ନୀଳ ସାର୍ଟ |,नीली कुर्ती दल (इटली)
ନୀଳ ଜଳ ବିଦ୍ୟାଳୟ |,नौसेना समर्थक
ନିୟନ୍ତ୍ରଣ ବୋର୍ଡ |,"संचालन-मंडल, संचालन-बोर्ड, नियंन्त्रण मंडल"
ଶରୀରର ଅସ୍ତ୍ରଶସ୍ତ୍ର |,"वर्म, जिरह-बख्तर"
ବୋଇର୍,बूर
ବୁଟି,लूट का माल
ବୋରୱୋ |,बरो
ବୁଲୁଟେରିଅନ୍ |,सीनेट सदन
ବୋର୍ବନ୍ |,बूर्बा
ବକ୍ସର ବିଦ୍ରୋହ |,बॉक्सर विद्रोह
ବନ୍ଧନୀ,भुज कवच
ପିତ୍ତଳ |,बाहु पट्टिका
ପିତ୍ତଳ |,"2. भुज बंध, भुज कवच"
ରୁଟି କଲୋନୀ |,बहुधान्यक प्रदेश
ସ୍ତନ ପ୍ଲେଟ୍ |,"वक्षस्त्राण, उरस्ताण"
ସ୍ତନ କାମ,आवक्ष भित्ति
ବ୍ରେଟୱାଲଡା |,"ब्रेटवाल्डा, ब्रिटनों का अधिपति"
ବ୍ରିଗାଣ୍ଡ୍ |,बटमार
ବ୍ରିଗେଣ୍ଡେଜ୍,"बटमारी, लुंठन, राहजनी"
ବ୍ରିଟିଶ୍ କମନୱେଲଥ୍ ଅଫ୍ ନେସନ୍ସ |,"ब्रिटिश कॉमनवेल्य, राष्ट्रमंडल"
ବ୍ରାଉନ୍ ସାର୍ଟ (= ନାଜି),"ब्राउन शर्ट्स, भूरी कुर्ती दल"
ବ୍ରୁସେଲ୍ସ ଚୁକ୍ତି (ଚୁକ୍ତି) ସଂଗଠନ (= ପଶ୍ଚିମ ୟୁରୋପୀୟ ୟୁନିଅନ୍),ब्रुसेल्स संधि संगठन
ବଫ୍ |,महिष चर्म
ବଫ୍ |,2. लघु कोट
ବଫ୍-କୋଟ୍ |,बफ़-कोट
ବଫସ୍ |,बफ़-रेज़िमेंट
ବୁଲେ (= ପରିଷଦ),ब्यूल
ବନ୍ଧକ,पट्टेदारी
ବରଗଡ |,पौर प्रतिनिधि
ବାଇଜାଣ୍ଟାଇନ,बाईजेन्टिनी
ବ yz ଜୟନ୍ତ ଚର୍ଚ୍ଚ,बाइजेन्टिनी गिरजाघर
ବ yz ଜୟନ୍ତ ସାମ୍ରାଜ୍ୟ |,बाइजेन्टिनी साम्राज्य; पूर्वी रोम साम्राज्य
ବାଇଜାଣ୍ଟାଇନ ଯୁଗ,बाइजेन्टिनी संवत्
ବ yz ଜୟନ୍ତ histor ତିହାସିକମାନେ |,बाइजेन्टिनी इतिहासकार
କ୍ୟାବଲ୍ |,"काबेल, षडयंत्रकारियों का गुट"
କେଜରିଜିମ୍ |,सीज़रतंत्र
ଖଲିଫ୍ |,खलीफ़ा
କଲିଗ୍ରାଫର୍ |,"खुशनवीस, सुलेखक"
କଲିଗ୍ରାଫିଷ୍ଟ |,सुलेख-विशारद
କାଲିଗ୍ରାଫି |,सुलेख
କାଲ୍ଟ୍ରପ୍ |,कैल्ट्रॉप
କାମାଡେରି |,सौहार्द
କାମାରିଲା |,लघु कक्ष
କାମାରିଲା |,2. षाड्यंत्रिक
କାମେଲାକମ୍ |,(पोप का) मुकुट
କାମୁଫ୍ଲେଜ୍ |,"छद्मावरण, छद्म गोपन"
ଅଭିଯାନ |,अभियान
କ୍ୟାମ୍ପ ଅନୁସରଣକାରୀ |,लश्करी; शिविरानुचर
କ୍ୟାମ୍ପୋ ସାଣ୍ଟୋ |,गिरजा क़ब्रिस्तान
କ୍ୟାମ୍ପସ୍ ମାର୍ଟିସ୍,कैंपस मारशियस
କାନେଫୋରା |,"कान्फोरा, डलियावाली"
କଙ୍ଗୁ,कैंग; काष्ठबंध
କାନନେଡ୍ |,गोलाबारी
ତୋପ ଖାଇବା |,"युद्ध-बलि, तोपचारा"
କାନନ୍ |,धर्म-सूत्र
କାନନ୍ ନିୟମ |,"चर्च क़ानून, ईसाई धर्म-नियम, धमनियम"
କାନୋପସ୍ ଆଦେଶ |,"कैनोपेस आज्ञप्ति, कैनोपस डिक्री"
ବାହୁବଳୀ,"चिह्रित शस्त्र, चिह्रित आयुध"
ବନ୍ଦୀ,बंदी
କ୍ୟାପ୍ଟର,बंदीकर्त्ता
କାର୍ଡିନାଲ୍ |,कार्डिनल
କାର୍ଲ |,कार्ल
କାରୋଲିଙ୍ଗିଆନ୍ ରାଜବଂଶ |,कैरोलिन्जी राजवंश
କାର୍ଟୁସିଆନ୍ ସମ୍ପ୍ରଦାୟ |,कारथूसी संप्रदाय
କାର୍ଟୋସା |,कारथूसी मठ
କାଷ୍ଟେଲିଆନ୍ |,"किलेदार, कोटपाल"
କାଷ୍ଟେଲିଆନ୍ |,2. केस्टेलन
ଜାତି ପ୍ରଣାଳୀ |,वर्ण-व्यवस्था
ଦୁର୍ଗ,() दुर्ग
ଦୁର୍ଗ,(2) गढ़ी
ଦୁର୍ଗ ସହର,दुर्ग-नगर
କାଷ୍ଟ୍ରା |,कैस्ट्रा
କାଷ୍ଟ୍ରା |,2. रोमन शिविर
କ୍ୟାଥେଡ୍ରା |,पादरी का सिंहासन
କ୍ୟାଥେଡ୍ରାଲ୍ |,मुख्य गिरजाघर
କାଟୋ ଷ୍ଟ୍ରିଟ୍ ଷଡଯନ୍ତ୍ର |,केटो स्ट्रीट षडयंत्र
କାଉଡିଲୋ |,कॉडिलो
କାଭାଲିଅର୍ |,() कैवेलियर
କାଭାଲିଅର୍ |,(2) घुड़सवार
କାଭାଲିଅର୍ ସଂସଦ |,कैवेलियर पार्लियामेंट
ଅଦୁଲ୍ଲାମର ଗୁମ୍ଫା |,"पक्ष-त्यागी गुट, आडुलम गुट"
ଗୁମ୍ଫା ଚିତ୍ର,"गुहा-चित्रकारी, गुहा-चित्रण"
ଗୁମ୍ଫା ଚିତ୍ର,2. गुहा-चित्र
Centumvir,सेन्टुमविर
ସେଞ୍ଚୁରିଅନ୍ |,सेंचुरियन
ଶତାବ୍ଦୀ,"शताब्दी, सदी, शती"
ଶୃଙ୍ଖଳା ବାହୁବଳୀ (= ଶୃଙ୍ଖଳା ମେଲ୍),"जिरह-बख्तर, श्रृंखला-कवच"
ଚାନ୍ଟ୍ରି |,"समर्पित मंदिर, समर्पित पूजागृह"
ଚାନ୍ଟ୍ରି |,2. समर्पित धर्मदास
ଅଧ୍ୟାୟ ପୁସ୍ତକ,चैप पुस्तिका
ଚାପଲେନ୍ |,"धर्माधिकारी, चैपलिन"
ଅଧ୍ୟାୟ,पादरी मंडल
ଦୁର୍ଘଟଣାର ଅଧ୍ୟାୟ |,सांयोगिक दुर्घटनाएँ
ଚାର୍ଜ,कीतिंचिह्र
ଡିଫେୟାର୍ ଚାର୍ଜ କରନ୍ତୁ |,"कार्यदूत, दूत-कार्यकारी"
ଚାର୍ଜ ବିଭାଜନ |,विदाई परामर्श
ଚାର୍ଜର,युद्धाश्व
ରଥ,विजय रथ
ରଥ,रथारोही
ରଥ,2. रथी
ରଥ,3. सारथी
ଚାରିଟି ରୋଷେଇ ଘର |,"अन्नसत्र, लंगर"
ଚାର୍ଟର୍,"अधिकार-पत्र, चार्टर"
ଚାର୍ଟିଷ୍ଟ ଆନ୍ଦୋଳନ (= ଚାର୍ଟିଜିମ୍),चार्टिस्ट आंदोलन
ଚାର୍ଟୋଫିଲାସିୟମ୍ |,"अभिलेख-कक्ष, अभिलेख-प्रकोष्ठ"
Chateau |,"सामंत गढ़ी, शातो"
ପୋଷ୍ଟ ଯାଞ୍ଚ କରନ୍ତୁ |,पड़ताल चौकी
ରାସାୟନିକ ଯୁଦ୍ଧ |,रासायनिक युद्ध
ଚେଷ୍ଟର୍ |,दुर्ग-नगर
ମୁଖ୍ୟ,सरदार
ମୁଖିଆ,सरदार
ମୁଖିଆ,2. सामंत
ମୁଖିଆ,3. राजा
ଚିଫନ୍ |,"जालांशुक, जालीदार कपड़ा, शिफान"
ପ୍ରତିଦ୍ୱନ୍ଦ୍ୱିତା |,शौर्य
ମନୋନୀତ ଲୋକ,यहूदी लोग
କ୍ରିସମୋଗ୍ରାଫିନ୍ |,दिव्यवाणी कक्ष प्रवचन कक्ष
ଖ୍ରୀଷ୍ଟଧର୍ମ,ईसाई जगत
ଖ୍ରୀଷ୍ଟିଆନ ଯୁଗ |,ईसवी काल
ଖ୍ରୀଷ୍ଟିଆନ ସମାଜବାଦ |,ईसाई समाजवाद
ଇତିହାସ,इतिवृत्त
କ୍ରୋନିକଲର୍,इतिवृत्तकार
କ୍ରିସ୍ ଚେରସୋନିସ୍ |,स्वर्ण-भूमि
ସିମେଲିୟମ୍ |,रत्न-कक्ष
ସିନକେସେଣ୍ଟୋ ଷ୍ଟାଇଲ୍ |,सोलहवीं शती की शैली
ସର୍କୁନାଭିଗେସନ୍ |,परिनौचालन
ସିଷ୍ଟର୍ସିଆନ୍ ମାଙ୍କଡ |,सिस्तर्शी साधु
ସୀତା,"दुर्ग, गढ़ी"
ଉଦ୍ଧୃତ,() प्रशस्ति
ଉଦ୍ଧୃତ,(2) उपस्थिति सूचना
ନାଗରିକ ଅବମାନନା |,सविनय अवज्ञा (आन्दोलन)
ଗୃହଯୁଦ୍ଧ |,गृह-युद्ध
ସିଭିସ୍ ରୋମାନସ୍ |,रोमन नागरिक
ଶାସ୍ତ୍ରୀୟ ବୟସ |,"कलासिकी युग, श्रेण्य युग"
କ୍ଲିଫ୍ଟ (= କ୍ଲେଫ୍ଟ),बटमार
ଧର୍ମ ଧର୍ମ,"पादरीवाद, पुरोहितवाद"
କ୍ଲାରଚ,"भूग्राही, क्लेरुक"
କ୍ଲୁନିୟକ୍ ଗତିବିଧି |,क्लूनी आंदोलन
କୋଟ ବାହୁ,"कवच, जिरह-बख्तर"
କୋଟ୍,कुलांक
କୋଟ୍,2. आयुधांक
କୋଟ୍,3. अस्त्र-ध्वजादि-चित्रण
କୋଟ୍ ମେଲ୍ |,"कवच, जिरह-बख्तर, अंगत्राण"
କୋହର୍ଟ |,कोहॉर्ट
Comitia,कोमिशिया
Comitia Centuriata,कोमिशिया सेंतुरियाता
Comitia Curiata,कोमिशिया क्यूरिआता
Comitia Tributa,कोमिशिया ट्रिब्यूता
ସ୍ମରଣୀୟ ଆର୍,स्मारक तोरण
ସ୍ମରଣୀୟ ମୁଦ୍ରା,स्मारक सिक्का
ସ୍ମରଣୀୟ ସିଲ୍ |,स्मारक मुहर
ସାଧାରଣ କ୍ଷେତ୍ର |,सार्वजनिक भूमि
କମ୍ୟୁନାର୍ଡ |,कम्यूनार्ड
କନକର୍ଡେଟ୍ |,समझौता
କନକର୍ଡେଟ୍ |,2. धर्म-संधि
କଣ୍ଡୋଟିଅର୍ |,कंदोत्यर
ନିଶ୍ଚିତକରଣ କାର୍ଟାରମ୍ |,"अधिकार-पत्र की पुष्टि, चार्टर-पुष्टि"
ଦ୍ୱନ୍ଦ୍ୱ |,संघर्ष
ମଣ୍ଡଳୀ,धर्म-संगति
ରାଜ୍ୟ ଜିତିବା |,विजेता राज्य
ଜୟ,विजेता
କନକ୍ୟୁଷ୍ଟାଡର୍ |,"वर्षक वीर, अत्याचारी विजेता"
କନସିଲିୟମ୍ |,राजपरिषद्
ସ୍ଥିର,"चर्च न्यायालय, काँसिस्टरी"
ଷଡଯନ୍ତ୍ର,षड़यन्त्र
ଷଡଯନ୍ତ୍ର,2. साजिश
କନସୁଲେଟ୍ |,कांसुली शासन
କନସୁଲେସନ୍ ବୁକ୍ |,परामर्श-पुस्तिका
କଣ୍ଟିନେଣ୍ଟାଲ୍ ସିଷ୍ଟମ୍ |,महाद्वीपीय व्यवस्था
