Gujarati,Odiya
એકોખી,ଆକ୍ୟୁନ୍ ପୋକ |
ધ્વનિ ક્ષેત્ર,ଆକାଶବାଣୀ ଜୋନିଂ |
પ્રાપ્ત કરેલું પાત્ર,ଅର୍ଜନ ବର୍ଣ୍ଣ
હસ્તગત પ્રતિરક્ષા,ଅଜାଣତର କାରଣ
હસ્તગત ઇમ્યુનો ઉણપ સિન્ડ્રોમ (એઇડ્સ),ଇମ୍ପୁନାଓ ଅଭାବ ସିଣ୍ଡ୍ରୋମ (ଏଡସ୍) ହାସଲ କରିଛି |
ક્રોધાવેશ,ଅକାନିଆ
એસિડાઇન રંગ,ଆକ୍ରିଡାଇନ୍ ରଙ୍ଗ
અતિશય,ଆକ୍ରୋସେଣ୍ଟ୍ରିକ୍ |
કરચલી,ଆକ୍ରୋମିଅନ୍ |
સર્કરો,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
સરકરાનો હુકમ,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
ગળાશ,ଆକ୍ରୋସିନ୍ |
કાર્ય,ଆକ୍ଟିନ୍ |
કૃત્ય,ଆକ୍ଟିନ୍-ପ୍ରୋଟିନ୍ |
અભિપ્રાયનું,ଆକ୍ଟିନୋମୋରଫିକ୍ଫିକ୍ |
કૃત્ય,ଆକ୍ଟିନୋମିସେସିସ୍ |
કાર્ય માટેની ક્ષમતા,କାର୍ଯ୍ୟ ସମ୍ଭାବନା
સક્રિય કાદવ,ସକ୍ରିୟ ସ୍ଲେଜ୍ |
સક્રિય કાદવ ફ્લોક,ସକ୍ରିୟ ସ୍ଲେଜ୍ ଫ୍ଲୋକ |
સક્રિય energyર્જા,ସକ୍ରିୟ ଶକ୍ତି
સક્રિય શોષણ,ସକ୍ରିୟ ଶୋଷଣ
સક્રિય પ્રતિરક્ષા,ସକ୍ରିୟ ପ୍ରତିରୋଧକତା |
સક્રિય કિરણોત્સર્ગ,ସକ୍ରିୟ ବିକିରଣ |
સક્રિય સ્થળ,ସକ୍ରିୟ ସାଇଟ୍
સક્રિય,କାର୍ଯ୍ୟକର୍ତ୍ତା
અણીદાર,ଆକ୍ରମିନେଟ୍ |
એડ્મસિયા,ଆଡାମାସିଆ |
અનુકૂલનક્ષમતા,ଅନୁକେତ
અનુકૂલન,ଆଡାପ୍ଟେସନ୍
પ્રકાશ શાસન માટે અનુકૂલન,ହାଲୁକା ଶାସନ ପାଇଁ ଆଡାପ୍ଟେସନ୍ |
પાણીની અછતને અનુકૂલન,ଜଳ ଅଭାବରୁ ଆଡାପ୍ଟେସନ୍ |
અનુકૂલનશીલ લાક્ષણિકતાઓ,ଆଡାପ୍ଟିଭ୍ ବ characteristics ଶିଷ୍ଟ୍ୟଗୁଡିକ |
અનુકૂલનશીલ પ્રતિરક્ષા,ଆଡାପ୍ଟିଭ୍ ଇନମୁନିଟି |
અનુકૂલનશીલ કિરણોત્સર્ગ,ଆଡାପ୍ଟିଭ୍ ବିକିରଣ |
અનુકૂલન લક્ષણ,ଆଡାପ୍ଟିଭ୍ ଗୁଣ |
ઉપદેશક,ଆଡକ୍ସିଆଲ୍ ଭୂପୃଷ୍ଠ |
વ્યસનકારક વિકાર,ନିଶା ବ୍ୟାଧି |
એક જાતની adાળ,ଆଡେନିନ୍
એડોનોકોર્ટિકોટ્રોપિન,ଆଡେନୋକର୍ଟିକୋଟ୍ରୋପିନ୍ |
એનોહિપોફિસીસ,Adenehiopophisisisis
એડેનોસિન ડિફોસ્ફેટ,ଆଡେନୋଜିନ୍ ଡିଫୋସେଫେଟ୍ |
એમેનોસિન,ଆଡେନୁସିନ୍ ତ୍ୟାଗ କର |
એનોસિન મોનોફોસ્ફેટ,ଆଡେନୁସିନ୍ ମୋନୋଫୋସଫେଟ୍ |
એડેનોસિન ટ્રાઇફોસ્ફેટ (એટીપી),ଆଡେନୁସିନ୍ ଟ୍ରିପ୍ଫେଟ୍ (ATP)
સાયક્લેઝ,ଆଡେନିଲେଟ୍ ସାଇକ୍ଲାଜିନ୍ |
ચપળ બળ,ଆଡେସିଭ୍ ଫୋର୍ସ |
શણગારવું,ଆଡିପେଟ୍ କରନ୍ତୁ |
એડિપોસાઇટ (ચરબી કોષ),Adipocyte (ଫ୍ୟାଟ୍ ସେଲ୍)
ચરબી પેશી,ସିସ୍ୟୁଜ୍ ଟିସୁ |
Nતરતું,ଆଡନେଟ୍ |
સંલગ્ન સમુદાય,ସଂଲଗ୍ନ ସମ୍ପ୍ରଦାୟର |
વ્યવહાસી,ଆଡ୍ରେନାଲ୍
એડ્રીનલ ગ્રંથિ,ଆଡ୍ରେନାଲ୍ ଗ୍ରନ୍ଥି |
એડ્રેનોકોર્ટિકોટ્રોપિક હોર્મોન (એસીટીએચ),ଆଡ୍ରେନିକୋ ବୋଟ୍ରୋପିକ୍ ହରମୋନ୍ (ACTH)
એડ્રેનોકોર્ટિકોટ્રોપિક રિલીઝિંગ હોર્મોન (એસીટીઆરએચ),ଆଡ୍ରେନାକର୍ଟିକୋଟ୍ରପିକ୍ ରିଲିଜ୍ ହରମୋନ୍ (ACTRH)
શોષક,ଆଡସରବେଣ୍ଟ
શોષક,ଆଡେର୍ସନ୍
અદ્યતન તાર,ଉନ୍ନତ ମୂଲ୍ୟ |
ફાયદાકારક પરિવર્તન,ଲାଭଦାୟକ ଗଣିତ |
સાહસિક,ଦୁ vent ସାହସିକ କାର୍ଯ୍ୟ |
અગમ્ય મૂળ,ଖରାପ ମୂଳ
પ્રતિકૂળ અસર,ପ୍ରତିକୂଳ ପ୍ରଭାବ
એડીસ,AED ଗୁଡିକ
સંસ્કૃતિનો વાયુ,ସଂସ୍କୃତିର ଆରେସନ୍
વિમાન,ଆତଙ୍କିତାମା |
હવાઈ,ବାୟୁ
હવાઈ ​​મૂળ,ବାୟୁଏଟ୍ ମୂଳ |
હવાઈ ​​ગોળી,ଏରିଲ୍ ସୁଟ୍ |
વાયુગામી શ્વસન,ଏରୋବିକ୍ ଶ୍ iration ଗଡା |
વાયુગામી શ્વસન,ଏରୋବିକ୍ ଶ୍ iration ଗଡା |
સૌંદર્ય શાસ્ત્ર,ସ est ନ୍ଦର୍ଯ୍ୟ
નિલાસ્ય,ବାୟେ
નિલાસ્ય,ବାୟେ
સંલગ્ન,ବିଶଙ୍ଗ
લગાવ રંગ,ଆଫିନିଟି କ୍ରୋମାଟୋଗ୍ରାଫି |
પીડિત અંગ,ଅଙ୍ଗପ୍ରତ୍ୟଙ୍ଗ ଅଙ୍ଗ |
વનીકરણ,ଆଗ ଶତ୍ରୁମାନଙ୍କର
અકસ્માત,ଆଗାମୋପର୍ମୀ |
પાટિયું,ଅଗର
અણીદાર,ଆଗ୍ରୋଜ୍
એલોઝ જેલ એલેટ્રોફોરેસિસ,ଆଗାରୋସ୍ ଗେଲ୍ ଇଟ୍ରୋଫୋରସ୍ |
પિલર જેલ,ଆର୍ଗ୍ରୋଜ ପଲିମର ଜେଲ୍ |
અવસ્થામાં,ଆଗିଷ୍ଟ
ખાડી,ଆଗେଭ୍
વય વહેંચણી,ବୟସ ବଣ୍ଟନ |
વય પિરામિડ,ବୟସ ପିରାମିଡ୍ |
Agલટ,Agglutination
સમૂહ,ସମୁଦାୟ
એકંદર,ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |
એકંદર,ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |
એકંદર,ମିଳନ
આક્રમકતા,ଆକ୍ରମଣାତ୍ମକତା
આંદોલનકારી પદ્ધતિ,Agiitor ତନ୍ତ୍ର
એકરાગ,ଆଗନାଥା
અણી,ଆଗାଉଟି
અગ્રાણ ક્લોરોપ્લાસ્ટ,ଆଗ୍ରାନାଲ କ୍ଲୋରୋପ୍ଲାଷ୍ଟ |
એકરારવાળું,ଆଗ୍ରାନୁଲାର୍
એગ્રાન્યુલોસાઇટ,ଆଗ୍ରାନୁଲୋସେଟେଟ୍ |
કૃષિ,କୃଷି
કૃષિ -પ્રવેશ,Agroftry
મધ્યસ્થી,Agrobacterium ମଧ୍ୟସ୍ଥି |
એગ્રોબેક્ટેરિયમ ટ્યુમેફેસિઅન્સ,Agrobacterium tumfacienss |
કૃષિ -તકનીકી,ଆଗ୍ରୋକେମିକାଲ୍ |
કૃષિ -તકનીકી,ଆଗ୍ରୋକେମିକାଲ୍ |
કૃષિ -ક્ષેત્ર,Agrovillatatic ଜୋନ୍ |
કૃષિવિજ્ trાન,କ agnownom ଣସି ଗୁଣଗତ ଗୁଣ |
કૃષિવિજ્yાન,କିରେନୋନୋମ୍ବନ
સહાય,ଏଡଡ୍ସ
હવાઈ ​​મૂત્રાશય,ଏୟାର ବ୍ଲାଡର |
હવાઈ ​​કન્ડિશનર,ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି
હવાઈ ​​માર્ગ,ବାୟୁ ପାସ୍ |
હવા પ્રદૂષણ,ବାୟୁ ପ୍ରଦୂଷଣ
હવાઈ ​​કોથળી,ଏୟାର ଥଳି
હવાઈપૂટી,ବାୟୁ ଶୂନ୍ୟ
હવાઈ ​​શ્વાસ,ବାୟୁ ନିଶ୍ୱାସ ନେବା |
અણીદાર,ଅଲିନ୍ |
અણીદાર સ્નાયુ,ଆଲେରୀ ମାଂସପେଶୀ |
અલાસ્કા બ્રાઉન રીંછ,ଆଲାସ୍କାନ୍ ବ୍ରାଉନ୍ ଭାଲୁ |
કોયડો,ଆଲବିନୋ |
કાંચક,ଆଲବୁଗୋ |
આલ્બ્યુબિન,ଆଲବମିନ |
શામક બીજ,ଆଲବମିନସ୍ ବିହନ |
આલ્બમિન્યુરિયા,ଆଲବୁମିନିରିଆ |
આવરણ,ଆଲବର୍ନମ୍
અણી,ଆଲେଡା
શણગાર,ଆଲଡେହେଡି
મિથોસ્ટેરોન,ଆଲଡୋଷ୍ଟେରନ୍ ସିଷ୍ଟମ୍ |
અલડોસ્ટેરા,ଆଲଡୋଷ୍ଟେରୋନ୍ |
Alલ્યુરોન સ્તર,ଆଲେରୋନ୍ ସ୍ତର |
એક જાતનો અવાજ,ଆଲେରୋପ୍ଲେଷ୍ଟ |
એક જાતની કળા,Alfalfa
એલ્ગલ મોર,ଆଲଗାଲ୍ ଫୁଲ |
જાસૂસ,ଅପଗନ୍
પરાયું ડીએનએ,ଏଲିଏନ୍ ଡିଏନ୍
પરિયન જાતિઓ,ଏଲିଏନ୍ ପ୍ରଜାତି |
ગોઠવણી,ପରିଚାଳିତ
ગોઠવણી,ପରିଚାଳିତ
ઉદાર નહેર,ଆଲିମେଣ୍ଟେରି କେନାଲ୍ |
અંતરીલ પદ્ધતિ,ଆଲିମେଣ୍ଟାରୀ ସିଷ୍ଟମ୍ |
અણી,ଆଲି ବ୍ୟଞ୍ଜସେମେସେସ୍ |
ક્ષુદ્ર,ଆଲକାଲାଇଡ୍ |
ક્ષુદ્ર,କ୍ଷାରିକ |
આલ્કીપ્ટોન્યુરિયા,ଅଲକାପଟୋନେର୍ଜିଆ
અણી,ଆଲାନ୍ସିଟ୍
એલીલ આવર્તન,ଆଲେଲେ ଫ୍ରିକ୍ୱେନ୍ସି |
એલીલ,ଆହେଲେ |
એલેલોમોર્ફિક જોડી,ଆଲୋଲେମୋମିକ୍ ଯୋଡି |
એલર્જન,ଆଲ୍ରେଜେନ |
મગર,ଆଲିଗେଟର୍ |
એલીયમ સી.પી.ઇ.પી.એ.,ଅସ୍ତ୍ରଶିୟ୍ ସେପୁ
સહ -સંબંધ,ଆଲଗଲାମି |
અલગ,ଆଲିଗ୍ରାଫ୍ଟ |
એલોપેટ્રિક સ્પષ્ટીકરણ,ଆଲପ୍ପାଟ୍ରିକ୍ ଯଥାର୍ଥ |
ફિલોપ્લોઇડ,ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |
એલોસ્ટીક અસર,ଆଲିସ୍ମିକ ପ୍ରଭାବ
એલોસ્ટીક ઉત્સુક,ଆଲିଶୋରଙ୍କ ଏନଜାଇମ୍ |
એલોસ્ટીક અવરોધક,ଆଲିସ୍ଟର ଇନହିବିଟର୍ |
ખેલ -મોડ્યુલેશન,ଆଲିସ୍ମିକ ମୋଡୁଲେସନ୍ |
એલોસ્ટીક સ્થળ,ଆଲିସର୍ଏଣ୍ଟିକ୍ ସାଇଟ୍ |
એલોસ્ટીક અવરોધ,ଆଲିସ୍ଟର ପ୍ରତିବନ୍ଧକ |
એલોટેટ્રાપ્લોઇડ,Allototreplid
કૃતિ,Alnus
કુંવાર,ଆଲୋ
ચેતાક્ષની સાથે,ଆକ୍ସନ୍ ସହିତ |
આલ્ફા-એન્ટાઇટ્રિપ્સિન,ଆଲଫା-ଆଣ୍ଟିକ୍ରିପ୍ସିନ୍ |
અણી,ଆଲଫା-ଲାକ୍ଟାଲବ୍ୟୁମିନ୍ |
આધ્યાત્મિક આબોહવાની સ્થિતિ,ଆଲପାଇନ୍ ଜଳବାୟୁ ଅବସ୍ଥା |
ઘાસચારો,ଆଲପାଇନ୍ ମଟର |
આલ્પાઈન ઝોન,ଆଲପାଇନ୍ ଜୋନ୍
અલ્ટોનીયા,ଆଲଷ୍ଟୋନିଆ
અનાદર,ସର୍ବୋଚ୍ଚame
વૈભવી,ବିକଳ୍ପ
એકાંત,ପି generation ଼ିର ବିକଳ୍ପ
Altણ માંદગી,ଉଚ୍ଚତା ରୋଗ
Altંચાઈ,ଉଚ୍ଚତା
મૂર્ત નળી,ଆଲଭୋଲାର୍ ନଳୀ |
પહાડી,Aytes
અલ્ઝાઇમર રોગ,ଅଲଜାଇମର ରୋଗ |
આદિક કોષ,ଆମାକରାଇନ୍ ସେଲ୍ |
અમરાન્થેસી,ଅମରନ୍ତାସିଦା |
અમરાન્થસ,ଅମରାନ୍ତିନ |
આસપાસના ઓસ્મોટિક એકાગ્રતા,ପରିବେଶ ଓସମାଟିକ୍ ଏକାଗ୍ରତା |
મંગળિયા,ଅମ୍ବିଷ୍ଟୋମା |
કાર્યરત થવું,ବନ୍ଧୁତ୍ୱ
એમિનો એસિડ,ଆମିନୋ ଏସିଡ୍ |
એમિનો એસિડ સ્વીકારનાર,ଆମିନୋ ଏସିଡ୍ ଗ୍ରହଣକାରୀ |
એમિનોસિલ ટી આર.એન.એ.,AminoicaL t rna syntHetase |
જાદુગરી,ଆମିନୋଫାଇସନ୍ |
ક્ષુત્વ,ଅମିତୋସାଇସ୍ |
તરંગ,ଆମୋନିଆ
ચંદ્ર,ଆମୋନିଫିକେଟ୍
દ્વેષીકરણ,ଆମାମୋଟେଲ୍ଜିମ୍ |
મૈવસેન્ટિસીસ,ଆମନିଓସେଣ୍ଟେସିସ୍ |
મણકાલોની તકનીક,ଆମନିଓସେଣ୍ଟେଟିସ୍ କ techni ଶଳ |
Amnoocyte,ଆମନିଓକେଟ୍ |
મૈથુન,ଆମନିଅନ୍
મણિ -પ્રવાહી,ଆମନିଓଟିକ୍ ଫ୍ଲୁଇଡ୍ |
મખરોધ,ଆମନିଓଟିକ୍ ମେମ୍ବ୍ରେନ୍ |
મખસુડ,ଆମନିଓଟିକ୍ ଥଳି |
અમીર,ଆମୋବା
એમોએબોસાઇટ,ଆମୋବାଇଟିଟ୍ |
અમીર,ଆମୋବିଏଡ୍
એમોએબોઇડ લિમ્ફોસાઇટ,ଆମୋବିଏଡ୍ ଲିମ୍ଫୋସିଟିଟ୍ |
એમીબોઇડ આંદોલન,ଆମୋବିଏଡ୍ ଆନ୍ଦୋଳନ |
આકારહીન,ଆମୋରଫସ୍ |
રકમ,ପରିମାଣ
મેફેટેમાઇન,ଆମ୍ଫେଟାମାଇନ୍ |
ઉન્માદ,ଆମ୍ଫିବିଆ
ઉન્માદ,ଆମ୍ଫିବିଆନ୍
ઉન્માદ,ଆମ୍ଫିବିଆନ୍
Amન,ଆମ୍ଫାଇଓକ୍ସସ୍ |
Amણપત્ર,ଆମ୍ଫାଇଓକ୍ସସ୍ ଲାନସୋପାଟସ୍ |
ઉભય,ଆମ୍ଫିସିଚିକ୍ |
ઉભયપથિક લિપિડ,ଆମ୍ଫିପିଟିକ୍ ଲିପିଡ୍ |
Amતરતી કળા,ଆମ୍ଫାଇସାର୍କା |
જાદુઈ,Ampicilillin
Amાંકી,ଅମପୁଲାଲା |
Amકલી ગ્રંથિ,ଆମପୁଲାରୀ ଗ୍ରନ୍ଥି |
મસ્તક,ଆମିଜିଡାଲ୍ |
એમીગડેલ,ଆମିଗଡାଲେ |
એમીગડાલિન,ଆମିଗାଡାଲିନ୍ |
સ્ફોટક,ଆମିଲେଜ୍
મેલીલોપ્લાસ્ટ,ଆମିଏଲପ୍ଲାଷ୍ଟ |
અનોડો,ଅବାନା
અનોડો,ଅରବା
એનાબોલિક માર્ગ,ଆନାବୋଲିକ୍ ପଥ |
અનોખા,ଆନାବୋଲିଜିମ୍ |
અનોખા,ଆନାଚାର୍ଡସିଆନା |
રખડુ,ରକ୍ତଦାତା
એનોરોબ,ଆନାରୋବେ |
એંટરોબિક બળતણ,ଆନାରୋବିକ୍ ଇନ୍ଧନ |
એંકોરોબિક શ્વસન,ଆନାରକୋବର ଶ୍ iration ାସକ୍ରିୟା |
એનારોબિક કાદવ પાચક,ଆନାରୋବିକ୍ ରୋକ୍ଲିଜ୍ ଡିଜିଟର୍ |
એંટરો,ଆନାରକୋବର |
અનોદ,ଆନିମା
ગુદા,ଆନାଲ୍
ગુદા,ଆନାଲ୍
ગુદા છિદ્ર,ଆନାଲ୍ ଆପେଚର |
ગુદા સર્કી,ଆନାଲ୍ ccor
ગુદા લૂપ,ଆନାଲ୍ ଲୁପ୍ |
ગુદા શૈલી,ଆନାଲ୍ ଶ style ଳୀ
સમાન,ଅନୁରୂପ
સમાન,ଅନୁରୂପ
સાદ્રશ્ય,ଆନାଲୋଜି
સાદ્રશ્ય,ଆନାଲୋଜି
વિશ્લેષણ,ବିଶ୍ଳେଷଣ |
એફેઝ,ଅଯାସୀ
એનાટોમિક અવરોધ,ଆନାଟୋମିକ୍ ପ୍ରତିବନ୍ଧକ |
શરીરરચનાવિષયક પાસા,ଆନାଟୋମିକାଲ୍ ଦିଗ |
શરીરરચનાવિજ્istાની,Anatomist-
શરીરરચના,ଆନାଟୋମି |
પૂર્વજ વંશજ અનુક્રમ,ପିତୃପୁରୁଷ ବଂଶର କ୍ରମ |
પૂર્વજોનો વંશ,ପ ancest ତୃକ ରେଖା |
પૂર્વજો,ପ ancest ତୃକ କ୍ରମ |
આદ,ଏକସେଲୋସୋମା |
જનનુભારી,ଆଣ୍ଡ୍ରୋକିୟମ୍ |
થાંભલા,ଆଣ୍ଡ୍ରୋଜେନ |
રખડુ,ରକ୍ତଦାତା
ક anંગું,ଆନିମୋନ୍ |
Anડતું,ଆନୁପ୍ଲଏଡ୍ |
Anન,ଆନୁପ୍ଲୋଡି
કંઠમાળ,ଆଞ୍ଜିନା
ઝેરગ્રામ,ଆଞ୍ଜିୟରମ୍ |
ઝ પણરો,ଆଙ୍ଗିଓଗ୍ରାଗ୍
ઝળહળાકાર,ଆଙ୍ଗିଓଗ୍ରାଫି |
રંગની કળા,An anivoplasty
કણક,ଅଙ୍ଗୁଳି ପାରସ୍ପରିକ
રંગગતિ,Anigiotensin |
રંગગતિ,ଆଙ୍ଗିଓଟେନିନୋଜେନ |
કોઠાર માછલી,ଅଙ୍ଗର ମାଛ |
ઓગળવી,ଆଞ୍ଜୁଆନା
અંગૂઠા,ଆଙ୍ଗୁଠି
પશુ,ପଶୁ
પશુ,ପଶୁ
પ્રાણીનું છાણ,ପଶୁ ଗୋବର
પશુપાલન,ପଶୁ କୁମ୍ଭାରୀ
પશુ કેરીયોટાઇપિંગ,ପଶୁ କାରିଟାଇପିଂ |
પ્રાણીસૃષ્ટિ,ପଶୁ ରାଜ୍ୟ
પશુ પેશી,ପଶୁ ଟିସୁ |
પોલાણ,ପଶୁ
ઠગ,ଆନାୟଣ
એશિશ,ଆନିସୋଟ୍ରୋପିକ୍ ବ୍ୟାଣ୍ଡ |
Ingંચે ચપટી,ଆନାଲିଟିଂ
નેલિડ,Annleled
Annણપુટી,ଆଙ୍କିଲଦା |
વાર્ષિક,ବାର୍ଷିକ ରିଙ୍ଗ |
ઉશ્કેરાયેલું,ପୁର୍ଣ୍ଣିକ
વાંકું,ନିନ୍ଦା
વિસંગત પ્રકાર,ଆନୋମାଲିୟ ପ୍ରକାର |
પર્વતમાળા,ଅଧପତ୍ର
કીડી,ପିମ୍ପୁଡ଼ି ଭୋଜନକାରୀ
વિરોધી,ବିରୋଧୀ |
એન્ટાર્કટિક,ଅପବିତ୍ର
એન્ટેના,ଆଣ୍ଟେନା |
એન્ટેના સંકુલ,ଆଣ୍ଟେନା କମ୍ପ୍ଲେକ୍ସ |
દ્વેષી ગ્રંથિ,ଆଣ୍ଟେନାଲ୍ ଗ୍ରନ୍ଥି |
અગ્રવર્તી (વેન્ટ્રલ) ગ્રે હોર્ન,ଆଣ୍ଟରିଅର୍ (ଭେଣ୍ଟ୍ରାଲ୍) ଧୂସର ଶିଙ୍ଗ |
અગ્રવર્તી હાયપોફિસીસ,ଆଣ୍ଟ୍ଟରର ହାଇପୋଫାଇସିସ୍ |
અગ્રવર્તી ઇન્ટરન્ટિક્યુલર સલ્કસ,ପୂର୍ବର ସେଣ୍ଟ୍ରଭେଷ୍ଟ୍ରିକୁଲାର୍ ସଲ୍କସ୍ |
ગૂંથ મારવો,ଅଙ୍କନ
એન્થર સંસ્કૃતિ,ଆନାଥନ୍ ସଂସ୍କୃତି
માદક દ્રવ્યો,ଆନିଚାଇଡିୟମ୍ |
એન્થેરોઝોઇડ,ଆନ୍ଥ୍ରୋଜଏଡ୍ |
એન્થોસેરોસ,ଆନ୍ଥୋକେସୋସ୍ |
એન્થોસેરોટોપ્સિડા,ଆନ୍ଫୋସିଆରୋଟୋସିଡା |
એક જાતની નશરીય,ଆନ୍ଥ୍ରାକ୍ସ |
માનવશાસ્ત્ર,ଆନ୍ଥ୍ରୋପେନିକ୍ ବିଲୁପ୍ତ |
માનવશાસ્ત્ર,ଆନ୍ଥ୍ରୋପୋଲୋଜି |
એન્ટિબેક્ટેરનું,ଆଣ୍ଟିବଜାର କଟୁ
એન્ટિબાયોટિક પેનિસિલિન,ଆଣ୍ଟିବାୟୋଟିକ୍ ପେନିସିଲିନ୍ |
એન્ટિબાયોટિક પ્રતિરોધક,ଆଣ୍ଟିବାୟୋଟିକ୍ ପ୍ରତିରୋଧକ |
એન્ટિબાયોટિક (ઓ),ଆଣ୍ଟିବାୟୋଟିକ୍ (ଗୁଡିକ)
એન્ટિબોડી,ଆଣ୍ଟିବଡି |
એન્ટિબોડી દંપતી,ଆଣ୍ଟିବଡି ଦମ୍ପତି |
એન્ટિબોડી મધ્યસ્થી,ଆଣ୍ଟିବଡି ମଧ୍ୟସ୍ଥତା ଅବିସ୍ମରଣୀୟ |
એન્ટીકોએગ્યુલેંટ,ଆଣ୍ଟିକୋଗୁଏଲାଣ୍ଟ |
એન્ટિકોડન લૂપ,ଆଣ୍ଟିକୋଡନ୍ ଲୁପ୍ |
એન્ટીડિપ્રેસ,ପୃଥିବୀ ନିରାଶ
એન્ટિડ્યુરેટિક હોર્મોન (એડીએચ),ଆଣ୍ଟିଭାସିଟିକ୍ ହରମୋନ୍ (ADH)
જનીન,ଆଣ୍ଟିଗେନ୍ ଜିନ୍
એન્ટિજેન-એન્ટિબોડી સંકુલ,ଆଣ୍ଟିଜେନ୍-ଆଣ୍ଟିବଡି ଜଟିଳ |
એન્ટિજેનિક નિર્ધારક,ଆଣ୍ଟିଜେନିକ୍ ନିର୍ଣ୍ଣୟ |
અસાધારણ પરિબળ,ଆଣ୍ଟିନ୍ୟୁଟେସନ୍ ଫ୍ୟାକ୍ଟର୍ |
વિરોધી,ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ୍ |
એન્ટિપોડલ ન્યુક્લિયસ,ଆଣ୍ଟିପୋଡାଲ୍ ନ୍ୟୁକ୍ଲିୟସ୍ |
સમૃદ્ધ આર.એન.એ.,ଆଣ୍ଟି-ସେନ୍ସ rna
એન્ટિવાયરલ પ્રોટીન,ଆଣ୍ଟିଭାଇରାଲ୍ ପ୍ରୋଟିନ୍ |
એન્ટ્રમ,ଆଣ୍ଟରୁମ୍
સસલું,ଅକ୍ୟୁଚେଟ୍ |
ગુદા,ମଳଦ୍ୱାର
અસ્વસ્થતા,ଚିନ୍ତା ବ୍ୟାଧି
