Telugu,Gujarati
ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ),આર્કાઇફ (=આર્કાઇવલ સંગ્રહ)
ఆర్కిపిస్కోపేట్,આર્કિપીસ્કોપેટ
దొర,કુલીન વર્ગ
దొర,કુલીન
కులీన స్నోబరీ,કુલીન સ્નોબરી
అరిస్టాటిలియన్,એરિસ્ટોટેલિયન
ఆర్మడ,આર્માડા
ఆర్మడ (=ది స్పానిష్ ఆర్మడ),આર્મડા (=ધ સ્પેનિશ આર્મડા)
ఆయుధాగాడు (=ఆయుధాకారుడు),આર્મોરિસ્ટ (=આર્મરિસ્ટ)
కవచం (=కవచం),બખ્તર (=બખ્તર)
ఆయుధాగాడు,આર્મરિસ્ટ
ఆర్యన్,આર્યન
ఆర్యన్,આર્યન
అస్కారి,અસ્કરી
కేటాయించండి,સોંપણી
అసైజ్ చేయండి,સહાય કરો
అసైజ్ చేయండి,સહાય કરો
అసైజ్ చేయండి,સહાય કરો
అసైజ్ ఆఫ్ ఆర్మ్స్ యాక్ట్,આર્મ્સ એક્ટની સહાય
డారీన్ ప్రెజెంట్‌మెంట్ అసైజ్,ડેરેન પ્રેઝન્ટમેન્ટની સહાય
మోర్ట్ &#39;D&#39; పూర్వీకుల అస్సైజ్,મોર્ટ &#39;ડી&#39; પૂર્વજની સહાય
అసైజ్ ఆఫ్ నవల డిస్సీసిన్,નવલકથા ડીસીસીનની સહાય
దారుణం,અત્યાચાર
దాడి,હુમલો
ఆలిక్ కౌన్సిల్,ઓલિક કાઉન્સિલ
గెడ్డెస్ యొక్క గొడ్డలి (=ది గెడెస్ గొడ్డలి),દેવીની કુહાડી (=દેવીની કુહાડી)
యాక్సిస్ (=ది రోమ్-బెర్లిన్-టోక్యో యాక్సిస్),એક્સિસ (=ધ રોમ-બર્લિન-ટોક્યો એક્સિસ)
బాబిలోన్,બેબીલોન
బాబిలోనియన్ బందిఖానా (=బాబిలోనియన్ బందిఖానా),બેબીલોનીયન કેદ (=બેબીલોનીશ કેદ)
బచ్చనాల్ భక్తుడు,બચનલ ભક્ત
బచ్చనాలియా,બચ્ચનલિયા
బ్రహ్మచారి,સ્નાતક
బాగ్దాద్ ఒప్పందం,બગદાદ કરાર
బాల్కన్ లీగ్,બાલ્કન લીગ
బాల్కన్ ఒప్పందం,બાલ્કન કરાર
బాల్కన్ యుద్ధాలు,બાલ્કન યુદ્ધો
బాల్టిక్ ఒప్పందం,બાલ્ટિક સંધિ
బందిపోటు,ડાકુ
బాండుంగ్ కాన్ఫరెన్స్,બાંડુંગ કોન્ફરન્સ
బహిష్కరణ,દેશનિકાલ
బ్యానర్,બેનર
బార్బేరియన్,અસંસ્કારી
బార్బికన్,બાર્બીકન
బార్డోలీ సత్యాగ్రహం,બારડોલી સત્યાગ્રહ
బార్న్ బర్నర్స్,બાર્ન બર્નર્સ
బారన్,બેરોન
బారోనేజ్,બેરોનેજ
బారోన్స్ మేజర్లు,બેરોન્સ મેજર
బారోన్స్ మైనర్లు,બેરોન્સ સગીર
బారోనెస్,બેરોનેસ
బారోనెట్,બેરોનેટ
బారోనెటేజ్,બેરોનેટેજ
బారోనెటేజ్,બેરોનેટેજ
బారోనెట్సీ,બેરોનેટસી
బారోనీ,બેરોની
బారకూన్,બેરાકૂન
బారకూన్,બેરાકૂન
బారికేడ్ (=బారికాడో),બેરિકેડ (=બેરિકેડ)
బారికేడ్ (=బారికాడో),બેરિકેડ (=બેરિકેડ)
బారికేడ్ (=బారికాడో),બેરિકેડ (=બેરિકેડ)
మూల శిబిరం,મુખ્ય છાવણી
బసిలికా,બેસિલિકા
బసిలికా,બેસિલિકા
బస్తీలా,બેસ્ટિલા
బాస్టిల్,બેસ્ટિલ
బాస్టిల్,બેસ્ટિલ
బ్యాటరీ,બેટરી
యుద్ధం,યુદ્ધ
బాటిల్-అరే,Batlle-એરે
యుద్ధానికి వెళ్ళే సైనికులు చేసే నినాదాలు,યુદ્ધ ક્રાય
బాటిల్ డిన్,યુદ્ધ દિન
యుద్ధ క్షేత్రం,યુદ્ધ ક્ષેત્ર
యుద్ధ శ్లోకం,યુદ્ધ સ્તોત્ર
స్పర్స్ యుద్ధం,સ્પર્સનું યુદ્ધ
స్టాండర్డ్ యుద్ధం,ધોરણનું યુદ્ધ
యుద్ధనౌక,યુદ્ધજહાજ
యుద్ధనౌక-బలం,યુદ્ધજહાજ-શક્તિ
Bayeux వస్త్రం,Bayeux ટેપેસ્ટ્રી
బెకన్,બીકન
బెకన్ టవర్,બીકન ટાવર
బీవర్,બીવર
బీవర్,બીવર
సముద్రపు బిచ్చగాళ్ళు,સમુદ્રના ભિખારીઓ
బెల్లికోస్,બેલીકોઝ
బెల్లికోస్,બેલીકોઝ
బెల్లికోస్,બેલીકોઝ
బెల్లికోసిటీ,બેલીકોસીટી
బెలోనా,બેલોના
ప్రయోజనం,લાભ
మతపెద్దల వల్ల ప్రయోజనం,ધર્મગુરુઓનો લાભ
బెనెలక్స్,બેનેલક્સ
బెర్లిన్ డిక్రీ,બર્લિન હુકમનામું
బెర్సెర్కర్,બેર્સકર
బెసెంట్ (=బెజాంట్),બેસન્ટ (=બેઝન્ટ)
బేతేలు,બેથેલ
గ్రంథకర్త,ગ્રંથસૂચિ
గ్రంథారాధన,ગ્રંથસૂચિ
బిగ్ బెర్తా,મોટા બર્થા
మతోన్మాదుడు,ધર્માંધ
బిల్లేటింగ్,બિલેટિંગ
అటెయిండర్ బిల్లు,અટેન્ડરનું બિલ
హక్కుల చట్టం,અધિકારોનું વિયેધક
జీవిత చరిత్ర రచయిత,જીવનચરિત્રકાર
జన్మ కథలు,જન્મ કથાઓ
తాత్కాలిక శిబిరం,બિવૉક
తాత్కాలిక శిబిరం,બિવૉક
తాత్కాలిక శిబిరం,બિવૉક
బిజోనియా,બિઝોનિયા
బ్లాక్ బర్డింగ్,બ્લેક બર્ડિંગ
నల్ల జండా,કાળો ઝંડો
కృష్ణ బిలం,બ્લેક હોલ
కృష్ణ బిలం,બ્લેક હોલ
నల్ల కాలు (=స్కాబ్),કાળો પગ (= સ્કેબ)
నల్ల చొక్కా,કાળો શર્ટ
బ్లజోన్,બ્લેઝોન
బ్లజోన్,બ્લેઝોન
బ్లేజోన్రీ,બ્લેઝોનરી
బ్లజోన్రీ,બ્લેઝોનરી
బ్లిట్జ్‌క్రీగ్,બ્લિટ્ઝક્રેગ
రక్తరహిత విప్లవం (=గ్లోరియస్ రివల్యూషన్),લોહી વગરની ક્રાંતિ (= ભવ્ય ક્રાંતિ)
బ్లడ్వైట్,બ્લડવાઈટ
బ్లడీ మేరీ,બ્લડી મેરી
నీలం,વાદળી
నీలం రక్తం,વાદળી રક્ત
నీలి పుస్తకం,વાદળી પુસ્તક
నీలం రంగు రిబ్బన్,વાદળી રિબન
నీలం రంగు రిబ్బన్,વાદળી રિબન
బ్లూస్ (=రాయల్ హార్స్ గార్డ్స్),બ્લૂઝ (= રોયલ હોર્સ ગાર્ડ્સ)
నీలం చొక్కా,વાદળી શર્ટ
బ్లూ వాటర్ స్కూల్,બ્લુ વોટર સ્કૂલ
బోర్డ్ ఆఫ్ కంట్రోల్,બોર્ડ ઓફ કંટ્રોલ
శరీర కవచం,શારીરિક બખ્તર
బోయర్,બોઅર
దోపిడి,લૂંટ
బరో,બરો
బౌల్యూటేరియన్,બુલ્યુટેરિયન
బోర్బన్,બોર્બોન
బాక్సర్ తిరుగుబాటు,બોક્સર બળવો
బ్రేస్,તાણવું
బ్రాస్సార్డ్,બ્રાસર્ડ
బ్రాస్సార్డ్,બ્રાસર્ડ
బ్రెడ్ కాలనీలు,બ્રેડ વસાહતો
బ్రెస్ట్ ప్లేట్,સ્તન પ્લેટ
రొమ్ము పని,સ્તન કામ
బ్రెట్వాల్డా,બ્રેટવાલ્ડા
బ్రిగాండ్,બ્રિગન્ડ
బ్రిగేండేజ్,બ્રિગેન્ડેજ
బ్రిటిష్ కామన్వెల్త్ ఆఫ్ నేషన్స్,બ્રિટિશ કોમનવેલ્થ ઓફ નેશન્સ
బ్రౌన్ షర్ట్స్ (=నాజీలు),બ્રાઉન શર્ટ્સ (=નાઝીઓ)
బ్రస్సెల్స్ ట్రీటీ (పాక్ట్) సంస్థ (=వెస్ట్రన్ యూరోపియన్ యూనియన్),બ્રસેલ્સ સંધિ (સંધિ) સંસ્થા (=વેસ્ટર્ન યુરોપિયન યુનિયન)
యెదురు,બફ
యెదురు,બફ
బఫ్-కోటు,બફ-કોટ
బఫ్స్,બફ્સ
బులే (=మండలి),બુલે (= કાઉન્સિલ)
బర్గేజ్,બર્ગેજ
బర్గెస్,બર્જેસ
బైజాంటైన్,બાયઝેન્ટાઇન
బైజాంటైన్ చర్చి,બાયઝેન્ટાઇન ચર્ચ
బైజాంటైన్ సామ్రాజ్యం,બાયઝેન્ટાઇન સામ્રાજ્ય
బైజాంటైన్ యుగం,બાયઝેન્ટાઇન યુગ
బైజాంటైన్ చరిత్రకారులు,બાયઝેન્ટાઇન ઇતિહાસકારો
కాబాల్,કેબલ
సీజరిజం,સીઝરિઝમ
ఖలీఫ్,ખલીફા
కాలిగ్రాఫర్,સુલેખનકાર
కాలిగ్రాఫిస్ట్,સુલેખનકાર
కాలిగ్రఫీ,સુલેખન
కాల్ట్రాప్,કેલ્ટ્રોપ
సాహచర్యం,મિત્રતા
కమరిల్లా,કેમેરિલા
కమరిల్లా,કેમેરિલા
కామెలాకమ్,કેમલૌકમ
మభ్యపెట్టడం,છદ્માવરણ
ప్రచారం,ઝુંબેશ
క్యాంపు అనుచరుడు,શિબિર અનુયાયી
కాంపో శాంటో,કેમ્પો સાન્ટો
క్యాంపస్ మార్టియస్,કેમ્પસ માર્શિયસ
కనెఫోరా,કેનેફોરા
కంగు,કેંગ્યુ
ఫిరంగి,તોપ
ఫిరంగి మేత,તોપ ઘાસચારો
కానన్,કેનન
కానన్ చట్టం,કેનન કાયદો
కానోపస్ డిక్రీ,કેનોપસ હુકમનામું
ఆయుధాలు పట్టుకోవడం,શસ્ત્ર
బందీ,બંદીવાન
కాప్టర్,કેપ્ટર
కార్డినల్,કાર્ડિનલ
కార్ల్,કાર્લ
కరోలింగియన్ రాజవంశం,કેરોલિંગિયન રાજવંશ
కార్తుసియన్ శాఖ,કાર્થુસિયન સંપ્રદાય
కార్టోసా,કાર્ટોસા
కాస్టేలియన్,કેસ્ટેલિયન
కాస్టేలియన్,કેસ્ટેલિયન
కుల వ్యవస్థ,જાતિ વ્યવસ્થા
కోట,કિલ્લો
కోట,કિલ્લો
కోట పట్టణం,કેસલ ટાઉન
కాస్ట్రా,કાસ્ટ્રા
కాస్ట్రా,કાસ્ટ્રા
కేథడ్రా,કેથેડ્રા
కేథడ్రల్,કેથેડ્રલ
కాటో స్ట్రీట్ కుట్ర,કેટો સ્ટ્રીટ કાવતરું
కౌడిల్లో,કૌડીલો
కావలీర్,ઘોડેસવાર
కావలీర్,ઘોડેસવાર
కావలీర్ పార్లమెంట్,ઘોડેસવાર સંસદ
అదుల్లాం గుహ,અદુલ્લામની ગુફા
గుహ పెయింటింగ్,ગુફા પેઇન્ટિંગ
గుహ పెయింటింగ్,ગુફા પેઇન્ટિંગ
సెంటంవిర్,સેન્ટુમવીર
సెంచూరియన్,સેન્ચ્યુરિયન
సెంచరీ,સદી
చైన్ ఆర్మర్ (=చైన్ మెయిల్),સાંકળ બખ્તર (= સાંકળ મેલ)
చాంట్రీ,ચેન્ટ્રી
చాంట్రీ,ચેન્ટ્રી
చాప్ పుస్తకం,ચેપ પુસ્તક
చాప్లిన్,ધર્મગુરુ
అధ్యాయం,પ્રકરણ
ప్రమాదాల అధ్యాయం,અકસ્માતોનો પ્રકરણ
ఆరోపణ,ચાર્જ
ఛార్జ్ డి&#39;ఎఫైర్స్,ચાર્જ ડી અફેર્સ
ఛార్జ్ విడిపోవడం,ચાર્જ વિદાય
ఛార్జర్,ચાર્જર
రథము,રથ
రథసారధి,સારથિ
రథసారధి,સારથિ
రథసారధి,સારથિ
ఛారిటీ వంటగది,ચેરિટી રસોડું
చార్టర్,ચાર્ટર
చార్టిస్ట్ ఉద్యమం (=చార్టిజం),ચાર્ટિસ્ટ ચળવળ (= ચાર્ટિઝમ)
చార్టోఫిలాసియం,ચાર્ટોફિલેસિયમ
చాటౌ,ચટેઉ
చెక్ పోస్ట్,ચેક પોસ્ટ
రసాయన యుద్ధం,રાસાયણિક યુદ્ધ
చెస్టర్,ચેસ્ટર
చీఫ్,મુખ્ય
అధిపతి,સરદાર
అధిపతి,સરદાર
అధిపతి,સરદાર
షిఫాన్,શિફૉન
శూరత్వం,શૌર્ય
ఎంచుకున్న వ్యక్తులు,પસંદ કરેલા લોકો
క్రిస్మోగ్రఫీ,ક્રિસ્મોગ્રાફિયન
క్రైస్తవమత సామ్రాజ్యం,ખ્રિસ્તી ધર્મ
క్రైస్తవ యుగం,ખ્રિસ્તી યુગ
క్రిస్టియన్ సోషలిజం,ખ્રિસ્તી સમાજવાદ
క్రానికల్,ક્રોનિકલ
క్రానికల్,ક્રોનિકર
Chryse Chersonese,Chryse Chersonese
సిమిలియం,સિમેલિયમ
సింక్వెసెంటో స్టైల్,Cinquecento પ્રકાર
ప్రదక్షిణ,પરિક્રમા
సిస్టెర్సియన్ సన్యాసి,સિસ્ટરસિયન સાધુ
కోట,રાજગઢ
అనులేఖనం,અવતરણ
అనులేఖనం,અવતરણ
శాసన ఉల్లంఘన,સામાજિક અસહકાર
పౌర యుద్ధం,નાગરિક યુદ્ધ
సివిస్ రోమనస్,સિવિસ રોમનસ
సాంప్రదాయ వయస్సు,શાસ્ત્રીય વય
క్లెఫ్ట్ (=క్లెఫ్ట్),Clepht (=klepht)
మతాధికారం,કારકુનવાદ
క్లర్చ్,કારકુન
క్లినియాక్ ఉద్యమం,ક્લુનિયાક ચળવળ
కోటు కవచం,કોટ બખ્તર
కోట్ ఆఫ్ ఆర్మ్స్,શસ્ત્રોનો કોટ
కోట్ ఆఫ్ ఆర్మ్స్,શસ્ત્રોનો કોટ
కోట్ ఆఫ్ ఆర్మ్స్,શસ્ત્રોનો કોટ
కోట్ ఆఫ్ మెయిల్,ટપાલનો કોટ
కోహోర్ట్,સમૂહ
కమిటియా,કોમીટીયા
కమిటియా సెంచురియాటా,કોમિટિયા સેન્ટુરિયાટા
కమిటియా క్యూరియాటా,કોમિટિયા કુરિયાટા
కమిటియా ట్రిబ్యూటా,કોમિટિયા ટ્રિબ્યુટા
స్మారక వంపు,સ્મારક કમાન
స్మారక నాణెం,સ્મારક સિક્કો
స్మారక ముద్ర,સ્મારક સીલ
సాధారణ క్షేత్రం,સામાન્ય ક્ષેત્ર
కమ్యూనార్డ్,કોમ્યુનાર્ડ
కాంకోర్డాట్,કોનકોર્ડેટ
కాంకోర్డాట్,કોનકોર્ડેટ
కండోటియర్,કોન્ડોટિયર
నిర్ధారణ కార్టరమ్,પુષ્ટિકરણ Cartarum
సంఘర్షణ,સંઘર્ષ
సభ,મંડળ
రాష్ట్రాన్ని జయించడం,વિજયી રાજ્ય
విజేత,વિજેતા
విజేత,વિજેતા
కన్సిలియం,કોન્સિલિયમ
క్రమబద్ధమైన,કન્સિસ્ટરી
కుట్ర,કાવતરું
కుట్ర,કાવતરું
కాన్సులేట్,કોન્સ્યુલેટ
సలహా పుస్తకం,કન્સ્યુલેશન બુક
ఖండాంతర వ్యవస్థ,કોન્ટિનેંટલ સિસ્ટમ
కన్వెన్షన్ పార్లమెంట్,સંમેલન સંસદ
కాపర్ హెడ్స్ (=శాంతి ప్రజాస్వామ్యవాదులు),કોપરહેડ્સ (=પીસ ડેમોક્રેટ્સ)
కాపీహోల్డ్,કોપીહોલ્ડ
కార్డనింగ్,કોર્ડનિંગ
కరోనా,કોરોના
పట్టాభిషేకం,રાજ્યાભિષેક
పట్టాభిషేక రాయి,રાજ્યાભિષેક પથ્થર
కార్పస్,કોર્પસ
కోర్సెయిర్,કોર્સેર
కోర్సెయిర్,કોર્સેર
కార్సెట్ (=కోర్సెలెట్),કાંચળી (=કાંચળી)
కోర్టెస్,કોર્ટેસ
కోటార్ (=కోటియర్),કોટ્ટર (=કોટીયર)
కోటార్ (=కోటియర్),કોટ્ટર (=કોટીયર)
కౌంట్ పాలటినేట్,કાઉન્ટ પેલેટિનેટ
పూరిల్లు,દેશ ઘર
కౌంటీ,કાઉન્ટી
కౌంటీ బరో,કાઉન્ટી બરો
కౌంటీ కోర్టులు,કાઉન્ટી કોર્ટ
కౌంటీ పాలటైన్,કાઉન્ટી પેલેટીન
కోర్టు,કોર્ટ
కోర్టు,કોર્ટ
కోర్టు సర్క్యులర్,કોર્ટ પરિપત્ર
కోర్టు మర్యాదలు,કોર્ટ શિષ્ટાચાર
సభికుడు,દરબારી
కోర్ట్ ఆఫ్ కాసేషన్,કેસેશન કોર્ટ
కోర్ట్ ఆఫ్ డైరెక్టర్స్ (EIC),કોર્ટ ઓફ ડિરેક્ટર્સ (EIC)
యాజమాన్యాల న్యాయస్థానం,માલિકોની કોર્ટ
ఆస్థాన కవి,દરબાર કવિ
ఒప్పందం చేసుకున్న కామెరోనియన్లు,કરારબદ્ધ કેમેરોનિયનો
కిరీటం,તાજ
కిరీటం,તાજ
కిరీటం,તાજ
కిరీటం భూమి,તાજ જમીન
కిరీటం భూమి,તાજ જમીન
క్రౌన్ ప్రిన్స్,રાજકુંવર
క్రూసేడ్,ધર્મયુદ્ધ
క్రూసేడర్,ક્રુસેડર
క్రిప్టోగ్రామ్,ક્રિપ્ટોગ્રામ
క్యూరాస్,કુઇરાસ
క్యూరాసియర్,ક્યુરાસીયર
కల్ట్ దేవత,સંપ્રદાય દેવતા
క్యూరియా,કુરિયા
క్యూరియా,કુરિયા
జారిజం,ઝારવાદ
చీకటి ఖండం,શ્યામ ખંડ
తీర్పు రోజు,ચુકાદાનો દિવસ
తీర్పు రోజు,ચુકાદાનો દિવસ
డీన్,ડીન
దశాబ్దం,દશક
డెనారియస్,ડેનરિયસ
పదవీచ్యుతుడైన చక్రవర్తి,પદભ્રષ્ટ રાજા
పాడుచేయు,બગાડ
చెడిపోవడం,બગાડ
సింహాసనాన్ని తొలగించు,ડિથ્રોન
డయాడెమ్,ડાયડેમ
డయాడెమ్,ડાયડેમ
డయాడెమ్,ડાયડેમ
డయాసియా,ડાયસિયા
డికాస్టీరియం,ડિકાસ્ટેરિયમ
డైలువియలిస్ట్,ડિલુવિઆલિસ્ટ
డియోసెస్,પંથક
డియోసెస్,પંથક
డైరెక్టరీ (=డైరెక్టరీ),નિર્દેશક (=નિર્દેશક)
డైరెక్టరీ (=డైరెక్టరీ),નિર્દેશક (=નિર્દેશક)
దిర్హమ్,દિરહામ
నమ్మకద్రోహం,બેવફા
నమ్మకద్రోహం,બેવફા
లోపము యొక్క సిద్ధాంతము,ક્ષતિનો સિદ્ધાંત
పత్రం,દસ્તાવેજ
డాక్యుమెంటరీ సాక్ష్యం,દસ્તાવેજી પુરાવા
డోమ్స్‌డే బుక్,ડોમ્સડે બુક
కాన్స్టాంటైన్ విరాళం,કોન્સ્ટેન્ટાઇનનું દાન
డూమ్,પ્રારબ્ધ
వరవరపు రాణి,ડોવગર રાણી
డ్రాగన్,ડ્રેગન
డ్రోమెడిరియన్,ડ્રોમેડેરીયન
డ్రోమెడరీ,ડ્રોમેડરી
డ్రోమండ్,ડ્રોમોન્ડ
ద్వంద్వ,ડ્યુઅલ
ద్వంద్వ కూటమి,બેવડા જોડાણ
ద్వంద్వ ఉద్దేశం,ડ્યુઅલ entente
ద్వంద్వ వ్యవస్థ (=ద్వంద్వ ప్రభుత్వం),ડ્યુઅલ સિસ્ટમ (= બેવડી સરકાર)
డ్యూక్,ડ્યુક
డూమా,ડુમા
వామన అవతారం,વામન અવતાર
రాజవంశం,રાજવંશ
రాజవంశం,રાજવંશ
డేగ,ગરુડ
పెద్ద మనిషి,વૃદ્ધ માણસ
ఎర్ల్,અર્લ
ఎర్ల్డమ్,અર્લ્ડમ
తొలి గుప్తులు,પ્રારંભિક ગુપ્તા
ప్రారంభ (చారిత్రక) సైట్లు,પ્રારંભિક (ઐતિહાસિક) સાઇટ્સ
ప్రారంభ వేద కాలం,પ્રારંભિક વૈદિક સમયગાળો
ఎక్లేసియా,એકલસિયા
పునరుద్ధరణ శాసనం,વળતરનો આદેશ
ఎనిమిది రెట్లు మార్గం,આઠ ગણો રસ્તો
పెద్దలు,વડીલો
పెద్ద రాజనీతిజ్ఞుడు (=జెన్రో),વડીલ રાજનેતા (= genro)
ఏనుగు మేడ,હાથી ગોડ
పదకొండు సంవత్సరాల నిరంకుశత్వం,અગિયાર વર્ષનો જુલમ
ఎలిసే (=ఎలీసీ),એલિસી (=એલિસી)
ఎన్‌క్లోజర్ ఉద్యమం,બિડાણ ચળવળ
ఎన్సైక్లికల్,એન્સાઇકલિકલ
ఎన్సైక్లోపెడిస్ట్ ఉద్యమం,જ્ઞાનકોશવાદી ચળવળ
ఎంటెంటే,એન્ટેન્ટે
ఎంటెంటే కార్డియాల్,એન્ટેન્ટે કોર્ડિયેલ
సింహాసనం,સિંહાસન
పరివారం,નોકરચાકર
ఎఫోడ్,એફોદ
ఎఫోర్,એફોર
పురాణ యుగం,મહાકાવ્ય યુગ
పురాణ వీరుడు,એપિક હીરો
ఎపిగ్రాఫ్,એપિગ્રાફ
ఎపిస్కోపసీ,એપિસ્કોપેસી
ఎపిస్కోపేట్,એપિસ્કોપેટ
ఎపిసోడ్,એપિસોડ
యుగం,યુગ
యుగాన్ని సృష్టించే సంఘటన,યુગ-નિર્માણની ઘટના
యుగపురుషుడు,યુગ-નિર્માતા માણસ
పేరుపేరు,ઉપનામ
ఎక్వెరీ,ઇક્વેરી
ఎక్వెరీ,ઇક્વેરી
గుర్రపుస్వారీ విగ్రహం,અશ્વારોહણ પ્રતિમા
యుగం,યુગ
ఎర్గస్టులం,અર્ગાસ્ટુલમ
యూకారిస్ట్,યુકેરિસ્ટ
సువార్తవాదం,ઇવેન્જેલિકલિઝમ
సువార్త ఉద్యమం,ઇવેન્જેલિકલ ચળવળ
మత ప్రచారకుడు,પ્રચારક
Exarch,Exarch
Exilarch,એક્સિલર્ચ
ఫలాంగిస్ట్,ફલાંગિસ્ટ
తండ్రి భూమి,પિતાની જમીન
తండ్రి భూమి,પિતાની જમીન
ఫెరియాయే,ફેરિયા
ఫెటిష్,ફેટીશ
ఫ్యూడల్ హోల్డింగ్స్,સામન્તી હોલ્ડિંગ્સ
ఫ్యూడలిజం (=ఫ్యూడల్ వ్యవస్థ),સામંતવાદ (= સામંતશાહી વ્યવસ્થા)
భూస్వామ్య వ్యవస్థ,સામંતશાહી વ્યવસ્થા
