Assamese,Tamil
"সংযুক্ত আবৃত,",இணைக்கப்பட்ட உறை
সাধাৰণ নিৰ্ণায়ক,பொதுவான தீர்மானிப்பான்
সংযুক্ত অৱভেদ্য সমীকৰণ,இணைக்கப்பட்ட வேறுபாடு சமன்பாடு
সংলগ্ন সমীকৰণ,இணைக்கப்பட்ட சமன்பாடு
সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স,ஒரே மாதிரியான அணி
মেট্ৰিক্স সহাৱস্থান,அணி ஒருங்கிணைப்பு
সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স,ஒரே மாதிரியான அணி
গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য,ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு
গ্ৰহণযোগ্য অনুমান,ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்
বায়ুগতিবিদ্যা বল,காற்றியக்க விசை
বায়ুগতিবিদ্যা,காற்றியக்கவியல்
সমজাতীয় জ্যামিতি,ஒரே மாதிரியான வடிவியல்
সমজাতীয় মেপিং,ஒரே மாதிரியான மேப்பிங்
সমজাতীয় ৰূপান্তৰ,ஒரே மாதிரியான மாற்றம்
এগ্ৰিগেট ভেৰিয়েবল,மொத்த மாறி
"বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত","இயற்கணிதம், இயற்கணிதம், இயற்கணிதம், இயற்கணிதம்"
"বীজযুক্ত বন্ধ, বীজযুক্ত","விதை மூடிய, விதை"
বীজগণিতীয় সমীকৰণ,இயற்கணித சமன்பாடு
বীজগণিতীয় প্ৰকাশ,இயற்கணித வெளிப்பாடு
বীজগণিতীয় একাকাৰীতা,இயற்கணித ஒருமைப்பாடு
বীজগণিতীয় ফলন,இயற்கணித செயல்பாடு
বীজগণিতীয় জ্যামিতি,இயற்கணித வடிவியல்
বীজগণিতীয় বহুত্ব,இயற்கணித பன்மை
বীজগণিতীয় ব্যৱস্থা,இயற்கணித அமைப்பு
সকলো-পূৰ্ণসংখ্যা সমস্যা,அனைத்து முழு எண் பிரச்சனை
"নিযুক্তিৰ সমস্যা watt প্ৰশ্ন,",ஒதுக்கீட்டுச் சிக்கல் வாட் கேள்வி
বৰ্ণানুক্ৰমিক সংকেত,அகரவரிசைக் குறியீடு
বৰ্ণানুক্ৰমিক আখৰ,அகரவரிசை எழுத்து
বিকল্প কোণ,மாற்று கோணங்கள்
"বিকল্প সমজাতীয় বিকল্প ৰূপ,",மாற்று ஒரே மாதிரியான மாற்று வடிவம்
বিকল্প গোট,மாற்று குழு
বিকল্প মেট্ৰিক্স,மாற்று அணி
বিকল্প শৃংখলা,மாற்று தொடர்
বিকল্প অনুমান,மாற்று கருதுகோள்
বিকল্প অনুকূল,மாற்று உகந்தது
বিকল্প ফলাফল,மாற்று முடிவு
এনালগ-ডিজিট ৰূপান্তৰক,அனலாக்-இலக்க மாற்றி
"এনালগ কম্পিউটাৰ,",அனலாக் கணினி
বিশ্লেষণ,பகுப்பாய்வு
সহাৱস্থান বিশ্লেষণ,இணைநிலை பகுப்பாய்வு
গণনা-তথ্য বিশ্লেষণ,கணக்கெடுப்பு-தரவு பகுப்பாய்வு
ভ্যাৰিয়েন্স বিশ্লেষণ,மாறுபாடு பகுப்பாய்வு
বিশ্লেষণাত্মক জ্যামিতি,பகுப்பாய்வு வடிவியல்
বিশ্লেষণাত্মক কাৰ্য্য,பகுப்பாய்வு செயல்பாடு
কোণ,கோணம்
স্পৰ্শক কোণ,தொடுகோடு கோணம்
বিক্ষেপণ কোণ,விலகல் கோணம்
ডিপ্ৰেছন এংগেল,மனச்சோர்வு கோணம்
বিচ্যুতি কোণ,விலகல் கோணம்
বিবৰ্তন কোণ,விலகல் கோணம்
উচ্চতা কোণ,உயர கோணம்
প্ৰাদুৰ্ভাৱৰ কোণ,நிகழ்வு கோணம்
প্ৰক্ষেপণৰ কোণ,திட்ட கோணம்
প্ৰতিফলনৰ কোণ,பிரதிபலிப்பு கோணம்
বিবৰ্তনৰ কোণ,ஒளிவிலகல் கோணம்
ঘূৰ্ণন কোণ,சுழற்சி கோணம்
প্ৰতিফলনৰ নিৰপেক্ষ কোণ,பிரதிபலிப்பு முழுமையான கோணம்
কৌণিক ত্বৰণ,கோண முடுக்கம்
কৌণিক বেগ,கோண வேகம்
কৌণিক গতি,கோண வேகம்
কৌণিক বেগ,கோண வேகம்
ৰিং ফিংগাৰ,மோதிர விரல்
উত্তৰদিশ,பதில்
কাউণ্টাৰ ডেৰাইভেটিভ,எதிர் வழித்தோன்றல்
সমমিতি ফলন,ஐசோமெட்ரிக் செயல்பாடு
"আবৃত, প্ৰযোজ্য, প্ৰযোজ্য","மறைக்கக்கூடிய, பொருந்தக்கூடிய, பொருந்தக்கூடிய"
"আবেদন আবেদন,",விண்ணப்ப விண்ணப்பம்
ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে,பயன்பாட்டு டைனமிக் நிரலாக்கம்
প্ৰয়োগ কৰা জ্যামিতি,பயன்படுத்தப்படும் வடிவியல்
প্ৰয়োগ কৰা গণিত,பயன்பாட்டு கணிதம்
প্ৰয়োগ কৰা পৰিসংখ্যা,பயன்பாட்டு புள்ளிவிவரங்கள்
"আনুমানিক, আনুমানিক","தோராயமாக, தோராயமாக"
প্ৰায় অবিৰত ফলন,தோராயமாக தொடர்ச்சியான செயல்பாடு
"মেক্ৰ&#39; পদ্ধতি, আনুমানিক পদ্ধতি","மேக்ரோ முறை, தோராய முறை"
আনুমানিক সমাধান,தோராயமான தீர்வு
আনুমানিক সমস্যা,தோராயமான பிரச்சனை
আনুমানিক বৈশিষ্ট্য,தோராயமான சொத்து
যোগ্যতা পৰীক্ষা,திறன் சோதனை
আৰ্গন ডায়েগ্ৰাম,ஆர்கான் வரைபடம்
স্বেচ্ছামূলক,தன்னார்வ
"random, যাদৃচ্ছিক","சீரற்ற, சீரற்ற"
ইচ্ছাকৃত ধ্ৰুৱক,தன்னிச்சையான மாறிலி
মুক্ত মৌল,இலவச உறுப்பு
ইচ্ছাকৃত বিন্দু,தன்னிச்சையான புள்ளி
আৰ্কিমিডিছৰ নিয়ম,ஆர்க்கிமிடின் சட்டம்
আৰ্কিমিডিছৰ নিয়ম,ஆர்க்கிமிடிஸ் சட்டம்
"চাপ-দৈৰ্ঘ্য, চাপ-দৈৰ্ঘ্য","வில்-நீளம், வில்-நீளம்"
বৃত্ত চাপ,வட்ட வில்
বিপৰীত চাইন বিতৰণ,தலைகீழ் சைன் விநியோகம்
বিপৰীত চাইন ৰূপান্তৰ,தலைகீழ் சைன் மாற்றம்
"এলেকা, এলেকা","பகுதி, பகுதி"
আঞ্চলিক সংৰূপ,பிராந்திய கட்டமைப்பு
এটা জটিল সংখ্যাৰ কোণ,ஒரு கலப்பு எண்ணின் கோணம்
গাণিতিক গড়,எண்கணித சராசரி
ডিজিটেল অপাৰেচন,டிஜிட்டல் செயல்பாடு
ডিজিটেল ইউনিট,டிஜிட்டல் அலகு
"কনফিগাৰেচন, ব্যৱস্থা","கட்டமைப்பு, ஏற்பாடு"
"এৰে, এৰে","வரிசை, வரிசை"
কৃত্ৰিম উপগ্ৰহ,செயற்கை செயற்கைக்கோள்
কৃত্ৰিম চলক,செயற்கை மாறி
বগাবলৈ,ஏறுவதற்கு
আৰোহী,ஏறுமுகம்
মাত্ৰাৰ আৰোহী ক্ৰম,அளவின் ஏறுவரிசை
আৰোহী গ্ৰেড,ஏறும் தரம்
এছেম্বলাৰ ভাষা,அசெம்பிளர் மொழி
"নিযুক্তি সমস্যা নিযুক্তি প্ৰশ্ন,",ஒதுக்கீட்டுச் சிக்கல் ஒதுக்கீட்டுக் கேள்வி
সহযোগী নিয়ম,துணை விதி
অপাৰেটৰৰ এছ&#39;চিয়েটিভ নিয়ম,ஆபரேட்டர்களின் துணை விதி
এছ&#39;চিয়েটিভ অপাৰেচন,துணை செயல்பாடு
সংগীত্ব,தோழமை
ধৰি লোৱা গড়,சராசரியாக கருதப்படுகிறது
ধাৰণা কৰা সম্ভাৱনা বিতৰণ,நிகழ்தகவு விநியோகம் என்று கருதப்படுகிறது
"কল্পনা কৰা, স্বীকাৰ কৰা,","கற்பனை செய்து, ஒப்புக்கொண்ட"
জ্যোতিষ বিজ্ঞান,ஜோதிடம்
"মহাকাশ অভিযন্তা মহাকাশ অভিযন্তা,",விண்வெளி பொறியாளர் விண்வெளி பொறியாளர்
জ্যোতিৰ্বিজ্ঞানী*,வானியலாளர்*
জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী,வானியல் கடிகாரம்
জ্যোতিৰ্বিজ্ঞান,வானியல்
অসমতাপূৰ্ণ বক্ৰ,சமச்சீரற்ற வளைவு
বিষমতা,சமச்சீரற்ற தன்மை
এছিম্পটটিক,அறிகுறியற்ற
গুৰুতৰ কৰি তোলা,மோசமாக்கும்
প্ৰগতিশীল অনুমানক,முற்போக்கான மதிப்பீட்டாளர்
ৰেট্ৰ&#39;গ্ৰেড পক্ষপাতমূলক অনুমানক,பிற்போக்கு சார்பு மதிப்பீட்டாளர்
ৰেট্ৰ&#39;গ্ৰেড আচৰণ,பிற்போக்கு நடத்தை
আক্ৰমণাত্মক বিতৰণ ফলন,தீவிர விநியோக செயல்பாடு
ওপৰলৈ বিয়পি পৰা,மேல்நோக்கி பரவியது
বায়ুমণ্ডলীয় চাপ,வளிமண்டல அழுத்தம்
"যাদৃচ্ছিকভাৱে,",தற்செயலாக
গুণ*,சொத்து*
বৈশিষ্ট্য-নমুনা-ব্যৱস্থা,பண்பு-மாதிரி-பொறிமுறை
বৰ্ধিত মেট্ৰিক্স,ஆக்மென்ட் மேட்ரிக்ஸ்
স্ব-সম্বন্ধ সহগ,தன்னியக்க தொடர்பு குணகம்
স্বয়ংসম্বন্ধ কাৰ্য্য,தன்னியக்க தொடர்பு செயல்பாடு
সহাৱস্থান,இணை மாறுபாடு
স্বয়ংক্ৰিয় কম্পিউটাৰ,தானியங்கி கணினி
অটোৰিগ্ৰেছন,தன்னியக்க பின்னடைவு
সহায়ক সমীকৰণ,துணை சமன்பாடு
গড় নমুনা সংখ্যা বক্ৰ (MPC বক্ৰ),சராசரி மாதிரி எண் வளைவு (MPC வளைவு)
"স্বতন্ত্ৰ, স্বতন্ত্ৰ","கோட்பாடு, கோட்பாடு"
স্বতন্ত্ৰ পদ্ধতি,கோட்பாடு அணுகுமுறை
সম্ভাৱনা স্বতন্ত্ৰতা,நிகழ்தகவு கோட்பாடு
অক্ষ,அச்சு
ভূজাক্ষ,புஜக்ஷா
পৃথিৱীৰ অক্ষ,பூமி அச்சு
ঘূৰ্ণন অক্ষ,சுழற்சி அச்சு
ঘূৰ্ণন অক্ষ,சுழற்சி அச்சு
স্পিন অক্ষ,சுழல் அச்சு
পোষ্ট সলনি কৰা,பிந்தைய மாற்று
পাছত,பின்னர்
পিছলৈ সন্নিৱিষ্ট কৰা সূত্ৰ,பின் செருகும் சூத்திரம்
"ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য","சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை"
সুষম ডিজাইন,சீரான வடிவமைப்பு
বেলেন্স শ্বীট,இருப்பு தாள்
মিছাইল,ஏவுகணை
"বেলিষ্টিক, অস্ত্ৰ-শস্ত্ৰ","பந்துவீச்சு, ஆயுதம்"
"স্তম্ভ, ৰড, কব, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, ৰেখা, ৰেখা, পৰীক্ষা ৰেখা, প্ৰান্ত","நெடுவரிசை, பட்டை, கோப், பட்டை, பட்டை, பட்டை, பட்டை, பட்டை, பட்டை, வரி, வரி, சோதனை வரி, விளிம்பு"
"ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি","அடிப்படை, அடிப்படை, அடிப்படை, அடிப்படை, அடிப்படை"
ভিত্তি কোণ,அடிப்படை கோணம்
"লগাৰিদমৰ ভিত্তি, লগাৰিদমৰ ভিত্তি","மடக்கையின் அடிப்படை, மடக்கையின் அடிப்படை"
"মূল, মৌলিক,","அடிப்படை, அடிப்படை"
ভিত্তি সুসংহত সমাধান,அடிப்படை ஒத்திசைவான தீர்வு
ভিত্তি দ্ৰৱণ,அடிப்படை தீர்வு
ভিত্তি চলক,அடிப்படை மாறி
ভেঁটি,அடித்தளம்
ভিত্তি উপাদান,அடிப்படை உறுப்பு
ভিত্তি মেট্ৰিক্স,அடிப்படை அணி
ভেক্টৰ স্থানৰ ভিত্তি,திசையன் இடத்தின் அடிப்படை
উপজনসংখ্যাৰ ভিত্তিত,துணை மக்கள்தொகை அடிப்படையில்
অসাধু,நேர்மையற்ற
bez-নিয়ম,bez-விதி
bez- উপপাদ্য,bez-theorem
bernoulli-বিতৰণ,பெர்னோலி-விநியோகம்
বাৰ্নৌলিৰ সংখ্যা,பெர்னோலி எண்கள்
বাৰ্নৌলি সম্ভাৱনা ফলন,பெர்னோலி நிகழ்தகவு செயல்பாடு
বাৰ্নৌলি-সমীকৰণ,பெர்னோலி-சமன்பாடு
জামুৰ কাৰ্য্য,பெர்ரி செயல்பாடு
শ্ৰেষ্ঠ আঠাযুক্ততা,சிறந்த ஒட்டுதல்
শ্ৰেষ্ঠ আঠাযুক্ত ৰেখা,சிறந்த ஒட்டுதல் வரி
উত্তম সমাধান,சிறந்த தீர்வு
শ্ৰেষ্ঠ টিপছ,சிறந்த குறிப்புகள்
বিটা বিতৰণ,பீட்டா விநியோகம்
"bias, পক্ষপাতিত্ব","சார்பு, சார்பு"
পক্ষপাতমূলক মূল্যায়ন,பாரபட்சமான மதிப்பீடு
দ্বিপদ সমীকৰণ,ஈருறுப்புச் சமன்பாடு
একক কভাৰ,ஒற்றை கவர்
একক কভাৰ মেপ,ஒற்றை அட்டை வரைபடம்
একক কভাৰ মেপিং,ஒற்றை அட்டை மேப்பிங்
দ্বিঘাত দ্বিঘাত,இருபடி இருபடி
দ্বিৰৈখিক ফলন,இருமுனை செயல்பாடு
দ্বিৰৈখিক হাৰ্মিটিয়ান সমতা,பைலினியர் ஹெர்மிடியன் ஒருமைப்பாடு
"দ্বি-চলক, বাইনাৰী, দ্বৈত","இருமாறு, இருமை, இரட்டை"
"বাইনাৰী ক&#39;ড, বাইনাৰী ক&#39;ড","பைனரி குறியீடு, பைனரி குறியீடு"
"বাইনাৰী ক&#39;ড কৰা দশমিক, বাইনাৰী ক&#39;ড কৰা দশমিক","பைனரி குறியிடப்பட்ட தசம, பைனரி குறியிடப்பட்ட தசம"
বাইনাৰী এনকোডিং,பைனரி குறியாக்கம்
বাইনাৰী কম্পিউটাৰ,பைனரி கணினி
বাইনাৰী সংখ্যা,பைனரி எண்கள்
বাইনাৰী অপাৰেচন,பைனரி செயல்பாடு
বাইনাৰী পদ্ধতি,பைனரி முறை
বাইনাৰী চলক,பைனரி மாறி
দ্বিপদ সহগ,ஈருறுப்புக் குணகம்
দ্বিপদ বিতৰণ,இருவகைப் பரவல்
দ্বিপদ সমীকৰণ,ஈருறுப்புச் சமன்பாடு
দ্বিপদ ভ্যাৰিয়েন্স,இருவகை மாறுபாடு
দ্বিপদ অভিব্যক্তি,இருமொழி வெளிப்பாடு
দ্বিপদ ৰেণ্ডম চলক,ஈருறுப்பு சீரற்ற மாறி
দ্বিপদ উপপাদ্য,ஈருறுப்பு தேற்றம்
"আধা, bifurcation","பாதி, பிளவு"
"bisect পদ্ধতি, অৰ্ধবিভাজন পদ্ধতি","இரு பிரிவு முறை, அரைப்பிரிவு முறை"
হাফ বাইছেক্টৰ,அரை இருசமவெட்டி
"দ্বিপদ, দ্বৈত",இருவகை
"ড্ৱায়াংক (বাইনাৰী সংখ্যা), অনি, বাৰ্মিজ, টুক","ட்வயங்க் (பைனரி எண்), அனி, பர்மிஸ், துக்"
দ্বিপদ দ্বিপদ বিতৰণ দ্বিপদ,ஈருறுப்பு இருவகைப் பரவல் இருவகை
দ্বিচলকীয় সম্পৰ্ক সহগ,இருவகை தொடர்பு குணகம்
দ্বিচলকীয় বিতৰণ,இருவகை விநியோகம்
দ্বিচলকীয় স্বাভাৱিক-বিতৰণ,இருவகை இயல்பான-விநியோகம்
বাইভেক্টৰ,பைவெக்டர்
বোল্টমেন সমীকৰণ,போல்ட்மேன் சமன்பாடு
বুলিয়ান বীজগণিত*,பூலியன் இயற்கணிதம்*
বস-আইনষ্টাইন পৰিসংখ্যা,போஸ்-ஐன்ஸ்டீன் புள்ளிவிவரங்கள்
সীমাবদ্ধতা নিষেধাজ্ঞা,வரம்பு கட்டுப்பாடுகள்
সীমা স্তৰ,எல்லை நிலை
সীমাৰেখা,எல்லைக் கோடு
সীমা মূল্য,வரம்பு மதிப்பு
সীমা মূল্যৰ সমস্যা,எல்லை மதிப்பு பிரச்சனை
"সীমাবদ্ধ ফলন সীমাবদ্ধ ফল,",எல்லைக்குட்பட்ட செயல்பாடு எல்லைக்குட்பட்ட பழம்
"সীমাবদ্ধ মেট্ৰিক্স, সীমাবদ্ধ মেট্ৰিক্স, সীমাবদ্ধ টেবুল,","எல்லைக்குட்பட்ட அணி, எல்லைக்குட்பட்ட அணி எல்லைக்குட்பட்ட அட்டவணை"
"সীমাবদ্ধ ভূখণ্ড সীমাবদ্ধ ভূখণ্ড,",எல்லைக்குட்பட்ட பிரதேசம் எல்லைக்குட்பட்ட பிரதேசம்
"সীমাবদ্ধ ছেট সীমাবদ্ধ গোট,",எல்லைக்குட்பட்ட தொகுப்பு எல்லைக்குட்பட்ட தொகுப்பு
ব্ৰাউনি গতি,பிரவுனி இயக்கம்
গণনা কৰা,கணக்கெடுக்க
গণনা কৰা,கணக்கீடு
"কেলকুলেটৰ, কেলকুলেটৰ","கால்குலேட்டர், கால்குலேட்டர்"
গণনা*,கணக்கீடு*
গণনামূলক ক্ৰিয়া পদ্ধতি,கணக்கீட்டு நடவடிக்கை முறை
"কেলকুলেটৰ, কেলকুলেটৰ","கால்குலேட்டர், கால்குலேட்டர்"
"কেলকুলাছ, কেলকুলাছ","கால்குலஸ், கால்குலஸ்"
ভ্যাৰিয়েন্স কেলকুলাছ,மாறுபாடு கணக்கீடு
কেলৰি,கலோரிகள்
বাতিল নিয়ম,ரத்து விதி
কেননিক সমীকৰণ,நியமன சமன்பாடு
কেননিক ৰূপ,நியமன வடிவம்
"কেননিক মেট্ৰিক্স, কে কেননিক মেট্ৰিক্স","கேனானிகல் மேட்ரிக்ஸ், கே கேனானிகல் மேட்ரிக்ஸ்"
কেন্টৰ ছেট,கேண்டர் தொகுப்பு
cantor ত্ৰিকোণীয় ছেট,கேண்டார் முக்கோண தொகுப்பு
বাধ্যতামূলক পৰিবহণ সমস্যা,கட்டுப்படுத்தப்பட்ட போக்குவரத்து பிரச்சனை
সক্ষমতা,திறன்
কেপিলাৰী বল,தந்துகி விசை
"গণনা সংখ্যা, কাৰ্ডিনেল সংখ্যা","எண்ணிக்கை எண், கார்டினல் எண்"
কাৰ্টেচিয়ান অক্ষ,கார்ட்டீசியன் அச்சு
কাৰ্টেছিয়ান স্থানাংক,கார்ட்டீசியன் ஆயத்தொகுப்புகள்
কাৰ্টেছিয়ান উৎপাদন,கார்ட்டீசியன் தயாரிப்பு
সমষ্টিৰ কাৰ্টেছিয়ান গুণন,தொகுப்புகளின் கார்ட்டீசியன் பெருக்கல்
"কেছ ষ্টডি, কেছ ষ্টডি","வழக்கு ஆய்வு, வழக்கு ஆய்வு"
দুৰ্যোগপূৰ্ণ ভাষণ,பேரழிவு பேச்சு
catinary,பூனைக்குரிய
কাউচি বিতৰণ,காச்சி விநியோகம்
কৌশীৰ সূত্ৰ,கௌசியின் சூத்திரம்
কৌশী-গুৰ্ষ-উপাপাদ্য,கௌசி-குர்சா-தேற்றம்
কৌছি-ৰাইমান-বান,கௌஷி-ரீமான்-பான்
ক&#39;চি ক্ৰম,கௌச்சி வரிசை
কৌশি অবিচ্ছেদ্য,கௌஷி ஒருங்கிணைந்த
কৌশী মূল-মূল্য,கௌசி முக்கிய மதிப்பு
ক’চি ৰেমেইণ্ডাৰ উপপাদ্য,கௌச்சி எஞ்சிய தேற்றம்
কেলে-হেমিল্টন-উপাপাদ্য,கால்-ஹாமில்டன்-தேற்றம்
আকাশী দেহ,வானுலக
জ্যোতিৰ্বিজ্ঞানৰ জোখ-মাখ,வானியல் அளவீடு
আকাশী যান্ত্ৰিকতা,வான இயக்கவியல்
আকাশী দেহ,வானுலக
কোষ কম্পাঙ্ক,செல் அலைவரிசை
"লোকপিয়ল, লোকপিয়ল","மக்கள் தொகை கணக்கெடுப்பு, மக்கள் தொகை கணக்கெடுப்பு"
শতাংশ,சதவீதம்
চেন্টিমিটাৰ,சென்டிமீட்டர்
চেণ্টিমিটাৰ-গ্ৰাম-ছেকেণ্ড পদ্ধতি,சென்டிமீட்டர்-கிராம்-இரண்டாம் முறை
"কেন্দ্ৰীয়, সমকেন্দ্ৰিক","மைய, மையமான"
কেন্দ্ৰীয় অক্ষ,மைய அச்சு
কেন্দ্ৰীয় ব্যৱধান,மத்திய இடைவெளி
কেন্দ্ৰীয় পাৰ্থক্য সূত্ৰ,மைய வேறுபாடு சூத்திரம்
কেন্দ্ৰীয় অৱভেদ্য টেবুল,மைய வேறுபாடு அட்டவணை
কেন্দ্ৰীয় সীমা উপপাদ্য,மத்திய வரம்பு தேற்றம்
কেন্দ্ৰীয় মুহূৰ্ত,மைய தருணம்
কেন্দ্ৰীয় সম্পদ একক,மத்திய வள அலகு
কেন্দ্ৰীয় প্ৰবৃত্তি,மைய உள்ளுணர்வு
কেন্দ্ৰ*,மையம்*
মাধ্যাকৰ্ষণ কেন্দ্ৰ,ஈர்ப்பு மையம்
গ্ৰুপ চেণ্টাৰ,குழு மையம்
ভৰ কেন্দ্ৰ,வெகுஜன மையம்
প্ৰতিসমতাৰ কেন্দ্ৰ,சமச்சீர் மையம்
কেন্দ্ৰপৃথক বল,மையவிலக்கு விசை
কেন্দ্ৰিক বল,மையவிலக்கு விசை
"কেন্দ্ৰিক মেৰিডিয়ান,",மையநோக்கு நடுக்கோடு
নিশ্চয়তা,உறுதி
cgs পদ্ধতি,cgs முறை
cgs ইউনিট,cgs அலகு
পাৰ্থক্যৰ শৃংখল নিয়ম,வேறுபாட்டின் சங்கிலி விதி
কেনেবাকৈ,ஒருவேளை
random move,சீரற்ற நகர்வு
অক্ষৰ স্থানান্তৰ,அச்சு மாற்றம்
"ভিত্তি পৰিৱৰ্তন পায়ধৰ-পৰিৱৰ্তন,",அடிப்படை மாற்றம் பயதார்-மாற்றம்
ক্ৰমবিন্যাস,வரிசைமாற்றம்
বৈশিষ্ট্য সহগ,பண்பு குணகம்
বৈশিষ্ট্য নিৰ্ণায়ক,பண்பு நிர்ணயம்
বৈশিষ্ট্যপূৰ্ণ সমীকৰণ,சிறப்பியல்பு சமன்பாடு
"বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য, বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য","பண்பு செயல்பாடு, பண்பு செயல்பாடு"
লগাৰিদমৰ পূৰ্ণসংখ্যা,மடக்கையின் முழு எண்
"বৈশিষ্ট্যপূৰ্ণ বহুপদ,",பண்பு பல்லுறுப்புக்கோவை
বৈশিষ্ট্যপূৰ্ণ মূল্য,பண்பு மதிப்பு
বৈশিষ্ট্যপূৰ্ণ ভেক্টৰ,பண்பு திசையன்
চৰিত্ৰ সম্প্ৰদায়,பாத்திர சமூகம்
"লেখচিত্ৰ, লেখচিত্ৰ,","விளக்கப்படங்கள், விளக்கப்படங்கள்"
কাই-স্কেয়াৰ বিতৰণ,சி-சதுர விநியோகம்
কাই-বৰ্গ সূত্ৰ,சி-சதுர சூத்திரம்
কাই-স্কেয়াৰ পৰীক্ষা,சி-சதுர சோதனை
কৰ্ড*,நாண்*
কৰ্ড বিভাজন পদ্ধতি,நாண் பிரிக்கும் முறை
লিখিত বাৰ্তা,எழுதப்பட்ட செய்தி
"শূন্য, চাইফাৰ","பூஜ்யம், மறைக்குறியீடு"
বৃত্ত*,வட்டம்*
অভিসৰণ বৃত্ত,ஒன்றிணைப்பு வட்டம்
বৰ্তনী মেট্ৰিক্স,சுற்று அணி
"বৃত্তাকাৰ, বৃত্তাকাৰ,","வட்ட, வட்ட"
বৃত্তৰ asymptoes,வட்ட அறிகுறிகள்
