Gujarati,Tamil
એક્સેસ કંટ્રોલ બાઇટ્સ,அணுகல் கட்டுப்பாட்டு பைட்டுகள்
ઍક્સેસ સૂચક,அணுகல் காட்டி
ઍક્સેસ કી,அணுகல் விசை
"1. એક્સેસ મેટ્રિક્સ, 2. એક્સેસ મેટ્રિક્સ","1. அணுகல் அணி, 2. அணுகல் அணி"
ઍક્સેસ મોડ,அணுகல் முறை
ઍક્સેસ વિશેષાધિકારો,அணுகல் சலுகைகள்
ઍક્સેસ સુરક્ષા,அணுகல் பாதுகாப்பு
"1. એક્સેસ સર્વર, 2. સર્વર ઍક્સેસ કરો","1. அணுகல் சேவையகம், 2. அணுகல் சர்வர்"
ઍક્સેસ સમય,அணுகல் நேரம்
સ્વીકૃતિ,ஒப்புகை
ધ્વનિશાસ્ત્ર,ஒலியியல்
"1. ટૂંકાક્ષર, 2. સંક્ષેપ, 3. થી ટૂંકું","1. சுருக்கம், 2. சுருக்கம், 3. இருந்து குறுகிய"
ક્રિયા સંદેશ,செயல் செய்தி
સક્રિયકરણ,செயல்படுத்துதல்
સક્રિય સર્વર પૃષ્ઠ,செயலில் உள்ள சர்வர் பக்கம்
સક્રિય સંસ્કરણ,செயலில் உள்ள பதிப்பு
એસાયક્લિક,அசைக்ளிக்
"1. એસાયક્લિક ગ્રાફ, 2. એસાયક્લિક ગ્રાફ","1. அசைக்ளிக் வரைபடம், 2. அசைக்ளிக் வரைபடம்"
અદા કોમ્પ્યુટર ભાષા,அட கணினி மொழி
"1. ઑપ્ટિમાઇઝર, 2. ઑપ્ટિમાઇઝર","1. ஆப்டிமைசர், 2. உகப்பாக்கி"
સરવાળે),மொத்தத்தில்)
સરવાળો ફાઇલ,தொகை கோப்பு
"1. એડિશન ઓપરેશન, 2. સરવાળો કામગીરી","1. கூட்டல் செயல்பாடு, 2. மொத்த செயல்பாடு"
ઉમેરનાર,சேர்ப்பான்
જાણો,தெரியும்
સરનામું બસ,முகவரி பேருந்து
સરનામું ફાઇલ,முகவரி கோப்பு
સરનામું ફોર્મેટ,முகவரி வடிவம்
સરનામું જનરેટર,முகவரி ஜெனரேட்டர்
એડ્રેસ લાઇન,முகவரி வரி
સરનામું મેપિંગ,முகவரி மேப்பிங்
સરનામું સૂચક,முகவரி காட்டி
સરનામું રજીસ્ટર,முகவரி பதிவு
સરનામું ભંગાણ,முகவரி முறிவு
સરનામા અનુવાદ,முகவரி மொழிபெயர்ப்பு
"1. એડ્રેસેબલ મેમરી, 2. એડ્રેસેબલ મેમરી","1. முகவரி நினைவகம், 2. முகவரியிடக்கூடிய நினைவகம்"
સંબોધન,உரையாற்றுதல்
"1. પર્યાપ્તતા માપદંડ, 2. પર્યાપ્તતા માપદંડ","1. போதுமான அளவுகோல்கள், 2. போதுமான அளவுகோல்"
જોડાણ,இணைப்பு
"1. મેનેજમેન્ટ, 2. નિયંત્રણ","1. மேலாண்மை, 2. கட்டுப்பாடு"
"1. મેનેજર, 2. નિયંત્રક","1. மேலாளர், 2. கட்டுப்படுத்தி"
એડોબ એક્રોબેટ,அடோப் அக்ரோபேட்
એડોબ ફોટોશોપ,அடோ போட்டோஷாப்
ABAP (એડવાન્સ્ડ બિઝનેસ પ્રોગ્રામિંગ),ABAP (மேம்பட்ட வணிக நிரலாக்கம்)
"1. અદ્યતન ડેટા, 2. અદ્યતન ડેટા","1. மேம்பட்ட தரவு, 2. மேம்பட்ட தரவு"
અદ્યતન માહિતી સિસ્ટમ,மேம்பட்ட தகவல் அமைப்பு
એડવાન્સ ટેકનોલોજી (AT),மேம்பட்ட தொழில்நுட்பம் (AT)
ક્રિયા,நடவடிக்கை
એકત્રીકરણ,திரட்டுதல்
એરબોર્ન કમ્પ્યુટર સિસ્ટમ,வான்வழி கணினி அமைப்பு
aldus પૃષ્ઠ બનાવવું,அல்டஸ் பக்கம்-தயாரிப்பு
ચેતવણી બોક્સ,எச்சரிக்கை பெட்டி
અલ્ગોલ (કોમ્પ્યુટર ભાષા),அல்கோல் (கணினி மொழி)
"1. અલ્ગોરિધમ , 2. અલ્ગોરિધમ","1. அல்காரிதம், 2. அல்காரிதம்"
"1. અલ્ગોરિધમ વિશ્લેષણ, 2. અલ્ગોરિધમ વિશ્લેષણ","1. அல்காரிதம் பகுப்பாய்வு, 2. அல்காரிதம் பகுப்பாய்வு"
અલ્ગોરિધમ કાર્યક્ષમતા,அல்காரிதம் திறன்
"1. ઈલિયાસ, 2. ઉપનામ, 3. ઉર્ફે","1. எலியாஸ், 2. புனைப்பெயர், 3. aka"
ગોઠવણી,சீரமைப்பு
"1. ફાળવણી, 2. ફાળવણી","1. ஒதுக்கீடு, 2. ஒதுக்கீடு"
"1. આલ્ફાબેટીક, 2. મૂળાક્ષરોનો ક્રમ","1. அகரவரிசை, 2. அகரவரிசையில்"
આલ્ફાન્યૂમેરિક,எண்ணெழுத்து
"1. આલ્ફાન્યૂમેરિક કીબોર્ડ ,2. આલ્ફાન્યૂમેરિક કીબોર્ડ","1. எண்ணெழுத்து விசைப்பலகை, 2. எண்ணெழுத்து விசைப்பலகை"
આલ્ફા-પરીક્ષણ (પ્રથમ સ્તર પરીક્ષણ),ஆல்பா-சோதனை (1 வது நிலை சோதனை)
"1. આલ્ફા સંસ્કરણ, 2. આલ્ફા ફોર્મ","1. ஆல்பா பதிப்பு, 2. ஆல்பா வடிவம்"
alt કી,alt விசை
અલ્ટાવિસ્ટા,அல்டாவிஸ்டா
બહુવિધતા,பன்முகத்தன்மை
અસ્પષ્ટ વ્યાકરણ,தெளிவற்ற இலக்கணம்
અમેરિકન નેશનલ સ્ટેન્ડીઝ ઇન્સ્ટિટ્યુટ (ANSI),அமெரிக்க தேசிய ஸ்டேண்டீஸ் நிறுவனம் (ANSI)
અમેરિકન સ્ટાન્ડર્ડ કટ (ascii),அமெரிக்கன் ஸ்டாண்டர்ட் கட் (ascii)
"1. અનુરૂપ, 2. એનાલોગ","1. ஒத்த, 2. அனலாக்"
"1. એનાલોગ કોમ્પ્યુટર, 2. એનાલોગ કોમ્પ્યુટર","1. அனலாக் கணினி, 2. அனலாக் கணினி"
"1. એનાલોગ ઉપકરણ, 2. એનાલોગ ઉપકરણ","1. அனலாக் சாதனம், 2. அனலாக் சாதனம்"
"1. એનાલોગ મોડેમ, 2. એનાલોગ મોડેમ","1. அனலாக் மோடம், 2. அனலாக் மோடம்"
ડિજિટલ કન્વર્ટર માટે એનાલોગ,டிஜிட்டல் மாற்றிக்கு அனலாக்
અંત (ડિજિટલ/પ્લેન લોજિક &#39;અને&#39; વપરાયેલ),முடிவு (டிஜிட்டல்/பிளேன் லாஜிக் &#39;மற்றும்&#39; பயன்படுத்தப்பட்டது)
અંતિમ સર્કિટ,இறுதி சுற்று
અંતિમ દરવાજો અને દરવાજો,இறுதி வாயில் மற்றும் வாயில்
એન્ડ નોટ ઓપરેશન (બાકાત),செயல்பாடு அல்ல (விலக்கு)
"1. એનિમેશન, 2. કંપન","1. அனிமேஷன், 2. அதிர்வு"
નૉૅધ,குறிப்பு
અસંગતતા,முரண்பாடு
અગાઉના,முந்தைய
આગોતરી પેજીંગ,முன்கூட்டிய பேஜிங்
પ્રતિ-સપ્રમાણ,எதிர்-சமச்சீர்
એન્ટિવાયરલ પ્રોગ્રામ,வைரஸ் தடுப்பு திட்டம்
"1. ઉપલેટ, 2. અરજી","1. ஆப்லெட், 2. விண்ணப்பம்"
એપ્લિકેશન ડેવલપર,பயன்பாட்டு டெவலப்பர்
એપ્લિકેશન પ્રોગ્રામિંગ,பயன்பாட்டு நிரலாக்கம்
"1. એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ, 2. એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ (API)","1. பயன்பாட்டு நிரலாக்க இடைமுகம், 2. பயன்பாட்டு நிரலாக்க இடைமுகம் (API)"
એપ્લિકેશન સોફ્ટવેર,பயன்பாட்டு மென்பொருள்
એપ્લિકેશન ભાષા,பயன்பாட்டு மொழி
અંદાજ સિદ્ધાંત,தோராயக் கொள்கை
માળખું,கட்டமைப்பு
ક્ષેત્ર ટ્રાન્સફર,புல பரிமாற்றம்
"1. પરિમાણ, સ્વતંત્ર ચલ, 2. કોણ","1. அளவுரு, சுயாதீன மாறி, 2. கோணம்"
"1. અંકગણિત અને તર્ક એકમ, 2. અંકગણિત અને તર્ક એકમ","1. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு, 2. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு"
અંકગણિત તપાસ,எண்கணித சரிபார்ப்பு
અંકગણિત સતત,எண்கணித மாறிலி
અંકગણિત માહિતી,எண்கணித தரவு
અંકગણિત સૂચના,எண்கணித அறிவுரை
ગાણિતિક અને તાર્કિક એકમ (ALU),கணிதம் மற்றும் தருக்க அலகு (ALU)
ARPA નેટ (RPNet),ARPA Net (RPNet)
એરે,வரிசை
"1. એરે કેશ, 2. એરે ઝડપ, 3. એરે મેમરી","1. வரிசை கேச், 2. வரிசை வேகம், 3. வரிசை நினைவகம்"
એરે કમ્પ્યુટર,வரிசை கணினி
એરે તત્વ,வரிசை உறுப்பு
એરે નામ,வரிசை பெயர்
એરે પ્રોસેસર,வரிசை செயலி
તીર કી,அம்புக்குறி விசை
સંધિ,ஒப்பந்தம்
જંકશન પોઈન્ટ,சந்திப்பு முனை
કૃત્રિમ કોમ્પેક્શન,செயற்கை சுருக்கம்
કૃત્રિમ નિયંત્રણ,செயற்கை கட்டுப்பாடு
કૃત્રિમ સંવેદના,செயற்கை உணர்வு
માઉન્ટ,ஏற்ற
ચડતા સૉર્ટ,ஏறும் வகை
ascii મૂળાક્ષરો,ascii எழுத்துக்கள்
ascii નિયંત્રણ પ્રતીક,ascii கட்டுப்பாட்டு சின்னம்
ascii ફાઇલ,ascii கோப்பு
ascii ફોન્ટ,ascii எழுத்துரு
ASCII ટ્રાન્સફર,ASCII பரிமாற்றம்
પાસા ગુણોત્તર,விகிதம்
"1. એસ્પી, 2. ASPI","1. ஆஸ்பி, 2. ASPI"
એ એસ આર કલાડ,ஏ எஸ் ஆர் கலாட்
"1. સ્મરણ, 2. એસેમ્બલિંગ, 3. એસેમ્બલ કરવા માટે","1. நினைவாற்றல், 2. அசெம்பிளிங், 3. ஒன்று சேர்க்க"
"1. એસેમ્બલર, 2. રીમાઇન્ડર","1. அசெம்பிளர், 2. நினைவூட்டல்"
"1. એસેમ્બલિંગ, 2. યાદ","1. அசெம்பிளிங், 2. நினைவு"
"1. યાદગાર ભાષા, 2. એસેમ્બલીંગ ભાષા","1. மனப்பாடம் மொழி, 2. ஒருங்கிணைக்கும் மொழி"
નિશ્ચય,உறுதியை
"1. ઉલ્લેખિત કાર્ય, 2. ફાળવણી","1. குறிப்பிட்ட வேலை, 2. ஒதுக்கீடு"
સોબત,தோழமை
સહયોગી સરનામું,துணை முகவரி
"1. સહયોગી મેમરી, 2. સહયોગી મેમરી","1. துணை நினைவகம், 2. துணை நினைவகம்"
ફૂદડી (* ચિહ્ન),நட்சத்திரம் (* அடையாளம்)
અસમપ્રમાણ,சமச்சீரற்ற
"1. અસુમેળ, 2. અસુમેળ","1. ஒத்திசைவற்ற, 2. ஒத்திசைவற்ற"
અસુમેળ ડિજિટલ સબ્સ્ક્રાઇબર લાઇન (ADSL),ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL)
અસિંક્રોનસ ટાઈમ ડિવિઝન મલ્ટિપ્લેક્સિંગ (ATDM),ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM)
અસુમેળ ટ્રાન્સફર,ஒத்திசைவற்ற பரிமாற்றம்
અસિંક્રોનસ ટ્રાન્સફર મોડ (ATM),ஒத்திசைவற்ற பரிமாற்ற முறை (ATM)
"1. અણુ, 2. પરમાન","1. அணு, 2. பரமன்"
જોડાયેલ દસ્તાવેજ,இணைக்கப்பட்ட ஆவணம்
"1. જોડાયેલ ફાઇલ/મિસિલ, 2. જોડેલી ફાઈલ","1. இணைக்கப்பட்ட கோப்பு/ஏவுகணை, 2. இணைக்கப்பட்டுள்ள கோப்பு"
"1. બિડાણ, 2. સંલગ્ન","1. அடைப்பு, 2. இணைந்த"
"1. ગુણધર્મો, 2. વિશેષતા","1. பண்புகள், 2. சிறப்பு"
સાંભળી શકાય તેવું,கேட்கக்கூடிய
"1. ઓડિટ પ્રોગ્રામિંગ, 2. ઓડિટ પ્રોગ્રામિંગ","1. தணிக்கை நிரலாக்கம், 2. தணிக்கை நிரலாக்கம்"
એકાઉન્ટ વેરિફિકેશન,கணக்கு சரிபார்ப்பு
પ્રમોશન,பதவி உயர்வு
પ્રમાણપત્ર પ્રોટોકોલ,சான்றிதழ் நெறிமுறை
લેખન પદ્ધતિ,எழுதும் முறை
"1. સત્તા, 2. સત્તા, 3. ટ્રિબ્યુનલ","1. அதிகாரம், 2. அதிகாரம், 3. தீர்ப்பாயம்"
સ્વતઃ અમૂર્ત,தானியங்கு சுருக்கம்
"1. ઓટો બુટીંગ, 2. સ્વ બુટ","1. ஆட்டோ பூட்டிங், 2. சுய துவக்கம்"
ઓટોકેડ (કોમ્પ્યુટર ભાષા),ஆட்டோகேட் (ஒரு கணினி மொழி)
ઓટો લોગ-ઓન,தானாக உள்நுழைவு
ઓટોમેટા,தானியங்கி
ઓટોમેટા સિદ્ધાંત,தானியங்கு கோட்பாடு
આપોઆપ ગણતરી,தானியங்கி கணக்கீடு
સ્વચાલિત ડેટા પ્રોસેસિંગ,தானியங்கி தரவு செயலாக்கம்
આપોઆપ ભૂલ સુધારણા,தானியங்கி பிழை திருத்தம்
સ્વતઃ કાર્ય,தானியங்கு செயல்பாடு
"1. સ્વચાલિત અનુક્રમણિકા, 2. આપોઆપ યાદી","1. தானியங்கி அட்டவணைப்படுத்தல், 2. தானியங்கி பட்டியல்"
સ્વતઃ-સંગ્રહ કૉલ,தானியங்கு சேகரிப்பு அழைப்பு
"1. ઓટોમેટિક પ્રોગ્રામિંગ, 2. આપોઆપ પ્રોગ્રામિંગ","1. தானியங்கி நிரலாக்கம், 2. தானியங்கி நிரலாக்க"
"1. સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ, 2. સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ","1. தானியங்கி மீட்பு திட்டம், 2. தானியங்கி மீட்பு திட்டம்"
આપોઆપ નિયમિત,தானியங்கி வழக்கம்
આપોઆપ સિસ્ટમ પુનઃપ્રાપ્તિ,தானியங்கி கணினி மீட்பு
"1. ઓટોમેટિક ટેલર મશીન (ATM), 2. સ્વ ઉપાડ માટે બેંક એ.ટી.એમ","1. தானியங்கி பணம் செலுத்தும் இயந்திரங்கள் (ATM), 2. வங்கி ஏ.டி.எம்"
ઓટોમેશન,தானியங்கி
"1. ઑટોપ્લે , 2. ઓટો વોક","1. ஆட்டோபிளே, 2. ஆட்டோ நடை"
અવાજ,குரல் கொடுத்தல்
મદદનીશ,உதவியாளர்
સહાયક મેમરી,துணை நினைவகம்
સહાયક સંગ્રહ,துணை சேமிப்பு
ઉપલબ્ધ યાદી,கிடைக்கும் பட்டியல்
ઉપલબ્ધ સમય,கிடைக்கும் நேரம்
સરેરાશ,சராசரி
AWK (કોમ્પ્યુટર આદેશ),AWK (ஒரு கணினி கட்டளை)
પછી,பிறகு
પોસ્ટ પ્રોસેસર,பின் செயலி
પશ્ચાદવર્તી કાર્ય કાઢી નાખવું,பின்புற செயல்பாடு நீக்கம்
પૃષ્ઠભૂમિ પ્રક્રિયા,பின்னணி செயலாக்கம்
આનુષંગિક સ્ટોર્સ,துணை கடைகள்
બેક પેચીંગ,மீண்டும் ஒட்டுதல்
"1. પશ્ચિમ, 2. બેકસ્પેસ","1. மேற்கு, 2. பின்வெளி"
બેકટ્રેકિંગ,பின்வாங்குதல்
"1. બેક-અપ, 2. વળતર","1. காப்புப்பிரதி, 2. கொடுக்கப்படுவதுடன்"
"1. પૂરક મેમરી, 2. બેકઅપ મેમરી","1. நிரப்பு நினைவகம், 2. காப்பு நினைவகம்"
પાછળની ભૂલ સુધારણા,மீண்டும் பிழை திருத்தம்
(આવક-ખર્ચ) બેલેન્સ શીટ,(வருமானம்-செலவு) இருப்புநிலை
પાટો,கட்டு
"1. બેન્ડ પહોળાઈ, 2. બેન્ડવિડ્થ/ક્ષમતા","1. பேண்ட் அகலம், 2. அலைவரிசை/திறன்"
બેંકરનું અલ્ગોરિધમ,வங்கியாளர் வழிமுறை
"1. બાર કોડ, 2. બાર કોડ","1. பார் குறியீடு, 2. பார் குறியீடு"
બારકોડ સ્કેનર,பட்டை குறி படிப்பான் வருடி
બાર ગ્રાફ,சட்ட வரைபடம்
આધાર સરનામું,அடிப்படை முகவரி
આધાર બેન્ડ,அடிப்படை இசைக்குழு
આધાર નંબર,ஆதார் எண்
આધાર ટેબલ,அடிப்படை அட்டவணை
મૂળભૂત (કોમ્પ્યુટર ભાષા),அடிப்படை (ஒரு கணினி மொழி)
"1. મૂળભૂત નિયંત્રણ, 2. આધાર નિયંત્રણ","1. அடிப்படை கட்டுப்பாடு, 2. அடிப்படை கட்டுப்பாடு"
"1. મૂળ રોકાણ, 2. આધાર રોકાણ","1. அசல் முதலீடு, 2. அடிப்படை முதலீடு"
મૂળભૂત સૂચના,அடிப்படை அறிவுறுத்தல்
આધાર મુદ્દો,அடிப்படை பிரச்சினை
મૂળભૂત તબક્કો,அடிப்படை நிலை
"1. બેચ, 2. જૂથ, 3. આપત્તિ","1. தொகுதி, 2. குழு, 3. பேரழிவு"
"1. બેચ ફાઇલ, 2. બેચ ફાઇલ","1. தொகுதி கோப்பு, 2. தொகுதி கோப்பு"
બેચ સ્થિતિ,தொகுதி நிலை
"1. બેચ પ્રોસેસિંગ, 2. જૂથ પ્રક્રિયા","1. தொகுதி செயலாக்கம், 2. குழு செயலாக்கம்"
"1. બેચ સિસ્ટમ, 2. કૅટપલ્ટ સિસ્ટમ","1. தொகுதி அமைப்பு, 2. கவண் அமைப்பு"
બાઉડ,பாட்
બાઉડ દર,பாட் விகிதம்
બીમ બીમ,கற்றை கற்றை
"1. માર્ગદર્શિકા, 2. બેચ માર્ક","1. வழிகாட்டுதல்கள், 2. தொகுதி குறி"
દ્વિદિશ સંચાર,இருதரப்பு தொடர்பு
સીધી લિંક,நேரடி இணைப்பு
દ્વિસંગી કોડ,பைனரி குறியீடு
દ્વિસંગી અંકો,பைனரி இலக்கங்கள்
બાઈનરી ઈન્વેસ્ટમેન્ટ આઉટપુટ સિસ્ટમ (BIOS),பைனரி இன்வெஸ்ட்மென்ட் அவுட்புட் சிஸ்டம் (பயாஸ்)
દ્વિસંગી સંખ્યા,பைனரி எண்
બાઈનરી ઓપરેટર,பைனரி ஆபரேட்டர்
દ્વિસંગી સંબંધ,பைனரி உறவு
દ્વિસંગી શોધ,பைனரி தேடல்
બાઈનરી એક્સપ્લોરેશન ટ્રી (BST),பைனரி ஆய்வு மரம் (BST)
"1. બાઈનરી ટ્રાન્સફર ટ્રી, 2. બાઈનરી ટ્રાન્સફર","1. பைனரி பரிமாற்ற மரம், 2. பைனரி பரிமாற்றம்"
દ્વિસંગી વૃક્ષ,பைனரி மரம்
"1. બાયપોલર મેમરી, 2. બાયપોલર મેમરી","1. இருமுனை நினைவகம், 2. இருமுனை நினைவகம்"
"1. જન્મ અને મૃત્યુ મોડલ, 2. જન્મ મૃત્યુ મોડેલ","1. பிறப்பு மற்றும் இறப்பு மாதிரி, 2. பிறப்பு இறப்பு மாதிரி"
જન્મ મૃત્યુ પ્રક્રિયા,பிறப்பு இறப்பு செயல்முறை
"1. ડ્યુક, 2. બીટ","1. டூக், 2. பிட்"
થોડી ખામી,சிறிய தவறு
બીટ નકશો,பிட் வரைபடம்
"1. બીટ, 2. નકશો, 3. પિક્સેલ (BMP)","1. பிட், 2. வரைபடம், 3. பிக்சல் (BMP)"
"1. બિટ મેટ્રિક્સ, 2. બીટ ટેબલ","1. பிட் மேட்ரிக்ஸ், 2. பிட் டேபிள்"
બીટ પેટર્ન,பிட் முறை
બીટ સ્થિતિ,பிட் நிலை
"1. બીટ રેટ, 2. બીટ દર","1. பிட் வீதம், 2. பிட் விகிதம்"
આંખ પર પટ્ટી પરીક્ષણ,கண்மூடி சோதனை
ઝબૂકવું,மின்னும்
બ્લોક,தொகுதி
"1. બ્લોક કેશ, 2. બ્લોક કેશ/ચંક મેમરી","1. பிளாக் கேச், 2. பிளாக் கேச் / துண் நினைவகம்"
બ્લોક ચકાસણી,தடுப்பு ஆய்வு
વોલ્યુમ નકલ,தொகுதி நகல்
રેખાક્રુતિ,தொகுதி வரைபடம்
"1. અવરોધિત નેટવર્ક, 2. અવરોધિત નેટવર્ક","1. தடுக்கப்பட்ட நெட்வொர்க், 2. தடுக்கப்பட்ட நெட்வொர்க்"
પાટીયું,பலகை
પૃષ્ઠ મેમરી,பக்க நினைவகம்
બુલિયન બીજગણિત,பூலியன் இயற்கணிதம்
બુલિયન સંબંધ,பூலியன் உறவு
બુટ પાર્ટીશન,துவக்க பகிர்வு
બુટ strapping,பூட் ஸ்ட்ராப்பிங்
1.બૂટસ્ટ્રેપ લોડર,1.பூட்ஸ்ட்ராப் ஏற்றி
"1.બ્રિજ, 2.બ્રિજ","1.பாலம், 2.பாலம்"
બ્રોડબેન્ડ નેટવર્ક,பிராட்பேண்ட் நெட்வொர்க்
પ્રસારણ,ஒளிபரப்பு
પ્રસારણ રેડિયો,ஒலிபரப்பு வானொலி
(ચોખ્ખી) ભિન્નતા,(நிகர) மாறுபாடு
(ચોખ્ખી) વિકાર,(net) vicar
બી-ટ્રુ,பி-ட்ரூ
"1.બબલ મેમરી, 2.બબલ મેમરી","1.குமிழி நினைவகம், 2.குமிழி நினைவகம்"
બબલ સૉર્ટ,குமிழி வகை
"1.ડોલ, 2.ડોલ","1.வாளி, 2.வாளி"
"1.બંધુત્વ વ્યવસ્થા, 2.મોટી વ્યવસ્થા","1.சகோதர அமைப்பு, 2.பெரிய அமைப்பு"
અસરકારક બજેટ નિયંત્રણ,பயனுள்ள பட்ஜெட் கட்டுப்பாடு
બફર,தாங்கல்
ખામી,குறைபாடு
પૂરતૂ,போதும்
"1. અષ્ટ વ્યંક, 2. બીટ (આઠ બિટ્સ)","1. அஷ்ட வியாங்க், 2. பிட் (எட்டு பிட்கள்)"
બાઈટ કોડ,பைட் குறியீடு
સી (કોમ્પ્યુટર ભાષા),சி (கணினி மொழி)
"1.C પ્લસ પ્લસ, 2.C++ (કોમ્પ્યુટર ભાષા)","1.சி பிளஸ் பிளஸ், 2.சி++ (கணினி மொழி)"
"1.રોકડ, 2. ઝડપી","1.பணம், 2. வேகமாக, 3.வேகமாக"
"1.કેશ બફર, 2.મેમરી બફર","1.கேச் பஃபர், 2.மெமரி பஃபர்"
"1.કેશ મેમરી, 2.કેશ મેમરી, 3.ફાસ્ટ મેમરી","1.கேச் மெமரி, 2.கேச் மெமரி, 3.ஃபாஸ்ட் மெமரி"
ગણતરી,கணக்கீடு
"1.કેલ્ક્યુલેટર, 2.કેલ્ક્યુલેટર","1.கால்குலேட்டர், 2.கால்குலேட்டர்"
"1.કેલ્ક્યુલેટર ચિપ,2. કેલ્ક્યુલેટર ચિપ","1.கால்குலேட்டர் சிப், 2. கால்குலேட்டர் சிப்"
આહવાન કરો,அழைக்கவும்
નામ કૉલ,பெயர் அழைப்பு
સંદર્ભ કૉલ,குறிப்பு அழைப்பு
સન્માન કૉલ,மரியாதை அழைப்பு
ચલ કોલ,மாறி அழைப்பு
આમંત્રણ દ્વાર,அழைப்பு வாயில்
"1. રદ કરો, 2. રદ કરો","1. ரத்து, 2. ரத்து"
રદબાતલ બટન,திரும்பப்பெறுதல் பொத்தான்
"1. નિર્ધારિત, 2. કેનોનિકલ","1. பரிந்துரைக்கப்பட்ட, 2. நியமனம்"
પ્રમાણભૂત સ્વરૂપ,நியமன வடிவம்
ક્ષમતા,திறன்
ક્ષમતા યાદી,திறன் பட்டியல்
"1. ક્ષમતા, 2. હોલ્ડિંગ","1. திறன், 2. வைத்திருக்கும்"
કેપ્સ લોક કી,தொப்பி பூட்டு விசை
"1.કાર્ડ, 2. શીટ","1. அட்டை, 2. தாள்"
કાર્ડ રીડર,கார்டு ரீடர்
પ્રાધાન્ય,முக்கியத்துவம்
વાહક,கேரியர்
વાહક બેન્ડ,கேரியர் பேண்ட்
વાહક લોડ,கேரியர் சுமை
વાહક સંકેત,கேரியர் சிக்னல்
વાહક તરંગ,கேரியர் அலை
હાંસલ કર્યું,சாதித்தது
સ્કોર હાંસલ કર્યો,மதிப்பெண் பெற்றார்
ધ્વજ હાંસલ કર્યો,அடைந்த கொடி
"1.કાર્ટિજ ડિસ્ક, 2.કાર્ટ્રિજ ડિસ્ક","1.கார்ட்ரிட்ஜ் டிஸ்க், 2.கார்ட்ரிட்ஜ் டிஸ்க்"
"1. કાસ્કેડ, 2. કાસ્કેડ","1. அருவி, 2. அருவி"
કેસ,வழக்கு
કેથોડ-રે-ટ્યુબ (CRT),கேத்தோடு-கதிர் குழாய் (CRT)
કેથોડ રે ટ્યુબ (સીઆરટી) કેથોડ રે ટ્યુબ,கத்தோட் கதிர் குழாய் (CRT) கத்தோட் கதிர் குழாய்
સીડી રોમ ડિસ્ક ડ્રાઇવ,சிடி ரோம் டிஸ்க் டிரைவ்
કોષ,செல்
સેલ એનિમેશન,செல் அனிமேஷன்
