Hindi,Assamese
सहभोजिता,কমিউনিয়ন
वाणिज्यिक बैंक,বাণিজ্যিক বেংক
1. जिंस 2. पण्य वस्तु,১/ পণ্য ২/ ব্যৱসায়িক সামগ্ৰী
समुदाय,সমুদায়
संहनन (मृदा का),সংকোচন (মাটিৰ)
1. सुसंगति 2. संगतता,1. সামঞ্জস্যতা 2. সামঞ্জস্যতা
सुसंगतता,সামঞ্জস্যতা
1. क्षतिपूर्ति 2. मुआवजा,১/ ক্ষতিপূৰণ ২/ ক্ষতিপূৰণ
स्पर्धी अन्योन्यक्रिया,প্ৰতিযোগিতামূলক পাৰস্পৰিক ক্ৰিয়া
पूरक सस्य,শস্যৰ পৰিপূৰক
1.सम्मिश्र 2. जटिल,১.সংমিশ্ৰিত ২.জটিল
घटक,সমষ্টিবাসী
संघटन,সুৰ-ৰচনা
कंपोस्ट,পচন সাৰ
चक्रवृद्धि ब्याज,যৌগিক আগ্ৰহ
अभिकलन,গণনা
1.अभिकलित्र 2.कंप्यूटर,1. কম্পিউটাৰ 2. কম্পিউটাৰ
1. सांद्रण 2. संकेद्रण,১/ ঘনত্ব ২. ঘনত্ব
1. अनुकूलक 2. पुनरुद्धारक,১.অপ্টিমাইজাৰ ২.ৰিভাইটালাইজাৰ
चालकता,পৰিবাহীতা
1. विन्यास 2. संरूपण,1. বিন্যাস 2. বিন্যাস
1. अनुरूपता 2. समविन्यास 3. संरूपता,1. অনুকূলতা 2. সংৰূপ 3. অনুকূলতা
1.समाकुलन 2. संकरण,১.সংহতি ২.সংকৰকৰণ
संयुग्मन,সংযোজন
1. योजी 2. संयोजी,1. যোগকৰণ 2. সংযোগী
सरंक्षण,সুৰক্ষা
चकबंदी,একত্ৰীকৰণ
1.संघटक 2. अवयव,১.উপাদান ২.উপাদান
उपभोक्ता,গ্ৰাহক
उपभोग,সেৱন
संदूषण,দূষণ কৰা
समोच्च रोपण,কনট্যুৰ ৰোপণ
समोच्च रेखा,কনট্যুৰ ৰেখা
1.संविदा कृषि 2. ठेका कृषि 3. अनुबंधित खेती,১/ ঠিকাদাৰী খেতি ২.ঠিকাদাৰী খেতি ৩.চুক্তিবদ্ধ কৃষি
नियंत्रित वातावरणीय भंडारण,নিয়ন্ত্ৰিত বায়ুমণ্ডলীয় সংৰক্ষণ
सहकारी बैंक,সমবায় বেংক
सहकारी संस्था सदस्य,সমবায় সমিতিৰ সদস্য
गुल्मवन,গুলমাৱন
घनकंद,ঘনকীয়
1.दलपुंज 2. कोरोला,১.দলপুঞ্জ ২.কৰোলা
1. वल्कुट 2. कोर्टेक्स,১.কৰ্টেক্স ২.কৰ্টেক্স
लागत,খৰচ
बीजपत्र,কুটিলডন
ऋण समिति,ক্ৰেডিট কমিটি
1.उधार 2. साख,১/ ঋণ দিয়া ২.ক্ৰেডিট
1. ऋणदाता 2. लेनदार,১/ ঋণদাতা ২.পাওনাদাৰ
1.शिखा 2. शीर्ष 3. शिखर,1. শিখৰ 2. শিখৰ 3. শিখৰ
व्याकुंचन,প্ৰত্যাহাৰ
संकट,বিপদ
कसौटी,পৰীক্ষা
क्रांतिक,জটিল অৱস্থা
फसल बीमा,শস্যৰ বীমা
फसल ऋण,শস্যৰ ঋণ
1. सस्य 2. फसल,১.শস্য ২.শস্য
सस्यन क्षेत्र,খেতি কৰা অঞ্চল
पार-असंगत,ক্ৰছ অসঙ্গতিপূৰ্ণ
1. मुकुट 2. शिखर (पादप),1. মুকুট 2. শিখৰ (উদ্ভিদ)
मृदुकण,কোমল কণা
पपड़ी,খোলা
1. क्रिप्टोगैम 2. अपुष्पीपादप,1. ক্ৰিপ্টোগাম 2. নন-ফ্ল&#39;ৰিফৰ্ম
छांटन (फल),ছাঁটনি (ফল)
कल्म,কলম
कृष्य किस्म,জাত জাত
1.कर्षण 2. कृषि 3. खेती,১.ট্ৰেকচন ২.কৃষি ৩.খেতি কৰা
1.किसान 2. कल्टीवेटर (यंत्र),১/ কৃষক ২/ খেতিয়ক
1.संवर्ध 2. संवर्धन 3. पालन,১.খেতি ২.খেতি ৩.পালন
1.संसाधन 2.तैयार करना,১.সম্পদ ২.প্ৰস্তুতি
1.कुंतलन 2. कुंचन,১.কুন্তলন ২.কুঞ্চন
मुद्रा,মুদ্ৰা
1. उपत्वचा 2. क्यूटिकल,১.এপিডাৰ্মিছ ২.কিউটিকল
1.कलम 2. कटाई 3. काटना 4.कटाग्र 5. कटावा,1. কলম 2. কাটি 3. কাটি 4. কাটি 5. কাটিব
1.कृमि कोष 2. सिस्ट 3. पुटी 4.विकृत गुल्म 5. रसौली,১.কৃমিৰ কৰ্পাছ ২.চিষ্ট ৩.চিষ্ট ৪.বিকৃত গোট ৫.নিওপ্লাজম
साइटोक्रोम,চাইট&#39;ক্ৰ&#39;ম
कोशिका युग्मन,কোষ সংযোজন
कोशिका जनन,কোষৰ প্ৰজনন
कोशिका आनुवंशिकी,কোষৰ জিনীয় বিজ্ঞান
कोशिका द्रव्य विभाजन,চাইট’প্লাজমিক বিভাজন
कोशिका विज्ञान,কোষ জীৱবিজ্ঞান
कोशिका लयन,কোষৰ লাইছিছ
1. साइटोमियर 2. कोशिका खंड,১) চাইট’মিৰ ২) কোষৰ বিভাজন
कोशिका द्रव्य,চাইট’প্লাজম
1.डेरी 2. दुग्धशाला,১/ দুগ্ধজাত সামগ্ৰী ২.দুগ্ধজাত সামগ্ৰী
डेरी उदयोग,দুগ্ধ উদ্যোগ
1. बांध 2. प्रजननी,১.বান্ধ ২.প্ৰজননকাৰী
दिवस निरपेक्ष पादप,দিন নিৰপেক্ষ উদ্ভিদ
पुष्पन के बाद दिन,ফুল ফুলাৰ পিছদিনা
पूर्ण पुष्पन के बाद दिन,সম্পূৰ্ণ ফুল ফুলাৰ পিছত দিন
निष्पुष्पन,অদক্ষতা
विकैल्सीकरण,ডিকেলচিফিকেশন
1. निथारना 2. निस्तारना,1. dislodge 2. dislodge কৰা
क्षय,পচি যোৱা
पर्णपाती,পৰ্ণপাতী
1. दशमिक 2. दशमलव,১.দশমিক ২.দশমিক
न्यूनता,হীনমন্যতা
अनूर्णन (मृदा),অনুৰণ (মাটি)
विपुष्पन,বিপুষ্পন
विपत्रण,বিলিং
वनोन्मूलन,বনাঞ্চল ধ্বংস কৰা
अपहासन,বদনাম
निम्नीकरण,অৱক্ষয়
अंश दिवस,অংশ দিন
1.मात्रा 2. अंश,১.পৰিমাণ ২.অংশ
स्फुटन,ডিহিচেন্স
भूसी हटाना,খোলা আঁতৰোৱা
भूसी हटाना,খোলা আঁতৰোৱা
निर्जलीकरण,পানীলগা
निर्जलकारित्र,জলহীন
मांग,দাবী কৰা
1. विकृतीकरण 2. गुणनाशन,১.ডিনেচাৰেচন ২.গুণন
अनाच्छादन,ডেনুডেচন
1. निक्षेप (मृदा) 2. जमा (अर्थशास्त्र),1. জমা (মাটি) 2. জমা (অৰ্থনীতি)
निक्षेपण,জমা
1. मूल्यहास 2.अवमूल्यन,১.মূল্য হ্ৰাস ২.মূল্য হ্ৰাস
विलवणीकरण,ডিচেলাইনেচন
1. जल शुष्कन 2. निर्जलीकरण,১/ পানী শুকুৱাই লোৱা ২/ পানীলগা
1.अभिकल्पना 2. डिजाइन,1. ডিজাইন 2. ডিজাইন
शुष्कित्र,শুকান
गुठली निकालना,কাৰ্ণেল আঁতৰোৱা
वि-अंतः भूस्तारीकरण,ডি-ইণ্টাৰকেলেচন
वियुग्मन,সংযোজন
1. नर मंजरी निकालना (मक्का) 2. बल्लर निकालना,১/ মতা মাঞ্জাৰী নিষ্কাশন (মাকৈ) ২) বেলাৰ নিষ্কাশন
बल्लर या कुंदन को काटना,বল্লাৰ বা কুন্দন কাটিব পৰা
निर्धारक,নিৰ্ণায়ক
अवमूल्यन,বিমুদ্ৰাকৰণ
वनस्पतिरहित करना,ডি-ভেজিটেট
विचलन,বিচ্যুতি
द्विक,দুণ্ডণ
निदान,নিদান
भिन्नकाल पक्वता,ভিন্ন পৰিপক্কতা
द्विभाजन,bifurcation
1.दविबीजपत्री 2.डाइकोटिलेड़न (बीज),1. দ্বিবিষাক্ত (বীজ)
पश्चमारी (रोग),পিঠিৰ ৰোগ
1. विसरण 2. विसार,১.প্ৰসাৰণ ২.প্ৰসাৰণ
पाचनीयता,হজম ক্ষমতা
द्विसंकर,ডাইহাইব্ৰিড
1. बांध 2. नाली 3. परिवाह,১.বান্ধ ২.নলা ৩.পৰিয়াল
तनु,সামান্য
1. एकलिंगाश्रयी 2. पृथक् लिंगी,১.একপত্নী ২.একপত্নী
द्विगुणित,ডিপ্লয়ড
1. द्विगुणित 2. डिप्लॉइड,১.দ্বিগুণী ২.দ্বিগুণী
द्विसूत्र,ডাইপোল
