Malayalam,Gujarati
അഡ്മിനിസ്ട്രേറ്റീവ് അതോറിറ്റി,વહીવટી સત્તા
അഡ്മിനിസ്ട്രേറ്റീവ് നിയന്ത്രണം,વહીવટી નિયંત્રણ
അഡ്മിനിസ്ട്രേറ്റീവ് തീരുമാനം,વહીવટી નિર્ણય
അഡ്മിനിസ്ട്രേറ്റീവ് വകുപ്പ്,વહીવટી વિભાગ
അഡ്മിനിസ്ട്രേറ്റീവ് ഹെഡ്,વહીવટી વડા
അഡ്മിനിസ്ട്രേറ്റീവ് ആസ്ഥാനം,વહીવટી મથક
ഭരണപരമായ നടപടികൾ,વહીવટી પગલાં
ഭരണപരമായ ശക്തി,વહીવટી સત્તા
ഭരണപരമായ അനുമതി,વહીવટી મંજૂરી
അഡ്മിനിസ്ട്രേറ്റീവ് രീതി,વહીવટી તકનીક
അഡ്മിനിസ്ട്രേറ്റീവ് ട്രൈബ്യൂണൽ,વહીવટી પંચ
അനഭാക്ഷ്യം,સ્વીકાર્યતા
അനുവദനീയമായ ചെലവ്,સ્વીકાર્ય ખર્ચ
സമ്മതിക്കുക,કબૂલવું
അഡ്മിറ്റ് കാർഡ്,પ્રવેશ કાર્ડ
പ്രവേശിപ്പിച്ചു,સ્વીકૃત
ഉപദേഷ്ടാപ്പ്,સલાહ આપવી
ദന്തം,દત્તક
ച്ചക്കല്,અપનાવનાર
ദത്ത്,દત્તક
പായപൂര്ത്തിയായി,પુખ્ત
മായം,ભેગ
വഭിചാരം,વ્યભિચાર
മുതിർന്നവർക്കുള്ള ഫ്രാഞ്ചൈസി,પુખ્ત મતાધિકાર
പരസ്യ മൂല്യനിർണ്ണയം,બહાનું
മുന്നേറുക,આગળ વધવું
അഡ്വാൻസ് ബുക്കിംഗ്,અગ્રિમ બુકિંગ
അഡ്വാൻസ് കോപ്പി,અગ્રિમ પ્રત
അഡ്വാൻസ് ഇൻക്രിമെന്റ്,અગ્રિમ ઈજા
അഡ്വാൻസ് പേയ്മെന്റ്,અગાઉથી ચુકવણી
പ്രതികൂല പ്രവേശനം,પ્રતિકૂળ નોંધ
പ്രതികൂല പരാമർശങ്ങൾ,પ્રતિકૂળ નોંધ
പ്രതികൂല റിപ്പോർട്ട്,પ્રતિકૂળ અહેવાલ
വിജ്ഞാപനം,જાહેરખબર
ഉപദേശം,સલાહ
പേയ്മെന്റിന്റെ ഉപദേശം,ચુકવણી
ഉപദേശക സമിതി,સલાહકાર સમિતિ
ഉപദേശക സമിതി,સલાહકાર પરિષદ
വാദിക്കുക,હિમાયતી
കാര്യങ്ങൾ,બાબતો
സതവാങ്മൂലം,સોગંદનામું
ബന്ധം,જોડાણ
സ്ഥിരീകരണം,સમર્થન
ഉറപ്പിക്കുന്ന,ખાતરીપૂર્વક
ഉളവാക്കുക,પરવડી
മേൽപ്പറഞ്ഞ,ઉપરોક્ત
ശെറെഷ്,ફરી
എതിരായി,વિરુદ્ધ
വയസ്സ്,ઉંમર
പ്രായപരിധി,વય પ્રમાણપત્ર
വോട്ടവകാശത്തിനുള്ള പ്രായം,મતાધિકાર માટે વય
പ്രായപരിധി,વય -મર્યાદા
നിര്വ്വഹണം,સંસ્થા
കാരപരിപാടി,કાર્યસૂચિ
വിരമിക്കലിന്റെ പ്രായം,નિવૃત્તિની ઉંમર
അപാദന പ്രായം,નિવૃત્તિની ઉંમર
അഗ്രഗേഷൻ,એકંદર
ദു ved ഖിച്ചു,નારાજ
പ്രക്ഷോഭക്തി,આંદોલન
AGM,અકસ્માત
കരാര്,સહમત
കരാർ ഫോം,સહમત ફોર્મ
കൃഷിപ്പണി,કૃષિ
കാർഷിക വ്യവസായം,કૃષિ ઉદ્યોગ
സഹായം,સહાય
ആപല്സൂചന,ભય
ജാല്തചിഹ്നം,જાગરૂકતા
അപരാഭിധാനം,ઉર્ફે
കുറ്റാരോപണം,આરોપ
മേല്ക്കോയ്മയോട് ഭക്തി,વાન
സഖം,સુમેળ
അനുബന്ധ സേവനങ്ങൾ,સંલગ્ન સેવાઓ
എല്ലാം ഉൾക്കൊള്ളുന്ന ചെലവ്,તમામ સમાવિષ્ટ ખર્ચ
അഖിലേന്ത്യാ സേവനങ്ങൾ,અખરાબ સેવા
പങ്കുവയ്ക്കല്,ફાળવણી
അനുവദിച്ചതുക,ફાળવણી
അലോട്ട്മെന്റ് കത്ത്,ફાળવણીનો પત્ર
അല്ലോട്ടി,ફાળવણી કરનાર
അനുവദനീയം,માન્ય
അനുവദനീയമായ ചെലവുകൾ,માન્ય -ખર્ચ
ഒരു അപ്പീൽ അനുവദിക്കുക,અપીલ કરવાની મંજૂરી આપવી
അനുമതി നല്കുക,છૂટ
എല്ലാ അവകാശങ്ങളും നിക്ഷിപ്തം,બધા હકો અમારી પાસે રાખેલા છે
അക്ഷരമാല ഓർഡർ,વર્ણાનુક્રમ
വാസസ്ഥലമായ,બોલો
ഏകാന്തരക്രമത്തിൽ,વૈભવી
ബദൽ,વૈકલ્પિક
സംയോജനം,સંવાદ
ഭേദഗതി ചെയ്ത ഡ്രാഫ്റ്റ്,સુધારેલો મુસદ્દો
ഭേദഗതി,સુધારો
സഖ്യം,સુંદરતા
മിതഭാവമുള്ള,સુખદ
വെടിക്കോപ്പ്,દારૂગોળો
കടത്തിന്റെ പവിത്രത,દેવું
സംഖ,રકમ
പെൻഷന്റെ തുക,પેન્શનની રકમ
അനലോഗസ് പോസ്റ്റ്,એકસમાન સ્થાન
വിശകലനം,વિશ્લેષણ
അനലിറ്റിക്കൽ പഠനം,વિશ્લેષણાત્મક
പൂര്വ്വികന്,વડપણ
അനുബന്ധ വ്യവസായം,આનુષંગિક ઉદ્યોગ
ബദ്ധവൈരം,શિષ્ટાચાર
അനുബന്ധം,જોડાણ
വാര്ഷികദിനം,વર્ષગાંઠ
അറിയിപ്പ്,જાહેરાત
ഉപദവം,ત્રાસ
വാർഷിക സാമ്പത്തിക പ്രസ്താവന,વાર્ષિક નિવેદન
വാർഷിക റിപ്പോർട്ട്,વાર્ષિક હિસાબ
ആന്വിറ്റി,વાર્ષિકી
പേരറിയാത്ത,અનામી
അജ്ഞാത പരാതി,નામંજૂર ફરિયાદ
ഉത്തരവിദ്ധി,જવાબદારપણું
ഉത്തരക്കടലാസ്,ઉત્તરવહી
ശതാപകന്,વિરોધી
മുൻഗാമികൾ,પૂર્વવર્તીઓ
പ്രതീക്ഷിച്ച ചെലവ്,અપેક્ષિત ખર્ચ
പ്രതീക്ഷിച്ച വരുമാനം,અપેક્ષિત આવક
മുന്തോന്നല്,અપેક્ષા
മുൻകൂട്ടി ജാമ്യം,અપેક્ષિત જામીન
അഴിമതി വിരുദ്ധ നടപടി,ભ્રષ્ટાચાર માપદંડ
വിരുദ്ധ ഡമ്പിംഗ്,પ્રતિષ્ઠાવાન
പഴക്കം ചെന്ന,પ્રાચીન
വർത്തിഡ്,રંગભુળ
അപരാഭിചികം,દુ: ખ
അപെക്സ് ബോഡി,ટોચ
ക്ഷമാപണം,માફી
പുനര്വിചാരണയ്ക്ക് അപേക്ഷിക്കുക,અપીલ
കാഴ്ച,દેખાવ
വിശേഷണം,સંતાપવું
അപ്പീലേറ്റ് ട്രൈബ്യൂണൽ,અપીલ પંચ
അനുബന്ധം,પરિશિષ્ટ
ഉപകരണം,ઉપકરણ
പയോഗക്ഷമമായ,લાગુ પડે એવું
അപേക്ഷക,અરજદાર
അപേക്ഷ,નિયમ
അപേക്ഷാ ഫോറം,અરજી પત્ર
പ്രയോഗിച്ചു,લાગુ કરવું
അപേക്ഷിക്കുക,અરજી કરવી
നിയമിത,નિમણૂક કરનાર
അധികാരം നിയമിക്കുന്നു,નિયુક્ત સત્તા
നിയമനം,નિમણૂક
നിയമന പത്രിക,નિમણૂક -પત્ર
മന്ത്രിസഭയുടെ നിയമന സമിതി,નિમણૂક સમિતિ
വേതനത്തെ വിഭവങ്ങൾ,વેતનનું વિભાજન
വിലനിശ്ചയിക്കല്,મૂલ્યાંકન
വിലഹരവാദി,મુલવણી કરનાર
അഭിനന്ദനം,કદર
അവബോധം,આશંકા
തൊഴില്പരിശീലക,ઉમેદવાર
സമീപിക്കുക,અભિગમ
അനുഗുണമായ,યોગ્ય
ഉചിതമായ പ്രവർത്തനം,યોગ્ય કાર્યવાહી
ഉചിതമായ തല,યોગ્ય
വിനിയോഗം,વિનિયોગ
അംഗീകരിക്കല്,મંજૂરી
ഏകദേശമായ,આશરે
ആപ്റ്റിറ്റ്യൂഡ് ടെസ്റ്റ്,અભિરુચિ કસોટી
സേച്ഛാചാരിയായ,મનસ્વી
മാദ്ധസ്ഥം വഹിക്കുക,મધ્યસ્થી
മാദ്ധസ്ഥം,લવાદી
മാദ്ധ്യസ്ഥതാ ട്രിബ്യൂണൽ,લવાદી પંચ
മദ്ധസ്ഥന്,લવાદી
വാസ്തുവിദ,સ્થાપત્ય
ഗന്ഥരക്ഷാലയം,દફ્તર
പദേശം,વિસ્તાર
ഏരിയസ്ഥാനം,વિસ્તારનું મુખ્ય મથક
വാദം,દલીલ
എഴുന്നേല്ക്കുക,ઊગવું
സായുധ സേന,સશસ્ત્ર દળો
കമീകരണം,વ્યવસ્થા
ഊരി,બાકી
അരീയർ പ്രസ്താവന,બાકી રાખનાર પત્રક
വരവ് റിപ്പോർട്ട്,આગોતડી અહેવાલ
ധിക്കാരം,ઘમંડ
ആയുധശാല,શસ્ત્રસાર
പദാര്ത്ഥം,વસ્તુ
അസോസിയേഷന്റെ ലേഖനങ്ങൾ,મંડળ
ലേഖനങ്ങൾ,લેખ
ആരോഹണ ക്രമം,ચડતો હુકમ
നിർണ്ണയിക്കുന്ന,ખાતરી કરવી
എവിടെയാണ്,જ્યાં છે ત્યાં છે
വശം,દૃષ્ટિ
കയറിയ,આછા
രാഷ്ടീയക്കൊല,હત્યા
കയ്യേറ്റം നടത്തുക,હુમલો
സംയോജിപ്പിക്കുക,ભેગા
നിയമനിര്മ്മാണസഭ,વિધાનસભા
അനുമതി,અનુમાન
ഉറപ്പുപറയുക,ભારપૂર્વક કહેવું
വിലയിരുത്തുന്ന,આકારણી કરનાર
നികുതിചുമത്തല്,આકારણી
വിലയിരുത്തൽ വർഷം,આકારણી વર્ષ
അസര്യാകം,આકારણીકાર
ആസ്തി,અસ્ક્યામત
നിയമനിക,મુખત્ર
ചുമതല,સોંપણી
യാസ,મુલકવનાર
സഹായം,સહાય
തോഴന്,સાથી
ചങ്ങാത്തം,મંડળ
ചാർജ് അനുമാനം,હવાલો
ഉറപ്പുനല്കല്,ખાતરી
അഷ്വറൻസ് കമ്പനി,ખાતરી કંપની
ഉറപ്പുതരുന്നു,ખાતરી આપવી
കിഴിവിൽ,અપટ
ആറ്റോമിക് പവർ,અણુની શક્તિ
തുല്യത്തിൽ,સમકક્ષ
പ്രീമിയത്തിൽ,ઈમારત
ഘടിപ്പിക്കുക,સંલગ્ન કરવું
അറ്റാച്ചുചെയ്ത ഓഫീസ്,જોડાયેલ કચેરી
ബന്ധം,જોડાણ
അറ്റാച്ചുമെന്റ് ഓർഡർ,જોડાણનો હુકમ
നേട്ടം,પ્રાપ્તિ
പരിശമം,પ્રયત્ન
ഹാജർ,ઉપસ્થિત
ഹാജർ രജിസ്റ്റർ,ઉપસ્થિત રજિસ્ટર
പങ്കെടുക്കുന്ന സ്ലിപ്പ്,ઉપસ્થિત કાપલી
ശ്രദ്ധ,ધ્યાન
സാക്ഷ്യപ്പെടുത്തൽ,પ્રમાણન
സാക്ഷ്യപ്പെടുത്തിയ പകർപ്പ്,પ્રમાણિત પ્રત
ഭാവം,વલણ
ആകർഷകമായ ശമ്പളം,આકર્ષક પગાર
ലേലം,હરાજી
ലേറ്റീയർ,હરાજી કરવી
ലേല വിൽപ്പന,હરાજીનું વેચાણ
സദസര്,શ્રોતા
ഓഡിയോ-വിഷ്വൽ ഡിസ്പ്ലേ,દૃષ્ટિકોણ
ഓഡിയോ-വിഷ്വൽ പബ്ലിസിറ്റി,વિઝ્યુઅલી પ્રચાર
കണക്കുപരിശോധിക്കുക,હિસાબ -તપાસણી
ഓഡിറ്റുചെയ്ത അക്കൗണ്ടുകൾ,ઓડિટ કરેલ હિસાબ
ഓഡിറ്റുചെയ്ത ബാലൻസ് ഷീറ്റ്,Ited ડિટ કરેલી સર્ટિલશીટ
ഓഡിറ്റിംഗ്,Itingણ
ഓഡിറ്റ് എതിർപ്പ്,હિસાબ -તપાસણીનો વાંધો
ഓഡിറ്ററുടെ റിപ്പോർട്ട്,Itor ડિટર અહેવાલ
ആഡിറ്റോറിയം,સભાગૃહ
ഓഡിറ്റ് ഖണ്ഡിക,ઓડિટ ફકરા
കണക്കിറ്റ് റിപ്പോർട്ട്,હિસાબ -તપાસણી અહેવાલ
ഉത്സവമായ,કઠોરતા
ചെലവുചുരുക്കൽ നടപടികൾ,કઠોર પગલાં
ആധികാരികം,અધિકૃત
അംഗീകൃത പ്രതിനിധി,અધિકૃત પ્રતિનિધિ
അംഗീകാരപരമായ,પ્રમાણભૂત
അധികാരം,અધિકાર
അതോറിറ്റി കത്ത്,સત્તાધિકારનો પત્ર
അധികാരപ്പെടുത്തി,અધિકૃત
അംഗീകൃത മൂലധനം,અધિકૃત મૂડી
ഓട്ടോമാറ്റിക്,સ્વચાલિત
സയംശാസിതമായ,સ્વાયત્ત
സ്വയംഭരണ സംഘടന,સ્વાયત્ત સંસ્થા
സയംഭരണാവകാശം,સ્વાયત્તતા
ഉക്സിലറി,સહાયક
സുലഭം,ઉપલબ્ધ
ശരാശരി,સરેરાશ
ശരാശരി അവധി,સરેરાશ રજા
അപീതി,અણગમો
അകറ്റുക,અટકાવવું
ഒഴിവാക്കുക,ટાળવું
നികുതി ഒഴിവാക്കുക,કર બંધ
കാത്തിരിക്കുന്നു,રાહ જોવાયેલું
കൊടുക്കുക,પુરસ્કાર
അതോറിറ്റി അവാർഡ്,પુરસ્કાર સત્તાધિકારી
ബോധപ്പെടുത്തല്,જાગરૂકતા
കസ്റ്റേറ്റഡ്,પીછેહઠ
പശ്ചാത്തലം,પૃષ્ઠભૂમિ
ബാക്ക് ലോഗ്,પાછલી લોગ
പുറപ്പെട്ടു,પાછા બહાર
തിരികെ റഫറൻസ്,પાછલી વાત
ബാക്കപ്പ് ചെയ്യുക,પીછેહઠ કરવી
പിന്നോക്ക ക്ലാസുകൾ,પછાત વર્ગ
പിന്നോക്ക ഗോത്രം,પછાત આદિજાતિ
മോശം വിലപേശൽ,ખરાબ સોદો
ചീത്ത സ്വഭാവം,ખરાબ વર્તન
മോശം പ്രതീകം,ખરાબ પાત્ર
മോശം കാലാവസ്ഥാ അലവൻസ്,ખરાબ આબોહવા ભથ્થું
മോശം പെരുമാറ്റം,ખરાબ વર્તન
കിട്ടാ കടം,ખરાબ દેવું
ബാഗ്,સામાન
ജാമം,જામીન
ബാക്കി,સમતોલ
ബാലൻസ് കൊണ്ടുവന്നു,સરખામણી નીચે લાવવામાં
ബാലൻസ് മുന്നോട്ട് കൊണ്ടുവന്നു,સંતુલન આગળ લાવવામાં
സമതുലിതമായ ബജറ്റ്,સમતોલ અંદાજપત્ર
ബാലൻസ് ഷീറ്റ്,સરવૈયા
വോട്ടിന്റെ നറുക്ക്,મતદાન
ബാലറ്റ് ബോക്സ്,મતપેટી
ബാലറ്റ് പേപ്പർ,મતદાનનો કાગળ
നിരോധനം,પ્રતિબંધ
ബാങ്ക്,બેંક
ബാങ്ക് അക്കൗണ്ട്,બેંક એકાઉન્ટ
ബാങ്ക് ബാലൻസ്,બેંક સિલક
ബാങ്ക് ചാർജുകൾ,બેંક ખર્ચ
ബാങ്ക് ഗ്യാരന്റി,બેંક ની ખાતરી
ബാങ്ക് അവധി,બેંક રજા
ബാങ്കിംഗ് സൗകര്യം,બેંકિંગ સુવિધા
ബാങ്കിംഗ് സമയം,બેંકિંગ કલાકો
ബാങ്കിംഗ് ഇടപാട്,બેંકિંગ લેવડદેવડ
ബാങ്ക് നിരക്ക്,બેંક દર
ബാങ്ക് അനുരഞ്ജനം,બેંક સમાધાન
നിര്ദ്ധനന്,નાદાર
ബാങ്ക് സുരക്ഷ,બેંક સુરક્ષા
ബാങ്ക് സ്റ്റേറ്റ്മെന്റ്,બેંક સ્ટેટમેન્ટ
വിരോതം,ભોજન સમારંભ
ബാർ കൗൺസിൽ,પટ્ટી પરિષદ
വില്പ്പനക്കരാര്,સોદો
വില പേശൽ,સોદાબાજી
തരിശുഭൂമി,ઉજ્જડ જમીન
ചരക്കുകൈമാറ്റക്കച്ചവടം,સાપ્તાહિક
അടിത്തറ,પાયો
അടിസ്ഥാനപരമായ,તબાને
കെട്ടിടത്തിന്റെ അടിത്തറ,આધાર
അടിസ്ഥാന വർഷം,મુખ્ય વર્ષ
അടിസ്ഥാനപരമായ,પાયાની
അടിസ്ഥാനപരമായി,મૂળભૂત રીતે
അടിസ്ഥാന ഇന്റലിജൻസ്,મૂળ બાતમી
അടിസ്ഥാന ശമ്പളം,મૂળ પગાર
ശമ്പളത്തിന്റെ അടിസ്ഥാന തോത്,મૂળ પગાર ધોરણ
അടിസ്ഥാന പരിശീലനം,મૂળભૂત તાલીમ
അടിസ്ഥാനം,આધાર
ഓടിക്കല്ല്,ચોપડી
ബാച്ച് നമ്പര്,બેચ નંબર
ചുമക്കുന്ന ചെക്ക്,વાહક ચેક
ഉദ്ധരിച്ചതിന് മുമ്പ്,ટાંકવામાં આવે તે પહેલાં
പെരുമാറ്റം,વર્તન
വിശാസം,વિશ્વાસ
പാരത്തില് താഴെ,નીચે
ബഞ്ച്,હોદ્દો
ബെഞ്ച്മാർക്ക്,બેહદ નિશાની
പ്രയോജനകരമായ,લાભદાયી
പയോജകന്,લાભ મેળવનાર
ആനുകൂലം,લાભ
സംശയത്തിന്റെ പ്രയോജനം,શંકાનો લાભ
നന്മ,પરોપકારી
ബെൻ വോളന്റ് ഫണ്ട്,હિતકારી નિધિ
Arequeliathe,વારસામાં આપવું
അയവിസ്താരം,વસિયતનામા
ദുര്ത്തന്ത,પડદાથી છીનવી લેવું
മികച്ച ശ്രമങ്ങൾ,શ્રેષ્ઠ પ્રયત્નો
കാഴ്ചപ്പാട്,સુધારણા
പക്ഷപാതം,પક્ષપાત
പക്ഷപാതപരമായ അഭിപ്രായം,પક્ષપાતી અભિપ્રાય
ബിബ്ലിയോഗ്രാഫി,ગ્રંથસૂચિ
ബിനാത്തില്,દ્વિવાર્ષિક
വിഭജനം,દ્વિભાજિત કરવું
ദിഭാരതം,દ્વિપૂજ
ഉഭയകക്ഷി,દ્વિપક્ષીય
രണ്ടുഭാഷകളിലുള്ള,દ્વિભાષી
ബൈകാമെറൽ,દ્વિકય
ബില്,બિલ
വ്യവഹാര പത്രം,વિનિમય
ബിമോണി റിപ്പോർട്ട്,દ્વિમાસિક અહેવાલ
ബന്ധിക്കുക,બાંધણી
ബയോഡറ്റ,જૈવનું
ബിപർട്ടിനെറ്റ്,દ્વિપક્ષી
Biparteait കരാർ,દ્વિપક્ષીય કરાર
ജന്മവാർഷികം,જન્મજાસતિ
ജനന സർട്ടിഫിക്കറ്റ്,જન્મ પ્રમાણપત્ર
ജനന നിയന്ത്രണം,જન્મ -નિયંત્રણ
ജനിച്ച ദിവസം,જન્મતારીખ
ജന്മസ്ഥലം,જન્મસ્થળ
ജനന നിരക്ക്,જન્મ દર
ബിക്കുളികം,દ્વિપક્ષીય
കറുത്ത സമ്പദ്വ്യവസ്ഥ,કાળા અર્થતંત્ર
കറുത്ത പട്ടിക,કાળી યાદી
കൊള്ളയടിക്കുക,શરત
കരിഞ്ചന്ത,કાળા બજાર
കുറ്റപ്പെടുത്തുക,દોષારોપણ
ശൂന്യമായ പരിശോധന,ખાલી તપાસ
പുതപ്പ് ഇടപാട്,ઘોષણા
പുതപ്പ് ഓർഡർ,અણીદાર હુકમ
സ്ഫോടനം,વિનોદ
മിശ്രിതമാക്കുക,સંમિશ્રણ
ഉപരോധിക്കുക,અવરોધ
ഉപരോധിക്കല്,નાકાબંધી
തടഞ്ഞ മൂലധനം,અવરોધિત મૂડી
വലിയ അക്ഷരം,અવરોધ
രക്ത ദാനം,રક્તદાન
രക്തബന്ധങ്ങൾ,રક્ત સંબંધ
ബ്ലൂ കോളർ ജോലി,વાદળી રંગની નોકરી
ബ്ലൂപ്രിന്റ്,બ્લ્યુપ્રિન્ટ
മല്പ്പാതം,ખસી
പലക,પાટીયું
"ബോർഡിംഗ്, താമസം",નિવારણ
ഡയറക്ടർ ബോർഡ്,નિયામક મંડળ
റവന്യൂ ബോർഡ്,મહેસૂલ બોર્ડ
ശരീരം,મંડળ
അംഗരക്ഷകന്,અંગરક્ષક
ബോട്ടർ വൗച്ചർ,બોગસ વાઉચર
ബോണഫൈഡുകൾ,ખચ્ચર
ബോണ്ട്,ખત
ബോണ്ടഡ് തൊഴിലാളി,મજૂર
ലാഭവിഹിതം,બોનસ
ബുക്കിംഗ് ഓഫീസ്,નોંધણી ની ઓફીસ
പുസ്തക കീപ്പർ,ચોપડી
ബുക്ക്-സൂക്ഷിക്കുക,ચોપડે
ലഘുഗന്ഥം,પુસ્તક
റഫറൻസ് പുസ്തകം,સંદર્ભ
പുസ്തക മൂല്യം,પુસ્તકની કિંમત
ബൂത്ത്,પહાડી
ബൂത്ത് പിടിച്ചെടുക്കുക,બૂથ
അതിർത്തി അലവൻസ്,સરહદ ભથ્થું
അതിർത്തി രേഖ,સરહદ -રેખા
കടം വാങ്ങുന്നയാൾ,Bણ લેનાર
കടം വാങ്ങുന്ന ശക്തി,ઉધાર લેવાની શક્તિ
യജമാനന്,બસ
