Marathi,Gujarati
सक्रिय फाईल,સક્રિય ફાઈલ
सक्रिय ओळ,સક્રિય રેખા
सक्रिय दुवा,સક્રિય કડી
सक्रिय मास्टर फाइल,સક્રિય માસ્ટર ફાઇલ
सक्रिय मास्टर आयटम,સક્રિય મુખ્ય વસ્તુ
सक्रिय उपग्रह,સક્રિય ઉપગ્રહ
सक्रिय स्टेशन,સક્રિય કેન્દ્ર
सक्रिय संचयन,સક્રિય સંગ્રહ
क्रियाकलाप,પ્રવૃત્તિ
क्रियाकलाप पातळी,પ્રવૃત્તિ સ્તરે
क्रियाकलाप लोडिंग,પ્રવૃત્તિ લોડિંગ
क्रियाकलाप प्रमाण,પ્રવૃત્તિ ગુણોત્તર
वास्तविक पत्ता (= परिपूर्ण पत्ता),વાસ્તવિક સરનામું (= સંપૂર્ણ સરનામું)
वास्तविक कोड (= परिपूर्ण कोड),વાસ્તવિક કોડ (= સંપૂર્ણ કોડ)
वास्तविक डेटा हस्तांतरण दर,વાસ્તવિક ડેટા ટ્રાન્સફર રેટ
वास्तविक दशांश बिंदू,વાસ્તવિક દશાંશ બિંદુ
वास्तविक सूचना (= प्रभावी सूचना),વાસ્તવિક સૂચના (= અસરકારક સૂચના)
वास्तविक की,ખરેખર ચા
वास्तविक वेळ,વાસ્તવિક સમય
वास्तविक कामाची वेळ,વાસ્તવિક કામનો સમય
अ‍ॅक्ट्युएटिंग सिग्नल,કાર્યકારી સંકેત
अनुकूलता,અનુકૂલનક્ષમતા
अ‍ॅडॉप्टर,અનુકૂલન
अ‍ॅडॉप्टिव्ह चॅनेल वाटप,અનુકૂલનશીલ ચેનલ ફાળવણી
अनुकूली एकत्रीकरण,અનુકૂલનશીલ એકીકરણ
अ‍ॅडॉप्टिव्ह ट्रान्सव्हर्सल इक्वेलायझर,અનુકૂલનશીલ બરાબરી
जोडलेली प्रविष्टी,ઉમેરાયેલ નોંધ
परिशिष्ट,પરિવર્તન
अ‍ॅडर,પ્રહાર
अ‍ॅडडर सबट्रॅक्टर,ઉપદેશક
फाईल जोडा,ફાઇલ ઉમેરો
अतिरिक्त वर्ण (= विशेष वर्ण),વધારાના પાત્ર (= વિશેષ પાત્ર)
व्यतिरिक्त रेकॉर्डर,વધારાની રેકોર્ડર
व्यतिरिक्त सारणी,વધારાનો કોઠો
अ‍ॅडिटिव्ह विशेषता,ઉમેરણ લક્ષણ
मोड जोडा,મોડમાં ઉમેરો
ऑपरेशन जोडा,કામગીરી ઉમેરો
पत्ता,સંબોધન
पत्तेपणाचा उपाय,સરનામા -માપદંડ
पत्ते करण्यायोग्य क्षैतिज स्थिती,સરનામું આડી સ્થિતિ
पत्ता योग्य बिंदू,સંબોધન - બિંદુ
पत्ता योग्य स्थिती,પ્રતિયોગી સ્થિતિ
पत्ते करण्यायोग्य नोंदणी,સરનામું રજિસ્ટર
पत्ता योग्य स्टोरेज,પ્રત્યુત્તરપાત્ર સંગ્રહ
पत्ता योग्य अनुलंब स्थिती,સરનાક verભી સ્થિતિ
अ‍ॅड्रेस बस,સરનાવ બસ
पत्ता कोड,સરનામું
पत्ता तुलनात्मक,સરખામણી કરનાર
पत्ता गणना,સરનામું
पत्ता स्थिर,નિવારણ
पत्ता रूपांतरण,ધર્મપરિવર્તન
पत्ता डेटा,માહિતી
संबोधित मेमरी,સંબોધિત મેમરી
पत्ता प्रभावी,સંબોધન અસરકારક
पत्ता फील्ड,સરનાવનું ક્ષેત્ર
पत्ता स्वरूप,સરનાકનું બંધારણ
पत्ता विनामूल्य कार्यक्रम,મફત કાર્યક્રમ
पत्ता,સંબોધન
पत्ता  वर्ण,સંબોધન  પાત્ર
व्यत्यय संबोधित करणे,સંબોધન
पळवाट पळवाट,સંબોધન
आभासी मेमरी संबोधित करणे,વર્ચુઅલ મેમરીને સંબોધવા
पत्ता इंटरलॅकिंग,સરનામું
पत्ता नसलेली सूचना स्वरूप,સરનામાંહીન સૂચના બંધારણ
पत्ता ओळ,સરનામા
पत्ता मॅपिंग,સરનામાંનું નકશો
पत्ता चिन्ह,સરનાવ
पत्ता बदल,સરનામા -ફેરફાર
पत्ता भाग,સરનામા ભાગ
पत्ता पॉईंटर,સરનાક નિર્દેશક
पत्ता नोंदणी,સરના નોંધણી
पत्ता सिग्नल,સરનામે સંકેત
पत्ता आकार,સરનાવનું કદ
पत्ता जागा,સરનાવની જગ્યા
पत्ता जागा अभिज्ञापक,સરનામું સ્થાન ઓળખકર્તા
पत्ता थांबा,સરનાવ બંધ
पत्ता ट्रेस,સરનામા
पत्ता ट्रॅक,સરનામા
पत्ता अनुवाद,અનુવાદ
पत्ता अनुवादक,અનુવાદક
अ‍ॅड-सबस्ट्रॅक्ट वेळ,સબમટ્રેક્ટ સમય ઉમેરવો
वेळ जोडा,સમય ઉમેરો
समीप,સંલગ્નતા
जवळची रचना,સંલગ્ન માળખું
समीप चॅनेल,સંલગ્ન માતૃભાષા
समीप डोमेन,સંલગ્ન ડોમેન
समीप मॅट्रिक्स,સંલગ્ન મેટ્રિક્સ
समीप नोड,સંલગ્ન નોડ
समीप सुबेरिया,સંલગ્ન સુબેરિયા
संक्षिप्त रुप (सिस्टम),સંવાદિતા (સિસ્ટમ)
समायोजित करा,સમાયોજન કરવું
समायोज्य मर्यादा,ગોઠવણપાત્ર હદ
मजकूर मोड समायोजित करा,ટેક્સ્ટ મોડને સમાયોજિત કરો
प्रशासकीय डेटा प्रक्रिया,વહીવટી માહિતી પ્રક્રિયા
प्रशासकीय ऑपरेशन,વહીવટી કામગીરી
प्रशासकीय ऑपरेटर,વહીવટી operatorપરેટર
प्रशासकीय ऑपरेटर स्टेशन,વહીવટી પ્રચાલક
प्रशासकीय समर्थन प्रणाली,વહીવટી સહાયક પદ્ધતિ
प्रगत संप्रेषण सेवा,અદ્યતન સંદેશાવ્યવહાર સેવા
प्रगत माहिती प्रणाली,અદ્યતન માહિતી પદ્ધતિ
प्रगत ऑप्टिकल कॅरेक्टर रीडर,અદ્યતન ઓપ્ટિકલ પાત્ર રીડર
प्रगत वैज्ञानिक संगणक,અદ્યતન વૈજ્ .ાનિક કમ્પ્યુટર
हवाई,હવાઈ
एकूण,સમૂહ
एकूण अभिव्यक्ती,કુલ અભિવ્યક્તિ
लक्ष्य वर्तुळ,લક્ષ્યસ્થાન વર્તુળ
लक्ष्य फील्ड (= लक्ष्य चिन्ह),લક્ષ્ય ક્ષેત્ર (= લક્ષ્યનું પ્રતીક)
लक्ष्य प्रतीक,લક્ષ્યસ્થાન પ્રતીક
एअरबोर्न संगणक प्रणाली,હવાઈ ​​કમ્પ્યુટર સિસ્ટમ
बीजगणित ईगेनव्हल्यू समस्या,બીજગણિત ઇગન્યુલ્યુ સમસ્યા
बीजगणित  एकत्रीकरण,બીજગણિત  એકીકરણ
बीजगणित भाषा,બીજગણિત ભાષા
बीजगणित हाताळणी,બીજગણિત હેરાફેરી
बीजगणित मॅनिपुलेशन भाषा,બીજગણિત હેરાફેરી ભાષા
बीजगणित ओरिएंटेड भाषा,બીજગણિત લક્ષી ભાષા
बीजगणित शिफ्ट,બીજગણિત પાળી
बीजगणित साइन कन्व्हेन्शन,બીજગણિત ચિહ્ન સંમેલન
अल्गोल,શિરચ્છેદ
अल्गोल वैशिष्ट्य,શીલ લક્ષણ
अल्गोल प्रोग्रामिंग,અલ્ગોલ કાર્યક્રમ
अल्गोरिदम,અલ્ગોરિધમનો
अल्गोरिदम असोसिएटिव्ह भाषा,અલ્ગોરિધમનો સહયોગી ભાષા
अल्गोरिदम वर्गीकरण,અલ્ગોરિધમનો વર્ગીકરણ
अल्गोरिदम जटिलता,અલ્ગોરિધમની જટિલતા
अल्गोरिदम संगणन,અલ્ગોરિધમની ગણતરી
अल्गोरिदम विश्लेषण,અલ્ગોરિધમિક વિશ્લેષણ
अल्गोरिदम दृष्टिकोन,અલ્ગોરિધમિક અભિગમ
अल्गोरिदम भाषा,અલ્ગોરિધએમ ભાષા
अल्गोरिदम नित्यक्रम,અલ્ગોરિધમનો રૂટિન
अल्गोरिदम सिद्धांत,અલ્ગોરિધમનો સિદ્ધાંત
उर्फ,ઉર્ફે
अलियासिंग,પરવાના
उर्फ नाव (= वैकल्पिक नाव),ઉપનામ નામ (= વૈકલ્પિક નામ)
संरेखन,ગોઠવણી
वाटप,ફાળવવું
वाटप रचना,ફાળવણીનું માળખું
सर्व हेतू संगणक,હેતુસર કમ્પ્યુટર
वर्णमाला वर्ण,વર્ણાનુક્રમ
वर्णमाला वर्ण सेट,મૂળાક્ષરોનો પાત્ર સમૂહ
अल्फाबेटिक कॅरेक्टर सबसेट,મૂળાક્ષરો
वर्णमाला कोड,વર્ણાનુક્રમ
वर्णमाला शिफ्ट,વર્ણાનુક્રમ
वर्णमाला स्ट्रिंग,વર્ણાનુક્રમ
वर्णमाला शब्द,વર્ણાનુક્રમ
वर्णमाला,મૂળાક્ષરો
अल्फेजोमेट्रिक्स,અલ્ફેજ ome મેટ્રિક્સ
अल्फामेरिक,મૂર્તિમંત
अल्फामोसॅक,મરણોત્તર
अल्फान्यूमेरिक,મૂર્તિમંત
अल्फान्यूमरिकल कीबोर्ड डिव्हाइस,આલ્ફાન્યુમેરિકલ કીબોર્ડ ડિવાઇસ
अल्फान्यूमेरिक कॅरेक्टर सेट,મૂળાક્ષર
अल्फान्यूमेरिक कोड,મૂળાક્ષર
अल्फान्यूमेरिक कोडेड कॅरेक्टर सेट,આલ્ફાન્યુમેરિક કોડેડ પાત્ર સમૂહ
अल्फान्यूमेरिक डेटा,મૂળાક્ષરીનો ડેટા
अल्फान्यूमेरिक डिस्प्ले डिव्हाइस,આલ્ફાન્યુમેરિક ડિસ્પ્લે ડિવાઇસ
अल्फान्यूमेरिक संपादित वर्ण,મૂળાક્ષર સંપાદિત પાત્ર
अल्फान्यूमेरिक फील्ड,વર્ણ -ક્ષેત્ર
अल्फान्यूमेरिक सूचना,વર્ણ -સૂચના
अल्फान्यूमेरिक कीबोर्ड,મૂળાક્ષર કીબોર્ડ
अल्फान्यूमेरिक क्रमवारी,મૂળાક્ષર
अल्फान्यूमेरिक स्टोरेज,મૂળાક્ષર સંગ્રહ
बदलण्यायोग्य मेमरी,બદલવા યોગ્ય
बदल स्विच,ફેરફાર -ફેરૂપ
बदल,પરિવર્તનશીલ
बदल मोड,ફેરફાર
वैकल्पिक पुनर्प्राप्ती,વૈકલ્પિક પુન recovery પ્રાપ્તિ
वैकल्पिक मार्ग,વૈકલ્પિક માર્ગ
वैकल्पिक मार्ग,વૈકલ્પિક માર્ગ
वैकल्पिक ट्रॅक,વૈકલ્પિક પાટા
अल्टरनेशन (= किंवा ऑपरेशन),ફેરબદલ (= અથવા કામગીરી)
वैकल्पिक गुणधर्म,વૈકલ્પિક લક્ષણ
वैकल्पिक नकार (= नाही आणि ऑपरेशन),વૈકલ્પિક અસ્વીકાર (= નહીં અને કામગીરી)
अस्पष्टता त्रुटी,અસ્પષ્ટ ભૂલ
संदिग्ध संदर्भ,અસ્પષ્ટ સંદર્ભ
एनालॉग,પ્રાચય
एनालॉग अ‍ॅडडर,એનાશ -ઉપાડનાર
एनालॉग चॅनेल,મનોલોત્ર
एनालॉग संगणक,એનાલોગ કમ્પ્યુટર
एनालॉग कन्व्हर्टर,એનાશ -રૂપાંતર કરનાર
एनालॉग डेटा,મનોજ્ analા આંકડા
एनालॉग विभाजक,એનાશ -વિભાજક
अ‍ॅनालॉग सुविधा टर्मिनल,એનાલોગ સુવિધા ટર્મિન
एनालॉग फंक्शन  जनरेटर,મનોલોગ કાર્ય  જનરેટર
एनालॉग एकत्रीकरण,મનોરોગ એકીકરણ
एनालॉग गुणक,એનાલ -ગુણાકાર
एनालॉग प्रोग्रामिंग,એનાશિક કાર્યક્રમ
एनालॉग स्केलिंग,એનાલ -સ્તનપાન
एनालॉग सिग्नल,એનાલોગ સંકેત
एनालॉग सिम्युलेशन,એનાશ સિમ્યુલેશન
एनालॉग स्विच,એનાશ -સ્વીચ
एनालॉग सिस्टम,પ્રાકૃતિક પદ્ધતિ
डिजिटल टू डिजिटल  कन्व्हर्टर,ડિજિટલથી એનાલોગ  એકત્રીકરણ કરનાર
डिजिटल टू डिजिटल  एन्कोडर,ડિજિટલથી એનાલોગ  એન્કોડર
एनालॉग ट्रान्समिशन,મનોલોગ પ્રસારણ
एनालॉग प्रकार,એનોગ પ્રકાર
विश्लेषण ब्लॉक,વિશ્લેષણ -વિધિ
विश्लेषण मोड,વિશ્લેષણ પદ્ધતિ
विश्लेषणात्मक इंजिन,વિશ્લેષણાત્મક
वडिलोपार्जित कार्य,પૂર્વજો
सहायक उपकरणे,આનુષંગિક સાધનસામગ્રી
आणि,અને
आणि सर्किट,અને સર્કિટ
आणि घटक,અને
आणि गेट,અને દરવાજો
आणि मुखवटा,અને માસ્કિંગ
आणि ऑपरेशन नाही (= अपवर्जन),અને ઓપરેશન નથી (= બાકાત
आणि ऑपरेशन,કામગીરી
अनुबंध मेमरी,જોડાણ મેમરી
भाष्य,નોંધણી
अ‍ॅन्युन्सिएटर,જાહેરાત કરનાર
उत्तर परत,પાછો જવાબ આપો
उत्तर विलंब,જવાબ
उत्तर वेळ,જવાબદાર સમય
उत्तर दिवा,જવાબ દીવો
उत्तर यादी,જવાબ સૂચિ
फक्त उत्तर द्या,માત્ર
अपेक्षित मोड,અપેક્ષા -મોડ
अपेक्षित बफरिंग,આગોતરક બફર
अपेक्षित वाहून नेणे,આગોતરક કેરી
अपेक्षित पेजिंग,આગોતરી પેજિંગ
अँटीकोइन्सिडन्स ऑपरेशन,અસત્ય કામગીરી
अँटीकोइन्सींट घटक,કૃત્રિમ તત્વ
अ‍ॅपरिओडिक ten न्टीना,અતિશય એન્ટેના
छिद्र कार्ड,છિદ્ર
छिद्र कोड,છિદ્ર
छिद्र वेळ,છિદ્રનો સમય
परिशिष्ट,સંલગ્ન
परिशिष्ट कार्य,સંલગ્ન કાર્ય
अनुप्रयोग विकसक,અરજી વિકાસકર્તા
अनुप्रयोग स्तर,અરજી -સ્તર
अनुप्रयोग देणारं भाषा,અરજીલક્ષી ભાષા
अनुप्रयोग पॅकेज,અરજી
अनुप्रयोग कार्यक्रम,અરજી કાર્યક્રમ
अनुप्रयोग प्रोग्रामिंग,અરજી કાર્યક્રમ
अर्ज आवश्यक भाषा,અરજી જરૂરી ભાષા
अनुप्रयोग सॉफ्टवेअर,એપ્લિકેશન સોફ્ટવેર
अ‍ॅप्लिक,અનુકૂળ
अंदाजे सिद्धांत,આશરે સિદ્ધાંત
अनियंत्रित प्रवेश,મનસ્વી પ્રવેશ
अनियंत्रित अनुक्रम संगणक,મનસ્વી ક્રમ કમ્પ્યુટર
लवाद,લવાદી
आर्किटेक्चर,સ્થાપત્ય
संग्रहण,આર્કા
क्षेत्र कोड,વિસ્તાર કોડ
क्षेत्र शोध,વિસ્તાર -શોધ
क्षेत्र हस्तांतरण,વિસ્તાર -તબદીલી
क्षेत्र चल,ક્ષેત્રીય
युक्तिवाद,દલીલ
युक्तिवाद पत्ता,દલીલ સરનામું
युक्तिवाद यादी,દલીલ યાદી
अंकगणित सूचना,અંકગણિત સૂચના
अंकगणित आणि तर्कशास्त्र युनिट,અંકગણિત અને તર્ક એકમ
अंकगणित असाइनमेंट स्टेटमेंट,અંકગણિત સોંપણી નિવેદન
अंकगणित तपासणी,અંકગણિત તપાસ
अंकगणित स्थिर,ન્યાયશાસ્ત્ર
अंकगणित रूपांतरण,અંકગણિત
अंकगणित डेटा,સમાંતરતર ડેટા
अंकगणित अपवाद,અંકગણિત અપવાદ
अंकगणित अभिव्यक्ती,અંકગણિત અભિવ્યક્તિ
अंकगणित निश्चित बिंदू,અંકગણિત નિયત બિંદુ
अंकगणित पदानुक्रम,અંકગણિત વંશવેલો
अंकगणित जर विधान,અંકગણિત જો નિવેદન
अंकगणित तर्कशास्त्र,ન્યાયશાસ્ત્રનું તર્કશાસ્ત્ર
अंकगणित लॉजिक युनिट,અંકગણિત તર્ક એકમ
अंकगणित ऑपरेशन,ન્યાયશાસ્ત્ર કામગીરી
अंकगणित ऑपरेटर,સમેટાં પ્રપણ
अंकगणित ओव्हरफ्लो,અંકગણિત ઓવરફ્લો
अंकगणित चित्र डेटा,અંકગણિત ચિત્ર -માહિતી
अंकगणित प्राधान्य,અંકગણિત અગ્રતા
अंकगणित प्राथमिक,અંકગણિત પ્રાથમિક
अंकगणित नोंदणी,અંકગણિત રજિસ્ટર
अंकगणित संबंध,અંકગણિત સંબંધ
अंकगणित स्कॅन,અંકગણિત સ્કેન
अंकगणित विभाग,અંકગણિત વિભાગ
अंकगणित शिफ्ट,અંકગણિત પાળી
अंकगणित शिफ्टिंग,અંકગણિત
अंकगणित विधान,અંકગણિત નિવેદન
अंकगणित संज्ञा,ન્યાયશાસ્ત્રની મુદત
अंकगणित अंडरफ्लो,અંકગણિત
अंकगणित युनिट,અંકગણિત એકમ
रचना,કળ
अ‍ॅरे बाउंड,એરે બાઉન્ડ
अ‍ॅरे संगणक,એરે કમ્પ્યુટર
अ‍ॅरे आयाम,એરેનું પરિમાણ
अ‍ॅरे घटक,એરે તત્વ
अ‍ॅरे अभिव्यक्ती,અભિવ્યક્તિ
अ‍ॅरे नाव,એરે નામ
संरचनांचा अ‍ॅरे,રચના
अ‍ॅरे प्रिंटिंग,એરે મુદ્રણ
अ‍ॅरे प्रक्रिया,એરે પ્રક્રિયા
अ‍ॅरे प्रोसेसर,એરે પ્રોસેસર
बोलण्याचे बिंदू,સ્પષ્ટ મુદ્દો
कृत्रिम अनुभूती,કૃત્રિમ માન્યતા
कृत्रिम बुद्धिमत्ता,કૃત્રિમ બુદ્ધિ
कृत्रिम भाषा,કૃત્રિમ ભાષા
कृत्रिम चल,કૃત્રિમ ચલ
कला अनुप्रयोग डेटा बँक,કળા -એપ્લિકેશન ડેટા બેંક
कला अनुप्रयोग संगीत,કલાકાર -અરજી
कला अनुप्रयोग नमुना निर्मिती,કળા -એપ્લિકેશન પેટર્ન જનરેશન
आरोहण,ચડતું
चढत्या क्रमवारी,ચ ascતો સ .ર્ટ
एएससीएल,અયોગ્ય
एएससीआयआय नियंत्रण वर्ण,ASCII નિયંત્રણ પાત્ર
एएससीआयआय की बोर्ड,ASCII કી બોર્ડ
पैलू,દૃષ્ટિ
पैलू आणि,પાસા અને
एकत्र करा,ભેગા
एकत्रित मूळ,ભેગા થયેલા મૂળ
कालावधी एकत्र करा,એકત્રીકરણ સમયગાળો
असेंबलर,ભેગા કરનાર
असेंबलर डायरेक्टिव्ह,એસેમ્બલ નિર્દેશક
असेंबलर सुविधा,ભેળસેળ કરવાની સુવિધા
असेंबलर भाषा,જોડાયેલી ભાષા
एकत्र करणे,એકત્રીકરણ
एकत्रित टप्पा,ભેગા કરવાનો તબક્કો
वेळ एकत्र करणे,એકત્રીકરણ સમય
असेंब्ली,વિધાનસભા
असेंब्ली भाषा,સભા
असेंब्ली भाषा प्रोग्रामिंग,સભા ભાષા કાર્યક્રમ
असेंब्ली भाषा सॉफ्टवेअर लवचिकता,એસેમ્બલી ભાષા સ software ફ્ટવેર સુગમતા
असेंब्ली सूची,સભા સૂચિ
असेंब्ली फेज,સભા તબક્કા
असेंब्लीची दिनचर्या,વિધાનસભા દિનચર્યા
असेंब्ली वेळ,સભા સમય
असेंब्ली युनिट,સભા એકમ
असाइनमेंट इंडेक्सिंग,સોંપણી અનુક્રમણિકા
असाइनमेंट ऑपरेशन,સોંપણી કામગીરી
असाइनमेंट स्टेटमेंट,સોંપણી પત્રક
असोसिएटिव्ह पत्ता,સંલગ્ન સંબોધન
असोसिएटिव्ह अ‍ॅरे रजिस्टर,સહયોગી એરે રજિસ્ટર
असोसिएटिव्ह की,સહ -મુખ્ય
असोसिएटिव्ह भाषा,એકસમાન ભાષા
असोसिएटिव्ह मेमरी,સંલગ્ન મેમરી
असोसिएटिव्ह स्टोरेज,સંલગ્ન સંગ્રહ
गृहीत दशांश बिंदू,ધારેલો દશાંશ બિંદુ
असममित डिव्हाइस,અસમપ્રમાણ ઉપકરણ
असममित I/O,અસમપ્રમાણતા I/O
एसिन्क्रोनस,અસુમેળવાળું
एसिन्क्रोनस संगणक,અસમકાલીન કમ્પ્યુટર
एसिन्क्रोनस डेटा ट्रान्सफर,અસમકાલીન ડેટા સ્થાનાંતરણ
एसिन्क्रोनस डेटा ट्रान्समिशन,અસુમેળ ડેટા પ્રસારણ
एसिन्क्रोनस डिव्हाइस,અસુમેળ ઉપકરણો
एसिन्क्रोनस ऑपरेशन,અસુમેળ
एसिन्क्रोनस सिग्नलिंग,અસમકાલીન સંકેત
एसिन्क्रोनस टाइम डिव्हिजन मल्टिप्लेक्सिंग,અસુમેળ સમય વિભાગ મલ્ટીપ્લેક્સિંગ
एसिन्क्रोनस ट्रान्समिशन,અસુમેળ
एसिन्क्रोनस वर्किंग,અસમકાલીન કાર્યકારી
संलग्न प्रक्रिया,જોડાયેલ પ્રક્રિયા
संलग्न प्रोसेसर,જોડાયેલ પ્રોસેસર
संलग्न समर्थन प्रोसेसर,જોડાયેલ સપોર્ટ પ્રોસેસર
ऑपरेशन उपस्थित,ઉપસ્થિત કામગીરી
ट्रेल प्रिंटरला हजेरी लावली,ઉપસ્થિત ટ્રેઇલ પ્રિંટર
लक्ष व्यत्यय,વિક્ષેપ
लक्ष की,ધ્યાન
क्षीणन,વ્યવહાલ
क्षीणन स्थिर,વિકેન્દ્રિત સ્થિરતા
क्षीणकरण विकृती,વ્યથિત વિકૃતિ
अ‍ॅटेन्युएशन इक्वेलायझर,વિકેન્દ્રિત બરાબરી
अ‍ॅटेन्युएटर,હલકાઈ કરનાર
विशेषता,લક્ષણ
ऐकण्यायोग्य अलार्म,શ્રાહ
ऑडिओ कॅसेट,Audio ડિઓ કેસેટ
ऑडिओ चौकशी,Ation ડિઓની તપાસ
ऑडिओ लाइन,Audષધિ
ऑडिओ प्रतिसाद,Audio ડિઓનો પ્રતિભાવ
ऑडिओ प्रतिसाद संदेश,Auduy ડિઓ પ્રતિસાદ સંદેશ
ऑडिओ प्रतिसाद युनिट,Audit ડિઓ પ્રતિસાદ એકમ
ऑडिओटेप स्टोरेज युनिट,ખવડ -સંગ્રહ એકમ
ऑडिओ टेलिकम्युनिकेशन लाइन,Audડતી ટેલિકમ્યુનિકેશન રેખા
ऑडिओ टर्मिनल,Audio ડિઓ ટર્મિન
ऑडिट कमांड भाषा,ઓડિટ ભાષા
ऑडिट प्रोग्रामिंग,હિસાબ -તપાસણી
तपासणीचे सूत्र,વિષ્લેષણ
ऑगेंड,યોજવું
वाढवणे,વૃદ્ધિ
ऑगमेंटर,વૃદ્ધિ કરનાર
लेखक,લેખક
लेखन,લેખક
लेखन प्रणाली,અર્થતંત્ર
अधिकार,અધિકાર
अधिकृतता कोड,સત્તાપત્ર
अधिकृत लायब्ररी,અધિકૃત ગ્રંથાલય
अधिकृत कार्यक्रम,અધિકૃત કાર્યક્રમ
अधिकृत कार्यक्रम सुविधा,અધિકૃત કાર્યક્રમ સુવિધા
ऑटो अ‍ॅबस्ट्रॅक्ट,સ્વત abstractભાશ્રલ
स्वयंचलित,શૌર્ય
ऑटो बूटिंग,સ્વત bootટ -બુટિંગ
ऑटो बायपास,સ્વત by બાયપાસ
ऑटो कॉल (= स्वयंचलित कॉलिंग),Auto ટો ક call લ (= સ્વચાલિત ક calling લિંગ)
ऑटो कोडर,સ્વત autoાંડ
ऑटो डायल,ઓટો ડાયલ
ऑटोफ्लो,સ્વચ્છતા
ऑटो इंडेक्स,ઓટો અનુક્રમણિકા
ऑटो अनुक्रमित पत्ता,ઓટો અનુક્રમિત સરનામાં
ऑटोमाटा,નકલો
ऑटोमाटा सिद्धांत,આપમેળે સિદ્ધાંત
ऑटोमॅटा प्रकार,સ્વત્વાર્પણ પ્રકાર
