Telugu,Bengali
పరిపాలనా విభాగం,প্রশাসনিক দপ্তর
అడ్మినిస్ట్రేటివ్ హెడ్,প্রশাসনিক মাথা
పరిపాలనా ప్రధాన కార్యాలయం,প্রশাসনিক সদর দফতর
పరిపాలనా చర్యలు,প্রশাসনিক ব্যবস্থা
పరిపాలనా శక్తి,প্রশাসনিক শক্তি
పరిపాలనా అనుమతి,প্রশাসনিক অনুমোদন
పరిపాలనా సాంకేతికత,প্রশাসনিক কৌশল
అడ్మినిస్ట్రేటివ్ ట్రిబ్యునల్,প্রশাসনিক ট্রাইব্যুনাল
ప్రవేశం,প্রবেশযোগ্যতা
ఆమోదయోగ్యమైన వ్యయం,স্বীকৃত ব্যয়
అంగీకరించండి,স্বীকার করুন
అడ్మిట్ కార్డ్,ভর্তি কার্ড
అంగీకరించారు,ভর্তি
సలహా,উপদেশ
దత్తత తీసుకున్న వ్యక్తి,গ্রহণ
దత్తత,গ্রহণকারী
దత్తత,গ্রহণ
వయోజన,প্রাপ্তবয়স্ক
కల్తీ,ভেজাল
వ్యభిచారం,ব্যভিচার
వయోజన ఫ్రాంచైజ్,প্রাপ্তবয়স্ক ভোটাধিকার
ప్రకటన విలువ,বিজ্ঞাপন ভ্যালোরেম ডিউটি
అడ్వాన్స్,অগ্রিম
అడ్వాన్స్ బుకింగ్,আগাম বুকিং
ముందస్తు కాపీ,অগ্রিম অনুলিপি
ముందస్తు పెరుగుదల,অগ্রিম বৃদ্ধি
ముందస్తు చెల్లింపు,অগ্রিম প্রদান
ప్రతికూల ప్రవేశం,প্রতিকূল এন্ট্রি
ప్రతికూల వ్యాఖ్యలు,বিরূপ মন্তব্য
ప్రతికూల నివేదిక,প্রতিকূল প্রতিবেদন
ప్రకటన,বিজ্ঞাপন
సలహా,পরামর্শ
చెల్లింపు సలహా,অর্থ প্রদানের পরামর্শ
సలహా సమితి,উপদেষ্টা কমিটি
సలహా మండలి,উপদেষ্টা পরিষদ
న్యాయవాది,অ্যাডভোকেট
వ్యవహారాలు,বিষয়
అఫిడవిట్,হলফনামা
అనుబంధం,অধিভুক্তি
ధృవీకరణ,নিশ্চিতকরণ
ధృవీకరించేది,ইতিবাচক
స్థోమత,সামর্থ্য
పైన పేర్కొన్నది,উপরোক্ত
అఫ్రెష్,নতুন করে
వ్యతిరేకంగా,বিরুদ্ধে
వయస్సు,বয়স
వయస్సు ధృవీకరణ పత్రం,বয়স শংসাপত্র
ఓటు హక్కు కోసం వయస్సు,ভোটাধিকার জন্য বয়স
వయో పరిమితి,বয়স সীমা
ఏజెన్సీ,এজেন্সি
ఎజెండా,আলোচ্যসূচি
పదవీ విరమణ వయస్సు,অবসর বয়স
పర్యవేక్షణ వయస్సు,তদারকির বয়স
సమూహనం,সমষ্টি
బాధపడ్డాడు,আক্রান্ত
ఆందోళన,আন্দোলন
AGM,এজিএম
ఒప్పందం,চুক্তি
ఒప్పంద ఫారం,চুক্তি ফর্ম
వ్యవసాయం,কৃষি
అగ్రో-ఇండస్ట్రీ,শস্য উৎপাদন কেন্দ্র
సహాయం,সাহায্য
అలారం,অ্যালার্ম
అప్రమత్తత,সতর্কতা
అలియాస్,ওরফে
ఆరోపణ,অভিযোগ
విధేయత,আনুগত্য
కూటమి,জোট
అనుబంధ సేవలు,মিত্র পরিষেবা
అన్ని కలుపుకొని ఖర్చు,সমস্ত অন্তর্ভুক্ত ব্যয়
ఆల్ ఇండియా సర్వీసెస్,সমস্ত ভারত পরিষেবা
కేటాయింపు,বরাদ্দ
కేటాయింపు,বরাদ্দ
కేటాయింపు లేఖ,বরাদ্দ চিঠি
కేటాయింపు,বরাদ্দ
అనుమతించదగినది,অনুমোদিত
అనుమతించదగిన ఖర్చులు,অনুমোদিত ব্যয়
అప్పీల్‌ను అనుమతించండి,একটি আপিলের অনুমতি দিন
భత్యం,ভাতা
అన్ని హక్కులూ ప్రత్యేకించుకోవడమైనది,সমস্ত অধিকার সংরক্ষিত
అక్షర క్రమం,বর্ণমালা অর্ডার
వాగ్వాదం,বিক্ষোভ
ప్రత్యామ్నాయ,বিকল্প
ప్రత్యామ్నాయం,বিকল্প
సమ్మేళనం,সংমিশ্রণ
సవరించిన చిత్తుప్రతి,সংশোধিত খসড়া
సవరణ,সংশোধন
సౌకర్యం,সুযোগ
స్నేహపూర్వక,মায়াময়
మందుగుండు సామగ్రి,গোলাবারুদ
రుణ రుణమాఫీ,Debt ণের or ণদান
మొత్తం,পরিমাণ
పెన్షన్ మొత్తం,পেনশন পরিমাণ
సారూప్య పోస్ట్,সাদৃশ্য পোস্ট
విశ్లేషణ,বিশ্লেষণ
విశ్లేషణాత్మక అధ్యయనం,বিশ্লেষণাত্মক অধ্যয়ন
పూర్వీకుడు,পূর্বপুরুষ
సహాయక పరిశ్రమ,আনুষঙ্গিক শিল্প
శత్రుత్వం,শত্রুতা
అనుబంధం,সংযুক্তি
వార్షికోత్సవం,বার্ষিকী
ప్రకటన,ঘোষণা
కోపం,বিরক্তি
వార్షిక ఆర్థిక ప్రకటన,বার্ষিক আর্থিক বিবৃতি
వార్షిక నివేదిక,বার্ষিক প্রতিবেদন
యాన్యుటీ,বার্ষিকী
అనామక,বেনামে
అనామక ఫిర్యాదు,বেনামে অভিযোগ
జవాబుదారీతనం,উত্তরযোগ্যতা
జవాబు పత్రం,উত্তরপত্র
విరోధి,বিরোধী
పూర్వజన్మలు,পূর্বসূরি
Bean హించిన ఖర్చు,প্রত্যাশিত ব্যয়
Ntic హించిన ఆదాయం,প্রত্যাশিত আয়
Ntic హించడం,অগ্রজ্ঞান
ముందస్తు బెయిల్,প্রত্যাশিত জামিন
అవినీతి నిరోధక కొలత,দুর্নীতি দমন ব্যবস্থা
యాంటీ డంపింగ్,অ্যান্টি-ডাম্পিং
పురాతన,প্রাচীন
వర్ణవివక్ష,বর্ণবাদ
ఉదాసీనత,উদাসীনতা
అపెక్స్ బాడీ,অ্যাপেক্স বডি
క్షమాపణ,ক্ষমা প্রার্থনা
అప్పీల్,আবেদন
స్వరూపం,চেহারা
సంతృప్తి,সন্তুষ্টি
అప్పీలేట్ ట్రిబ్యునల్,আপিল ট্রাইব্যুনাল
అపెండిక్స్,পরিশিষ্ট
ఉపకరణం,যন্ত্রপাতি
వర్తిస్తుంది,প্রযোজ্য
దరఖాస్తుదారు,প্রার্থী
అప్లికేషన్,আবেদন
దరఖాస్తు ఫారం,আবেদনপত্র
అనువర్తిత,প্রয়োগ
వర్తించండి,প্রয়োগ করুন
నియామకం,নিয়োগ
నియమించే అధికారాన్ని,কর্তৃপক্ষ নিয়োগ
నియామకం,অ্যাপয়েন্টমেন্ট
నియామక పత్రం,নিয়োগপত্র
నియామకాల కమిటీ క్యాబినెట్,মন্ত্রিপরিষদের অ্যাপয়েন্টমেন্ট কমিটি
వేతనాల విభజన,মজুরির অংশ
అంచనా,মূল্যায়ন
మదింపుదారు,মূল্যায়নকারী
ప్రశంసతో,প্রশংসা
దిగులు,আশঙ্কা
అప్రెంటిస్,শিক্ষানবিশ
విధానం,পদ্ধতির
తగినది,যথাযথ
తగిన చర్య,যথাযথ ব্যবস্থা
తగిన తల,উপযুক্ত মাথা
కేటాయింపు,বরাদ্দ
ఆమోదం,অনুমোদন
సుమారు,আনুমানিক
ఆప్టిట్యూడ్ పరీక్ష,বুদ্ধিমত্তার পরীক্ষা
ఏకపక్ష,ইচ্ছামত
మధ్యవర్తిత్వం,সালিশ
మధ్యవర్తిత్వ,সালিশ
మధ్యవర్తిత్వ ట్రిబ్యునల్,আরবিট্রেশন ট্রাইব্যুনাল
మధ్యవర్తి,সালিস
వాస్తుశిల్పం,আর্কিটেকচার
ఆర్కైవ్స్,সংরক্ষণাগার
ప్రాంతం,অঞ্চল
ఏరియా ప్రధాన కార్యాలయం,অঞ্চল সদর দফতর
వాదన,যুক্তি
తలెత్తండి,উত্থিত
సాయుధ దళాలు,সশস্ত্র বাহিনী
అమరిక,ব্যবস্থা
బకాయి,বকেয়া
రాక ప్రకటన,বকেয়া বিবৃতি
రాక నివేదిక,আগমনের প্রতিবেদন
అహంకారం,অহংকার
ఆర్సెనల్,আর্সেনাল
వ్యాసం,নিবন্ধ
అసోసియేషన్ వ్యాసాలు,সমিতির নিবন্ধ
వ్యాసాలు,নিবন্ধ
ఆరోహణ క్రమం,উর্দ্ধক্রমানুসারে
నిర్ధారించడం,নিরূপণ করা
ఎక్కడ ఉందో,যেমনটি যেখানে
కారక,দিক
ఆస్పర్షన్,Aspersion
హత్య,হত্যাকাণ্ড
దాడి,হামলা
సమీకరించటం,একত্রিত করা
అసెంబ్లీ,সমাবেশ
అస్సెంట్,সম্মতি
నొక్కి చెప్పండి,জাহির করা
మదింపుదారుడు,মূল্যায়নকারী
అంచనా,মূল্যায়ন
అసెస్‌మెంట్ ఇయర్,মূল্যায়ন বছর
మదింపుదారు,মূল্যায়নকারী
ఆస్తులు,সম্পদ
కేటాయించిన,Assignee
అసైన్‌మెంట్,অ্যাসাইনমেন্ট
అసైనర్,নিয়োগকারী
సహాయం,সহায়তা
అసోసియేట్,সহযোগী
అసోసియేషన్,সংঘ
ఛార్జ్ యొక్క umption హ,চার্জ অনুমান
హామీ,আশ্বাস
అస్యూరెన్స్ కంపెనీ,আশ্বাস সংস্থা
భరోసా,আশ্বাস
డిస్కౌంట్ వద్ద,ছাড় এ
అణు శక్తి,পারমাণবিক শক্তি
పార్ వద్ద,সমমূল্যে
ప్రీమియం వద్ద,প্রিমিয়ামে
అటాచ్,সংযুক্ত
జతచేయబడిన కార్యాలయం,সংযুক্ত অফিস
అటాచ్మెంట్,সংযুক্তি
అటాచ్మెంట్ ఆర్డర్,সংযুক্তি আদেশ
సాధించడం,অর্জন
ప్రయత్నం,চেষ্টা
హాజరు,উপস্থিতি
హాజరు రిజిస్టర్,উপস্থিতি নিবন্ধ
హాజరు స్లిప్,উপস্থিতি স্লিপ
శ్రద్ధ,মনোযোগ
ధృవీకరణ,সত্যতা
ధృవీకరించబడిన కాపీ,সত্যায়িত অনুলিপি
వైఖరి,মনোভাব
ఆకర్షణీయమైన జీతం,আকর্ষণীয় বেতন
వేలం,নিলাম
వేలంపాట,নিলামকারী
వేలం అమ్మకం,নিলাম বিক্রয়
ప్రేక్షకులు,শ্রোতা
ఆడియో-విజువల్ డిస్ప్లే,অডিও-ভিজ্যুয়াল ডিসপ্লে
ఆడియో-విజువల్ పబ్లిసిటీ,অডিও-ভিজ্যুয়াল প্রচার
ఆడిట్,নিরীক্ষা
ఆడిట్ చేసిన ఖాతాలు,নিরীক্ষিত অ্যাকাউন্ট
ఆడిట్ చేసిన బ్యాలెన్స్ షీట్,নিরীক্ষিত ব্যালেন্স শীট
ఆడిటింగ్,নিরীক্ষণ
ఆడిట్ అభ్యంతరం,নিরীক্ষা আপত্তি
ఆడిటర్ నివేదిక,নিরীক্ষকের প্রতিবেদন
ఆడిటోరియం,অডিটোরিয়াম
ఆడిట్ పేరా,অডিট অনুচ্ছেদ
ఆర్థిక లెక్కల నివేదిక,অডিট রিপোর্ট
కాఠిన్యం,কঠোরতা
పొదుపు చర్యలు,কঠোরতা ব্যবস্থা
ప్రామాణికమైన,খাঁটি
అధీకృత ప్రతినిధి,অনুমোদিত প্রতিনিধি
అధికారిక,কর্তৃত্বমূলক
అధికారం,কর্তৃপক্ষ
అధికారం లేఖ,কর্তৃপক্ষের চিঠি
అధికారం,অনুমোদিত
అధీకృత మూలధనం,স্বীকৃত মূলধন
ఆటోమేటిక్,স্বয়ংক্রিয়
స్వయంప్రతిపత్తి,স্বায়ত্তশাসিত
అటానమస్ బాడీ,স্বায়ত্তশাসিত শরীর
స్వయంప్రతిపత్తి,স্বায়ত্তশাসন
సహాయక,সহায়ক
అందుబాటులో ఉంది,উপলব্ধ
సగటు,গড়
సగటు సెలవు,গড় ছুটি
విరక్తి,বিপর্যয়
అవర్ట్,এড়ানো
నివారించండి,এড়াতে
పన్నును నివారించడం,কর এড়ানো
వేచి ఉంది,অপেক্ষা করছি
అవార్డు,পুরষ্কার
అథారిటీ అవార్డు,পুরষ্কার কর্তৃপক্ষ
అవగాహన,সচেতনতা
బ్యాక్‌డేటెడ్,ব্যাকডেটেড
నేపథ్య,পটভূমি
బ్యాక్ లాగ్,জমা কাজ
బ్యాక్ అవుట్,ফিরে
వెనుక సూచన,পিছনে রেফারেন্স
బ్యాకప్,ব্যাক আপ
వెనుకబడిన తరగతులు,পশ্চাদপদ শ্রেণি
వెనుకబడిన తెగ,পশ্চাদপদ উপজাতি
చెడు బేరం,খারাপ দর কষাকষি
చెడు ప్రవర్తన,খারাপ আচরণ
చెడ్డ పాత్ర,খারাপ চরিত্র
చెడు వాతావరణ భత్యం,খারাপ জলবায়ু ভাতা
చెడు ప్రవర్తన,খারাপ আচরণ
చెడు రుణం,খারাপ ঋণ
సామాను,লাগেজ
బెయిల్,জামিন
సంతులనం,ভারসাম্য
బ్యాలెన్స్ తగ్గింది,ভারসাম্য নামা
బ్యాలెన్స్ ముందుకు తెచ్చింది,ভারসাম্য এগিয়ে আনা
సమతుల్య బడ్జెట్,সুষম বাজেট
బ్యాలెన్స్ షీట్,ব্যালেন্স শীট
బ్యాలెట్,ব্যালট
వోట్లు వేసే డబ్బా,ব্যালট বাক্স
బ్యాలెట్ పేపర్,ভোট পত্র
నిషేధం,নিষেধাজ্ঞা
బ్యాంక్,ব্যাংক
బ్యాంకు ఖాతా,ব্যাংক হিসাব
బ్యాంక్ బ్యాలెన్స్,ব্যাংক ভারসাম্য
బ్యాంకు చార్జీలు,ব্যাংক চার্জ
బ్యాంకు హామీ,ব্যাংক গ্যারান্টি
బ్యాంకు సెలవు,ব্যাংক ছুটির দিন
బ్యాంకింగ్ సౌకర్యం,ব্যাংকিং সুবিধা
బ్యాంకింగ్ గంటలు,ব্যাংকিং সময়
బ్యాంకింగ్ లావాదేవీ,ব্যাংকিং লেনদেন
బ్యాంక్ రేటు,ব্যাংক হার
బ్యాంకు సయోధ్య,ব্যাংক পুনর্মিলন
దివాళా,দেউলিয়া
బ్యాంక్ భద్రత,ব্যাংক সুরক্ষা
బ్యాంకు వాజ్ఞ్మూలము,ব্যাংক দলিল
విందు,বনভোজন
బార్ కౌన్సిల్,বার কাউন্সিল
బేరం,দর কষাকষি
బేరసారాలు,দর কষাকষি
బంజరు భూమి,অনুর্বর জমি
బార్టర్,বার্টার
బేస్,বেস
నిరాధారమైన,ভিত্তিহীন
బేస్మెంట్,বেসমেন্ট
బేస్ ఇయర్,ভিত্তিবছর
ప్రాథమిక,বেসিক
సాధారణంగా,মূলত
ప్రాథమిక మేధస్సు,বেসিক বুদ্ধি
ప్రాథమిక వేతనం,মূল বেতন
ప్రాథమిక స్థాయి వేతనం,বেতনের প্রাথমিক স্কেল
ప్రాథమిక శిక్షణ,মৌলিক প্রশিক্ষণ
ఆధారంగా,ভিত্তি
బ్యాచ్,ব্যাচ
బ్యాచ్ సంఖ్య,ব্যাচ নাম্বার
బేరర్ చెక్,বহনকারী চেক
ఉదహరించడానికి ముందు,উদ্ধৃত করার আগে
ప్రవర్తన,আচরণ
నమ్మకం,বিশ্বাস
పార్ క్రింద,নীচে নীচে
బెంచ్,এজলাস
బెంచ్ మార్క్,মাপকাঠি
ప్రయోజనకరమైనది,উপকারী
లబ్ధిదారుడు,মৃত ব্যক্তির সম্পত্তির উত্তরাধিকারী
ప్రయోజనం,উপকার
సందేహం యొక్క ప్రయోజనం,দ্বিধার সুবিধা
బెనెవోలెన్స్,দানশীলতা
బెనెవోలెంట్ ఫండ్,দানশীল তহবিল
Bequeath,উইল
బీక్వెస్ట్,উইল
మరణించారు,শোক
ఉత్తమ ప్రయత్నాలు,সেরা প্রচেষ্টা
మంచి,উন্নততা
బయాస్,পক্ষপাত
పక్షపాత అభిప్రాయం,পক্ষপাতদুষ্ট মতামত
గ్రంథ పట్టిక,গ্রন্থপঞ্জি
ద్వైవార్షిక,দ্বিবার্ষিক
విభజన,দ্বিখণ্ডিত
బిగామి,বিগামি
ద్వైపాక్షిక,দ্বিপক্ষীয়
ద్విభాషా,দ্বিভাষিক
ద్విమకరణ,দ্বিখণ্ডিত
బిల్లు,বিল
మార్పిడికి సంభంధించిన బిల్లు,বিনিময় বিল
బిమోంత్లీ రిపోర్ట్,দ্বিখণ্ডিত প্রতিবেদন
బైండింగ్,বাঁধাই
బయోడేటా,বায়োডাটা
బైపార్టైట్,দ্বিপক্ষীয়
ద్వైపాక్షిక ఒప్పందం,দ্বিপক্ষীয় চুক্তি
జనన వార్షికోత్సవం,জন্ম বার্ষিকী
జనన ధృవీకరణ పత్రం,জন্ম সনদ
జనన నియంత్రణ,জন্ম নিয়ন্ত্রণ
పుట్టిన తేదీ,জন্ম তারিখ
పుట్టిన ప్రదేశం,জন্মের জায়গা
జనన రేటు,জন্ম হার
వారం వారం,দ্বিপক্ষীয়
బ్లాక్ ఎకానమీ,কালো অর্থনীতি
బ్లాక్ జాబితా,কালো তালিকা
బ్లాక్ మెయిల్,ব্ল্যাকমেল
చీకటి వ్యాపారం,কালোবাজার
నింద,দোষ
ఖాళీ చెక్,ফাঁকা চেক
దుప్పటి ఒప్పందం,কম্বল ডিল
దుప్పటి క్రమము,কম্বল আদেশ
పేలుడు,বিস্ফোরণ
బ్లెండింగ్,মিশ্রণ
బ్లాక్,ব্লক
దిగ్బంధనం,অবরোধ
నిరోధించబడిన మూలధనం,অবরুদ্ধ মূলধন
పెద్ద అక్షరం,ব্লক লেটার
రక్త దానం,রক্তদান
రక్త సంబంధాలు,রক্ত সম্পর্ক
బ్లూ కాలర్ ఉద్యోగం,নীল কলার কাজ
బ్లూప్రింట్,ব্লুপ্রিন্ট
బుకాయింపు,ব্লাফ
బోర్డు,বোর্ড
బోర్డింగ్ మరియు బస,বোর্ডিং এবং থাকার ব্যবস্থা
బోర్డు డైరెక్టర్లు,পরিচালনা পর্ষদ
రెవెన్యూ బోర్డ్,রাজস্ব বোর্ড
శరీరం,দেহ
బాడీగార్డ్,দেহরক্ষী
బోగస్ వోచర్,বোগাস ভাউচার
బోనఫైడ్స్,সদিচ্ছা
బాండ్,বন্ধন
బంధిత శ్రమ,চুক্তিভুক্ত শ্রমিক
ఉపరి లాభ బహుమానము,বোনাস
నమోదు కార్యాలయం,বুকিং অফিস
పుస్తక కీపర్,বই-রক্ষক
బుక్ కీపింగ్,বই-রক্ষণাবেক্ষণ
బుక్‌లెట్,পুস্তিকা
రిఫరెన్స్ పుస్తకం,রেফারেন্স বই
పుస్తకం విలువ,বই মান
బూత్,বুথ
బూత్ సంగ్రహించడం,বুথ ক্যাপচারিং
సరిహద్దు భత్యం,সীমান্ত ভাতা
సరిహద్దు రేఖ,বর্ডার লাইন
రుణగ్రహీత,Or ণগ্রহীতা
రుణాలు తీసుకునే శక్తి,Orrow ণ ক্ষমতা
బాస్,বস
అడ్డంకి,বাধা
బ్రాకెట్,বন্ধনী
సరిహద్దు,সীমানা
బహిష్కరణ,বয়কট
మెదడు కాలువ,মেধা পাচার
శాఖ కార్యాలయం,শাখা কার্যালয়
మించే,লঙ্ঘন
ఒప్పందం ఉల్లంఘన,চুক্তি লঙ্ঘন
విశ్వాసం ఉల్లంఘన,আত্মবিশ্বাস লঙ্ঘন
ఒప్పంద ఉల్లంఘన,চুক্তি লঙ্ঘন
క్రమశిక్షణ ఉల్లంఘన,শৃঙ্খলা লঙ্ঘন
చట్ట ఉల్లంఘన,আইন লঙ্ঘন
శాంతి ఉల్లంఘన,শান্তি লঙ্ঘন
ప్రత్యేక హక్కు ఉల్లంఘన,অধিকার লঙ্ঘন
వాగ్దానం ఉల్లంఘన,প্রতিশ্রুতি লঙ্ঘন
నియమం ఉల్లంఘన,নিয়ম লঙ্ঘন
అవిశ్వాసం,বিশ্বাস ভঙ্গ
విచ్ఛిన్నం,বিরতি
విచ్ఛిన్నం,ভাঙ্গা
సేవలో విరామం,পরিষেবা বিরতি
విడిపోవటం,বিচ্ছিন্ন
జాతి,প্রজনন
లంచం,ঘুষ
క్లుప్తంగా,সংক্ষিপ্ত
బ్రీఫింగ్,সারসংক্ষেপ
సంక్షిప్త పున ume ప్రారంభం,সংক্ষিপ্ত পুনঃসূচনা
తెలివైన రికార్డు,উজ্জ্বল রেকর্ড
నోటీసులోకి తీసుకురండి,নোটিশ আনুন
ప్రసార,সম্প্রচার
బ్రాడ్‌షీట్,ব্রডশিট
బ్రోచర్,ব্রোশিওর
బ్రోకరేజ్,দালালি
ముందుకు తెచ్చింది (బి/ఎఫ్),এগিয়ে আনা (বি/এফ)
బడ్జెట్ కేటాయింపు,বাজেট বরাদ্দ
బగెటరీ కంట్రోల్,বুগেটারি নিয়ন্ত্রণ
బడ్జెట్ అంచనా,বাজেটের অনুমান
బడ్జెట్ నిబంధన,বাজেট বিধান
కట్టడం,বিল্ডিং
చాలా మొత్తం,স্তূপ
బల్క్ కొనుగోలు,বাল্ক ক্রয়
బులెటిన్,বুলেটিন
బంపర్ పంట,বাম্পার ফসল
ఖాళీల బంచ్,শূন্যপদ গুচ্ছ
బంగ్లింగ్,বাংগল
బ్యూరోక్రసీ,আমলাতন্ত্র
బ్యూరోక్రాట్,আমলা
వ్యాపార తరగతి,ব্যবসায়িক শ্রেণী
వ్యాపార గంటలు (= వ్యాపారం యొక్క గంటలు),ব্যবসায়ের সময় (= ব্যবসায়ের ঘন্টা)
వ్యాపారవేత్త,ব্যবসায়ী
కొనండి,কিনুন
కొనుగోలుదారు,ক্রেতা
బై ఎన్నిక (= ఎన్నికల ద్వారా),বাই নির্বাচন (= নির্বাচনের মাধ্যমে)
చేతి ద్వారా,হাতের দ্বারা
పోస్ట్ ద్వారా,পোস্ট দ্বারা
క్యాబిన్ సామాను,কেবিন লাগেজ
క్యాబినెట్,মন্ত্রিসভা
కేడర్,ক্যাডার
విపత్తు,বিপর্যয়
లెక్కింపు,গণনা
క్యాలెండర్ సంవత్సరం,ক্যালেন্ডার বছর
ప్రచారం,প্রচার
క్యాంపస్,ক্যাম্পাস
క్యాంపస్ ఇంటర్వ్యూ,ক্যাম্পাসের সাক্ষাত্কার
రద్దు చేయండి,বাতিল
రద్దు,বাতিল
అభ్యర్థి,প্রার্থী
అభ్యర్థిత్వం,প্রার্থিতা
కాన్వాసింగ్,ক্যানভাসিং
సామర్ధ్యం,ক্ষমতা
సామర్థ్యం,সক্ষম
సామర్థ్యం,ক্ষমতা
రాజధాని,মূলধন
మూలధన వ్యయం,মূলধন ব্যয়
మరణశిక్షను,মৃত্যুদণ্ড
